카테고리,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2020년04월_남_60~69세,"4,721",506,516,625,687,350,147,297,588,267,449,289
2020년04월_남_70~79세,"2,885",262,340,397,436,189,87,205,370,127,262,210
2020년04월_남_80~89세,954,88,114,134,114,73,31,84,119,38,90,69
2020년04월_남_90~99세,107,14,12,12,9,8,5,11,18,5,7,6
2020년04월_남_100세 이상,23,3,2,1,5,0,0,2,2,3,0,5
2020년04월_여_총인구수,"31,627","3,532","3,182","4,059","5,510","1,877",895,"1,509","4,030","2,041","3,450","1,542"
2020년04월_여_연령구간인구수,"31,627","3,532","3,182","4,059","5,510","1,877",895,"1,509","4,030","2,041","3,450","1,542"
2020년04월_여_0~9세,"1,969",248,137,192,442,69,53,48,243,175,306,56
2020년04월_여_10~19세,"2,550",301,251,334,455,120,67,91,357,219,257,98
2020년04월_여_20~29세,"3,113",338,347,398,603,195,79,109,363,230,305,146
2020년04월_여_30~39세,"3,482",421,290,359,773,170,87,106,454,243,465,114
2020년04월_여_40~49세,"4,748",590,459,582,863,234,127,154,654,355,543,187
2020년04월_여_50~59세,"4,871",542,492,642,848,315,134,238,613,332,508,207
2020년04월_여_60~69세,"5,074",481,558,702,810,340,148,327,624,267,513,304
2020년04월_여_70~79세,"3,652",363,413,546,475,262,124,255,472,139,324,279
2020년04월_여_80~89세,"1,812",207,189,263,201,158,66,151,204,63,181,129
2020년04월_여_90~99세,304,34,37,36,34,13,9,25,39,16,43,18
2020년04월_여_100세 이상,52,7,9,5,6,1,1,5,7,2,5,4
2020년05월_계_총인구수,"63,795","7,225","6,377","8,058","10,919","3,848","1,735","3,082","8,318","4,195","6,890","3,148"
2020년05월_계_연령구간인구수,"63,795","7,225","6,377","8,058","10,919","3,848","1,735","3,082","8,318","4,195","6,890","3,148"
2020년05월_계_0~9세,"4,139",518,292,403,907,143,104,100,545,353,648,126
2020년05월_계_10~19세,"5,254",624,517,647,958,237,113,177,748,436,570,227
2020년05월_계_20~29세,"6,768",769,742,846,"1,252",437,178,272,862,475,618,317
2020년05월_계_30~39세,"7,361",862,602,817,"1,537",372,189,247,990,534,941,270
2020년05월_계_40~49세,"10,292","1,262",946,"1,280","1,853",551,265,380,"1,412",749,"1,161",433
2020년05월_계_50~59세,"10,306","1,213","1,087","1,314","1,621",712,263,536,"1,317",716,"1,066",461
2020년05월_계_60~69세,"9,828",993,"1,068","1,343","1,502",689,298,630,"1,208",537,967,593
2020년05월_계_70~79세,"6,584",629,755,952,920,453,212,463,845,270,593,492
2020년05월_계_80~89세,"2,778",296,308,403,314,232,98,234,326,98,273,196
2020년05월_계_90~99세,410,49,49,47,44,21,14,36,56,22,48,24
2020년05월_계_100세 이상,75,10,11,6,11,1,1,7,9,5,5,9
2020년05월_남_총인구수,"32,230","3,708","3,210","4,005","5,412","1,967",849,"1,575","4,282","2,164","3,445","1,613"
2020년05월_남_연령구간인구수,"32,230","3,708","3,210","4,005","5,412","1,967",849,"1,575","4,282","2,164","3,445","1,613"
2020년05월_남_0~9세,"2,185",276,157,215,463,73,55,55,304,179,340,68
2020년05월_남_10~19세,"2,718",323,268,316,507,115,50,84,388,217,316,134
2020년05월_남_20~29세,"3,671",430,399,453,654,245,99,165,497,245,314,170
2020년05월_남_30~39세,"3,912",449,316,459,772,201,103,142,543,296,477,154
2020년05월_남_40~49세,"5,551",678,493,702,977,315,138,226,750,395,628,249
2020년05월_남_50~59세,"5,449",672,591,677,782,397,131,297,702,388,554,258
2020년05월_남_60~69세,"4,740",508,513,630,692,350,150,302,584,270,452,289
2020년05월_남_70~79세,"2,909",267,342,403,436,190,86,207,372,128,267,211
2020년05월_남_80~89세,964,88,116,137,115,73,32,85,122,37,90,69
2020년05월_남_90~99세,108,14,13,12,9,8,5,10,18,6,7,6
2020년05월_남_100세 이상,23,3,2,1,5,0,0,2,2,3,0,5
2020년05월_여_총인구수,"31,565","3,517","3,167","4,053","5,507","1,881",886,"1,507","4,036","2,031","3,445","1,535"
2020년05월_여_연령구간인구수,"31,565","3,517","3,167","4,053","5,507","1,881",886,"1,507","4,036","2,031","3,445","1,535"
2020년05월_여_0~9세,"1,954",242,135,188,444,70,49,45,241,174,308,58
2020년05월_여_10~19세,"2,536",301,249,331,451,122,63,93,360,219,254,93
2020년05월_여_20~29세,"3,097",339,343,393,598,192,79,107,365,230,304,147
2020년05월_여_30~39세,"3,449",413,286,358,765,171,86,105,447,238,464,116
2020년05월_여_40~49세,"4,741",584,453,578,876,236,127,154,662,354,533,184
2020년05월_여_50~59세,"4,857",541,496,637,839,315,132,239,615,328,512,203
2020년05월_여_60~69세,"5,088",485,555,713,810,339,148,328,624,267,515,304
2020년05월_여_70~79세,"3,675",362,413,549,484,263,126,256,473,142,326,281
2020년05월_여_80~89세,"1,814",208,192,266,199,159,66,149,204,61,183,127
2020년05월_여_90~99세,302,35,36,35,35,13,9,26,38,16,41,18
2020년05월_여_100세 이상,52,7,9,5,6,1,1,5,7,2,5,4
2020년06월_계_총인구수,"63,546","7,184","6,363","8,005","10,894","3,844","1,723","3,092","8,282","4,161","6,868","3,130"
2020년06월_계_연령구간인구수,"63,546","7,184","6,363","8,005","10,894","3,844","1,723","3,092","8,282","4,161","6,868","3,130"
2020년06월_계_0~9세,"4,069",507,291,386,904,145,101,98,531,346,638,122
2020년06월_계_10~19세,"5,209",615,513,644,946,229,112,178,754,431,566,221
2020년06월_계_20~29세,"6,750",769,733,839,"1,250",433,179,281,855,474,625,312
2020년06월_계_30~39세,"7,278",854,600,807,"1,534",377,183,242,970,516,932,263
2020년06월_계_40~49세,"10,274","1,246",947,"1,275","1,849",537,264,383,"1,422",751,"1,169",431
2020년06월_계_50~59세,"10,248","1,209","1,088","1,298","1,611",713,257,536,"1,306",711,"1,054",465
2020년06월_계_60~69세,"9,848","1,001","1,069","1,343","1,504",699,299,634,"1,204",538,965,592
2020년06월_계_70~79세,"6,598",627,754,956,923,451,214,463,849,271,595,495
2020년06월_계_80~89세,"2,776",296,305,403,317,238,99,234,325,95,270,194
2020년06월_계_90~99세,421,50,52,48,45,21,14,36,57,23,49,26
2020년06월_계_100세 이상,75,10,11,6,11,1,1,7,9,5,5,9
2020년06월_남_총인구수,"32,101","3,694","3,205","3,983","5,397","1,969",841,"1,582","4,250","2,140","3,437","1,603"
2020년06월_남_연령구간인구수,"32,101","3,694","3,205","3,983","5,397","1,969",841,"1,582","4,250","2,140","3,437","1,603"
2020년06월_남_0~9세,"2,146",268,158,206,458,75,52,55,297,177,333,67
2020년06월_남_10~19세,"2,689",317,265,313,503,108,49,84,391,214,314,131
2020년06월_남_20~29세,"3,670",431,396,451,657,244,102,166,492,243,321,167
2020년06월_남_30~39세,"3,870",449,317,450,772,204,99,140,531,285,473,150
2020년06월_남_40~49세,"5,538",670,491,706,971,312,136,228,751,395,630,248
2020년06월_남_50~59세,"5,433",672,593,672,776,395,130,301,698,385,551,260
2020년06월_남_60~69세,"4,754",513,515,631,695,357,150,306,577,269,453,288
2020년06월_남_70~79세,"2,908",270,339,404,433,190,86,206,372,129,267,212
2020년06월_남_80~89세,962,88,116,137,117,76,32,85,121,34,88,68
2020년06월_남_90~99세,108,13,13,12,10,8,5,9,18,6,7,7
2020년06월_남_100세 이상,23,3,2,1,5,0,0,2,2,3,0,5
2020년06월_여_총인구수,"31,445","3,490","3,158","4,022","5,497","1,875",882,"1,510","4,032","2,021","3,431","1,527"
2020년06월_여_연령구간인구수,"31,445","3,490","3,158","4,022","5,497","1,875",882,"1,510","4,032","2,021","3,431","1,527"
2020년06월_여_0~9세,"1,923",239,133,180,446,70,49,43,234,169,305,55
2020년06월_여_10~19세,"2,520",298,248,331,443,121,63,94,363,217,252,90
2020년06월_여_20~29세,"3,080",338,337,388,593,189,77,115,363,231,304,145
2020년06월_여_30~39세,"3,408",405,283,357,762,173,84,102,439,231,459,113
2020년06월_여_40~49세,"4,736",576,456,569,878,225,128,155,671,356,539,183
2020년06월_여_50~59세,"4,815",537,495,626,835,318,127,235,608,326,503,205
2020년06월_여_60~69세,"5,094",488,554,712,809,342,149,328,627,269,512,304
2020년06월_여_70~79세,"3,690",357,415,552,490,261,128,257,477,142,328,283
2020년06월_여_80~89세,"1,814",208,189,266,200,162,67,149,204,61,182,126
2020년06월_여_90~99세,313,37,39,36,35,13,9,27,39,17,42,19
2020년06월_여_100세 이상,52,7,9,5,6,1,1,5,7,2,5,4
2020년07월_계_총인구수,"63,309","7,189","6,343","7,983","10,860","3,829","1,724","3,078","8,225","4,127","6,854","3,097"
2020년07월_계_연령구간인구수,"63,309","7,189","6,343","7,983","10,860","3,829","1,724","3,078","8,225","4,127","6,854","3,097"
2020년07월_계_0~9세,"4,013",506,280,384,902,141,99,94,525,336,631,115
2020년07월_계_10~19세,"5,169",620,513,632,934,232,110,184,741,426,562,215
2020년07월_계_20~29세,"6,713",770,732,833,"1,241",427,177,277,855,466,630,305
2020년07월_계_30~39세,"7,201",851,595,814,"1,528",369,184,234,949,504,916,257
2020년07월_계_40~49세,"10,224","1,242",936,"1,266","1,839",537,264,388,"1,411",746,"1,168",427
2020년07월_계_50~59세,"10,239","1,203","1,087","1,294","1,618",716,260,532,"1,303",717,"1,049",460
2020년07월_계_60~69세,"9,852","1,012","1,070","1,336","1,497",699,301,635,"1,210",533,968,591
2020년07월_계_70~79세,"6,631",631,760,965,936,447,214,457,845,276,604,496
2020년07월_계_80~89세,"2,768",294,307,405,309,238,98,236,320,95,270,196
2020년07월_계_90~99세,426,50,52,48,45,22,16,35,58,23,51,26
2020년07월_계_100세 이상,73,10,11,6,11,1,1,6,8,5,5,9
2020년07월_남_총인구수,"31,979","3,691","3,198","3,976","5,379","1,960",842,"1,580","4,214","2,126","3,434","1,579"
2020년07월_남_연령구간인구수,"31,979","3,691","3,198","3,976","5,379","1,960",842,"1,580","4,214","2,126","3,434","1,579"
2020년07월_남_0~9세,"2,116",267,153,204,457,73,51,54,292,169,333,63
2020년07월_남_10~19세,"2,666",318,266,303,496,111,49,87,385,212,313,126
2020년07월_남_20~29세,"3,651",434,396,448,654,241,101,163,493,237,323,161
2020년07월_남_30~39세,"3,835",445,314,456,770,200,101,137,516,282,468,146
2020년07월_남_40~49세,"5,522",670,483,703,973,309,138,229,744,395,632,246
2020년07월_남_50~59세,"5,425",667,595,677,773,397,131,300,695,390,544,256
2020년07월_남_60~69세,"4,744",515,518,628,692,355,150,305,577,263,454,287
2020년07월_남_70~79세,"2,926",273,341,405,437,188,85,207,372,134,271,213
2020년07월_남_80~89세,962,86,117,139,113,77,31,86,120,35,89,69
2020년07월_남_90~99세,109,13,13,12,9,9,5,10,18,6,7,7
2020년07월_남_100세 이상,23,3,2,1,5,0,0,2,2,3,0,5
2020년07월_여_총인구수,"31,330","3,498","3,145","4,007","5,481","1,869",882,"1,498","4,011","2,001","3,420","1,518"
2020년07월_여_연령구간인구수,"31,330","3,498","3,145","4,007","5,481","1,869",882,"1,498","4,011","2,001","3,420","1,518"
2020년07월_여_0~9세,"1,897",239,127,180,445,68,48,40,233,167,298,52
2020년07월_여_10~19세,"2,503",302,247,329,438,121,61,97,356,214,249,89
2020년07월_여_20~29세,"3,062",336,336,385,587,186,76,114,362,229,307,144
2020년07월_여_30~39세,"3,366",406,281,358,758,169,83,97,433,222,448,111
2020년07월_여_40~49세,"4,702",572,453,563,866,228,126,159,667,351,536,181
2020년07월_여_50~59세,"4,814",536,492,617,845,319,129,232,608,327,505,204
2020년07월_여_60~69세,"5,108",497,552,708,805,344,151,330,633,270,514,304
2020년07월_여_70~79세,"3,705",358,419,560,499,259,129,250,473,142,333,283
2020년07월_여_80~89세,"1,806",208,190,266,196,161,67,150,200,60,181,127
2020년07월_여_90~99세,317,37,39,36,36,13,11,25,40,17,44,19
2020년07월_여_100세 이상,50,7,9,5,6,1,1,4,6,2,5,4
2020년08월_계_총인구수,"63,093","7,169","6,308","7,937","10,841","3,828","1,727","3,066","8,195","4,095","6,833","3,094"
2020년08월_계_연령구간인구수,"63,093","7,169","6,308","7,937","10,841","3,828","1,727","3,066","8,195","4,095","6,833","3,094"
2020년08월_계_0~9세,"3,941",492,277,377,887,144,102,92,517,326,617,110
2020년08월_계_10~19세,"5,135",612,504,629,930,228,110,181,744,417,567,213
2020년08월_계_20~29세,"6,699",770,728,827,"1,241",427,176,280,844,464,632,310
2020년08월_계_30~39세,"7,112",848,591,792,"1,512",369,182,237,939,493,899,250
2020년08월_계_40~49세,"10,194","1,236",922,"1,261","1,829",537,267,380,"1,414",741,"1,173",434
2020년08월_계_50~59세,"10,194","1,190","1,085","1,290","1,632",708,259,527,"1,294",715,"1,036",458
2020년08월_계_60~69세,"9,894","1,034","1,072","1,337","1,500",705,300,633,"1,207",538,975,593
2020년08월_계_70~79세,"6,643",633,762,961,942,448,213,457,848,279,606,494
2020년08월_계_80~89세,"2,777",294,304,409,312,239,101,237,323,94,270,194
2020년08월_계_90~99세,431,50,52,48,45,22,16,36,57,23,53,29
2020년08월_계_100세 이상,73,10,11,6,11,1,1,6,8,5,5,9
2020년08월_남_총인구수,"31,856","3,683","3,180","3,939","5,366","1,961",846,"1,575","4,190","2,114","3,421","1,581"
2020년08월_남_연령구간인구수,"31,856","3,683","3,180","3,939","5,366","1,961",846,"1,575","4,190","2,114","3,421","1,581"
2020년08월_남_0~9세,"2,080",265,152,200,449,75,53,52,283,165,326,60
2020년08월_남_10~19세,"2,653",316,262,300,493,109,50,85,387,208,316,127
2020년08월_남_20~29세,"3,628",431,387,439,653,240,102,165,487,235,324,165
2020년08월_남_30~39세,"3,789",443,315,442,769,200,97,137,508,278,458,142
2020년08월_남_40~49세,"5,501",669,476,700,954,310,141,227,742,395,636,251
2020년08월_남_50~59세,"5,407",655,594,675,786,393,132,297,699,388,533,255
2020년08월_남_60~69세,"4,768",526,520,629,695,361,148,305,571,266,459,288
2020년08월_남_70~79세,"2,934",276,344,403,438,187,86,208,371,135,274,212
2020년08월_남_80~89세,965,86,115,139,115,77,32,86,123,35,88,69
2020년08월_남_90~99세,108,13,13,11,9,9,5,11,17,6,7,7
2020년08월_남_100세 이상,23,3,2,1,5,0,0,2,2,3,0,5
2020년08월_여_총인구수,"31,237","3,486","3,128","3,998","5,475","1,867",881,"1,491","4,005","1,981","3,412","1,513"
2020년08월_여_연령구간인구수,"31,237","3,486","3,128","3,998","5,475","1,867",881,"1,491","4,005","1,981","3,412","1,513"
2020년08월_여_0~9세,"1,861",227,125,177,438,69,49,40,234,161,291,50
2020년08월_여_10~19세,"2,482",296,242,329,437,119,60,96,357,209,251,86
2020년08월_여_20~29세,"3,071",339,341,388,588,187,74,115,357,229,308,145
2020년08월_여_30~39세,"3,323",405,276,350,743,169,85,100,431,215,441,108
2020년08월_여_40~49세,"4,693",567,446,561,875,227,126,153,672,346,537,183
2020년08월_여_50~59세,"4,787",535,491,615,846,315,127,230,595,327,503,203
2020년08월_여_60~69세,"5,126",508,552,708,805,344,152,328,636,272,516,305
2020년08월_여_70~79세,"3,709",357,418,558,504,261,127,249,477,144,332,282
2020년08월_여_80~89세,"1,812",208,189,270,197,162,69,151,200,59,182,125
2020년08월_여_90~99세,323,37,39,37,36,13,11,25,40,17,46,22
2020년08월_여_100세 이상,50,7,9,5,6,1,1,4,6,2,5,4
2020년09월_계_총인구수,"62,957","7,160","6,278","7,929","10,817","3,815","1,716","3,049","8,180","4,093","6,831","3,089"
2020년09월_계_연령구간인구수,"62,957","7,160","6,278","7,929","10,817","3,815","1,716","3,049","8,180","4,093","6,831","3,089"
2020년09월_계_0~9세,"3,907",491,272,381,880,143,96,90,515,321,610,108
2020년09월_계_10~19세,"5,104",615,498,627,925,224,115,177,731,417,568,207
2020년09월_계_20~29세,"6,667",770,721,814,"1,228",425,173,281,849,466,626,314
2020년09월_계_30~39세,"7,056",837,580,795,"1,501",370,181,234,931,489,887,251
2020년09월_계_40~49세,"10,146","1,226",917,"1,252","1,821",536,266,382,"1,403",737,"1,173",433
2020년09월_계_50~59세,"10,174","1,186","1,083","1,292","1,629",700,256,527,"1,299",719,"1,029",454
2020년09월_계_60~69세,"9,930","1,042","1,071","1,347","1,510",705,298,620,"1,214",539,991,593
2020년09월_계_70~79세,"6,655",630,767,955,954,450,213,450,849,282,614,491
2020년09월_계_80~89세,"2,806",300,305,412,314,239,100,244,324,94,275,199
2020년09월_계_90~99세,439,53,53,48,44,23,17,38,57,24,52,30
2020년09월_계_100세 이상,73,10,11,6,11,0,1,6,8,5,6,9
2020년09월_남_총인구수,"31,767","3,678","3,162","3,940","5,350","1,955",841,"1,567","4,182","2,110","3,415","1,567"
2020년09월_남_연령구간인구수,"31,767","3,678","3,162","3,940","5,350","1,955",841,"1,567","4,182","2,110","3,415","1,567"
2020년09월_남_0~9세,"2,067",268,149,203,443,73,50,51,283,168,321,58
2020년09월_남_10~19세,"2,632",315,260,302,490,110,52,82,380,204,315,122
2020년09월_남_20~29세,"3,608",430,378,439,646,239,99,169,491,232,321,164
2020년09월_남_30~39세,"3,755",436,309,439,766,202,99,134,507,274,450,139
2020년09월_남_40~49세,"5,462",661,476,694,946,307,140,228,733,393,634,250
2020년09월_남_50~59세,"5,407",659,595,672,784,387,131,300,698,394,535,252
2020년09월_남_60~69세,"4,785",530,518,638,700,361,148,295,576,264,466,289
2020년09월_남_70~79세,"2,943",273,346,401,443,190,86,206,374,137,277,210
2020년09월_남_80~89세,977,90,116,140,118,76,31,89,122,35,89,71
2020년09월_남_90~99세,108,13,13,11,9,10,5,11,16,6,7,7
2020년09월_남_100세 이상,23,3,2,1,5,0,0,2,2,3,0,5
2020년09월_여_총인구수,"31,190","3,482","3,116","3,989","5,467","1,860",875,"1,482","3,998","1,983","3,416","1,522"
2020년09월_여_연령구간인구수,"31,190","3,482","3,116","3,989","5,467","1,860",875,"1,482","3,998","1,983","3,416","1,522"
2020년09월_여_0~9세,"1,840",223,123,178,437,70,46,39,232,153,289,50
2020년09월_여_10~19세,"2,472",300,238,325,435,114,63,95,351,213,253,85
2020년09월_여_20~29세,"3,059",340,343,375,582,186,74,112,358,234,305,150
2020년09월_여_30~39세,"3,301",401,271,356,735,168,82,100,424,215,437,112
2020년09월_여_40~49세,"4,684",565,441,558,875,229,126,154,670,344,539,183
2020년09월_여_50~59세,"4,767",527,488,620,845,313,125,227,601,325,494,202
2020년09월_여_60~69세,"5,145",512,553,709,810,344,150,325,638,275,525,304
2020년09월_여_70~79세,"3,712",357,421,554,511,260,127,244,475,145,337,281
2020년09월_여_80~89세,"1,829",210,189,272,196,163,69,155,202,59,186,128
2020년09월_여_90~99세,331,40,40,37,35,13,12,27,41,18,45,23
2020년09월_여_100세 이상,50,7,9,5,6,0,1,4,6,2,6,4
2020년10월_계_총인구수,"62,802","7,150","6,276","7,915","10,784","3,796","1,709","3,030","8,152","4,070","6,826","3,094"
2020년10월_계_연령구간인구수,"62,802","7,150","6,276","7,915","10,784","3,796","1,709","3,030","8,152","4,070","6,826","3,094"
2020년10월_계_0~9세,"3,859",486,267,371,874,142,97,86,515,311,604,106
2020년10월_계_10~19세,"5,107",611,497,630,924,221,114,175,728,416,581,210
2020년10월_계_20~29세,"6,646",780,726,812,"1,208",421,173,280,842,468,622,314
2020년10월_계_30~39세,"6,988",818,573,792,"1,486",371,179,227,924,486,880,252
2020년10월_계_40~49세,"10,094","1,221",912,"1,239","1,818",527,267,387,"1,392",730,"1,170",431
2020년10월_계_50~59세,"10,154","1,190","1,081","1,296","1,631",696,254,521,"1,287",714,"1,029",455
2020년10월_계_60~69세,"9,955","1,045","1,081","1,350","1,515",702,296,620,"1,222",540,992,592
2020년10월_계_70~79세,"6,675",635,767,961,959,450,209,449,846,285,622,492
2020년10월_계_80~89세,"2,809",303,305,410,314,243,102,245,331,91,267,198
2020년10월_계_90~99세,442,51,56,48,44,23,17,34,57,24,53,35
2020년10월_계_100세 이상,73,10,11,6,11,0,1,6,8,5,6,9
2020년10월_남_총인구수,"31,701","3,675","3,164","3,931","5,350","1,946",837,"1,556","4,165","2,101","3,410","1,566"
2020년10월_남_연령구간인구수,"31,701","3,675","3,164","3,931","5,350","1,946",837,"1,556","4,165","2,101","3,410","1,566"
2020년10월_남_0~9세,"2,049",268,147,194,442,74,50,50,287,164,317,56
2020년10월_남_10~19세,"2,638",315,261,306,489,109,51,80,376,204,323,124
2020년10월_남_20~29세,"3,612",435,386,438,641,237,100,170,489,233,320,163
2020년10월_남_30~39세,"3,701",418,303,437,755,205,97,130,500,273,442,141
2020년10월_남_40~49세,"5,444",661,474,690,951,301,141,230,728,391,630,247
2020년10월_남_50~59세,"5,397",663,590,675,791,384,130,298,690,389,536,251
2020년10월_남_60~69세,"4,793",530,525,636,703,358,148,292,579,268,467,287
2020년10월_남_70~79세,"2,954",276,346,404,446,190,84,208,369,137,282,212
2020년10월_남_80~89세,980,93,117,139,118,78,31,87,129,33,86,69
2020년10월_남_90~99세,110,13,13,11,9,10,5,9,16,6,7,11
2020년10월_남_100세 이상,23,3,2,1,5,0,0,2,2,3,0,5
2020년10월_여_총인구수,"31,101","3,475","3,112","3,984","5,434","1,850",872,"1,474","3,987","1,969","3,416","1,528"
2020년10월_여_연령구간인구수,"31,101","3,475","3,112","3,984","5,434","1,850",872,"1,474","3,987","1,969","3,416","1,528"
2020년10월_여_0~9세,"1,810",218,120,177,432,68,47,36,228,147,287,50
2020년10월_여_10~19세,"2,469",296,236,324,435,112,63,95,352,212,258,86
2020년10월_여_20~29세,"3,034",345,340,374,567,184,73,110,353,235,302,151
2020년10월_여_30~39세,"3,287",400,270,355,731,166,82,97,424,213,438,111
2020년10월_여_40~49세,"4,650",560,438,549,867,226,126,157,664,339,540,184
2020년10월_여_50~59세,"4,757",527,491,621,840,312,124,223,597,325,493,204
