카테고리,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2020년04월_남_80~89세,"1,482",351,89,131,70,121,112,94,61,140,76,119,78,40
2020년04월_남_90~99세,123,25,6,11,11,9,8,7,7,14,3,11,7,4
2020년04월_남_100세 이상,5,1,0,0,0,0,0,0,1,0,2,0,1,0
2020년04월_여_총인구수,"26,535","10,539","1,037","1,473","1,155","1,773","1,254","2,294","1,179","1,326","1,164","1,421","1,367",553
2020년04월_여_연령구간인구수,"26,535","10,539","1,037","1,473","1,155","1,773","1,254","2,294","1,179","1,326","1,164","1,421","1,367",553
2020년04월_여_0~9세,"1,277",778,26,29,61,69,27,98,35,25,40,31,41,17
2020년04월_여_10~19세,"1,801","1,118",25,60,67,81,34,144,48,51,45,61,47,20
2020년04월_여_20~29세,"1,965","1,006",55,91,84,98,60,175,66,66,81,88,71,24
2020년04월_여_30~39세,"1,848","1,032",51,73,78,95,45,165,72,34,55,62,61,25
2020년04월_여_40~49세,"2,762","1,552",61,91,92,141,66,217,97,91,82,118,116,38
2020년04월_여_50~59세,"4,179","1,732",148,217,182,230,210,420,206,173,167,187,226,81
2020년04월_여_60~69세,"4,721","1,401",229,274,193,422,264,451,286,268,210,289,303,131
2020년04월_여_70~79세,"4,338","1,118",218,318,193,394,290,345,211,300,246,323,262,120
2020년04월_여_80~89세,"3,148",710,186,279,173,219,221,240,134,281,209,222,195,79
2020년04월_여_90~99세,463,88,35,39,30,22,35,37,21,35,27,37,40,17
2020년04월_여_100세 이상,33,4,3,2,2,2,2,2,3,2,2,3,5,1
2020년05월_계_총인구수,"52,624","20,777","1,999","2,981","2,345","3,564","2,490","4,582","2,376","2,619","2,259","2,784","2,679","1,169"
2020년05월_계_연령구간인구수,"52,624","20,777","1,999","2,981","2,345","3,564","2,490","4,582","2,376","2,619","2,259","2,784","2,679","1,169"
2020년05월_계_0~9세,"2,668","1,658",45,82,104,119,51,215,84,51,75,68,85,31
2020년05월_계_10~19세,"3,836","2,370",72,122,139,164,83,301,120,98,93,125,114,35
2020년05월_계_20~29세,"4,365","2,181",119,208,181,225,143,369,156,154,167,197,200,65
2020년05월_계_30~39세,"4,029","2,040",122,177,195,247,114,371,154,118,135,152,130,74
2020년05월_계_40~49세,"6,313","3,112",167,283,258,392,200,563,227,244,194,276,285,112
2020년05월_계_50~59세,"9,046","3,440",327,513,416,549,463,889,434,428,412,463,491,221
2020년05월_계_60~69세,"9,439","2,829",449,566,426,778,553,865,569,533,450,576,565,280
2020년05월_계_70~79세,"7,649","1,957",378,564,340,715,500,626,404,522,414,537,482,210
2020년05월_계_80~89세,"4,647","1,071",275,413,243,340,339,337,197,417,284,340,272,119
2020년05월_계_90~99세,591,113,41,51,41,33,42,43,27,52,31,47,49,21
2020년05월_계_100세 이상,41,6,4,2,2,2,2,3,4,2,4,3,6,1
2020년05월_남_총인구수,"26,132","10,189",966,"1,517","1,199","1,800","1,236","2,315","1,206","1,285","1,114","1,376","1,312",617
2020년05월_남_연령구간인구수,"26,132","10,189",966,"1,517","1,199","1,800","1,236","2,315","1,206","1,285","1,114","1,376","1,312",617
2020년05월_남_0~9세,"1,395",871,21,53,42,50,25,122,48,26,40,38,45,14
2020년05월_남_10~19세,"2,037","1,249",45,62,75,83,49,155,73,46,50,64,70,16
2020년05월_남_20~29세,"2,420","1,172",66,120,97,126,84,203,91,89,89,114,129,40
2020년05월_남_30~39세,"2,188","1,001",74,107,118,156,69,209,85,80,83,89,68,49
2020년05월_남_40~49세,"3,549","1,548",107,194,169,250,133,346,130,154,113,160,170,75
2020년05월_남_50~59세,"4,904","1,716",179,296,236,326,255,477,234,255,248,276,263,143
2020년05월_남_60~69세,"4,715","1,411",221,297,230,360,287,421,283,261,243,290,264,147
2020년05월_남_70~79세,"3,307",842,157,244,152,319,213,281,191,221,167,214,217,89
2020년05월_남_80~89세,"1,485",354,89,133,69,120,114,94,63,137,76,118,78,40
2020년05월_남_90~99세,127,24,7,11,11,10,7,7,7,16,3,13,7,4
2020년05월_남_100세 이상,5,1,0,0,0,0,0,0,1,0,2,0,1,0
2020년05월_여_총인구수,"26,492","10,588","1,033","1,464","1,146","1,764","1,254","2,267","1,170","1,334","1,145","1,408","1,367",552
2020년05월_여_연령구간인구수,"26,492","10,588","1,033","1,464","1,146","1,764","1,254","2,267","1,170","1,334","1,145","1,408","1,367",552
2020년05월_여_0~9세,"1,273",787,24,29,62,69,26,93,36,25,35,30,40,17
2020년05월_여_10~19세,"1,799","1,121",27,60,64,81,34,146,47,52,43,61,44,19
2020년05월_여_20~29세,"1,945","1,009",53,88,84,99,59,166,65,65,78,83,71,25
2020년05월_여_30~39세,"1,841","1,039",48,70,77,91,45,162,69,38,52,63,62,25
2020년05월_여_40~49세,"2,764","1,564",60,89,89,142,67,217,97,90,81,116,115,37
2020년05월_여_50~59세,"4,142","1,724",148,217,180,223,208,412,200,173,164,187,228,78
2020년05월_여_60~69세,"4,724","1,418",228,269,196,418,266,444,286,272,207,286,301,133
2020년05월_여_70~79세,"4,342","1,115",221,320,188,396,287,345,213,301,247,323,265,121
2020년05월_여_80~89세,"3,162",717,186,280,174,220,225,243,134,280,208,222,194,79
2020년05월_여_90~99세,464,89,34,40,30,23,35,36,20,36,28,34,42,17
2020년05월_여_100세 이상,36,5,4,2,2,2,2,3,3,2,2,3,5,1
2020년06월_계_총인구수,"52,585","20,849","1,994","2,957","2,335","3,535","2,499","4,574","2,362","2,609","2,254","2,772","2,666","1,179"
2020년06월_계_연령구간인구수,"52,585","20,849","1,994","2,957","2,335","3,535","2,499","4,574","2,362","2,609","2,254","2,772","2,666","1,179"
2020년06월_계_0~9세,"2,650","1,650",44,73,101,117,52,222,81,52,74,67,84,33
2020년06월_계_10~19세,"3,837","2,384",72,122,138,157,87,300,119,98,92,121,112,35
2020년06월_계_20~29세,"4,353","2,182",118,207,174,223,142,377,155,150,164,197,197,67
2020년06월_계_30~39세,"4,018","2,060",122,170,194,240,115,371,148,112,134,151,128,73
2020년06월_계_40~49세,"6,272","3,113",163,280,257,384,199,550,223,247,189,272,279,116
2020년06월_계_50~59세,"9,021","3,426",326,507,416,548,464,889,430,425,418,463,485,224
2020년06월_계_60~69세,"9,495","2,874",450,564,429,783,553,859,572,537,451,578,566,279
2020년06월_계_70~79세,"7,651","1,965",381,569,340,701,505,626,406,521,410,532,486,209
2020년06월_계_80~89세,"4,650","1,076",272,412,242,346,340,334,197,412,285,342,274,118
2020년06월_계_90~99세,598,113,42,51,42,34,40,43,27,53,33,47,49,24
2020년06월_계_100세 이상,40,6,4,2,2,2,2,3,4,2,4,2,6,1
2020년06월_남_총인구수,"26,110","10,219",964,"1,505","1,195","1,783","1,235","2,321","1,197","1,280","1,110","1,373","1,309",619
2020년06월_남_연령구간인구수,"26,110","10,219",964,"1,505","1,195","1,783","1,235","2,321","1,197","1,280","1,110","1,373","1,309",619
2020년06월_남_0~9세,"1,385",862,21,50,41,49,26,123,46,27,41,38,46,15
2020년06월_남_10~19세,"2,035","1,256",45,61,73,80,50,156,72,47,49,63,67,16
2020년06월_남_20~29세,"2,418","1,175",67,120,96,124,82,208,91,86,87,112,129,41
2020년06월_남_30~39세,"2,181","1,015",73,104,116,151,70,208,83,76,81,87,68,49
2020년06월_남_40~49세,"3,512","1,539",103,193,166,246,130,341,128,157,110,156,168,75
2020년06월_남_50~59세,"4,903","1,708",182,289,242,328,256,479,231,252,251,280,260,145
2020년06월_남_60~69세,"4,752","1,434",221,300,231,362,286,425,282,264,244,293,265,145
2020년06월_남_70~79세,"3,307",849,157,245,152,309,215,280,194,221,165,211,220,89
2020년06월_남_80~89세,"1,484",357,88,132,67,124,113,94,62,134,76,120,78,39
2020년06월_남_90~99세,128,23,7,11,11,10,7,7,7,16,4,13,7,5
2020년06월_남_100세 이상,5,1,0,0,0,0,0,0,1,0,2,0,1,0
2020년06월_여_총인구수,"26,475","10,630","1,030","1,452","1,140","1,752","1,264","2,253","1,165","1,329","1,144","1,399","1,357",560
2020년06월_여_연령구간인구수,"26,475","10,630","1,030","1,452","1,140","1,752","1,264","2,253","1,165","1,329","1,144","1,399","1,357",560
2020년06월_여_0~9세,"1,265",788,23,23,60,68,26,99,35,25,33,29,38,18
2020년06월_여_10~19세,"1,802","1,128",27,61,65,77,37,144,47,51,43,58,45,19
2020년06월_여_20~29세,"1,935","1,007",51,87,78,99,60,169,64,64,77,85,68,26
2020년06월_여_30~39세,"1,837","1,045",49,66,78,89,45,163,65,36,53,64,60,24
2020년06월_여_40~49세,"2,760","1,574",60,87,91,138,69,209,95,90,79,116,111,41
2020년06월_여_50~59세,"4,118","1,718",144,218,174,220,208,410,199,173,167,183,225,79
2020년06월_여_60~69세,"4,743","1,440",229,264,198,421,267,434,290,273,207,285,301,134
2020년06월_여_70~79세,"4,344","1,116",224,324,188,392,290,346,212,300,245,321,266,120
2020년06월_여_80~89세,"3,166",719,184,280,175,222,227,240,135,278,209,222,196,79
2020년06월_여_90~99세,470,90,35,40,31,24,33,36,20,37,29,34,42,19
2020년06월_여_100세 이상,35,5,4,2,2,2,2,3,3,2,2,2,5,1
2020년07월_계_총인구수,"52,547","20,873","2,004","2,954","2,327","3,514","2,491","4,573","2,358","2,609","2,256","2,746","2,664","1,178"
2020년07월_계_연령구간인구수,"52,547","20,873","2,004","2,954","2,327","3,514","2,491","4,573","2,358","2,609","2,256","2,746","2,664","1,178"
2020년07월_계_0~9세,"2,649","1,670",45,68,96,112,50,222,80,50,73,68,85,30
2020년07월_계_10~19세,"3,826","2,377",71,123,138,156,87,293,121,102,94,118,112,34
2020년07월_계_20~29세,"4,335","2,171",121,207,174,219,142,385,151,147,164,191,194,69
2020년07월_계_30~39세,"4,017","2,068",125,170,193,241,111,370,150,111,136,142,128,72
2020년07월_계_40~49세,"6,252","3,112",161,278,250,384,200,550,219,247,186,269,280,116
2020년07월_계_50~59세,"8,999","3,430",324,508,416,541,462,881,432,427,417,461,480,220
2020년07월_계_60~69세,"9,477","2,871",447,562,427,774,554,866,570,540,450,574,562,280
2020년07월_계_70~79세,"7,700","1,974",388,570,349,709,508,629,409,517,417,528,492,210
2020년07월_계_80~89세,"4,654","1,081",275,416,241,342,337,329,193,413,283,347,276,121
2020년07월_계_90~99세,600,113,43,50,42,34,38,45,29,53,33,46,49,25
2020년07월_계_100세 이상,38,6,4,2,1,2,2,3,4,2,3,2,6,1
2020년07월_남_총인구수,"26,095","10,219",972,"1,503","1,193","1,774","1,237","2,327","1,197","1,279","1,114","1,355","1,307",618
2020년07월_남_연령구간인구수,"26,095","10,219",972,"1,503","1,193","1,774","1,237","2,327","1,197","1,279","1,114","1,355","1,307",618
2020년07월_남_0~9세,"1,387",869,22,45,38,48,25,124,48,25,42,39,47,15
2020년07월_남_10~19세,"2,028","1,250",44,64,73,79,50,151,71,51,49,63,67,16
2020년07월_남_20~29세,"2,408","1,171",69,121,93,122,83,212,90,83,88,108,126,42
2020년07월_남_30~39세,"2,179","1,018",76,104,118,150,68,207,83,76,84,80,67,48
2020년07월_남_40~49세,"3,509","1,534",102,192,163,247,133,344,129,156,109,155,170,75
2020년07월_남_50~59세,"4,888","1,710",182,290,243,322,255,477,228,254,247,283,256,141
2020년07월_남_60~69세,"4,746","1,427",221,301,234,360,285,429,282,265,244,286,264,148
2020년07월_남_70~79세,"3,327",856,158,241,154,314,219,282,197,218,170,208,222,88
2020년07월_남_80~89세,"1,493",361,91,134,67,122,111,94,61,136,76,121,80,39
2020년07월_남_90~99세,126,22,7,11,10,10,8,7,7,15,4,12,7,6
2020년07월_남_100세 이상,4,1,0,0,0,0,0,0,1,0,1,0,1,0
2020년07월_여_총인구수,"26,452","10,654","1,032","1,451","1,134","1,740","1,254","2,246","1,161","1,330","1,142","1,391","1,357",560
2020년07월_여_연령구간인구수,"26,452","10,654","1,032","1,451","1,134","1,740","1,254","2,246","1,161","1,330","1,142","1,391","1,357",560
2020년07월_여_0~9세,"1,262",801,23,23,58,64,25,98,32,25,31,29,38,15
2020년07월_여_10~19세,"1,798","1,127",27,59,65,77,37,142,50,51,45,55,45,18
2020년07월_여_20~29세,"1,927","1,000",52,86,81,97,59,173,61,64,76,83,68,27
2020년07월_여_30~39세,"1,838","1,050",49,66,75,91,43,163,67,35,52,62,61,24
2020년07월_여_40~49세,"2,743","1,578",59,86,87,137,67,206,90,91,77,114,110,41
2020년07월_여_50~59세,"4,111","1,720",142,218,173,219,207,404,204,173,170,178,224,79
2020년07월_여_60~69세,"4,731","1,444",226,261,193,414,269,437,288,275,206,288,298,132
2020년07월_여_70~79세,"4,373","1,118",230,329,195,395,289,347,212,299,247,320,270,122
2020년07월_여_80~89세,"3,161",720,184,282,174,220,226,235,132,277,207,226,196,82
2020년07월_여_90~99세,474,91,36,39,32,24,30,38,22,38,29,34,42,19
2020년07월_여_100세 이상,34,5,4,2,1,2,2,3,3,2,2,2,5,1
2020년08월_계_총인구수,"52,455","20,956","1,995","2,932","2,292","3,497","2,488","4,561","2,349","2,598","2,231","2,727","2,656","1,173"
2020년08월_계_연령구간인구수,"52,455","20,956","1,995","2,932","2,292","3,497","2,488","4,561","2,349","2,598","2,231","2,727","2,656","1,173"
2020년08월_계_0~9세,"2,625","1,674",44,65,84,111,50,221,79,50,70,64,85,28
2020년08월_계_10~19세,"3,818","2,395",73,119,132,150,87,288,121,98,91,116,114,34
2020년08월_계_20~29세,"4,319","2,177",123,206,178,214,139,384,147,147,162,186,187,69
2020년08월_계_30~39세,"3,981","2,072",119,170,182,237,109,365,148,109,131,139,129,71
2020년08월_계_40~49세,"6,243","3,123",157,269,251,385,201,552,219,243,185,264,277,117
2020년08월_계_50~59세,"8,972","3,444",321,498,403,541,463,878,429,423,417,459,480,216
2020년08월_계_60~69세,"9,496","2,889",451,566,432,762,556,867,567,542,447,574,562,281
2020년08월_계_70~79세,"7,711","1,978",383,575,348,721,501,628,415,517,414,525,495,211
2020년08월_계_80~89세,"4,648","1,078",279,410,239,340,343,331,193,413,278,352,271,121
2020년08월_계_90~99세,606,120,41,52,42,34,37,45,28,54,33,46,50,24
2020년08월_계_100세 이상,36,6,4,2,1,2,2,2,3,2,3,2,6,1
2020년08월_남_총인구수,"26,060","10,263",966,"1,490","1,177","1,773","1,234","2,322","1,194","1,274","1,100","1,347","1,303",617
2020년08월_남_연령구간인구수,"26,060","10,263",966,"1,490","1,177","1,773","1,234","2,322","1,194","1,274","1,100","1,347","1,303",617
2020년08월_남_0~9세,"1,375",875,22,42,31,47,25,123,46,26,40,36,48,14
2020년08월_남_10~19세,"2,023","1,255",44,63,72,76,51,150,71,51,47,61,66,16
2020년08월_남_20~29세,"2,411","1,180",69,120,95,120,80,213,92,84,85,107,124,42
2020년08월_남_30~39세,"2,157","1,020",72,102,113,150,66,203,81,73,84,80,66,47
2020년08월_남_40~49세,"3,502","1,543",99,187,162,250,134,344,128,153,108,152,166,76
2020년08월_남_50~59세,"4,874","1,709",181,285,238,321,255,475,229,251,248,284,260,138
2020년08월_남_60~69세,"4,759","1,439",223,303,236,357,285,432,280,267,240,286,262,149
2020년08월_남_70~79세,"3,329",855,155,244,153,318,215,282,199,217,170,207,224,90
2020년08월_남_80~89세,"1,502",363,94,133,68,123,115,93,62,137,74,122,79,39
2020년08월_남_90~99세,125,23,7,11,9,11,8,7,6,15,3,12,7,6
2020년08월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,1,0,1,0
2020년08월_여_총인구수,"26,395","10,693","1,029","1,442","1,115","1,724","1,254","2,239","1,155","1,324","1,131","1,380","1,353",556
2020년08월_여_연령구간인구수,"26,395","10,693","1,029","1,442","1,115","1,724","1,254","2,239","1,155","1,324","1,131","1,380","1,353",556
2020년08월_여_0~9세,"1,250",799,22,23,53,64,25,98,33,24,30,28,37,14
2020년08월_여_10~19세,"1,795","1,140",29,56,60,74,36,138,50,47,44,55,48,18
2020년08월_여_20~29세,"1,908",997,54,86,83,94,59,171,55,63,77,79,63,27
2020년08월_여_30~39세,"1,824","1,052",47,68,69,87,43,162,67,36,47,59,63,24
2020년08월_여_40~49세,"2,741","1,580",58,82,89,135,67,208,91,90,77,112,111,41
2020년08월_여_50~59세,"4,098","1,735",140,213,165,220,208,403,200,172,169,175,220,78
2020년08월_여_60~69세,"4,737","1,450",228,263,196,405,271,435,287,275,207,288,300,132
2020년08월_여_70~79세,"4,382","1,123",228,331,195,403,286,346,216,300,244,318,271,121
2020년08월_여_80~89세,"3,146",715,185,277,171,217,228,238,131,276,204,230,192,82
2020년08월_여_90~99세,481,97,34,41,33,23,29,38,22,39,30,34,43,18
2020년08월_여_100세 이상,33,5,4,2,1,2,2,2,3,2,2,2,5,1
2020년09월_계_총인구수,"52,358","20,953","1,983","2,915","2,281","3,469","2,484","4,551","2,340","2,602","2,235","2,722","2,656","1,167"
2020년09월_계_연령구간인구수,"52,358","20,953","1,983","2,915","2,281","3,469","2,484","4,551","2,340","2,602","2,235","2,722","2,656","1,167"
2020년09월_계_0~9세,"2,615","1,675",46,64,81,106,51,220,73,54,69,64,84,28
2020년09월_계_10~19세,"3,770","2,362",73,120,131,144,85,280,122,99,91,114,116,33
2020년09월_계_20~29세,"4,307","2,178",120,206,175,208,136,391,145,145,163,188,185,67
2020년09월_계_30~39세,"3,966","2,077",115,168,178,237,111,366,145,107,126,137,128,71
2020년09월_계_40~49세,"6,219","3,124",155,267,243,382,201,545,216,245,184,266,277,114
2020년09월_계_50~59세,"8,937","3,438",315,492,408,532,459,875,429,427,422,448,479,213
2020년09월_계_60~69세,"9,536","2,909",449,563,436,764,560,870,570,537,451,580,565,282
2020년09월_계_70~79세,"7,720","1,986",383,573,346,717,499,628,417,524,412,526,495,214
2020년09월_계_80~89세,"4,638","1,076",280,406,240,342,340,330,192,408,281,350,271,122
2020년09월_계_90~99세,613,122,43,54,42,35,40,44,28,54,33,47,50,21
2020년09월_계_100세 이상,37,6,4,2,1,2,2,2,3,2,3,2,6,2
2020년09월_남_총인구수,"26,009","10,269",958,"1,480","1,171","1,757","1,233","2,321","1,188","1,274","1,100","1,338","1,304",616
2020년09월_남_연령구간인구수,"26,009","10,269",958,"1,480","1,171","1,757","1,233","2,321","1,188","1,274","1,100","1,338","1,304",616
2020년09월_남_0~9세,"1,365",872,24,41,29,45,26,122,42,27,39,36,48,14
2020년09월_남_10~19세,"1,998","1,243",44,65,71,73,49,145,71,50,47,59,66,15
2020년09월_남_20~29세,"2,402","1,180",68,121,94,115,78,218,91,82,85,108,122,40
2020년09월_남_30~39세,"2,152","1,024",69,99,109,152,67,203,79,72,84,78,68,48
2020년09월_남_40~49세,"3,491","1,554",99,186,155,247,135,337,126,154,107,152,165,74
2020년09월_남_50~59세,"4,851","1,699",177,282,242,313,253,476,231,255,248,276,260,139
2020년09월_남_60~69세,"4,782","1,449",223,300,240,361,288,433,279,265,242,290,265,147
2020년09월_남_70~79세,"3,334",861,152,243,151,315,214,287,201,218,169,205,224,94
2020년09월_남_80~89세,"1,503",362,95,131,71,125,114,93,62,135,75,122,79,39
2020년09월_남_90~99세,128,24,7,12,9,11,9,7,6,16,3,12,6,6
2020년09월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,1,0,1,0
2020년09월_여_총인구수,"26,349","10,684","1,025","1,435","1,110","1,712","1,251","2,230","1,152","1,328","1,135","1,384","1,352",551
2020년09월_여_연령구간인구수,"26,349","10,684","1,025","1,435","1,110","1,712","1,251","2,230","1,152","1,328","1,135","1,384","1,352",551
2020년09월_여_0~9세,"1,250",803,22,23,52,61,25,98,31,27,30,28,36,14
2020년09월_여_10~19세,"1,772","1,119",29,55,60,71,36,135,51,49,44,55,50,18
2020년09월_여_20~29세,"1,905",998,52,85,81,93,58,173,54,63,78,80,63,27
2020년09월_여_30~39세,"1,814","1,053",46,69,69,85,44,163,66,35,42,59,60,23
2020년09월_여_40~49세,"2,728","1,570",56,81,88,135,66,208,90,91,77,114,112,40
2020년09월_여_50~59세,"4,086","1,739",138,210,166,219,206,399,198,172,174,172,219,74
2020년09월_여_60~69세,"4,754","1,460",226,263,196,403,272,437,291,272,209,290,300,135
2020년09월_여_70~79세,"4,386","1,125",231,330,195,402,285,341,216,306,243,321,271,120
2020년09월_여_80~89세,"3,135",714,185,275,169,217,226,237,130,273,206,228,192,83
2020년09월_여_90~99세,485,98,36,42,33,24,31,37,22,38,30,35,44,15
2020년09월_여_100세 이상,34,5,4,2,1,2,2,2,3,2,2,2,5,2
2020년10월_계_총인구수,"52,317","21,004","1,982","2,896","2,272","3,465","2,473","4,544","2,329","2,600","2,230","2,710","2,650","1,162"
2020년10월_계_연령구간인구수,"52,317","21,004","1,982","2,896","2,272","3,465","2,473","4,544","2,329","2,600","2,230","2,710","2,650","1,162"
2020년10월_계_0~9세,"2,598","1,676",47,57,77,105,51,216,73,53,67,65,85,26
2020년10월_계_10~19세,"3,740","2,350",70,115,124,147,81,283,117,102,92,112,115,32
2020년10월_계_20~29세,"4,330","2,203",120,206,180,212,132,390,148,140,161,189,183,66
