카테고리,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2020년04월_여_연령구간인구수,"30,330","9,645","4,623","6,917","2,644","4,573","1,928"
2020년04월_여_0~9세,"1,792",597,297,346,78,387,87
2020년04월_여_10~19세,"2,239",791,401,470,165,314,98
2020년04월_여_20~29세,"2,683","1,026",376,590,193,387,111
2020년04월_여_30~39세,"2,721",918,365,596,170,538,134
2020년04월_여_40~49세,"3,686","1,260",522,924,245,563,172
2020년04월_여_50~59세,"5,413","1,667",838,"1,271",535,779,323
2020년04월_여_60~69세,"5,584","1,548",915,"1,276",628,751,466
2020년04월_여_70~79세,"3,608","1,064",495,876,357,516,300
2020년04월_여_80~89세,"2,203",663,336,478,232,294,200
2020년04월_여_90~99세,373,98,76,85,40,39,35
2020년04월_여_100세 이상,28,13,2,5,1,5,2
2020년05월_계_총인구수,"62,566","19,619","9,532","14,155","5,545","9,760","3,955"
2020년05월_계_연령구간인구수,"62,566","19,619","9,532","14,155","5,545","9,760","3,955"
2020년05월_계_0~9세,"3,529","1,203",555,684,167,769,151
2020년05월_계_10~19세,"4,794","1,738",822,"1,028",331,656,219
2020년05월_계_20~29세,"6,194","2,236",847,"1,329",515,"1,014",253
2020년05월_계_30~39세,"5,917","1,970",814,"1,267",375,"1,204",287
2020년05월_계_40~49세,"8,007","2,676","1,129","1,993",567,"1,225",417
2020년05월_계_50~59세,"11,487","3,516","1,778","2,692","1,121","1,651",729
2020년05월_계_60~69세,"11,665","3,139","1,919","2,609","1,326","1,719",953
2020년05월_계_70~79세,"6,843","1,935","1,006","1,646",713,972,571
2020년05월_계_80~89세,"3,577","1,053",558,784,376,481,325
2020년05월_계_90~99세,507,137,100,113,50,60,47
2020년05월_계_100세 이상,46,16,4,10,4,9,3
2020년05월_남_총인구수,"32,175","9,976","4,888","7,210","2,885","5,185","2,031"
2020년05월_남_연령구간인구수,"32,175","9,976","4,888","7,210","2,885","5,185","2,031"
2020년05월_남_0~9세,"1,745",608,256,342,88,386,65
2020년05월_남_10~19세,"2,547",943,421,549,171,343,120
2020년05월_남_20~29세,"3,521","1,217",464,746,324,628,142
2020년05월_남_30~39세,"3,185","1,051",447,666,201,664,156
2020년05월_남_40~49세,"4,312","1,418",603,"1,069",316,657,249
2020년05월_남_50~59세,"6,098","1,862",943,"1,426",590,876,401
2020년05월_남_60~69세,"6,009","1,575",995,"1,302",690,960,487
2020년05월_남_70~79세,"3,233",867,511,771,353,457,274
2020년05월_남_80~89세,"1,374",390,222,306,141,194,121
2020년05월_남_90~99세,133,42,24,28,8,16,15
2020년05월_남_100세 이상,18,3,2,5,3,4,1
2020년05월_여_총인구수,"30,391","9,643","4,644","6,945","2,660","4,575","1,924"
2020년05월_여_연령구간인구수,"30,391","9,643","4,644","6,945","2,660","4,575","1,924"
2020년05월_여_0~9세,"1,784",595,299,342,79,383,86
2020년05월_여_10~19세,"2,247",795,401,479,160,313,99
2020년05월_여_20~29세,"2,673","1,019",383,583,191,386,111
2020년05월_여_30~39세,"2,732",919,367,601,174,540,131
2020년05월_여_40~49세,"3,695","1,258",526,924,251,568,168
2020년05월_여_50~59세,"5,389","1,654",835,"1,266",531,775,328
2020년05월_여_60~69세,"5,656","1,564",924,"1,307",636,759,466
2020년05월_여_70~79세,"3,610","1,068",495,875,360,515,297
2020년05월_여_80~89세,"2,203",663,336,478,235,287,204
2020년05월_여_90~99세,374,95,76,85,42,44,32
2020년05월_여_100세 이상,28,13,2,5,1,5,2
2020년06월_계_총인구수,"62,662","19,597","9,559","14,148","5,598","9,769","3,991"
2020년06월_계_연령구간인구수,"62,662","19,597","9,559","14,148","5,598","9,769","3,991"
2020년06월_계_0~9세,"3,505","1,191",557,666,167,771,153
2020년06월_계_10~19세,"4,790","1,728",822,"1,017",342,660,221
2020년06월_계_20~29세,"6,195","2,223",846,"1,333",523,"1,014",256
2020년06월_계_30~39세,"5,895","1,960",810,"1,259",373,"1,199",294
2020년06월_계_40~49세,"8,010","2,674","1,140","1,985",569,"1,223",419
2020년06월_계_50~59세,"11,489","3,511","1,772","2,695","1,130","1,650",731
2020년06월_계_60~69세,"11,788","3,168","1,943","2,632","1,340","1,736",969
2020년06월_계_70~79세,"6,857","1,931","1,000","1,654",727,972,573
2020년06월_계_80~89세,"3,577","1,057",564,784,375,477,320
2020년06월_계_90~99세,510,138,101,113,48,58,52
2020년06월_계_100세 이상,46,16,4,10,4,9,3
2020년06월_남_총인구수,"32,242","9,966","4,911","7,213","2,907","5,196","2,049"
2020년06월_남_연령구간인구수,"32,242","9,966","4,911","7,213","2,907","5,196","2,049"
2020년06월_남_0~9세,"1,731",599,255,334,86,390,67
2020년06월_남_10~19세,"2,540",939,420,542,175,344,120
2020년06월_남_20~29세,"3,525","1,210",463,747,330,632,143
2020년06월_남_30~39세,"3,178","1,042",449,671,199,658,159
2020년06월_남_40~49세,"4,317","1,423",608,"1,064",316,655,251
2020년06월_남_50~59세,"6,103","1,863",944,"1,423",595,878,400
2020년06월_남_60~69세,"6,080","1,589","1,009","1,325",694,966,497
2020년06월_남_70~79세,"3,246",864,514,770,361,462,275
2020년06월_남_80~89세,"1,369",391,223,304,140,191,120
2020년06월_남_90~99세,135,43,24,28,8,16,16
2020년06월_남_100세 이상,18,3,2,5,3,4,1
2020년06월_여_총인구수,"30,420","9,631","4,648","6,935","2,691","4,573","1,942"
2020년06월_여_연령구간인구수,"30,420","9,631","4,648","6,935","2,691","4,573","1,942"
2020년06월_여_0~9세,"1,774",592,302,332,81,381,86
2020년06월_여_10~19세,"2,250",789,402,475,167,316,101
2020년06월_여_20~29세,"2,670","1,013",383,586,193,382,113
2020년06월_여_30~39세,"2,717",918,361,588,174,541,135
2020년06월_여_40~49세,"3,693","1,251",532,921,253,568,168
2020년06월_여_50~59세,"5,386","1,648",828,"1,272",535,772,331
2020년06월_여_60~69세,"5,708","1,579",934,"1,307",646,770,472
2020년06월_여_70~79세,"3,611","1,067",486,884,366,510,298
2020년06월_여_80~89세,"2,208",666,341,480,235,286,200
2020년06월_여_90~99세,375,95,77,85,40,42,36
2020년06월_여_100세 이상,28,13,2,5,1,5,2
2020년07월_계_총인구수,"62,632","19,595","9,542","14,137","5,595","9,783","3,980"
2020년07월_계_연령구간인구수,"62,632","19,595","9,542","14,137","5,595","9,783","3,980"
2020년07월_계_0~9세,"3,494","1,196",558,660,161,766,153
2020년07월_계_10~19세,"4,758","1,720",807,"1,015",345,655,216
2020년07월_계_20~29세,"6,223","2,223",855,"1,342",528,"1,022",253
2020년07월_계_30~39세,"5,864","1,959",812,"1,235",378,"1,191",289
2020년07월_계_40~49세,"8,007","2,675","1,136","1,977",571,"1,229",419
2020년07월_계_50~59세,"11,466","3,501","1,765","2,699","1,122","1,649",730
2020년07월_계_60~69세,"11,821","3,186","1,943","2,633","1,347","1,744",968
2020년07월_계_70~79세,"6,858","1,925",997,"1,658",721,983,574
2020년07월_계_80~89세,"3,578","1,054",561,794,371,474,324
2020년07월_계_90~99세,517,139,104,115,47,61,51
2020년07월_계_100세 이상,46,17,4,9,4,9,3
2020년07월_남_총인구수,"32,247","9,969","4,897","7,214","2,910","5,212","2,045"
2020년07월_남_연령구간인구수,"32,247","9,969","4,897","7,214","2,910","5,212","2,045"
2020년07월_남_0~9세,"1,728",603,253,335,84,385,68
2020년07월_남_10~19세,"2,519",939,408,539,174,343,116
2020년07월_남_20~29세,"3,557","1,209",476,753,335,640,144
2020년07월_남_30~39세,"3,169","1,040",452,659,204,656,158
2020년07월_남_40~49세,"4,298","1,421",595,"1,057",317,657,251
2020년07월_남_50~59세,"6,096","1,855",946,"1,429",585,881,400
2020년07월_남_60~69세,"6,105","1,605","1,008","1,325",702,970,495
2020년07월_남_70~79세,"3,239",858,509,771,358,466,277
2020년07월_남_80~89세,"1,379",391,224,312,139,193,120
2020년07월_남_90~99세,138,44,24,29,9,17,15
2020년07월_남_100세 이상,19,4,2,5,3,4,1
2020년07월_여_총인구수,"30,385","9,626","4,645","6,923","2,685","4,571","1,935"
2020년07월_여_연령구간인구수,"30,385","9,626","4,645","6,923","2,685","4,571","1,935"
2020년07월_여_0~9세,"1,766",593,305,325,77,381,85
2020년07월_여_10~19세,"2,239",781,399,476,171,312,100
2020년07월_여_20~29세,"2,666","1,014",379,589,193,382,109
2020년07월_여_30~39세,"2,695",919,360,576,174,535,131
2020년07월_여_40~49세,"3,709","1,254",541,920,254,572,168
2020년07월_여_50~59세,"5,370","1,646",819,"1,270",537,768,330
2020년07월_여_60~69세,"5,716","1,581",935,"1,308",645,774,473
2020년07월_여_70~79세,"3,619","1,067",488,887,363,517,297
2020년07월_여_80~89세,"2,199",663,337,482,232,281,204
2020년07월_여_90~99세,379,95,80,86,38,44,36
2020년07월_여_100세 이상,27,13,2,4,1,5,2
2020년08월_계_총인구수,"62,605","19,562","9,549","14,106","5,583","9,836","3,969"
2020년08월_계_연령구간인구수,"62,605","19,562","9,549","14,106","5,583","9,836","3,969"
2020년08월_계_0~9세,"3,467","1,194",548,652,158,761,154
2020년08월_계_10~19세,"4,754","1,710",813,"1,007",343,667,214
2020년08월_계_20~29세,"6,231","2,206",861,"1,349",522,"1,044",249
2020년08월_계_30~39세,"5,822","1,937",812,"1,218",379,"1,190",286
2020년08월_계_40~49세,"7,974","2,658","1,134","1,968",561,"1,234",419
2020년08월_계_50~59세,"11,454","3,494","1,755","2,696","1,118","1,657",734
2020년08월_계_60~69세,"11,876","3,213","1,954","2,636","1,358","1,750",965
2020년08월_계_70~79세,"6,860","1,925","1,000","1,654",725,984,572
2020년08월_계_80~89세,"3,596","1,065",561,801,369,478,322
2020년08월_계_90~99세,524,143,107,116,46,62,50
2020년08월_계_100세 이상,47,17,4,9,4,9,4
2020년08월_남_총인구수,"32,228","9,942","4,903","7,205","2,908","5,233","2,037"
2020년08월_남_연령구간인구수,"32,228","9,942","4,903","7,205","2,908","5,233","2,037"
2020년08월_남_0~9세,"1,715",600,250,334,83,379,69
2020년08월_남_10~19세,"2,520",931,410,539,173,352,115
2020년08월_남_20~29세,"3,577","1,203",483,761,335,654,141
2020년08월_남_30~39세,"3,143","1,030",449,650,205,652,157
2020년08월_남_40~49세,"4,271","1,407",596,"1,045",311,662,250
2020년08월_남_50~59세,"6,085","1,846",942,"1,432",583,880,402
2020년08월_남_60~69세,"6,139","1,618","1,012","1,331",709,974,495
2020년08월_남_70~79세,"3,233",862,508,766,361,464,272
2020년08월_남_80~89세,"1,382",396,226,312,135,193,120
2020년08월_남_90~99세,144,45,25,30,10,19,15
2020년08월_남_100세 이상,19,4,2,5,3,4,1
2020년08월_여_총인구수,"30,377","9,620","4,646","6,901","2,675","4,603","1,932"
2020년08월_여_연령구간인구수,"30,377","9,620","4,646","6,901","2,675","4,603","1,932"
2020년08월_여_0~9세,"1,752",594,298,318,75,382,85
2020년08월_여_10~19세,"2,234",779,403,468,170,315,99
2020년08월_여_20~29세,"2,654","1,003",378,588,187,390,108
2020년08월_여_30~39세,"2,679",907,363,568,174,538,129
2020년08월_여_40~49세,"3,703","1,251",538,923,250,572,169
2020년08월_여_50~59세,"5,369","1,648",813,"1,264",535,777,332
2020년08월_여_60~69세,"5,737","1,595",942,"1,305",649,776,470
2020년08월_여_70~79세,"3,627","1,063",492,888,364,520,300
2020년08월_여_80~89세,"2,214",669,335,489,234,285,202
2020년08월_여_90~99세,380,98,82,86,36,43,35
2020년08월_여_100세 이상,28,13,2,4,1,5,3
2020년09월_계_총인구수,"62,551","19,532","9,555","14,072","5,604","9,829","3,959"
2020년09월_계_연령구간인구수,"62,551","19,532","9,555","14,072","5,604","9,829","3,959"
2020년09월_계_0~9세,"3,428","1,187",535,638,163,754,151
2020년09월_계_10~19세,"4,721","1,702",799,"1,002",345,660,213
2020년09월_계_20~29세,"6,234","2,205",858,"1,353",533,"1,037",248
2020년09월_계_30~39세,"5,799","1,924",821,"1,208",375,"1,190",281
2020년09월_계_40~49세,"7,946","2,652","1,136","1,954",562,"1,224",418
2020년09월_계_50~59세,"11,442","3,473","1,752","2,701","1,118","1,666",732
2020년09월_계_60~69세,"11,945","3,234","1,980","2,645","1,362","1,759",965
2020년09월_계_70~79세,"6,854","1,922",993,"1,648",727,991,573
2020년09월_계_80~89세,"3,610","1,072",569,799,368,477,325
2020년09월_계_90~99세,523,144,108,114,47,61,49
2020년09월_계_100세 이상,49,17,4,10,4,10,4
2020년09월_남_총인구수,"32,205","9,923","4,912","7,186","2,919","5,228","2,037"
2020년09월_남_연령구간인구수,"32,205","9,923","4,912","7,186","2,919","5,228","2,037"
2020년09월_남_0~9세,"1,702",595,247,329,86,378,67
2020년09월_남_10~19세,"2,493",921,398,536,174,347,117
2020년09월_남_20~29세,"3,580","1,209",482,761,341,648,139
2020년09월_남_30~39세,"3,141","1,019",457,645,208,655,157
2020년09월_남_40~49세,"4,250","1,407",598,"1,032",310,655,248
2020년09월_남_50~59세,"6,083","1,840",940,"1,437",582,883,401
2020년09월_남_60~69세,"6,170","1,622","1,029","1,338",705,978,498
2020년09월_남_70~79세,"3,236",865,502,765,364,467,273
2020년09월_남_80~89세,"1,387",396,231,309,136,194,121
2020년09월_남_90~99세,144,45,26,29,10,19,15
2020년09월_남_100세 이상,19,4,2,5,3,4,1
2020년09월_여_총인구수,"30,346","9,609","4,643","6,886","2,685","4,601","1,922"
2020년09월_여_연령구간인구수,"30,346","9,609","4,643","6,886","2,685","4,601","1,922"
2020년09월_여_0~9세,"1,726",592,288,309,77,376,84
2020년09월_여_10~19세,"2,228",781,401,466,171,313,96
2020년09월_여_20~29세,"2,654",996,376,592,192,389,109
2020년09월_여_30~39세,"2,658",905,364,563,167,535,124
2020년09월_여_40~49세,"3,696","1,245",538,922,252,569,170
2020년09월_여_50~59세,"5,359","1,633",812,"1,264",536,783,331
2020년09월_여_60~69세,"5,775","1,612",951,"1,307",657,781,467
2020년09월_여_70~79세,"3,618","1,057",491,883,363,524,300
2020년09월_여_80~89세,"2,223",676,338,490,232,283,204
2020년09월_여_90~99세,379,99,82,85,37,42,34
2020년09월_여_100세 이상,30,13,2,5,1,6,3
2020년10월_계_총인구수,"62,476","19,512","9,550","14,077","5,606","9,802","3,929"
2020년10월_계_연령구간인구수,"62,476","19,512","9,550","14,077","5,606","9,802","3,929"
2020년10월_계_0~9세,"3,390","1,176",537,625,157,743,152
2020년10월_계_10~19세,"4,715","1,701",798,"1,003",338,663,212
2020년10월_계_20~29세,"6,206","2,194",859,"1,353",528,"1,033",239
2020년10월_계_30~39세,"5,763","1,915",818,"1,198",375,"1,178",279
2020년10월_계_40~49세,"7,942","2,657","1,139","1,953",565,"1,218",410
2020년10월_계_50~59세,"11,424","3,464","1,740","2,695","1,124","1,677",724
2020년10월_계_60~69세,"11,989","3,239","1,986","2,663","1,373","1,763",965
2020년10월_계_70~79세,"6,848","1,926",986,"1,657",726,981,572
2020년10월_계_80~89세,"3,629","1,079",575,806,367,478,324
2020년10월_계_90~99세,521,145,108,114,48,58,48
2020년10월_계_100세 이상,49,16,4,10,5,10,4
2020년10월_남_총인구수,"32,168","9,928","4,900","7,192","2,918","5,211","2,019"
2020년10월_남_연령구간인구수,"32,168","9,928","4,900","7,192","2,918","5,211","2,019"
2020년10월_남_0~9세,"1,680",590,251,320,81,373,65
2020년10월_남_10~19세,"2,492",923,396,536,173,349,115
2020년10월_남_20~29세,"3,559","1,204",479,765,336,641,134
2020년10월_남_30~39세,"3,125","1,020",454,641,206,648,156
2020년10월_남_40~49세,"4,263","1,417",599,"1,034",314,656,243
2020년10월_남_50~59세,"6,074","1,832",931,"1,437",586,890,398
2020년10월_남_60~69세,"6,190","1,628","1,035","1,345",710,975,497
2020년10월_남_70~79세,"3,226",862,498,767,363,464,272
2020년10월_남_80~89세,"1,400",404,230,313,135,194,124
2020년10월_남_90~99세,140,44,25,29,11,17,14
2020년10월_남_100세 이상,19,4,2,5,3,4,1
2020년10월_여_총인구수,"30,308","9,584","4,650","6,885","2,688","4,591","1,910"
2020년10월_여_연령구간인구수,"30,308","9,584","4,650","6,885","2,688","4,591","1,910"
2020년10월_여_0~9세,"1,710",586,286,305,76,370,87
2020년10월_여_10~19세,"2,223",778,402,467,165,314,97
2020년10월_여_20~29세,"2,647",990,380,588,192,392,105
2020년10월_여_30~39세,"2,638",895,364,557,169,530,123
2020년10월_여_40~49세,"3,679","1,240",540,919,251,562,167
2020년10월_여_50~59세,"5,350","1,632",809,"1,258",538,787,326
2020년10월_여_60~69세,"5,799","1,611",951,"1,318",663,788,468
2020년10월_여_70~79세,"3,622","1,064",488,890,363,517,300
2020년10월_여_80~89세,"2,229",675,345,493,232,284,200
2020년10월_여_90~99세,381,101,83,85,37,41,34
2020년10월_여_100세 이상,30,12,2,5,2,6,3
2020년11월_계_총인구수,"62,495","19,503","9,577","14,085","5,623","9,792","3,915"
2020년11월_계_연령구간인구수,"62,495","19,503","9,577","14,085","5,623","9,792","3,915"
2020년11월_계_0~9세,"3,376","1,171",539,625,156,731,154
2020년11월_계_10~19세,"4,693","1,685",796,"1,004",339,661,208
2020년11월_계_20~29세,"6,215","2,192",868,"1,352",528,"1,041",234
2020년11월_계_30~39세,"5,771","1,928",818,"1,197",377,"1,170",281
2020년11월_계_40~49세,"7,928","2,653","1,139","1,948",566,"1,221",401
2020년11월_계_50~59세,"11,397","3,450","1,741","2,687","1,128","1,672",719
2020년11월_계_60~69세,"12,053","3,251","2,000","2,690","1,379","1,766",967
2020년11월_계_70~79세,"6,852","1,928",989,"1,653",729,981,572
2020년11월_계_80~89세,"3,635","1,081",574,807,368,479,326
2020년11월_계_90~99세,526,148,109,112,48,60,49
2020년11월_계_100세 이상,49,16,4,10,5,10,4
2020년11월_남_총인구수,"32,192","9,920","4,918","7,199","2,932","5,211","2,012"
2020년11월_남_연령구간인구수,"32,192","9,920","4,918","7,199","2,932","5,211","2,012"
2020년11월_남_0~9세,"1,672",589,254,316,78,368,67
2020년11월_남_10~19세,"2,483",916,395,536,177,348,111
2020년11월_남_20~29세,"3,562","1,199",483,765,340,642,133
2020년11월_남_30~39세,"3,130","1,021",454,646,207,645,157
2020년11월_남_40~49세,"4,267","1,419",598,"1,028",317,666,239
2020년11월_남_50~59세,"6,056","1,823",934,"1,437",585,883,394
2020년11월_남_60~69세,"6,220","1,639","1,041","1,355",711,978,496
2020년11월_남_70~79세,"3,239",864,501,766,368,465,275
2020년11월_남_80~89세,"1,402",402,231,316,135,194,124
2020년11월_남_90~99세,142,44,25,29,11,18,15
2020년11월_남_100세 이상,19,4,2,5,3,4,1
2020년11월_여_총인구수,"30,303","9,583","4,659","6,886","2,691","4,581","1,903"
2020년11월_여_연령구간인구수,"30,303","9,583","4,659","6,886","2,691","4,581","1,903"
2020년11월_여_0~9세,"1,704",582,285,309,78,363,87
2020년11월_여_10~19세,"2,210",769,401,468,162,313,97
2020년11월_여_20~29세,"2,653",993,385,587,188,399,101
2020년11월_여_30~39세,"2,641",907,364,551,170,525,124
2020년11월_여_40~49세,"3,661","1,234",541,920,249,555,162
2020년11월_여_50~59세,"5,341","1,627",807,"1,250",543,789,325
2020년11월_여_60~69세,"5,833","1,612",959,"1,335",668,788,471
2020년11월_여_70~79세,"3,613","1,064",488,887,361,516,297
2020년11월_여_80~89세,"2,233",679,343,491,233,285,202
2020년11월_여_90~99세,384,104,84,83,37,42,34
2020년11월_여_100세 이상,30,12,2,5,2,6,3
2020년12월_계_총인구수,"62,377","19,496","9,598","14,021","5,586","9,785","3,891"
2020년12월_계_연령구간인구수,"62,377","19,496","9,598","14,021","5,586","9,785","3,891"
2020년12월_계_0~9세,"3,344","1,158",542,616,154,722,152
2020년12월_계_10~19세,"4,634","1,687",792,998,288,665,204
2020년12월_계_20~29세,"6,212","2,198",875,"1,337",523,"1,043",236
2020년12월_계_30~39세,"5,742","1,925",817,"1,192",370,"1,164",274
2020년12월_계_40~49세,"7,910","2,655","1,132","1,928",576,"1,227",392
2020년12월_계_50~59세,"11,364","3,440","1,733","2,677","1,127","1,667",720
2020년12월_계_60~69세,"12,108","3,265","2,026","2,692","1,396","1,764",965
2020년12월_계_70~79세,"6,833","1,920",986,"1,655",725,979,568
2020년12월_계_80~89세,"3,651","1,087",577,803,374,486,324
2020년12월_계_90~99세,529,145,114,113,48,58,51
2020년12월_계_100세 이상,50,16,4,10,5,10,5
2020년12월_남_총인구수,"32,156","9,921","4,934","7,163","2,934","5,207","1,997"
2020년12월_남_연령구간인구수,"32,156","9,921","4,934","7,163","2,934","5,207","1,997"
2020년12월_남_0~9세,"1,663",584,258,311,77,368,65
2020년12월_남_10~19세,"2,466",919,393,536,160,348,110
2020년12월_남_20~29세,"3,575","1,208",492,755,344,642,134
2020년12월_남_30~39세,"3,114","1,022",451,643,208,640,150
2020년12월_남_40~49세,"4,257","1,418",593,"1,021",326,667,232
2020년12월_남_50~59세,"6,023","1,812",929,"1,423",583,880,396
2020년12월_남_60~69세,"6,251","1,648","1,052","1,358",718,979,496
2020년12월_남_70~79세,"3,226",858,501,767,367,462,271
2020년12월_남_80~89세,"1,417",406,234,314,137,200,126
2020년12월_남_90~99세,144,42,29,30,11,17,15
2020년12월_남_100세 이상,20,4,2,5,3,4,2
2020년12월_여_총인구수,"30,221","9,575","4,664","6,858","2,652","4,578","1,894"
2020년12월_여_연령구간인구수,"30,221","9,575","4,664","6,858","2,652","4,578","1,894"
2020년12월_여_0~9세,"1,681",574,284,305,77,354,87
2020년12월_여_10~19세,"2,168",768,399,462,128,317,94
2020년12월_여_20~29세,"2,637",990,383,582,179,401,102
2020년12월_여_30~39세,"2,628",903,366,549,162,524,124
2020년12월_여_40~49세,"3,653","1,237",539,907,250,560,160
2020년12월_여_50~59세,"5,341","1,628",804,"1,254",544,787,324
2020년12월_여_60~69세,"5,857","1,617",974,"1,334",678,785,469
2020년12월_여_70~79세,"3,607","1,062",485,888,358,517,297
2020년12월_여_80~89세,"2,234",681,343,489,237,286,198
2020년12월_여_90~99세,385,103,85,83,37,41,36
2020년12월_여_100세 이상,30,12,2,5,2,6,3
2021년01월_계_총인구수,"62,399","19,536","9,598","14,045","5,571","9,754","3,895"
2021년01월_계_연령구간인구수,"62,399","19,536","9,598","14,045","5,571","9,754","3,895"
2021년01월_계_0~9세,"3,334","1,159",549,618,150,707,151
2021년01월_계_10~19세,"4,578","1,672",780,"1,001",262,661,202
2021년01월_계_20~29세,"6,253","2,231",882,"1,330",529,"1,043",238
2021년01월_계_30~39세,"5,709","1,921",822,"1,176",372,"1,146",272
2021년01월_계_40~49세,"7,896","2,657","1,127","1,935",561,"1,228",388
2021년01월_계_50~59세,"11,352","3,435","1,736","2,680","1,120","1,658",723
2021년01월_계_60~69세,"12,179","3,289","2,019","2,718","1,412","1,772",969
2021년01월_계_70~79세,"6,830","1,912",985,"1,654",733,981,565
2021년01월_계_80~89세,"3,686","1,094",581,809,379,490,333
2021년01월_계_90~99세,531,150,112,114,48,58,49
