카테고리,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동,세종특별자치시  해밀동,세종특별자치시  반곡동
2020년03월_남_50~59세,"22,328","3,558",315,319,656,921,690,775,612,432,267,"1,260","2,776","1,907","1,320","1,497","1,515","1,682","1,094",732,,,
2020년03월_남_60~69세,"13,894","2,541",266,354,478,921,530,697,509,477,213,539,"1,375",881,553,820,"1,004",826,556,354,,,
2020년03월_남_70~79세,"6,216","1,317",121,187,277,516,264,406,300,254,120,220,395,363,202,371,354,235,209,105,,,
2020년03월_남_80~89세,"2,312",553,56,95,139,218,140,215,178,117,66,56,73,110,49,86,70,32,39,20,,,
2020년03월_남_90~99세,250,58,1,13,16,22,17,17,11,9,3,11,8,17,10,11,12,7,4,3,,,
2020년03월_남_100세 이상,10,3,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,,,
2020년03월_여_총인구수,"172,841","20,891","1,145","1,538","2,811","4,107","2,766","3,460","2,740","1,697","1,207","9,886","28,079","16,653","12,040","15,469","17,423","15,601","9,949","5,379",,,
2020년03월_여_연령구간인구수,"172,841","20,891","1,145","1,538","2,811","4,107","2,766","3,460","2,740","1,697","1,207","9,886","28,079","16,653","12,040","15,469","17,423","15,601","9,949","5,379",,,
2020년03월_여_0~9세,"23,163","1,653",42,54,181,166,98,204,112,52,58,"1,360","4,444","2,139","1,884","2,466","3,078","2,743","1,641",788,,,
2020년03월_여_10~19세,"20,292","2,081",55,64,173,196,154,205,180,64,95,"1,682","3,444","2,248","2,056","2,070","2,259","1,573","1,193",500,,,
2020년03월_여_20~29세,"17,972","2,801",123,123,264,351,360,307,251,132,123,839,"3,270","2,056",849,"1,440","1,348","1,651","1,023",661,,,
2020년03월_여_30~39세,"31,502","2,494",98,120,257,326,243,289,210,99,85,"1,505","6,396","3,143","2,097","3,210","3,714","3,862","2,153","1,201",,,
2020년03월_여_40~49세,"32,082","3,259",113,135,338,394,306,361,303,145,154,"2,345","5,411","3,517","3,038","3,093","3,588","2,801","1,884",897,,,
2020년03월_여_50~59세,"20,804","3,224",226,244,468,737,541,578,480,309,197,"1,163","2,872","1,793","1,162","1,547","1,731","1,698","1,088",746,,,
2020년03월_여_60~69세,"14,108","2,590",209,309,494,811,487,622,442,374,193,569,"1,489",960,571,981,"1,154",831,628,394,,,
2020년03월_여_70~79세,"7,444","1,713",145,228,370,611,299,501,391,264,155,253,457,456,236,412,384,260,205,104,,,
2020년03월_여_80~89세,"4,582",909,113,212,237,436,241,336,297,216,128,148,242,284,115,217,131,142,108,70,,,
2020년03월_여_90~99세,845,156,19,46,28,73,35,53,69,37,18,20,53,57,31,33,35,39,25,18,,,
2020년03월_여_100세 이상,47,11,2,3,1,6,2,4,5,5,1,2,1,0,1,0,1,1,1,0,,,
2020년04월_계_총인구수,"345,216","43,126","2,596","3,195","6,168","8,723","6,279","7,499","5,794","3,682","2,503","19,528","54,563","32,329","23,814","30,019","34,257","30,899","19,597","10,645",,,
2020년04월_계_연령구간인구수,"345,216","43,126","2,596","3,195","6,168","8,723","6,279","7,499","5,794","3,682","2,503","19,528","54,563","32,329","23,814","30,019","34,257","30,899","19,597","10,645",,,
2020년04월_계_0~9세,"47,399","3,418",82,102,363,307,204,386,224,90,115,"2,795","9,119","4,377","3,879","5,025","6,310","5,616","3,341","1,646",,,
2020년04월_계_10~19세,"40,875","4,245",111,134,372,428,307,454,408,133,191,"3,400","6,726","4,508","4,234","4,122","4,585","3,094","2,418","1,005",,,
2020년04월_계_20~29세,"36,323","6,394",300,311,728,841,886,776,588,321,279,"1,716","6,018","3,736","1,766","2,674","2,616","3,102","1,977","1,294",,,
2020년04월_계_30~39세,"61,266","5,390",304,286,672,849,742,729,526,273,192,"2,729","12,118","5,911","3,682","5,920","6,995","7,583","4,000","2,365",,,
2020년04월_계_40~49세,"66,124","6,982",324,341,871,999,878,960,751,373,362,"4,616","10,853","6,927","5,976","6,288","7,300","5,698","3,848","1,777",,,
2020년04월_계_50~59세,"43,283","6,775",545,561,"1,125","1,657","1,225","1,332","1,089",725,460,"2,451","5,653","3,726","2,502","3,063","3,272","3,415","2,223","1,484",,,
2020년04월_계_60~69세,"28,173","5,175",472,675,973,"1,750","1,035","1,330",954,862,408,"1,102","2,860","1,844","1,132","1,795","2,186","1,671","1,199",750,,,
2020년04월_계_70~79세,"13,673","3,040",267,413,633,"1,137",565,900,690,518,275,480,841,831,441,777,743,500,413,209,,,
2020년04월_계_80~89세,"6,922","1,470",169,307,385,652,383,556,477,333,198,204,313,393,159,312,201,172,148,90,,,
2020년04월_계_90~99세,"1,121",223,20,61,44,97,52,72,81,47,21,33,61,76,42,43,48,47,29,24,,,
2020년04월_계_100세 이상,57,14,2,4,2,6,2,4,6,7,2,2,1,0,1,0,1,1,1,1,,,
2020년04월_남_총인구수,"172,176","22,259","1,457","1,656","3,375","4,606","3,522","4,037","3,055","2,001","1,322","9,618","26,434","15,652","11,780","14,574","16,713","15,215","9,628","5,272",,,
2020년04월_남_연령구간인구수,"172,176","22,259","1,457","1,656","3,375","4,606","3,522","4,037","3,055","2,001","1,322","9,618","26,434","15,652","11,780","14,574","16,713","15,215","9,628","5,272",,,
2020년04월_남_0~9세,"24,291","1,785",41,48,180,149,104,180,115,40,58,"1,445","4,669","2,258","2,008","2,573","3,215","2,865","1,703",855,,,
2020년04월_남_10~19세,"20,538","2,166",59,71,201,230,156,252,229,71,98,"1,713","3,273","2,254","2,182","2,039","2,319","1,505","1,216",504,,,
2020년04월_남_20~29세,"18,359","3,603",176,192,472,487,532,463,336,188,166,877,"2,711","1,684",908,"1,243","1,253","1,463",964,641,,,
2020년04월_남_30~39세,"29,831","2,922",207,162,419,516,497,446,315,176,113,"1,229","5,735","2,776","1,598","2,744","3,249","3,699","1,860","1,168",,,
2020년04월_남_40~49세,"33,941","3,722",211,209,531,614,589,593,453,230,216,"2,256","5,418","3,385","2,940","3,177","3,688","2,877","1,952",880,,,
2020년04월_남_50~59세,"22,421","3,554",319,315,661,916,683,759,607,426,265,"1,270","2,787","1,922","1,329","1,514","1,541","1,701","1,117",735,,,
2020년04월_남_60~69세,"13,984","2,564",265,362,481,929,538,704,513,486,216,537,"1,369",881,553,818,"1,014",833,562,359,,,
2020년04월_남_70~79세,"6,226","1,323",121,186,270,525,266,404,299,255,120,224,391,367,204,368,352,234,212,105,,,
2020년04월_남_80~89세,"2,316",556,56,95,144,217,140,219,175,118,66,55,73,108,47,87,70,31,38,21,,,
2020년04월_남_90~99세,259,61,2,15,15,23,17,17,12,9,3,12,8,17,11,11,12,7,4,3,,,
2020년04월_남_100세 이상,10,3,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,,,
2020년04월_여_총인구수,"173,040","20,867","1,139","1,539","2,793","4,117","2,757","3,462","2,739","1,681","1,181","9,910","28,129","16,677","12,034","15,445","17,544","15,684","9,969","5,373",,,
2020년04월_여_연령구간인구수,"173,040","20,867","1,139","1,539","2,793","4,117","2,757","3,462","2,739","1,681","1,181","9,910","28,129","16,677","12,034","15,445","17,544","15,684","9,969","5,373",,,
2020년04월_여_0~9세,"23,108","1,633",41,54,183,158,100,206,109,50,57,"1,350","4,450","2,119","1,871","2,452","3,095","2,751","1,638",791,,,
2020년04월_여_10~19세,"20,337","2,079",52,63,171,198,151,202,179,62,93,"1,687","3,453","2,254","2,052","2,083","2,266","1,589","1,202",501,,,
2020년04월_여_20~29세,"17,964","2,791",124,119,256,354,354,313,252,133,113,839,"3,307","2,052",858,"1,431","1,363","1,639","1,013",653,,,
2020년04월_여_30~39세,"31,435","2,468",97,124,253,333,245,283,211,97,79,"1,500","6,383","3,135","2,084","3,176","3,746","3,884","2,140","1,197",,,
2020년04월_여_40~49세,"32,183","3,260",113,132,340,385,289,367,298,143,146,"2,360","5,435","3,542","3,036","3,111","3,612","2,821","1,896",897,,,
2020년04월_여_50~59세,"20,862","3,221",226,246,464,741,542,573,482,299,195,"1,181","2,866","1,804","1,173","1,549","1,731","1,714","1,106",749,,,
2020년04월_여_60~69세,"14,189","2,611",207,313,492,821,497,626,441,376,192,565,"1,491",963,579,977,"1,172",838,637,391,,,
2020년04월_여_70~79세,"7,447","1,717",146,227,363,612,299,496,391,263,155,256,450,464,237,409,391,266,201,104,,,
2020년04월_여_80~89세,"4,606",914,113,212,241,435,243,337,302,215,132,149,240,285,112,225,131,141,110,69,,,
2020년04월_여_90~99세,862,162,18,46,29,74,35,55,69,38,18,21,53,59,31,32,36,40,25,21,,,
2020년04월_여_100세 이상,47,11,2,3,1,6,2,4,5,5,1,2,1,0,1,0,1,1,1,0,,,
2020년05월_계_총인구수,"345,373","43,120","2,605","3,185","6,170","8,715","6,316","7,491","5,768","3,681","2,496","19,490","54,562","32,329","23,822","30,031","34,420","30,976","19,560","10,636",,,
2020년05월_계_연령구간인구수,"345,373","43,120","2,605","3,185","6,170","8,715","6,316","7,491","5,768","3,681","2,496","19,490","54,562","32,329","23,822","30,031","34,420","30,976","19,560","10,636",,,
2020년05월_계_0~9세,"47,239","3,413",83,105,362,295,199,374,212,90,112,"2,777","9,089","4,352","3,848","4,998","6,321","5,617","3,337","1,655",,,
2020년05월_계_10~19세,"40,970","4,225",114,131,369,422,301,444,411,134,189,"3,400","6,783","4,510","4,248","4,143","4,602","3,120","2,419","1,005",,,
2020년05월_계_20~29세,"36,245","6,390",304,309,724,855,895,790,572,312,282,"1,718","5,958","3,755","1,766","2,666","2,634","3,078","1,962","1,275",,,
2020년05월_계_30~39세,"61,103","5,376",306,284,680,849,756,729,528,276,189,"2,703","12,085","5,916","3,693","5,868","6,998","7,557","3,964","2,346",,,
2020년05월_계_40~49세,"66,258","6,989",319,339,866,984,887,950,743,372,358,"4,607","10,916","6,899","5,990","6,331","7,339","5,722","3,862","1,785",,,
2020년05월_계_50~59세,"43,404","6,778",548,556,"1,129","1,645","1,234","1,320","1,092",724,461,"2,476","5,647","3,739","2,495","3,078","3,315","3,449","2,229","1,489",,,
2020년05월_계_60~69세,"28,280","5,173",471,683,971,"1,761","1,033","1,345",956,865,409,"1,099","2,861","1,865","1,134","1,805","2,198","1,693","1,198",760,,,
2020년05월_계_70~79세,"13,762","3,061",265,410,638,"1,140",575,909,692,520,274,474,845,830,443,788,763,514,413,208,,,
2020년05월_계_80~89세,"6,924","1,470",170,304,384,658,382,552,477,334,199,201,315,388,161,310,206,177,145,91,,,
2020년05월_계_90~99세,"1,132",231,23,60,45,100,52,74,79,47,22,33,62,75,43,44,43,48,30,21,,,
2020년05월_계_100세 이상,56,14,2,4,2,6,2,4,6,7,1,2,1,0,1,0,1,1,1,1,,,
2020년05월_남_총인구수,"172,269","22,266","1,456","1,647","3,389","4,597","3,553","4,039","3,045","2,003","1,320","9,604","26,416","15,628","11,789","14,585","16,806","15,251","9,597","5,278",,,
2020년05월_남_연령구간인구수,"172,269","22,266","1,456","1,647","3,389","4,597","3,553","4,039","3,045","2,003","1,320","9,604","26,416","15,628","11,789","14,585","16,806","15,251","9,597","5,278",,,
2020년05월_남_0~9세,"24,226","1,788",40,50,183,142,100,174,109,41,56,"1,435","4,659","2,246","1,989","2,557","3,227","2,871","1,701",858,,,
2020년05월_남_10~19세,"20,581","2,157",61,69,201,224,155,245,231,70,97,"1,720","3,289","2,255","2,191","2,052","2,331","1,514","1,218",501,,,
2020년05월_남_20~29세,"18,322","3,593",176,191,471,497,543,479,326,185,169,875,"2,676","1,675",907,"1,248","1,266","1,456",951,638,,,
2020년05월_남_30~39세,"29,740","2,916",207,157,429,519,504,445,321,178,112,"1,220","5,712","2,775","1,614","2,717","3,250","3,672","1,835","1,157",,,
2020년05월_남_40~49세,"33,977","3,727",206,207,526,605,591,589,446,229,215,"2,243","5,454","3,369","2,941","3,189","3,708","2,889","1,959",884,,,
2020년05월_남_50~59세,"22,525","3,568",320,313,665,913,697,754,612,426,263,"1,286","2,779","1,929","1,326","1,525","1,559","1,722","1,123",745,,,
2020년05월_남_60~69세,"14,032","2,560",266,365,481,927,538,711,515,488,216,539,"1,368",890,553,827,"1,019",843,562,364,,,
2020년05월_남_70~79세,"6,284","1,337",122,185,272,528,269,409,299,256,122,219,397,367,209,372,364,244,207,106,,,
2020년05월_남_80~89세,"2,313",552,56,95,145,219,140,217,173,119,66,55,73,106,48,86,72,33,37,21,,,
2020년05월_남_90~99세,259,65,2,14,15,23,16,16,12,9,3,12,9,16,11,12,10,7,4,3,,,
2020년05월_남_100세 이상,10,3,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,,,
2020년05월_여_총인구수,"173,104","20,854","1,149","1,538","2,781","4,118","2,763","3,452","2,723","1,678","1,176","9,886","28,146","16,701","12,033","15,446","17,614","15,725","9,963","5,358",,,
2020년05월_여_연령구간인구수,"173,104","20,854","1,149","1,538","2,781","4,118","2,763","3,452","2,723","1,678","1,176","9,886","28,146","16,701","12,033","15,446","17,614","15,725","9,963","5,358",,,
2020년05월_여_0~9세,"23,013","1,625",43,55,179,153,99,200,103,49,56,"1,342","4,430","2,106","1,859","2,441","3,094","2,746","1,636",797,,,
2020년05월_여_10~19세,"20,389","2,068",53,62,168,198,146,199,180,64,92,"1,680","3,494","2,255","2,057","2,091","2,271","1,606","1,201",504,,,
2020년05월_여_20~29세,"17,923","2,797",128,118,253,358,352,311,246,127,113,843,"3,282","2,080",859,"1,418","1,368","1,622","1,011",637,,,
2020년05월_여_30~39세,"31,363","2,460",99,127,251,330,252,284,207,98,77,"1,483","6,373","3,141","2,079","3,151","3,748","3,885","2,129","1,189",,,
2020년05월_여_40~49세,"32,281","3,262",113,132,340,379,296,361,297,143,143,"2,364","5,462","3,530","3,049","3,142","3,631","2,833","1,903",901,,,
2020년05월_여_50~59세,"20,879","3,210",228,243,464,732,537,566,480,298,198,"1,190","2,868","1,810","1,169","1,553","1,756","1,727","1,106",744,,,
2020년05월_여_60~69세,"14,248","2,613",205,318,490,834,495,634,441,377,193,560,"1,493",975,581,978,"1,179",850,636,396,,,
2020년05월_여_70~79세,"7,478","1,724",143,225,366,612,306,500,393,264,152,255,448,463,234,416,399,270,206,102,,,
2020년05월_여_80~89세,"4,611",918,114,209,239,439,242,335,304,215,133,146,242,282,113,224,134,144,108,70,,,
2020년05월_여_90~99세,873,166,21,46,30,77,36,58,67,38,19,21,53,59,32,32,33,41,26,18,,,
2020년05월_여_100세 이상,46,11,2,3,1,6,2,4,5,5,0,2,1,0,1,0,1,1,1,0,,,
2020년06월_계_총인구수,"345,341","42,847","2,599","3,184","6,178","8,722","6,357","7,443","5,731","3,658","2,483","19,462","54,759","32,315","23,851","29,972","34,479","31,046","19,534","10,721",,,
2020년06월_계_연령구간인구수,"345,341","42,847","2,599","3,184","6,178","8,722","6,357","7,443","5,731","3,658","2,483","19,462","54,759","32,315","23,851","29,972","34,479","31,046","19,534","10,721",,,
2020년06월_계_0~9세,"47,105","3,365",84,103,356,296,197,357,209,86,110,"2,766","9,139","4,350","3,839","4,959","6,295","5,623","3,305","1,666",,,
2020년06월_계_10~19세,"41,077","4,205",111,129,367,419,314,444,411,134,191,"3,387","6,815","4,519","4,263","4,149","4,628","3,147","2,435","1,009",,,
2020년06월_계_20~29세,"36,098","6,312",319,306,726,861,894,791,563,307,280,"1,709","5,944","3,745","1,766","2,641","2,627","3,051","1,967","1,289",,,
2020년06월_계_30~39세,"60,923","5,351",296,286,682,842,758,710,526,267,189,"2,709","12,062","5,892","3,706","5,829","6,983","7,545","3,926","2,364",,,
2020년06월_계_40~49세,"66,382","6,949",316,333,872,986,897,940,732,368,354,"4,589","11,009","6,904","5,991","6,332","7,384","5,757","3,869","1,800",,,
2020년06월_계_50~59세,"43,369","6,704",544,559,"1,124","1,630","1,240","1,305","1,079",720,459,"2,478","5,650","3,743","2,504","3,088","3,325","3,471","2,241","1,505",,,
2020년06월_계_60~69세,"28,419","5,168",473,684,980,"1,772","1,045","1,349",962,869,404,"1,114","2,885","1,871","1,131","1,828","2,215","1,705","1,202",762,,,
2020년06월_계_70~79세,"13,859","3,081",262,415,637,"1,150",575,916,689,521,275,482,874,834,446,788,770,518,419,207,,,
2020년06월_계_80~89세,"6,908","1,465",169,306,387,660,382,554,475,329,196,193,317,380,163,310,206,179,140,97,,,
2020년06월_계_90~99세,"1,145",233,23,59,45,100,53,73,79,50,24,33,63,77,42,48,44,49,29,21,,,
2020년06월_계_100세 이상,56,14,2,4,2,6,2,4,6,7,1,2,1,0,0,0,2,1,1,1,,,
2020년06월_남_총인구수,"172,234","22,097","1,451","1,652","3,405","4,608","3,583","4,008","3,033","1,995","1,309","9,586","26,490","15,609","11,805","14,552","16,837","15,299","9,588","5,327",,,
2020년06월_남_연령구간인구수,"172,234","22,097","1,451","1,652","3,405","4,608","3,583","4,008","3,033","1,995","1,309","9,586","26,490","15,609","11,805","14,552","16,837","15,299","9,588","5,327",,,
2020년06월_남_0~9세,"24,163","1,752",41,49,182,142,98,163,107,40,57,"1,421","4,687","2,254","1,990","2,534","3,213","2,877","1,693",863,,,
2020년06월_남_10~19세,"20,599","2,139",59,67,199,219,163,243,231,70,95,"1,723","3,290","2,253","2,193","2,057","2,346","1,528","1,222",502,,,
2020년06월_남_20~29세,"18,280","3,551",185,191,479,504,546,480,328,182,167,865,"2,664","1,668",909,"1,243","1,261","1,453",952,652,,,
2020년06월_남_30~39세,"29,634","2,900",198,160,429,517,506,439,321,173,111,"1,224","5,683","2,756","1,622","2,696","3,252","3,667","1,815","1,165",,,
2020년06월_남_40~49세,"34,015","3,697",205,205,528,611,596,579,439,229,212,"2,234","5,502","3,362","2,932","3,194","3,720","2,911","1,961",898,,,
2020년06월_남_50~59세,"22,519","3,537",318,314,665,905,702,745,604,429,262,"1,287","2,785","1,939","1,335","1,528","1,565","1,722","1,129",748,,,
2020년06월_남_60~69세,"14,101","2,561",268,367,486,934,547,711,518,487,213,548,"1,375",894,548,824,"1,032",854,567,367,,,
2020년06월_남_70~79세,"6,331","1,339",120,189,274,535,269,414,299,257,121,220,416,364,215,376,363,246,209,105,,,
2020년06월_남_80~89세,"2,321",553,55,95,147,217,140,218,173,117,67,53,79,103,50,87,75,33,36,23,,,
2020년06월_남_90~99세,261,65,2,14,15,24,16,16,12,9,3,11,9,16,11,13,10,8,4,3,,,
2020년06월_남_100세 이상,10,3,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,,,
2020년06월_여_총인구수,"173,107","20,750","1,148","1,532","2,773","4,114","2,774","3,435","2,698","1,663","1,174","9,876","28,269","16,706","12,046","15,420","17,642","15,747","9,946","5,394",,,
2020년06월_여_연령구간인구수,"173,107","20,750","1,148","1,532","2,773","4,114","2,774","3,435","2,698","1,663","1,174","9,876","28,269","16,706","12,046","15,420","17,642","15,747","9,946","5,394",,,
2020년06월_여_0~9세,"22,942","1,613",43,54,174,154,99,194,102,46,53,"1,345","4,452","2,096","1,849","2,425","3,082","2,746","1,612",803,,,
2020년06월_여_10~19세,"20,478","2,066",52,62,168,200,151,201,180,64,96,"1,664","3,525","2,266","2,070","2,092","2,282","1,619","1,213",507,,,
2020년06월_여_20~29세,"17,818","2,761",134,115,247,357,348,311,235,125,113,844,"3,280","2,077",857,"1,398","1,366","1,598","1,015",637,,,
2020년06월_여_30~39세,"31,289","2,451",98,126,253,325,252,271,205,94,78,"1,485","6,379","3,136","2,084","3,133","3,731","3,878","2,111","1,199",,,
2020년06월_여_40~49세,"32,367","3,252",111,128,344,375,301,361,293,139,142,"2,355","5,507","3,542","3,059","3,138","3,664","2,846","1,908",902,,,
2020년06월_여_50~59세,"20,850","3,167",226,245,459,725,538,560,475,291,197,"1,191","2,865","1,804","1,169","1,560","1,760","1,749","1,112",757,,,
2020년06월_여_60~69세,"14,318","2,607",205,317,494,838,498,638,444,382,191,566,"1,510",977,583,"1,004","1,183",851,635,395,,,
2020년06월_여_70~79세,"7,528","1,742",142,226,363,615,306,502,390,264,154,262,458,470,231,412,407,272,210,102,,,
2020년06월_여_80~89세,"4,587",912,114,211,240,443,242,336,302,212,129,140,238,277,113,223,131,146,104,74,,,
2020년06월_여_90~99세,884,168,21,45,30,76,37,57,67,41,21,22,54,61,31,35,34,41,25,18,,,
2020년06월_여_100세 이상,46,11,2,3,1,6,2,4,5,5,0,2,1,0,0,0,2,1,1,0,,,
2020년07월_계_총인구수,"346,217","42,880","2,611","3,175","6,188","8,762","6,425","7,400","5,703","3,657","2,477","19,494","55,068","32,377","23,879","30,003","34,544","31,159","19,573","10,842",,,
2020년07월_계_연령구간인구수,"346,217","42,880","2,611","3,175","6,188","8,762","6,425","7,400","5,703","3,657","2,477","19,494","55,068","32,377","23,879","30,003","34,544","31,159","19,573","10,842",,,
2020년07월_계_0~9세,"47,066","3,357",86,100,348,305,205,345,206,84,109,"2,762","9,171","4,336","3,820","4,955","6,268","5,648","3,299","1,662",,,
2020년07월_계_10~19세,"41,228","4,213",107,130,376,424,305,441,404,135,191,"3,395","6,859","4,534","4,272","4,157","4,643","3,156","2,466","1,020",,,
2020년07월_계_20~29세,"36,176","6,312",331,302,727,858,919,797,560,303,280,"1,709","6,002","3,747","1,755","2,623","2,639","3,067","1,942","1,303",,,
2020년07월_계_30~39세,"60,806","5,362",302,279,687,866,772,697,523,269,188,"2,707","12,083","5,879","3,686","5,803","6,921","7,526","3,893","2,363",,,
2020년07월_계_40~49세,"66,688","6,927",323,340,874,992,905,927,724,370,351,"4,584","11,099","6,914","6,015","6,353","7,441","5,801","3,916","1,832",,,
2020년07월_계_50~59세,"43,570","6,703",530,549,"1,123","1,636","1,243","1,302","1,076",720,459,"2,494","5,684","3,771","2,533","3,112","3,361","3,470","2,254","1,550",,,
2020년07월_계_60~69세,"28,607","5,200",479,685,982,"1,753","1,058","1,345",963,869,402,"1,135","2,903","1,896","1,144","1,840","2,229","1,734","1,217",773,,,
2020년07월_계_70~79세,"13,961","3,089",264,419,635,"1,159",584,922,688,520,278,480,884,841,451,802,782,533,414,216,,,
2020년07월_계_80~89세,"6,915","1,474",164,310,389,660,379,546,475,328,196,193,319,379,161,309,213,176,144,100,,,
2020년07월_계_90~99세,"1,145",229,23,57,45,103,53,75,78,52,22,33,63,80,42,49,45,46,28,22,,,
2020년07월_계_100세 이상,55,14,2,4,2,6,2,3,6,7,1,2,1,0,0,0,2,2,0,1,,,
2020년07월_남_총인구수,"172,660","22,100","1,467","1,646","3,412","4,621","3,628","3,988","3,022","1,992","1,306","9,598","26,648","15,627","11,824","14,558","16,873","15,357","9,606","5,387",,,
2020년07월_남_연령구간인구수,"172,660","22,100","1,467","1,646","3,412","4,621","3,628","3,988","3,022","1,992","1,306","9,598","26,648","15,627","11,824","14,558","16,873","15,357","9,606","5,387",,,
2020년07월_남_0~9세,"24,134","1,746",40,48,178,145,102,159,106,40,57,"1,424","4,689","2,243","1,983","2,533","3,206","2,886","1,681",868,,,
2020년07월_남_10~19세,"20,667","2,141",58,67,205,221,161,241,227,68,94,"1,723","3,311","2,268","2,203","2,048","2,340","1,544","1,240",507,,,
2020년07월_남_20~29세,"18,310","3,538",193,188,478,507,561,480,325,181,168,861,"2,697","1,668",901,"1,235","1,269","1,452",943,665,,,
2020년07월_남_30~39세,"29,610","2,911",206,157,432,524,516,438,321,172,112,"1,227","5,699","2,733","1,617","2,694","3,231","3,652","1,803","1,165",,,
2020년07월_남_40~49세,"34,129","3,682",212,207,529,612,604,570,438,233,210,"2,224","5,539","3,371","2,932","3,200","3,741","2,933","1,981",911,,,
