카테고리,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2020년03월_남_80~89세,"1,413",378,135,109,125,93,118,88,113,102,152
2020년03월_남_90~99세,126,28,15,13,9,4,10,8,9,12,18
2020년03월_남_100세 이상,9,4,1,0,0,0,0,0,2,1,1
2020년03월_여_총인구수,"25,759","11,666","1,635","1,374","1,280","1,282","1,446","1,052","1,618","1,469","2,937"
2020년03월_여_연령구간인구수,"25,759","11,666","1,635","1,374","1,280","1,282","1,446","1,052","1,618","1,469","2,937"
2020년03월_여_0~9세,"1,341",897,37,32,38,71,40,27,29,40,130
2020년03월_여_10~19세,"2,117","1,215",70,43,46,68,221,86,99,61,208
2020년03월_여_20~29세,"1,754",973,93,69,47,52,70,36,96,90,228
2020년03월_여_30~39세,"1,893","1,124",93,72,53,83,68,45,69,94,192
2020년03월_여_40~49세,"2,839","1,721",135,86,66,96,89,73,141,118,314
2020년03월_여_50~59세,"4,200","1,829",270,215,182,183,202,188,279,274,578
2020년03월_여_60~69세,"4,659","1,720",344,339,295,289,256,193,335,335,553
2020년03월_여_70~79세,"3,741","1,350",292,239,250,229,238,217,315,237,374
2020년03월_여_80~89세,"2,790",715,245,250,266,189,238,159,229,185,314
2020년03월_여_90~99세,405,111,55,29,36,22,23,26,25,33,45
2020년03월_여_100세 이상,20,11,1,0,1,0,1,2,1,2,1
2020년04월_계_총인구수,"51,781","22,941","3,348","2,856","2,531","2,588","2,888","2,156","3,269","3,093","6,111"
2020년04월_계_연령구간인구수,"51,781","22,941","3,348","2,856","2,531","2,588","2,888","2,156","3,269","3,093","6,111"
2020년04월_계_0~9세,"2,712","1,750",97,75,71,135,90,60,75,87,272
2020년04월_계_10~19세,"4,429","2,507",168,111,86,143,427,179,226,147,435
2020년04월_계_20~29세,"4,062","2,192",236,179,113,136,167,102,198,220,519
2020년04월_계_30~39세,"3,994","2,298",219,174,121,170,130,88,150,193,451
2020년04월_계_40~49세,"6,391","3,587",310,238,211,263,239,185,346,307,705
2020년04월_계_50~59세,"9,247","3,754",628,509,442,447,461,443,642,630,"1,291"
2020년04월_계_60~69세,"9,412","3,266",710,719,589,567,546,437,673,706,"1,199"
2020년04월_계_70~79세,"6,765","2,344",529,450,461,416,438,376,577,469,705
2020년04월_계_80~89세,"4,207","1,092",378,359,390,285,357,250,342,285,469
2020년04월_계_90~99세,532,136,70,42,46,26,32,33,37,47,63
2020년04월_계_100세 이상,30,15,3,0,1,0,1,3,3,2,2
2020년04월_남_총인구수,"26,064","11,280","1,714","1,486","1,255","1,301","1,451","1,108","1,651","1,634","3,184"
2020년04월_남_연령구간인구수,"26,064","11,280","1,714","1,486","1,255","1,301","1,451","1,108","1,651","1,634","3,184"
2020년04월_남_0~9세,"1,384",865,59,42,34,63,52,35,46,48,140
2020년04월_남_10~19세,"2,313","1,286",99,68,41,77,211,92,124,85,230
2020년04월_남_20~29세,"2,339","1,235",142,112,65,85,101,69,105,133,292
2020년04월_남_30~39세,"2,101","1,170",124,102,68,87,64,42,83,97,264
2020년04월_남_40~49세,"3,574","1,876",179,154,149,164,147,116,203,192,394
2020년04월_남_50~59세,"5,049","1,917",362,290,259,264,260,256,366,358,717
2020년04월_남_60~69세,"4,744","1,534",364,383,296,280,291,240,336,374,646
2020년04월_남_70~79세,"3,016",989,235,212,209,183,199,162,264,232,331
2020년04월_남_80~89세,"1,413",377,134,110,125,94,117,89,113,102,152
2020년04월_남_90~99세,122,27,15,13,9,4,9,7,9,12,17
2020년04월_남_100세 이상,9,4,1,0,0,0,0,0,2,1,1
2020년04월_여_총인구수,"25,717","11,661","1,634","1,370","1,276","1,287","1,437","1,048","1,618","1,459","2,927"
2020년04월_여_연령구간인구수,"25,717","11,661","1,634","1,370","1,276","1,287","1,437","1,048","1,618","1,459","2,927"
2020년04월_여_0~9세,"1,328",885,38,33,37,72,38,25,29,39,132
2020년04월_여_10~19세,"2,116","1,221",69,43,45,66,216,87,102,62,205
2020년04월_여_20~29세,"1,723",957,94,67,48,51,66,33,93,87,227
2020년04월_여_30~39세,"1,893","1,128",95,72,53,83,66,46,67,96,187
2020년04월_여_40~49세,"2,817","1,711",131,84,62,99,92,69,143,115,311
2020년04월_여_50~59세,"4,198","1,837",266,219,183,183,201,187,276,272,574
2020년04월_여_60~69세,"4,668","1,732",346,336,293,287,255,197,337,332,553
2020년04월_여_70~79세,"3,749","1,355",294,238,252,233,239,214,313,237,374
2020년04월_여_80~89세,"2,794",715,244,249,265,191,240,161,229,183,317
2020년04월_여_90~99세,410,109,55,29,37,22,23,26,28,35,46
2020년04월_여_100세 이상,21,11,2,0,1,0,1,3,1,1,1
2020년05월_계_총인구수,"51,746","22,924","3,342","2,862","2,528","2,581","2,875","2,170","3,273","3,090","6,101"
2020년05월_계_연령구간인구수,"51,746","22,924","3,342","2,862","2,528","2,581","2,875","2,170","3,273","3,090","6,101"
2020년05월_계_0~9세,"2,711","1,743",94,78,71,136,88,64,79,82,276
2020년05월_계_10~19세,"4,400","2,494",168,110,86,139,417,187,225,148,426
2020년05월_계_20~29세,"4,040","2,188",229,182,114,138,163,103,196,219,508
2020년05월_계_30~39세,"3,984","2,292",218,174,122,162,129,90,149,190,458
2020년05월_계_40~49세,"6,359","3,580",306,236,204,258,237,183,347,305,703
2020년05월_계_50~59세,"9,241","3,759",635,513,440,441,461,445,635,630,"1,282"
2020년05월_계_60~69세,"9,435","3,260",708,716,591,575,547,439,679,709,"1,211"
2020년05월_계_70~79세,"6,804","2,360",534,453,463,417,444,375,578,473,707
2020년05월_계_80~89세,"4,214","1,099",378,357,391,289,358,248,343,286,465
2020년05월_계_90~99세,527,134,69,43,44,26,30,33,39,46,63
2020년05월_계_100세 이상,31,15,3,0,2,0,1,3,3,2,2
2020년05월_남_총인구수,"26,057","11,278","1,714","1,494","1,255","1,293","1,447","1,114","1,653","1,632","3,177"
2020년05월_남_연령구간인구수,"26,057","11,278","1,714","1,494","1,255","1,293","1,447","1,114","1,653","1,632","3,177"
2020년05월_남_0~9세,"1,380",859,59,43,34,63,50,36,48,45,143
2020년05월_남_10~19세,"2,305","1,283",98,69,41,76,208,97,125,85,223
2020년05월_남_20~29세,"2,320","1,231",137,112,64,85,101,70,102,132,286
2020년05월_남_30~39세,"2,089","1,172",124,101,70,82,61,41,81,94,263
2020년05월_남_40~49세,"3,543","1,864",176,153,144,157,148,115,205,190,391
2020년05월_남_50~59세,"5,060","1,923",366,296,262,259,262,258,361,360,713
2020년05월_남_60~69세,"4,770","1,534",366,384,297,290,289,240,340,376,654
2020년05월_남_70~79세,"3,041",997,239,213,209,182,202,161,267,234,337
2020년05월_남_80~89세,"1,414",383,133,109,125,95,118,89,113,102,147
2020년05월_남_90~99세,126,28,15,14,9,4,8,7,9,13,19
2020년05월_남_100세 이상,9,4,1,0,0,0,0,0,2,1,1
2020년05월_여_총인구수,"25,689","11,646","1,628","1,368","1,273","1,288","1,428","1,056","1,620","1,458","2,924"
2020년05월_여_연령구간인구수,"25,689","11,646","1,628","1,368","1,273","1,288","1,428","1,056","1,620","1,458","2,924"
2020년05월_여_0~9세,"1,331",884,35,35,37,73,38,28,31,37,133
2020년05월_여_10~19세,"2,095","1,211",70,41,45,63,209,90,100,63,203
2020년05월_여_20~29세,"1,720",957,92,70,50,53,62,33,94,87,222
2020년05월_여_30~39세,"1,895","1,120",94,73,52,80,68,49,68,96,195
2020년05월_여_40~49세,"2,816","1,716",130,83,60,101,89,68,142,115,312
2020년05월_여_50~59세,"4,181","1,836",269,217,178,182,199,187,274,270,569
2020년05월_여_60~69세,"4,665","1,726",342,332,294,285,258,199,339,333,557
2020년05월_여_70~79세,"3,763","1,363",295,240,254,235,242,214,311,239,370
2020년05월_여_80~89세,"2,800",716,245,248,266,194,240,159,230,184,318
2020년05월_여_90~99세,401,106,54,29,35,22,22,26,30,33,44
2020년05월_여_100세 이상,22,11,2,0,2,0,1,3,1,1,1
2020년06월_계_총인구수,"51,665","22,936","3,336","2,848","2,528","2,562","2,872","2,159","3,255","3,083","6,086"
2020년06월_계_연령구간인구수,"51,665","22,936","3,336","2,848","2,528","2,562","2,872","2,159","3,255","3,083","6,086"
2020년06월_계_0~9세,"2,696","1,740",89,78,69,132,88,63,78,81,278
2020년06월_계_10~19세,"4,372","2,494",166,107,85,139,411,184,221,147,418
2020년06월_계_20~29세,"4,021","2,191",229,181,112,139,164,99,197,216,493
2020년06월_계_30~39세,"3,930","2,264",213,170,122,158,130,89,142,190,452
2020년06월_계_40~49세,"6,342","3,579",300,242,197,253,244,180,339,300,708
2020년06월_계_50~59세,"9,197","3,759",626,508,444,437,448,441,633,630,"1,271"
2020년06월_계_60~69세,"9,515","3,293",718,712,594,574,558,448,683,711,"1,224"
2020년06월_계_70~79세,"6,822","2,366",540,452,464,419,444,375,578,473,711
2020년06월_계_80~89세,"4,211","1,101",382,354,395,287,351,246,344,287,464
2020년06월_계_90~99세,527,133,70,44,44,24,33,31,37,46,65
2020년06월_계_100세 이상,32,16,3,0,2,0,1,3,3,2,2
2020년06월_남_총인구수,"26,034","11,281","1,712","1,492","1,261","1,282","1,449","1,109","1,643","1,630","3,175"
2020년06월_남_연령구간인구수,"26,034","11,281","1,712","1,492","1,261","1,282","1,449","1,109","1,643","1,630","3,175"
2020년06월_남_0~9세,"1,378",862,56,43,33,63,50,34,47,44,146
2020년06월_남_10~19세,"2,287","1,283",97,67,40,75,204,96,122,85,218
2020년06월_남_20~29세,"2,307","1,228",138,113,63,85,104,67,102,128,279
2020년06월_남_30~39세,"2,067","1,155",120,99,71,80,62,41,76,98,265
2020년06월_남_40~49세,"3,532","1,869",171,157,139,154,152,113,202,184,391
2020년06월_남_50~59세,"5,042","1,918",362,293,267,257,256,257,363,361,708
2020년06월_남_60~69세,"4,819","1,549",372,384,301,287,296,246,344,380,660
2020년06월_남_70~79세,"3,057","1,001",245,215,211,185,202,161,263,234,340
2020년06월_남_80~89세,"1,411",384,134,108,127,92,116,87,114,102,147
2020년06월_남_90~99세,125,28,16,13,9,4,7,7,8,13,20
2020년06월_남_100세 이상,9,4,1,0,0,0,0,0,2,1,1
2020년06월_여_총인구수,"25,631","11,655","1,624","1,356","1,267","1,280","1,423","1,050","1,612","1,453","2,911"
2020년06월_여_연령구간인구수,"25,631","11,655","1,624","1,356","1,267","1,280","1,423","1,050","1,612","1,453","2,911"
2020년06월_여_0~9세,"1,318",878,33,35,36,69,38,29,31,37,132
2020년06월_여_10~19세,"2,085","1,211",69,40,45,64,207,88,99,62,200
2020년06월_여_20~29세,"1,714",963,91,68,49,54,60,32,95,88,214
2020년06월_여_30~39세,"1,863","1,109",93,71,51,78,68,48,66,92,187
2020년06월_여_40~49세,"2,810","1,710",129,85,58,99,92,67,137,116,317
2020년06월_여_50~59세,"4,155","1,841",264,215,177,180,192,184,270,269,563
2020년06월_여_60~69세,"4,696","1,744",346,328,293,287,262,202,339,331,564
2020년06월_여_70~79세,"3,765","1,365",295,237,253,234,242,214,315,239,371
2020년06월_여_80~89세,"2,800",717,248,246,268,195,235,159,230,185,317
2020년06월_여_90~99세,402,105,54,31,35,20,26,24,29,33,45
2020년06월_여_100세 이상,23,12,2,0,2,0,1,3,1,1,1
2020년07월_계_총인구수,"51,696","22,956","3,340","2,842","2,517","2,555","2,881","2,158","3,245","3,082","6,120"
2020년07월_계_연령구간인구수,"51,696","22,956","3,340","2,842","2,517","2,555","2,881","2,158","3,245","3,082","6,120"
2020년07월_계_0~9세,"2,691","1,739",88,78,69,133,90,63,79,83,269
2020년07월_계_10~19세,"4,362","2,480",166,106,83,139,421,182,218,145,422
2020년07월_계_20~29세,"4,018","2,190",231,178,113,136,164,96,194,212,504
2020년07월_계_30~39세,"3,917","2,250",211,167,121,161,133,88,142,190,454
2020년07월_계_40~49세,"6,325","3,577",301,244,195,251,237,179,329,300,712
2020년07월_계_50~59세,"9,217","3,781",625,504,438,434,450,447,637,626,"1,275"
2020년07월_계_60~69세,"9,565","3,308",722,712,599,572,564,451,685,715,"1,237"
2020년07월_계_70~79세,"6,834","2,374",540,456,463,416,438,373,578,479,717
2020년07월_계_80~89세,"4,206","1,112",382,351,389,286,351,246,345,284,460
2020년07월_계_90~99세,530,129,71,46,45,27,32,31,35,46,68
2020년07월_계_100세 이상,31,16,3,0,2,0,1,2,3,2,2
2020년07월_남_총인구수,"26,057","11,295","1,716","1,482","1,257","1,281","1,459","1,110","1,636","1,627","3,194"
2020년07월_남_연령구간인구수,"26,057","11,295","1,716","1,482","1,257","1,281","1,459","1,110","1,636","1,627","3,194"
2020년07월_남_0~9세,"1,381",866,57,42,33,64,51,34,47,45,142
2020년07월_남_10~19세,"2,284","1,273",97,66,39,75,211,96,119,82,226
2020년07월_남_20~29세,"2,298","1,226",139,111,64,81,104,66,101,125,281
2020년07월_남_30~39세,"2,069","1,153",119,99,71,84,63,41,74,97,268
2020년07월_남_40~49세,"3,510","1,858",172,156,139,153,147,113,197,184,391
2020년07월_남_50~59세,"5,066","1,944",364,286,262,257,261,259,365,359,709
2020년07월_남_60~69세,"4,835","1,554",370,384,304,287,297,249,345,380,665
2020년07월_남_70~79세,"3,070","1,001",246,217,214,185,200,158,264,240,345
2020년07월_남_80~89세,"1,411",389,135,108,122,89,118,88,114,101,147
2020년07월_남_90~99세,124,27,16,13,9,6,7,6,8,13,19
2020년07월_남_100세 이상,9,4,1,0,0,0,0,0,2,1,1
2020년07월_여_총인구수,"25,639","11,661","1,624","1,360","1,260","1,274","1,422","1,048","1,609","1,455","2,926"
2020년07월_여_연령구간인구수,"25,639","11,661","1,624","1,360","1,260","1,274","1,422","1,048","1,609","1,455","2,926"
2020년07월_여_0~9세,"1,310",873,31,36,36,69,39,29,32,38,127
2020년07월_여_10~19세,"2,078","1,207",69,40,44,64,210,86,99,63,196
2020년07월_여_20~29세,"1,720",964,92,67,49,55,60,30,93,87,223
2020년07월_여_30~39세,"1,848","1,097",92,68,50,77,70,47,68,93,186
2020년07월_여_40~49세,"2,815","1,719",129,88,56,98,90,66,132,116,321
2020년07월_여_50~59세,"4,151","1,837",261,218,176,177,189,188,272,267,566
2020년07월_여_60~69세,"4,730","1,754",352,328,295,285,267,202,340,335,572
2020년07월_여_70~79세,"3,764","1,373",294,239,249,231,238,215,314,239,372
2020년07월_여_80~89세,"2,795",723,247,243,267,197,233,158,231,183,313
2020년07월_여_90~99세,406,102,55,33,36,21,25,25,27,33,49
2020년07월_여_100세 이상,22,12,2,0,2,0,1,2,1,1,1
2020년08월_계_총인구수,"51,641","22,926","3,348","2,843","2,505","2,556","2,880","2,164","3,242","3,071","6,106"
2020년08월_계_연령구간인구수,"51,641","22,926","3,348","2,843","2,505","2,556","2,880","2,164","3,242","3,071","6,106"
2020년08월_계_0~9세,"2,667","1,728",88,82,67,131,89,64,76,79,263
2020년08월_계_10~19세,"4,359","2,474",166,105,81,141,424,178,221,146,423
2020년08월_계_20~29세,"3,985","2,171",235,179,109,134,165,95,193,206,498
2020년08월_계_30~39세,"3,882","2,223",208,164,119,157,128,88,147,190,458
2020년08월_계_40~49세,"6,323","3,586",308,240,193,256,240,178,323,300,699
2020년08월_계_50~59세,"9,178","3,788",621,507,431,427,442,446,637,617,"1,262"
2020년08월_계_60~69세,"9,623","3,315",734,710,603,581,571,458,681,712,"1,258"
2020년08월_계_70~79세,"6,828","2,373",534,459,463,416,438,369,576,487,713
2020년08월_계_80~89세,"4,224","1,121",380,348,389,286,348,255,348,286,463
2020년08월_계_90~99세,542,131,71,49,48,27,34,31,37,46,68
2020년08월_계_100세 이상,30,16,3,0,2,0,1,2,3,2,1
2020년08월_남_총인구수,"26,032","11,285","1,725","1,480","1,252","1,281","1,458","1,115","1,632","1,619","3,185"
2020년08월_남_연령구간인구수,"26,032","11,285","1,725","1,480","1,252","1,281","1,458","1,115","1,632","1,619","3,185"
2020년08월_남_0~9세,"1,367",861,58,44,32,63,52,34,43,43,137
2020년08월_남_10~19세,"2,280","1,266",96,65,39,77,212,93,121,83,228
2020년08월_남_20~29세,"2,289","1,215",145,113,62,80,106,68,103,122,275
2020년08월_남_30~39세,"2,049","1,139",116,95,70,86,61,39,75,97,271
2020년08월_남_40~49세,"3,497","1,865",174,155,137,152,146,112,189,183,384
2020년08월_남_50~59세,"5,055","1,954",362,285,258,253,260,258,368,353,704
2020년08월_남_60~69세,"4,869","1,554",379,385,306,292,300,256,344,381,672
2020년08월_남_70~79세,"3,071","1,005",244,218,215,184,198,159,263,243,342
2020년08월_남_80~89세,"1,418",394,134,107,122,88,116,90,116,100,151
2020년08월_남_90~99세,129,28,16,13,11,6,7,6,8,13,21
2020년08월_남_100세 이상,8,4,1,0,0,0,0,0,2,1,0
2020년08월_여_총인구수,"25,609","11,641","1,623","1,363","1,253","1,275","1,422","1,049","1,610","1,452","2,921"
2020년08월_여_연령구간인구수,"25,609","11,641","1,623","1,363","1,253","1,275","1,422","1,049","1,610","1,452","2,921"
2020년08월_여_0~9세,"1,300",867,30,38,35,68,37,30,33,36,126
2020년08월_여_10~19세,"2,079","1,208",70,40,42,64,212,85,100,63,195
2020년08월_여_20~29세,"1,696",956,90,66,47,54,59,27,90,84,223
2020년08월_여_30~39세,"1,833","1,084",92,69,49,71,67,49,72,93,187
2020년08월_여_40~49세,"2,826","1,721",134,85,56,104,94,66,134,117,315
2020년08월_여_50~59세,"4,123","1,834",259,222,173,174,182,188,269,264,558
2020년08월_여_60~69세,"4,754","1,761",355,325,297,289,271,202,337,331,586
2020년08월_여_70~79세,"3,757","1,368",290,241,248,232,240,210,313,244,371
2020년08월_여_80~89세,"2,806",727,246,241,267,198,232,165,232,186,312
2020년08월_여_90~99세,413,103,55,36,37,21,27,25,29,33,47
2020년08월_여_100세 이상,22,12,2,0,2,0,1,2,1,1,1
2020년09월_계_총인구수,"51,563","22,905","3,341","2,829","2,500","2,549","2,877","2,162","3,244","3,068","6,088"
2020년09월_계_연령구간인구수,"51,563","22,905","3,341","2,829","2,500","2,549","2,877","2,162","3,244","3,068","6,088"
2020년09월_계_0~9세,"2,637","1,707",85,83,67,127,89,63,74,81,261
2020년09월_계_10~19세,"4,345","2,473",166,104,79,142,414,176,222,145,424
2020년09월_계_20~29세,"3,985","2,176",230,175,110,134,165,96,194,206,499
2020년09월_계_30~39세,"3,836","2,199",208,165,119,151,129,85,146,190,444
2020년09월_계_40~49세,"6,304","3,579",303,240,191,261,242,178,322,297,691
2020년09월_계_50~59세,"9,159","3,798",616,498,427,422,439,442,640,614,"1,263"
2020년09월_계_60~69세,"9,677","3,331",742,713,602,582,575,466,684,714,"1,268"
2020년09월_계_70~79세,"6,828","2,369",536,459,468,417,440,365,578,487,709
2020년09월_계_80~89세,"4,218","1,126",380,342,387,284,349,258,345,285,462
2020년09월_계_90~99세,543,131,72,49,48,29,34,32,36,47,65
2020년09월_계_100세 이상,31,16,3,1,2,0,1,1,3,2,2
2020년09월_남_총인구수,"26,001","11,272","1,725","1,475","1,248","1,283","1,454","1,115","1,634","1,615","3,180"
2020년09월_남_연령구간인구수,"26,001","11,272","1,725","1,475","1,248","1,283","1,454","1,115","1,634","1,615","3,180"
2020년09월_남_0~9세,"1,348",849,56,45,32,64,52,33,40,42,135
2020년09월_남_10~19세,"2,270","1,263",95,65,37,75,205,93,123,82,232
2020년09월_남_20~29세,"2,293","1,221",142,108,64,82,106,69,103,121,277
2020년09월_남_30~39세,"2,014","1,122",117,96,71,81,61,36,73,97,260
2020년09월_남_40~49세,"3,494","1,867",169,155,136,156,146,112,187,184,382
2020년09월_남_50~59세,"5,049","1,957",363,281,254,250,260,254,369,355,706
2020년09월_남_60~69세,"4,890","1,558",386,383,304,296,299,263,348,377,676
2020년09월_남_70~79세,"3,083","1,005",245,221,218,185,202,158,265,243,341
2020년09월_남_80~89세,"1,424",399,136,108,121,88,116,90,116,100,150
2020년09월_남_90~99세,128,27,15,13,11,6,7,7,8,13,21
2020년09월_남_100세 이상,8,4,1,0,0,0,0,0,2,1,0
2020년09월_여_총인구수,"25,562","11,633","1,616","1,354","1,252","1,266","1,423","1,047","1,610","1,453","2,908"
2020년09월_여_연령구간인구수,"25,562","11,633","1,616","1,354","1,252","1,266","1,423","1,047","1,610","1,453","2,908"
2020년09월_여_0~9세,"1,289",858,29,38,35,63,37,30,34,39,126
2020년09월_여_10~19세,"2,075","1,210",71,39,42,67,209,83,99,63,192
2020년09월_여_20~29세,"1,692",955,88,67,46,52,59,27,91,85,222
2020년09월_여_30~39세,"1,822","1,077",91,69,48,70,68,49,73,93,184
2020년09월_여_40~49세,"2,810","1,712",134,85,55,105,96,66,135,113,309
2020년09월_여_50~59세,"4,110","1,841",253,217,173,172,179,188,271,259,557
2020년09월_여_60~69세,"4,787","1,773",356,330,298,286,276,203,336,337,592
2020년09월_여_70~79세,"3,745","1,364",291,238,250,232,238,207,313,244,368
2020년09월_여_80~89세,"2,794",727,244,234,266,196,233,168,229,185,312
2020년09월_여_90~99세,415,104,57,36,37,23,27,25,28,34,44
2020년09월_여_100세 이상,23,12,2,1,2,0,1,1,1,1,2
2020년10월_계_총인구수,"51,476","22,863","3,322","2,833","2,478","2,544","2,876","2,165","3,226","3,072","6,097"
2020년10월_계_연령구간인구수,"51,476","22,863","3,322","2,833","2,478","2,544","2,876","2,165","3,226","3,072","6,097"
2020년10월_계_0~9세,"2,614","1,693",83,84,65,126,86,63,75,82,257
2020년10월_계_10~19세,"4,324","2,470",163,106,72,142,414,171,215,147,424
2020년10월_계_20~29세,"3,977","2,161",226,177,112,135,163,98,192,205,508
2020년10월_계_30~39세,"3,800","2,174",203,166,115,147,133,86,144,191,441
2020년10월_계_40~49세,"6,268","3,578",299,238,181,258,237,173,321,295,688
2020년10월_계_50~59세,"9,137","3,773",617,503,428,424,437,444,633,613,"1,265"
2020년10월_계_60~69세,"9,721","3,365",733,707,604,582,580,465,688,719,"1,278"
2020년10월_계_70~79세,"6,824","2,367",541,462,468,414,442,372,571,484,703
2020년10월_계_80~89세,"4,234","1,133",382,340,381,285,349,260,348,288,468
2020년10월_계_90~99세,548,134,72,49,50,31,34,32,37,46,63
2020년10월_계_100세 이상,29,15,3,1,2,0,1,1,2,2,2
2020년10월_남_총인구수,"25,957","11,237","1,716","1,477","1,241","1,277","1,458","1,116","1,624","1,623","3,188"
2020년10월_남_연령구간인구수,"25,957","11,237","1,716","1,477","1,241","1,277","1,458","1,116","1,624","1,623","3,188"
2020년10월_남_0~9세,"1,330",838,55,45,32,62,50,33,41,41,133
2020년10월_남_10~19세,"2,265","1,261",93,68,35,75,205,89,120,87,232
2020년10월_남_20~29세,"2,287","1,214",140,109,66,81,103,70,102,118,284
2020년10월_남_30~39세,"1,995","1,105",114,98,68,78,65,37,72,98,260
2020년10월_남_40~49세,"3,468","1,866",167,152,128,153,144,109,186,183,380
2020년10월_남_50~59세,"5,052","1,942",364,284,257,254,258,256,366,360,711
2020년10월_남_60~69세,"4,906","1,576",382,376,306,296,304,261,349,378,678
2020년10월_남_70~79세,"3,081","1,000",246,225,218,182,206,163,260,244,337
2020년10월_남_80~89세,"1,434",404,139,107,118,90,115,91,117,100,153
2020년10월_남_90~99세,131,27,15,13,13,6,8,7,9,13,20
2020년10월_남_100세 이상,8,4,1,0,0,0,0,0,2,1,0
2020년10월_여_총인구수,"25,519","11,626","1,606","1,356","1,237","1,267","1,418","1,049","1,602","1,449","2,909"
2020년10월_여_연령구간인구수,"25,519","11,626","1,606","1,356","1,237","1,267","1,418","1,049","1,602","1,449","2,909"
2020년10월_여_0~9세,"1,284",855,28,39,33,64,36,30,34,41,124
2020년10월_여_10~19세,"2,059","1,209",70,38,37,67,209,82,95,60,192
2020년10월_여_20~29세,"1,690",947,86,68,46,54,60,28,90,87,224
2020년10월_여_30~39세,"1,805","1,069",89,68,47,69,68,49,72,93,181
2020년10월_여_40~49세,"2,800","1,712",132,86,53,105,93,64,135,112,308
2020년10월_여_50~59세,"4,085","1,831",253,219,171,170,179,188,267,253,554
2020년10월_여_60~69세,"4,815","1,789",351,331,298,286,276,204,339,341,600
2020년10월_여_70~79세,"3,743","1,367",295,237,250,232,236,209,311,240,366
2020년10월_여_80~89세,"2,800",729,243,233,263,195,234,169,231,188,315
2020년10월_여_90~99세,417,107,57,36,37,25,26,25,28,33,43
2020년10월_여_100세 이상,21,11,2,1,2,0,1,1,0,1,2
2020년11월_계_총인구수,"51,443","22,871","3,320","2,833","2,464","2,538","2,872","2,164","3,225","3,060","6,096"
2020년11월_계_연령구간인구수,"51,443","22,871","3,320","2,833","2,464","2,538","2,872","2,164","3,225","3,060","6,096"
2020년11월_계_0~9세,"2,587","1,683",83,82,65,124,86,62,75,79,248
2020년11월_계_10~19세,"4,306","2,461",164,110,68,141,404,168,214,146,430
2020년11월_계_20~29세,"3,987","2,173",224,174,110,133,164,98,194,205,512
2020년11월_계_30~39세,"3,783","2,169",200,159,112,145,131,88,146,191,442
2020년11월_계_40~49세,"6,258","3,574",301,241,178,257,237,173,320,291,686
2020년11월_계_50~59세,"9,128","3,783",615,506,428,423,437,442,634,604,"1,256"
2020년11월_계_60~69세,"9,747","3,371",728,709,601,582,585,471,687,722,"1,291"
2020년11월_계_70~79세,"6,849","2,376",550,463,472,415,444,371,571,484,703
