카테고리,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2020년03월_여_60~69세,"1,652",478,250,218,253,453
2020년03월_여_70~79세,"1,395",449,226,173,242,305
2020년03월_여_80~89세,828,229,145,127,150,177
2020년03월_여_90~99세,145,39,32,16,28,30
2020년03월_여_100세 이상,8,2,0,3,1,2
2020년04월_계_총인구수,"24,627","8,459","2,732","2,902","4,212","6,322"
2020년04월_계_연령구간인구수,"24,627","8,459","2,732","2,902","4,212","6,322"
2020년04월_계_0~9세,"1,852",763,59,131,306,593
2020년04월_계_10~19세,"1,825",749,160,286,169,461
2020년04월_계_20~29세,"3,811","1,221",270,280,"1,066",974
2020년04월_계_30~39세,"2,836","1,039",144,258,530,865
2020년04월_계_40~49세,"2,777","1,165",228,381,328,675
2020년04월_계_50~59세,"3,993","1,353",605,549,540,946
2020년04월_계_60~69세,"3,558","1,001",576,473,585,923
2020년04월_계_70~79세,"2,466",753,419,324,415,555
2020년04월_계_80~89세,"1,296",361,229,191,235,280
2020년04월_계_90~99세,198,51,41,24,36,46
2020년04월_계_100세 이상,15,3,1,5,2,4
2020년04월_남_총인구수,"13,318","4,402","1,473","1,511","2,544","3,388"
2020년04월_남_연령구간인구수,"13,318","4,402","1,473","1,511","2,544","3,388"
2020년04월_남_0~9세,921,380,31,73,144,293
2020년04월_남_10~19세,932,389,82,147,96,218
2020년04월_남_20~29세,"2,646",741,207,154,865,679
2020년04월_남_30~39세,"1,639",580,81,129,358,491
2020년04월_남_40~49세,"1,517",610,115,221,195,376
2020년04월_남_50~59세,"2,173",735,346,311,290,491
2020년04월_남_60~69세,"1,883",518,323,250,326,466
2020년04월_남_70~79세,"1,086",308,194,156,174,254
2020년04월_남_80~89세,462,128,84,61,87,102
2020년04월_남_90~99세,52,12,9,7,8,16
2020년04월_남_100세 이상,7,1,1,2,1,2
2020년04월_여_총인구수,"11,309","4,057","1,259","1,391","1,668","2,934"
2020년04월_여_연령구간인구수,"11,309","4,057","1,259","1,391","1,668","2,934"
2020년04월_여_0~9세,931,383,28,58,162,300
2020년04월_여_10~19세,893,360,78,139,73,243
2020년04월_여_20~29세,"1,165",480,63,126,201,295
2020년04월_여_30~39세,"1,197",459,63,129,172,374
2020년04월_여_40~49세,"1,260",555,113,160,133,299
2020년04월_여_50~59세,"1,820",618,259,238,250,455
2020년04월_여_60~69세,"1,675",483,253,223,259,457
2020년04월_여_70~79세,"1,380",445,225,168,241,301
2020년04월_여_80~89세,834,233,145,130,148,178
2020년04월_여_90~99세,146,39,32,17,28,30
2020년04월_여_100세 이상,8,2,0,3,1,2
2020년05월_계_총인구수,"24,657","8,430","2,735","2,900","4,228","6,364"
2020년05월_계_연령구간인구수,"24,657","8,430","2,735","2,900","4,228","6,364"
2020년05월_계_0~9세,"1,854",751,59,134,313,597
2020년05월_계_10~19세,"1,820",751,159,282,168,460
2020년05월_계_20~29세,"3,819","1,208",276,277,"1,070",988
2020년05월_계_30~39세,"2,852","1,037",146,258,533,878
2020년05월_계_40~49세,"2,761","1,162",222,379,331,667
2020년05월_계_50~59세,"3,992","1,345",607,552,537,951
2020년05월_계_60~69세,"3,579","1,001",577,475,590,936
2020년05월_계_70~79세,"2,464",752,420,324,410,558
2020년05월_계_80~89세,"1,297",369,226,188,235,279
2020년05월_계_90~99세,204,51,42,26,39,46
2020년05월_계_100세 이상,15,3,1,5,2,4
2020년05월_남_총인구수,"13,336","4,386","1,472","1,510","2,556","3,412"
2020년05월_남_연령구간인구수,"13,336","4,386","1,472","1,510","2,556","3,412"
2020년05월_남_0~9세,923,374,31,74,146,298
2020년05월_남_10~19세,930,390,81,145,95,219
2020년05월_남_20~29세,"2,656",737,211,153,870,685
2020년05월_남_30~39세,"1,647",577,83,128,360,499
2020년05월_남_40~49세,"1,509",606,111,219,198,375
2020년05월_남_50~59세,"2,166",732,344,312,289,489
2020년05월_남_60~69세,"1,900",521,324,254,327,474
2020년05월_남_70~79세,"1,082",307,194,155,172,254
2020년05월_남_80~89세,463,129,83,60,89,102
2020년05월_남_90~99세,53,12,9,8,9,15
2020년05월_남_100세 이상,7,1,1,2,1,2
2020년05월_여_총인구수,"11,321","4,044","1,263","1,390","1,672","2,952"
2020년05월_여_연령구간인구수,"11,321","4,044","1,263","1,390","1,672","2,952"
2020년05월_여_0~9세,931,377,28,60,167,299
2020년05월_여_10~19세,890,361,78,137,73,241
2020년05월_여_20~29세,"1,163",471,65,124,200,303
2020년05월_여_30~39세,"1,205",460,63,130,173,379
2020년05월_여_40~49세,"1,252",556,111,160,133,292
2020년05월_여_50~59세,"1,826",613,263,240,248,462
2020년05월_여_60~69세,"1,679",480,253,221,263,462
2020년05월_여_70~79세,"1,382",445,226,169,238,304
2020년05월_여_80~89세,834,240,143,128,146,177
2020년05월_여_90~99세,151,39,33,18,30,31
2020년05월_여_100세 이상,8,2,0,3,1,2
2020년06월_계_총인구수,"24,717","8,450","2,737","2,902","4,242","6,386"
2020년06월_계_연령구간인구수,"24,717","8,450","2,737","2,902","4,242","6,386"
2020년06월_계_0~9세,"1,856",744,59,134,320,599
2020년06월_계_10~19세,"1,818",757,156,278,169,458
2020년06월_계_20~29세,"3,828","1,211",280,283,"1,062",992
2020년06월_계_30~39세,"2,847","1,031",143,255,540,878
2020년06월_계_40~49세,"2,773","1,171",217,379,334,672
2020년06월_계_50~59세,"3,979","1,339",602,545,531,962
2020년06월_계_60~69세,"3,633","1,021",591,484,596,941
2020년06월_계_70~79세,"2,461",748,419,327,412,555
2020년06월_계_80~89세,"1,305",374,228,188,237,278
2020년06월_계_90~99세,202,51,41,24,39,47
2020년06월_계_100세 이상,15,3,1,5,2,4
2020년06월_남_총인구수,"13,372","4,404","1,474","1,514","2,556","3,424"
2020년06월_남_연령구간인구수,"13,372","4,404","1,474","1,514","2,556","3,424"
2020년06월_남_0~9세,927,374,31,74,148,300
2020년06월_남_10~19세,926,393,79,143,94,217
2020년06월_남_20~29세,"2,650",740,214,155,855,686
2020년06월_남_30~39세,"1,657",577,81,127,369,503
2020년06월_남_40~49세,"1,510",610,106,220,200,374
2020년06월_남_50~59세,"2,152",724,341,308,286,493
2020년06월_남_60~69세,"1,945",538,334,261,330,482
2020년06월_남_70~79세,"1,079",304,192,157,175,251
2020년06월_남_80~89세,467,131,86,60,89,101
2020년06월_남_90~99세,52,12,9,7,9,15
2020년06월_남_100세 이상,7,1,1,2,1,2
2020년06월_여_총인구수,"11,345","4,046","1,263","1,388","1,686","2,962"
2020년06월_여_연령구간인구수,"11,345","4,046","1,263","1,388","1,686","2,962"
2020년06월_여_0~9세,929,370,28,60,172,299
2020년06월_여_10~19세,892,364,77,135,75,241
2020년06월_여_20~29세,"1,178",471,66,128,207,306
2020년06월_여_30~39세,"1,190",454,62,128,171,375
2020년06월_여_40~49세,"1,263",561,111,159,134,298
2020년06월_여_50~59세,"1,827",615,261,237,245,469
2020년06월_여_60~69세,"1,688",483,257,223,266,459
2020년06월_여_70~79세,"1,382",444,227,170,237,304
2020년06월_여_80~89세,838,243,142,128,148,177
2020년06월_여_90~99세,150,39,32,17,30,32
2020년06월_여_100세 이상,8,2,0,3,1,2
2020년07월_계_총인구수,"24,753","8,434","2,733","2,894","4,259","6,433"
2020년07월_계_연령구간인구수,"24,753","8,434","2,733","2,894","4,259","6,433"
2020년07월_계_0~9세,"1,846",738,55,137,313,603
2020년07월_계_10~19세,"1,812",760,151,275,167,459
2020년07월_계_20~29세,"3,849","1,203",282,278,"1,075","1,011"
2020년07월_계_30~39세,"2,847","1,022",144,253,546,882
2020년07월_계_40~49세,"2,767","1,168",214,378,336,671
2020년07월_계_50~59세,"3,986","1,337",602,541,538,968
2020년07월_계_60~69세,"3,655","1,030",595,483,597,950
2020년07월_계_70~79세,"2,451",748,417,326,406,554
2020년07월_계_80~89세,"1,318",374,230,193,238,283
2020년07월_계_90~99세,207,51,42,25,41,48
2020년07월_계_100세 이상,15,3,1,5,2,4
2020년07월_남_총인구수,"13,421","4,415","1,467","1,508","2,576","3,455"
2020년07월_남_연령구간인구수,"13,421","4,415","1,467","1,508","2,576","3,455"
2020년07월_남_0~9세,927,374,30,73,146,304
2020년07월_남_10~19세,925,398,73,144,93,217
2020년07월_남_20~29세,"2,677",740,217,153,868,699
2020년07월_남_30~39세,"1,662",577,82,124,376,503
2020년07월_남_40~49세,"1,510",608,104,221,202,375
2020년07월_남_50~59세,"2,152",724,339,302,288,499
2020년07월_남_60~69세,"1,959",544,333,263,330,489
2020년07월_남_70~79세,"1,075",305,191,155,175,249
2020년07월_남_80~89세,473,132,87,64,88,102
2020년07월_남_90~99세,54,12,10,7,9,16
2020년07월_남_100세 이상,7,1,1,2,1,2
2020년07월_여_총인구수,"11,332","4,019","1,266","1,386","1,683","2,978"
2020년07월_여_연령구간인구수,"11,332","4,019","1,266","1,386","1,683","2,978"
2020년07월_여_0~9세,919,364,25,64,167,299
2020년07월_여_10~19세,887,362,78,131,74,242
2020년07월_여_20~29세,"1,172",463,65,125,207,312
2020년07월_여_30~39세,"1,185",445,62,129,170,379
2020년07월_여_40~49세,"1,257",560,110,157,134,296
2020년07월_여_50~59세,"1,834",613,263,239,250,469
2020년07월_여_60~69세,"1,696",486,262,220,267,461
2020년07월_여_70~79세,"1,376",443,226,171,231,305
2020년07월_여_80~89세,845,242,143,129,150,181
2020년07월_여_90~99세,153,39,32,18,32,32
2020년07월_여_100세 이상,8,2,0,3,1,2
2020년08월_계_총인구수,"24,802","8,398","2,735","2,898","4,302","6,469"
2020년08월_계_연령구간인구수,"24,802","8,398","2,735","2,898","4,302","6,469"
2020년08월_계_0~9세,"1,852",727,58,139,317,611
2020년08월_계_10~19세,"1,813",764,150,275,165,459
2020년08월_계_20~29세,"3,854","1,177",283,274,"1,109","1,011"
2020년08월_계_30~39세,"2,860","1,029",141,253,545,892
2020년08월_계_40~49세,"2,764","1,158",215,378,343,670
2020년08월_계_50~59세,"3,978","1,331",597,546,532,972
2020년08월_계_60~69세,"3,683","1,036",602,483,602,960
2020년08월_계_70~79세,"2,450",747,415,325,401,562
2020년08월_계_80~89세,"1,322",375,229,194,244,280
2020년08월_계_90~99세,211,51,44,26,42,48
2020년08월_계_100세 이상,15,3,1,5,2,4
2020년08월_남_총인구수,"13,440","4,391","1,466","1,509","2,606","3,468"
2020년08월_남_연령구간인구수,"13,440","4,391","1,466","1,509","2,606","3,468"
2020년08월_남_0~9세,928,368,32,74,148,306
2020년08월_남_10~19세,926,403,72,142,92,217
2020년08월_남_20~29세,"2,684",719,215,151,898,701
2020년08월_남_30~39세,"1,670",583,82,125,372,508
2020년08월_남_40~49세,"1,504",598,105,219,208,374
2020년08월_남_50~59세,"2,147",723,337,307,284,496
2020년08월_남_60~69세,"1,972",548,335,264,332,493
2020년08월_남_70~79세,"1,075",305,191,153,172,254
2020년08월_남_80~89세,472,131,85,65,90,101
2020년08월_남_90~99세,55,12,11,7,9,16
2020년08월_남_100세 이상,7,1,1,2,1,2
2020년08월_여_총인구수,"11,362","4,007","1,269","1,389","1,696","3,001"
2020년08월_여_연령구간인구수,"11,362","4,007","1,269","1,389","1,696","3,001"
2020년08월_여_0~9세,924,359,26,65,169,305
2020년08월_여_10~19세,887,361,78,133,73,242
2020년08월_여_20~29세,"1,170",458,68,123,211,310
2020년08월_여_30~39세,"1,190",446,59,128,173,384
2020년08월_여_40~49세,"1,260",560,110,159,135,296
2020년08월_여_50~59세,"1,831",608,260,239,248,476
2020년08월_여_60~69세,"1,711",488,267,219,270,467
2020년08월_여_70~79세,"1,375",442,224,172,229,308
2020년08월_여_80~89세,850,244,144,129,154,179
2020년08월_여_90~99세,156,39,33,19,33,32
2020년08월_여_100세 이상,8,2,0,3,1,2
2020년09월_계_총인구수,"24,855","8,440","2,731","2,906","4,295","6,483"
2020년09월_계_연령구간인구수,"24,855","8,440","2,731","2,906","4,295","6,483"
2020년09월_계_0~9세,"1,838",723,59,136,314,606
2020년09월_계_10~19세,"1,818",769,148,281,161,459
2020년09월_계_20~29세,"3,874","1,193",276,271,"1,118","1,016"
2020년09월_계_30~39세,"2,874","1,035",143,252,542,902
2020년09월_계_40~49세,"2,757","1,160",214,382,338,663
2020년09월_계_50~59세,"3,969","1,335",597,543,530,964
2020년09월_계_60~69세,"3,714","1,045",608,485,603,973
2020년09월_계_70~79세,"2,449",746,410,326,400,567
2020년09월_계_80~89세,"1,329",379,228,198,244,280
2020년09월_계_90~99세,218,52,47,27,43,49
2020년09월_계_100세 이상,15,3,1,5,2,4
2020년09월_남_총인구수,"13,458","4,403","1,458","1,512","2,601","3,484"
2020년09월_남_연령구간인구수,"13,458","4,403","1,458","1,512","2,601","3,484"
2020년09월_남_0~9세,922,362,32,74,147,307
2020년09월_남_10~19세,921,404,70,142,89,216
2020년09월_남_20~29세,"2,691",726,210,149,903,703
2020년09월_남_30~39세,"1,679",583,84,126,371,515
2020년09월_남_40~49세,"1,499",600,104,221,204,370
2020년09월_남_50~59세,"2,143",724,337,305,282,495
2020년09월_남_60~69세,"1,989",553,336,265,333,502
2020년09월_남_70~79세,"1,076",303,189,154,173,257
2020년09월_남_80~89세,475,135,83,67,89,101
2020년09월_남_90~99세,56,12,12,7,9,16
2020년09월_남_100세 이상,7,1,1,2,1,2
2020년09월_여_총인구수,"11,397","4,037","1,273","1,394","1,694","2,999"
2020년09월_여_연령구간인구수,"11,397","4,037","1,273","1,394","1,694","2,999"
2020년09월_여_0~9세,916,361,27,62,167,299
2020년09월_여_10~19세,897,365,78,139,72,243
2020년09월_여_20~29세,"1,183",467,66,122,215,313
2020년09월_여_30~39세,"1,195",452,59,126,171,387
2020년09월_여_40~49세,"1,258",560,110,161,134,293
2020년09월_여_50~59세,"1,826",611,260,238,248,469
2020년09월_여_60~69세,"1,725",492,272,220,270,471
2020년09월_여_70~79세,"1,373",443,221,172,227,310
2020년09월_여_80~89세,854,244,145,131,155,179
2020년09월_여_90~99세,162,40,35,20,34,33
2020년09월_여_100세 이상,8,2,0,3,1,2
2020년10월_계_총인구수,"24,897","8,443","2,733","2,891","4,322","6,508"
2020년10월_계_연령구간인구수,"24,897","8,443","2,733","2,891","4,322","6,508"
2020년10월_계_0~9세,"1,816",719,56,131,313,597
2020년10월_계_10~19세,"1,810",772,149,277,155,457
2020년10월_계_20~29세,"3,925","1,200",272,270,"1,155","1,028"
2020년10월_계_30~39세,"2,870","1,026",141,250,543,910
2020년10월_계_40~49세,"2,752","1,163",217,370,335,667
2020년10월_계_50~59세,"3,969","1,333",600,539,528,969
2020년10월_계_60~69세,"3,742","1,049",612,496,606,979
2020년10월_계_70~79세,"2,426",738,406,323,394,565
2020년10월_계_80~89세,"1,350",388,231,203,247,281
2020년10월_계_90~99세,222,52,48,27,44,51
2020년10월_계_100세 이상,15,3,1,5,2,4
2020년10월_남_총인구수,"13,503","4,406","1,453","1,502","2,632","3,510"
2020년10월_남_연령구간인구수,"13,503","4,406","1,453","1,502","2,632","3,510"
2020년10월_남_0~9세,913,359,31,70,147,306
2020년10월_남_10~19세,917,406,69,142,85,215
2020년10월_남_20~29세,"2,740",733,206,149,937,715
2020년10월_남_30~39세,"1,682",577,83,125,371,526
2020년10월_남_40~49세,"1,496",605,104,212,202,373
2020년10월_남_50~59세,"2,143",721,339,305,283,495
2020년10월_남_60~69세,"1,999",553,337,269,334,506
2020년10월_남_70~79세,"1,068",301,187,152,174,254
2020년10월_남_80~89세,479,136,83,69,89,102
2020년10월_남_90~99세,59,14,13,7,9,16
2020년10월_남_100세 이상,7,1,1,2,1,2
2020년10월_여_총인구수,"11,394","4,037","1,280","1,389","1,690","2,998"
2020년10월_여_연령구간인구수,"11,394","4,037","1,280","1,389","1,690","2,998"
2020년10월_여_0~9세,903,360,25,61,166,291
2020년10월_여_10~19세,893,366,80,135,70,242
2020년10월_여_20~29세,"1,185",467,66,121,218,313
2020년10월_여_30~39세,"1,188",449,58,125,172,384
2020년10월_여_40~49세,"1,256",558,113,158,133,294
2020년10월_여_50~59세,"1,826",612,261,234,245,474
2020년10월_여_60~69세,"1,743",496,275,227,272,473
2020년10월_여_70~79세,"1,358",437,219,171,220,311
2020년10월_여_80~89세,871,252,148,134,158,179
2020년10월_여_90~99세,163,38,35,20,35,35
2020년10월_여_100세 이상,8,2,0,3,1,2
2020년11월_계_총인구수,"24,868","8,444","2,721","2,899","4,315","6,489"
2020년11월_계_연령구간인구수,"24,868","8,444","2,721","2,899","4,315","6,489"
2020년11월_계_0~9세,"1,804",723,54,130,305,592
2020년11월_계_10~19세,"1,805",772,147,280,149,457
2020년11월_계_20~29세,"3,916","1,192",271,272,"1,164","1,017"
2020년11월_계_30~39세,"2,855","1,027",138,252,536,902
2020년11월_계_40~49세,"2,744","1,164",216,370,331,663
2020년11월_계_50~59세,"3,955","1,327",597,532,531,968
2020년11월_계_60~69세,"3,770","1,057",614,503,610,986
2020년11월_계_70~79세,"2,423",742,406,324,393,558
2020년11월_계_80~89세,"1,354",385,228,203,248,290
2020년11월_계_90~99세,227,52,49,28,46,52
2020년11월_계_100세 이상,15,3,1,5,2,4
2020년11월_남_총인구수,"13,488","4,407","1,449","1,508","2,623","3,501"
2020년11월_남_연령구간인구수,"13,488","4,407","1,449","1,508","2,623","3,501"
2020년11월_남_0~9세,903,363,30,69,141,300
2020년11월_남_10~19세,913,403,69,141,84,216
2020년11월_남_20~29세,"2,745",736,205,152,942,710
2020년11월_남_30~39세,"1,672",574,83,127,361,527
2020년11월_남_40~49세,"1,489",603,105,213,201,367
2020년11월_남_50~59세,"2,140",718,336,305,286,495
2020년11월_남_60~69세,"2,011",559,339,270,334,509
2020년11월_남_70~79세,"1,074",304,188,153,175,254
2020년11월_남_80~89세,473,132,79,69,89,104
2020년11월_남_90~99세,61,14,14,7,9,17
2020년11월_남_100세 이상,7,1,1,2,1,2
2020년11월_여_총인구수,"11,380","4,037","1,272","1,391","1,692","2,988"
2020년11월_여_연령구간인구수,"11,380","4,037","1,272","1,391","1,692","2,988"
2020년11월_여_0~9세,901,360,24,61,164,292
2020년11월_여_10~19세,892,369,78,139,65,241
2020년11월_여_20~29세,"1,171",456,66,120,222,307
2020년11월_여_30~39세,"1,183",453,55,125,175,375
2020년11월_여_40~49세,"1,255",561,111,157,130,296
2020년11월_여_50~59세,"1,815",609,261,227,245,473
2020년11월_여_60~69세,"1,759",498,275,233,276,477
2020년11월_여_70~79세,"1,349",438,218,171,218,304
2020년11월_여_80~89세,881,253,149,134,159,186
2020년11월_여_90~99세,166,38,35,21,37,35
2020년11월_여_100세 이상,8,2,0,3,1,2
2020년12월_계_총인구수,"24,857","8,427","2,712","2,901","4,314","6,503"
2020년12월_계_연령구간인구수,"24,857","8,427","2,712","2,901","4,314","6,503"
2020년12월_계_0~9세,"1,791",715,55,128,302,591
2020년12월_계_10~19세,"1,797",768,145,273,152,459
2020년12월_계_20~29세,"3,906","1,193",269,276,"1,156","1,012"
2020년12월_계_30~39세,"2,846","1,017",136,248,535,910
2020년12월_계_40~49세,"2,745","1,161",219,371,333,661
2020년12월_계_50~59세,"3,914","1,319",585,526,522,962
2020년12월_계_60~69세,"3,837","1,073",623,518,625,998
2020년12월_계_70~79세,"2,415",734,406,324,392,559
2020년12월_계_80~89세,"1,366",393,225,204,250,294
2020년12월_계_90~99세,225,51,48,28,45,53
2020년12월_계_100세 이상,15,3,1,5,2,4
2020년12월_남_총인구수,"13,472","4,397","1,442","1,514","2,620","3,499"
2020년12월_남_연령구간인구수,"13,472","4,397","1,442","1,514","2,620","3,499"
2020년12월_남_0~9세,899,363,29,68,139,300
2020년12월_남_10~19세,905,402,67,137,83,216
2020년12월_남_20~29세,"2,734",733,203,152,939,707
2020년12월_남_30~39세,"1,667",566,82,128,360,531
2020년12월_남_40~49세,"1,488",604,107,213,201,363
2020년12월_남_50~59세,"2,126",719,330,301,284,492
2020년12월_남_60~69세,"2,039",559,342,282,342,514
2020년12월_남_70~79세,"1,074",302,190,154,175,253
2020년12월_남_80~89세,474,134,78,70,87,105
2020년12월_남_90~99세,59,14,13,7,9,16
2020년12월_남_100세 이상,7,1,1,2,1,2
2020년12월_여_총인구수,"11,385","4,030","1,270","1,387","1,694","3,004"
2020년12월_여_연령구간인구수,"11,385","4,030","1,270","1,387","1,694","3,004"
2020년12월_여_0~9세,892,352,26,60,163,291
2020년12월_여_10~19세,892,366,78,136,69,243
2020년12월_여_20~29세,"1,172",460,66,124,217,305
2020년12월_여_30~39세,"1,179",451,54,120,175,379
2020년12월_여_40~49세,"1,257",557,112,158,132,298
2020년12월_여_50~59세,"1,788",600,255,225,238,470
2020년12월_여_60~69세,"1,798",514,281,236,283,484
2020년12월_여_70~79세,"1,341",432,216,170,217,306
2020년12월_여_80~89세,892,259,147,134,163,189
2020년12월_여_90~99세,166,37,35,21,36,37
2020년12월_여_100세 이상,8,2,0,3,1,2
2021년01월_계_총인구수,"24,732","8,401","2,707","2,907","4,285","6,432"
2021년01월_계_연령구간인구수,"24,732","8,401","2,707","2,907","4,285","6,432"
2021년01월_계_0~9세,"1,784",706,56,135,300,587
2021년01월_계_10~19세,"1,769",763,141,276,150,439
2021년01월_계_20~29세,"3,858","1,197",270,267,"1,134",990
2021년01월_계_30~39세,"2,844","1,002",138,249,541,914
2021년01월_계_40~49세,"2,714","1,154",217,374,329,640
2021년01월_계_50~59세,"3,885","1,315",574,529,515,952
2021년01월_계_60~69세,"3,862","1,080",629,517,635,"1,001"
2021년01월_계_70~79세,"2,390",732,406,318,381,553
2021년01월_계_80~89세,"1,382",398,225,208,252,299
2021년01월_계_90~99세,228,50,50,29,46,53
2021년01월_계_100세 이상,16,4,1,5,2,4
2021년01월_남_총인구수,"13,412","4,387","1,436","1,514","2,603","3,472"
2021년01월_남_연령구간인구수,"13,412","4,387","1,436","1,514","2,603","3,472"
2021년01월_남_0~9세,897,361,29,70,141,296
2021년01월_남_10~19세,901,396,66,139,80,220
2021년01월_남_20~29세,"2,703",745,199,147,925,687
2021년01월_남_30~39세,"1,666",556,82,129,364,535
2021년01월_남_40~49세,"1,477",601,107,214,198,357
2021년01월_남_50~59세,"2,108",714,329,301,278,486
2021년01월_남_60~69세,"2,059",567,343,281,351,517
2021년01월_남_70~79세,"1,058",299,189,151,169,250
2021년01월_남_80~89세,478,133,77,73,88,107
2021년01월_남_90~99세,58,14,14,7,8,15
2021년01월_남_100세 이상,7,1,1,2,1,2
2021년01월_여_총인구수,"11,320","4,014","1,271","1,393","1,682","2,960"
2021년01월_여_연령구간인구수,"11,320","4,014","1,271","1,393","1,682","2,960"
2021년01월_여_0~9세,887,345,27,65,159,291
2021년01월_여_10~19세,868,367,75,137,70,219
2021년01월_여_20~29세,"1,155",452,71,120,209,303
2021년01월_여_30~39세,"1,178",446,56,120,177,379
2021년01월_여_40~49세,"1,237",553,110,160,131,283
2021년01월_여_50~59세,"1,777",601,245,228,237,466
2021년01월_여_60~69세,"1,803",513,286,236,284,484
2021년01월_여_70~79세,"1,332",433,217,167,212,303
2021년01월_여_80~89세,904,265,148,135,164,192
2021년01월_여_90~99세,170,36,36,22,38,38
2021년01월_여_100세 이상,9,3,0,3,1,2
2021년02월_계_총인구수,"24,652","8,361","2,711","2,885","4,263","6,432"
2021년02월_계_연령구간인구수,"24,652","8,361","2,711","2,885","4,263","6,432"
2021년02월_계_0~9세,"1,791",696,56,137,296,606
2021년02월_계_10~19세,"1,748",753,145,262,155,433
2021년02월_계_20~29세,"3,822","1,194",269,264,"1,114",981
2021년02월_계_30~39세,"2,835",991,138,247,540,919
2021년02월_계_40~49세,"2,690","1,137",218,371,323,641
2021년02월_계_50~59세,"3,863","1,314",571,525,510,943
2021년02월_계_60~69세,"3,880","1,090",631,511,639,"1,009"
2021년02월_계_70~79세,"2,382",725,404,325,382,546
2021년02월_계_80~89세,"1,395",405,228,208,257,297
2021년02월_계_90~99세,228,52,50,29,44,53
2021년02월_계_100세 이상,18,4,1,6,3,4
2021년02월_남_총인구수,"13,377","4,370","1,436","1,512","2,582","3,477"
2021년02월_남_연령구간인구수,"13,377","4,370","1,436","1,512","2,582","3,477"
2021년02월_남_0~9세,908,359,28,71,139,311
2021년02월_남_10~19세,886,386,69,136,81,214
2021년02월_남_20~29세,"2,678",738,199,144,913,684
2021년02월_남_30~39세,"1,668",556,82,131,363,536
2021년02월_남_40~49세,"1,468",596,107,212,195,358
2021년02월_남_50~59세,"2,091",712,324,302,271,482
2021년02월_남_60~69세,"2,068",574,345,277,351,521
2021년02월_남_70~79세,"1,062",299,187,157,171,248
2021년02월_남_80~89세,484,135,80,73,90,106
2021년02월_남_90~99세,56,14,14,6,7,15
2021년02월_남_100세 이상,8,1,1,3,1,2
2021년02월_여_총인구수,"11,275","3,991","1,275","1,373","1,681","2,955"
2021년02월_여_연령구간인구수,"11,275","3,991","1,275","1,373","1,681","2,955"
2021년02월_여_0~9세,883,337,28,66,157,295
2021년02월_여_10~19세,862,367,76,126,74,219
2021년02월_여_20~29세,"1,144",456,70,120,201,297
2021년02월_여_30~39세,"1,167",435,56,116,177,383
2021년02월_여_40~49세,"1,222",541,111,159,128,283
2021년02월_여_50~59세,"1,772",602,247,223,239,461
2021년02월_여_60~69세,"1,812",516,286,234,288,488
2021년02월_여_70~79세,"1,320",426,217,168,211,298
2021년02월_여_80~89세,911,270,148,135,167,191
2021년02월_여_90~99세,172,38,36,23,37,38
2021년02월_여_100세 이상,10,3,0,3,2,2
2021년03월_계_총인구수,"24,506","8,349","2,686","2,854","4,225","6,392"
