카테고리,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면,강원도 홍천군 영귀미면
2020년11월_계_연령구간인구수,"69,192","34,892","4,669","2,426","2,388","3,740","3,962","6,205","3,797","3,887","3,226",
2020년11월_계_0~9세,"3,792","2,638",122,44,50,128,105,373,98,118,116,
2020년11월_계_10~19세,"5,212","3,603",164,124,98,199,157,400,131,188,148,
2020년11월_계_20~29세,"6,900","4,194",393,144,123,272,247,821,237,274,195,
2020년11월_계_30~39세,"6,118","3,912",311,104,93,200,209,600,252,247,190,
2020년11월_계_40~49세,"8,299","5,335",384,151,198,316,342,559,367,356,291,
2020년11월_계_50~59세,"12,815","6,068",827,462,490,805,768,"1,026",753,836,780,
2020년11월_계_60~69세,"13,705","4,987","1,238",678,695,967,"1,102","1,202","1,045",963,828,
2020년11월_계_70~79세,"7,300","2,541",707,413,373,484,610,692,545,512,423,
2020년11월_계_80~89세,"4,370","1,392",431,254,243,327,371,469,308,351,224,
2020년11월_계_90~99세,637,203,88,50,25,38,45,62,58,38,30,
2020년11월_계_100세 이상,44,19,4,2,0,4,6,1,3,4,1,
2020년11월_남_총인구수,"35,637","17,639","2,466","1,215","1,251","1,897","2,043","3,376","1,995","2,039","1,716",
2020년11월_남_연령구간인구수,"35,637","17,639","2,466","1,215","1,251","1,897","2,043","3,376","1,995","2,039","1,716",
2020년11월_남_0~9세,"1,909","1,316",60,27,32,67,48,190,50,57,62,
2020년11월_남_10~19세,"2,695","1,861",92,73,55,101,90,176,67,103,77,
2020년11월_남_20~29세,"4,186","2,420",260,86,69,168,147,619,135,164,118,
2020년11월_남_30~39세,"3,356","2,070",191,53,61,98,122,355,167,136,103,
2020년11월_남_40~49세,"4,445","2,688",242,85,130,175,204,324,220,214,163,
2020년11월_남_50~59세,"6,760","3,157",450,245,252,416,411,550,385,454,440,
2020년11월_남_60~69세,"7,121","2,501",648,352,363,506,569,652,568,526,436,
2020년11월_남_70~79세,"3,431","1,084",358,186,197,242,305,331,262,245,221,
2020년11월_남_80~89세,"1,551",485,140,94,83,113,135,164,120,130,87,
2020년11월_남_90~99세,175,56,24,13,9,10,11,15,21,8,8,
2020년11월_남_100세 이상,8,1,1,1,0,1,1,0,0,2,1,
2020년11월_여_총인구수,"33,555","17,253","2,203","1,211","1,137","1,843","1,919","2,829","1,802","1,848","1,510",
2020년11월_여_연령구간인구수,"33,555","17,253","2,203","1,211","1,137","1,843","1,919","2,829","1,802","1,848","1,510",
2020년11월_여_0~9세,"1,883","1,322",62,17,18,61,57,183,48,61,54,
2020년11월_여_10~19세,"2,517","1,742",72,51,43,98,67,224,64,85,71,
2020년11월_여_20~29세,"2,714","1,774",133,58,54,104,100,202,102,110,77,
2020년11월_여_30~39세,"2,762","1,842",120,51,32,102,87,245,85,111,87,
2020년11월_여_40~49세,"3,854","2,647",142,66,68,141,138,235,147,142,128,
2020년11월_여_50~59세,"6,055","2,911",377,217,238,389,357,476,368,382,340,
2020년11월_여_60~69세,"6,584","2,486",590,326,332,461,533,550,477,437,392,
2020년11월_여_70~79세,"3,869","1,457",349,227,176,242,305,361,283,267,202,
2020년11월_여_80~89세,"2,819",907,291,160,160,214,236,305,188,221,137,
2020년11월_여_90~99세,462,147,64,37,16,28,34,47,37,30,22,
2020년11월_여_100세 이상,36,18,3,1,0,3,5,1,3,2,0,
2020년12월_계_총인구수,"69,242","34,932","4,656","2,420","2,392","3,753","3,972","6,184","3,829","3,887","3,217",
2020년12월_계_연령구간인구수,"69,242","34,932","4,656","2,420","2,392","3,753","3,972","6,184","3,829","3,887","3,217",
2020년12월_계_0~9세,"3,800","2,640",121,45,47,131,108,376,101,114,117,
2020년12월_계_10~19세,"5,180","3,601",160,118,93,198,162,388,130,186,144,
2020년12월_계_20~29세,"6,875","4,191",389,141,129,271,242,802,244,269,197,
2020년12월_계_30~39세,"6,139","3,918",308,107,96,205,213,608,251,243,190,
2020년12월_계_40~49세,"8,297","5,346",385,153,195,309,343,551,370,355,290,
2020년12월_계_50~59세,"12,754","6,036",822,457,491,805,763,"1,019",756,836,769,
2020년12월_계_60~69세,"13,820","5,029","1,245",683,698,978,"1,102","1,210","1,064",976,835,
2020년12월_계_70~79세,"7,310","2,556",702,410,373,488,616,695,541,513,416,
2020년12월_계_80~89세,"4,387","1,390",439,252,244,327,373,469,314,351,228,
2020년12월_계_90~99세,637,206,82,52,26,37,44,65,55,40,30,
2020년12월_계_100세 이상,43,19,3,2,0,4,6,1,3,4,1,
2020년12월_남_총인구수,"35,663","17,663","2,454","1,208","1,252","1,907","2,049","3,362","2,019","2,039","1,710",
2020년12월_남_연령구간인구수,"35,663","17,663","2,454","1,208","1,252","1,907","2,049","3,362","2,019","2,039","1,710",
2020년12월_남_0~9세,"1,911","1,318",59,28,31,67,50,190,51,54,63,
2020년12월_남_10~19세,"2,673","1,856",89,66,53,102,92,171,68,102,74,
2020년12월_남_20~29세,"4,185","2,423",258,86,73,169,144,608,139,162,123,
2020년12월_남_30~39세,"3,367","2,077",188,56,61,102,124,356,166,135,102,
2020년12월_남_40~49세,"4,457","2,699",243,86,129,173,204,322,226,212,163,
2020년12월_남_50~59세,"6,711","3,130",444,243,252,414,410,544,387,458,429,
2020년12월_남_60~69세,"7,181","2,523",653,352,365,512,569,656,581,529,441,
2020년12월_남_70~79세,"3,441","1,096",356,185,196,245,308,331,260,247,217,
2020년12월_남_80~89세,"1,559",484,141,92,83,113,136,169,122,130,89,
2020년12월_남_90~99세,171,56,23,13,9,9,11,15,19,8,8,
2020년12월_남_100세 이상,7,1,0,1,0,1,1,0,0,2,1,
2020년12월_여_총인구수,"33,579","17,269","2,202","1,212","1,140","1,846","1,923","2,822","1,810","1,848","1,507",
2020년12월_여_연령구간인구수,"33,579","17,269","2,202","1,212","1,140","1,846","1,923","2,822","1,810","1,848","1,507",
2020년12월_여_0~9세,"1,889","1,322",62,17,16,64,58,186,50,60,54,
2020년12월_여_10~19세,"2,507","1,745",71,52,40,96,70,217,62,84,70,
2020년12월_여_20~29세,"2,690","1,768",131,55,56,102,98,194,105,107,74,
2020년12월_여_30~39세,"2,772","1,841",120,51,35,103,89,252,85,108,88,
2020년12월_여_40~49세,"3,840","2,647",142,67,66,136,139,229,144,143,127,
2020년12월_여_50~59세,"6,043","2,906",378,214,239,391,353,475,369,378,340,
2020년12월_여_60~69세,"6,639","2,506",592,331,333,466,533,554,483,447,394,
2020년12월_여_70~79세,"3,869","1,460",346,225,177,243,308,364,281,266,199,
2020년12월_여_80~89세,"2,828",906,298,160,161,214,237,300,192,221,139,
2020년12월_여_90~99세,466,150,59,39,17,28,33,50,36,32,22,
2020년12월_여_100세 이상,36,18,3,1,0,3,5,1,3,2,0,
2021년01월_계_총인구수,"69,142","34,864","4,672","2,422","2,382","3,750","3,985","6,147","3,828","3,886","3,206",
2021년01월_계_연령구간인구수,"69,142","34,864","4,672","2,422","2,382","3,750","3,985","6,147","3,828","3,886","3,206",
2021년01월_계_0~9세,"3,771","2,618",126,48,45,128,105,371,99,114,117,
2021년01월_계_10~19세,"5,131","3,588",163,105,84,194,166,372,131,185,143,
2021년01월_계_20~29세,"6,858","4,182",388,145,124,271,237,808,243,267,193,
2021년01월_계_30~39세,"6,063","3,871",310,107,97,204,212,590,243,241,188,
2021년01월_계_40~49세,"8,274","5,338",387,156,192,307,350,544,363,356,281,
2021년01월_계_50~59세,"12,695","6,026",814,459,489,805,758,"1,002",751,826,765,
2021년01월_계_60~69세,"13,932","5,053","1,255",687,706,987,"1,112","1,229","1,076",985,842,
2021년01월_계_70~79세,"7,330","2,557",702,411,372,488,621,696,549,517,417,
2021년01월_계_80~89세,"4,402","1,404",442,252,246,324,373,465,315,352,229,
2021년01월_계_90~99세,644,209,82,50,27,38,45,69,55,39,30,
2021년01월_계_100세 이상,42,18,3,2,0,4,6,1,3,4,1,
2021년01월_남_총인구수,"35,625","17,643","2,465","1,208","1,249","1,903","2,059","3,335","2,019","2,042","1,702",
2021년01월_남_연령구간인구수,"35,625","17,643","2,465","1,208","1,249","1,903","2,059","3,335","2,019","2,042","1,702",
2021년01월_남_0~9세,"1,898","1,314",60,28,31,65,49,184,50,54,63,
2021년01월_남_10~19세,"2,648","1,849",91,55,46,100,98,166,70,102,71,
2021년01월_남_20~29세,"4,171","2,417",256,90,70,169,139,610,137,161,122,
2021년01월_남_30~39세,"3,327","2,057",188,57,61,103,123,342,160,136,100,
2021년01월_남_40~49세,"4,444","2,689",245,89,128,170,210,320,221,211,161,
2021년01월_남_50~59세,"6,672","3,129",440,244,252,414,404,530,387,450,422,
2021년01월_남_60~69세,"7,264","2,541",662,355,372,516,577,667,589,536,449,
2021년01월_남_70~79세,"3,449","1,098",355,184,194,246,310,334,262,250,216,
2021년01월_남_80~89세,"1,576",492,145,93,86,110,137,168,124,132,89,
2021년01월_남_90~99세,169,56,23,12,9,9,11,14,19,8,8,
2021년01월_남_100세 이상,7,1,0,1,0,1,1,0,0,2,1,
2021년01월_여_총인구수,"33,517","17,221","2,207","1,214","1,133","1,847","1,926","2,812","1,809","1,844","1,504",
2021년01월_여_연령구간인구수,"33,517","17,221","2,207","1,214","1,133","1,847","1,926","2,812","1,809","1,844","1,504",
2021년01월_여_0~9세,"1,873","1,304",66,20,14,63,56,187,49,60,54,
2021년01월_여_10~19세,"2,483","1,739",72,50,38,94,68,206,61,83,72,
2021년01월_여_20~29세,"2,687","1,765",132,55,54,102,98,198,106,106,71,
2021년01월_여_30~39세,"2,736","1,814",122,50,36,101,89,248,83,105,88,
2021년01월_여_40~49세,"3,830","2,649",142,67,64,137,140,224,142,145,120,
2021년01월_여_50~59세,"6,023","2,897",374,215,237,391,354,472,364,376,343,
2021년01월_여_60~69세,"6,668","2,512",593,332,334,471,535,562,487,449,393,
2021년01월_여_70~79세,"3,881","1,459",347,227,178,242,311,362,287,267,201,
2021년01월_여_80~89세,"2,826",912,297,159,160,214,236,297,191,220,140,
2021년01월_여_90~99세,475,153,59,38,18,29,34,55,36,31,22,
2021년01월_여_100세 이상,35,17,3,1,0,3,5,1,3,2,0,
2021년02월_계_총인구수,"69,041","34,718","4,670","2,427","2,379","3,749","3,997","6,188","3,810","3,897","3,206",
2021년02월_계_연령구간인구수,"69,041","34,718","4,670","2,427","2,379","3,749","3,997","6,188","3,810","3,897","3,206",
2021년02월_계_0~9세,"3,773","2,587",129,49,46,135,103,389,99,116,120,
2021년02월_계_10~19세,"5,071","3,537",165,106,83,190,163,377,126,183,141,
2021년02월_계_20~29세,"6,829","4,163",386,146,118,272,240,810,237,267,190,
2021년02월_계_30~39세,"6,044","3,845",300,108,99,204,216,609,240,234,189,
2021년02월_계_40~49세,"8,219","5,298",390,160,183,304,344,540,359,359,282,
2021년02월_계_50~59세,"12,630","6,008",804,453,486,792,763,"1,001",740,827,756,
2021년02월_계_60~69세,"14,049","5,092","1,268",688,716,997,"1,118","1,245","1,081",995,849,
2021년02월_계_70~79세,"7,300","2,540",707,408,375,488,625,676,552,518,411,
2021년02월_계_80~89세,"4,429","1,418",436,255,247,323,374,473,315,354,234,
2021년02월_계_90~99세,652,211,82,52,25,40,45,67,58,39,33,
2021년02월_계_100세 이상,45,19,3,2,1,4,6,1,3,5,1,
2021년02월_남_총인구수,"35,564","17,579","2,466","1,215","1,244","1,904","2,061","3,346","2,006","2,047","1,696",
2021년02월_남_연령구간인구수,"35,564","17,579","2,466","1,215","1,244","1,904","2,061","3,346","2,006","2,047","1,696",
2021년02월_남_0~9세,"1,894","1,288",62,29,32,72,47,192,51,54,67,
2021년02월_남_10~19세,"2,623","1,836",92,56,44,100,94,165,66,101,69,
2021년02월_남_20~29세,"4,152","2,403",257,90,68,169,143,610,135,160,117,
2021년02월_남_30~39세,"3,323","2,061",181,59,59,101,124,349,156,132,101,
2021년02월_남_40~49세,"4,400","2,661",246,91,125,165,208,315,216,215,158,
2021년02월_남_50~59세,"6,633","3,116",434,242,250,410,406,528,382,449,416,
2021년02월_남_60~69세,"7,336","2,568",672,354,376,519,582,675,593,542,455,
2021년02월_남_70~79세,"3,439","1,088",358,185,196,247,309,326,263,252,215,
2021년02월_남_80~89세,"1,589",500,142,96,85,111,136,172,125,133,89,
2021년02월_남_90~99세,167,57,22,12,9,9,11,14,19,6,8,
2021년02월_남_100세 이상,8,1,0,1,0,1,1,0,0,3,1,
2021년02월_여_총인구수,"33,477","17,139","2,204","1,212","1,135","1,845","1,936","2,842","1,804","1,850","1,510",
2021년02월_여_연령구간인구수,"33,477","17,139","2,204","1,212","1,135","1,845","1,936","2,842","1,804","1,850","1,510",
2021년02월_여_0~9세,"1,879","1,299",67,20,14,63,56,197,48,62,53,
2021년02월_여_10~19세,"2,448","1,701",73,50,39,90,69,212,60,82,72,
2021년02월_여_20~29세,"2,677","1,760",129,56,50,103,97,200,102,107,73,
2021년02월_여_30~39세,"2,721","1,784",119,49,40,103,92,260,84,102,88,
2021년02월_여_40~49세,"3,819","2,637",144,69,58,139,136,225,143,144,124,
2021년02월_여_50~59세,"5,997","2,892",370,211,236,382,357,473,358,378,340,
2021년02월_여_60~69세,"6,713","2,524",596,334,340,478,536,570,488,453,394,
2021년02월_여_70~79세,"3,861","1,452",349,223,179,241,316,350,289,266,196,
2021년02월_여_80~89세,"2,840",918,294,159,162,212,238,301,190,221,145,
2021년02월_여_90~99세,485,154,60,40,16,31,34,53,39,33,25,
2021년02월_여_100세 이상,37,18,3,1,1,3,5,1,3,2,0,
2021년03월_계_총인구수,"68,751","34,486","4,623","2,413","2,374","3,729","4,001","6,247","3,788","3,882","3,208",
2021년03월_계_연령구간인구수,"68,751","34,486","4,623","2,413","2,374","3,729","4,001","6,247","3,788","3,882","3,208",
2021년03월_계_0~9세,"3,729","2,550",124,47,47,131,108,388,100,113,121,
2021년03월_계_10~19세,"5,110","3,497",163,108,77,184,187,443,123,188,140,
2021년03월_계_20~29세,"6,764","4,118",380,146,118,277,237,809,234,262,183,
2021년03월_계_30~39세,"5,981","3,822",285,107,98,199,216,603,229,230,192,
2021년03월_계_40~49세,"8,130","5,250",393,156,181,301,335,527,353,362,272,
2021년03월_계_50~59세,"12,472","5,946",788,441,479,772,750,995,731,812,758,
2021년03월_계_60~69세,"14,202","5,132","1,272",699,727,"1,018","1,127","1,268","1,092","1,007",860,
2021년03월_계_70~79세,"7,254","2,521",702,404,370,484,626,670,554,512,411,
2021년03월_계_80~89세,"4,432","1,426",434,253,247,317,371,476,317,354,237,
2021년03월_계_90~99세,643,206,79,51,29,42,41,68,53,41,33,
2021년03월_계_100세 이상,34,18,3,1,1,4,3,0,2,1,1,
2021년03월_남_총인구수,"35,381","17,450","2,445","1,202","1,239","1,898","2,072","3,329","2,003","2,045","1,698",
2021년03월_남_연령구간인구수,"35,381","17,450","2,445","1,202","1,239","1,898","2,072","3,329","2,003","2,045","1,698",
2021년03월_남_0~9세,"1,874","1,269",61,28,32,72,49,191,51,53,68,
2021년03월_남_10~19세,"2,613","1,815",90,56,39,94,116,166,64,105,68,
2021년03월_남_20~29세,"4,104","2,367",256,88,70,174,139,603,138,154,115,
2021년03월_남_30~39세,"3,279","2,047",167,56,57,100,123,343,150,134,102,
2021년03월_남_40~49세,"4,353","2,638",249,91,123,161,204,303,213,219,152,
2021년03월_남_50~59세,"6,573","3,096",430,233,249,403,399,527,376,440,420,
2021년03월_남_60~69세,"7,411","2,574",675,362,380,532,585,686,603,553,461,
2021년03월_남_70~79세,"3,428","1,086",357,184,193,243,312,324,266,250,213,
2021년03월_남_80~89세,"1,585",504,140,93,86,108,135,172,125,132,90,
2021년03월_남_90~99세,157,53,20,11,10,10,9,14,17,5,8,
2021년03월_남_100세 이상,4,1,0,0,0,1,1,0,0,0,1,
2021년03월_여_총인구수,"33,370","17,036","2,178","1,211","1,135","1,831","1,929","2,918","1,785","1,837","1,510",
2021년03월_여_연령구간인구수,"33,370","17,036","2,178","1,211","1,135","1,831","1,929","2,918","1,785","1,837","1,510",
2021년03월_여_0~9세,"1,855","1,281",63,19,15,59,59,197,49,60,53,
2021년03월_여_10~19세,"2,497","1,682",73,52,38,90,71,277,59,83,72,
2021년03월_여_20~29세,"2,660","1,751",124,58,48,103,98,206,96,108,68,
2021년03월_여_30~39세,"2,702","1,775",118,51,41,99,93,260,79,96,90,
2021년03월_여_40~49세,"3,777","2,612",144,65,58,140,131,224,140,143,120,
2021년03월_여_50~59세,"5,899","2,850",358,208,230,369,351,468,355,372,338,
2021년03월_여_60~69세,"6,791","2,558",597,337,347,486,542,582,489,454,399,
2021년03월_여_70~79세,"3,826","1,435",345,220,177,241,314,346,288,262,198,
2021년03월_여_80~89세,"2,847",922,294,160,161,209,236,304,192,222,147,
2021년03월_여_90~99세,486,153,59,40,19,32,32,54,36,36,25,
2021년03월_여_100세 이상,30,17,3,1,1,3,2,0,2,1,0,
2021년04월_계_총인구수,"68,681","34,425","4,635","2,417","2,375","3,727","3,988","6,247","3,788","3,902","3,177",
2021년04월_계_연령구간인구수,"68,681","34,425","4,635","2,417","2,375","3,727","3,988","6,247","3,788","3,902","3,177",
2021년04월_계_0~9세,"3,730","2,551",123,48,47,130,106,388,100,118,119,
2021년04월_계_10~19세,"5,081","3,480",161,108,75,184,185,435,122,190,141,
2021년04월_계_20~29세,"6,728","4,087",376,145,120,273,235,812,230,266,184,
2021년04월_계_30~39세,"5,945","3,798",287,111,95,202,217,598,223,231,183,
2021년04월_계_40~49세,"8,108","5,242",397,156,179,300,328,527,355,361,263,
2021년04월_계_50~59세,"12,392","5,911",785,434,472,769,747,992,727,802,753,
2021년04월_계_60~69세,"14,327","5,177","1,289",705,732,"1,021","1,131","1,286","1,103","1,024",859,
2021년04월_계_70~79세,"7,247","2,524",700,401,374,483,625,670,550,512,408,
2021년04월_계_80~89세,"4,444","1,429",435,258,250,319,371,471,319,356,236,
2021년04월_계_90~99세,645,208,79,50,30,42,40,68,57,41,30,
2021년04월_계_100세 이상,34,18,3,1,1,4,3,0,2,1,1,
2021년04월_남_총인구수,"35,370","17,408","2,453","1,207","1,244","1,901","2,068","3,339","2,001","2,054","1,695",
2021년04월_남_연령구간인구수,"35,370","17,408","2,453","1,207","1,244","1,901","2,068","3,339","2,001","2,054","1,695",
2021년04월_남_0~9세,"1,886","1,275",63,28,32,71,48,193,52,56,68,
2021년04월_남_10~19세,"2,597","1,802",88,57,38,95,114,167,63,105,68,
2021년04월_남_20~29세,"4,084","2,354",251,86,70,175,140,603,134,153,118,
2021년04월_남_30~39세,"3,248","2,020",168,59,55,101,126,338,149,135,97,
2021년04월_남_40~49세,"4,346","2,632",253,94,122,159,201,307,213,217,148,
2021년04월_남_50~59세,"6,545","3,080",431,227,249,402,394,530,370,438,424,
2021년04월_남_60~69세,"7,474","2,596",679,366,386,536,588,691,609,561,462,
2021년04월_남_70~79세,"3,432","1,092",359,183,193,240,312,324,268,250,211,
2021년04월_남_80~89세,"1,596",504,141,97,89,111,135,171,124,133,91,
2021년04월_남_90~99세,158,52,20,10,10,10,9,15,19,6,7,
2021년04월_남_100세 이상,4,1,0,0,0,1,1,0,0,0,1,
2021년04월_여_총인구수,"33,311","17,017","2,182","1,210","1,131","1,826","1,920","2,908","1,787","1,848","1,482",
2021년04월_여_연령구간인구수,"33,311","17,017","2,182","1,210","1,131","1,826","1,920","2,908","1,787","1,848","1,482",
2021년04월_여_0~9세,"1,844","1,276",60,20,15,59,58,195,48,62,51,
2021년04월_여_10~19세,"2,484","1,678",73,51,37,89,71,268,59,85,73,
2021년04월_여_20~29세,"2,644","1,733",125,59,50,98,95,209,96,113,66,
2021년04월_여_30~39세,"2,697","1,778",119,52,40,101,91,260,74,96,86,
2021년04월_여_40~49세,"3,762","2,610",144,62,57,141,127,220,142,144,115,
2021년04월_여_50~59세,"5,847","2,831",354,207,223,367,353,462,357,364,329,
2021년04월_여_60~69세,"6,853","2,581",610,339,346,485,543,595,494,463,397,
2021년04월_여_70~79세,"3,815","1,432",341,218,181,243,313,346,282,262,197,
2021년04월_여_80~89세,"2,848",925,294,161,161,208,236,300,195,223,145,
2021년04월_여_90~99세,487,156,59,40,20,32,31,53,38,35,23,
2021년04월_여_100세 이상,30,17,3,1,1,3,2,0,2,1,0,
2021년05월_계_총인구수,"68,597","34,395","4,608","2,433","2,365","3,734","3,984","6,237","3,775","3,897","3,169",
2021년05월_계_연령구간인구수,"68,597","34,395","4,608","2,433","2,365","3,734","3,984","6,237","3,775","3,897","3,169",
2021년05월_계_0~9세,"3,718","2,543",122,48,47,127,106,387,100,115,123,
2021년05월_계_10~19세,"5,048","3,461",156,108,71,185,186,432,117,194,138,
2021년05월_계_20~29세,"6,684","4,067",375,148,119,276,232,797,223,263,184,
2021년05월_계_30~39세,"5,903","3,771",285,109,95,203,218,588,223,231,180,
2021년05월_계_40~49세,"8,077","5,220",391,156,177,292,329,536,351,364,261,
2021년05월_계_50~59세,"12,343","5,909",765,440,466,767,744,986,728,797,741,
2021년05월_계_60~69세,"14,447","5,231","1,303",715,737,"1,032","1,133","1,299","1,101","1,026",870,
2021년05월_계_70~79세,"7,241","2,527",696,399,374,487,621,669,554,508,406,
2021년05월_계_80~89세,"4,462","1,438",436,258,248,320,372,475,319,360,236,
2021년05월_계_90~99세,641,211,76,51,30,41,40,68,57,38,29,
2021년05월_계_100세 이상,33,17,3,1,1,4,3,0,2,1,1,
2021년05월_남_총인구수,"35,339","17,407","2,438","1,218","1,235","1,911","2,068","3,332","1,995","2,046","1,689",
2021년05월_남_연령구간인구수,"35,339","17,407","2,438","1,218","1,235","1,911","2,068","3,332","1,995","2,046","1,689",
2021년05월_남_0~9세,"1,889","1,279",63,28,32,68,50,192,52,55,70,
2021년05월_남_10~19세,"2,573","1,789",84,57,35,97,113,167,59,106,66,
2021년05월_남_20~29세,"4,065","2,342",251,88,70,176,140,596,132,151,119,
2021년05월_남_30~39세,"3,222","2,011",167,57,55,104,127,325,150,133,93,
2021년05월_남_40~49세,"4,326","2,623",254,92,120,155,197,314,210,216,145,
2021년05월_남_50~59세,"6,524","3,079",420,235,244,404,394,527,372,434,415,
2021년05월_남_60~69세,"7,545","2,627",681,372,388,541,592,701,608,562,473,
2021년05월_남_70~79세,"3,431","1,094",359,183,194,243,308,322,268,251,209,
2021년05월_남_80~89세,"1,608",511,140,97,87,113,136,174,126,133,91,
2021년05월_남_90~99세,152,51,19,9,10,9,10,14,18,5,7,
2021년05월_남_100세 이상,4,1,0,0,0,1,1,0,0,0,1,
2021년05월_여_총인구수,"33,258","16,988","2,170","1,215","1,130","1,823","1,916","2,905","1,780","1,851","1,480",
2021년05월_여_연령구간인구수,"33,258","16,988","2,170","1,215","1,130","1,823","1,916","2,905","1,780","1,851","1,480",
2021년05월_여_0~9세,"1,829","1,264",59,20,15,59,56,195,48,60,53,
2021년05월_여_10~19세,"2,475","1,672",72,51,36,88,73,265,58,88,72,
2021년05월_여_20~29세,"2,619","1,725",124,60,49,100,92,201,91,112,65,
2021년05월_여_30~39세,"2,681","1,760",118,52,40,99,91,263,73,98,87,
2021년05월_여_40~49세,"3,751","2,597",137,64,57,137,132,222,141,148,116,
2021년05월_여_50~59세,"5,819","2,830",345,205,222,363,350,459,356,363,326,
2021년05월_여_60~69세,"6,902","2,604",622,343,349,491,541,598,493,464,397,
2021년05월_여_70~79세,"3,810","1,433",337,216,180,244,313,347,286,257,197,
2021년05월_여_80~89세,"2,854",927,296,161,161,207,236,301,193,227,145,
2021년05월_여_90~99세,489,160,57,42,20,32,30,54,39,33,22,
2021년05월_여_100세 이상,29,16,3,1,1,3,2,0,2,1,0,
2021년06월_계_총인구수,"68,619","34,381","4,602","2,444","2,364","3,719",0,"6,225","3,791","3,913","3,174","4,006"
2021년06월_계_연령구간인구수,"68,619","34,381","4,602","2,444","2,364","3,719",0,"6,225","3,791","3,913","3,174","4,006"
2021년06월_계_0~9세,"3,691","2,525",119,48,46,123,0,382,100,119,124,105
2021년06월_계_10~19세,"5,054","3,453",159,110,71,185,0,430,125,196,138,187
2021년06월_계_20~29세,"6,652","4,058",370,147,117,274,0,789,217,265,187,228
2021년06월_계_30~39세,"5,878","3,754",285,111,93,198,0,592,222,229,178,216
2021년06월_계_40~49세,"8,074","5,226",387,155,176,296,0,535,348,363,261,327
2021년06월_계_50~59세,"12,275","5,883",757,438,468,759,0,963,734,793,728,752
2021년06월_계_60~69세,"14,606","5,293","1,309",727,741,"1,035",0,"1,322","1,111","1,036",886,"1,146"
2021년06월_계_70~79세,"7,204","2,510",697,395,367,476,0,669,558,510,401,621
2021년06월_계_80~89세,"4,507","1,452",439,260,253,329,0,475,316,364,239,380
2021년06월_계_90~99세,646,211,77,52,31,40,0,68,58,37,31,41
2021년06월_계_100세 이상,32,16,3,1,1,4,0,0,2,1,1,3
2021년06월_남_총인구수,"35,342","17,396","2,433","1,223","1,229","1,906",0,"3,324","2,002","2,057","1,691","2,081"
2021년06월_남_연령구간인구수,"35,342","17,396","2,433","1,223","1,229","1,906",0,"3,324","2,002","2,057","1,691","2,081"
2021년06월_남_0~9세,"1,878","1,273",61,29,31,65,0,189,52,58,70,50
2021년06월_남_10~19세,"2,574","1,781",86,58,35,96,0,165,65,106,67,115
2021년06월_남_20~29세,"4,033","2,324",248,87,69,176,0,590,128,154,118,139
2021년06월_남_30~39세,"3,208","2,002",166,58,52,100,0,332,150,129,93,126
2021년06월_남_40~49세,"4,322","2,633",249,91,121,158,0,305,208,216,147,194
2021년06월_남_50~59세,"6,486","3,062",422,232,240,401,0,516,376,433,403,401
2021년06월_남_60~69세,"7,638","2,664",680,381,392,545,0,716,611,568,485,596
2021년06월_남_70~79세,"3,420","1,086",360,179,188,240,0,322,271,255,207,312
2021년06월_남_80~89세,"1,624",518,141,98,91,116,0,175,123,133,92,137
2021년06월_남_90~99세,155,52,20,10,10,8,0,14,18,5,8,10
2021년06월_남_100세 이상,4,1,0,0,0,1,0,0,0,0,1,1
2021년06월_여_총인구수,"33,277","16,985","2,169","1,221","1,135","1,813",0,"2,901","1,789","1,856","1,483","1,925"
2021년06월_여_연령구간인구수,"33,277","16,985","2,169","1,221","1,135","1,813",0,"2,901","1,789","1,856","1,483","1,925"
2021년06월_여_0~9세,"1,813","1,252",58,19,15,58,0,193,48,61,54,55
2021년06월_여_10~19세,"2,480","1,672",73,52,36,89,0,265,60,90,71,72
2021년06월_여_20~29세,"2,619","1,734",122,60,48,98,0,199,89,111,69,89
2021년06월_여_30~39세,"2,670","1,752",119,53,41,98,0,260,72,100,85,90
2021년06월_여_40~49세,"3,752","2,593",138,64,55,138,0,230,140,147,114,133
2021년06월_여_50~59세,"5,789","2,821",335,206,228,358,0,447,358,360,325,351
2021년06월_여_60~69세,"6,968","2,629",629,346,349,490,0,606,500,468,401,550
2021년06월_여_70~79세,"3,784","1,424",337,216,179,236,0,347,287,255,194,309
2021년06월_여_80~89세,"2,883",934,298,162,162,213,0,300,193,231,147,243
2021년06월_여_90~99세,491,159,57,42,21,32,0,54,40,32,23,31
2021년06월_여_100세 이상,28,15,3,1,1,3,0,0,2,1,0,2
2021년07월_계_총인구수,"68,573","34,347","4,594","2,459","2,371","3,713",,"6,222","3,796","3,884","3,169","4,018"
2021년07월_계_연령구간인구수,"68,573","34,347","4,594","2,459","2,371","3,713",,"6,222","3,796","3,884","3,169","4,018"
2021년07월_계_0~9세,"3,671","2,522",112,48,45,124,,382,99,111,122,106
2021년07월_계_10~19세,"5,034","3,439",160,112,72,183,,423,126,192,139,188
2021년07월_계_20~29세,"6,587","4,017",365,141,114,276,,781,220,259,186,228
