카테고리,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2020년03월_남_90~99세,96,27,14,7,9,7,4,6,6,8,8,0,0
2020년03월_남_100세 이상,4,0,3,1,0,0,0,0,0,0,0,0,0
2020년03월_여_총인구수,"26,909","11,195","2,395","3,353",848,925,698,"1,181","1,257","2,089","2,733",159,76
2020년03월_여_연령구간인구수,"26,909","11,195","2,395","3,353",848,925,698,"1,181","1,257","2,089","2,733",159,76
2020년03월_여_0~9세,"1,852","1,034",98,308,36,41,33,51,37,77,126,6,5
2020년03월_여_10~19세,"2,085","1,178",125,285,31,36,30,89,28,87,188,8,0
2020년03월_여_20~29세,"2,281","1,147",143,365,61,75,46,72,65,96,199,7,5
2020년03월_여_30~39세,"2,382","1,241",116,416,59,60,59,52,59,111,197,7,5
2020년03월_여_40~49세,"2,903","1,663",175,383,62,50,33,91,65,120,239,17,5
2020년03월_여_50~59세,"4,013","1,699",334,504,124,131,116,139,149,319,457,28,13
2020년03월_여_60~69세,"4,149","1,460",436,415,135,156,129,207,230,466,450,43,22
2020년03월_여_70~79세,"4,101","1,039",555,404,178,180,138,256,328,487,504,18,14
2020년03월_여_80~89세,"2,684",610,361,236,133,168,100,193,257,288,314,18,6
2020년03월_여_90~99세,426,111,48,33,27,27,14,28,37,38,55,7,1
2020년03월_여_100세 이상,33,13,4,4,2,1,0,3,2,0,4,0,0
2020년04월_계_총인구수,"53,539","21,919","4,799","7,034","1,805","1,788","1,377","2,407","2,409","4,079","5,327",408,187
2020년04월_계_연령구간인구수,"53,539","21,919","4,799","7,034","1,805","1,788","1,377","2,407","2,409","4,079","5,327",408,187
2020년04월_계_0~9세,"3,777","2,101",193,657,83,86,56,96,80,142,260,12,11
2020년04월_계_10~19세,"4,303","2,392",270,558,123,72,58,200,67,167,378,15,3
2020년04월_계_20~29세,"5,097","2,440",365,861,147,137,95,171,133,245,468,27,8
2020년04월_계_30~39세,"4,977","2,374",280,939,138,123,121,132,138,275,425,20,12
2020년04월_계_40~49세,"6,755","3,420",480,898,180,153,103,267,189,376,593,71,25
2020년04월_계_50~59세,"8,777","3,436",831,"1,184",292,293,257,396,356,684,929,82,37
2020년04월_계_60~69세,"8,265","2,799",846,857,314,328,278,403,448,900,936,107,49
2020년04월_계_70~79세,"7,125","1,905",928,697,299,317,243,430,554,840,837,42,33
2020년04월_계_80~89세,"3,899",901,536,340,192,243,148,273,398,402,433,25,8
2020년04월_계_90~99세,529,139,64,38,35,35,18,36,44,48,64,7,1
2020년04월_계_100세 이상,35,12,6,5,2,1,0,3,2,0,4,0,0
2020년04월_남_총인구수,"26,693","10,740","2,418","3,688",960,867,676,"1,225","1,153","2,000","2,604",251,111
2020년04월_남_연령구간인구수,"26,693","10,740","2,418","3,688",960,867,676,"1,225","1,153","2,000","2,604",251,111
2020년04월_남_0~9세,"1,915","1,061",94,354,45,45,20,44,44,64,132,6,6
2020년04월_남_10~19세,"2,238","1,230",145,273,90,37,28,111,40,82,192,7,3
2020년04월_남_20~29세,"2,841","1,296",227,499,88,64,49,101,72,150,272,20,3
2020년04월_남_30~39세,"2,592","1,133",165,525,80,64,58,79,77,165,225,14,7
2020년04월_남_40~49세,"3,870","1,757",315,516,121,101,72,177,121,258,358,54,20
2020년04월_남_50~59세,"4,782","1,745",494,674,166,164,144,258,209,371,479,54,24
2020년04월_남_60~69세,"4,115","1,333",416,443,179,170,150,194,219,436,482,66,27
2020년04월_남_70~79세,"3,037",866,374,297,124,138,103,174,224,358,337,23,19
2020년04월_남_80~89세,"1,203",292,170,101,58,77,48,81,141,107,119,7,2
2020년04월_남_90~99세,96,27,15,5,9,7,4,6,6,9,8,0,0
2020년04월_남_100세 이상,4,0,3,1,0,0,0,0,0,0,0,0,0
2020년04월_여_총인구수,"26,846","11,179","2,381","3,346",845,921,701,"1,182","1,256","2,079","2,723",157,76
2020년04월_여_연령구간인구수,"26,846","11,179","2,381","3,346",845,921,701,"1,182","1,256","2,079","2,723",157,76
2020년04월_여_0~9세,"1,862","1,040",99,303,38,41,36,52,36,78,128,6,5
2020년04월_여_10~19세,"2,065","1,162",125,285,33,35,30,89,27,85,186,8,0
2020년04월_여_20~29세,"2,256","1,144",138,362,59,73,46,70,61,95,196,7,5
2020년04월_여_30~39세,"2,385","1,241",115,414,58,59,63,53,61,110,200,6,5
2020년04월_여_40~49세,"2,885","1,663",165,382,59,52,31,90,68,118,235,17,5
2020년04월_여_50~59세,"3,995","1,691",337,510,126,129,113,138,147,313,450,28,13
2020년04월_여_60~69세,"4,150","1,466",430,414,135,158,128,209,229,464,454,41,22
2020년04월_여_70~79세,"4,088","1,039",554,400,175,179,140,256,330,482,500,19,14
2020년04월_여_80~89세,"2,696",609,366,239,134,166,100,192,257,295,314,18,6
2020년04월_여_90~99세,433,112,49,33,26,28,14,30,38,39,56,7,1
2020년04월_여_100세 이상,31,12,3,4,2,1,0,3,2,0,4,0,0
2020년05월_계_총인구수,"53,512","21,894","4,800","7,012","1,810","1,799","1,384","2,401","2,418","4,080","5,320",406,188
2020년05월_계_연령구간인구수,"53,512","21,894","4,800","7,012","1,810","1,799","1,384","2,401","2,418","4,080","5,320",406,188
2020년05월_계_0~9세,"3,801","2,102",196,652,86,89,57,94,85,147,270,12,11
2020년05월_계_10~19세,"4,275","2,379",268,557,124,76,56,198,70,157,372,15,3
2020년05월_계_20~29세,"5,085","2,437",367,859,144,134,97,168,130,247,470,24,8
2020년05월_계_30~39세,"4,962","2,368",279,939,141,118,122,132,139,274,418,21,11
2020년05월_계_40~49세,"6,726","3,401",475,888,183,156,103,262,192,382,588,71,25
2020년05월_계_50~59세,"8,754","3,441",833,"1,177",289,294,255,397,351,677,919,84,37
2020년05월_계_60~69세,"8,287","2,790",842,860,318,335,286,404,453,904,939,105,51
2020년05월_계_70~79세,"7,130","1,913",928,699,298,315,243,431,549,842,836,43,33
2020년05월_계_80~89세,"3,919",908,541,338,187,245,147,273,404,402,443,23,8
2020년05월_계_90~99세,539,143,66,38,38,36,18,39,43,48,61,8,1
2020년05월_계_100세 이상,34,12,5,5,2,1,0,3,2,0,4,0,0
2020년05월_남_총인구수,"26,687","10,724","2,416","3,675",964,872,683,"1,219","1,159","2,005","2,610",249,111
2020년05월_남_연령구간인구수,"26,687","10,724","2,416","3,675",964,872,683,"1,219","1,159","2,005","2,610",249,111
2020년05월_남_0~9세,"1,937","1,068",95,351,45,48,21,44,48,65,140,6,6
2020년05월_남_10~19세,"2,226","1,223",142,274,93,39,26,110,42,80,187,7,3
2020년05월_남_20~29세,"2,843","1,299",231,497,87,62,51,99,70,151,276,17,3
2020년05월_남_30~39세,"2,574","1,130",165,522,80,59,59,78,77,161,222,15,6
2020년05월_남_40~49세,"3,849","1,738",310,512,123,102,72,175,121,264,358,54,20
2020년05월_남_50~59세,"4,764","1,744",494,668,167,165,142,253,206,370,475,56,24
2020년05월_남_60~69세,"4,137","1,334",415,446,181,175,155,198,224,437,479,65,28
2020년05월_남_70~79세,"3,043",867,376,298,124,135,105,174,220,361,341,23,19
2020년05월_남_80~89세,"1,213",293,170,102,55,80,48,81,145,107,124,6,2
2020년05월_남_90~99세,97,28,15,4,9,7,4,7,6,9,8,0,0
2020년05월_남_100세 이상,4,0,3,1,0,0,0,0,0,0,0,0,0
2020년05월_여_총인구수,"26,825","11,170","2,384","3,337",846,927,701,"1,182","1,259","2,075","2,710",157,77
2020년05월_여_연령구간인구수,"26,825","11,170","2,384","3,337",846,927,701,"1,182","1,259","2,075","2,710",157,77
2020년05월_여_0~9세,"1,864","1,034",101,301,41,41,36,50,37,82,130,6,5
2020년05월_여_10~19세,"2,049","1,156",126,283,31,37,30,88,28,77,185,8,0
2020년05월_여_20~29세,"2,242","1,138",136,362,57,72,46,69,60,96,194,7,5
2020년05월_여_30~39세,"2,388","1,238",114,417,61,59,63,54,62,113,196,6,5
2020년05월_여_40~49세,"2,877","1,663",165,376,60,54,31,87,71,118,230,17,5
2020년05월_여_50~59세,"3,990","1,697",339,509,122,129,113,144,145,307,444,28,13
2020년05월_여_60~69세,"4,150","1,456",427,414,137,160,131,206,229,467,460,40,23
2020년05월_여_70~79세,"4,087","1,046",552,401,174,180,138,257,329,481,495,20,14
2020년05월_여_80~89세,"2,706",615,371,236,132,165,99,192,259,295,319,17,6
2020년05월_여_90~99세,442,115,51,34,29,29,14,32,37,39,53,8,1
2020년05월_여_100세 이상,30,12,2,4,2,1,0,3,2,0,4,0,0
2020년06월_계_총인구수,"53,475","21,869","4,784","7,022","1,812","1,792","1,387","2,389","2,413","4,090","5,323",407,187
2020년06월_계_연령구간인구수,"53,475","21,869","4,784","7,022","1,812","1,792","1,387","2,389","2,413","4,090","5,323",407,187
2020년06월_계_0~9세,"3,805","2,104",196,649,90,87,60,93,87,149,267,12,11
2020년06월_계_10~19세,"4,276","2,371",265,565,129,80,57,199,70,153,371,13,3
2020년06월_계_20~29세,"5,074","2,441",363,849,147,137,94,164,126,252,466,27,8
2020년06월_계_30~39세,"4,934","2,344",271,941,138,114,126,128,137,276,426,21,12
2020년06월_계_40~49세,"6,687","3,378",475,892,179,153,102,261,192,375,583,72,25
2020년06월_계_50~59세,"8,719","3,430",820,"1,172",289,293,252,393,352,679,920,83,36
2020년06월_계_60~69세,"8,367","2,814",854,870,319,334,291,411,453,919,946,105,51
2020년06월_계_70~79세,"7,120","1,927",928,701,296,314,239,425,544,839,831,43,33
2020년06월_계_80~89세,"3,924",906,542,341,185,243,148,274,408,399,448,23,7
2020년06월_계_90~99세,534,141,64,37,38,36,18,38,43,49,61,8,1
2020년06월_계_100세 이상,35,13,6,5,2,1,0,3,1,0,4,0,0
2020년06월_남_총인구수,"26,665","10,713","2,406","3,679",968,868,686,"1,214","1,156","2,010","2,608",248,109
2020년06월_남_연령구간인구수,"26,665","10,713","2,406","3,679",968,868,686,"1,214","1,156","2,010","2,608",248,109
2020년06월_남_0~9세,"1,940","1,067",93,353,48,49,24,44,50,63,137,6,6
2020년06월_남_10~19세,"2,227","1,220",141,277,98,38,26,110,42,78,187,7,3
2020년06월_남_20~29세,"2,842","1,304",230,490,88,64,49,98,69,155,274,18,3
2020년06월_남_30~39세,"2,549","1,113",163,520,77,56,62,76,75,159,228,14,6
2020년06월_남_40~49세,"3,819","1,724",307,516,120,99,72,173,121,260,352,55,20
2020년06월_남_50~59세,"4,757","1,746",490,667,168,163,141,251,205,372,476,55,23
2020년06월_남_60~69세,"4,182","1,342",421,453,181,178,157,202,225,448,483,64,28
2020년06월_남_70~79세,"3,032",876,372,296,125,134,103,169,215,362,338,23,19
2020년06월_남_80~89세,"1,217",293,172,102,54,80,48,84,148,104,125,6,1
2020년06월_남_90~99세,96,28,14,4,9,7,4,7,6,9,8,0,0
2020년06월_남_100세 이상,4,0,3,1,0,0,0,0,0,0,0,0,0
2020년06월_여_총인구수,"26,810","11,156","2,378","3,343",844,924,701,"1,175","1,257","2,080","2,715",159,78
2020년06월_여_연령구간인구수,"26,810","11,156","2,378","3,343",844,924,701,"1,175","1,257","2,080","2,715",159,78
2020년06월_여_0~9세,"1,865","1,037",103,296,42,38,36,49,37,86,130,6,5
2020년06월_여_10~19세,"2,049","1,151",124,288,31,42,31,89,28,75,184,6,0
2020년06월_여_20~29세,"2,232","1,137",133,359,59,73,45,66,57,97,192,9,5
2020년06월_여_30~39세,"2,385","1,231",108,421,61,58,64,52,62,117,198,7,6
2020년06월_여_40~49세,"2,868","1,654",168,376,59,54,30,88,71,115,231,17,5
2020년06월_여_50~59세,"3,962","1,684",330,505,121,130,111,142,147,307,444,28,13
2020년06월_여_60~69세,"4,185","1,472",433,417,138,156,134,209,228,471,463,41,23
2020년06월_여_70~79세,"4,088","1,051",556,405,171,180,136,256,329,477,493,20,14
2020년06월_여_80~89세,"2,707",613,370,239,131,163,100,190,260,295,323,17,6
2020년06월_여_90~99세,438,113,50,33,29,29,14,31,37,40,53,8,1
2020년06월_여_100세 이상,31,13,3,4,2,1,0,3,1,0,4,0,0
2020년07월_계_총인구수,"53,440","21,834","4,777","7,010","1,819","1,803","1,384","2,385","2,416","4,108","5,312",408,184
2020년07월_계_연령구간인구수,"53,440","21,834","4,777","7,010","1,819","1,803","1,384","2,385","2,416","4,108","5,312",408,184
2020년07월_계_0~9세,"3,815","2,098",194,650,87,87,63,94,90,156,273,12,11
2020년07월_계_10~19세,"4,271","2,367",259,564,130,81,60,200,72,153,370,13,2
2020년07월_계_20~29세,"5,045","2,417",366,850,151,134,90,160,127,255,461,27,7
2020년07월_계_30~39세,"4,945","2,336",275,944,142,119,126,130,137,278,426,20,12
2020년07월_계_40~49세,"6,669","3,372",469,892,177,153,103,261,192,379,573,74,24
2020년07월_계_50~59세,"8,678","3,424",825,"1,154",288,293,244,386,349,676,920,83,36
2020년07월_계_60~69세,"8,369","2,822",848,869,323,338,289,410,458,918,938,105,51
2020년07월_계_70~79세,"7,137","1,933",926,704,292,317,244,428,537,842,837,44,33
2020년07월_계_80~89세,"3,931",909,541,340,188,245,148,273,408,401,448,23,7
2020년07월_계_90~99세,546,143,68,38,39,36,17,40,45,50,62,7,1
2020년07월_계_100세 이상,34,13,6,5,2,0,0,3,1,0,4,0,0
2020년07월_남_총인구수,"26,646","10,696","2,403","3,666",969,877,685,"1,210","1,159","2,018","2,606",250,107
2020년07월_남_연령구간인구수,"26,646","10,696","2,403","3,666",969,877,685,"1,210","1,159","2,018","2,606",250,107
2020년07월_남_0~9세,"1,942","1,063",93,352,46,49,23,44,51,66,143,6,6
2020년07월_남_10~19세,"2,226","1,222",138,275,97,38,27,110,45,77,188,7,2
2020년07월_남_20~29세,"2,825","1,291",231,492,90,63,48,94,70,157,268,18,3
2020년07월_남_30~39세,"2,550","1,115",165,514,78,59,64,79,74,156,227,13,6
2020년07월_남_40~49세,"3,800","1,714",306,518,119,99,71,173,120,260,344,57,19
2020년07월_남_50~59세,"4,746","1,741",490,656,167,165,139,249,205,374,480,56,24
2020년07월_남_60~69세,"4,195","1,351",421,451,185,180,155,201,229,450,482,63,27
2020년07월_남_70~79세,"3,046",877,372,298,126,136,107,170,212,364,341,24,19
2020년07월_남_80~89세,"1,214",293,170,105,52,81,47,83,147,105,124,6,1
2020년07월_남_90~99세,98,29,14,4,9,7,4,7,6,9,9,0,0
2020년07월_남_100세 이상,4,0,3,1,0,0,0,0,0,0,0,0,0
2020년07월_여_총인구수,"26,794","11,138","2,374","3,344",850,926,699,"1,175","1,257","2,090","2,706",158,77
2020년07월_여_연령구간인구수,"26,794","11,138","2,374","3,344",850,926,699,"1,175","1,257","2,090","2,706",158,77
2020년07월_여_0~9세,"1,873","1,035",101,298,41,38,40,50,39,90,130,6,5
2020년07월_여_10~19세,"2,045","1,145",121,289,33,43,33,90,27,76,182,6,0
2020년07월_여_20~29세,"2,220","1,126",135,358,61,71,42,66,57,98,193,9,4
2020년07월_여_30~39세,"2,395","1,221",110,430,64,60,62,51,63,122,199,7,6
2020년07월_여_40~49세,"2,869","1,658",163,374,58,54,32,88,72,119,229,17,5
2020년07월_여_50~59세,"3,932","1,683",335,498,121,128,105,137,144,302,440,27,12
2020년07월_여_60~69세,"4,174","1,471",427,418,138,158,134,209,229,468,456,42,24
2020년07월_여_70~79세,"4,091","1,056",554,406,166,181,137,258,325,478,496,20,14
2020년07월_여_80~89세,"2,717",616,371,235,136,164,101,190,261,296,324,17,6
2020년07월_여_90~99세,448,114,54,34,30,29,13,33,39,41,53,7,1
2020년07월_여_100세 이상,30,13,3,4,2,0,0,3,1,0,4,0,0
2020년08월_계_총인구수,"53,365","21,842","4,761","6,979","1,822","1,798","1,382","2,368","2,423","4,094","5,304",407,185
2020년08월_계_연령구간인구수,"53,365","21,842","4,761","6,979","1,822","1,798","1,382","2,368","2,423","4,094","5,304",407,185
2020년08월_계_0~9세,"3,820","2,103",196,642,89,89,62,91,92,160,273,12,11
2020년08월_계_10~19세,"4,249","2,363",253,559,132,76,62,198,73,154,364,13,2
2020년08월_계_20~29세,"5,023","2,404",362,847,150,133,90,162,126,251,464,27,7
2020년08월_계_30~39세,"4,920","2,333",275,935,139,118,125,124,139,276,425,19,12
2020년08월_계_40~49세,"6,660","3,375",467,887,181,153,103,253,192,382,568,74,25
2020년08월_계_50~59세,"8,649","3,434",815,"1,152",286,291,242,387,347,669,908,83,35
2020년08월_계_60~69세,"8,385","2,833",851,867,322,336,289,408,462,913,947,106,51
2020년08월_계_70~79세,"7,142","1,930",924,710,296,320,244,429,538,835,838,44,34
2020년08월_계_80~89세,"3,936",914,544,337,187,245,148,272,407,402,451,22,7
2020년08월_계_90~99세,547,139,68,39,38,37,17,41,46,52,62,7,1
2020년08월_계_100세 이상,34,14,6,4,2,0,0,3,1,0,4,0,0
2020년08월_남_총인구수,"26,601","10,709","2,391","3,643",975,874,685,"1,197","1,164","2,007","2,597",251,108
2020년08월_남_연령구간인구수,"26,601","10,709","2,391","3,643",975,874,685,"1,197","1,164","2,007","2,597",251,108
2020년08월_남_0~9세,"1,949","1,071",93,346,50,51,22,41,51,68,144,6,6
2020년08월_남_10~19세,"2,214","1,219",135,273,97,36,27,110,45,78,185,7,2
2020년08월_남_20~29세,"2,801","1,278",228,492,88,61,48,95,70,153,267,18,3
2020년08월_남_30~39세,"2,533","1,119",162,507,76,59,64,74,76,154,224,12,6
2020년08월_남_40~49세,"3,790","1,722",305,509,123,99,70,165,120,261,339,57,20
2020년08월_남_50~59세,"4,737","1,747",485,655,166,163,137,250,205,371,476,58,24
2020년08월_남_60~69세,"4,213","1,355",424,454,186,180,157,202,230,447,489,63,26
2020년08월_남_70~79세,"3,047",876,375,300,128,136,108,168,213,360,339,24,20
2020년08월_남_80~89세,"1,213",293,167,102,52,81,48,85,147,105,126,6,1
2020년08월_남_90~99세,101,29,14,5,9,8,4,7,7,10,8,0,0
