카테고리,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2020년03월_남_90~99세,113,23,12,10,15,10,12,4,14,13
2020년03월_남_100세 이상,3,2,0,0,0,0,0,0,0,1
2020년03월_여_총인구수,"16,319","4,363","1,736",964,"1,978","1,013","1,548","1,488","1,451","1,778"
2020년03월_여_연령구간인구수,"16,319","4,363","1,736",964,"1,978","1,013","1,548","1,488","1,451","1,778"
2020년03월_여_0~9세,711,270,89,32,61,31,47,58,55,68
2020년03월_여_10~19세,997,351,96,32,111,43,113,78,66,107
2020년03월_여_20~29세,"1,119",396,73,70,116,50,100,93,117,104
2020년03월_여_30~39세,"1,018",364,88,52,103,46,81,80,98,106
2020년03월_여_40~49세,"1,479",535,126,73,150,75,141,109,139,131
2020년03월_여_50~59세,"2,414",644,253,135,306,164,220,222,218,252
2020년03월_여_60~69세,"2,792",631,304,205,352,168,271,283,267,311
2020년03월_여_70~79세,"3,070",632,409,183,399,224,295,277,262,389
2020년03월_여_80~89세,"2,336",468,264,153,318,187,240,244,194,268
2020년03월_여_90~99세,360,68,33,28,59,24,39,42,28,39
2020년03월_여_100세 이상,23,4,1,1,3,1,1,2,7,3
2020년04월_계_총인구수,"32,519","8,559","3,429","1,912","3,933","1,938","3,161","2,909","2,917","3,761"
2020년04월_계_연령구간인구수,"32,519","8,559","3,429","1,912","3,933","1,938","3,161","2,909","2,917","3,761"
2020년04월_계_0~9세,"1,459",553,150,74,146,48,107,111,105,165
2020년04월_계_10~19세,"2,122",776,194,67,216,98,239,150,138,244
2020년04월_계_20~29세,"2,623",837,191,145,284,141,266,208,268,283
2020년04월_계_30~39세,"2,199",725,185,126,242,102,192,185,199,243
2020년04월_계_40~49세,"3,634","1,183",367,189,394,176,307,276,329,413
2020년04월_계_50~59세,"5,664","1,414",595,304,689,371,583,523,528,657
2020년04월_계_60~69세,"5,744","1,230",634,415,751,354,542,611,550,657
2020년04월_계_70~79세,"5,217","1,072",675,325,674,352,525,462,467,665
2020년04월_계_80~89세,"3,354",671,392,228,460,260,349,332,284,378
2020년04월_계_90~99세,477,92,45,38,74,35,50,49,42,52
2020년04월_계_100세 이상,26,6,1,1,3,1,1,2,7,4
2020년04월_남_총인구수,"16,239","4,213","1,699",947,"1,959",933,"1,617","1,421","1,463","1,987"
2020년04월_남_연령구간인구수,"16,239","4,213","1,699",947,"1,959",933,"1,617","1,421","1,463","1,987"
2020년04월_남_0~9세,756,283,61,41,84,20,63,54,52,98
2020년04월_남_10~19세,"1,134",428,97,35,107,55,130,71,73,138
2020년04월_남_20~29세,"1,510",442,122,75,172,91,163,115,151,179
2020년04월_남_30~39세,"1,187",365,98,74,140,57,110,106,100,137
2020년04월_남_40~49세,"2,163",649,240,118,245,102,171,165,189,284
2020년04월_남_50~59세,"3,266",778,347,171,383,208,362,302,308,407
2020년04월_남_60~69세,"2,946",596,330,208,398,186,268,329,286,345
2020년04월_남_70~79세,"2,156",446,264,144,276,131,231,185,200,279
2020년04월_남_80~89세,"1,005",201,128,71,139,73,107,89,90,107
2020년04월_남_90~99세,113,23,12,10,15,10,12,5,14,12
2020년04월_남_100세 이상,3,2,0,0,0,0,0,0,0,1
2020년04월_여_총인구수,"16,280","4,346","1,730",965,"1,974","1,005","1,544","1,488","1,454","1,774"
2020년04월_여_연령구간인구수,"16,280","4,346","1,730",965,"1,974","1,005","1,544","1,488","1,454","1,774"
2020년04월_여_0~9세,703,270,89,33,62,28,44,57,53,67
2020년04월_여_10~19세,988,348,97,32,109,43,109,79,65,106
2020년04월_여_20~29세,"1,113",395,69,70,112,50,103,93,117,104
2020년04월_여_30~39세,"1,012",360,87,52,102,45,82,79,99,106
2020년04월_여_40~49세,"1,471",534,127,71,149,74,136,111,140,129
2020년04월_여_50~59세,"2,398",636,248,133,306,163,221,221,220,250
2020년04월_여_60~69세,"2,798",634,304,207,353,168,274,282,264,312
2020년04월_여_70~79세,"3,061",626,411,181,398,221,294,277,267,386
2020년04월_여_80~89세,"2,349",470,264,157,321,187,242,243,194,271
2020년04월_여_90~99세,364,69,33,28,59,25,38,44,28,40
2020년04월_여_100세 이상,23,4,1,1,3,1,1,2,7,3
2020년05월_계_총인구수,"32,433","8,519","3,430","1,901","3,934","1,936","3,152","2,910","2,898","3,753"
2020년05월_계_연령구간인구수,"32,433","8,519","3,430","1,901","3,934","1,936","3,152","2,910","2,898","3,753"
2020년05월_계_0~9세,"1,448",543,148,73,148,49,108,111,105,163
2020년05월_계_10~19세,"2,111",771,191,67,224,100,237,148,134,239
2020년05월_계_20~29세,"2,593",829,193,142,279,137,264,202,266,281
2020년05월_계_30~39세,"2,182",723,181,121,239,105,192,187,191,243
2020년05월_계_40~49세,"3,606","1,175",364,188,390,173,306,276,328,406
2020년05월_계_50~59세,"5,650","1,402",589,302,692,370,583,521,528,663
2020년05월_계_60~69세,"5,753","1,237",640,409,751,357,541,613,547,658
2020년05월_계_70~79세,"5,220","1,065",676,331,676,346,527,466,466,667
2020년05월_계_80~89세,"3,365",675,401,229,462,264,341,336,283,374
2020년05월_계_90~99세,478,93,46,38,70,34,52,48,43,54
2020년05월_계_100세 이상,27,6,1,1,3,1,1,2,7,5
2020년05월_남_총인구수,"16,211","4,191","1,706",941,"1,961",930,"1,614","1,434","1,455","1,979"
2020년05월_남_연령구간인구수,"16,211","4,191","1,706",941,"1,961",930,"1,614","1,434","1,455","1,979"
2020년05월_남_0~9세,754,279,61,40,85,20,64,55,53,97
2020년05월_남_10~19세,"1,125",421,96,35,112,55,129,72,71,134
2020년05월_남_20~29세,"1,504",439,126,74,171,89,164,116,151,174
2020년05월_남_30~39세,"1,183",366,98,72,137,59,109,107,96,139
2020년05월_남_40~49세,"2,141",645,239,117,240,98,170,163,189,280
2020년05월_남_50~59세,"3,270",772,345,170,383,208,363,308,309,412
2020년05월_남_60~69세,"2,950",599,333,205,402,189,266,330,282,344
2020년05월_남_70~79세,"2,165",439,268,148,279,130,233,186,201,281
2020년05월_남_80~89세,"1,002",206,127,71,138,73,104,92,88,103
2020년05월_남_90~99세,114,23,13,9,14,9,12,5,15,14
2020년05월_남_100세 이상,3,2,0,0,0,0,0,0,0,1
2020년05월_여_총인구수,"16,222","4,328","1,724",960,"1,973","1,006","1,538","1,476","1,443","1,774"
2020년05월_여_연령구간인구수,"16,222","4,328","1,724",960,"1,973","1,006","1,538","1,476","1,443","1,774"
2020년05월_여_0~9세,694,264,87,33,63,29,44,56,52,66
2020년05월_여_10~19세,986,350,95,32,112,45,108,76,63,105
2020년05월_여_20~29세,"1,089",390,67,68,108,48,100,86,115,107
2020년05월_여_30~39세,999,357,83,49,102,46,83,80,95,104
2020년05월_여_40~49세,"1,465",530,125,71,150,75,136,113,139,126
2020년05월_여_50~59세,"2,380",630,244,132,309,162,220,213,219,251
2020년05월_여_60~69세,"2,803",638,307,204,349,168,275,283,265,314
2020년05월_여_70~79세,"3,055",626,408,183,397,216,294,280,265,386
2020년05월_여_80~89세,"2,363",469,274,158,324,191,237,244,195,271
2020년05월_여_90~99세,364,70,33,29,56,25,40,43,28,40
2020년05월_여_100세 이상,24,4,1,1,3,1,1,2,7,4
2020년06월_계_총인구수,"32,360","8,503","3,431","1,891","3,927","1,938","3,146","2,904","2,878","3,742"
2020년06월_계_연령구간인구수,"32,360","8,503","3,431","1,891","3,927","1,938","3,146","2,904","2,878","3,742"
2020년06월_계_0~9세,"1,447",544,147,72,148,48,112,113,100,163
2020년06월_계_10~19세,"2,093",764,191,65,225,100,232,150,133,233
2020년06월_계_20~29세,"2,567",816,196,137,275,136,263,198,265,281
2020년06월_계_30~39세,"2,183",732,183,123,235,104,194,188,184,240
2020년06월_계_40~49세,"3,589","1,173",360,187,392,174,301,273,328,401
2020년06월_계_50~59세,"5,596","1,388",584,298,680,371,580,511,523,661
2020년06월_계_60~69세,"5,810","1,253",645,411,761,360,547,616,552,665
2020년06월_계_70~79세,"5,200","1,062",671,330,678,348,523,469,456,663
2020년06월_계_80~89세,"3,369",674,407,229,459,262,339,336,287,376
2020년06월_계_90~99세,480,92,46,38,71,34,54,48,43,54
2020년06월_계_100세 이상,26,5,1,1,3,1,1,2,7,5
2020년06월_남_총인구수,"16,181","4,182","1,703",936,"1,956",931,"1,618","1,432","1,448","1,975"
2020년06월_남_연령구간인구수,"16,181","4,182","1,703",936,"1,956",931,"1,618","1,432","1,448","1,975"
2020년06월_남_0~9세,755,280,61,38,85,20,66,58,50,97
2020년06월_남_10~19세,"1,111",417,95,35,112,55,127,73,70,127
2020년06월_남_20~29세,"1,495",432,127,73,170,88,163,112,153,177
2020년06월_남_30~39세,"1,175",365,98,72,129,58,111,109,94,139
2020년06월_남_40~49세,"2,130",644,237,117,241,99,168,162,185,277
2020년06월_남_50~59세,"3,245",765,341,167,379,208,364,302,307,412
2020년06월_남_60~69세,"2,989",611,337,206,409,191,269,330,290,346
2020년06월_남_70~79세,"2,162",439,265,149,279,131,234,190,195,280
2020년06월_남_80~89세,"1,001",203,129,71,137,72,104,91,89,105
2020년06월_남_90~99세,115,24,13,8,15,9,12,5,15,14
2020년06월_남_100세 이상,3,2,0,0,0,0,0,0,0,1
2020년06월_여_총인구수,"16,179","4,321","1,728",955,"1,971","1,007","1,528","1,472","1,430","1,767"
2020년06월_여_연령구간인구수,"16,179","4,321","1,728",955,"1,971","1,007","1,528","1,472","1,430","1,767"
2020년06월_여_0~9세,692,264,86,34,63,28,46,55,50,66
2020년06월_여_10~19세,982,347,96,30,113,45,105,77,63,106
2020년06월_여_20~29세,"1,072",384,69,64,105,48,100,86,112,104
2020년06월_여_30~39세,"1,008",367,85,51,106,46,83,79,90,101
2020년06월_여_40~49세,"1,459",529,123,70,151,75,133,111,143,124
2020년06월_여_50~59세,"2,351",623,243,131,301,163,216,209,216,249
2020년06월_여_60~69세,"2,821",642,308,205,352,169,278,286,262,319
2020년06월_여_70~79세,"3,038",623,406,181,399,217,289,279,261,383
2020년06월_여_80~89세,"2,368",471,278,158,322,190,235,245,198,271
2020년06월_여_90~99세,365,68,33,30,56,25,42,43,28,40
2020년06월_여_100세 이상,23,3,1,1,3,1,1,2,7,4
2020년07월_계_총인구수,"32,307","8,502","3,420","1,890","3,916","1,947","3,144","2,888","2,870","3,730"
2020년07월_계_연령구간인구수,"32,307","8,502","3,420","1,890","3,916","1,947","3,144","2,888","2,870","3,730"
2020년07월_계_0~9세,"1,438",548,141,71,147,51,110,109,99,162
2020년07월_계_10~19세,"2,088",767,190,66,221,99,236,143,133,233
2020년07월_계_20~29세,"2,544",808,200,133,274,139,258,196,259,277
2020년07월_계_30~39세,"2,182",735,183,121,233,104,194,186,188,238
2020년07월_계_40~49세,"3,562","1,162",357,186,393,174,297,269,323,401
2020년07월_계_50~59세,"5,592","1,384",584,302,672,369,583,516,525,657
2020년07월_계_60~69세,"5,817","1,261",638,410,764,363,544,617,555,665
2020년07월_계_70~79세,"5,216","1,068",670,331,681,351,528,468,454,665
2020년07월_계_80~89세,"3,368",672,411,231,459,262,340,335,285,373
2020년07월_계_90~99세,474,92,45,38,69,34,53,47,42,54
2020년07월_계_100세 이상,26,5,1,1,3,1,1,2,7,5
2020년07월_남_총인구수,"16,154","4,181","1,692",940,"1,948",938,"1,614","1,424","1,450","1,967"
2020년07월_남_연령구간인구수,"16,154","4,181","1,692",940,"1,948",938,"1,614","1,424","1,450","1,967"
2020년07월_남_0~9세,749,282,59,38,82,21,64,58,48,97
2020년07월_남_10~19세,"1,106",416,96,35,113,54,127,68,70,127
2020년07월_남_20~29세,"1,494",433,124,71,169,92,162,114,152,177
2020년07월_남_30~39세,"1,173",365,100,73,127,57,112,106,97,136
2020년07월_남_40~49세,"2,117",639,234,116,244,100,165,159,184,276
2020년07월_남_50~59세,"3,241",760,339,171,371,209,366,305,312,408
2020년07월_남_60~69세,"2,994",616,334,205,413,192,266,332,289,347
2020년07월_남_70~79세,"2,169",443,262,151,280,133,237,189,195,279
2020년07월_남_80~89세,"1,001",202,133,72,136,71,104,90,89,104
2020년07월_남_90~99세,107,23,11,8,13,9,11,3,14,15
2020년07월_남_100세 이상,3,2,0,0,0,0,0,0,0,1
2020년07월_여_총인구수,"16,153","4,321","1,728",950,"1,968","1,009","1,530","1,464","1,420","1,763"
2020년07월_여_연령구간인구수,"16,153","4,321","1,728",950,"1,968","1,009","1,530","1,464","1,420","1,763"
2020년07월_여_0~9세,689,266,82,33,65,30,46,51,51,65
2020년07월_여_10~19세,982,351,94,31,108,45,109,75,63,106
2020년07월_여_20~29세,"1,050",375,76,62,105,47,96,82,107,100
2020년07월_여_30~39세,"1,009",370,83,48,106,47,82,80,91,102
2020년07월_여_40~49세,"1,445",523,123,70,149,74,132,110,139,125
2020년07월_여_50~59세,"2,351",624,245,131,301,160,217,211,213,249
2020년07월_여_60~69세,"2,823",645,304,205,351,171,278,285,266,318
2020년07월_여_70~79세,"3,047",625,408,180,401,218,291,279,259,386
2020년07월_여_80~89세,"2,367",470,278,159,323,191,236,245,196,269
2020년07월_여_90~99세,367,69,34,30,56,25,42,44,28,39
2020년07월_여_100세 이상,23,3,1,1,3,1,1,2,7,4
2020년08월_계_총인구수,"32,238","8,493","3,412","1,883","3,904","1,949","3,140","2,889","2,857","3,711"
2020년08월_계_연령구간인구수,"32,238","8,493","3,412","1,883","3,904","1,949","3,140","2,889","2,857","3,711"
2020년08월_계_0~9세,"1,439",553,141,70,147,47,110,109,99,163
2020년08월_계_10~19세,"2,069",771,189,66,221,93,228,140,131,230
2020년08월_계_20~29세,"2,534",806,200,134,269,144,253,199,259,270
2020년08월_계_30~39세,"2,182",735,181,120,234,105,196,185,185,241
2020년08월_계_40~49세,"3,525","1,156",352,183,389,172,294,261,320,398
2020년08월_계_50~59세,"5,576","1,377",586,303,668,369,587,514,521,651
2020년08월_계_60~69세,"5,840","1,260",639,410,766,371,547,628,556,663
2020년08월_계_70~79세,"5,191","1,061",665,329,671,346,533,469,453,664
2020년08월_계_80~89세,"3,374",673,412,230,465,264,339,334,283,374
2020년08월_계_90~99세,481,96,46,37,70,37,52,48,43,52
2020년08월_계_100세 이상,27,5,1,1,4,1,1,2,7,5
2020년08월_남_총인구수,"16,130","4,176","1,695",938,"1,944",940,"1,613","1,426","1,444","1,954"
2020년08월_남_연령구간인구수,"16,130","4,176","1,695",938,"1,944",940,"1,613","1,426","1,444","1,954"
2020년08월_남_0~9세,754,282,60,39,82,19,66,60,49,97
2020년08월_남_10~19세,"1,094",417,95,35,114,51,122,66,69,125
2020년08월_남_20~29세,"1,490",434,124,71,168,94,162,116,150,171
2020년08월_남_30~39세,"1,173",367,101,72,127,58,112,104,95,137
2020년08월_남_40~49세,"2,084",630,229,115,239,98,162,153,183,275
2020년08월_남_50~59세,"3,241",757,344,171,371,212,367,306,309,404
2020년08월_남_60~69세,"3,013",619,336,204,413,196,271,337,291,346
2020년08월_남_70~79세,"2,170",436,263,153,282,131,240,191,195,279
2020년08월_남_80~89세,999,209,132,70,133,71,102,90,88,104
2020년08월_남_90~99세,109,23,11,8,15,10,9,3,15,15
2020년08월_남_100세 이상,3,2,0,0,0,0,0,0,0,1
2020년08월_여_총인구수,"16,108","4,317","1,717",945,"1,960","1,009","1,527","1,463","1,413","1,757"
2020년08월_여_연령구간인구수,"16,108","4,317","1,717",945,"1,960","1,009","1,527","1,463","1,413","1,757"
2020년08월_여_0~9세,685,271,81,31,65,28,44,49,50,66
2020년08월_여_10~19세,975,354,94,31,107,42,106,74,62,105
2020년08월_여_20~29세,"1,044",372,76,63,101,50,91,83,109,99
2020년08월_여_30~39세,"1,009",368,80,48,107,47,84,81,90,104
2020년08월_여_40~49세,"1,441",526,123,68,150,74,132,108,137,123
2020년08월_여_50~59세,"2,335",620,242,132,297,157,220,208,212,247
2020년08월_여_60~69세,"2,827",641,303,206,353,175,276,291,265,317
2020년08월_여_70~79세,"3,021",625,402,176,389,215,293,278,258,385
2020년08월_여_80~89세,"2,375",464,280,160,332,193,237,244,195,270
2020년08월_여_90~99세,372,73,35,29,55,27,43,45,28,37
2020년08월_여_100세 이상,24,3,1,1,4,1,1,2,7,4
2020년09월_계_총인구수,"32,209","8,472","3,398","1,873","3,911","1,943","3,144","2,891","2,858","3,719"
2020년09월_계_연령구간인구수,"32,209","8,472","3,398","1,873","3,911","1,943","3,144","2,891","2,858","3,719"
2020년09월_계_0~9세,"1,428",550,140,69,148,46,109,106,98,162
2020년09월_계_10~19세,"2,069",768,186,65,221,90,237,140,131,231
2020년09월_계_20~29세,"2,512",800,195,132,268,141,251,200,256,269
2020년09월_계_30~39세,"2,173",724,177,120,236,104,198,188,185,241
2020년09월_계_40~49세,"3,517","1,155",347,183,388,171,294,259,318,402
2020년09월_계_50~59세,"5,557","1,375",581,299,666,370,584,508,522,652
2020년09월_계_60~69세,"5,857","1,260",649,407,773,373,546,637,560,652
2020년09월_계_70~79세,"5,182","1,055",659,332,673,346,528,469,449,671
2020년09월_계_80~89세,"3,396",684,416,228,462,264,344,332,287,379
2020년09월_계_90~99세,490,95,47,37,72,37,52,50,45,55
2020년09월_계_100세 이상,28,6,1,1,4,1,1,2,7,5
2020년09월_남_총인구수,"16,116","4,171","1,684",935,"1,945",935,"1,612","1,430","1,445","1,959"
2020년09월_남_연령구간인구수,"16,116","4,171","1,684",935,"1,945",935,"1,612","1,430","1,445","1,959"
2020년09월_남_0~9세,748,281,58,38,83,19,64,59,50,96
2020년09월_남_10~19세,"1,093",418,93,34,114,49,128,66,68,123
2020년09월_남_20~29세,"1,483",437,119,70,166,92,159,120,149,171
2020년09월_남_30~39세,"1,163",360,98,73,128,56,113,105,95,135
2020년09월_남_40~49세,"2,079",626,227,116,238,99,162,151,181,279
2020년09월_남_50~59세,"3,241",757,342,167,377,212,367,301,310,408
2020년09월_남_60~69세,"3,021",620,340,206,409,196,269,343,295,343
2020년09월_남_70~79세,"2,172",438,262,153,283,131,237,192,194,282
2020년09월_남_80~89세,"1,003",209,133,70,132,71,105,90,88,105
2020년09월_남_90~99세,110,23,12,8,15,10,8,3,15,16
2020년09월_남_100세 이상,3,2,0,0,0,0,0,0,0,1
2020년09월_여_총인구수,"16,093","4,301","1,714",938,"1,966","1,008","1,532","1,461","1,413","1,760"
2020년09월_여_연령구간인구수,"16,093","4,301","1,714",938,"1,966","1,008","1,532","1,461","1,413","1,760"
2020년09월_여_0~9세,680,269,82,31,65,27,45,47,48,66
2020년09월_여_10~19세,976,350,93,31,107,41,109,74,63,108
2020년09월_여_20~29세,"1,029",363,76,62,102,49,92,80,107,98
2020년09월_여_30~39세,"1,010",364,79,47,108,48,85,83,90,106
2020년09월_여_40~49세,"1,438",529,120,67,150,72,132,108,137,123
2020년09월_여_50~59세,"2,316",618,239,132,289,158,217,207,212,244
2020년09월_여_60~69세,"2,836",640,309,201,364,177,277,294,265,309
2020년09월_여_70~79세,"3,010",617,397,179,390,215,291,277,255,389
2020년09월_여_80~89세,"2,393",475,283,158,330,193,239,242,199,274
2020년09월_여_90~99세,380,72,35,29,57,27,44,47,30,39
2020년09월_여_100세 이상,25,4,1,1,4,1,1,2,7,4
2020년10월_계_총인구수,"32,192","8,441","3,418","1,869","3,912","1,936","3,137","2,894","2,879","3,706"
2020년10월_계_연령구간인구수,"32,192","8,441","3,418","1,869","3,912","1,936","3,137","2,894","2,879","3,706"
2020년10월_계_0~9세,"1,408",543,141,69,144,45,107,103,101,155
2020년10월_계_10~19세,"2,074",765,184,65,226,91,237,141,133,232
