카테고리,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2020년04월_여_70~79세,"1,994",569,213,330,291,428,163
2020년04월_여_80~89세,"1,473",404,166,217,234,335,117
2020년04월_여_90~99세,260,93,24,39,30,52,22
2020년04월_여_100세 이상,12,8,0,0,2,2,0
2020년05월_계_총인구수,"24,089","9,505","2,275","4,024","2,589","4,297","1,399"
2020년05월_계_연령구간인구수,"24,089","9,505","2,275","4,024","2,589","4,297","1,399"
2020년05월_계_0~9세,"1,266",776,64,195,66,133,32
2020년05월_계_10~19세,"1,810",968,109,289,122,267,55
2020년05월_계_20~29세,"1,828",881,157,320,151,252,67
2020년05월_계_30~39세,"1,761",923,134,260,129,253,62
2020년05월_계_40~49세,"2,923","1,474",205,511,237,390,106
2020년05월_계_50~59세,"4,236","1,471",456,795,454,807,253
2020년05월_계_60~69세,"4,244","1,257",494,731,529,893,340
2020년05월_계_70~79세,"3,398","1,008",378,536,490,712,274
2020년05월_계_80~89세,"2,276",626,247,341,366,517,179
2020년05월_계_90~99세,331,112,31,46,42,69,31
2020년05월_계_100세 이상,16,9,0,0,3,4,0
2020년05월_남_총인구수,"11,976","4,729","1,122","2,031","1,267","2,142",685
2020년05월_남_연령구간인구수,"11,976","4,729","1,122","2,031","1,267","2,142",685
2020년05월_남_0~9세,678,409,37,117,32,67,16
2020년05월_남_10~19세,911,481,63,152,57,131,27
2020년05월_남_20~29세,"1,024",489,77,174,90,152,42
2020년05월_남_30~39세,961,471,82,148,72,152,36
2020년05월_남_40~49세,"1,637",781,119,292,141,239,65
2020년05월_남_50~59세,"2,329",825,234,440,257,435,138
2020년05월_남_60~69세,"2,153",597,255,372,274,475,180
2020년05월_남_70~79세,"1,407",434,168,209,197,288,111
2020년05월_남_80~89세,798,220,79,120,133,184,62
2020년05월_남_90~99세,74,21,8,7,13,17,8
2020년05월_남_100세 이상,4,1,0,0,1,2,0
2020년05월_여_총인구수,"12,113","4,776","1,153","1,993","1,322","2,155",714
2020년05월_여_연령구간인구수,"12,113","4,776","1,153","1,993","1,322","2,155",714
2020년05월_여_0~9세,588,367,27,78,34,66,16
2020년05월_여_10~19세,899,487,46,137,65,136,28
2020년05월_여_20~29세,804,392,80,146,61,100,25
2020년05월_여_30~39세,800,452,52,112,57,101,26
2020년05월_여_40~49세,"1,286",693,86,219,96,151,41
2020년05월_여_50~59세,"1,907",646,222,355,197,372,115
2020년05월_여_60~69세,"2,091",660,239,359,255,418,160
2020년05월_여_70~79세,"1,991",574,210,327,293,424,163
2020년05월_여_80~89세,"1,478",406,168,221,233,333,117
2020년05월_여_90~99세,257,91,23,39,29,52,23
2020년05월_여_100세 이상,12,8,0,0,2,2,0
2020년06월_계_총인구수,"24,042","9,466","2,268","4,040","2,586","4,282","1,400"
2020년06월_계_연령구간인구수,"24,042","9,466","2,268","4,040","2,586","4,282","1,400"
2020년06월_계_0~9세,"1,258",771,62,197,65,131,32
2020년06월_계_10~19세,"1,805",970,108,290,120,261,56
2020년06월_계_20~29세,"1,802",875,147,320,149,243,68
2020년06월_계_30~39세,"1,757",917,133,264,130,251,62
2020년06월_계_40~49세,"2,909","1,461",203,511,238,393,103
2020년06월_계_50~59세,"4,225","1,468",460,796,449,796,256
2020년06월_계_60~69세,"4,263","1,250",498,739,533,904,339
2020년06월_계_70~79세,"3,403","1,012",376,535,494,714,272
2020년06월_계_80~89세,"2,275",621,250,342,364,517,181
2020년06월_계_90~99세,327,113,31,46,40,67,30
2020년06월_계_100세 이상,18,8,0,0,4,5,1
2020년06월_남_총인구수,"11,952","4,712","1,121","2,040","1,268","2,126",685
2020년06월_남_연령구간인구수,"11,952","4,712","1,121","2,040","1,268","2,126",685
2020년06월_남_0~9세,677,408,36,118,32,67,16
2020년06월_남_10~19세,906,483,61,154,56,125,27
2020년06월_남_20~29세,"1,008",486,73,171,89,147,42
2020년06월_남_30~39세,964,471,81,151,74,150,37
2020년06월_남_40~49세,"1,618",766,118,291,142,238,63
2020년06월_남_50~59세,"2,335",827,238,444,256,430,140
2020년06월_남_60~69세,"2,162",595,257,374,278,478,180
2020년06월_남_70~79세,"1,419",439,170,209,198,292,111
2020년06월_남_80~89세,791,214,79,121,133,183,61
2020년06월_남_90~99세,68,22,8,7,9,14,8
2020년06월_남_100세 이상,4,1,0,0,1,2,0
2020년06월_여_총인구수,"12,090","4,754","1,147","2,000","1,318","2,156",715
2020년06월_여_연령구간인구수,"12,090","4,754","1,147","2,000","1,318","2,156",715
2020년06월_여_0~9세,581,363,26,79,33,64,16
2020년06월_여_10~19세,899,487,47,136,64,136,29
2020년06월_여_20~29세,794,389,74,149,60,96,26
2020년06월_여_30~39세,793,446,52,113,56,101,25
2020년06월_여_40~49세,"1,291",695,85,220,96,155,40
2020년06월_여_50~59세,"1,890",641,222,352,193,366,116
2020년06월_여_60~69세,"2,101",655,241,365,255,426,159
2020년06월_여_70~79세,"1,984",573,206,326,296,422,161
2020년06월_여_80~89세,"1,484",407,171,221,231,334,120
2020년06월_여_90~99세,259,91,23,39,31,53,22
2020년06월_여_100세 이상,14,7,0,0,3,3,1
2020년07월_계_총인구수,"24,014","9,439","2,273","4,036","2,597","4,272","1,397"
2020년07월_계_연령구간인구수,"24,014","9,439","2,273","4,036","2,597","4,272","1,397"
2020년07월_계_0~9세,"1,245",763,59,196,65,130,32
2020년07월_계_10~19세,"1,808",973,110,290,121,259,55
2020년07월_계_20~29세,"1,782",863,145,316,149,243,66
2020년07월_계_30~39세,"1,753",909,142,260,133,246,63
2020년07월_계_40~49세,"2,911","1,468",200,508,238,396,101
2020년07월_계_50~59세,"4,214","1,457",460,798,453,788,258
2020년07월_계_60~69세,"4,260","1,252",497,736,533,902,340
2020년07월_계_70~79세,"3,409","1,013",373,544,493,715,271
2020년07월_계_80~89세,"2,288",623,254,342,368,521,180
2020년07월_계_90~99세,325,109,33,46,40,67,30
2020년07월_계_100세 이상,19,9,0,0,4,5,1
2020년07월_남_총인구수,"11,929","4,700","1,121","2,034","1,271","2,121",682
2020년07월_남_연령구간인구수,"11,929","4,700","1,121","2,034","1,271","2,121",682
2020년07월_남_0~9세,672,403,34,119,33,67,16
2020년07월_남_10~19세,912,488,63,153,57,124,27
2020년07월_남_20~29세,992,476,74,170,88,144,40
2020년07월_남_30~39세,965,467,86,149,76,149,38
2020년07월_남_40~49세,"1,615",769,114,288,143,240,61
2020년07월_남_50~59세,"2,325",821,239,444,254,428,139
2020년07월_남_60~69세,"2,161",600,253,370,280,477,181
2020년07월_남_70~79세,"1,423",439,169,213,197,294,111
2020년07월_남_80~89세,793,215,81,121,133,182,61
2020년07월_남_90~99세,67,21,8,7,9,14,8
2020년07월_남_100세 이상,4,1,0,0,1,2,0
2020년07월_여_총인구수,"12,085","4,739","1,152","2,002","1,326","2,151",715
2020년07월_여_연령구간인구수,"12,085","4,739","1,152","2,002","1,326","2,151",715
2020년07월_여_0~9세,573,360,25,77,32,63,16
2020년07월_여_10~19세,896,485,47,137,64,135,28
2020년07월_여_20~29세,790,387,71,146,61,99,26
2020년07월_여_30~39세,788,442,56,111,57,97,25
2020년07월_여_40~49세,"1,296",699,86,220,95,156,40
2020년07월_여_50~59세,"1,889",636,221,354,199,360,119
2020년07월_여_60~69세,"2,099",652,244,366,253,425,159
2020년07월_여_70~79세,"1,986",574,204,331,296,421,160
2020년07월_여_80~89세,"1,495",408,173,221,235,339,119
2020년07월_여_90~99세,258,88,25,39,31,53,22
2020년07월_여_100세 이상,15,8,0,0,3,3,1
2020년08월_계_총인구수,"24,024","9,442","2,272","4,059","2,587","4,270","1,394"
2020년08월_계_연령구간인구수,"24,024","9,442","2,272","4,059","2,587","4,270","1,394"
2020년08월_계_0~9세,"1,245",762,60,195,66,130,32
2020년08월_계_10~19세,"1,813",971,114,293,120,260,55
2020년08월_계_20~29세,"1,775",857,145,324,145,243,61
2020년08월_계_30~39세,"1,751",908,139,259,131,248,66
2020년08월_계_40~49세,"2,899","1,467",199,506,235,392,100
2020년08월_계_50~59세,"4,215","1,459",453,809,447,789,258
2020년08월_계_60~69세,"4,269","1,257",499,739,539,896,339
2020년08월_계_70~79세,"3,421","1,018",375,547,494,716,271
2020년08월_계_80~89세,"2,290",624,254,343,367,522,180
2020년08월_계_90~99세,324,110,34,42,39,68,31
2020년08월_계_100세 이상,22,9,0,2,4,6,1
2020년08월_남_총인구수,"11,938","4,707","1,124","2,040","1,268","2,116",683
2020년08월_남_연령구간인구수,"11,938","4,707","1,124","2,040","1,268","2,116",683
2020년08월_남_0~9세,671,404,35,116,34,66,16
2020년08월_남_10~19세,921,488,65,157,58,126,27
2020년08월_남_20~29세,985,473,75,173,84,143,37
2020년08월_남_30~39세,957,463,83,150,75,146,40
2020년08월_남_40~49세,"1,614",773,115,283,145,238,60
2020년08월_남_50~59세,"2,323",823,234,449,248,428,141
2020년08월_남_60~69세,"2,172",603,256,372,282,477,182
2020년08월_남_70~79세,"1,431",442,172,214,199,293,111
2020년08월_남_80~89세,794,217,80,120,133,183,61
2020년08월_남_90~99세,66,20,9,6,9,14,8
2020년08월_남_100세 이상,4,1,0,0,1,2,0
2020년08월_여_총인구수,"12,086","4,735","1,148","2,019","1,319","2,154",711
2020년08월_여_연령구간인구수,"12,086","4,735","1,148","2,019","1,319","2,154",711
2020년08월_여_0~9세,574,358,25,79,32,64,16
2020년08월_여_10~19세,892,483,49,136,62,134,28
2020년08월_여_20~29세,790,384,70,151,61,100,24
2020년08월_여_30~39세,794,445,56,109,56,102,26
2020년08월_여_40~49세,"1,285",694,84,223,90,154,40
2020년08월_여_50~59세,"1,892",636,219,360,199,361,117
2020년08월_여_60~69세,"2,097",654,243,367,257,419,157
2020년08월_여_70~79세,"1,990",576,203,333,295,423,160
2020년08월_여_80~89세,"1,496",407,174,223,234,339,119
2020년08월_여_90~99세,258,90,25,36,30,54,23
2020년08월_여_100세 이상,18,8,0,2,3,4,1
2020년09월_계_총인구수,"24,032","9,441","2,269","4,065","2,592","4,271","1,394"
2020년09월_계_연령구간인구수,"24,032","9,441","2,269","4,065","2,592","4,271","1,394"
2020년09월_계_0~9세,"1,227",744,61,195,66,129,32
2020년09월_계_10~19세,"1,820",983,113,292,119,259,54
2020년09월_계_20~29세,"1,771",854,141,327,146,242,61
2020년09월_계_30~39세,"1,739",897,138,260,130,249,65
2020년09월_계_40~49세,"2,898","1,466",198,502,236,394,102
2020년09월_계_50~59세,"4,232","1,475",452,816,442,789,258
2020년09월_계_60~69세,"4,293","1,261",501,744,543,904,340
2020년09월_계_70~79세,"3,408","1,009",377,545,497,708,272
2020년09월_계_80~89세,"2,295",631,253,342,370,521,178
2020년09월_계_90~99세,327,113,35,40,39,70,30
2020년09월_계_100세 이상,22,8,0,2,4,6,2
2020년09월_남_총인구수,"11,940","4,702","1,124","2,040","1,269","2,123",682
2020년09월_남_연령구간인구수,"11,940","4,702","1,124","2,040","1,269","2,123",682
2020년09월_남_0~9세,659,391,34,117,34,67,16
2020년09월_남_10~19세,923,493,64,157,58,124,27
2020년09월_남_20~29세,980,472,75,172,82,143,36
2020년09월_남_30~39세,954,459,82,149,77,148,39
2020년09월_남_40~49세,"1,609",769,114,279,145,240,62
2020년09월_남_50~59세,"2,328",832,234,449,245,429,139
2020년09월_남_60~69세,"2,194",607,257,378,288,482,182
2020년09월_남_70~79세,"1,427",438,175,212,197,291,114
2020년09월_남_80~89세,796,220,80,121,133,183,59
2020년09월_남_90~99세,66,20,9,6,9,14,8
2020년09월_남_100세 이상,4,1,0,0,1,2,0
2020년09월_여_총인구수,"12,092","4,739","1,145","2,025","1,323","2,148",712
2020년09월_여_연령구간인구수,"12,092","4,739","1,145","2,025","1,323","2,148",712
2020년09월_여_0~9세,568,353,27,78,32,62,16
2020년09월_여_10~19세,897,490,49,135,61,135,27
2020년09월_여_20~29세,791,382,66,155,64,99,25
2020년09월_여_30~39세,785,438,56,111,53,101,26
2020년09월_여_40~49세,"1,289",697,84,223,91,154,40
2020년09월_여_50~59세,"1,904",643,218,367,197,360,119
2020년09월_여_60~69세,"2,099",654,244,366,255,422,158
2020년09월_여_70~79세,"1,981",571,202,333,300,417,158
2020년09월_여_80~89세,"1,499",411,173,221,237,338,119
2020년09월_여_90~99세,261,93,26,34,30,56,22
2020년09월_여_100세 이상,18,7,0,2,3,4,2
2020년10월_계_총인구수,"24,034","9,450","2,253","4,065","2,599","4,270","1,397"
2020년10월_계_연령구간인구수,"24,034","9,450","2,253","4,065","2,599","4,270","1,397"
2020년10월_계_0~9세,"1,224",744,61,192,64,130,33
2020년10월_계_10~19세,"1,812",985,109,289,118,258,53
2020년10월_계_20~29세,"1,783",861,137,331,147,246,61
2020년10월_계_30~39세,"1,721",887,137,253,133,244,67
2020년10월_계_40~49세,"2,890","1,470",193,503,234,389,101
2020년10월_계_50~59세,"4,230","1,485",445,810,446,790,254
2020년10월_계_60~69세,"4,334","1,264",508,755,549,910,348
2020년10월_계_70~79세,"3,397","1,000",374,547,497,707,272
2020년10월_계_80~89세,"2,297",635,252,343,369,522,176
2020년10월_계_90~99세,325,111,37,40,39,68,30
2020년10월_계_100세 이상,21,8,0,2,3,6,2
2020년10월_남_총인구수,"11,943","4,712","1,112","2,038","1,275","2,122",684
2020년10월_남_연령구간인구수,"11,943","4,712","1,112","2,038","1,275","2,122",684
2020년10월_남_0~9세,657,391,33,114,34,68,17
2020년10월_남_10~19세,922,495,64,156,56,125,26
2020년10월_남_20~29세,985,472,71,175,84,146,37
2020년10월_남_30~39세,943,458,79,145,78,144,39
2020년10월_남_40~49세,"1,604",772,113,276,142,239,62
2020년10월_남_50~59세,"2,326",835,231,448,246,429,137
2020년10월_남_60~69세,"2,220",610,261,384,294,485,186
2020년10월_남_70~79세,"1,422",434,173,211,199,290,115
2020년10월_남_80~89세,793,224,77,123,131,181,57
2020년10월_남_90~99세,67,20,10,6,10,13,8
2020년10월_남_100세 이상,4,1,0,0,1,2,0
2020년10월_여_총인구수,"12,091","4,738","1,141","2,027","1,324","2,148",713
2020년10월_여_연령구간인구수,"12,091","4,738","1,141","2,027","1,324","2,148",713
2020년10월_여_0~9세,567,353,28,78,30,62,16
2020년10월_여_10~19세,890,490,45,133,62,133,27
2020년10월_여_20~29세,798,389,66,156,63,100,24
2020년10월_여_30~39세,778,429,58,108,55,100,28
2020년10월_여_40~49세,"1,286",698,80,227,92,150,39
2020년10월_여_50~59세,"1,904",650,214,362,200,361,117
2020년10월_여_60~69세,"2,114",654,247,371,255,425,162
2020년10월_여_70~79세,"1,975",566,201,336,298,417,157
2020년10월_여_80~89세,"1,504",411,175,220,238,341,119
2020년10월_여_90~99세,258,91,27,34,29,55,22
2020년10월_여_100세 이상,17,7,0,2,2,4,2
2020년11월_계_총인구수,"24,031","9,456","2,254","4,060","2,604","4,260","1,397"
2020년11월_계_연령구간인구수,"24,031","9,456","2,254","4,060","2,604","4,260","1,397"
2020년11월_계_0~9세,"1,215",745,60,188,64,126,32
2020년11월_계_10~19세,"1,810",981,110,291,117,259,52
2020년11월_계_20~29세,"1,787",862,132,338,148,241,66
2020년11월_계_30~39세,"1,714",888,138,250,130,240,68
2020년11월_계_40~49세,"2,877","1,468",191,500,232,390,96
2020년11월_계_50~59세,"4,239","1,487",447,807,452,792,254
2020년11월_계_60~69세,"4,352","1,272",510,755,552,910,353
2020년11월_계_70~79세,"3,386","1,003",374,542,494,703,270
2020년11월_계_80~89세,"2,301",630,255,347,371,523,175
2020년11월_계_90~99세,330,112,37,40,41,70,30
2020년11월_계_100세 이상,20,8,0,2,3,6,1
2020년11월_남_총인구수,"11,948","4,722","1,111","2,039","1,278","2,110",688
2020년11월_남_연령구간인구수,"11,948","4,722","1,111","2,039","1,278","2,110",688
2020년11월_남_0~9세,647,391,32,107,34,66,17
2020년11월_남_10~19세,927,496,65,159,56,125,26
2020년11월_남_20~29세,985,468,70,181,85,142,39
2020년11월_남_30~39세,936,459,79,143,76,140,39
2020년11월_남_40~49세,"1,598",773,111,275,139,241,59
2020년11월_남_50~59세,"2,336",838,232,451,252,427,136
2020년11월_남_60~69세,"2,235",618,261,384,296,485,191
2020년11월_남_70~79세,"1,413",432,173,209,197,288,114
2020년11월_남_80~89세,794,225,78,123,130,179,59
2020년11월_남_90~99세,73,21,10,7,12,15,8
2020년11월_남_100세 이상,4,1,0,0,1,2,0
2020년11월_여_총인구수,"12,083","4,734","1,143","2,021","1,326","2,150",709
2020년11월_여_연령구간인구수,"12,083","4,734","1,143","2,021","1,326","2,150",709
2020년11월_여_0~9세,568,354,28,81,30,60,15
2020년11월_여_10~19세,883,485,45,132,61,134,26
2020년11월_여_20~29세,802,394,62,157,63,99,27
2020년11월_여_30~39세,778,429,59,107,54,100,29
2020년11월_여_40~49세,"1,279",695,80,225,93,149,37
2020년11월_여_50~59세,"1,903",649,215,356,200,365,118
2020년11월_여_60~69세,"2,117",654,249,371,256,425,162
2020년11월_여_70~79세,"1,973",571,201,333,297,415,156
2020년11월_여_80~89세,"1,507",405,177,224,241,344,116
2020년11월_여_90~99세,257,91,27,33,29,55,22
2020년11월_여_100세 이상,16,7,0,2,2,4,1
2020년12월_계_총인구수,"24,036","9,442","2,254","4,052","2,618","4,258","1,412"
2020년12월_계_연령구간인구수,"24,036","9,442","2,254","4,052","2,618","4,258","1,412"
2020년12월_계_0~9세,"1,212",740,61,184,65,126,36
2020년12월_계_10~19세,"1,820",986,111,293,118,256,56
2020년12월_계_20~29세,"1,782",870,129,327,148,244,64
2020년12월_계_30~39세,"1,700",876,134,253,128,241,68
2020년12월_계_40~49세,"2,875","1,462",192,501,232,386,102
2020년12월_계_50~59세,"4,205","1,472",444,801,460,778,250
2020년12월_계_60~69세,"4,392","1,283",519,761,554,919,356
2020년12월_계_70~79세,"3,380","1,001",372,539,490,703,275
2020년12월_계_80~89세,"2,317",632,254,349,378,530,174
2020년12월_계_90~99세,331,112,38,42,42,67,30
2020년12월_계_100세 이상,22,8,0,2,3,8,1
2020년12월_남_총인구수,"11,959","4,707","1,112","2,048","1,288","2,106",698
2020년12월_남_연령구간인구수,"11,959","4,707","1,112","2,048","1,288","2,106",698
2020년12월_남_0~9세,639,388,32,105,32,65,17
2020년12월_남_10~19세,933,500,65,161,56,124,27
2020년12월_남_20~29세,986,472,68,178,86,142,40
2020년12월_남_30~39세,934,451,78,148,77,140,40
2020년12월_남_40~49세,"1,598",765,111,281,137,240,64
2020년12월_남_50~59세,"2,320",829,230,446,260,421,134
2020년12월_남_60~69세,"2,253",621,269,388,298,484,193
2020년12월_남_70~79세,"1,417",432,171,210,197,291,116
2020년12월_남_80~89세,799,226,78,123,131,182,59
2020년12월_남_90~99세,75,22,10,8,13,14,8
2020년12월_남_100세 이상,5,1,0,0,1,3,0
2020년12월_여_총인구수,"12,077","4,735","1,142","2,004","1,330","2,152",714
2020년12월_여_연령구간인구수,"12,077","4,735","1,142","2,004","1,330","2,152",714
2020년12월_여_0~9세,573,352,29,79,33,61,19
2020년12월_여_10~19세,887,486,46,132,62,132,29
2020년12월_여_20~29세,796,398,61,149,62,102,24
2020년12월_여_30~39세,766,425,56,105,51,101,28
2020년12월_여_40~49세,"1,277",697,81,220,95,146,38
2020년12월_여_50~59세,"1,885",643,214,355,200,357,116
2020년12월_여_60~69세,"2,139",662,250,373,256,435,163
2020년12월_여_70~79세,"1,963",569,201,329,293,412,159
2020년12월_여_80~89세,"1,518",406,176,226,247,348,115
2020년12월_여_90~99세,256,90,28,34,29,53,22
2020년12월_여_100세 이상,17,7,0,2,2,5,1
2021년01월_계_총인구수,"24,046","9,455","2,242","4,063","2,610","4,260","1,416"
2021년01월_계_연령구간인구수,"24,046","9,455","2,242","4,063","2,610","4,260","1,416"
2021년01월_계_0~9세,"1,199",728,59,185,65,126,36
2021년01월_계_10~19세,"1,828",994,115,295,116,252,56
2021년01월_계_20~29세,"1,771",875,116,324,146,248,62
2021년01월_계_30~39세,"1,702",880,138,258,125,235,66
2021년01월_계_40~49세,"2,871","1,462",188,501,231,382,107
2021년01월_계_50~59세,"4,180","1,468",443,796,454,772,247
2021년01월_계_60~69세,"4,421","1,296",516,764,556,928,361
2021년01월_계_70~79세,"3,392","1,001",373,540,493,710,275
2021년01월_계_80~89세,"2,325",631,256,356,376,530,176
2021년01월_계_90~99세,335,112,38,42,45,69,29
2021년01월_계_100세 이상,22,8,0,2,3,8,1
2021년01월_남_총인구수,"11,979","4,717","1,112","2,049","1,284","2,109",708
2021년01월_남_연령구간인구수,"11,979","4,717","1,112","2,049","1,284","2,109",708
2021년01월_남_0~9세,639,388,33,104,31,66,17
2021년01월_남_10~19세,936,503,68,160,55,123,27
2021년01월_남_20~29세,985,476,63,177,86,144,39
2021년01월_남_30~39세,933,453,79,150,75,137,39
2021년01월_남_40~49세,"1,598",766,110,280,137,237,68
2021년01월_남_50~59세,"2,305",821,230,442,254,421,137
2021년01월_남_60~69세,"2,280",632,269,393,301,487,198
2021년01월_남_70~79세,"1,419",430,170,210,200,294,115
2021년01월_남_80~89세,803,225,80,125,130,183,60
2021년01월_남_90~99세,76,22,10,8,14,14,8
2021년01월_남_100세 이상,5,1,0,0,1,3,0
2021년01월_여_총인구수,"12,067","4,738","1,130","2,014","1,326","2,151",708
2021년01월_여_연령구간인구수,"12,067","4,738","1,130","2,014","1,326","2,151",708
2021년01월_여_0~9세,560,340,26,81,34,60,19
2021년01월_여_10~19세,892,491,47,135,61,129,29
2021년01월_여_20~29세,786,399,53,147,60,104,23
2021년01월_여_30~39세,769,427,59,108,50,98,27
2021년01월_여_40~49세,"1,273",696,78,221,94,145,39
2021년01월_여_50~59세,"1,875",647,213,354,200,351,110
2021년01월_여_60~69세,"2,141",664,247,371,255,441,163
2021년01월_여_70~79세,"1,973",571,203,330,293,416,160
2021년01월_여_80~89세,"1,522",406,176,231,246,347,116
2021년01월_여_90~99세,259,90,28,34,31,55,21
2021년01월_여_100세 이상,17,7,0,2,2,5,1
2021년02월_계_총인구수,"23,990","9,455","2,230","4,051","2,592","4,254","1,408"
2021년02월_계_연령구간인구수,"23,990","9,455","2,230","4,051","2,592","4,254","1,408"
2021년02월_계_0~9세,"1,177",723,55,178,63,126,32
2021년02월_계_10~19세,"1,826",993,114,295,115,252,57
2021년02월_계_20~29세,"1,744",865,112,319,145,243,60
2021년02월_계_30~39세,"1,698",883,138,252,119,239,67
2021년02월_계_40~49세,"2,855","1,453",187,503,230,377,105
2021년02월_계_50~59세,"4,159","1,475",436,791,445,767,245
2021년02월_계_60~69세,"4,458","1,310",522,771,562,934,359
2021년02월_계_70~79세,"3,362",992,365,537,484,707,277
2021년02월_계_80~89세,"2,352",638,263,362,381,532,176
2021년02월_계_90~99세,336,114,38,41,45,69,29
2021년02월_계_100세 이상,23,9,0,2,3,8,1
2021년02월_남_총인구수,"11,968","4,720","1,112","2,043","1,277","2,112",704
