카테고리,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2020년03월_여_60~69세,"7,237","2,589",945,"1,027",362,328,321,270,253,376,398,368
2020년03월_여_70~79세,"5,487","1,651",869,557,324,286,337,241,233,327,362,300
2020년03월_여_80~89세,"4,077",992,553,394,283,269,317,232,205,255,315,262
2020년03월_여_90~99세,615,155,79,65,47,36,38,46,35,37,45,32
2020년03월_여_100세 이상,42,10,15,3,0,2,1,1,0,5,3,2
2020년04월_계_총인구수,"99,973","38,487","8,625","28,202","3,493","3,452","2,972","2,359","2,133","3,266","3,543","3,441"
2020년04월_계_연령구간인구수,"99,973","38,487","8,625","28,202","3,493","3,452","2,972","2,359","2,133","3,266","3,543","3,441"
2020년04월_계_0~9세,"7,950","2,606",291,"4,393",108,131,82,49,30,83,84,93
2020년04월_계_10~19세,"9,664","4,468",467,"3,589",141,231,121,77,72,150,163,185
2020년04월_계_20~29세,"9,706","4,866",621,"2,704",229,241,158,127,120,220,189,231
2020년04월_계_30~39세,"10,806","3,748",523,"5,193",218,189,149,113,108,156,209,200
2020년04월_계_40~49세,"14,617","6,246",857,"5,310",339,380,247,171,135,286,287,359
2020년04월_계_50~59세,"15,918","6,814","1,515","3,311",652,600,461,395,370,577,598,625
2020년04월_계_60~69세,"14,227","4,979","1,820","1,979",738,686,629,546,503,756,828,763
2020년04월_계_70~79세,"9,905","2,997","1,552","1,037",576,528,584,454,426,585,615,551
2020년04월_계_80~89세,"6,307","1,534",849,606,432,422,492,363,326,395,499,389
2020년04월_계_90~99세,814,213,110,77,59,42,47,63,43,51,66,43
2020년04월_계_100세 이상,59,16,20,3,1,2,2,1,0,7,5,2
2020년04월_남_총인구수,"49,723","19,090","4,227","14,122","1,763","1,758","1,436","1,188","1,038","1,605","1,763","1,733"
2020년04월_남_연령구간인구수,"49,723","19,090","4,227","14,122","1,763","1,758","1,436","1,188","1,038","1,605","1,763","1,733"
2020년04월_남_0~9세,"4,127","1,338",154,"2,290",59,73,43,27,14,36,45,48
2020년04월_남_10~19세,"4,929","2,274",245,"1,827",82,124,61,37,30,71,84,94
2020년04월_남_20~29세,"5,363","2,714",372,"1,350",133,155,95,82,78,133,115,136
2020년04월_남_30~39세,"5,601","1,934",309,"2,564",131,109,85,74,73,91,128,103
2020년04월_남_40~49세,"7,659","3,052",499,"2,710",212,219,163,110,87,190,193,224
2020년04월_남_50~59세,"8,244","3,474",762,"1,728",353,321,249,223,188,289,314,343
2020년04월_남_60~69세,"6,967","2,370",870,962,377,354,309,274,247,379,428,397
2020년04월_남_70~79세,"4,414","1,333",684,478,253,247,246,217,195,261,249,251
2020년04월_남_80~89세,"2,196",537,293,200,148,148,174,128,119,140,183,126
2020년04월_남_90~99세,205,57,34,13,14,8,10,16,7,13,22,11
2020년04월_남_100세 이상,18,7,5,0,1,0,1,0,0,2,2,0
2020년04월_여_총인구수,"50,250","19,397","4,398","14,080","1,730","1,694","1,536","1,171","1,095","1,661","1,780","1,708"
2020년04월_여_연령구간인구수,"50,250","19,397","4,398","14,080","1,730","1,694","1,536","1,171","1,095","1,661","1,780","1,708"
2020년04월_여_0~9세,"3,823","1,268",137,"2,103",49,58,39,22,16,47,39,45
2020년04월_여_10~19세,"4,735","2,194",222,"1,762",59,107,60,40,42,79,79,91
2020년04월_여_20~29세,"4,343","2,152",249,"1,354",96,86,63,45,42,87,74,95
2020년04월_여_30~39세,"5,205","1,814",214,"2,629",87,80,64,39,35,65,81,97
2020년04월_여_40~49세,"6,958","3,194",358,"2,600",127,161,84,61,48,96,94,135
2020년04월_여_50~59세,"7,674","3,340",753,"1,583",299,279,212,172,182,288,284,282
2020년04월_여_60~69세,"7,260","2,609",950,"1,017",361,332,320,272,256,377,400,366
2020년04월_여_70~79세,"5,491","1,664",868,559,323,281,338,237,231,324,366,300
2020년04월_여_80~89세,"4,111",997,556,406,284,274,318,235,207,255,316,263
2020년04월_여_90~99세,609,156,76,64,45,34,37,47,36,38,44,32
2020년04월_여_100세 이상,41,9,15,3,0,2,1,1,0,5,3,2
2020년05월_계_총인구수,"100,013","38,503","8,594","28,296","3,495","3,460","2,953","2,345","2,121","3,262","3,540","3,444"
2020년05월_계_연령구간인구수,"100,013","38,503","8,594","28,296","3,495","3,460","2,953","2,345","2,121","3,262","3,540","3,444"
2020년05월_계_0~9세,"7,959","2,606",295,"4,399",107,133,82,49,28,82,84,94
2020년05월_계_10~19세,"9,644","4,448",466,"3,596",142,233,117,75,69,149,165,184
2020년05월_계_20~29세,"9,722","4,895",613,"2,727",225,239,155,124,115,216,186,227
2020년05월_계_30~39세,"10,760","3,725",516,"5,185",217,190,145,106,108,156,209,203
2020년05월_계_40~49세,"14,607","6,228",845,"5,335",339,376,245,171,134,286,287,361
2020년05월_계_50~59세,"15,930","6,812","1,515","3,335",652,596,463,390,369,577,600,621
2020년05월_계_60~69세,"14,256","4,998","1,815","1,987",745,695,621,545,504,752,825,769
2020년05월_계_70~79세,"9,941","3,022","1,549","1,040",578,530,582,455,426,589,618,552
2020년05월_계_80~89세,"6,311","1,537",848,612,429,425,493,363,325,397,494,388
2020년05월_계_90~99세,824,216,112,77,60,41,48,66,43,51,67,43
2020년05월_계_100세 이상,59,16,20,3,1,2,2,1,0,7,5,2
2020년05월_남_총인구수,"49,731","19,094","4,215","14,154","1,771","1,759","1,423","1,179","1,030","1,607","1,765","1,734"
2020년05월_남_연령구간인구수,"49,731","19,094","4,215","14,154","1,771","1,759","1,423","1,179","1,030","1,607","1,765","1,734"
2020년05월_남_0~9세,"4,142","1,343",158,"2,293",60,74,42,27,13,36,47,49
2020년05월_남_10~19세,"4,914","2,261",245,"1,827",81,125,59,37,30,69,85,95
2020년05월_남_20~29세,"5,370","2,726",370,"1,362",135,156,91,79,75,132,112,132
2020년05월_남_30~39세,"5,559","1,914",306,"2,549",131,108,85,71,71,90,128,106
2020년05월_남_40~49세,"7,646","3,045",491,"2,716",214,215,161,110,87,191,193,223
2020년05월_남_50~59세,"8,277","3,482",766,"1,749",352,319,252,222,188,290,316,341
2020년05월_남_60~69세,"6,971","2,377",864,964,380,359,302,272,246,378,428,401
2020년05월_남_70~79세,"4,433","1,348",681,480,256,249,245,215,194,265,249,251
2020년05월_남_80~89세,"2,195",534,294,201,147,147,174,129,119,141,184,125
2020년05월_남_90~99세,206,57,35,13,14,7,11,17,7,13,21,11
2020년05월_남_100세 이상,18,7,5,0,1,0,1,0,0,2,2,0
2020년05월_여_총인구수,"50,282","19,409","4,379","14,142","1,724","1,701","1,530","1,166","1,091","1,655","1,775","1,710"
2020년05월_여_연령구간인구수,"50,282","19,409","4,379","14,142","1,724","1,701","1,530","1,166","1,091","1,655","1,775","1,710"
2020년05월_여_0~9세,"3,817","1,263",137,"2,106",47,59,40,22,15,46,37,45
2020년05월_여_10~19세,"4,730","2,187",221,"1,769",61,108,58,38,39,80,80,89
2020년05월_여_20~29세,"4,352","2,169",243,"1,365",90,83,64,45,40,84,74,95
2020년05월_여_30~39세,"5,201","1,811",210,"2,636",86,82,60,35,37,66,81,97
2020년05월_여_40~49세,"6,961","3,183",354,"2,619",125,161,84,61,47,95,94,138
2020년05월_여_50~59세,"7,653","3,330",749,"1,586",300,277,211,168,181,287,284,280
2020년05월_여_60~69세,"7,285","2,621",951,"1,023",365,336,319,273,258,374,397,368
2020년05월_여_70~79세,"5,508","1,674",868,560,322,281,337,240,232,324,369,301
2020년05월_여_80~89세,"4,116","1,003",554,411,282,278,319,234,206,256,310,263
2020년05월_여_90~99세,618,159,77,64,46,34,37,49,36,38,46,32
2020년05월_여_100세 이상,41,9,15,3,0,2,1,1,0,5,3,2
2020년06월_계_총인구수,"99,980","38,416","8,581","28,377","3,507","3,453","2,953","2,334","2,128","3,261","3,522","3,448"
2020년06월_계_연령구간인구수,"99,980","38,416","8,581","28,377","3,507","3,453","2,953","2,334","2,128","3,261","3,522","3,448"
2020년06월_계_0~9세,"7,944","2,596",289,"4,410",107,130,79,49,28,82,82,92
2020년06월_계_10~19세,"9,642","4,433",468,"3,620",138,233,118,73,66,149,159,185
2020년06월_계_20~29세,"9,679","4,881",615,"2,709",222,229,154,124,119,213,187,226
2020년06월_계_30~39세,"10,707","3,692",506,"5,189",222,189,146,105,107,151,200,200
2020년06월_계_40~49세,"14,631","6,217",838,"5,368",339,381,245,171,134,293,286,359
2020년06월_계_50~59세,"15,882","6,786","1,511","3,338",651,596,458,390,368,572,594,618
2020년06월_계_60~69세,"14,318","5,016","1,822","1,998",758,689,626,536,505,756,828,784
2020년06월_계_70~79세,"9,979","3,027","1,552","1,044",583,535,584,459,434,591,619,551
2020년06월_계_80~89세,"6,310","1,536",850,618,427,425,494,360,324,396,495,385
2020년06월_계_90~99세,828,216,110,79,59,44,47,66,43,51,67,46
2020년06월_계_100세 이상,60,16,20,4,1,2,2,1,0,7,5,2
2020년06월_남_총인구수,"49,711","19,028","4,214","14,194","1,783","1,756","1,426","1,177","1,035","1,607","1,755","1,736"
2020년06월_남_연령구간인구수,"49,711","19,028","4,214","14,194","1,783","1,756","1,426","1,177","1,035","1,607","1,755","1,736"
2020년06월_남_0~9세,"4,137","1,333",153,"2,306",61,73,40,27,13,37,46,48
2020년06월_남_10~19세,"4,912","2,255",248,"1,838",78,125,59,36,28,68,82,95
2020년06월_남_20~29세,"5,337","2,700",372,"1,365",134,151,89,79,76,129,111,131
2020년06월_남_30~39세,"5,528","1,897",301,"2,544",137,107,86,71,71,89,121,104
2020년06월_남_40~49세,"7,659","3,043",487,"2,731",214,217,162,111,88,193,192,221
2020년06월_남_50~59세,"8,261","3,468",769,"1,751",350,322,249,222,188,285,315,342
2020년06월_남_60~69세,"7,000","2,378",866,965,391,357,306,268,246,386,428,409
2020년06월_남_70~79세,"4,450","1,351",681,479,257,250,248,218,199,265,253,249
2020년06월_남_80~89세,"2,202",538,297,201,147,147,175,129,119,140,184,125
2020년06월_남_90~99세,207,58,35,14,13,7,11,16,7,13,21,12
2020년06월_남_100세 이상,18,7,5,0,1,0,1,0,0,2,2,0
2020년06월_여_총인구수,"50,269","19,388","4,367","14,183","1,724","1,697","1,527","1,157","1,093","1,654","1,767","1,712"
2020년06월_여_연령구간인구수,"50,269","19,388","4,367","14,183","1,724","1,697","1,527","1,157","1,093","1,654","1,767","1,712"
2020년06월_여_0~9세,"3,807","1,263",136,"2,104",46,57,39,22,15,45,36,44
2020년06월_여_10~19세,"4,730","2,178",220,"1,782",60,108,59,37,38,81,77,90
2020년06월_여_20~29세,"4,342","2,181",243,"1,344",88,78,65,45,43,84,76,95
2020년06월_여_30~39세,"5,179","1,795",205,"2,645",85,82,60,34,36,62,79,96
2020년06월_여_40~49세,"6,972","3,174",351,"2,637",125,164,83,60,46,100,94,138
2020년06월_여_50~59세,"7,621","3,318",742,"1,587",301,274,209,168,180,287,279,276
2020년06월_여_60~69세,"7,318","2,638",956,"1,033",367,332,320,268,259,370,400,375
2020년06월_여_70~79세,"5,529","1,676",871,565,326,285,336,241,235,326,366,302
2020년06월_여_80~89세,"4,108",998,553,417,280,278,319,231,205,256,311,260
2020년06월_여_90~99세,621,158,75,65,46,37,36,50,36,38,46,34
2020년06월_여_100세 이상,42,9,15,4,0,2,1,1,0,5,3,2
2020년07월_계_총인구수,"100,020","38,374","8,566","28,476","3,510","3,438","2,965","2,322","2,125","3,266","3,521","3,457"
2020년07월_계_연령구간인구수,"100,020","38,374","8,566","28,476","3,510","3,438","2,965","2,322","2,125","3,266","3,521","3,457"
2020년07월_계_0~9세,"7,917","2,573",287,"4,414",107,130,79,47,28,81,79,92
2020년07월_계_10~19세,"9,654","4,425",474,"3,647",136,225,120,70,66,151,157,183
2020년07월_계_20~29세,"9,669","4,871",612,"2,706",227,232,154,124,116,212,189,226
2020년07월_계_30~39세,"10,671","3,682",494,"5,188",217,186,146,99,103,151,204,201
2020년07월_계_40~49세,"14,617","6,182",834,"5,415",335,372,247,168,134,293,280,357
2020년07월_계_50~59세,"15,883","6,807","1,497","3,340",650,592,458,389,368,572,590,620
2020년07월_계_60~69세,"14,359","5,021","1,829","2,011",761,689,628,536,509,757,831,787
2020년07월_계_70~79세,"10,022","3,034","1,557","1,054",589,541,586,462,430,595,615,559
2020년07월_계_80~89세,"6,330","1,548",849,616,427,427,496,360,325,394,503,385
2020년07월_계_90~99세,837,215,112,81,60,42,49,66,46,53,68,45
2020년07월_계_100세 이상,61,16,21,4,1,2,2,1,0,7,5,2
2020년07월_남_총인구수,"49,729","18,997","4,201","14,256","1,783","1,744","1,431","1,172","1,035","1,613","1,757","1,740"
2020년07월_남_연령구간인구수,"49,729","18,997","4,201","14,256","1,783","1,744","1,431","1,172","1,035","1,613","1,757","1,740"
2020년07월_남_0~9세,"4,127","1,323",156,"2,307",61,72,40,26,13,37,45,47
2020년07월_남_10~19세,"4,915","2,247",252,"1,857",75,119,61,34,28,69,81,92
2020년07월_남_20~29세,"5,325","2,690",364,"1,362",138,153,88,81,76,128,113,132
2020년07월_남_30~39세,"5,518","1,895",296,"2,553",132,104,85,67,68,90,124,104
2020년07월_남_40~49세,"7,657","3,028",485,"2,754",213,213,162,109,89,195,189,220
2020년07월_남_50~59세,"8,264","3,476",761,"1,751",353,319,249,222,189,286,315,343
2020년07월_남_60~69세,"7,026","2,383",868,970,391,360,309,269,247,388,429,412
2020년07월_남_70~79세,"4,469","1,352",682,487,259,251,248,219,197,265,253,256
2020년07월_남_80~89세,"2,198",537,296,199,146,147,177,129,120,139,185,123
2020년07월_남_90~99세,211,59,35,16,14,6,11,16,8,14,21,11
2020년07월_남_100세 이상,19,7,6,0,1,0,1,0,0,2,2,0
2020년07월_여_총인구수,"50,291","19,377","4,365","14,220","1,727","1,694","1,534","1,150","1,090","1,653","1,764","1,717"
2020년07월_여_연령구간인구수,"50,291","19,377","4,365","14,220","1,727","1,694","1,534","1,150","1,090","1,653","1,764","1,717"
2020년07월_여_0~9세,"3,790","1,250",131,"2,107",46,58,39,21,15,44,34,45
2020년07월_여_10~19세,"4,739","2,178",222,"1,790",61,106,59,36,38,82,76,91
2020년07월_여_20~29세,"4,344","2,181",248,"1,344",89,79,66,43,40,84,76,94
2020년07월_여_30~39세,"5,153","1,787",198,"2,635",85,82,61,32,35,61,80,97
2020년07월_여_40~49세,"6,960","3,154",349,"2,661",122,159,85,59,45,98,91,137
2020년07월_여_50~59세,"7,619","3,331",736,"1,589",297,273,209,167,179,286,275,277
2020년07월_여_60~69세,"7,333","2,638",961,"1,041",370,329,319,267,262,369,402,375
2020년07월_여_70~79세,"5,553","1,682",875,567,330,290,338,243,233,330,362,303
2020년07월_여_80~89세,"4,132","1,011",553,417,281,280,319,231,205,255,318,262
2020년07월_여_90~99세,626,156,77,65,46,36,38,50,38,39,47,34
2020년07월_여_100세 이상,42,9,15,4,0,2,1,1,0,5,3,2
2020년08월_계_총인구수,"99,984","38,344","8,535","28,521","3,501","3,457","2,956","2,316","2,116","3,260","3,513","3,465"
2020년08월_계_연령구간인구수,"99,984","38,344","8,535","28,521","3,501","3,457","2,956","2,316","2,116","3,260","3,513","3,465"
2020년08월_계_0~9세,"7,902","2,563",292,"4,413",103,131,80,46,26,80,76,92
2020년08월_계_10~19세,"9,627","4,399",462,"3,656",135,229,119,71,64,150,157,185
2020년08월_계_20~29세,"9,648","4,854",611,"2,712",228,235,149,120,118,211,189,221
2020년08월_계_30~39세,"10,638","3,676",487,"5,181",215,191,144,100,97,146,201,200
2020년08월_계_40~49세,"14,600","6,164",831,"5,432",334,371,239,167,134,293,281,354
2020년08월_계_50~59세,"15,889","6,806","1,488","3,352",651,589,466,390,367,569,573,638
2020년08월_계_60~69세,"14,413","5,047","1,819","2,018",764,698,631,537,513,762,840,784
2020년08월_계_70~79세,"10,034","3,046","1,566","1,059",584,538,584,462,427,593,616,559
2020년08월_계_80~89세,"6,320","1,553",846,613,425,428,493,353,324,394,506,385
2020년08월_계_90~99세,853,220,112,82,61,45,49,69,46,55,69,45
2020년08월_계_100세 이상,60,16,21,3,1,2,2,1,0,7,5,2
2020년08월_남_총인구수,"49,715","18,987","4,183","14,276","1,785","1,748","1,426","1,170","1,029","1,612","1,754","1,745"
2020년08월_남_연령구간인구수,"49,715","18,987","4,183","14,276","1,785","1,748","1,426","1,170","1,029","1,612","1,754","1,745"
2020년08월_남_0~9세,"4,120","1,309",159,"2,310",59,75,41,26,12,37,44,48
2020년08월_남_10~19세,"4,890","2,237",246,"1,852",74,117,61,34,26,68,82,93
2020년08월_남_20~29세,"5,325","2,683",364,"1,367",138,157,87,79,79,128,112,131
2020년08월_남_30~39세,"5,516","1,909",287,"2,554",133,105,85,68,63,86,124,102
2020년08월_남_40~49세,"7,623","3,009",483,"2,756",213,212,155,107,89,196,187,216
