카테고리,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2020년04월_여_60~69세,"4,618","1,484",238,324,197,664,247,295,193,326,365,141,144
2020년04월_여_70~79세,"3,829",994,273,294,194,412,239,294,203,316,375,88,147
2020년04월_여_80~89세,"3,220",668,260,274,203,310,245,225,181,305,326,107,116
2020년04월_여_90~99세,515,138,33,41,18,50,41,37,24,47,50,15,21
2020년04월_여_100세 이상,31,5,3,4,0,2,2,4,1,4,2,1,3
2020년05월_계_총인구수,"55,616","15,063","2,375","2,690","1,701","18,644","2,554","2,485","1,547","2,781","3,226","1,177","1,373"
2020년05월_계_연령구간인구수,"55,616","15,063","2,375","2,690","1,701","18,644","2,554","2,485","1,547","2,781","3,226","1,177","1,373"
2020년05월_계_0~9세,"4,660",820,82,65,51,"3,223",154,59,23,57,59,25,42
2020년05월_계_10~19세,"4,412","1,285",117,83,59,"2,256",108,92,46,85,140,63,78
2020년05월_계_20~29세,"4,127","1,364",105,154,59,"1,638",220,120,54,96,206,44,67
2020년05월_계_30~39세,"5,640","1,201",91,120,82,"3,403",222,118,48,125,126,44,60
2020년05월_계_40~49세,"7,094","1,968",184,168,124,"3,429",241,203,109,210,255,90,113
2020년05월_계_50~59세,"8,119","2,558",367,429,265,"2,121",334,383,226,441,519,250,226
2020년05월_계_60~69세,"9,092","2,817",496,669,401,"1,303",443,566,386,678,713,322,298
2020년05월_계_70~79세,"6,912","1,846",493,513,337,740,426,533,350,582,649,175,268
2020년05월_계_80~89세,"4,886","1,027",393,434,296,462,355,361,275,450,500,142,191
2020년05월_계_90~99세,638,171,43,50,27,66,49,46,29,52,57,21,27
2020년05월_계_100세 이상,36,6,4,5,0,3,2,4,1,5,2,1,3
2020년05월_남_총인구수,"27,329","7,452","1,187","1,327",833,"9,138","1,258","1,205",743,"1,369","1,554",580,683
2020년05월_남_연령구간인구수,"27,329","7,452","1,187","1,327",833,"9,138","1,258","1,205",743,"1,369","1,554",580,683
2020년05월_남_0~9세,"2,360",405,46,35,25,"1,629",81,28,8,32,36,13,22
2020년05월_남_10~19세,"2,362",739,68,42,37,"1,156",61,48,26,43,70,34,38
2020년05월_남_20~29세,"2,312",795,64,100,31,842,135,67,35,57,126,21,39
2020년05월_남_30~39세,"2,820",609,48,69,42,"1,598",126,72,29,82,84,20,41
2020년05월_남_40~49세,"3,904","1,081",118,112,86,"1,720",157,136,75,143,154,56,66
2020년05월_남_50~59세,"4,250","1,256",220,236,162,"1,071",194,201,130,248,280,125,127
2020년05월_남_60~69세,"4,469","1,331",257,345,207,631,200,272,196,347,350,181,152
2020년05월_남_70~79세,"3,074",842,220,219,142,329,186,239,150,269,272,87,119
2020년05월_남_80~89세,"1,658",362,135,159,94,151,109,134,90,141,174,36,73
2020년05월_남_90~99세,116,31,10,9,7,11,9,8,4,6,8,7,6
2020년05월_남_100세 이상,4,1,1,1,0,0,0,0,0,1,0,0,0
2020년05월_여_총인구수,"28,287","7,611","1,188","1,363",868,"9,506","1,296","1,280",804,"1,412","1,672",597,690
2020년05월_여_연령구간인구수,"28,287","7,611","1,188","1,363",868,"9,506","1,296","1,280",804,"1,412","1,672",597,690
2020년05월_여_0~9세,"2,300",415,36,30,26,"1,594",73,31,15,25,23,12,20
2020년05월_여_10~19세,"2,050",546,49,41,22,"1,100",47,44,20,42,70,29,40
2020년05월_여_20~29세,"1,815",569,41,54,28,796,85,53,19,39,80,23,28
2020년05월_여_30~39세,"2,820",592,43,51,40,"1,805",96,46,19,43,42,24,19
2020년05월_여_40~49세,"3,190",887,66,56,38,"1,709",84,67,34,67,101,34,47
2020년05월_여_50~59세,"3,869","1,302",147,193,103,"1,050",140,182,96,193,239,125,99
2020년05월_여_60~69세,"4,623","1,486",239,324,194,672,243,294,190,331,363,141,146
2020년05월_여_70~79세,"3,838","1,004",273,294,195,411,240,294,200,313,377,88,149
2020년05월_여_80~89세,"3,228",665,258,275,202,311,246,227,185,309,326,106,118
2020년05월_여_90~99세,522,140,33,41,20,55,40,38,25,46,49,14,21
2020년05월_여_100세 이상,32,5,3,4,0,3,2,4,1,4,2,1,3
2020년06월_계_총인구수,"55,750","15,060","2,361","2,703","1,709","18,789","2,559","2,480","1,547","2,773","3,217","1,179","1,373"
2020년06월_계_연령구간인구수,"55,750","15,060","2,361","2,703","1,709","18,789","2,559","2,480","1,547","2,773","3,217","1,179","1,373"
2020년06월_계_0~9세,"4,687",827,78,65,54,"3,249",154,55,22,58,58,25,42
2020년06월_계_10~19세,"4,422","1,284",113,85,59,"2,265",112,92,49,84,139,63,77
2020년06월_계_20~29세,"4,134","1,359",103,153,60,"1,663",219,121,52,95,197,44,68
2020년06월_계_30~39세,"5,643","1,208",85,121,84,"3,410",219,117,48,125,126,41,59
2020년06월_계_40~49세,"7,110","1,956",186,170,123,"3,459",241,201,111,208,254,90,111
2020년06월_계_50~59세,"8,120","2,556",366,430,265,"2,140",335,377,225,442,513,248,223
2020년06월_계_60~69세,"9,146","2,823",496,675,406,"1,322",445,570,385,676,718,329,301
2020년06월_계_70~79세,"6,932","1,846",497,514,337,750,426,534,353,579,651,175,270
2020년06월_계_80~89세,"4,881","1,024",391,434,292,460,357,364,273,451,500,142,193
2020년06월_계_90~99세,640,171,42,52,29,68,49,45,28,50,59,21,26
2020년06월_계_100세 이상,35,6,4,4,0,3,2,4,1,5,2,1,3
2020년06월_남_총인구수,"27,401","7,452","1,181","1,330",837,"9,216","1,261","1,204",743,"1,364","1,547",582,684
2020년06월_남_연령구간인구수,"27,401","7,452","1,181","1,330",837,"9,216","1,261","1,204",743,"1,364","1,547",582,684
2020년06월_남_0~9세,"2,373",408,44,35,27,"1,641",81,27,7,34,34,13,22
2020년06월_남_10~19세,"2,368",737,66,42,37,"1,163",63,48,29,43,69,34,37
2020년06월_남_20~29세,"2,316",797,63,99,33,852,135,68,33,54,120,21,41
2020년06월_남_30~39세,"2,830",616,46,70,42,"1,606",125,72,29,82,85,18,39
2020년06월_남_40~49세,"3,901","1,069",120,113,86,"1,730",158,137,75,141,152,56,64
2020년06월_남_50~59세,"4,260","1,258",218,233,160,"1,084",196,197,131,251,280,124,128
2020년06월_남_60~69세,"4,502","1,329",260,350,211,646,200,275,195,344,352,186,154
2020년06월_남_70~79세,"3,077",843,219,218,141,334,185,239,151,268,273,87,119
2020년06월_남_80~89세,"1,656",363,135,159,92,150,109,134,90,140,174,36,74
2020년06월_남_90~99세,114,31,9,10,8,10,9,7,3,6,8,7,6
2020년06월_남_100세 이상,4,1,1,1,0,0,0,0,0,1,0,0,0
2020년06월_여_총인구수,"28,349","7,608","1,180","1,373",872,"9,573","1,298","1,276",804,"1,409","1,670",597,689
2020년06월_여_연령구간인구수,"28,349","7,608","1,180","1,373",872,"9,573","1,298","1,276",804,"1,409","1,670",597,689
2020년06월_여_0~9세,"2,314",419,34,30,27,"1,608",73,28,15,24,24,12,20
2020년06월_여_10~19세,"2,054",547,47,43,22,"1,102",49,44,20,41,70,29,40
2020년06월_여_20~29세,"1,818",562,40,54,27,811,84,53,19,41,77,23,27
2020년06월_여_30~39세,"2,813",592,39,51,42,"1,804",94,45,19,43,41,23,20
2020년06월_여_40~49세,"3,209",887,66,57,37,"1,729",83,64,36,67,102,34,47
2020년06월_여_50~59세,"3,860","1,298",148,197,105,"1,056",139,180,94,191,233,124,95
2020년06월_여_60~69세,"4,644","1,494",236,325,195,676,245,295,190,332,366,143,147
2020년06월_여_70~79세,"3,855","1,003",278,296,196,416,241,295,202,311,378,88,151
2020년06월_여_80~89세,"3,225",661,256,275,200,310,248,230,183,311,326,106,119
2020년06월_여_90~99세,526,140,33,42,21,58,40,38,25,44,51,14,20
2020년06월_여_100세 이상,31,5,3,3,0,3,2,4,1,4,2,1,3
2020년07월_계_총인구수,"55,652","14,981","2,352","2,695","1,711","18,804","2,564","2,480","1,546","2,767","3,212","1,173","1,367"
2020년07월_계_연령구간인구수,"55,652","14,981","2,352","2,695","1,711","18,804","2,564","2,480","1,546","2,767","3,212","1,173","1,367"
2020년07월_계_0~9세,"4,665",810,76,63,54,"3,252",156,54,22,57,56,25,40
2020년07월_계_10~19세,"4,385","1,259",114,87,60,"2,259",108,95,49,84,132,61,77
2020년07월_계_20~29세,"4,102","1,348",98,152,60,"1,642",224,119,52,95,201,44,67
2020년07월_계_30~39세,"5,604","1,188",85,121,82,"3,399",224,118,47,121,122,39,58
2020년07월_계_40~49세,"7,088","1,953",184,170,123,"3,458",234,202,109,207,252,87,109
2020년07월_계_50~59세,"8,138","2,538",366,429,264,"2,178",337,376,225,443,515,246,221
2020년07월_계_60~69세,"9,173","2,827",496,672,406,"1,340",447,569,388,675,721,328,304
2020년07월_계_70~79세,"6,949","1,857",497,513,343,748,424,536,350,582,652,176,271
2020년07월_계_80~89세,"4,879","1,025",390,431,290,461,356,362,276,449,501,145,193
2020년07월_계_90~99세,635,170,42,53,29,64,53,45,27,49,58,21,24
2020년07월_계_100세 이상,34,6,4,4,0,3,1,4,1,5,2,1,3
2020년07월_남_총인구수,"27,369","7,418","1,173","1,327",839,"9,234","1,262","1,206",743,"1,360","1,546",579,682
2020년07월_남_연령구간인구수,"27,369","7,418","1,173","1,327",839,"9,234","1,262","1,206",743,"1,360","1,546",579,682
2020년07월_남_0~9세,"2,369",403,41,35,28,"1,646",83,26,7,33,33,13,21
2020년07월_남_10~19세,"2,350",720,67,43,37,"1,165",60,50,30,43,64,34,37
2020년07월_남_20~29세,"2,309",788,57,99,33,853,140,67,32,54,123,22,41
2020년07월_남_30~39세,"2,816",613,47,68,41,"1,604",124,73,28,79,84,17,38
2020년07월_남_40~49세,"3,887","1,068",118,114,87,"1,726",155,138,74,141,150,53,63
2020년07월_남_50~59세,"4,260","1,245",218,232,160,"1,098",197,197,131,251,281,122,128
2020년07월_남_60~69세,"4,520","1,336",260,348,210,654,200,276,197,343,354,187,155
2020년07월_남_70~79세,"3,087",849,220,217,144,334,184,239,150,269,276,86,119
2020년07월_남_80~89세,"1,655",364,135,159,91,146,109,133,92,140,174,38,74
2020년07월_남_90~99세,112,31,9,11,8,8,10,7,2,6,7,7,6
2020년07월_남_100세 이상,4,1,1,1,0,0,0,0,0,1,0,0,0
2020년07월_여_총인구수,"28,283","7,563","1,179","1,368",872,"9,570","1,302","1,274",803,"1,407","1,666",594,685
2020년07월_여_연령구간인구수,"28,283","7,563","1,179","1,368",872,"9,570","1,302","1,274",803,"1,407","1,666",594,685
2020년07월_여_0~9세,"2,296",407,35,28,26,"1,606",73,28,15,24,23,12,19
2020년07월_여_10~19세,"2,035",539,47,44,23,"1,094",48,45,19,41,68,27,40
2020년07월_여_20~29세,"1,793",560,41,53,27,789,84,52,20,41,78,22,26
2020년07월_여_30~39세,"2,788",575,38,53,41,"1,795",100,45,19,42,38,22,20
2020년07월_여_40~49세,"3,201",885,66,56,36,"1,732",79,64,35,66,102,34,46
2020년07월_여_50~59세,"3,878","1,293",148,197,104,"1,080",140,179,94,192,234,124,93
2020년07월_여_60~69세,"4,653","1,491",236,324,196,686,247,293,191,332,367,141,149
2020년07월_여_70~79세,"3,862","1,008",277,296,199,414,240,297,200,313,376,90,152
2020년07월_여_80~89세,"3,224",661,255,272,199,315,247,229,184,309,327,107,119
2020년07월_여_90~99세,523,139,33,42,21,56,43,38,25,43,51,14,18
2020년07월_여_100세 이상,30,5,3,3,0,3,1,4,1,4,2,1,3
2020년08월_계_총인구수,"55,457","14,892","2,356","2,687","1,712","18,759","2,545","2,471","1,541","2,748","3,199","1,173","1,374"
2020년08월_계_연령구간인구수,"55,457","14,892","2,356","2,687","1,712","18,759","2,545","2,471","1,541","2,748","3,199","1,173","1,374"
2020년08월_계_0~9세,"4,643",805,78,64,57,"3,247",150,52,21,54,55,22,38
2020년08월_계_10~19세,"4,366","1,246",115,85,60,"2,260",106,93,47,84,130,63,77
2020년08월_계_20~29세,"4,069","1,322",96,150,58,"1,646",222,118,53,91,200,45,68
2020년08월_계_30~39세,"5,542","1,183",84,119,83,"3,357",223,112,48,117,119,38,59
2020년08월_계_40~49세,"7,086","1,934",188,173,123,"3,473",231,204,105,210,248,87,110
2020년08월_계_50~59세,"8,087","2,522",357,426,264,"2,169",334,378,224,436,511,244,222
2020년08월_계_60~69세,"9,186","2,835",498,672,404,"1,344",443,567,385,674,725,329,310
2020년08월_계_70~79세,"6,928","1,840",504,515,344,733,427,534,353,583,649,175,271
2020년08월_계_80~89세,"4,871","1,038",390,426,288,459,351,363,276,444,502,145,189
2020년08월_계_90~99세,646,161,42,53,31,68,57,46,28,51,58,24,27
2020년08월_계_100세 이상,33,6,4,4,0,3,1,4,1,4,2,1,3
2020년08월_남_총인구수,"27,288","7,363","1,170","1,331",842,"9,238","1,253","1,197",743,"1,351","1,538",576,686
2020년08월_남_연령구간인구수,"27,288","7,363","1,170","1,331",842,"9,238","1,253","1,197",743,"1,351","1,538",576,686
2020년08월_남_0~9세,"2,373",398,44,36,29,"1,659",81,25,7,30,32,11,21
2020년08월_남_10~19세,"2,331",710,67,42,37,"1,162",58,48,28,43,65,35,36
2020년08월_남_20~29세,"2,295",772,55,101,33,856,141,65,34,51,122,23,42
2020년08월_남_30~39세,"2,788",609,47,68,42,"1,587",122,71,29,77,82,16,38
2020년08월_남_40~49세,"3,887","1,057",119,116,87,"1,741",154,138,71,144,144,53,63
2020년08월_남_50~59세,"4,238","1,240",210,232,160,"1,092",196,198,132,248,281,121,128
2020년08월_남_60~69세,"4,537","1,343",263,348,210,660,197,275,196,341,358,186,160
2020년08월_남_70~79세,"3,077",837,221,220,145,328,187,237,153,270,273,86,120
2020년08월_남_80~89세,"1,642",367,134,155,91,143,105,133,91,139,174,38,72
2020년08월_남_90~99세,116,29,9,12,8,10,12,7,2,7,7,7,6
2020년08월_남_100세 이상,4,1,1,1,0,0,0,0,0,1,0,0,0
2020년08월_여_총인구수,"28,169","7,529","1,186","1,356",870,"9,521","1,292","1,274",798,"1,397","1,661",597,688
2020년08월_여_연령구간인구수,"28,169","7,529","1,186","1,356",870,"9,521","1,292","1,274",798,"1,397","1,661",597,688
2020년08월_여_0~9세,"2,270",407,34,28,28,"1,588",69,27,14,24,23,11,17
2020년08월_여_10~19세,"2,035",536,48,43,23,"1,098",48,45,19,41,65,28,41
2020년08월_여_20~29세,"1,774",550,41,49,25,790,81,53,19,40,78,22,26
2020년08월_여_30~39세,"2,754",574,37,51,41,"1,770",101,41,19,40,37,22,21
2020년08월_여_40~49세,"3,199",877,69,57,36,"1,732",77,66,34,66,104,34,47
2020년08월_여_50~59세,"3,849","1,282",147,194,104,"1,077",138,180,92,188,230,123,94
2020년08월_여_60~69세,"4,649","1,492",235,324,194,684,246,292,189,333,367,143,150
2020년08월_여_70~79세,"3,851","1,003",283,295,199,405,240,297,200,313,376,89,151
2020년08월_여_80~89세,"3,229",671,256,271,197,316,246,230,185,305,328,107,117
2020년08월_여_90~99세,530,132,33,41,23,58,45,39,26,44,51,17,21
2020년08월_여_100세 이상,29,5,3,3,0,3,1,4,1,3,2,1,3
2020년09월_계_총인구수,"55,416","14,847","2,340","2,685","1,721","18,789","2,549","2,471","1,538","2,731","3,194","1,187","1,364"
2020년09월_계_연령구간인구수,"55,416","14,847","2,340","2,685","1,721","18,789","2,549","2,471","1,538","2,731","3,194","1,187","1,364"
2020년09월_계_0~9세,"4,630",799,75,64,56,"3,245",151,53,21,50,55,25,36
2020년09월_계_10~19세,"4,351","1,235",111,85,58,"2,265",110,90,46,84,129,63,75
2020년09월_계_20~29세,"4,063","1,320",95,149,61,"1,646",218,117,54,91,199,47,66
2020년09월_계_30~39세,"5,503","1,181",80,116,81,"3,335",223,114,44,114,113,41,61
2020년09월_계_40~49세,"7,063","1,917",186,170,124,"3,472",237,202,106,205,252,88,104
2020년09월_계_50~59세,"8,081","2,506",355,430,262,"2,195",331,381,221,429,506,241,224
2020년09월_계_60~69세,"9,248","2,848",501,676,413,"1,361",446,569,386,679,726,336,307
2020년09월_계_70~79세,"6,913","1,835",502,513,347,731,425,533,351,580,649,176,271
2020년09월_계_80~89세,"4,875","1,040",390,423,288,466,350,359,278,442,504,145,190
2020년09월_계_90~99세,655,160,42,55,31,70,56,49,29,53,59,24,27
2020년09월_계_100세 이상,34,6,3,4,0,3,2,4,2,4,2,1,3
2020년09월_남_총인구수,"27,248","7,331","1,163","1,329",849,"9,240","1,254","1,202",740,"1,340","1,536",587,677
2020년09월_남_연령구간인구수,"27,248","7,331","1,163","1,329",849,"9,240","1,254","1,202",740,"1,340","1,536",587,677
2020년09월_남_0~9세,"2,369",394,44,36,28,"1,659",82,26,7,27,32,13,21
2020년09월_남_10~19세,"2,317",701,64,41,37,"1,163",58,48,28,43,65,36,33
2020년09월_남_20~29세,"2,296",771,55,102,34,860,137,64,34,52,122,24,41
2020년09월_남_30~39세,"2,771",611,43,67,42,"1,578",123,71,26,74,80,17,39
2020년09월_남_40~49세,"3,864","1,038",121,114,85,"1,734",160,137,72,140,149,53,61
2020년09월_남_50~59세,"4,217","1,235",205,231,160,"1,094",194,202,130,244,275,120,127
2020년09월_남_60~69세,"4,580","1,350",268,352,218,669,197,276,197,345,358,192,158
2020년09월_남_70~79세,"3,066",831,219,218,147,327,187,237,150,269,274,87,120
2020년09월_남_80~89세,"1,646",371,135,154,90,146,104,132,94,138,173,38,71
2020년09월_남_90~99세,119,28,9,13,8,10,12,9,2,7,8,7,6
2020년09월_남_100세 이상,3,1,0,1,0,0,0,0,0,1,0,0,0
2020년09월_여_총인구수,"28,168","7,516","1,177","1,356",872,"9,549","1,295","1,269",798,"1,391","1,658",600,687
2020년09월_여_연령구간인구수,"28,168","7,516","1,177","1,356",872,"9,549","1,295","1,269",798,"1,391","1,658",600,687
2020년09월_여_0~9세,"2,261",405,31,28,28,"1,586",69,27,14,23,23,12,15
2020년09월_여_10~19세,"2,034",534,47,44,21,"1,102",52,42,18,41,64,27,42
2020년09월_여_20~29세,"1,767",549,40,47,27,786,81,53,20,39,77,23,25
2020년09월_여_30~39세,"2,732",570,37,49,39,"1,757",100,43,18,40,33,24,22
2020년09월_여_40~49세,"3,199",879,65,56,39,"1,738",77,65,34,65,103,35,43
2020년09월_여_50~59세,"3,864","1,271",150,199,102,"1,101",137,179,91,185,231,121,97
2020년09월_여_60~69세,"4,668","1,498",233,324,195,692,249,293,189,334,368,144,149
2020년09월_여_70~79세,"3,847","1,004",283,295,200,404,238,296,201,311,375,89,151
2020년09월_여_80~89세,"3,229",669,255,269,198,320,246,227,184,304,331,107,119
2020년09월_여_90~99세,536,132,33,42,23,60,44,40,27,46,51,17,21
2020년09월_여_100세 이상,31,5,3,3,0,3,2,4,2,3,2,1,3
2020년10월_계_총인구수,"55,437","14,822","2,338","2,669","1,708","18,882","2,550","2,473","1,531","2,728","3,182","1,188","1,366"
2020년10월_계_연령구간인구수,"55,437","14,822","2,338","2,669","1,708","18,882","2,550","2,473","1,531","2,728","3,182","1,188","1,366"
2020년10월_계_0~9세,"4,625",801,74,66,55,"3,238",153,53,21,49,54,25,36
2020년10월_계_10~19세,"4,343","1,220",111,80,56,"2,276",112,90,45,87,127,62,77
2020년10월_계_20~29세,"4,076","1,317",93,144,59,"1,671",218,119,54,91,197,48,65
2020년10월_계_30~39세,"5,471","1,173",78,115,79,"3,323",223,110,44,111,112,42,61
2020년10월_계_40~49세,"7,069","1,907",184,166,123,"3,503",237,203,104,202,246,87,107
2020년10월_계_50~59세,"8,089","2,497",356,430,264,"2,217",332,377,223,429,504,241,219
2020년10월_계_60~69세,"9,289","2,851",506,675,411,"1,386",445,573,383,683,731,337,308
2020년10월_계_70~79세,"6,898","1,842",500,512,347,726,421,531,350,578,647,175,269
2020년10월_계_80~89세,"4,884","1,046",389,423,280,468,352,363,278,439,507,145,194
2020년10월_계_90~99세,659,162,44,54,34,71,55,50,27,55,55,25,27
2020년10월_계_100세 이상,34,6,3,4,0,3,2,4,2,4,2,1,3
2020년10월_남_총인구수,"27,269","7,315","1,159","1,324",843,"9,304","1,258","1,197",736,"1,338","1,530",588,677
2020년10월_남_연령구간인구수,"27,269","7,315","1,159","1,324",843,"9,304","1,258","1,197",736,"1,338","1,530",588,677
2020년10월_남_0~9세,"2,373",399,43,36,28,"1,663",80,26,7,27,31,13,20
