카테고리,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2020년02월_계_70~79세,"7,916","1,463","1,370",920,469,346,503,289,253,275,423,402,549,654
2020년02월_계_80~89세,"5,208",723,802,570,436,280,419,241,242,200,329,281,338,347
2020년02월_계_90~99세,752,86,135,96,50,49,56,27,24,25,51,50,61,42
2020년02월_계_100세 이상,43,5,7,6,4,2,3,0,1,3,3,3,4,2
2020년02월_남_총인구수,"25,992","5,628","6,740","2,520","1,101",837,"1,225",736,635,654,"1,054",996,"1,520","2,346"
2020년02월_남_연령구간인구수,"25,992","5,628","6,740","2,520","1,101",837,"1,225",736,635,654,"1,054",996,"1,520","2,346"
2020년02월_남_0~9세,"1,226",291,522,93,30,19,31,26,14,23,19,24,32,102
2020년02월_남_10~19세,"1,870",464,810,119,36,29,51,41,32,16,35,42,62,133
2020년02월_남_20~29세,"2,361",611,765,172,66,57,102,50,37,28,62,67,153,191
2020년02월_남_30~39세,"2,059",489,575,200,73,46,74,52,41,34,64,65,107,239
2020년02월_남_40~49세,"3,387",877,"1,012",324,102,89,136,67,49,68,97,90,157,319
2020년02월_남_50~59세,"4,705","1,080","1,145",471,174,153,196,117,113,116,194,189,306,451
2020년02월_남_60~69세,"4,852",902,975,523,242,174,259,168,147,147,247,244,336,488
2020년02월_남_70~79세,"3,467",617,616,385,211,157,212,131,112,135,199,177,241,274
2020년02월_남_80~89세,"1,884",277,282,211,154,102,151,78,82,83,130,81,114,139
2020년02월_남_90~99세,171,20,35,21,11,11,13,6,8,3,7,15,12,9
2020년02월_남_100세 이상,10,0,3,1,2,0,0,0,0,1,0,2,0,1
2020년02월_여_총인구수,"26,590","5,625","7,064","2,533","1,198",869,"1,373",795,666,628,"1,102","1,073","1,531","2,133"
2020년02월_여_연령구간인구수,"26,590","5,625","7,064","2,533","1,198",869,"1,373",795,666,628,"1,102","1,073","1,531","2,133"
2020년02월_여_0~9세,"1,221",307,516,82,25,19,32,33,15,13,27,25,24,103
2020년02월_여_10~19세,"1,765",453,736,112,25,35,60,34,30,12,35,42,54,137
2020년02월_여_20~29세,"1,695",451,605,148,41,34,59,33,25,11,40,44,74,130
2020년02월_여_30~39세,"1,634",420,611,137,44,27,48,30,26,27,39,37,72,116
2020년02월_여_40~49세,"2,735",759,"1,053",193,63,49,110,44,32,29,67,69,88,179
2020년02월_여_50~59세,"4,041",852,"1,102",370,149,128,186,112,90,85,159,153,276,379
2020년02월_여_60~69세,"5,112","1,020","1,063",517,270,170,273,167,130,170,265,242,358,467
2020년02월_여_70~79세,"4,449",846,754,535,258,189,291,158,141,140,224,225,308,380
2020년02월_여_80~89세,"3,324",446,520,359,282,178,268,163,160,117,199,200,224,208
2020년02월_여_90~99세,581,66,100,75,39,38,43,21,16,22,44,35,49,33
2020년02월_여_100세 이상,33,5,4,5,2,2,3,0,1,2,3,1,4,1
2020년03월_계_총인구수,"52,494","11,234","13,794","5,036","2,308","1,712","2,595","1,526","1,293","1,280","2,151","2,071","3,030","4,464"
2020년03월_계_연령구간인구수,"52,494","11,234","13,794","5,036","2,308","1,712","2,595","1,526","1,293","1,280","2,151","2,071","3,030","4,464"
2020년03월_계_0~9세,"2,422",591,"1,035",171,55,38,59,59,28,35,46,49,53,203
2020년03월_계_10~19세,"3,608",911,"1,540",226,64,59,112,75,60,29,70,85,110,267
2020년03월_계_20~29세,"4,058","1,078","1,367",320,103,93,161,82,62,37,102,109,225,319
2020년03월_계_30~39세,"3,661",897,"1,191",337,116,70,123,80,68,62,99,100,165,353
2020년03월_계_40~49세,"6,082","1,609","2,054",516,169,140,244,110,79,94,163,161,249,494
2020년03월_계_50~59세,"8,712","1,932","2,242",838,328,281,381,230,198,202,355,326,580,819
2020년03월_계_60~69세,"9,985","1,936","2,041","1,037",512,347,528,329,279,315,510,503,690,958
2020년03월_계_70~79세,"7,934","1,465","1,371",919,470,348,508,293,250,279,417,403,557,654
2020년03월_계_80~89세,"5,223",724,808,573,436,283,418,241,244,197,333,280,336,350
2020년03월_계_90~99세,766,86,138,93,51,51,58,27,24,27,53,52,61,45
2020년03월_계_100세 이상,43,5,7,6,4,2,3,0,1,3,3,3,4,2
2020년03월_남_총인구수,"25,952","5,623","6,740","2,511","1,106",840,"1,220",732,630,654,"1,049","1,001","1,508","2,338"
2020년03월_남_연령구간인구수,"25,952","5,623","6,740","2,511","1,106",840,"1,220",732,630,654,"1,049","1,001","1,508","2,338"
2020년03월_남_0~9세,"1,214",289,522,90,30,19,28,26,13,23,18,24,31,101
2020년03월_남_10~19세,"1,860",462,807,117,38,27,52,41,31,16,36,43,58,132
2020년03월_남_20~29세,"2,367",625,765,174,65,57,98,48,37,27,62,68,151,190
2020년03월_남_30~39세,"2,039",480,578,200,70,44,76,52,42,34,61,63,102,237
2020년03월_남_40~49세,"3,367",861,"1,000",323,107,92,134,66,47,66,97,93,158,323
2020년03월_남_50~59세,"4,676","1,080","1,149",471,174,152,198,116,108,116,193,182,301,436
2020년03월_남_60~69세,"4,875",910,980,522,241,176,254,166,149,148,246,254,337,492
2020년03월_남_70~79세,"3,485",617,619,385,212,159,216,133,111,137,199,176,247,274
2020년03월_남_80~89세,"1,886",278,282,209,155,103,150,78,84,83,129,81,111,143
2020년03월_남_90~99세,173,21,35,19,12,11,14,6,8,3,8,15,12,9
2020년03월_남_100세 이상,10,0,3,1,2,0,0,0,0,1,0,2,0,1
2020년03월_여_총인구수,"26,542","5,611","7,054","2,525","1,202",872,"1,375",794,663,626,"1,102","1,070","1,522","2,126"
2020년03월_여_연령구간인구수,"26,542","5,611","7,054","2,525","1,202",872,"1,375",794,663,626,"1,102","1,070","1,522","2,126"
2020년03월_여_0~9세,"1,208",302,513,81,25,19,31,33,15,12,28,25,22,102
2020년03월_여_10~19세,"1,748",449,733,109,26,32,60,34,29,13,34,42,52,135
2020년03월_여_20~29세,"1,691",453,602,146,38,36,63,34,25,10,40,41,74,129
2020년03월_여_30~39세,"1,622",417,613,137,46,26,47,28,26,28,38,37,63,116
2020년03월_여_40~49세,"2,715",748,"1,054",193,62,48,110,44,32,28,66,68,91,171
2020년03월_여_50~59세,"4,036",852,"1,093",367,154,129,183,114,90,86,162,144,279,383
2020년03월_여_60~69세,"5,110","1,026","1,061",515,271,171,274,163,130,167,264,249,353,466
2020년03월_여_70~79세,"4,449",848,752,534,258,189,292,160,139,142,218,227,310,380
2020년03월_여_80~89세,"3,337",446,526,364,281,180,268,163,160,114,204,199,225,207
2020년03월_여_90~99세,593,65,103,74,39,40,44,21,16,24,45,37,49,36
2020년03월_여_100세 이상,33,5,4,5,2,2,3,0,1,2,3,1,4,1
2020년04월_계_총인구수,"52,374","11,192","13,798","5,035","2,301","1,701","2,578","1,527","1,288","1,281","2,140","2,065","3,019","4,449"
2020년04월_계_연령구간인구수,"52,374","11,192","13,798","5,035","2,301","1,701","2,578","1,527","1,288","1,281","2,140","2,065","3,019","4,449"
2020년04월_계_0~9세,"2,421",591,"1,032",176,57,39,56,60,29,33,46,48,52,202
2020년04월_계_10~19세,"3,584",905,"1,537",223,62,58,112,72,60,31,70,85,106,263
2020년04월_계_20~29세,"4,030","1,072","1,367",318,104,94,159,83,60,38,99,105,222,309
2020년04월_계_30~39세,"3,632",890,"1,188",332,117,69,117,79,68,58,100,101,164,349
2020년04월_계_40~49세,"6,059","1,599","2,050",516,169,139,239,110,79,98,161,156,247,496
2020년04월_계_50~59세,"8,665","1,922","2,242",833,319,273,379,228,198,200,347,323,580,821
2020년04월_계_60~69세,"9,971","1,930","2,038","1,039",511,346,526,334,275,312,509,500,689,962
2020년04월_계_70~79세,"7,963","1,474","1,381",923,469,344,516,292,251,277,423,406,554,653
2020년04월_계_80~89세,"5,231",715,816,579,435,286,412,242,242,203,331,284,339,347
2020년04월_계_90~99세,775,89,139,91,54,51,59,27,25,28,51,54,62,45
2020년04월_계_100세 이상,43,5,8,5,4,2,3,0,1,3,3,3,4,2
2020년04월_남_총인구수,"25,898","5,599","6,736","2,518","1,102",836,"1,210",735,630,652,"1,048","1,000","1,498","2,334"
2020년04월_남_연령구간인구수,"25,898","5,599","6,736","2,518","1,102",836,"1,210",735,630,652,"1,048","1,000","1,498","2,334"
2020년04월_남_0~9세,"1,213",287,522,93,31,19,26,27,14,22,17,24,31,100
2020년04월_남_10~19세,"1,851",460,805,117,38,26,52,38,32,17,36,42,57,131
2020년04월_남_20~29세,"2,350",622,769,172,65,59,96,51,34,27,61,67,146,181
2020년04월_남_30~39세,"2,030",477,577,202,70,43,73,51,43,32,62,64,100,236
2020년04월_남_40~49세,"3,350",857,993,320,109,93,131,66,46,67,97,90,155,326
2020년04월_남_50~59세,"4,654","1,075","1,146",470,169,146,196,116,108,116,188,183,302,439
2020년04월_남_60~69세,"4,882",910,977,527,239,178,256,170,148,146,249,251,337,494
2020년04월_남_70~79세,"3,501",618,624,388,214,157,218,133,112,135,202,181,247,272
2020년04월_남_80~89세,"1,882",272,285,210,153,104,147,77,84,86,128,81,111,144
2020년04월_남_90~99세,175,21,35,18,12,11,15,6,9,3,8,15,12,10
2020년04월_남_100세 이상,10,0,3,1,2,0,0,0,0,1,0,2,0,1
2020년04월_여_총인구수,"26,476","5,593","7,062","2,517","1,199",865,"1,368",792,658,629,"1,092","1,065","1,521","2,115"
2020년04월_여_연령구간인구수,"26,476","5,593","7,062","2,517","1,199",865,"1,368",792,658,629,"1,092","1,065","1,521","2,115"
2020년04월_여_0~9세,"1,208",304,510,83,26,20,30,33,15,11,29,24,21,102
2020년04월_여_10~19세,"1,733",445,732,106,24,32,60,34,28,14,34,43,49,132
2020년04월_여_20~29세,"1,680",450,598,146,39,35,63,32,26,11,38,38,76,128
2020년04월_여_30~39세,"1,602",413,611,130,47,26,44,28,25,26,38,37,64,113
2020년04월_여_40~49세,"2,709",742,"1,057",196,60,46,108,44,33,31,64,66,92,170
2020년04월_여_50~59세,"4,011",847,"1,096",363,150,127,183,112,90,84,159,140,278,382
2020년04월_여_60~69세,"5,089","1,020","1,061",512,272,168,270,164,127,166,260,249,352,468
2020년04월_여_70~79세,"4,462",856,757,535,255,187,298,159,139,142,221,225,307,381
2020년04월_여_80~89세,"3,349",443,531,369,282,182,265,165,158,117,203,203,228,203
2020년04월_여_90~99세,600,68,104,73,42,40,44,21,16,25,43,39,50,35
2020년04월_여_100세 이상,33,5,5,4,2,2,3,0,1,2,3,1,4,1
2020년05월_계_총인구수,"52,247","11,137","13,785","5,011","2,302","1,693","2,585","1,529","1,287","1,277","2,124","2,063","3,017","4,437"
2020년05월_계_연령구간인구수,"52,247","11,137","13,785","5,011","2,302","1,693","2,585","1,529","1,287","1,277","2,124","2,063","3,017","4,437"
2020년05월_계_0~9세,"2,414",588,"1,029",176,58,37,59,59,29,33,41,48,53,204
2020년05월_계_10~19세,"3,548",888,"1,521",216,62,58,115,71,60,31,71,85,108,262
2020년05월_계_20~29세,"4,007","1,066","1,369",320,100,91,154,85,57,37,97,107,214,310
2020년05월_계_30~39세,"3,599",885,"1,175",322,121,66,119,79,69,61,95,100,165,342
2020년05월_계_40~49세,"6,009","1,579","2,050",508,171,139,239,109,78,95,155,153,251,482
2020년05월_계_50~59세,"8,624","1,917","2,250",822,311,266,378,228,196,197,342,320,574,823
2020년05월_계_60~69세,"9,985","1,933","2,038","1,039",511,353,522,336,275,309,510,500,695,964
2020년05월_계_70~79세,"7,983","1,469","1,389",932,471,344,519,294,250,280,424,404,553,654
2020년05월_계_80~89세,"5,250",718,818,579,435,288,415,239,245,204,333,289,337,350
2020년05월_계_90~99세,785,89,138,92,58,50,62,28,27,27,53,54,63,44
2020년05월_계_100세 이상,43,5,8,5,4,1,3,1,1,3,3,3,4,2
2020년05월_남_총인구수,"25,843","5,580","6,734","2,501","1,109",833,"1,212",737,630,650,"1,038",999,"1,495","2,325"
2020년05월_남_연령구간인구수,"25,843","5,580","6,734","2,501","1,109",833,"1,212",737,630,650,"1,038",999,"1,495","2,325"
2020년05월_남_0~9세,"1,210",284,522,93,32,18,27,27,14,22,15,24,32,100
2020년05월_남_10~19세,"1,835",457,797,112,38,26,53,37,32,17,35,42,58,131
2020년05월_남_20~29세,"2,342",621,770,170,64,57,91,52,34,27,61,69,141,185
2020년05월_남_30~39세,"2,013",476,569,196,75,41,74,51,43,33,61,64,100,230
2020년05월_남_40~49세,"3,311",839,996,315,109,94,131,65,46,66,91,86,155,318
2020년05월_남_50~59세,"4,638","1,075","1,150",466,165,143,196,117,108,115,186,183,297,437
2020년05월_남_60~69세,"4,898",914,980,525,240,181,258,172,148,144,249,250,339,498
2020년05월_남_70~79세,"3,521",620,625,395,218,159,219,134,110,136,204,181,250,270
2020년05월_남_80~89세,"1,885",271,289,210,152,103,146,76,85,86,128,83,111,145
2020년05월_남_90~99세,180,23,33,18,14,11,17,6,10,3,8,15,12,10
2020년05월_남_100세 이상,10,0,3,1,2,0,0,0,0,1,0,2,0,1
2020년05월_여_총인구수,"26,404","5,557","7,051","2,510","1,193",860,"1,373",792,657,627,"1,086","1,064","1,522","2,112"
2020년05월_여_연령구간인구수,"26,404","5,557","7,051","2,510","1,193",860,"1,373",792,657,627,"1,086","1,064","1,522","2,112"
2020년05월_여_0~9세,"1,204",304,507,83,26,19,32,32,15,11,26,24,21,104
2020년05월_여_10~19세,"1,713",431,724,104,24,32,62,34,28,14,36,43,50,131
2020년05월_여_20~29세,"1,665",445,599,150,36,34,63,33,23,10,36,38,73,125
2020년05월_여_30~39세,"1,586",409,606,126,46,25,45,28,26,28,34,36,65,112
2020년05월_여_40~49세,"2,698",740,"1,054",193,62,45,108,44,32,29,64,67,96,164
2020년05월_여_50~59세,"3,986",842,"1,100",356,146,123,182,111,88,82,156,137,277,386
2020년05월_여_60~69세,"5,087","1,019","1,058",514,271,172,264,164,127,165,261,250,356,466
2020년05월_여_70~79세,"4,462",849,764,537,253,185,300,160,140,144,220,223,303,384
2020년05월_여_80~89세,"3,365",447,529,369,283,185,269,163,160,118,205,206,226,205
2020년05월_여_90~99세,605,66,105,74,44,39,45,22,17,24,45,39,51,34
2020년05월_여_100세 이상,33,5,5,4,2,1,3,1,1,2,3,1,4,1
2020년06월_계_총인구수,"52,209","11,103","13,850","4,983","2,311","1,692","2,565","1,523","1,283","1,280","2,130","2,051","3,009","4,429"
2020년06월_계_연령구간인구수,"52,209","11,103","13,850","4,983","2,311","1,692","2,565","1,523","1,283","1,280","2,130","2,051","3,009","4,429"
2020년06월_계_0~9세,"2,397",574,"1,038",170,58,35,58,58,27,32,41,49,54,203
2020년06월_계_10~19세,"3,537",882,"1,528",219,63,61,113,69,59,29,71,81,103,259
2020년06월_계_20~29세,"3,979","1,058","1,371",309,99,90,150,84,58,39,100,105,216,300
2020년06월_계_30~39세,"3,593",881,"1,183",320,125,64,113,79,67,60,96,104,166,335
2020년06월_계_40~49세,"5,980","1,561","2,047",503,167,143,238,107,77,98,154,150,252,483
2020년06월_계_50~59세,"8,610","1,919","2,273",819,313,262,372,224,192,194,337,316,564,825
2020년06월_계_60~69세,"10,053","1,947","2,055","1,044",520,356,521,341,279,312,520,499,691,968
2020년06월_계_70~79세,"8,004","1,466","1,392",934,473,342,519,296,251,283,425,400,561,662
2020년06월_계_80~89세,"5,231",721,817,570,432,288,415,235,243,204,331,292,334,349
2020년06월_계_90~99세,781,89,137,90,57,50,63,29,29,26,52,52,64,43
2020년06월_계_100세 이상,44,5,9,5,4,1,3,1,1,3,3,3,4,2
2020년06월_남_총인구수,"25,829","5,568","6,766","2,482","1,120",830,"1,199",731,628,654,"1,038",996,"1,492","2,325"
2020년06월_남_연령구간인구수,"25,829","5,568","6,766","2,482","1,120",830,"1,199",731,628,654,"1,038",996,"1,492","2,325"
2020년06월_남_0~9세,"1,193",274,522,90,34,16,25,26,14,21,15,24,32,100
2020년06월_남_10~19세,"1,829",460,796,112,38,29,51,36,31,17,35,40,55,129
2020년06월_남_20~29세,"2,330",617,769,163,64,56,88,52,35,27,61,70,145,183
2020년06월_남_30~39세,"2,010",472,578,194,78,39,69,50,43,32,62,65,102,226
2020년06월_남_40~49세,"3,294",825,998,312,108,97,130,63,44,69,92,84,155,317
2020년06월_남_50~59세,"4,639","1,079","1,158",466,164,140,196,118,107,115,179,184,293,440
2020년06월_남_60~69세,"4,928",921,993,526,249,180,253,173,149,147,254,249,332,502
2020년06월_남_70~79세,"3,534",621,625,395,217,159,224,134,110,136,205,180,255,273
2020년06월_남_80~89세,"1,880",276,290,205,153,103,145,72,84,86,127,84,111,144
2020년06월_남_90~99세,182,23,34,18,13,11,18,7,11,3,8,14,12,10
2020년06월_남_100세 이상,10,0,3,1,2,0,0,0,0,1,0,2,0,1
2020년06월_여_총인구수,"26,380","5,535","7,084","2,501","1,191",862,"1,366",792,655,626,"1,092","1,055","1,517","2,104"
2020년06월_여_연령구간인구수,"26,380","5,535","7,084","2,501","1,191",862,"1,366",792,655,626,"1,092","1,055","1,517","2,104"
2020년06월_여_0~9세,"1,204",300,516,80,24,19,33,32,13,11,26,25,22,103
2020년06월_여_10~19세,"1,708",422,732,107,25,32,62,33,28,12,36,41,48,130
2020년06월_여_20~29세,"1,649",441,602,146,35,34,62,32,23,12,39,35,71,117
2020년06월_여_30~39세,"1,583",409,605,126,47,25,44,29,24,28,34,39,64,109
2020년06월_여_40~49세,"2,686",736,"1,049",191,59,46,108,44,33,29,62,66,97,166
2020년06월_여_50~59세,"3,971",840,"1,115",353,149,122,176,106,85,79,158,132,271,385
2020년06월_여_60~69세,"5,125","1,026","1,062",518,271,176,268,168,130,165,266,250,359,466
2020년06월_여_70~79세,"4,470",845,767,539,256,183,295,162,141,147,220,220,306,389
2020년06월_여_80~89세,"3,351",445,527,365,279,185,270,163,159,118,204,208,223,205
2020년06월_여_90~99세,599,66,103,72,44,39,45,22,18,23,44,38,52,33
2020년06월_여_100세 이상,34,5,6,4,2,1,3,1,1,2,3,1,4,1
2020년07월_계_총인구수,"52,223","11,113","13,840","4,987","2,316","1,692","2,567","1,518","1,285","1,284","2,132","2,047","3,009","4,433"
2020년07월_계_연령구간인구수,"52,223","11,113","13,840","4,987","2,316","1,692","2,567","1,518","1,285","1,284","2,132","2,047","3,009","4,433"
2020년07월_계_0~9세,"2,393",574,"1,039",173,59,34,57,56,27,34,42,46,52,200
2020년07월_계_10~19세,"3,537",882,"1,523",219,63,58,115,71,58,29,70,84,107,258
2020년07월_계_20~29세,"3,950","1,053","1,370",305,99,89,146,83,57,36,97,102,212,301
2020년07월_계_30~39세,"3,549",880,"1,161",318,121,64,114,76,66,58,90,105,164,332
2020년07월_계_40~49세,"5,987","1,567","2,032",506,170,141,238,105,77,100,157,151,248,495
2020년07월_계_50~59세,"8,624","1,926","2,283",819,315,263,368,225,189,197,344,314,563,818
2020년07월_계_60~69세,"10,076","1,942","2,068","1,044",518,358,529,340,286,311,518,495,694,973
2020년07월_계_70~79세,"8,032","1,471","1,396",936,476,346,517,294,251,288,427,402,566,662
2020년07월_계_80~89세,"5,236",725,821,571,433,286,414,237,243,202,332,291,332,349
2020년07월_계_90~99세,796,88,138,91,58,52,66,30,30,27,52,54,67,43
2020년07월_계_100세 이상,43,5,9,5,4,1,3,1,1,2,3,3,4,2
2020년07월_남_총인구수,"25,834","5,577","6,756","2,493","1,120",831,"1,202",727,627,657,"1,037",990,"1,487","2,330"
2020년07월_남_연령구간인구수,"25,834","5,577","6,756","2,493","1,120",831,"1,202",727,627,657,"1,037",990,"1,487","2,330"
2020년07월_남_0~9세,"1,187",274,519,92,34,15,24,25,14,22,16,23,30,99
2020년07월_남_10~19세,"1,829",460,794,112,38,28,53,37,31,17,36,41,55,127
2020년07월_남_20~29세,"2,324",617,772,163,64,56,85,52,34,27,58,67,145,184
2020년07월_남_30~39세,"1,990",468,570,195,75,39,69,47,43,31,60,66,103,224
2020년07월_남_40~49세,"3,280",828,978,312,108,96,133,61,44,69,92,83,150,326
2020년07월_남_50~59세,"4,657","1,081","1,165",470,165,141,194,120,106,117,182,183,292,441
2020년07월_남_60~69세,"4,937",927,"1,002",524,251,180,255,171,151,146,252,246,332,500
2020년07월_남_70~79세,"3,559",623,627,400,218,160,225,135,110,140,207,181,258,275
2020년07월_남_80~89세,"1,878",275,292,206,152,105,146,72,83,85,126,84,109,143
2020년07월_남_90~99세,184,24,34,18,13,11,18,7,11,3,8,14,13,10
2020년07월_남_100세 이상,9,0,3,1,2,0,0,0,0,0,0,2,0,1
2020년07월_여_총인구수,"26,389","5,536","7,084","2,494","1,196",861,"1,365",791,658,627,"1,095","1,057","1,522","2,103"
2020년07월_여_연령구간인구수,"26,389","5,536","7,084","2,494","1,196",861,"1,365",791,658,627,"1,095","1,057","1,522","2,103"
2020년07월_여_0~9세,"1,206",300,520,81,25,19,33,31,13,12,26,23,22,101
2020년07월_여_10~19세,"1,708",422,729,107,25,30,62,34,27,12,34,43,52,131
2020년07월_여_20~29세,"1,626",436,598,142,35,33,61,31,23,9,39,35,67,117
2020년07월_여_30~39세,"1,559",412,591,123,46,25,45,29,23,27,30,39,61,108
2020년07월_여_40~49세,"2,707",739,"1,054",194,62,45,105,44,33,31,65,68,98,169
2020년07월_여_50~59세,"3,967",845,"1,118",349,150,122,174,105,83,80,162,131,271,377
2020년07월_여_60~69세,"5,139","1,015","1,066",520,267,178,274,169,135,165,266,249,362,473
2020년07월_여_70~79세,"4,473",848,769,536,258,186,292,159,141,148,220,221,308,387
2020년07월_여_80~89세,"3,358",450,529,365,281,181,268,165,160,117,206,207,223,206
2020년07월_여_90~99세,612,64,104,73,45,41,48,23,19,24,44,40,54,33
2020년07월_여_100세 이상,34,5,6,4,2,1,3,1,1,2,3,1,4,1
2020년08월_계_총인구수,"52,137","11,108","13,812","4,988","2,311","1,682","2,561","1,519","1,289","1,285","2,123","2,039","2,998","4,422"
2020년08월_계_연령구간인구수,"52,137","11,108","13,812","4,988","2,311","1,682","2,561","1,519","1,289","1,285","2,123","2,039","2,998","4,422"
2020년08월_계_0~9세,"2,369",562,"1,030",170,58,33,59,59,27,35,39,45,53,199
2020년08월_계_10~19세,"3,529",882,"1,522",221,61,56,114,71,59,27,70,84,103,259
2020년08월_계_20~29세,"3,927","1,050","1,362",302,97,92,143,79,60,37,95,99,213,298
2020년08월_계_30~39세,"3,537",873,"1,155",321,116,63,114,80,64,58,92,103,164,334
