카테고리,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2020년04월_계_80~89세,"3,635",784,253,481,294,236,287,280,489,307,224
2020년04월_계_90~99세,487,111,41,68,45,18,38,34,56,41,35
2020년04월_계_100세 이상,29,1,1,0,3,6,4,5,2,5,2
2020년04월_남_총인구수,"45,698","15,000","2,301","10,191","2,600","2,674","1,857","1,580","6,058","1,877","1,560"
2020년04월_남_연령구간인구수,"45,698","15,000","2,301","10,191","2,600","2,674","1,857","1,580","6,058","1,877","1,560"
2020년04월_남_0~9세,"3,495","1,472",86,839,114,165,67,57,541,90,64
2020년04월_남_10~19세,"4,681","1,655",157,"1,457",191,237,99,93,572,110,110
2020년04월_남_20~29세,"5,441","1,913",416,"1,284",271,286,171,101,685,170,144
2020년04월_남_30~39세,"4,961","1,853",199,"1,089",230,267,162,118,739,175,129
2020년04월_남_40~49세,"7,702","2,537",325,"1,901",409,432,281,258,"1,061",280,218
2020년04월_남_50~59세,"8,038","2,391",414,"1,889",456,526,313,278,"1,081",350,340
2020년04월_남_60~69세,"6,387","2,017",359,"1,005",510,386,358,316,795,338,303
2020년04월_남_70~79세,"3,586",871,230,534,311,281,296,229,416,243,175
2020년04월_남_80~89세,"1,296",267,106,180,98,88,98,117,162,109,71
2020년04월_남_90~99세,102,24,8,13,8,5,11,13,6,9,5
2020년04월_남_100세 이상,9,0,1,0,2,1,1,0,0,3,1
2020년04월_여_총인구수,"44,535","15,204","1,921","9,537","2,719","2,598","1,835","1,628","5,770","1,864","1,459"
2020년04월_여_연령구간인구수,"44,535","15,204","1,921","9,537","2,719","2,598","1,835","1,628","5,770","1,864","1,459"
2020년04월_여_0~9세,"3,294","1,398",96,780,95,164,64,40,498,101,58
2020년04월_여_10~19세,"4,274","1,627",121,"1,237",185,209,85,81,543,90,96
2020년04월_여_20~29세,"3,856","1,403",178,894,225,208,112,94,530,119,93
2020년04월_여_30~39세,"4,476","1,800",139,"1,007",194,214,104,89,672,157,100
2020년04월_여_40~49세,"7,043","2,621",249,"1,934",326,331,179,164,896,200,143
2020년04월_여_50~59세,"7,579","2,621",325,"1,636",502,463,291,236,967,305,233
2020년04월_여_60~69세,"6,862","2,127",369,"1,060",564,479,451,366,799,350,297
2020년04월_여_70~79세,"4,407","1,002",264,633,394,364,330,369,486,310,255
2020년04월_여_80~89세,"2,339",517,147,301,196,148,189,163,327,198,153
2020년04월_여_90~99세,385,87,33,55,37,13,27,21,50,32,30
2020년04월_여_100세 이상,20,1,0,0,1,5,3,5,2,2,1
2020년05월_계_총인구수,"90,366","30,468","4,186","19,620","5,325","5,224","3,652","3,199","11,961","3,720","3,011"
2020년05월_계_연령구간인구수,"90,366","30,468","4,186","19,620","5,325","5,224","3,652","3,199","11,961","3,720","3,011"
2020년05월_계_0~9세,"6,794","2,898",181,"1,589",211,321,125,98,"1,065",188,118
2020년05월_계_10~19세,"8,909","3,278",275,"2,667",376,446,173,170,"1,125",199,200
2020년05월_계_20~29세,"9,335","3,351",591,"2,173",494,487,283,196,"1,237",288,235
2020년05월_계_30~39세,"9,454","3,724",332,"2,065",425,471,252,205,"1,432",324,224
2020년05월_계_40~49세,"14,732","5,191",561,"3,799",738,758,456,423,"1,976",472,358
2020년05월_계_50~59세,"15,637","5,051",730,"3,515",949,979,613,510,"2,063",654,573
2020년05월_계_60~69세,"13,301","4,188",724,"2,078","1,083",852,799,681,"1,602",691,603
2020년05월_계_70~79세,"8,016","1,878",498,"1,180",707,644,621,595,908,548,437
2020년05월_계_80~89세,"3,665",796,250,484,294,242,287,283,492,311,226
2020년05월_계_90~99세,494,112,43,70,45,18,39,33,59,40,35
2020년05월_계_100세 이상,29,1,1,0,3,6,4,5,2,5,2
2020년05월_남_총인구수,"45,769","15,142","2,280","10,140","2,603","2,651","1,837","1,578","6,111","1,867","1,560"
2020년05월_남_연령구간인구수,"45,769","15,142","2,280","10,140","2,603","2,651","1,837","1,578","6,111","1,867","1,560"
2020년05월_남_0~9세,"3,495","1,491",85,828,114,157,62,57,554,86,61
2020년05월_남_10~19세,"4,651","1,651",157,"1,442",187,237,92,92,574,111,108
2020년05월_남_20~29세,"5,462","1,930",410,"1,279",276,281,172,103,697,171,143
2020년05월_남_30~39세,"4,984","1,909",199,"1,072",231,261,153,117,744,171,127
2020년05월_남_40~49세,"7,679","2,546",316,"1,884",407,432,279,257,"1,067",275,216
2020년05월_남_50~59세,"8,059","2,414",410,"1,887",453,520,321,277,"1,086",349,342
2020년05월_남_60~69세,"6,407","2,035",355,"1,008",514,383,354,316,797,340,305
2020년05월_남_70~79세,"3,613",871,234,546,313,284,292,228,423,242,180
2020년05월_남_80~89세,"1,306",271,104,180,99,90,98,118,163,111,72
2020년05월_남_90~99세,104,24,9,14,7,5,13,13,6,8,5
2020년05월_남_100세 이상,9,0,1,0,2,1,1,0,0,3,1
2020년05월_여_총인구수,"44,597","15,326","1,906","9,480","2,722","2,573","1,815","1,621","5,850","1,853","1,451"
2020년05월_여_연령구간인구수,"44,597","15,326","1,906","9,480","2,722","2,573","1,815","1,621","5,850","1,853","1,451"
2020년05월_여_0~9세,"3,299","1,407",96,761,97,164,63,41,511,102,57
2020년05월_여_10~19세,"4,258","1,627",118,"1,225",189,209,81,78,551,88,92
2020년05월_여_20~29세,"3,873","1,421",181,894,218,206,111,93,540,117,92
2020년05월_여_30~39세,"4,470","1,815",133,993,194,210,99,88,688,153,97
2020년05월_여_40~49세,"7,053","2,645",245,"1,915",331,326,177,166,909,197,142
2020년05월_여_50~59세,"7,578","2,637",320,"1,628",496,459,292,233,977,305,231
2020년05월_여_60~69세,"6,894","2,153",369,"1,070",569,469,445,365,805,351,298
2020년05월_여_70~79세,"4,403","1,007",264,634,394,360,329,367,485,306,257
2020년05월_여_80~89세,"2,359",525,146,304,195,152,189,165,329,200,154
2020년05월_여_90~99세,390,88,34,56,38,13,26,20,53,32,30
2020년05월_여_100세 이상,20,1,0,0,1,5,3,5,2,2,1
2020년06월_계_총인구수,"90,454","30,697","4,160","19,470","5,273","5,219","3,638","3,187","12,095","3,724","2,991"
2020년06월_계_연령구간인구수,"90,454","30,697","4,160","19,470","5,273","5,219","3,638","3,187","12,095","3,724","2,991"
2020년06월_계_0~9세,"6,782","2,921",181,"1,549",205,322,119,96,"1,091",185,113
2020년06월_계_10~19세,"8,871","3,289",269,"2,638",373,443,167,166,"1,126",200,200
2020년06월_계_20~29세,"9,323","3,374",579,"2,155",484,486,283,195,"1,252",283,232
2020년06월_계_30~39세,"9,451","3,771",327,"2,029",409,470,249,205,"1,449",322,220
2020년06월_계_40~49세,"14,747","5,217",553,"3,776",734,763,455,418,"2,007",476,348
2020년06월_계_50~59세,"15,627","5,092",735,"3,498",936,967,609,500,"2,068",647,575
2020년06월_계_60~69세,"13,406","4,222",725,"2,089","1,090",852,800,688,"1,632",703,605
2020년06월_계_70~79세,"8,051","1,892",494,"1,188",706,648,625,595,914,553,436
2020년06월_계_80~89세,"3,666",805,252,479,290,243,285,285,493,310,224
2020년06월_계_90~99세,500,113,44,69,42,19,42,34,61,40,36
2020년06월_계_100세 이상,30,1,1,0,4,6,4,5,2,5,2
2020년06월_남_총인구수,"45,832","15,248","2,261","10,076","2,581","2,647","1,832","1,573","6,199","1,867","1,548"
2020년06월_남_연령구간인구수,"45,832","15,248","2,261","10,076","2,581","2,647","1,832","1,573","6,199","1,867","1,548"
2020년06월_남_0~9세,"3,493","1,505",85,809,112,158,59,56,565,85,59
2020년06월_남_10~19세,"4,632","1,648",154,"1,432",190,235,86,90,578,111,108
2020년06월_남_20~29세,"5,476","1,942",401,"1,282",270,282,177,103,709,168,142
2020년06월_남_30~39세,"4,976","1,939",194,"1,048",220,259,150,116,756,169,125
2020년06월_남_40~49세,"7,690","2,556",313,"1,872",405,437,280,254,"1,089",276,208
2020년06월_남_50~59세,"8,063","2,435",412,"1,880",448,513,321,275,"1,092",345,342
2020년06월_남_60~69세,"6,457","2,054",356,"1,010",518,382,354,315,815,346,307
2020년06월_남_70~79세,"3,623",868,232,550,312,287,295,231,424,245,179
2020년06월_남_80~89세,"1,308",277,104,179,97,88,96,120,164,111,72
2020년06월_남_90~99세,105,24,9,14,7,5,13,13,7,8,5
2020년06월_남_100세 이상,9,0,1,0,2,1,1,0,0,3,1
2020년06월_여_총인구수,"44,622","15,449","1,899","9,394","2,692","2,572","1,806","1,614","5,896","1,857","1,443"
2020년06월_여_연령구간인구수,"44,622","15,449","1,899","9,394","2,692","2,572","1,806","1,614","5,896","1,857","1,443"
2020년06월_여_0~9세,"3,289","1,416",96,740,93,164,60,40,526,100,54
2020년06월_여_10~19세,"4,239","1,641",115,"1,206",183,208,81,76,548,89,92
2020년06월_여_20~29세,"3,847","1,432",178,873,214,204,106,92,543,115,90
2020년06월_여_30~39세,"4,475","1,832",133,981,189,211,99,89,693,153,95
2020년06월_여_40~49세,"7,057","2,661",240,"1,904",329,326,175,164,918,200,140
2020년06월_여_50~59세,"7,564","2,657",323,"1,618",488,454,288,225,976,302,233
2020년06월_여_60~69세,"6,949","2,168",369,"1,079",572,470,446,373,817,357,298
2020년06월_여_70~79세,"4,428","1,024",262,638,394,361,330,364,490,308,257
2020년06월_여_80~89세,"2,358",528,148,300,193,155,189,165,329,199,152
2020년06월_여_90~99세,395,89,35,55,35,14,29,21,54,32,31
2020년06월_여_100세 이상,21,1,0,0,2,5,3,5,2,2,1
2020년07월_계_총인구수,"90,481","30,790","4,127","19,467","5,237","5,208","3,622","3,183","12,143","3,729","2,975"
2020년07월_계_연령구간인구수,"90,481","30,790","4,127","19,467","5,237","5,208","3,622","3,183","12,143","3,729","2,975"
2020년07월_계_0~9세,"6,758","2,911",181,"1,552",197,319,115,96,"1,090",185,112
2020년07월_계_10~19세,"8,864","3,307",264,"2,624",365,447,168,164,"1,129",199,197
2020년07월_계_20~29세,"9,326","3,366",575,"2,176",476,483,286,196,"1,260",281,227
2020년07월_계_30~39세,"9,427","3,797",315,"2,017",394,467,250,200,"1,445",324,218
2020년07월_계_40~49세,"14,712","5,227",551,"3,752",733,761,439,412,"2,020",470,347
2020년07월_계_50~59세,"15,617","5,085",726,"3,496",942,960,612,502,"2,072",652,570
2020년07월_계_60~69세,"13,505","4,278",727,"2,113","1,095",847,794,693,"1,647",705,606
2020년07월_계_70~79세,"8,065","1,896",492,"1,191",700,655,628,590,920,558,435
2020년07월_계_80~89세,"3,670",807,251,478,287,244,284,291,495,308,225
2020년07월_계_90~99세,507,115,44,68,44,19,42,34,63,42,36
2020년07월_계_100세 이상,30,1,1,0,4,6,4,5,2,5,2
2020년07월_남_총인구수,"45,847","15,294","2,247","10,064","2,564","2,638","1,829","1,569","6,229","1,868","1,545"
2020년07월_남_연령구간인구수,"45,847","15,294","2,247","10,064","2,564","2,638","1,829","1,569","6,229","1,868","1,545"
2020년07월_남_0~9세,"3,488","1,506",84,810,110,157,55,55,567,86,58
2020년07월_남_10~19세,"4,634","1,656",153,"1,425",188,237,88,90,583,108,106
2020년07월_남_20~29세,"5,466","1,934",398,"1,295",262,279,181,102,707,167,141
2020년07월_남_30~39세,"4,967","1,956",187,"1,041",210,257,152,114,752,173,125
2020년07월_남_40~49세,"7,676","2,567",314,"1,851",404,431,273,251,"1,104",270,211
2020년07월_남_50~59세,"8,064","2,428",411,"1,876",454,512,322,278,"1,094",350,339
2020년07월_남_60~69세,"6,499","2,076",357,"1,019",519,381,352,316,824,346,309
2020년07월_남_70~79세,"3,633",868,230,556,311,290,297,229,426,248,178
2020년07월_남_80~89세,"1,306",279,103,178,96,88,95,121,165,109,72
2020년07월_남_90~99세,105,24,9,13,8,5,13,13,7,8,5
2020년07월_남_100세 이상,9,0,1,0,2,1,1,0,0,3,1
2020년07월_여_총인구수,"44,634","15,496","1,880","9,403","2,673","2,570","1,793","1,614","5,914","1,861","1,430"
2020년07월_여_연령구간인구수,"44,634","15,496","1,880","9,403","2,673","2,570","1,793","1,614","5,914","1,861","1,430"
2020년07월_여_0~9세,"3,270","1,405",97,742,87,162,60,41,523,99,54
2020년07월_여_10~19세,"4,230","1,651",111,"1,199",177,210,80,74,546,91,91
2020년07월_여_20~29세,"3,860","1,432",177,881,214,204,105,94,553,114,86
2020년07월_여_30~39세,"4,460","1,841",128,976,184,210,98,86,693,151,93
2020년07월_여_40~49세,"7,036","2,660",237,"1,901",329,330,166,161,916,200,136
2020년07월_여_50~59세,"7,553","2,657",315,"1,620",488,448,290,224,978,302,231
2020년07월_여_60~69세,"7,006","2,202",370,"1,094",576,466,442,377,823,359,297
2020년07월_여_70~79세,"4,432","1,028",262,635,389,365,331,361,494,310,257
2020년07월_여_80~89세,"2,364",528,148,300,191,156,189,170,330,199,153
2020년07월_여_90~99세,402,91,35,55,36,14,29,21,56,34,31
2020년07월_여_100세 이상,21,1,0,0,2,5,3,5,2,2,1
2020년08월_계_총인구수,"90,548","30,858","4,124","19,452","5,187","5,253","3,612","3,193","12,209","3,696","2,964"
2020년08월_계_연령구간인구수,"90,548","30,858","4,124","19,452","5,187","5,253","3,612","3,193","12,209","3,696","2,964"
2020년08월_계_0~9세,"6,758","2,905",181,"1,544",194,314,117,100,"1,107",185,111
2020년08월_계_10~19세,"8,839","3,297",258,"2,609",344,482,168,163,"1,128",194,196
2020년08월_계_20~29세,"9,353","3,394",584,"2,179",472,491,282,198,"1,260",273,220
2020년08월_계_30~39세,"9,377","3,782",316,"1,990",384,465,244,202,"1,457",319,218
2020년08월_계_40~49세,"14,700","5,226",546,"3,773",723,756,436,412,"2,023",462,343
2020년08월_계_50~59세,"15,624","5,092",724,"3,487",939,961,613,500,"2,094",647,567
2020년08월_계_60~69세,"13,604","4,331",727,"2,128","1,090",856,792,699,"1,659",710,612
2020년08월_계_70~79세,"8,069","1,901",493,"1,190",702,660,626,587,918,556,436
2020년08월_계_80~89세,"3,682",814,249,484,292,243,288,293,498,299,222
2020년08월_계_90~99세,512,115,45,68,43,19,42,34,63,46,37
2020년08월_계_100세 이상,30,1,1,0,4,6,4,5,2,5,2
2020년08월_남_총인구수,"45,887","15,320","2,247","10,073","2,533","2,661","1,823","1,574","6,259","1,854","1,543"
2020년08월_남_연령구간인구수,"45,887","15,320","2,247","10,073","2,533","2,661","1,823","1,574","6,259","1,854","1,543"
2020년08월_남_0~9세,"3,483","1,504",85,805,108,151,57,56,573,86,58
2020년08월_남_10~19세,"4,607","1,643",150,"1,410",178,253,90,90,582,105,106
2020년08월_남_20~29세,"5,493","1,951",402,"1,307",259,283,179,103,712,162,135
2020년08월_남_30~39세,"4,968","1,958",188,"1,030",202,258,152,117,764,172,127
2020년08월_남_40~49세,"7,656","2,563",315,"1,865",399,427,263,249,"1,098",268,209
2020년08월_남_50~59세,"8,078","2,423",409,"1,881",454,514,322,281,"1,108",347,339
2020년08월_남_60~69세,"6,542","2,100",357,"1,024",516,388,352,317,827,348,313
2020년08월_남_70~79세,"3,638",871,229,560,310,293,298,230,421,248,178
2020년08월_남_80~89세,"1,308",284,102,178,97,88,96,119,167,105,72
2020년08월_남_90~99세,105,23,9,13,8,5,13,12,7,10,5
2020년08월_남_100세 이상,9,0,1,0,2,1,1,0,0,3,1
2020년08월_여_총인구수,"44,661","15,538","1,877","9,379","2,654","2,592","1,789","1,619","5,950","1,842","1,421"
2020년08월_여_연령구간인구수,"44,661","15,538","1,877","9,379","2,654","2,592","1,789","1,619","5,950","1,842","1,421"
2020년08월_여_0~9세,"3,275","1,401",96,739,86,163,60,44,534,99,53
2020년08월_여_10~19세,"4,232","1,654",108,"1,199",166,229,78,73,546,89,90
2020년08월_여_20~29세,"3,860","1,443",182,872,213,208,103,95,548,111,85
2020년08월_여_30~39세,"4,409","1,824",128,960,182,207,92,85,693,147,91
2020년08월_여_40~49세,"7,044","2,663",231,"1,908",324,329,173,163,925,194,134
2020년08월_여_50~59세,"7,546","2,669",315,"1,606",485,447,291,219,986,300,228
2020년08월_여_60~69세,"7,062","2,231",370,"1,104",574,468,440,382,832,362,299
2020년08월_여_70~79세,"4,431","1,030",264,630,392,367,328,357,497,308,258
2020년08월_여_80~89세,"2,374",530,147,306,195,155,192,174,331,194,150
2020년08월_여_90~99세,407,92,36,55,35,14,29,22,56,36,32
2020년08월_여_100세 이상,21,1,0,0,2,5,3,5,2,2,1
2020년09월_계_총인구수,"90,575","30,873","4,102","19,385","5,190","5,234","3,595","3,199","12,344","3,681","2,972"
2020년09월_계_연령구간인구수,"90,575","30,873","4,102","19,385","5,190","5,234","3,595","3,199","12,344","3,681","2,972"
2020년09월_계_0~9세,"6,745","2,886",178,"1,530",194,319,113,104,"1,130",182,109
2020년09월_계_10~19세,"8,818","3,304",253,"2,588",346,470,168,164,"1,133",191,201
2020년09월_계_20~29세,"9,360","3,396",579,"2,166",477,491,282,199,"1,272",279,219
2020년09월_계_30~39세,"9,350","3,774",312,"1,971",381,455,232,201,"1,487",313,224
2020년09월_계_40~49세,"14,699","5,233",548,"3,774",718,751,433,413,"2,028",454,347
2020년09월_계_50~59세,"15,612","5,096",721,"3,466",940,955,610,495,"2,121",640,568
2020년09월_계_60~69세,"13,670","4,352",725,"2,140","1,088",862,797,699,"1,681",722,604
2020년09월_계_70~79세,"8,083","1,903",488,"1,196",708,657,625,589,923,553,441
2020년09월_계_80~89세,"3,683",810,252,481,290,249,288,296,502,296,219
2020년09월_계_90~99세,525,118,45,73,44,19,43,34,65,46,38
2020년09월_계_100세 이상,30,1,1,0,4,6,4,5,2,5,2
2020년09월_남_총인구수,"45,906","15,335","2,242","10,022","2,541","2,655","1,817","1,578","6,322","1,838","1,556"
2020년09월_남_연령구간인구수,"45,906","15,335","2,242","10,022","2,541","2,655","1,817","1,578","6,322","1,838","1,556"
2020년09월_남_0~9세,"3,474","1,489",86,793,109,156,55,60,583,84,59
2020년09월_남_10~19세,"4,595","1,650",148,"1,395",180,248,89,90,584,102,109
2020년09월_남_20~29세,"5,485","1,953",402,"1,287",265,283,180,102,714,163,136
2020년09월_남_30~39세,"4,981","1,967",189,"1,030",200,250,147,116,780,169,133
2020년09월_남_40~49세,"7,647","2,566",317,"1,860",394,430,259,246,"1,100",262,213
2020년09월_남_50~59세,"8,067","2,415",405,"1,872",455,510,323,282,"1,122",344,339
2020년09월_남_60~69세,"6,584","2,114",357,"1,028",520,390,354,320,838,354,309
2020년09월_남_70~79세,"3,649",875,226,564,311,291,300,229,426,246,181
2020년09월_남_80~89세,"1,305",282,101,178,97,91,96,121,167,101,71
2020년09월_남_90~99세,110,24,10,15,8,5,13,12,8,10,5
2020년09월_남_100세 이상,9,0,1,0,2,1,1,0,0,3,1
2020년09월_여_총인구수,"44,669","15,538","1,860","9,363","2,649","2,579","1,778","1,621","6,022","1,843","1,416"
2020년09월_여_연령구간인구수,"44,669","15,538","1,860","9,363","2,649","2,579","1,778","1,621","6,022","1,843","1,416"
2020년09월_여_0~9세,"3,271","1,397",92,737,85,163,58,44,547,98,50
2020년09월_여_10~19세,"4,223","1,654",105,"1,193",166,222,79,74,549,89,92
2020년09월_여_20~29세,"3,875","1,443",177,879,212,208,102,97,558,116,83
2020년09월_여_30~39세,"4,369","1,807",123,941,181,205,85,85,707,144,91
2020년09월_여_40~49세,"7,052","2,667",231,"1,914",324,321,174,167,928,192,134
2020년09월_여_50~59세,"7,545","2,681",316,"1,594",485,445,287,213,999,296,229
2020년09월_여_60~69세,"7,086","2,238",368,"1,112",568,472,443,379,843,368,295
2020년09월_여_70~79세,"4,434","1,028",262,632,397,366,325,360,497,307,260
2020년09월_여_80~89세,"2,378",528,151,303,193,158,192,175,335,195,148
2020년09월_여_90~99세,415,94,35,58,36,14,30,22,57,36,33
2020년09월_여_100세 이상,21,1,0,0,2,5,3,5,2,2,1
2020년10월_계_총인구수,"90,626","30,907","4,109","19,324","5,187","5,212","3,581","3,193","12,498","3,656","2,959"
2020년10월_계_연령구간인구수,"90,626","30,907","4,109","19,324","5,187","5,212","3,581","3,193","12,498","3,656","2,959"
2020년10월_계_0~9세,"6,727","2,866",177,"1,518",193,313,113,105,"1,160",177,105
2020년10월_계_10~19세,"8,816","3,318",248,"2,566",347,469,169,165,"1,141",191,202
2020년10월_계_20~29세,"9,379","3,410",575,"2,181",473,493,278,202,"1,273",275,219
2020년10월_계_30~39세,"9,305","3,757",319,"1,942",377,449,224,191,"1,521",310,215
2020년10월_계_40~49세,"14,653","5,220",549,"3,752",710,741,426,411,"2,053",445,346
2020년10월_계_50~59세,"15,641","5,110",722,"3,461",939,952,607,499,"2,144",639,568
2020년10월_계_60~69세,"13,759","4,380",722,"2,159","1,101",864,797,702,"1,704",725,605
2020년10월_계_70~79세,"8,085","1,917",492,"1,193",706,657,629,579,927,546,439
2020년10월_계_80~89세,"3,702",811,259,479,292,250,290,298,507,297,219
2020년10월_계_90~99세,529,117,45,73,45,18,44,36,66,46,39
2020년10월_계_100세 이상,30,1,1,0,4,6,4,5,2,5,2
2020년10월_남_총인구수,"45,947","15,361","2,251","9,998","2,539","2,637","1,803","1,573","6,411","1,828","1,546"
2020년10월_남_연령구간인구수,"45,947","15,361","2,251","9,998","2,539","2,637","1,803","1,573","6,411","1,828","1,546"
2020년10월_남_0~9세,"3,474","1,479",87,793,107,154,54,61,600,83,56
2020년10월_남_10~19세,"4,590","1,659",144,"1,380",181,249,89,90,586,101,111
2020년10월_남_20~29세,"5,511","1,964",401,"1,296",266,280,178,104,724,164,134
2020년10월_남_30~39세,"4,962","1,956",195,"1,018",197,247,143,110,807,163,126
2020년10월_남_40~49세,"7,601","2,560",321,"1,845",385,420,252,243,"1,103",259,213
2020년10월_남_50~59세,"8,089","2,425",403,"1,868",458,509,324,284,"1,135",344,339
2020년10월_남_60~69세,"6,643","2,132",355,"1,041",526,392,353,322,852,360,310
2020년10월_남_70~79세,"3,651",883,230,566,310,289,301,225,427,240,180
2020년10월_남_80~89세,"1,306",279,104,176,99,91,95,121,168,102,71
2020년10월_남_90~99세,111,24,10,15,8,5,13,13,9,9,5
2020년10월_남_100세 이상,9,0,1,0,2,1,1,0,0,3,1
2020년10월_여_총인구수,"44,679","15,546","1,858","9,326","2,648","2,575","1,778","1,620","6,087","1,828","1,413"
2020년10월_여_연령구간인구수,"44,679","15,546","1,858","9,326","2,648","2,575","1,778","1,620","6,087","1,828","1,413"
2020년10월_여_0~9세,"3,253","1,387",90,725,86,159,59,44,560,94,49
2020년10월_여_10~19세,"4,226","1,659",104,"1,186",166,220,80,75,555,90,91
2020년10월_여_20~29세,"3,868","1,446",174,885,207,213,100,98,549,111,85
2020년10월_여_30~39세,"4,343","1,801",124,924,180,202,81,81,714,147,89
2020년10월_여_40~49세,"7,052","2,660",228,"1,907",325,321,174,168,950,186,133
2020년10월_여_50~59세,"7,552","2,685",319,"1,593",481,443,283,215,"1,009",295,229
2020년10월_여_60~69세,"7,116","2,248",367,"1,118",575,472,444,380,852,365,295
