카테고리,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2020년03월_남_10~19세,"23,601",107,259,179,68,307,370,"2,106","1,188",529,854,"1,280",404,273,843,"1,060",843,358,792,484,"1,019","2,705","1,001",611,499,83,"3,293","2,086",
2020년03월_남_20~29세,"32,998",450,690,458,226,506,"1,098","3,669","1,365",978,"1,181","1,622",744,387,"1,278","1,342","1,340",606,"1,271",899,"1,317","2,599","1,122","1,056","1,076",159,"3,016","2,543",
2020년03월_남_30~39세,"29,542",531,467,432,261,611,955,"2,526","1,177",822,905,"1,866",580,450,"1,412",894,"1,097",461,"1,052",777,943,"1,446",899,698,822,137,"4,451","2,870",
2020년03월_남_40~49세,"34,338",374,501,401,268,617,935,"2,826","1,433",950,972,"1,905",755,504,"1,444","1,208","1,232",584,"1,193",933,"1,219","2,646","1,102",911,849,164,"5,193","3,219",
2020년03월_남_50~59세,"35,448",399,512,419,332,636,"1,001","3,197","1,521","1,147","1,206","1,759",961,499,"1,552","1,470","1,212",680,"1,461","1,349","1,353","2,805","1,144","1,162","1,217",320,"3,388","2,746",
2020년03월_남_60~69세,"24,279",358,484,313,313,532,769,"2,013","1,193",946,909,"1,157",940,336,"1,217","1,017",875,581,"1,215","1,287",699,"1,063",724,752,"1,002",275,"1,709","1,600",
2020년03월_남_70~79세,"12,683",196,318,210,181,407,486,"1,052",587,580,389,603,585,228,707,461,464,436,670,623,310,443,326,339,476,166,715,725,
2020년03월_남_80~89세,"4,037",67,155,78,63,107,165,308,157,196,121,144,185,70,217,152,182,130,187,213,86,198,114,88,137,66,215,236,
2020년03월_남_90~99세,335,7,15,4,10,12,9,24,11,12,12,17,13,4,16,13,16,11,11,15,7,24,9,7,8,8,20,20,
2020년03월_남_100세 이상,13,2,1,0,1,0,0,0,0,0,1,1,3,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,
2020년03월_여_총인구수,"217,967","2,459","3,410","2,378","1,545","4,142","5,476","19,241","10,310","6,312","7,490","11,829","5,659","3,093","9,765","8,579","8,648","4,087","8,487","7,359","7,110","15,854","7,329","5,835","6,624","1,311","25,936","17,699",
2020년03월_여_연령구간인구수,"217,967","2,459","3,410","2,378","1,545","4,142","5,476","19,241","10,310","6,312","7,490","11,829","5,659","3,093","9,765","8,579","8,648","4,087","8,487","7,359","7,110","15,854","7,329","5,835","6,624","1,311","25,936","17,699",
2020년03월_여_0~9세,"17,042",118,144,139,43,302,211,"1,326",926,337,491,"1,111",217,279,755,608,631,163,517,265,531,"1,234",627,371,287,40,"3,657","1,712",
2020년03월_여_10~19세,"20,925",93,252,141,60,265,360,"1,867","1,130",498,722,"1,098",331,265,711,979,763,354,706,438,767,"2,264",817,535,395,59,"3,038","2,017",
2020년03월_여_20~29세,"29,644",566,630,400,272,451,"1,003","3,321","1,318",868,"1,032","1,475",682,370,"1,156","1,166","1,244",521,"1,139",828,"1,076","2,213",924,878,949,107,"2,737","2,318",
2020년03월_여_30~39세,"27,443",433,335,300,156,607,709,"2,227","1,287",644,843,"1,799",471,414,"1,307",882,"1,029",398,895,623,883,"1,653",895,650,665,95,"4,702","2,541",
2020년03월_여_40~49세,"34,298",242,431,298,155,557,638,"2,899","1,704",849,"1,128","1,894",625,478,"1,288","1,381","1,319",523,"1,133",836,"1,302","3,456","1,292",872,827,108,"4,983","3,080",
2020년03월_여_50~59세,"37,195",328,489,345,257,661,880,"3,532","1,687","1,104","1,482","2,024",979,438,"1,699","1,677","1,481",734,"1,612","1,414","1,301","2,764","1,351","1,139","1,380",248,"3,375","2,814",
2020년03월_여_60~69세,"26,621",315,514,354,271,646,801,"2,250","1,374","1,057","1,005","1,384","1,129",406,"1,439","1,036","1,099",722,"1,341","1,361",684,"1,079",735,738,"1,043",271,"1,830","1,737",
2020년03월_여_70~79세,"15,851",239,420,283,202,463,566,"1,220",599,652,477,684,789,286,887,546,731,445,755,967,362,714,401,417,622,218,969,937,
2020년03월_여_80~89세,"7,554",106,167,102,99,153,253,515,228,261,259,301,361,128,445,256,305,192,327,550,168,415,241,193,394,131,538,466,
2020년03월_여_90~99세,"1,291",15,24,11,27,33,49,79,54,39,47,57,65,27,69,45,45,32,58,73,36,62,43,37,60,31,99,74,
2020년03월_여_100세 이상,103,4,4,5,3,4,6,5,3,3,4,2,10,2,9,3,1,3,4,4,0,0,3,5,2,3,8,3,
2020년04월_계_총인구수,"433,057","5,053","6,976","5,034","3,318","8,167","11,510","38,358","19,818","12,717","14,470","23,541","11,011","6,154","19,203","16,768","16,531","8,115","16,863","14,185","14,621","30,978","14,417","11,775","12,978","2,714","52,287","35,495",
2020년04월_계_연령구간인구수,"433,057","5,053","6,976","5,034","3,318","8,167","11,510","38,358","19,818","12,717","14,470","23,541","11,011","6,154","19,203","16,768","16,531","8,115","16,863","14,185","14,621","30,978","14,417","11,775","12,978","2,714","52,287","35,495",
2020년04월_계_0~9세,"34,658",222,294,282,97,607,438,"2,718","1,857",631,986,"2,320",445,566,"1,493","1,179","1,242",360,"1,019",522,"1,120","2,535","1,281",704,546,82,"7,556","3,556",
2020년04월_계_10~19세,"44,382",195,496,328,130,581,731,"3,927","2,320","1,003","1,563","2,393",720,545,"1,562","2,044","1,600",694,"1,496",916,"1,753","4,930","1,812","1,144",886,144,"6,410","4,059",
2020년04월_계_20~29세,"62,843","1,016","1,335",881,497,956,"2,111","7,056","2,650","1,827","2,197","3,114","1,415",766,"2,444","2,527","2,594","1,123","2,408","1,734","2,398","4,817","2,056","1,915","2,035",263,"5,834","4,874",
2020년04월_계_30~39세,"56,790",967,796,728,420,"1,205","1,661","4,750","2,452","1,451","1,737","3,683","1,051",858,"2,714","1,769","2,105",847,"1,939","1,381","1,809","3,062","1,777","1,341","1,474",228,"9,212","5,373",
2020년04월_계_40~49세,"68,565",617,938,708,419,"1,171","1,570","5,711","3,148","1,783","2,083","3,829","1,363",979,"2,723","2,585","2,549","1,092","2,320","1,750","2,512","6,050","2,396","1,780","1,668",265,"10,287","6,269",
2020년04월_계_50~59세,"72,674",724,"1,013",749,589,"1,287","1,881","6,722","3,191","2,246","2,671","3,805","1,938",950,"3,261","3,134","2,702","1,421","3,062","2,762","2,667","5,564","2,480","2,299","2,593",569,"6,840","5,554",
2020년04월_계_60~69세,"51,133",676,999,665,580,"1,185","1,582","4,263","2,564","2,017","1,920","2,574","2,065",746,"2,649","2,055","1,984","1,316","2,576","2,661","1,387","2,161","1,475","1,498","2,068",542,"3,587","3,338",
2020년04월_계_70~79세,"28,583",436,734,497,383,866,"1,055","2,267","1,187","1,237",862,"1,297","1,365",514,"1,602","1,000","1,194",894,"1,436","1,593",677,"1,157",735,764,"1,099",381,"1,680","1,671",
2020년04월_계_80~89세,"11,667",171,326,176,162,260,419,836,383,463,384,451,555,196,659,414,496,320,532,770,255,616,348,281,536,201,755,702,
2020년04월_계_90~99세,"1,645",23,40,15,37,45,56,103,62,56,62,72,81,32,87,57,64,45,71,92,43,84,53,44,71,36,118,96,
2020년04월_계_100세 이상,117,6,5,5,4,4,6,5,4,3,5,3,13,2,9,4,1,3,4,4,0,2,4,5,2,3,8,3,
2020년04월_남_총인구수,"215,038","2,592","3,561","2,646","1,780","4,038","6,044","19,110","9,540","6,435","6,999","11,636","5,374","3,055","9,422","8,199","7,875","4,052","8,361","6,837","7,534","15,172","7,092","5,963","6,360","1,411","26,112","17,838",
2020년04월_남_연령구간인구수,"215,038","2,592","3,561","2,646","1,780","4,038","6,044","19,110","9,540","6,435","6,999","11,636","5,374","3,055","9,422","8,199","7,875","4,052","8,361","6,837","7,534","15,172","7,092","5,963","6,360","1,411","26,112","17,838",
2020년04월_남_0~9세,"17,671",104,151,144,53,313,228,"1,393",936,295,495,"1,203",231,286,733,582,620,198,502,262,592,"1,317",656,340,261,40,"3,886","1,850",
2020년04월_남_10~19세,"23,516",106,252,183,69,311,374,"2,092","1,187",520,846,"1,290",395,280,847,"1,059",837,352,788,482,996,"2,677",997,610,490,86,"3,331","2,059",
2020년04월_남_20~29세,"33,082",448,691,471,228,502,"1,107","3,696","1,344",975,"1,177","1,637",741,393,"1,277","1,355","1,331",606,"1,268",902,"1,319","2,598","1,126","1,049","1,091",156,"3,052","2,542",
2020년04월_남_30~39세,"29,456",530,472,430,266,602,957,"2,521","1,173",822,901,"1,870",577,449,"1,413",886,"1,092",459,"1,049",768,939,"1,422",886,692,818,133,"4,488","2,841",
2020년04월_남_40~49세,"34,310",375,504,408,265,617,933,"2,816","1,440",939,959,"1,924",744,506,"1,441","1,213","1,226",576,"1,190",920,"1,214","2,625","1,102",909,846,160,"5,251","3,207",
2020년04월_남_50~59세,"35,486",396,520,407,334,636,"1,008","3,190","1,513","1,144","1,189","1,772",962,506,"1,555","1,462","1,224",686,"1,460","1,352","1,365","2,794","1,146","1,166","1,219",320,"3,412","2,748",
2020년04월_남_60~69세,"24,377",360,483,312,311,533,776,"2,009","1,194",947,915,"1,168",938,335,"1,205","1,019",880,593,"1,220","1,294",702,"1,070",724,756,"1,011",274,"1,741","1,607",
2020년04월_남_70~79세,"12,731",197,316,211,180,404,484,"1,058",584,583,383,609,584,227,719,456,465,441,681,628,314,444,334,346,477,167,714,725,
2020년04월_남_80~89세,"4,063",68,156,76,63,109,168,312,158,199,121,145,185,69,215,153,183,129,190,214,86,199,113,88,139,67,217,241,
2020년04월_남_90~99세,333,6,15,4,10,11,9,23,11,11,12,17,14,4,16,13,17,12,13,15,7,24,8,7,8,8,20,18,
2020년04월_남_100세 이상,13,2,1,0,1,0,0,0,0,0,1,1,3,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,
2020년04월_여_총인구수,"218,019","2,461","3,415","2,388","1,538","4,129","5,466","19,248","10,278","6,282","7,471","11,905","5,637","3,099","9,781","8,569","8,656","4,063","8,502","7,348","7,087","15,806","7,325","5,812","6,618","1,303","26,175","17,657",
2020년04월_여_연령구간인구수,"218,019","2,461","3,415","2,388","1,538","4,129","5,466","19,248","10,278","6,282","7,471","11,905","5,637","3,099","9,781","8,569","8,656","4,063","8,502","7,348","7,087","15,806","7,325","5,812","6,618","1,303","26,175","17,657",
2020년04월_여_0~9세,"16,987",118,143,138,44,294,210,"1,325",921,336,491,"1,117",214,280,760,597,622,162,517,260,528,"1,218",625,364,285,42,"3,670","1,706",
2020년04월_여_10~19세,"20,866",89,244,145,61,270,357,"1,835","1,133",483,717,"1,103",325,265,715,985,763,342,708,434,757,"2,253",815,534,396,58,"3,079","2,000",
2020년04월_여_20~29세,"29,761",568,644,410,269,454,"1,004","3,360","1,306",852,"1,020","1,477",674,373,"1,167","1,172","1,263",517,"1,140",832,"1,079","2,219",930,866,944,107,"2,782","2,332",
2020년04월_여_30~39세,"27,334",437,324,298,154,603,704,"2,229","1,279",629,836,"1,813",474,409,"1,301",883,"1,013",388,890,613,870,"1,640",891,649,656,95,"4,724","2,532",
2020년04월_여_40~49세,"34,255",242,434,300,154,554,637,"2,895","1,708",844,"1,124","1,905",619,473,"1,282","1,372","1,323",516,"1,130",830,"1,298","3,425","1,294",871,822,105,"5,036","3,062",
2020년04월_여_50~59세,"37,188",328,493,342,255,651,873,"3,532","1,678","1,102","1,482","2,033",976,444,"1,706","1,672","1,478",735,"1,602","1,410","1,302","2,770","1,334","1,133","1,374",249,"3,428","2,806",
2020년04월_여_60~69세,"26,756",316,516,353,269,652,806,"2,254","1,370","1,070","1,005","1,406","1,127",411,"1,444","1,036","1,104",723,"1,356","1,367",685,"1,091",751,742,"1,057",268,"1,846","1,731",
2020년04월_여_70~79세,"15,852",239,418,286,203,462,571,"1,209",603,654,479,688,781,287,883,544,729,453,755,965,363,713,401,418,622,214,966,946,
2020년04월_여_80~89세,"7,604",103,170,100,99,151,251,524,225,264,263,306,370,127,444,261,313,191,342,556,169,417,235,193,397,134,538,461,
2020년04월_여_90~99세,"1,312",17,25,11,27,34,47,80,51,45,50,55,67,28,71,44,47,33,58,77,36,60,45,37,63,28,98,78,
2020년04월_여_100세 이상,104,4,4,5,3,4,6,5,4,3,4,2,10,2,8,3,1,3,4,4,0,0,4,5,2,3,8,3,
2020년05월_계_총인구수,"432,731","5,030","6,990","5,021","3,331","8,171","11,536","38,443","19,731","12,690","14,353","23,573","10,966","6,123","19,198","16,719","16,496","8,121","16,830","14,135","14,593","30,926","14,378","11,738","12,957","2,708","52,434","35,540",
2020년05월_계_연령구간인구수,"432,731","5,030","6,990","5,021","3,331","8,171","11,536","38,443","19,731","12,690","14,353","23,573","10,966","6,123","19,198","16,719","16,496","8,121","16,830","14,135","14,593","30,926","14,378","11,738","12,957","2,708","52,434","35,540",
2020년05월_계_0~9세,"34,511",220,294,278,92,606,428,"2,731","1,834",619,971,"2,319",441,557,"1,493","1,175","1,226",353,"1,013",515,"1,110","2,541","1,270",695,544,80,"7,555","3,551",
2020년05월_계_10~19세,"44,145",187,488,326,130,579,733,"3,899","2,319",990,"1,555","2,386",713,543,"1,555","2,024","1,595",697,"1,488",901,"1,736","4,854","1,795","1,137",885,143,"6,429","4,058",
2020년05월_계_20~29세,"62,857","1,010","1,353",888,510,945,"2,126","7,104","2,627","1,831","2,175","3,104","1,408",752,"2,441","2,525","2,601","1,128","2,398","1,722","2,399","4,832","2,059","1,914","2,016",260,"5,853","4,876",
2020년05월_계_30~39세,"56,609",960,790,723,419,"1,204","1,660","4,738","2,431","1,439","1,708","3,692","1,032",859,"2,699","1,743","2,112",846,"1,941","1,366","1,792","3,051","1,762","1,340","1,471",227,"9,222","5,382",
2020년05월_계_40~49세,"68,416",620,928,721,424,"1,182","1,569","5,704","3,143","1,765","2,066","3,835","1,358",970,"2,733","2,579","2,529","1,086","2,307","1,735","2,491","6,023","2,386","1,771","1,661",261,"10,298","6,271",
2020년05월_계_50~59세,"72,688",714,"1,019",739,587,"1,288","1,893","6,749","3,172","2,241","2,631","3,814","1,924",944,"3,254","3,127","2,687","1,420","3,060","2,757","2,678","5,583","2,488","2,293","2,589",570,"6,890","5,577",
2020년05월_계_60~69세,"51,266",677,"1,008",659,580,"1,180","1,576","4,280","2,563","2,035","1,926","2,592","2,069",751,"2,656","2,070","1,983","1,316","2,571","2,664","1,399","2,176","1,475","1,491","2,074",544,"3,609","3,342",
2020년05월_계_70~79세,"28,736",438,737,485,385,872,"1,061","2,283","1,186","1,243",869,"1,300","1,369",516,"1,609",999,"1,196",901,"1,447","1,613",688,"1,165",736,772,"1,105",384,"1,695","1,682",
2020년05월_계_80~89세,"11,727",176,329,182,162,265,428,846,388,468,385,451,558,197,659,415,499,323,533,765,257,614,352,278,540,200,756,701,
2020년05월_계_90~99세,"1,657",22,40,15,38,45,56,103,64,56,62,77,82,32,90,58,67,48,69,93,43,84,51,40,70,36,119,97,
2020년05월_계_100세 이상,119,6,4,5,4,5,6,6,4,3,5,3,12,2,9,4,1,3,3,4,0,3,4,7,2,3,8,3,
2020년05월_남_총인구수,"214,894","2,589","3,569","2,634","1,784","4,031","6,058","19,167","9,505","6,412","6,936","11,660","5,345","3,041","9,422","8,181","7,840","4,059","8,350","6,812","7,517","15,147","7,064","5,943","6,362","1,409","26,199","17,858",
2020년05월_남_연령구간인구수,"214,894","2,589","3,569","2,634","1,784","4,031","6,058","19,167","9,505","6,412","6,936","11,660","5,345","3,041","9,422","8,181","7,840","4,059","8,350","6,812","7,517","15,147","7,064","5,943","6,362","1,409","26,199","17,858",
2020년05월_남_0~9세,"17,606",103,151,141,49,314,218,"1,402",930,285,485,"1,204",226,281,731,579,612,196,499,260,589,"1,328",648,337,259,38,"3,892","1,849",
2020년05월_남_10~19세,"23,371",102,246,184,66,306,378,"2,079","1,187",516,841,"1,282",386,277,851,"1,053",828,358,781,473,985,"2,636",984,608,487,87,"3,332","2,058",
2020년05월_남_20~29세,"33,093",446,699,471,239,493,"1,103","3,731","1,334",981,"1,166","1,642",735,389,"1,269","1,350","1,327",605,"1,265",902,"1,318","2,598","1,125","1,044","1,075",154,"3,082","2,550",
2020년05월_남_30~39세,"29,359",528,469,421,261,600,962,"2,520","1,161",816,881,"1,875",566,450,"1,398",878,"1,099",460,"1,056",748,929,"1,418",884,697,817,133,"4,499","2,833",
2020년05월_남_40~49세,"34,265",382,496,419,269,625,932,"2,814","1,437",930,953,"1,930",738,500,"1,445","1,206","1,216",571,"1,184",918,"1,206","2,615","1,097",903,855,159,"5,256","3,209",
2020년05월_남_50~59세,"35,522",393,526,401,336,634,"1,021","3,205","1,500","1,137","1,179","1,774",961,502,"1,561","1,468","1,212",688,"1,459","1,356","1,376","2,797","1,143","1,160","1,221",320,"3,433","2,759",
2020년05월_남_60~69세,"24,427",360,489,305,308,533,779,"2,014","1,195",948,910,"1,177",940,338,"1,214","1,025",881,591,"1,216","1,289",703,"1,081",727,752,"1,017",277,"1,747","1,611",
2020년05월_남_70~79세,"12,807",197,320,210,181,403,483,"1,067",589,589,387,609,588,232,719,453,464,445,685,638,318,448,334,349,480,167,721,731,
2020년05월_남_80~89세,"4,095",70,157,78,64,112,173,312,160,199,121,148,188,68,215,155,184,132,192,213,86,200,114,87,143,66,219,239,
2020년05월_남_90~99세,336,6,15,4,10,11,9,23,12,11,12,18,14,4,18,13,17,13,13,15,7,24,8,6,8,8,18,19,
2020년05월_남_100세 이상,13,2,1,0,1,0,0,0,0,0,1,1,3,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,
2020년05월_여_총인구수,"217,837","2,441","3,421","2,387","1,547","4,140","5,478","19,276","10,226","6,278","7,417","11,913","5,621","3,082","9,776","8,538","8,656","4,062","8,480","7,323","7,076","15,779","7,314","5,795","6,595","1,299","26,235","17,682",
2020년05월_여_연령구간인구수,"217,837","2,441","3,421","2,387","1,547","4,140","5,478","19,276","10,226","6,278","7,417","11,913","5,621","3,082","9,776","8,538","8,656","4,062","8,480","7,323","7,076","15,779","7,314","5,795","6,595","1,299","26,235","17,682",
2020년05월_여_0~9세,"16,905",117,143,137,43,292,210,"1,329",904,334,486,"1,115",215,276,762,596,614,157,514,255,521,"1,213",622,358,285,42,"3,663","1,702",
2020년05월_여_10~19세,"20,774",85,242,142,64,273,355,"1,820","1,132",474,714,"1,104",327,266,704,971,767,339,707,428,751,"2,218",811,529,398,56,"3,097","2,000",
2020년05월_여_20~29세,"29,764",564,654,417,271,452,"1,023","3,373","1,293",850,"1,009","1,462",673,363,"1,172","1,175","1,274",523,"1,133",820,"1,081","2,234",934,870,941,106,"2,771","2,326",
2020년05월_여_30~39세,"27,250",432,321,302,158,604,698,"2,218","1,270",623,827,"1,817",466,409,"1,301",865,"1,013",386,885,618,863,"1,633",878,643,654,94,"4,723","2,549",
2020년05월_여_40~49세,"34,151",238,432,302,155,557,637,"2,890","1,706",835,"1,113","1,905",620,470,"1,288","1,373","1,313",515,"1,123",817,"1,285","3,408","1,289",868,806,102,"5,042","3,062",
2020년05월_여_50~59세,"37,166",321,493,338,251,654,872,"3,544","1,672","1,104","1,452","2,040",963,442,"1,693","1,659","1,475",732,"1,601","1,401","1,302","2,786","1,345","1,133","1,368",250,"3,457","2,818",
2020년05월_여_60~69세,"26,839",317,519,354,272,647,797,"2,266","1,368","1,087","1,016","1,415","1,129",413,"1,442","1,045","1,102",725,"1,355","1,375",696,"1,095",748,739,"1,057",267,"1,862","1,731",
2020년05월_여_70~79세,"15,929",241,417,275,204,469,578,"1,216",597,654,482,691,781,284,890,546,732,456,762,975,370,717,402,423,625,217,974,951,
2020년05월_여_80~89세,"7,632",106,172,104,98,153,255,534,228,269,264,303,370,129,444,260,315,191,341,552,171,414,238,191,397,134,537,462,
2020년05월_여_90~99세,"1,321",16,25,11,28,34,47,80,52,45,50,59,68,28,72,45,50,35,56,78,36,60,43,34,62,28,101,78,
2020년05월_여_100세 이상,106,4,3,5,3,5,6,6,4,3,4,2,9,2,8,3,1,3,3,4,0,1,4,7,2,3,8,3,
2020년06월_계_총인구수,"433,444","5,032","6,965","5,041","3,321","8,135","11,531","38,298","19,668","12,693","14,178","23,526","10,955","6,100","19,151","16,680","16,448","8,096","16,786","14,099","14,560","30,806","14,346","11,687","12,929","2,704","52,510","37,199",
2020년06월_계_연령구간인구수,"433,444","5,032","6,965","5,041","3,321","8,135","11,531","38,298","19,668","12,693","14,178","23,526","10,955","6,100","19,151","16,680","16,448","8,096","16,786","14,099","14,560","30,806","14,346","11,687","12,929","2,704","52,510","37,199",
2020년06월_계_0~9세,"34,575",222,288,283,92,606,432,"2,691","1,826",610,950,"2,280",442,556,"1,477","1,168","1,217",346,"1,001",510,"1,083","2,527","1,257",688,544,78,"7,524","3,877",
2020년06월_계_10~19세,"44,026",191,486,323,127,580,725,"3,870","2,304",980,"1,538","2,380",708,539,"1,548","2,018","1,567",687,"1,470",900,"1,732","4,803","1,777","1,130",876,142,"6,417","4,208",
2020년06월_계_20~29세,"62,926","1,003","1,360",889,510,940,"2,110","7,085","2,609","1,847","2,139","3,108","1,398",751,"2,419","2,515","2,609","1,131","2,394","1,711","2,405","4,834","2,063","1,933","2,000",256,"5,880","5,027",
2020년06월_계_30~39세,"56,762",962,788,733,416,"1,189","1,658","4,689","2,410","1,433","1,682","3,655","1,037",847,"2,681","1,737","2,106",843,"1,924","1,348","1,779","3,040","1,750","1,311","1,472",226,"9,183","5,863",
2020년06월_계_40~49세,"68,541",620,916,733,421,"1,184","1,572","5,690","3,139","1,759","2,045","3,836","1,360",967,"2,735","2,564","2,512","1,082","2,293","1,728","2,479","5,960","2,384","1,761","1,657",257,"10,341","6,546",
2020년06월_계_50~59세,"72,442",708,994,733,585,"1,275","1,863","6,713","3,161","2,231","2,588","3,811","1,915",937,"3,224","3,102","2,677","1,414","3,043","2,733","2,672","5,577","2,469","2,264","2,579",569,"6,888","5,717",
2020년06월_계_60~69세,"51,763",685,"1,024",663,582,"1,178","1,600","4,315","2,564","2,055","1,923","2,620","2,073",754,"2,690","2,094","2,000","1,304","2,602","2,677","1,420","2,206","1,501","1,500","2,072",549,"3,670","3,442",
2020년06월_계_70~79세,"28,867",440,731,481,384,867,"1,073","2,292","1,196","1,251",871,"1,307","1,374",515,"1,612","1,011","1,189",910,"1,454","1,622",686,"1,164",738,774,"1,116",387,"1,717","1,705",
2020년06월_계_80~89세,"11,760",173,334,182,161,267,434,843,391,468,379,447,554,199,664,413,502,327,532,769,261,608,354,278,541,201,762,716,
2020년06월_계_90~99세,"1,665",22,40,15,39,44,58,105,64,56,59,79,81,33,92,55,68,49,70,96,43,84,50,41,70,36,121,95,
2020년06월_계_100세 이상,117,6,4,6,4,5,6,5,4,3,4,3,13,2,9,3,1,3,3,5,0,3,3,7,2,3,7,3,
