카테고리,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2020년04월_계_30~39세,"2,969",664,100,898,100,118,266,113,265,111,149,185
2020년04월_계_40~49세,"4,581","1,049",104,"1,364",138,176,362,165,474,193,267,289
2020년04월_계_50~59세,"7,545","1,230",171,"1,821",277,348,733,459,793,431,600,682
2020년04월_계_60~69세,"9,374","1,207",266,"2,069",439,520,926,567,"1,040",514,836,990
2020년04월_계_70~79세,"6,525",754,195,"1,306",304,428,644,395,736,352,666,745
2020년04월_계_80~89세,"4,208",462,146,774,164,277,463,257,468,273,417,507
2020년04월_계_90~99세,568,67,15,97,24,43,52,26,83,36,66,59
2020년04월_계_100세 이상,19,5,2,3,0,0,3,0,2,0,3,1
2020년04월_남_총인구수,"20,937","3,495",566,"5,147",793,"1,027","1,951","1,119","2,199","1,036","1,693","1,911"
2020년04월_남_연령구간인구수,"20,937","3,495",566,"5,147",793,"1,027","1,951","1,119","2,199","1,036","1,693","1,911"
2020년04월_남_0~9세,811,247,25,236,11,31,66,36,67,23,39,30
2020년04월_남_10~19세,"1,205",330,17,372,38,36,83,29,149,30,67,54
2020년04월_남_20~29세,"1,750",338,34,528,59,80,136,87,164,75,120,129
2020년04월_남_30~39세,"1,585",328,54,481,61,70,148,62,123,59,84,115
2020년04월_남_40~49세,"2,560",547,71,746,84,98,215,87,258,99,167,188
2020년04월_남_50~59세,"3,948",609,91,949,141,177,388,232,419,240,342,360
2020년04월_남_60~69세,"4,699",611,125,"1,023",208,260,457,311,493,282,421,508
2020년04월_남_70~79세,"2,953",331,89,559,136,185,292,179,372,141,319,350
2020년04월_남_80~89세,"1,306",136,57,235,53,78,149,94,141,78,123,162
2020년04월_남_90~99세,119,18,2,18,2,12,17,2,13,9,11,15
2020년04월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년04월_여_총인구수,"21,747","3,681",560,"5,320",839,"1,139","2,040","1,136","2,360","1,091","1,672","1,909"
2020년04월_여_연령구간인구수,"21,747","3,681",560,"5,320",839,"1,139","2,040","1,136","2,360","1,091","1,672","1,909"
2020년04월_여_0~9세,772,224,24,248,25,20,67,28,66,14,22,34
2020년04월_여_10~19세,"1,165",344,6,371,20,47,95,44,124,17,47,50
2020년04월_여_20~29세,"1,192",255,21,380,33,42,95,49,128,58,66,65
2020년04월_여_30~39세,"1,384",336,46,417,39,48,118,51,142,52,65,70
2020년04월_여_40~49세,"2,021",502,33,618,54,78,147,78,216,94,100,101
2020년04월_여_50~59세,"3,597",621,80,872,136,171,345,227,374,191,258,322
2020년04월_여_60~69세,"4,675",596,141,"1,046",231,260,469,256,547,232,415,482
2020년04월_여_70~79세,"3,572",423,106,747,168,243,352,216,364,211,347,395
2020년04월_여_80~89세,"2,902",326,89,539,111,199,314,163,327,195,294,345
2020년04월_여_90~99세,449,49,13,79,22,31,35,24,70,27,55,44
2020년04월_여_100세 이상,18,5,1,3,0,0,3,0,2,0,3,1
2020년05월_계_총인구수,"42,651","7,172","1,133","10,441","1,633","2,148","3,989","2,253","4,566","2,127","3,364","3,825"
2020년05월_계_연령구간인구수,"42,651","7,172","1,133","10,441","1,633","2,148","3,989","2,253","4,566","2,127","3,364","3,825"
2020년05월_계_0~9세,"1,576",464,50,494,37,51,128,62,129,37,59,65
2020년05월_계_10~19세,"2,355",675,23,735,57,77,179,72,273,45,113,106
2020년05월_계_20~29세,"2,942",598,56,902,90,120,234,141,291,133,184,193
2020년05월_계_30~39세,"2,948",659,104,886,99,117,264,112,264,112,148,183
2020년05월_계_40~49세,"4,558","1,038",103,"1,367",138,168,362,159,474,197,265,287
2020년05월_계_50~59세,"7,527","1,235",170,"1,808",279,343,719,461,797,433,594,688
2020년05월_계_60~69세,"9,394","1,209",269,"2,070",436,523,939,566,"1,044",510,843,985
2020년05월_계_70~79세,"6,542",753,193,"1,310",305,433,641,396,744,352,667,748
2020년05월_계_80~89세,"4,208",467,148,769,168,270,465,257,465,270,422,507
2020년05월_계_90~99세,581,69,15,97,23,46,55,27,83,38,66,62
2020년05월_계_100세 이상,20,5,2,3,1,0,3,0,2,0,3,1
2020년05월_남_총인구수,"20,913","3,494",569,"5,125",795,"1,020","1,955","1,114","2,206","1,034","1,688","1,913"
2020년05월_남_연령구간인구수,"20,913","3,494",569,"5,125",795,"1,020","1,955","1,114","2,206","1,034","1,688","1,913"
2020년05월_남_0~9세,807,242,26,245,11,30,63,34,65,23,37,31
2020년05월_남_10~19세,"1,204",332,18,367,39,34,83,29,150,30,67,55
2020년05월_남_20~29세,"1,746",340,34,525,57,79,141,88,164,74,116,128
2020년05월_남_30~39세,"1,580",330,55,473,60,69,148,61,124,60,84,116
2020년05월_남_40~49세,"2,540",540,70,743,85,96,215,84,258,99,165,185
2020년05월_남_50~59세,"3,930",615,89,935,144,174,378,232,418,240,340,365
2020년05월_남_60~69세,"4,704",606,128,"1,024",205,259,466,311,499,280,423,503
2020년05월_남_70~79세,"2,968",331,87,562,137,191,294,178,376,139,320,353
2020년05월_남_80~89세,"1,312",140,59,232,55,76,149,95,139,79,125,163
2020년05월_남_90~99세,121,18,2,19,2,12,18,2,13,10,11,14
2020년05월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년05월_여_총인구수,"21,738","3,678",564,"5,316",838,"1,128","2,034","1,139","2,360","1,093","1,676","1,912"
2020년05월_여_연령구간인구수,"21,738","3,678",564,"5,316",838,"1,128","2,034","1,139","2,360","1,093","1,676","1,912"
2020년05월_여_0~9세,769,222,24,249,26,21,65,28,64,14,22,34
2020년05월_여_10~19세,"1,151",343,5,368,18,43,96,43,123,15,46,51
2020년05월_여_20~29세,"1,196",258,22,377,33,41,93,53,127,59,68,65
2020년05월_여_30~39세,"1,368",329,49,413,39,48,116,51,140,52,64,67
2020년05월_여_40~49세,"2,018",498,33,624,53,72,147,75,216,98,100,102
2020년05월_여_50~59세,"3,597",620,81,873,135,169,341,229,379,193,254,323
2020년05월_여_60~69세,"4,690",603,141,"1,046",231,264,473,255,545,230,420,482
2020년05월_여_70~79세,"3,574",422,106,748,168,242,347,218,368,213,347,395
2020년05월_여_80~89세,"2,896",327,89,537,113,194,316,162,326,191,297,344
2020년05월_여_90~99세,460,51,13,78,21,34,37,25,70,28,55,48
2020년05월_여_100세 이상,19,5,1,3,1,0,3,0,2,0,3,1
2020년06월_계_총인구수,"42,553","7,170","1,128","10,397","1,629","2,154","3,975","2,244","4,549","2,128","3,361","3,818"
2020년06월_계_연령구간인구수,"42,553","7,170","1,128","10,397","1,629","2,154","3,975","2,244","4,549","2,128","3,361","3,818"
2020년06월_계_0~9세,"1,563",463,50,488,37,50,129,61,129,37,56,63
2020년06월_계_10~19세,"2,333",672,22,726,57,75,176,71,270,43,113,108
2020년06월_계_20~29세,"2,920",598,56,894,87,124,228,138,286,132,185,192
2020년06월_계_30~39세,"2,918",659,102,880,97,111,265,110,262,108,147,177
2020년06월_계_40~49세,"4,523","1,030",100,"1,358",138,167,358,157,469,196,261,289
2020년06월_계_50~59세,"7,492","1,233",170,"1,797",278,345,716,455,791,434,599,674
2020년06월_계_60~69세,"9,420","1,215",272,"2,070",437,530,931,566,"1,043",512,845,999
2020년06월_계_70~79세,"6,570",762,191,"1,311",305,434,644,400,751,357,663,752
2020년06월_계_80~89세,"4,216",464,148,773,169,273,470,259,463,271,423,503
2020년06월_계_90~99세,578,69,15,97,23,45,55,27,83,38,65,61
2020년06월_계_100세 이상,20,5,2,3,1,0,3,0,2,0,4,0
2020년06월_남_총인구수,"20,857","3,492",565,"5,101",791,"1,020","1,950","1,108","2,198","1,033","1,693","1,906"
2020년06월_남_연령구간인구수,"20,857","3,492",565,"5,101",791,"1,020","1,950","1,108","2,198","1,033","1,693","1,906"
2020년06월_남_0~9세,798,240,25,240,11,30,64,34,66,24,34,30
2020년06월_남_10~19세,"1,198",332,17,366,39,34,80,28,148,30,68,56
2020년06월_남_20~29세,"1,728",340,33,519,55,79,140,86,161,72,115,128
2020년06월_남_30~39세,"1,559",328,54,468,57,66,148,60,124,59,84,111
2020년06월_남_40~49세,"2,526",539,68,742,86,94,213,83,254,96,165,186
2020년06월_남_50~59세,"3,920",615,89,928,144,176,379,229,415,239,345,361
2020년06월_남_60~69세,"4,716",607,131,"1,026",204,262,463,312,499,282,426,504
2020년06월_남_70~79세,"2,973",332,85,562,138,191,293,178,379,142,318,355
2020년06월_남_80~89세,"1,317",140,60,232,55,77,151,96,139,79,127,161
2020년06월_남_90~99세,121,19,2,18,2,11,19,2,13,10,11,14
2020년06월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년06월_여_총인구수,"21,696","3,678",563,"5,296",838,"1,134","2,025","1,136","2,351","1,095","1,668","1,912"
2020년06월_여_연령구간인구수,"21,696","3,678",563,"5,296",838,"1,134","2,025","1,136","2,351","1,095","1,668","1,912"
2020년06월_여_0~9세,765,223,25,248,26,20,65,27,63,13,22,33
2020년06월_여_10~19세,"1,135",340,5,360,18,41,96,43,122,13,45,52
2020년06월_여_20~29세,"1,192",258,23,375,32,45,88,52,125,60,70,64
2020년06월_여_30~39세,"1,359",331,48,412,40,45,117,50,138,49,63,66
2020년06월_여_40~49세,"1,997",491,32,616,52,73,145,74,215,100,96,103
2020년06월_여_50~59세,"3,572",618,81,869,134,169,337,226,376,195,254,313
2020년06월_여_60~69세,"4,704",608,141,"1,044",233,268,468,254,544,230,419,495
2020년06월_여_70~79세,"3,597",430,106,749,167,243,351,222,372,215,345,397
2020년06월_여_80~89세,"2,899",324,88,541,114,196,319,163,324,192,296,342
2020년06월_여_90~99세,457,50,13,79,21,34,36,25,70,28,54,47
2020년06월_여_100세 이상,19,5,1,3,1,0,3,0,2,0,4,0
2020년07월_계_총인구수,"42,512","7,208","1,124","10,365","1,630","2,145","3,976","2,230","4,538","2,134","3,345","3,817"
2020년07월_계_연령구간인구수,"42,512","7,208","1,124","10,365","1,630","2,145","3,976","2,230","4,538","2,134","3,345","3,817"
2020년07월_계_0~9세,"1,558",464,49,479,36,50,130,63,131,37,56,63
2020년07월_계_10~19세,"2,311",677,22,715,56,75,174,67,265,46,106,108
2020년07월_계_20~29세,"2,902",596,56,897,87,119,225,131,280,131,185,195
2020년07월_계_30~39세,"2,905",672,99,868,94,111,265,108,263,107,144,174
2020년07월_계_40~49세,"4,490","1,026",101,"1,348",137,169,352,157,458,196,260,286
2020년07월_계_50~59세,"7,506","1,243",171,"1,799",281,341,725,447,787,440,596,676
2020년07월_계_60~69세,"9,431","1,218",270,"2,066",440,528,930,571,"1,052",515,841,"1,000"
2020년07월_계_70~79세,"6,577",768,192,"1,316",305,434,641,402,748,355,667,749
2020년07월_계_80~89세,"4,233",469,147,778,171,272,474,255,470,271,420,506
2020년07월_계_90~99세,580,70,15,96,23,46,57,29,82,36,66,60
2020년07월_계_100세 이상,19,5,2,3,0,0,3,0,2,0,4,0
2020년07월_남_총인구수,"20,859","3,506",564,"5,087",794,"1,016","1,948","1,097","2,199","1,040","1,689","1,919"
2020년07월_남_연령구간인구수,"20,859","3,506",564,"5,087",794,"1,016","1,948","1,097","2,199","1,040","1,689","1,919"
2020년07월_남_0~9세,795,238,24,237,11,30,64,35,67,24,34,31
2020년07월_남_10~19세,"1,182",336,17,359,38,34,79,25,143,31,63,57
2020년07월_남_20~29세,"1,733",341,34,523,55,75,140,83,162,72,116,132
2020년07월_남_30~39세,"1,544",331,53,460,56,65,148,58,123,58,82,110
2020년07월_남_40~49세,"2,513",535,69,734,86,95,212,81,252,97,165,187
2020년07월_남_50~59세,"3,936",620,88,931,148,176,379,228,416,243,345,362
2020년07월_남_60~69세,"4,728",609,130,"1,022",203,263,461,312,505,285,429,509
2020년07월_남_70~79세,"2,978",334,86,567,140,191,293,178,378,140,316,355
2020년07월_남_80~89세,"1,328",143,60,236,55,76,152,95,140,81,128,162
2020년07월_남_90~99세,121,19,2,18,2,11,20,2,13,9,11,14
2020년07월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년07월_여_총인구수,"21,653","3,702",560,"5,278",836,"1,129","2,028","1,133","2,339","1,094","1,656","1,898"
2020년07월_여_연령구간인구수,"21,653","3,702",560,"5,278",836,"1,129","2,028","1,133","2,339","1,094","1,656","1,898"
2020년07월_여_0~9세,763,226,25,242,25,20,66,28,64,13,22,32
2020년07월_여_10~19세,"1,129",341,5,356,18,41,95,42,122,15,43,51
2020년07월_여_20~29세,"1,169",255,22,374,32,44,85,48,118,59,69,63
2020년07월_여_30~39세,"1,361",341,46,408,38,46,117,50,140,49,62,64
2020년07월_여_40~49세,"1,977",491,32,614,51,74,140,76,206,99,95,99
2020년07월_여_50~59세,"3,570",623,83,868,133,165,346,219,371,197,251,314
2020년07월_여_60~69세,"4,703",609,140,"1,044",237,265,469,259,547,230,412,491
2020년07월_여_70~79세,"3,599",434,106,749,165,243,348,224,370,215,351,394
2020년07월_여_80~89세,"2,905",326,87,542,116,196,322,160,330,190,292,344
2020년07월_여_90~99세,459,51,13,78,21,35,37,27,69,27,55,46
2020년07월_여_100세 이상,18,5,1,3,0,0,3,0,2,0,4,0
2020년08월_계_총인구수,"42,480","7,257","1,115","10,317","1,625","2,139","3,971","2,227","4,540","2,129","3,349","3,811"
2020년08월_계_연령구간인구수,"42,480","7,257","1,115","10,317","1,625","2,139","3,971","2,227","4,540","2,129","3,349","3,811"
2020년08월_계_0~9세,"1,550",472,49,464,36,52,132,62,128,35,56,64
2020년08월_계_10~19세,"2,303",682,21,705,56,74,174,63,266,47,106,109
2020년08월_계_20~29세,"2,888",600,56,885,88,119,221,136,278,129,182,194
2020년08월_계_30~39세,"2,887",676,96,858,94,108,263,108,263,102,144,175
2020년08월_계_40~49세,"4,475","1,025",97,"1,347",135,164,351,153,461,192,263,287
2020년08월_계_50~59세,"7,458","1,235",169,"1,791",277,343,716,441,780,440,599,667
2020년08월_계_60~69세,"9,497","1,250",268,"2,074",440,530,934,573,"1,057",522,845,"1,004"
2020년08월_계_70~79세,"6,589",772,193,"1,318",306,429,648,403,751,355,665,749
2020년08월_계_80~89세,"4,222",464,148,778,168,272,471,258,471,271,419,502
2020년08월_계_90~99세,592,76,16,94,25,48,58,30,83,36,66,60
2020년08월_계_100세 이상,19,5,2,3,0,0,3,0,2,0,4,0
2020년08월_남_총인구수,"20,863","3,540",559,"5,064",792,"1,014","1,947","1,095","2,202","1,041","1,692","1,917"
2020년08월_남_연령구간인구수,"20,863","3,540",559,"5,064",792,"1,014","1,947","1,095","2,202","1,041","1,692","1,917"
2020년08월_남_0~9세,795,246,25,228,11,31,65,34,67,23,34,31
2020년08월_남_10~19세,"1,179",341,16,352,38,34,79,23,142,33,63,58
2020년08월_남_20~29세,"1,725",346,33,516,56,74,139,87,160,70,113,131
2020년08월_남_30~39세,"1,532",330,52,454,55,64,146,58,123,55,82,113
2020년08월_남_40~49세,"2,510",537,67,735,85,92,212,77,255,95,168,187
2020년08월_남_50~59세,"3,928",621,87,932,146,180,377,226,411,244,346,358
2020년08월_남_60~69세,"4,760",623,130,"1,025",203,263,464,312,508,290,432,510
2020년08월_남_70~79세,"2,982",335,85,570,141,187,295,179,379,141,316,354
2020년08월_남_80~89세,"1,329",141,61,235,54,78,150,97,143,81,127,162
2020년08월_남_90~99세,122,20,2,17,3,11,20,2,14,9,11,13
2020년08월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년08월_여_총인구수,"21,617","3,717",556,"5,253",833,"1,125","2,024","1,132","2,338","1,088","1,657","1,894"
2020년08월_여_연령구간인구수,"21,617","3,717",556,"5,253",833,"1,125","2,024","1,132","2,338","1,088","1,657","1,894"
2020년08월_여_0~9세,755,226,24,236,25,21,67,28,61,12,22,33
2020년08월_여_10~19세,"1,124",341,5,353,18,40,95,40,124,14,43,51
2020년08월_여_20~29세,"1,163",254,23,369,32,45,82,49,118,59,69,63
2020년08월_여_30~39세,"1,355",346,44,404,39,44,117,50,140,47,62,62
2020년08월_여_40~49세,"1,965",488,30,612,50,72,139,76,206,97,95,100
2020년08월_여_50~59세,"3,530",614,82,859,131,163,339,215,369,196,253,309
2020년08월_여_60~69세,"4,737",627,138,"1,049",237,267,470,261,549,232,413,494
2020년08월_여_70~79세,"3,607",437,108,748,165,242,353,224,372,214,349,395
2020년08월_여_80~89세,"2,893",323,87,543,114,194,321,161,328,190,292,340
2020년08월_여_90~99세,470,56,14,77,22,37,38,28,69,27,55,47
2020년08월_여_100세 이상,18,5,1,3,0,0,3,0,2,0,4,0
2020년09월_계_총인구수,"42,432","7,229","1,112","10,350","1,622","2,127","3,969","2,236","4,515","2,122","3,347","3,803"
2020년09월_계_연령구간인구수,"42,432","7,229","1,112","10,350","1,622","2,127","3,969","2,236","4,515","2,122","3,347","3,803"
2020년09월_계_0~9세,"1,562",472,49,469,37,52,136,63,130,34,58,62
2020년09월_계_10~19세,"2,276",670,21,707,53,72,172,63,261,46,104,107
2020년09월_계_20~29세,"2,874",602,53,889,89,118,217,140,264,125,182,195
2020년09월_계_30~39세,"2,887",673,96,861,93,107,265,106,263,103,145,175
2020년09월_계_40~49세,"4,450","1,015",97,"1,338",135,162,353,153,453,187,267,290
2020년09월_계_50~59세,"7,412","1,221",164,"1,795",277,336,708,438,775,444,595,659
2020년09월_계_60~69세,"9,527","1,252",274,"2,091",442,530,933,582,"1,054",523,844,"1,002"
2020년09월_계_70~79세,"6,592",776,193,"1,319",303,432,649,404,755,353,661,747
2020년09월_계_80~89세,"4,231",466,146,781,168,271,472,257,473,271,421,505
2020년09월_계_90~99세,602,77,17,97,25,47,61,30,85,36,66,61
2020년09월_계_100세 이상,19,5,2,3,0,0,3,0,2,0,4,0
2020년09월_남_총인구수,"20,836","3,532",554,"5,072",792,"1,009","1,947","1,102","2,191","1,040","1,686","1,911"
2020년09월_남_연령구간인구수,"20,836","3,532",554,"5,072",792,"1,009","1,947","1,102","2,191","1,040","1,686","1,911"
2020년09월_남_0~9세,799,247,25,229,12,31,65,35,68,23,35,29
2020년09월_남_10~19세,"1,165",337,16,351,36,33,78,23,141,32,61,57
2020년09월_남_20~29세,"1,715",347,30,519,56,74,135,89,152,69,111,133
2020년09월_남_30~39세,"1,533",329,52,456,56,63,148,56,124,55,81,113
2020년09월_남_40~49세,"2,496",536,66,725,84,91,215,78,250,93,171,187
2020년09월_남_50~59세,"3,901",612,83,929,148,178,374,227,409,246,341,354
2020년09월_남_60~69세,"4,770",622,133,"1,038",203,263,464,316,502,291,430,508
2020년09월_남_70~79세,"3,001",339,86,574,139,187,300,180,385,141,316,354
2020년09월_남_80~89세,"1,331",143,59,234,55,79,147,96,145,81,129,163
2020년09월_남_90~99세,124,20,3,17,3,10,21,2,15,9,11,13
2020년09월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년09월_여_총인구수,"21,596","3,697",558,"5,278",830,"1,118","2,022","1,134","2,324","1,082","1,661","1,892"
2020년09월_여_연령구간인구수,"21,596","3,697",558,"5,278",830,"1,118","2,022","1,134","2,324","1,082","1,661","1,892"
2020년09월_여_0~9세,763,225,24,240,25,21,71,28,62,11,23,33
2020년09월_여_10~19세,"1,111",333,5,356,17,39,94,40,120,14,43,50
2020년09월_여_20~29세,"1,159",255,23,370,33,44,82,51,112,56,71,62
2020년09월_여_30~39세,"1,354",344,44,405,37,44,117,50,139,48,64,62
2020년09월_여_40~49세,"1,954",479,31,613,51,71,138,75,203,94,96,103
2020년09월_여_50~59세,"3,511",609,81,866,129,158,334,211,366,198,254,305
2020년09월_여_60~69세,"4,757",630,141,"1,053",239,267,469,266,552,232,414,494
2020년09월_여_70~79세,"3,591",437,107,745,164,245,349,224,370,212,345,393
2020년09월_여_80~89세,"2,900",323,87,547,113,192,325,161,328,190,292,342
2020년09월_여_90~99세,478,57,14,80,22,37,40,28,70,27,55,48
2020년09월_여_100세 이상,18,5,1,3,0,0,3,0,2,0,4,0
2020년10월_계_총인구수,"42,409","7,230","1,110","10,337","1,627","2,117","3,967","2,234","4,522","2,119","3,342","3,804"
2020년10월_계_연령구간인구수,"42,409","7,230","1,110","10,337","1,627","2,117","3,967","2,234","4,522","2,119","3,342","3,804"
2020년10월_계_0~9세,"1,554",470,43,473,38,46,137,63,133,34,57,60
2020년10월_계_10~19세,"2,284",671,25,713,53,70,166,63,266,44,105,108
2020년10월_계_20~29세,"2,868",606,55,874,88,113,221,136,271,124,185,195
2020년10월_계_30~39세,"2,843",659,92,858,92,105,261,106,256,101,141,172
2020년10월_계_40~49세,"4,462","1,017",96,"1,341",139,164,349,155,460,188,264,289
2020년10월_계_50~59세,"7,364","1,221",166,"1,778",275,336,699,429,774,441,590,655
2020년10월_계_60~69세,"9,563","1,257",276,"2,101",442,531,948,590,"1,047",522,842,"1,007"
2020년10월_계_70~79세,"6,592",779,191,"1,321",304,432,647,405,751,356,662,744
2020년10월_계_80~89세,"4,254",469,148,778,171,273,473,257,478,273,421,513
2020년10월_계_90~99세,606,76,16,97,25,47,63,30,84,36,71,61
2020년10월_계_100세 이상,19,5,2,3,0,0,3,0,2,0,4,0
2020년10월_남_총인구수,"20,828","3,534",550,"5,066",795,"1,008","1,944","1,103","2,194","1,041","1,683","1,910"
2020년10월_남_연령구간인구수,"20,828","3,534",550,"5,066",795,"1,008","1,944","1,103","2,194","1,041","1,683","1,910"
2020년10월_남_0~9세,791,243,21,229,12,29,66,35,71,23,34,28
2020년10월_남_10~19세,"1,175",342,17,353,36,33,75,22,145,31,62,59
2020년10월_남_20~29세,"1,717",350,31,515,55,71,136,90,154,70,112,133
2020년10월_남_30~39세,"1,505",321,49,458,55,60,143,55,119,55,80,110
2020년10월_남_40~49세,"2,501",537,66,724,87,97,213,79,252,92,167,187
2020년10월_남_50~59세,"3,890",616,86,922,149,177,374,224,410,245,337,350
2020년10월_남_60~69세,"4,779",620,133,"1,041",203,264,469,320,497,290,432,510
2020년10월_남_70~79세,"3,013",344,85,575,140,188,300,180,383,144,317,357
2020년10월_남_80~89세,"1,334",141,59,234,55,79,147,96,148,82,130,163
2020년10월_남_90~99세,122,20,2,15,3,10,21,2,15,9,12,13
2020년10월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년10월_여_총인구수,"21,581","3,696",560,"5,271",832,"1,109","2,023","1,131","2,328","1,078","1,659","1,894"
2020년10월_여_연령구간인구수,"21,581","3,696",560,"5,271",832,"1,109","2,023","1,131","2,328","1,078","1,659","1,894"
2020년10월_여_0~9세,763,227,22,244,26,17,71,28,62,11,23,32
2020년10월_여_10~19세,"1,109",329,8,360,17,37,91,41,121,13,43,49
2020년10월_여_20~29세,"1,151",256,24,359,33,42,85,46,117,54,73,62
2020년10월_여_30~39세,"1,338",338,43,400,37,45,118,51,137,46,61,62
2020년10월_여_40~49세,"1,961",480,30,617,52,67,136,76,208,96,97,102
2020년10월_여_50~59세,"3,474",605,80,856,126,159,325,205,364,196,253,305
2020년10월_여_60~69세,"4,784",637,143,"1,060",239,267,479,270,550,232,410,497
2020년10월_여_70~79세,"3,579",435,106,746,164,244,347,225,368,212,345,387
2020년10월_여_80~89세,"2,920",328,89,544,116,194,326,161,330,191,291,350
2020년10월_여_90~99세,484,56,14,82,22,37,42,28,69,27,59,48
