카테고리,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2020년04월_여_70~79세,"4,200",974,370,381,62,342,345,521,274,229,27,287,105,198,85
2020년04월_여_80~89세,"2,911",561,256,301,25,259,260,348,178,194,29,202,94,150,54
2020년04월_여_90~99세,437,91,41,45,3,40,34,55,24,30,5,23,16,18,12
2020년04월_여_100세 이상,20,8,2,1,2,2,1,2,0,0,1,0,0,0,1
2020년05월_계_총인구수,"50,245","18,346","3,760","4,447",786,"3,315","3,485","4,314","2,376","2,096",230,"2,570",993,"2,696",831
2020년05월_계_연령구간인구수,"50,245","18,346","3,760","4,447",786,"3,315","3,485","4,314","2,376","2,096",230,"2,570",993,"2,696",831
2020년05월_계_0~9세,"3,273","1,495",213,352,45,109,138,211,126,69,10,149,38,276,42
2020년05월_계_10~19세,"3,703","1,779",194,377,52,139,223,263,103,103,8,156,59,213,34
2020년05월_계_20~29세,"3,791","1,819",234,284,42,203,216,278,132,132,10,158,63,161,59
2020년05월_계_30~39세,"4,252","1,904",295,418,80,200,212,278,133,142,7,187,59,275,62
2020년05월_계_40~49세,"6,279","2,730",443,568,118,345,415,429,225,173,30,290,98,324,91
2020년05월_계_50~59세,"8,272","3,159",604,701,128,551,597,620,388,374,33,359,174,430,154
2020년05월_계_60~69세,"8,345","2,695",731,599,158,703,620,727,482,405,34,455,164,436,136
2020년05월_계_70~79세,"7,459","1,805",634,652,123,644,618,889,483,372,51,489,186,355,158
2020년05월_계_80~89세,"4,305",840,361,440,35,369,400,549,273,285,40,296,131,205,81
2020년05월_계_90~99세,543,111,49,55,3,50,45,68,31,40,6,30,21,21,13
2020년05월_계_100세 이상,23,9,2,1,2,2,1,2,0,1,1,1,0,0,1
2020년05월_남_총인구수,"25,267","9,256","1,913","2,230",430,"1,653","1,787","2,089","1,202","1,030",118,"1,268",493,"1,362",436
2020년05월_남_연령구간인구수,"25,267","9,256","1,913","2,230",430,"1,653","1,787","2,089","1,202","1,030",118,"1,268",493,"1,362",436
2020년05월_남_0~9세,"1,683",797,105,167,22,61,63,104,81,29,8,70,18,137,21
2020년05월_남_10~19세,"1,904",906,97,203,28,69,120,129,45,54,4,74,36,115,24
2020년05월_남_20~29세,"2,232","1,051",136,171,30,107,141,163,81,86,9,99,40,89,29
2020년05월_남_30~39세,"2,339",969,179,235,51,135,117,154,74,95,3,109,32,145,41
2020년05월_남_40~49세,"3,691","1,440",299,342,82,211,270,250,150,100,22,194,61,201,69
2020년05월_남_50~59세,"4,529","1,656",342,386,72,304,345,354,224,215,18,202,100,228,83
2020년05월_남_60~69세,"4,139","1,307",376,309,73,343,314,356,234,206,21,217,85,232,66
2020년05월_남_70~79세,"3,268",831,269,270,62,304,265,374,213,145,22,201,80,157,75
2020년05월_남_80~89세,"1,382",279,103,138,10,112,142,193,92,90,11,95,36,54,27
2020년05월_남_90~99세,97,19,7,9,0,7,10,12,8,9,0,6,5,4,1
2020년05월_남_100세 이상,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020년05월_여_총인구수,"24,978","9,090","1,847","2,217",356,"1,662","1,698","2,225","1,174","1,066",112,"1,302",500,"1,334",395
2020년05월_여_연령구간인구수,"24,978","9,090","1,847","2,217",356,"1,662","1,698","2,225","1,174","1,066",112,"1,302",500,"1,334",395
2020년05월_여_0~9세,"1,590",698,108,185,23,48,75,107,45,40,2,79,20,139,21
2020년05월_여_10~19세,"1,799",873,97,174,24,70,103,134,58,49,4,82,23,98,10
2020년05월_여_20~29세,"1,559",768,98,113,12,96,75,115,51,46,1,59,23,72,30
2020년05월_여_30~39세,"1,913",935,116,183,29,65,95,124,59,47,4,78,27,130,21
2020년05월_여_40~49세,"2,588","1,290",144,226,36,134,145,179,75,73,8,96,37,123,22
2020년05월_여_50~59세,"3,743","1,503",262,315,56,247,252,266,164,159,15,157,74,202,71
2020년05월_여_60~69세,"4,206","1,388",355,290,85,360,306,371,248,199,13,238,79,204,70
2020년05월_여_70~79세,"4,191",974,365,382,61,340,353,515,270,227,29,288,106,198,83
2020년05월_여_80~89세,"2,923",561,258,302,25,257,258,356,181,195,29,201,95,151,54
2020년05월_여_90~99세,446,92,42,46,3,43,35,56,23,31,6,24,16,17,12
2020년05월_여_100세 이상,20,8,2,1,2,2,1,2,0,0,1,0,0,0,1
2020년06월_계_총인구수,"50,192","18,352","3,771","4,441",778,"3,287","3,487","4,311","2,374","2,096",230,"2,559",992,"2,687",827
2020년06월_계_연령구간인구수,"50,192","18,352","3,771","4,441",778,"3,287","3,487","4,311","2,374","2,096",230,"2,559",992,"2,687",827
2020년06월_계_0~9세,"3,274","1,494",222,348,45,111,139,205,124,69,10,151,39,275,42
2020년06월_계_10~19세,"3,675","1,768",194,377,52,132,221,262,102,103,9,153,57,211,34
2020년06월_계_20~29세,"3,795","1,823",236,289,40,201,217,280,131,134,10,156,62,158,58
2020년06월_계_30~39세,"4,211","1,881",296,408,79,200,215,281,134,141,6,182,57,271,60
2020년06월_계_40~49세,"6,291","2,755",439,574,117,336,411,429,216,173,31,290,100,329,91
2020년06월_계_50~59세,"8,226","3,141",609,691,124,541,599,624,393,373,33,354,170,425,149
2020년06월_계_60~69세,"8,409","2,726",730,607,161,706,622,722,489,407,34,455,171,437,142
2020년06월_계_70~79세,"7,422","1,803",622,652,122,638,617,887,481,369,51,487,183,353,157
2020년06월_계_80~89세,"4,323",843,371,440,33,370,401,551,271,286,39,300,132,206,80
2020년06월_계_90~99세,543,109,50,54,3,50,44,68,33,40,6,30,21,22,13
2020년06월_계_100세 이상,23,9,2,1,2,2,1,2,0,1,1,1,0,0,1
2020년06월_남_총인구수,"25,246","9,260","1,922","2,222",425,"1,639","1,792","2,089","1,208","1,029",118,"1,259",491,"1,360",432
2020년06월_남_연령구간인구수,"25,246","9,260","1,922","2,222",425,"1,639","1,792","2,089","1,208","1,029",118,"1,259",491,"1,360",432
2020년06월_남_0~9세,"1,685",799,110,165,22,62,64,100,79,30,8,70,19,136,21
2020년06월_남_10~19세,"1,889",896,98,205,28,67,118,131,44,54,4,74,34,112,24
2020년06월_남_20~29세,"2,233","1,054",139,170,29,103,142,166,83,86,9,95,38,90,29
2020년06월_남_30~39세,"2,317",960,181,227,50,134,119,153,76,94,3,105,31,145,39
2020년06월_남_40~49세,"3,690","1,451",296,343,81,209,266,248,146,101,22,194,63,202,68
2020년06월_남_50~59세,"4,512","1,648",345,380,68,301,348,359,227,216,18,201,96,225,80
2020년06월_남_60~69세,"4,177","1,325",374,314,76,346,316,352,240,205,21,216,90,233,69
2020년06월_남_70~79세,"3,260",826,265,271,61,300,269,375,213,145,22,200,79,159,75
2020년06월_남_80~89세,"1,383",281,107,138,10,111,140,192,92,88,11,97,36,54,26
2020년06월_남_90~99세,97,19,7,9,0,6,10,13,8,9,0,6,5,4,1
2020년06월_남_100세 이상,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020년06월_여_총인구수,"24,946","9,092","1,849","2,219",353,"1,648","1,695","2,222","1,166","1,067",112,"1,300",501,"1,327",395
2020년06월_여_연령구간인구수,"24,946","9,092","1,849","2,219",353,"1,648","1,695","2,222","1,166","1,067",112,"1,300",501,"1,327",395
2020년06월_여_0~9세,"1,589",695,112,183,23,49,75,105,45,39,2,81,20,139,21
2020년06월_여_10~19세,"1,786",872,96,172,24,65,103,131,58,49,5,79,23,99,10
2020년06월_여_20~29세,"1,562",769,97,119,11,98,75,114,48,48,1,61,24,68,29
2020년06월_여_30~39세,"1,894",921,115,181,29,66,96,128,58,47,3,77,26,126,21
2020년06월_여_40~49세,"2,601","1,304",143,231,36,127,145,181,70,72,9,96,37,127,23
2020년06월_여_50~59세,"3,714","1,493",264,311,56,240,251,265,166,157,15,153,74,200,69
2020년06월_여_60~69세,"4,232","1,401",356,293,85,360,306,370,249,202,13,239,81,204,73
2020년06월_여_70~79세,"4,162",977,357,381,61,338,348,512,268,224,29,287,104,194,82
2020년06월_여_80~89세,"2,940",562,264,302,23,259,261,359,179,198,28,203,96,152,54
2020년06월_여_90~99세,446,90,43,45,3,44,34,55,25,31,6,24,16,18,12
2020년06월_여_100세 이상,20,8,2,1,2,2,1,2,0,0,1,0,0,0,1
2020년07월_계_총인구수,"50,210","18,353","3,771","4,442",780,"3,294","3,476","4,309","2,388","2,090",227,"2,562",993,"2,699",826
2020년07월_계_연령구간인구수,"50,210","18,353","3,771","4,442",780,"3,294","3,476","4,309","2,388","2,090",227,"2,562",993,"2,699",826
2020년07월_계_0~9세,"3,258","1,486",219,346,46,109,138,209,123,66,10,149,39,276,42
2020년07월_계_10~19세,"3,682","1,769",193,377,52,131,220,260,103,103,10,157,56,217,34
2020년07월_계_20~29세,"3,789","1,830",233,294,39,207,213,274,131,131,9,154,59,160,55
2020년07월_계_30~39세,"4,159","1,869",298,393,78,196,216,275,130,133,6,176,60,268,61
2020년07월_계_40~49세,"6,328","2,757",443,589,118,341,405,435,217,175,31,291,103,332,91
2020년07월_계_50~59세,"8,184","3,130",603,677,125,536,595,623,394,374,33,357,171,420,146
2020년07월_계_60~69세,"8,465","2,744",729,621,162,711,623,721,497,409,34,458,168,444,144
2020년07월_계_70~79세,"7,427","1,805",625,653,121,638,613,888,484,370,48,487,187,351,157
2020년07월_계_80~89세,"4,348",844,376,439,34,373,409,552,273,287,39,303,129,208,82
2020년07월_계_90~99세,545,109,50,52,3,49,43,70,36,41,6,29,21,23,13
2020년07월_계_100세 이상,25,10,2,1,2,3,1,2,0,1,1,1,0,0,1
2020년07월_남_총인구수,"25,263","9,250","1,924","2,225",426,"1,644","1,785","2,091","1,219","1,026",117,"1,263",496,"1,365",432
2020년07월_남_연령구간인구수,"25,263","9,250","1,924","2,225",426,"1,644","1,785","2,091","1,219","1,026",117,"1,263",496,"1,365",432
2020년07월_남_0~9세,"1,684",796,110,165,23,61,63,103,78,30,8,70,19,137,21
2020년07월_남_10~19세,"1,890",897,94,203,28,66,115,132,46,54,5,76,34,116,24
2020년07월_남_20~29세,"2,229","1,052",138,172,28,107,143,161,83,84,9,96,37,90,29
2020년07월_남_30~39세,"2,282",955,182,223,48,131,115,151,72,89,3,99,33,142,39
2020년07월_남_40~49세,"3,715","1,454",299,350,83,213,262,252,148,102,22,194,65,203,68
2020년07월_남_50~59세,"4,503","1,643",341,372,69,303,345,359,230,218,18,206,98,223,78
2020년07월_남_60~69세,"4,197","1,323",380,320,76,345,321,352,243,205,21,218,88,236,69
2020년07월_남_70~79세,"3,270",828,264,275,61,300,268,376,216,146,20,199,81,159,77
2020년07월_남_80~89세,"1,394",282,109,136,10,112,143,193,95,88,11,98,36,55,26
2020년07월_남_90~99세,96,19,7,9,0,6,10,12,8,9,0,6,5,4,1
2020년07월_남_100세 이상,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020년07월_여_총인구수,"24,947","9,103","1,847","2,217",354,"1,650","1,691","2,218","1,169","1,064",110,"1,299",497,"1,334",394
2020년07월_여_연령구간인구수,"24,947","9,103","1,847","2,217",354,"1,650","1,691","2,218","1,169","1,064",110,"1,299",497,"1,334",394
2020년07월_여_0~9세,"1,574",690,109,181,23,48,75,106,45,36,2,79,20,139,21
2020년07월_여_10~19세,"1,792",872,99,174,24,65,105,128,57,49,5,81,22,101,10
2020년07월_여_20~29세,"1,560",778,95,122,11,100,70,113,48,47,0,58,22,70,26
2020년07월_여_30~39세,"1,877",914,116,170,30,65,101,124,58,44,3,77,27,126,22
2020년07월_여_40~49세,"2,613","1,303",144,239,35,128,143,183,69,73,9,97,38,129,23
2020년07월_여_50~59세,"3,681","1,487",262,305,56,233,250,264,164,156,15,151,73,197,68
2020년07월_여_60~69세,"4,268","1,421",349,301,86,366,302,369,254,204,13,240,80,208,75
2020년07월_여_70~79세,"4,157",977,361,378,60,338,345,512,268,224,28,288,106,192,80
