카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동,경상북도 경주시 문무대왕면
2020년03월_여_60~69세,"20,111",625,"2,180","1,022","1,612",394,615,544,433,384,"1,137",636,487,577,804,"1,487",551,873,595,"1,018","1,424","1,655",868,190,
2020년03월_여_70~79세,"13,460",565,"1,605",824,988,351,405,449,342,359,623,483,385,407,581,971,502,508,428,518,646,819,565,136,
2020년03월_여_80~89세,"8,717",341,"1,083",528,767,305,258,395,246,233,424,401,248,206,274,396,350,317,288,316,445,434,385,77,
2020년03월_여_90~99세,"1,307",58,131,81,118,54,60,45,45,30,69,56,35,27,43,60,46,46,43,51,73,52,67,17,
2020년03월_여_100세 이상,69,2,9,7,3,2,1,2,2,1,1,2,2,5,8,1,5,1,1,4,3,0,6,1,
2020년04월_계_총인구수,"254,225","5,576","25,524","9,614","19,016","4,368","6,293","4,815","3,283","3,273","21,976","6,458","5,686","5,460","6,791","14,265","4,983","15,076","5,973","21,577","29,410","23,244","9,744","1,820",
2020년04월_계_연령구간인구수,"254,225","5,576","25,524","9,614","19,016","4,368","6,293","4,815","3,283","3,273","21,976","6,458","5,686","5,460","6,791","14,265","4,983","15,076","5,973","21,577","29,410","23,244","9,744","1,820",
2020년04월_계_0~9세,"16,697",158,"1,295",381,"1,046",244,301,101,54,71,"2,451",202,260,214,205,484,103,"1,239",370,"2,668","2,739","1,373",673,65,
2020년04월_계_10~19세,"21,499",218,"2,163",504,"1,103",206,335,219,94,140,"2,511",366,362,328,359,914,217,"1,777",349,"2,434","3,852","2,365",588,95,
2020년04월_계_20~29세,"27,380",397,"2,549",781,"1,875",451,609,294,153,197,"2,375",540,535,590,679,"2,059",370,"1,928",505,"2,466","3,821","3,161",864,181,
2020년04월_계_30~39세,"26,099",351,"1,927",709,"2,110",498,510,269,144,166,"3,143",432,586,550,583,"1,367",333,"1,568",550,"3,067","3,413","2,469","1,215",139,
2020년04월_계_40~49세,"37,466",649,"3,491","1,081","2,580",416,751,441,208,337,"3,879",775,706,686,807,"1,882",535,"2,646",777,"3,879","5,502","3,919","1,301",218,
2020년04월_계_50~59세,"46,902","1,051","5,159","1,759","3,883",656,"1,321",930,621,580,"3,505","1,299","1,067",945,"1,239","2,453",898,"2,757","1,042","3,669","5,404","4,559","1,766",339,
2020년04월_계_60~69세,"39,596","1,227","4,300","2,022","3,356",807,"1,265","1,112",930,750,"2,281","1,304","1,015","1,049","1,436","2,665","1,087","1,710","1,118","2,029","2,862","3,209","1,679",383,
2020년04월_계_70~79세,"24,110",946,"2,887","1,438","1,845",599,743,817,658,644,"1,139",892,732,729,993,"1,731",863,908,782,866,"1,135","1,493","1,009",261,
2020년04월_계_80~89세,"12,732",507,"1,573",828,"1,067",428,381,568,361,352,612,568,375,331,420,630,508,482,417,429,597,627,557,114,
2020년04월_계_90~99세,"1,653",70,169,103,145,60,75,61,57,34,78,78,46,30,60,78,61,60,62,66,83,68,86,23,
2020년04월_계_100세 이상,91,2,11,8,6,3,2,3,3,2,2,2,2,8,10,2,8,1,1,4,2,1,6,2,
2020년04월_남_총인구수,"127,374","2,790","12,723","4,878","10,059","2,277","3,347","2,418","1,623","1,637","10,858","3,294","2,952","2,724","3,284","7,084","2,444","7,567","2,972","10,600","14,510","11,619","4,812",902,
2020년04월_남_연령구간인구수,"127,374","2,790","12,723","4,878","10,059","2,277","3,347","2,418","1,623","1,637","10,858","3,294","2,952","2,724","3,284","7,084","2,444","7,567","2,972","10,600","14,510","11,619","4,812",902,
2020년04월_남_0~9세,"8,537",86,677,194,523,123,158,52,30,39,"1,269",93,137,104,91,264,52,629,193,"1,355","1,396",693,349,30,
2020년04월_남_10~19세,"11,254",115,"1,087",282,585,130,179,108,47,92,"1,269",192,189,183,196,469,104,956,190,"1,227","2,066","1,241",307,40,
2020년04월_남_20~29세,"15,515",242,"1,481",494,"1,125",272,400,179,94,114,"1,279",315,292,334,370,"1,168",214,"1,085",313,"1,352","2,086","1,774",445,87,
2020년04월_남_30~39세,"13,864",206,"1,028",418,"1,235",303,303,174,78,89,"1,553",258,336,303,336,802,191,783,272,"1,497","1,647","1,316",653,83,
2020년04월_남_40~49세,"19,605",413,"1,823",627,"1,575",270,447,255,120,208,"1,920",457,407,390,458,"1,018",309,"1,283",424,"1,916","2,539","1,926",704,116,
2020년04월_남_50~59세,"24,207",569,"2,699",938,"2,112",390,742,526,317,322,"1,740",718,581,489,629,"1,183",501,"1,414",557,"1,757","2,688","2,239",910,186,
2020년04월_남_60~69세,"19,435",601,"2,124",998,"1,726",410,646,569,491,363,"1,126",665,526,468,631,"1,176",540,845,526,"1,021","1,433","1,550",808,192,
2020년04월_남_70~79세,"10,624",379,"1,272",612,855,251,334,372,314,285,512,410,346,328,414,755,363,396,352,347,490,666,446,125,
2020년04월_남_80~89세,"3,982",166,496,293,293,121,125,168,120,119,183,165,126,118,143,231,153,162,127,114,154,197,172,36,
2020년04월_남_90~99세,329,13,34,21,27,6,13,14,11,5,6,21,12,4,14,17,14,14,18,14,11,16,18,6,
2020년04월_남_100세 이상,22,0,2,1,3,1,0,1,1,1,1,0,0,3,2,1,3,0,0,0,0,1,0,1,
2020년04월_여_총인구수,"126,851","2,786","12,801","4,736","8,957","2,091","2,946","2,397","1,660","1,636","11,118","3,164","2,734","2,736","3,507","7,181","2,539","7,509","3,001","10,977","14,900","11,625","4,932",918,
2020년04월_여_연령구간인구수,"126,851","2,786","12,801","4,736","8,957","2,091","2,946","2,397","1,660","1,636","11,118","3,164","2,734","2,736","3,507","7,181","2,539","7,509","3,001","10,977","14,900","11,625","4,932",918,
2020년04월_여_0~9세,"8,160",72,618,187,523,121,143,49,24,32,"1,182",109,123,110,114,220,51,610,177,"1,313","1,343",680,324,35,
2020년04월_여_10~19세,"10,245",103,"1,076",222,518,76,156,111,47,48,"1,242",174,173,145,163,445,113,821,159,"1,207","1,786","1,124",281,55,
2020년04월_여_20~29세,"11,865",155,"1,068",287,750,179,209,115,59,83,"1,096",225,243,256,309,891,156,843,192,"1,114","1,735","1,387",419,94,
2020년04월_여_30~39세,"12,235",145,899,291,875,195,207,95,66,77,"1,590",174,250,247,247,565,142,785,278,"1,570","1,766","1,153",562,56,
2020년04월_여_40~49세,"17,861",236,"1,668",454,"1,005",146,304,186,88,129,"1,959",318,299,296,349,864,226,"1,363",353,"1,963","2,963","1,993",597,102,
2020년04월_여_50~59세,"22,695",482,"2,460",821,"1,771",266,579,404,304,258,"1,765",581,486,456,610,"1,270",397,"1,343",485,"1,912","2,716","2,320",856,153,
2020년04월_여_60~69세,"20,161",626,"2,176","1,024","1,630",397,619,543,439,387,"1,155",639,489,581,805,"1,489",547,865,592,"1,008","1,429","1,659",871,191,
2020년04월_여_70~79세,"13,486",567,"1,615",826,990,348,409,445,344,359,627,482,386,401,579,976,500,512,430,519,645,827,563,136,
2020년04월_여_80~89세,"8,750",341,"1,077",535,774,307,256,400,241,233,429,403,249,213,277,399,355,320,290,315,443,430,385,78,
2020년04월_여_90~99세,"1,324",57,135,82,118,54,62,47,46,29,72,57,34,26,46,61,47,46,44,52,72,52,68,17,
2020년04월_여_100세 이상,69,2,9,7,3,2,2,2,2,1,1,2,2,5,8,1,5,1,1,4,2,0,6,1,
2020년05월_계_총인구수,"254,035","5,585","25,453","9,580","19,139","4,352","6,283","4,808","3,291","3,277","22,007","6,432","5,702","5,436","6,790","14,238","4,961","15,085","5,958","21,551","29,350","23,193","9,736","1,828",
2020년05월_계_연령구간인구수,"254,035","5,585","25,453","9,580","19,139","4,352","6,283","4,808","3,291","3,277","22,007","6,432","5,702","5,436","6,790","14,238","4,961","15,085","5,958","21,551","29,350","23,193","9,736","1,828",
2020년05월_계_0~9세,"16,693",161,"1,283",377,"1,072",247,299,103,54,69,"2,469",203,268,211,205,481,101,"1,237",367,"2,671","2,708","1,365",674,68,
2020년05월_계_10~19세,"21,346",218,"2,143",500,"1,111",198,336,218,94,138,"2,498",362,356,327,357,897,213,"1,767",339,"2,425","3,821","2,349",584,95,
2020년05월_계_20~29세,"27,272",394,"2,508",771,"1,884",454,600,285,148,198,"2,372",523,539,589,666,"2,080",366,"1,941",513,"2,445","3,814","3,139",864,179,
2020년05월_계_30~39세,"26,070",356,"1,923",702,"2,137",496,514,267,148,166,"3,151",426,592,546,594,"1,349",329,"1,566",545,"3,047","3,394","2,466","1,213",143,
2020년05월_계_40~49세,"37,319",648,"3,478","1,077","2,584",407,746,432,206,330,"3,866",768,700,673,799,"1,867",531,"2,648",770,"3,893","5,498","3,888","1,293",217,
2020년05월_계_50~59세,"46,927","1,038","5,154","1,756","3,891",646,"1,319",932,624,589,"3,534","1,300","1,076",943,"1,242","2,464",895,"2,755","1,044","3,662","5,415","4,545","1,766",337,
2020년05월_계_60~69세,"39,667","1,240","4,312","2,020","3,380",808,"1,266","1,108",935,748,"2,278","1,305","1,017","1,042","1,438","2,660","1,080","1,708","1,117","2,039","2,873","3,233","1,673",387,
2020년05월_계_70~79세,"24,214",949,"2,893","1,434","1,858",601,742,827,658,650,"1,150",894,732,734,994,"1,729",867,919,781,873,"1,143","1,508","1,017",261,
2020년05월_계_80~89세,"12,770",510,"1,578",832,"1,073",429,385,572,364,354,612,570,375,334,422,629,509,478,417,424,599,630,559,115,
2020년05월_계_90~99세,"1,666",69,170,103,143,63,74,61,57,33,75,79,45,29,63,80,62,65,64,68,83,69,87,24,
2020년05월_계_100세 이상,91,2,11,8,6,3,2,3,3,2,2,2,2,8,10,2,8,1,1,4,2,1,6,2,
2020년05월_남_총인구수,"127,240","2,795","12,665","4,857","10,118","2,262","3,338","2,415","1,631","1,642","10,864","3,269","2,956","2,711","3,274","7,069","2,432","7,582","2,951","10,597","14,488","11,593","4,824",907,
2020년05월_남_연령구간인구수,"127,240","2,795","12,665","4,857","10,118","2,262","3,338","2,415","1,631","1,642","10,864","3,269","2,956","2,711","3,274","7,069","2,432","7,582","2,951","10,597","14,488","11,593","4,824",907,
2020년05월_남_0~9세,"8,530",88,670,196,537,123,156,53,30,38,"1,278",93,140,103,91,263,51,631,188,"1,355","1,373",688,353,32,
2020년05월_남_10~19세,"11,190",116,"1,086",276,588,126,179,109,47,90,"1,264",189,184,183,193,463,103,952,186,"1,227","2,060","1,225",304,40,
2020년05월_남_20~29세,"15,443",239,"1,450",483,"1,132",273,392,173,94,117,"1,275",306,293,333,360,"1,184",211,"1,085",313,"1,342","2,079","1,770",452,87,
2020년05월_남_30~39세,"13,849",209,"1,021",418,"1,242",302,304,171,79,89,"1,549",255,339,300,338,787,191,791,268,"1,497","1,647","1,314",654,84,
2020년05월_남_40~49세,"19,503",412,"1,810",625,"1,572",265,447,250,119,203,"1,910",445,400,384,453,"1,020",305,"1,288",418,"1,914","2,531","1,915",703,114,
2020년05월_남_50~59세,"24,214",566,"2,694",934,"2,116",378,741,530,319,329,"1,759",718,590,485,633,"1,188",498,"1,408",554,"1,751","2,694","2,230",913,186,
2020년05월_남_60~69세,"19,472",602,"2,125",995,"1,745",411,644,569,494,364,"1,120",667,527,468,635,"1,161",537,850,524,"1,029","1,442","1,561",805,197,
2020년05월_남_70~79세,"10,675",382,"1,272",615,861,254,338,379,315,285,519,410,347,329,409,752,364,398,355,354,491,674,449,123,
2020년05월_남_80~89세,"4,015",169,501,293,295,124,124,167,122,121,183,165,124,119,146,234,155,164,127,114,160,199,173,36,
2020년05월_남_90~99세,327,12,34,21,27,5,13,13,11,5,6,21,12,4,14,16,14,15,18,14,11,16,18,7,
2020년05월_남_100세 이상,22,0,2,1,3,1,0,1,1,1,1,0,0,3,2,1,3,0,0,0,0,1,0,1,
2020년05월_여_총인구수,"126,795","2,790","12,788","4,723","9,021","2,090","2,945","2,393","1,660","1,635","11,143","3,163","2,746","2,725","3,516","7,169","2,529","7,503","3,007","10,954","14,862","11,600","4,912",921,
2020년05월_여_연령구간인구수,"126,795","2,790","12,788","4,723","9,021","2,090","2,945","2,393","1,660","1,635","11,143","3,163","2,746","2,725","3,516","7,169","2,529","7,503","3,007","10,954","14,862","11,600","4,912",921,
2020년05월_여_0~9세,"8,163",73,613,181,535,124,143,50,24,31,"1,191",110,128,108,114,218,50,606,179,"1,316","1,335",677,321,36,
2020년05월_여_10~19세,"10,156",102,"1,057",224,523,72,157,109,47,48,"1,234",173,172,144,164,434,110,815,153,"1,198","1,761","1,124",280,55,
2020년05월_여_20~29세,"11,829",155,"1,058",288,752,181,208,112,54,81,"1,097",217,246,256,306,896,155,856,200,"1,103","1,735","1,369",412,92,
2020년05월_여_30~39세,"12,221",147,902,284,895,194,210,96,69,77,"1,602",171,253,246,256,562,138,775,277,"1,550","1,747","1,152",559,59,
2020년05월_여_40~49세,"17,816",236,"1,668",452,"1,012",142,299,182,87,127,"1,956",323,300,289,346,847,226,"1,360",352,"1,979","2,967","1,973",590,103,
2020년05월_여_50~59세,"22,713",472,"2,460",822,"1,775",268,578,402,305,260,"1,775",582,486,458,609,"1,276",397,"1,347",490,"1,911","2,721","2,315",853,151,
2020년05월_여_60~69세,"20,195",638,"2,187","1,025","1,635",397,622,539,441,384,"1,158",638,490,574,803,"1,499",543,858,593,"1,010","1,431","1,672",868,190,
2020년05월_여_70~79세,"13,539",567,"1,621",819,997,347,404,448,343,365,631,484,385,405,585,977,503,521,426,519,652,834,568,138,
2020년05월_여_80~89세,"8,755",341,"1,077",539,778,305,261,405,242,233,429,405,251,215,276,395,354,314,290,310,439,431,386,79,
2020년05월_여_90~99세,"1,339",57,136,82,116,58,61,48,46,28,69,58,33,25,49,64,48,50,46,54,72,53,69,17,
2020년05월_여_100세 이상,69,2,9,7,3,2,2,2,2,1,1,2,2,5,8,1,5,1,1,4,2,0,6,1,
2020년06월_계_총인구수,"253,758","5,571","25,375","9,577","19,236","4,353","6,297","4,797","3,283","3,275","22,020","6,407","5,708","5,426","6,741","14,230","4,928","15,044","5,961","21,563","29,285","23,141","9,734","1,806",
2020년06월_계_연령구간인구수,"253,758","5,571","25,375","9,577","19,236","4,353","6,297","4,797","3,283","3,275","22,020","6,407","5,708","5,426","6,741","14,230","4,928","15,044","5,961","21,563","29,285","23,141","9,734","1,806",
2020년06월_계_0~9세,"16,591",158,"1,273",370,"1,070",246,297,104,52,66,"2,478",199,271,212,201,476,100,"1,224",367,"2,658","2,685","1,347",673,64,
2020년06월_계_10~19세,"21,315",223,"2,141",502,"1,109",198,341,217,95,139,"2,495",354,352,329,351,898,213,"1,758",338,"2,429","3,809","2,352",578,94,
2020년06월_계_20~29세,"27,113",386,"2,477",759,"1,885",448,593,281,140,197,"2,365",521,537,584,659,"2,087",363,"1,936",507,"2,440","3,801","3,111",857,179,
2020년06월_계_30~39세,"25,973",353,"1,914",704,"2,140",503,512,263,142,164,"3,155",419,603,543,585,"1,345",321,"1,562",541,"3,016","3,375","2,458","1,214",141,
2020년06월_계_40~49세,"37,208",640,"3,460","1,072","2,616",404,748,431,205,329,"3,859",766,701,669,795,"1,843",529,"2,625",774,"3,904","5,468","3,863","1,295",212,
2020년06월_계_50~59세,"46,844","1,033","5,137","1,754","3,901",651,"1,319",920,622,592,"3,540","1,286","1,074",929,"1,218","2,471",882,"2,764","1,039","3,664","5,429","4,527","1,757",335,
2020년06월_계_60~69세,"39,904","1,248","4,328","2,029","3,425",807,"1,279","1,114",940,750,"2,291","1,315","1,016","1,051","1,441","2,660","1,084","1,707","1,135","2,068","2,884","3,266","1,683",383,
2020년06월_계_70~79세,"24,271",947,"2,892","1,440","1,864",603,747,830,665,648,"1,147",895,734,735,997,"1,739",860,927,776,882,"1,152","1,509","1,022",260,
2020년06월_계_80~89세,"12,785",512,"1,572",834,"1,075",428,384,574,363,355,616,573,374,335,422,630,509,475,419,428,596,636,562,113,
2020년06월_계_90~99세,"1,661",69,169,105,145,62,75,60,56,33,72,77,43,31,62,79,59,65,64,70,84,71,87,23,
2020년06월_계_100세 이상,93,2,12,8,6,3,2,3,3,2,2,2,3,8,10,2,8,1,1,4,2,1,6,2,
2020년06월_남_총인구수,"127,101","2,786","12,635","4,845","10,171","2,266","3,346","2,407","1,628","1,643","10,887","3,253","2,966","2,705","3,257","7,060","2,423","7,551","2,948","10,612","14,436","11,573","4,808",895,
2020년06월_남_연령구간인구수,"127,101","2,786","12,635","4,845","10,171","2,266","3,346","2,407","1,628","1,643","10,887","3,253","2,966","2,705","3,257","7,060","2,423","7,551","2,948","10,612","14,436","11,573","4,808",895,
2020년06월_남_0~9세,"8,490",89,666,192,540,124,154,54,28,36,"1,287",90,141,106,91,262,52,619,188,"1,347","1,359",684,350,31,
2020년06월_남_10~19세,"11,161",116,"1,079",276,590,126,183,109,48,91,"1,263",184,179,184,192,470,102,942,186,"1,227","2,052","1,222",301,39,
2020년06월_남_20~29세,"15,353",235,"1,444",475,"1,117",270,389,170,88,120,"1,274",302,296,329,357,"1,183",211,"1,085",308,"1,339","2,070","1,757",448,86,
2020년06월_남_30~39세,"13,803",207,"1,017",418,"1,255",306,302,167,76,88,"1,556",251,344,293,333,787,188,796,262,"1,487","1,628","1,310",649,83,
2020년06월_남_40~49세,"19,459",406,"1,805",622,"1,590",262,448,253,118,203,"1,907",446,403,383,449,"1,008",304,"1,281",423,"1,919","2,514","1,901",701,113,
2020년06월_남_50~59세,"24,136",566,"2,681",931,"2,116",383,742,517,319,330,"1,756",711,590,478,626,"1,183",490,"1,399",552,"1,748","2,696","2,230",907,185,
2020년06월_남_60~69세,"19,623",602,"2,133",996,"1,773",411,649,575,500,366,"1,133",676,527,475,637,"1,163",542,848,532,"1,052","1,455","1,573",812,193,
2020년06월_남_70~79세,"10,708",382,"1,279",617,861,256,342,380,318,280,519,410,350,330,411,755,364,405,351,364,491,671,449,123,
2020년06월_남_80~89세,"4,020",171,497,295,297,122,124,168,122,123,185,164,123,120,145,234,154,161,127,115,159,206,174,34,
2020년06월_남_90~99세,326,12,32,22,29,5,13,13,10,5,6,19,13,4,14,14,13,15,19,14,12,18,17,7,
2020년06월_남_100세 이상,22,0,2,1,3,1,0,1,1,1,1,0,0,3,2,1,3,0,0,0,0,1,0,1,
2020년06월_여_총인구수,"126,657","2,785","12,740","4,732","9,065","2,087","2,951","2,390","1,655","1,632","11,133","3,154","2,742","2,721","3,484","7,170","2,505","7,493","3,013","10,951","14,849","11,568","4,926",911,
2020년06월_여_연령구간인구수,"126,657","2,785","12,740","4,732","9,065","2,087","2,951","2,390","1,655","1,632","11,133","3,154","2,742","2,721","3,484","7,170","2,505","7,493","3,013","10,951","14,849","11,568","4,926",911,
2020년06월_여_0~9세,"8,101",69,607,178,530,122,143,50,24,30,"1,191",109,130,106,110,214,48,605,179,"1,311","1,326",663,323,33,
2020년06월_여_10~19세,"10,154",107,"1,062",226,519,72,158,108,47,48,"1,232",170,173,145,159,428,111,816,152,"1,202","1,757","1,130",277,55,
2020년06월_여_20~29세,"11,760",151,"1,033",284,768,178,204,111,52,77,"1,091",219,241,255,302,904,152,851,199,"1,101","1,731","1,354",409,93,
2020년06월_여_30~39세,"12,170",146,897,286,885,197,210,96,66,76,"1,599",168,259,250,252,558,133,766,279,"1,529","1,747","1,148",565,58,
2020년06월_여_40~49세,"17,749",234,"1,655",450,"1,026",142,300,178,87,126,"1,952",320,298,286,346,835,225,"1,344",351,"1,985","2,954","1,962",594,99,
2020년06월_여_50~59세,"22,708",467,"2,456",823,"1,785",268,577,403,303,262,"1,784",575,484,451,592,"1,288",392,"1,365",487,"1,916","2,733","2,297",850,150,
2020년06월_여_60~69세,"20,281",646,"2,195","1,033","1,652",396,630,539,440,384,"1,158",639,489,576,804,"1,497",542,859,603,"1,016","1,429","1,693",871,190,
2020년06월_여_70~79세,"13,563",565,"1,613",823,"1,003",347,405,450,347,368,628,485,384,405,586,984,496,522,425,518,661,838,573,137,
2020년06월_여_80~89세,"8,765",341,"1,075",539,778,306,260,406,241,232,431,409,251,215,277,396,355,314,292,313,437,430,388,79,
2020년06월_여_90~99세,"1,335",57,137,83,116,57,62,47,46,28,66,58,30,27,48,65,46,50,45,56,72,53,70,16,
2020년06월_여_100세 이상,71,2,10,7,3,2,2,2,2,1,1,2,3,5,8,1,5,1,1,4,2,0,6,1,
2020년07월_계_총인구수,"253,674","5,568","25,297","9,586","19,412","4,350","6,294","4,786","3,279","3,271","22,010","6,392","5,734","5,397","6,729","14,206","4,909","15,035","5,937","21,601","29,255","23,085","9,743","1,798",
2020년07월_계_연령구간인구수,"253,674","5,568","25,297","9,586","19,412","4,350","6,294","4,786","3,279","3,271","22,010","6,392","5,734","5,397","6,729","14,206","4,909","15,035","5,937","21,601","29,255","23,085","9,743","1,798",
2020년07월_계_0~9세,"16,530",158,"1,258",375,"1,087",245,301,103,50,64,"2,472",198,282,208,200,469,101,"1,221",361,"2,649","2,658","1,331",677,62,
