카테고리,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2020년04월_여_연령구간인구수,"24,424","6,994","1,485","3,158",341,"1,391","1,381",908,"3,180","3,840",650,"1,096"
2020년04월_여_0~9세,"1,454",534,27,390,2,53,31,27,165,185,13,27
2020년04월_여_10~19세,"1,767",806,70,217,16,67,55,26,187,263,17,43
2020년04월_여_20~29세,"1,847",668,81,304,18,69,56,50,275,267,17,42
2020년04월_여_30~39세,"2,010",708,62,521,8,79,50,20,255,261,16,30
2020년04월_여_40~49세,"2,859","1,177",108,390,18,122,75,69,360,423,60,57
2020년04월_여_50~59세,"4,044","1,101",218,465,52,231,212,126,625,714,139,161
2020년04월_여_60~69세,"4,027",852,298,372,63,249,286,178,549,830,134,216
2020년04월_여_70~79세,"3,265",620,318,247,78,252,262,194,412,534,130,218
2020년04월_여_80~89세,"2,626",427,247,210,75,220,284,189,307,303,114,250
2020년04월_여_90~99세,508,99,54,38,11,48,68,29,42,59,9,51
2020년04월_여_100세 이상,17,2,2,4,0,1,2,0,3,1,1,1
2020년05월_계_총인구수,"48,815","14,077","2,896","6,652",707,"2,758","2,594","1,762","6,523","7,514","1,281","2,051"
2020년05월_계_연령구간인구수,"48,815","14,077","2,896","6,652",707,"2,758","2,594","1,762","6,523","7,514","1,281","2,051"
2020년05월_계_0~9세,"2,956","1,129",68,770,6,122,58,46,312,370,23,52
2020년05월_계_10~19세,"3,845","1,684",255,467,27,129,100,64,418,569,43,89
2020년05월_계_20~29세,"4,494","1,538",187,745,47,202,184,117,704,635,42,93
2020년05월_계_30~39세,"4,406","1,454",157,"1,150",26,172,122,66,589,539,45,86
2020년05월_계_40~49세,"6,376","2,387",252,939,63,295,169,154,867,956,125,169
2020년05월_계_50~59세,"8,693","2,363",476,"1,046",151,515,467,279,"1,299","1,442",297,358
2020년05월_계_60~69세,"7,905","1,667",544,741,141,524,557,364,"1,125","1,523",297,422
2020년05월_계_70~79세,"5,742","1,085",525,463,128,408,457,352,736,979,228,381
2020년05월_계_80~89세,"3,782",652,370,287,104,333,402,283,420,429,161,341
2020년05월_계_90~99세,598,116,60,40,14,57,76,37,50,71,18,59
2020년05월_계_100세 이상,18,2,2,4,0,1,2,0,3,1,2,1
2020년05월_남_총인구수,"24,399","7,086","1,407","3,485",368,"1,372","1,218",854,"3,332","3,697",625,955
2020년05월_남_연령구간인구수,"24,399","7,086","1,407","3,485",368,"1,372","1,218",854,"3,332","3,697",625,955
2020년05월_남_0~9세,"1,499",598,40,376,4,69,27,19,144,188,10,24
2020년05월_남_10~19세,"2,093",885,186,250,13,63,47,38,235,306,24,46
2020년05월_남_20~29세,"2,641",865,102,443,28,133,127,67,426,374,23,53
2020년05월_남_30~39세,"2,402",749,97,628,18,94,73,45,333,281,29,55
2020년05월_남_40~49세,"3,514","1,205",141,541,45,177,95,86,504,542,65,113
2020년05월_남_50~59세,"4,669","1,263",265,587,99,284,258,156,673,729,158,197
2020년05월_남_60~69세,"3,869",815,242,364,77,273,271,185,577,696,162,207
2020년05월_남_70~79세,"2,473",462,208,217,50,159,194,157,321,442,100,163
2020년05월_남_80~89세,"1,150",228,119,77,33,111,118,93,109,127,45,90
2020년05월_남_90~99세,87,16,7,2,1,9,8,8,9,12,8,7
2020년05월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,1,0
2020년05월_여_총인구수,"24,416","6,991","1,489","3,167",339,"1,386","1,376",908,"3,191","3,817",656,"1,096"
2020년05월_여_연령구간인구수,"24,416","6,991","1,489","3,167",339,"1,386","1,376",908,"3,191","3,817",656,"1,096"
2020년05월_여_0~9세,"1,457",531,28,394,2,53,31,27,168,182,13,28
2020년05월_여_10~19세,"1,752",799,69,217,14,66,53,26,183,263,19,43
2020년05월_여_20~29세,"1,853",673,85,302,19,69,57,50,278,261,19,40
2020년05월_여_30~39세,"2,004",705,60,522,8,78,49,21,256,258,16,31
2020년05월_여_40~49세,"2,862","1,182",111,398,18,118,74,68,363,414,60,56
2020년05월_여_50~59세,"4,024","1,100",211,459,52,231,209,123,626,713,139,161
2020년05월_여_60~69세,"4,036",852,302,377,64,251,286,179,548,827,135,215
2020년05월_여_70~79세,"3,269",623,317,246,78,249,263,195,415,537,128,218
2020년05월_여_80~89세,"2,632",424,251,210,71,222,284,190,311,302,116,251
2020년05월_여_90~99세,511,100,53,38,13,48,68,29,41,59,10,52
2020년05월_여_100세 이상,16,2,2,4,0,1,2,0,2,1,1,1
2020년06월_계_총인구수,"48,843","14,072","2,912","6,657",708,"2,747","2,591","1,755","6,555","7,515","1,279","2,052"
2020년06월_계_연령구간인구수,"48,843","14,072","2,912","6,657",708,"2,747","2,591","1,755","6,555","7,515","1,279","2,052"
2020년06월_계_0~9세,"2,962","1,122",70,775,6,120,59,46,321,368,23,52
2020년06월_계_10~19세,"3,860","1,686",272,462,27,127,99,64,418,569,42,94
2020년06월_계_20~29세,"4,510","1,538",188,747,47,204,184,114,709,643,45,91
2020년06월_계_30~39세,"4,401","1,442",161,"1,144",26,171,123,66,601,537,44,86
2020년06월_계_40~49세,"6,332","2,376",252,936,63,293,161,151,860,948,120,172
2020년06월_계_50~59세,"8,694","2,389",472,"1,044",149,508,463,276,"1,302","1,441",297,353
2020년06월_계_60~69세,"7,952","1,667",542,754,142,530,565,371,"1,133","1,529",298,421
2020년06월_계_70~79세,"5,734","1,088",524,459,130,402,458,349,734,982,228,380
2020년06월_계_80~89세,"3,771",644,367,292,104,334,399,280,423,426,161,341
2020년06월_계_90~99세,609,118,62,40,14,57,78,38,51,71,19,61
2020년06월_계_100세 이상,18,2,2,4,0,1,2,0,3,1,2,1
2020년06월_남_총인구수,"24,430","7,088","1,422","3,488",368,"1,366","1,218",852,"3,357","3,693",620,958
2020년06월_남_연령구간인구수,"24,430","7,088","1,422","3,488",368,"1,366","1,218",852,"3,357","3,693",620,958
2020년06월_남_0~9세,"1,498",591,40,380,4,68,27,19,150,186,10,23
2020년06월_남_10~19세,"2,111",888,203,251,13,62,47,38,235,303,23,48
2020년06월_남_20~29세,"2,658",869,106,442,28,134,125,66,430,381,24,53
2020년06월_남_30~39세,"2,395",739,98,622,18,94,75,45,344,276,28,56
2020년06월_남_40~49세,"3,487","1,202",141,540,45,175,91,82,498,537,60,116
2020년06월_남_50~59세,"4,679","1,274",262,585,97,284,258,157,681,726,160,195
2020년06월_남_60~69세,"3,895",822,240,371,78,273,273,189,581,701,161,206
2020년06월_남_70~79세,"2,467",460,207,217,51,157,195,155,318,445,99,163
2020년06월_남_80~89세,"1,146",227,117,78,33,110,117,93,109,126,45,91
2020년06월_남_90~99세,92,16,8,2,1,9,10,8,10,12,9,7
2020년06월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,1,0
2020년06월_여_총인구수,"24,413","6,984","1,490","3,169",340,"1,381","1,373",903,"3,198","3,822",659,"1,094"
2020년06월_여_연령구간인구수,"24,413","6,984","1,490","3,169",340,"1,381","1,373",903,"3,198","3,822",659,"1,094"
2020년06월_여_0~9세,"1,464",531,30,395,2,52,32,27,171,182,13,29
2020년06월_여_10~19세,"1,749",798,69,211,14,65,52,26,183,266,19,46
2020년06월_여_20~29세,"1,852",669,82,305,19,70,59,48,279,262,21,38
2020년06월_여_30~39세,"2,006",703,63,522,8,77,48,21,257,261,16,30
2020년06월_여_40~49세,"2,845","1,174",111,396,18,118,70,69,362,411,60,56
2020년06월_여_50~59세,"4,015","1,115",210,459,52,224,205,119,621,715,137,158
2020년06월_여_60~69세,"4,057",845,302,383,64,257,292,182,552,828,137,215
2020년06월_여_70~79세,"3,267",628,317,242,79,245,263,194,416,537,129,217
2020년06월_여_80~89세,"2,625",417,250,214,71,224,282,187,314,300,116,250
2020년06월_여_90~99세,517,102,54,38,13,48,68,30,41,59,10,54
2020년06월_여_100세 이상,16,2,2,4,0,1,2,0,2,1,1,1
2020년07월_계_총인구수,"48,789","14,033","2,904","6,652",708,"2,751","2,583","1,754","6,537","7,532","1,280","2,055"
2020년07월_계_연령구간인구수,"48,789","14,033","2,904","6,652",708,"2,751","2,583","1,754","6,537","7,532","1,280","2,055"
2020년07월_계_0~9세,"2,961","1,113",69,783,6,124,58,47,320,368,23,50
2020년07월_계_10~19세,"3,838","1,677",270,454,28,124,100,63,415,570,43,94
2020년07월_계_20~29세,"4,497","1,534",186,738,46,207,181,114,706,647,44,94
2020년07월_계_30~39세,"4,378","1,426",160,"1,142",26,168,123,62,596,544,45,86
2020년07월_계_40~49세,"6,323","2,365",250,940,61,300,160,148,859,947,120,173
2020년07월_계_50~59세,"8,682","2,399",473,"1,037",152,501,463,277,"1,291","1,437",295,357
2020년07월_계_60~69세,"7,970","1,671",536,763,142,531,565,370,"1,137","1,532",301,422
2020년07월_계_70~79세,"5,741","1,087",527,460,129,403,458,354,731,985,228,379
2020년07월_계_80~89세,"3,770",642,367,291,104,335,396,278,428,430,161,338
2020년07월_계_90~99세,612,117,64,40,14,57,78,41,51,71,18,61
2020년07월_계_100세 이상,17,2,2,4,0,1,1,0,3,1,2,1
2020년07월_남_총인구수,"24,409","7,071","1,417","3,489",369,"1,367","1,212",849,"3,344","3,706",622,963
2020년07월_남_연령구간인구수,"24,409","7,071","1,417","3,489",369,"1,367","1,212",849,"3,344","3,706",622,963
2020년07월_남_0~9세,"1,509",589,39,389,4,70,27,20,151,187,11,22
2020년07월_남_10~19세,"2,093",881,202,246,13,60,46,37,230,307,23,48
2020년07월_남_20~29세,"2,652",866,106,436,28,135,122,67,431,383,24,54
2020년07월_남_30~39세,"2,387",737,96,620,18,91,74,40,342,284,29,56
2020년07월_남_40~49세,"3,464","1,186",142,543,44,178,91,78,495,532,60,115
2020년07월_남_50~59세,"4,680","1,284",262,584,99,282,256,159,671,723,160,200
2020년07월_남_60~69세,"3,914",824,235,375,78,275,273,189,586,709,162,208
2020년07월_남_70~79세,"2,465",460,207,215,50,158,196,158,318,441,98,164
2020년07월_남_80~89세,"1,152",228,119,79,34,110,117,92,110,129,45,89
2020년07월_남_90~99세,91,16,9,2,1,8,10,9,9,11,9,7
2020년07월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,1,0
2020년07월_여_총인구수,"24,380","6,962","1,487","3,163",339,"1,384","1,371",905,"3,193","3,826",658,"1,092"
2020년07월_여_연령구간인구수,"24,380","6,962","1,487","3,163",339,"1,384","1,371",905,"3,193","3,826",658,"1,092"
2020년07월_여_0~9세,"1,452",524,30,394,2,54,31,27,169,181,12,28
2020년07월_여_10~19세,"1,745",796,68,208,15,64,54,26,185,263,20,46
2020년07월_여_20~29세,"1,845",668,80,302,18,72,59,47,275,264,20,40
2020년07월_여_30~39세,"1,991",689,64,522,8,77,49,22,254,260,16,30
2020년07월_여_40~49세,"2,859","1,179",108,397,17,122,69,70,364,415,60,58
2020년07월_여_50~59세,"4,002","1,115",211,453,53,219,207,118,620,714,135,157
2020년07월_여_60~69세,"4,056",847,301,388,64,256,292,181,551,823,139,214
2020년07월_여_70~79세,"3,276",627,320,245,79,245,262,196,413,544,130,215
2020년07월_여_80~89세,"2,618",414,248,212,70,225,279,186,318,301,116,249
2020년07월_여_90~99세,521,101,55,38,13,49,68,32,42,60,9,54
2020년07월_여_100세 이상,15,2,2,4,0,1,1,0,2,1,1,1
2020년08월_계_총인구수,"48,776","14,033","2,896","6,665",708,"2,754","2,582","1,755","6,522","7,532","1,283","2,046"
2020년08월_계_연령구간인구수,"48,776","14,033","2,896","6,665",708,"2,754","2,582","1,755","6,522","7,532","1,283","2,046"
2020년08월_계_0~9세,"2,947","1,107",70,784,6,125,57,46,316,363,23,50
2020년08월_계_10~19세,"3,818","1,670",266,456,28,125,98,65,411,564,43,92
2020년08월_계_20~29세,"4,495","1,529",182,742,47,204,186,114,704,649,45,93
2020년08월_계_30~39세,"4,358","1,430",159,"1,139",26,169,119,63,579,544,44,86
2020년08월_계_40~49세,"6,315","2,351",251,944,61,301,162,148,861,945,121,170
2020년08월_계_50~59세,"8,679","2,414",464,"1,035",151,495,464,274,"1,289","1,447",291,355
2020년08월_계_60~69세,"8,019","1,678",540,771,142,541,566,375,"1,150","1,529",306,421
2020년08월_계_70~79세,"5,736","1,090",526,459,128,403,458,352,728,985,229,378
2020년08월_계_80~89세,"3,774",646,371,290,105,332,394,277,429,432,159,339
2020년08월_계_90~99세,618,116,65,41,14,58,77,41,52,73,20,61
2020년08월_계_100세 이상,17,2,2,4,0,1,1,0,3,1,2,1
2020년08월_남_총인구수,"24,399","7,072","1,410","3,494",369,"1,372","1,208",850,"3,342","3,702",625,955
2020년08월_남_연령구간인구수,"24,399","7,072","1,410","3,494",369,"1,372","1,208",850,"3,342","3,702",625,955
2020년08월_남_0~9세,"1,499",588,41,386,4,69,26,20,148,184,11,22
2020년08월_남_10~19세,"2,072",872,196,249,13,61,44,37,227,303,23,47
2020년08월_남_20~29세,"2,649",866,104,436,29,131,123,68,432,381,26,53
2020년08월_남_30~39세,"2,376",734,96,619,18,94,71,40,333,287,28,56
2020년08월_남_40~49세,"3,468","1,187",144,544,44,182,91,77,500,526,60,113
2020년08월_남_50~59세,"4,682","1,293",253,587,99,277,254,160,672,728,159,200
2020년08월_남_60~69세,"3,933",825,239,376,77,282,275,189,591,711,164,204
2020년08월_남_70~79세,"2,475",463,209,216,51,159,197,157,319,441,99,164
2020년08월_남_80~89세,"1,148",227,119,79,33,108,116,93,109,131,44,89
2020년08월_남_90~99세,95,17,9,2,1,9,11,9,10,10,10,7
2020년08월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,1,0
2020년08월_여_총인구수,"24,377","6,961","1,486","3,171",339,"1,382","1,374",905,"3,180","3,830",658,"1,091"
2020년08월_여_연령구간인구수,"24,377","6,961","1,486","3,171",339,"1,382","1,374",905,"3,180","3,830",658,"1,091"
2020년08월_여_0~9세,"1,448",519,29,398,2,56,31,26,168,179,12,28
2020년08월_여_10~19세,"1,746",798,70,207,15,64,54,28,184,261,20,45
2020년08월_여_20~29세,"1,846",663,78,306,18,73,63,46,272,268,19,40
2020년08월_여_30~39세,"1,982",696,63,520,8,75,48,23,246,257,16,30
2020년08월_여_40~49세,"2,847","1,164",107,400,17,119,71,71,361,419,61,57
2020년08월_여_50~59세,"3,997","1,121",211,448,52,218,210,114,617,719,132,155
2020년08월_여_60~69세,"4,086",853,301,395,65,259,291,186,559,818,142,217
2020년08월_여_70~79세,"3,261",627,317,243,77,244,261,195,409,544,130,214
2020년08월_여_80~89세,"2,626",419,252,211,72,224,278,184,320,301,115,250
2020년08월_여_90~99세,523,99,56,39,13,49,66,32,42,63,10,54
2020년08월_여_100세 이상,15,2,2,4,0,1,1,0,2,1,1,1
2020년09월_계_총인구수,"48,806","14,056","2,908","6,661",710,"2,754","2,582","1,760","6,516","7,541","1,280","2,038"
2020년09월_계_연령구간인구수,"48,806","14,056","2,908","6,661",710,"2,754","2,582","1,760","6,516","7,541","1,280","2,038"
2020년09월_계_0~9세,"2,961","1,108",68,793,6,127,57,47,316,368,23,48
2020년09월_계_10~19세,"3,792","1,658",273,452,28,119,96,61,404,567,42,92
2020년09월_계_20~29세,"4,514","1,543",187,742,49,206,193,115,698,644,44,93
2020년09월_계_30~39세,"4,345","1,428",155,"1,132",26,172,118,61,582,544,43,84
2020년09월_계_40~49세,"6,319","2,356",251,943,63,296,164,154,853,947,124,168
2020년09월_계_50~59세,"8,643","2,416",464,"1,028",145,489,460,274,"1,285","1,443",288,351
2020년09월_계_60~69세,"8,071","1,684",545,772,144,553,568,378,"1,167","1,531",308,421
2020년09월_계_70~79세,"5,738","1,097",524,462,129,403,454,348,726,988,226,381
2020년09월_계_80~89세,"3,772",648,371,292,106,327,391,279,425,434,160,339
2020년09월_계_90~99세,634,116,68,41,14,61,80,43,57,74,20,60
2020년09월_계_100세 이상,17,2,2,4,0,1,1,0,3,1,2,1
2020년09월_남_총인구수,"24,436","7,096","1,419","3,496",370,"1,375","1,214",852,"3,334","3,701",625,954
2020년09월_남_연령구간인구수,"24,436","7,096","1,419","3,496",370,"1,375","1,214",852,"3,334","3,701",625,954
2020년09월_남_0~9세,"1,511",591,39,395,4,70,26,20,149,185,11,21
2020년09월_남_10~19세,"2,056",863,204,244,12,60,43,34,221,304,23,48
2020년09월_남_20~29세,"2,670",880,108,438,31,128,129,70,430,376,26,54
2020년09월_남_30~39세,"2,369",736,93,613,18,97,72,38,334,287,27,54
2020년09월_남_40~49세,"3,467","1,190",143,541,46,180,92,81,491,526,62,115
2020년09월_남_50~59세,"4,671","1,293",256,584,95,272,251,159,679,727,158,197
2020년09월_남_60~69세,"3,964",833,240,381,78,290,279,191,594,710,165,203
2020년09월_남_70~79세,"2,479",466,208,217,51,161,195,155,317,445,98,166
2020년09월_남_80~89세,"1,144",227,117,81,34,106,115,95,106,130,44,89
2020년09월_남_90~99세,103,17,11,2,1,11,12,9,12,11,10,7
2020년09월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,1,0
2020년09월_여_총인구수,"24,370","6,960","1,489","3,165",340,"1,379","1,368",908,"3,182","3,840",655,"1,084"
2020년09월_여_연령구간인구수,"24,370","6,960","1,489","3,165",340,"1,379","1,368",908,"3,182","3,840",655,"1,084"
2020년09월_여_0~9세,"1,450",517,29,398,2,57,31,27,167,183,12,27
2020년09월_여_10~19세,"1,736",795,69,208,16,59,53,27,183,263,19,44
2020년09월_여_20~29세,"1,844",663,79,304,18,78,64,45,268,268,18,39
2020년09월_여_30~39세,"1,976",692,62,519,8,75,46,23,248,257,16,30
2020년09월_여_40~49세,"2,852","1,166",108,402,17,116,72,73,362,421,62,53
2020년09월_여_50~59세,"3,972","1,123",208,444,50,217,209,115,606,716,130,154
2020년09월_여_60~69세,"4,107",851,305,391,66,263,289,187,573,821,143,218
2020년09월_여_70~79세,"3,259",631,316,245,78,242,259,193,409,543,128,215
2020년09월_여_80~89세,"2,628",421,254,211,72,221,276,184,319,304,116,250
2020년09월_여_90~99세,531,99,57,39,13,50,68,34,45,63,10,53
2020년09월_여_100세 이상,15,2,2,4,0,1,1,0,2,1,1,1
2020년10월_계_총인구수,"48,776","14,053","2,893","6,674",711,"2,757","2,567","1,761","6,501","7,536","1,284","2,039"
2020년10월_계_연령구간인구수,"48,776","14,053","2,893","6,674",711,"2,757","2,567","1,761","6,501","7,536","1,284","2,039"
2020년10월_계_0~9세,"2,946","1,099",64,794,6,125,53,46,322,368,23,46
2020년10월_계_10~19세,"3,792","1,650",272,455,28,120,95,62,401,571,42,96
2020년10월_계_20~29세,"4,518","1,564",182,746,49,204,190,116,696,635,43,93
2020년10월_계_30~39세,"4,314","1,408",154,"1,132",26,170,117,63,572,546,44,82
2020년10월_계_40~49세,"6,306","2,360",242,946,64,294,160,152,849,947,122,170
2020년10월_계_50~59세,"8,627","2,415",464,"1,021",145,489,453,277,"1,283","1,432",294,354
2020년10월_계_60~69세,"8,099","1,693",542,781,146,557,570,375,"1,176","1,532",307,420
2020년10월_계_70~79세,"5,718","1,093",525,459,129,404,457,346,718,988,226,373
2020년10월_계_80~89세,"3,799",652,378,293,103,332,390,281,424,441,162,343
2020년10월_계_90~99세,640,117,68,43,15,61,81,43,57,75,19,61
2020년10월_계_100세 이상,17,2,2,4,0,1,1,0,3,1,2,1
2020년10월_남_총인구수,"24,419","7,079","1,413","3,506",370,"1,375","1,209",855,"3,333","3,693",629,957
2020년10월_남_연령구간인구수,"24,419","7,079","1,413","3,506",370,"1,375","1,209",855,"3,333","3,693",629,957
2020년10월_남_0~9세,"1,500",583,36,394,4,66,25,20,155,185,12,20
2020년10월_남_10~19세,"2,060",859,204,247,12,61,42,35,221,307,22,50
2020년10월_남_20~29세,"2,667",889,105,442,31,125,126,71,427,371,25,55
2020년10월_남_30~39세,"2,352",728,92,609,18,98,72,39,329,287,28,52
2020년10월_남_40~49세,"3,451","1,188",140,542,46,178,90,79,489,521,62,116
2020년10월_남_50~59세,"4,667","1,287",254,583,95,273,250,163,682,718,161,201
2020년10월_남_60~69세,"3,987",836,241,388,79,292,280,192,596,717,165,201
2020년10월_남_70~79세,"2,482",465,210,218,51,162,197,153,316,443,100,167
2020년10월_남_80~89세,"1,147",226,119,81,33,109,115,95,105,134,43,87
2020년10월_남_90~99세,104,18,12,2,1,11,12,8,12,10,10,8
2020년10월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,1,0
2020년10월_여_총인구수,"24,357","6,974","1,480","3,168",341,"1,382","1,358",906,"3,168","3,843",655,"1,082"
2020년10월_여_연령구간인구수,"24,357","6,974","1,480","3,168",341,"1,382","1,358",906,"3,168","3,843",655,"1,082"
2020년10월_여_0~9세,"1,446",516,28,400,2,59,28,26,167,183,11,26
2020년10월_여_10~19세,"1,732",791,68,208,16,59,53,27,180,264,20,46
2020년10월_여_20~29세,"1,851",675,77,304,18,79,64,45,269,264,18,38
2020년10월_여_30~39세,"1,962",680,62,523,8,72,45,24,243,259,16,30
2020년10월_여_40~49세,"2,855","1,172",102,404,18,116,70,73,360,426,60,54
2020년10월_여_50~59세,"3,960","1,128",210,438,50,216,203,114,601,714,133,153
2020년10월_여_60~69세,"4,112",857,301,393,67,265,290,183,580,815,142,219
2020년10월_여_70~79세,"3,236",628,315,241,78,242,260,193,402,545,126,206
2020년10월_여_80~89세,"2,652",426,259,212,70,223,275,186,319,307,119,256
2020년10월_여_90~99세,536,99,56,41,14,50,69,35,45,65,9,53
