카테고리,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면,강원도 영월군 산솔면
2020년09월_남_연령구간인구수,"19,987","10,799",571,768,901,"1,129","1,195",713,940,"1,947","1,024",
2020년09월_남_0~9세,906,713,14,12,15,17,20,22,25,47,21,
2020년09월_남_10~19세,"1,577","1,179",18,24,40,36,54,29,32,123,42,
2020년09월_남_20~29세,"1,886","1,319",25,44,56,80,75,68,58,120,41,
2020년09월_남_30~39세,"1,557","1,002",29,43,33,64,81,48,82,123,52,
2020년09월_남_40~49세,"2,556","1,535",67,76,90,131,140,88,118,197,114,
2020년09월_남_50~59세,"4,095","2,067",138,195,225,262,249,165,199,392,203,
2020년09월_남_60~69세,"4,139","1,659",139,212,251,302,346,168,223,531,308,
2020년09월_남_70~79세,"2,207",914,92,109,134,153,157,84,132,258,174,
2020년09월_남_80~89세,955,374,45,48,52,76,62,38,60,139,61,
2020년09월_남_90~99세,93,31,3,4,5,5,9,3,11,14,8,
2020년09월_남_100세 이상,16,6,1,1,0,3,2,0,0,3,0,
2020년09월_여_총인구수,"18,711","10,318",526,710,846,"1,030","1,077",562,806,"1,848",988,
2020년09월_여_연령구간인구수,"18,711","10,318",526,710,846,"1,030","1,077",562,806,"1,848",988,
2020년09월_여_0~9세,797,610,5,13,12,19,29,19,20,48,22,
2020년09월_여_10~19세,"1,359",986,13,33,40,49,41,25,42,89,41,
2020년09월_여_20~29세,"1,398","1,009",17,24,37,49,46,36,45,98,37,
2020년09월_여_30~39세,"1,279",916,25,21,27,47,42,40,31,80,50,
2020년09월_여_40~49세,"2,098","1,459",35,42,77,73,84,56,60,145,67,
2020년09월_여_50~59세,"3,311","1,712",93,152,189,195,194,101,131,348,196,
2020년09월_여_60~69세,"3,823","1,637",135,166,223,251,286,141,202,473,309,
2020년09월_여_70~79세,"2,667","1,199",113,153,128,194,182,75,158,290,175,
2020년09월_여_80~89세,"1,688",665,79,95,94,131,147,59,99,242,77,
2020년09월_여_90~99세,254,111,10,11,16,18,23,9,17,27,12,
2020년09월_여_100세 이상,37,14,1,0,3,4,3,1,1,8,2,
2020년10월_계_총인구수,"38,712","21,114","1,095","1,480","1,743","2,164","2,275","1,270","1,754","3,795","2,022",
2020년10월_계_연령구간인구수,"38,712","21,114","1,095","1,480","1,743","2,164","2,275","1,270","1,754","3,795","2,022",
2020년10월_계_0~9세,"1,701","1,315",21,25,27,39,49,39,46,96,44,
2020년10월_계_10~19세,"2,922","2,153",30,55,79,84,98,53,73,213,84,
2020년10월_계_20~29세,"3,312","2,354",43,69,92,133,120,104,101,219,77,
2020년10월_계_30~39세,"2,790","1,886",55,63,60,106,121,87,115,199,98,
2020년10월_계_40~49세,"4,659","2,999",103,116,167,205,226,138,181,337,187,
2020년10월_계_50~59세,"7,386","3,768",224,349,409,454,440,272,330,742,398,
2020년10월_계_60~69세,"7,996","3,315",275,379,478,559,632,309,425,"1,002",622,
2020년10월_계_70~79세,"4,874","2,110",204,263,261,344,344,160,290,551,347,
2020년10월_계_80~89세,"2,667","1,050",124,143,147,210,210,96,164,382,141,
2020년10월_계_90~99세,353,144,14,17,20,23,30,11,28,44,22,
2020년10월_계_100세 이상,52,20,2,1,3,7,5,1,1,10,2,
2020년10월_남_총인구수,"20,002","10,799",570,769,897,"1,132","1,197",712,947,"1,948","1,031",
2020년10월_남_연령구간인구수,"20,002","10,799",570,769,897,"1,132","1,197",712,947,"1,948","1,031",
2020년10월_남_0~9세,907,710,14,12,15,19,20,21,26,48,22,
2020년10월_남_10~19세,"1,563","1,165",17,22,40,36,56,28,32,125,42,
2020년10월_남_20~29세,"1,910","1,337",26,45,56,82,74,69,58,121,42,
2020년10월_남_30~39세,"1,531",986,30,41,31,59,81,49,84,119,51,
2020년10월_남_40~49세,"2,555","1,538",67,76,90,132,141,82,120,193,116,
2020년10월_남_50~59세,"4,091","2,065",135,193,220,265,248,170,196,395,204,
2020년10월_남_60~69세,"4,159","1,669",140,215,255,301,342,169,224,533,311,
2020년10월_남_70~79세,"2,211",914,92,110,134,151,162,84,133,257,174,
2020년10월_남_80~89세,965,377,45,49,51,79,63,37,63,140,61,
2020년10월_남_90~99세,94,32,3,5,5,5,8,3,11,14,8,
2020년10월_남_100세 이상,16,6,1,1,0,3,2,0,0,3,0,
2020년10월_여_총인구수,"18,710","10,315",525,711,846,"1,032","1,078",558,807,"1,847",991,
2020년10월_여_연령구간인구수,"18,710","10,315",525,711,846,"1,032","1,078",558,807,"1,847",991,
2020년10월_여_0~9세,794,605,7,13,12,20,29,18,20,48,22,
2020년10월_여_10~19세,"1,359",988,13,33,39,48,42,25,41,88,42,
2020년10월_여_20~29세,"1,402","1,017",17,24,36,51,46,35,43,98,35,
2020년10월_여_30~39세,"1,259",900,25,22,29,47,40,38,31,80,47,
2020년10월_여_40~49세,"2,104","1,461",36,40,77,73,85,56,61,144,71,
2020년10월_여_50~59세,"3,295","1,703",89,156,189,189,192,102,134,347,194,
2020년10월_여_60~69세,"3,837","1,646",135,164,223,258,290,140,201,469,311,
2020년10월_여_70~79세,"2,663","1,196",112,153,127,193,182,76,157,294,173,
2020년10월_여_80~89세,"1,702",673,79,94,96,131,147,59,101,242,80,
2020년10월_여_90~99세,259,112,11,12,15,18,22,8,17,30,14,
2020년10월_여_100세 이상,36,14,1,0,3,4,3,1,1,7,2,
2020년11월_계_총인구수,"38,710","21,146","1,096","1,470","1,743","2,166","2,270","1,271","1,748","3,776","2,024",
2020년11월_계_연령구간인구수,"38,710","21,146","1,096","1,470","1,743","2,166","2,270","1,271","1,748","3,776","2,024",
2020년11월_계_0~9세,"1,686","1,311",22,22,28,38,48,38,47,89,43,
2020년11월_계_10~19세,"2,908","2,148",28,54,78,85,98,53,70,210,84,
2020년11월_계_20~29세,"3,322","2,353",46,69,96,135,122,101,104,219,77,
2020년11월_계_30~39세,"2,781","1,892",54,60,61,106,115,87,115,191,100,
2020년11월_계_40~49세,"4,635","2,990",105,114,161,203,224,137,182,333,186,
2020년11월_계_50~59세,"7,397","3,794",219,347,407,450,438,275,327,742,398,
2020년11월_계_60~69세,"8,039","3,336",274,382,478,563,637,310,424,"1,011",624,
2020년11월_계_70~79세,"4,854","2,103",205,259,262,346,342,161,284,546,346,
2020년11월_계_80~89세,"2,685","1,056",127,146,148,211,211,97,167,380,142,
2020년11월_계_90~99세,351,143,14,16,21,22,30,11,27,45,22,
2020년11월_계_100세 이상,52,20,2,1,3,7,5,1,1,10,2,
2020년11월_남_총인구수,"19,997","10,813",570,765,897,"1,128","1,194",712,946,"1,938","1,034",
2020년11월_남_연령구간인구수,"19,997","10,813",570,765,897,"1,128","1,194",712,946,"1,938","1,034",
2020년11월_남_0~9세,899,708,14,11,16,18,20,20,27,43,22,
2020년11월_남_10~19세,"1,549","1,158",16,20,39,36,56,28,32,122,42,
2020년11월_남_20~29세,"1,916","1,333",29,46,57,82,75,67,60,123,44,
2020년11월_남_30~39세,"1,518",985,30,38,32,60,76,48,85,113,51,
2020년11월_남_40~49세,"2,541","1,537",68,74,86,129,139,82,121,192,113,
2020년11월_남_50~59세,"4,091","2,074",132,194,218,259,247,172,194,397,204,
2020년11월_남_60~69세,"4,194","1,684",139,217,257,304,348,169,224,539,313,
2020년11월_남_70~79세,"2,205",915,92,109,136,153,158,86,128,253,175,
2020년11월_남_80~89세,973,380,46,50,51,79,65,37,64,139,62,
2020년11월_남_90~99세,95,33,3,5,5,5,8,3,11,14,8,
2020년11월_남_100세 이상,16,6,1,1,0,3,2,0,0,3,0,
2020년11월_여_총인구수,"18,713","10,333",526,705,846,"1,038","1,076",559,802,"1,838",990,
2020년11월_여_연령구간인구수,"18,713","10,333",526,705,846,"1,038","1,076",559,802,"1,838",990,
2020년11월_여_0~9세,787,603,8,11,12,20,28,18,20,46,21,
2020년11월_여_10~19세,"1,359",990,12,34,39,49,42,25,38,88,42,
2020년11월_여_20~29세,"1,406","1,020",17,23,39,53,47,34,44,96,33,
2020년11월_여_30~39세,"1,263",907,24,22,29,46,39,39,30,78,49,
2020년11월_여_40~49세,"2,094","1,453",37,40,75,74,85,55,61,141,73,
2020년11월_여_50~59세,"3,306","1,720",87,153,189,191,191,103,133,345,194,
2020년11월_여_60~69세,"3,845","1,652",135,165,221,259,289,141,200,472,311,
2020년11월_여_70~79세,"2,649","1,188",113,150,126,193,184,75,156,293,171,
2020년11월_여_80~89세,"1,712",676,81,96,97,132,146,60,103,241,80,
2020년11월_여_90~99세,256,110,11,11,16,17,22,8,16,31,14,
2020년11월_여_100세 이상,36,14,1,0,3,4,3,1,1,7,2,
2020년12월_계_총인구수,"38,662","21,098","1,094","1,472","1,736","2,181","2,261","1,256","1,754","3,784","2,026",
2020년12월_계_연령구간인구수,"38,662","21,098","1,094","1,472","1,736","2,181","2,261","1,256","1,754","3,784","2,026",
2020년12월_계_0~9세,"1,677","1,294",21,26,29,37,47,38,48,95,42,
2020년12월_계_10~19세,"2,869","2,116",29,53,73,94,96,52,71,198,87,
2020년12월_계_20~29세,"3,311","2,344",47,71,90,142,121,97,101,222,76,
2020년12월_계_30~39세,"2,780","1,886",52,62,63,105,114,88,119,191,100,
2020년12월_계_40~49세,"4,614","2,970",103,115,161,204,222,134,183,336,186,
2020년12월_계_50~59세,"7,364","3,786",219,339,405,451,432,270,327,742,393,
2020년12월_계_60~69세,"8,091","3,374",272,383,477,563,640,310,425,"1,018",629,
2020년12월_계_70~79세,"4,834","2,098",206,255,261,345,345,158,283,541,342,
2020년12월_계_80~89세,"2,715","1,068",128,151,152,209,210,98,167,386,146,
2020년12월_계_90~99세,355,142,15,16,22,24,29,10,29,45,23,
2020년12월_계_100세 이상,52,20,2,1,3,7,5,1,1,10,2,
2020년12월_남_총인구수,"19,986","10,791",570,766,896,"1,141","1,192",702,948,"1,944","1,036",
2020년12월_남_연령구간인구수,"19,986","10,791",570,766,896,"1,141","1,192",702,948,"1,944","1,036",
2020년12월_남_0~9세,889,693,14,12,16,19,19,20,27,48,21,
2020년12월_남_10~19세,"1,536","1,147",16,21,37,41,56,28,31,115,44,
2020년12월_남_20~29세,"1,918","1,329",30,45,57,89,75,63,59,128,43,
2020년12월_남_30~39세,"1,518",985,28,39,33,59,75,50,87,111,51,
2020년12월_남_40~49세,"2,535","1,530",67,75,87,130,137,79,123,195,112,
2020년12월_남_50~59세,"4,071","2,066",133,190,215,259,247,168,195,396,202,
2020년12월_남_60~69세,"4,224","1,705",138,220,257,305,349,169,223,542,316,
2020년12월_남_70~79세,"2,191",912,92,106,135,151,160,84,128,247,176,
2020년12월_남_80~89세,989,384,48,52,54,79,64,38,63,145,62,
2020년12월_남_90~99세,99,34,3,5,5,6,8,3,12,14,9,
2020년12월_남_100세 이상,16,6,1,1,0,3,2,0,0,3,0,
2020년12월_여_총인구수,"18,676","10,307",524,706,840,"1,040","1,069",554,806,"1,840",990,
2020년12월_여_연령구간인구수,"18,676","10,307",524,706,840,"1,040","1,069",554,806,"1,840",990,
2020년12월_여_0~9세,788,601,7,14,13,18,28,18,21,47,21,
2020년12월_여_10~19세,"1,333",969,13,32,36,53,40,24,40,83,43,
2020년12월_여_20~29세,"1,393","1,015",17,26,33,53,46,34,42,94,33,
2020년12월_여_30~39세,"1,262",901,24,23,30,46,39,38,32,80,49,
2020년12월_여_40~49세,"2,079","1,440",36,40,74,74,85,55,60,141,74,
2020년12월_여_50~59세,"3,293","1,720",86,149,190,192,185,102,132,346,191,
2020년12월_여_60~69세,"3,867","1,669",134,163,220,258,291,141,202,476,313,
2020년12월_여_70~79세,"2,643","1,186",114,149,126,194,185,74,155,294,166,
2020년12월_여_80~89세,"1,726",684,80,99,98,130,146,60,104,241,84,
2020년12월_여_90~99세,256,108,12,11,17,18,21,7,17,31,14,
2020년12월_여_100세 이상,36,14,1,0,3,4,3,1,1,7,2,
2021년01월_계_총인구수,"38,565","21,015","1,088","1,473","1,732","2,174","2,262","1,248","1,758","3,782","2,033",
2021년01월_계_연령구간인구수,"38,565","21,015","1,088","1,473","1,732","2,174","2,262","1,248","1,758","3,782","2,033",
2021년01월_계_0~9세,"1,671","1,285",21,27,30,37,44,39,53,93,42,
2021년01월_계_10~19세,"2,820","2,078",30,54,75,91,101,47,66,194,84,
2021년01월_계_20~29세,"3,272","2,302",47,69,90,141,119,101,106,219,78,
2021년01월_계_30~39세,"2,771","1,889",50,61,63,103,113,83,121,188,100,
2021년01월_계_40~49세,"4,571","2,945",103,115,156,204,222,128,178,336,184,
2021년01월_계_50~59세,"7,326","3,773",214,339,401,446,428,273,323,737,392,
2021년01월_계_60~69세,"8,135","3,396",272,380,473,567,641,308,432,"1,035",631,
2021년01월_계_70~79세,"4,858","2,105",206,259,266,343,350,160,282,539,348,
2021년01월_계_80~89세,"2,735","1,083",128,152,153,211,210,98,168,385,147,
2021년01월_계_90~99세,354,139,15,16,22,24,29,10,28,46,25,
2021년01월_계_100세 이상,52,20,2,1,3,7,5,1,1,10,2,
2021년01월_남_총인구수,"19,935","10,742",568,771,894,"1,134","1,193",695,952,"1,944","1,042",
2021년01월_남_연령구간인구수,"19,935","10,742",568,771,894,"1,134","1,193",695,952,"1,944","1,042",
2021년01월_남_0~9세,892,692,14,12,17,19,19,20,31,47,21,
2021년01월_남_10~19세,"1,513","1,127",16,24,38,39,59,27,28,112,43,
2021년01월_남_20~29세,"1,891","1,301",30,44,56,88,74,64,62,127,45,
2021년01월_남_30~39세,"1,513",992,27,40,34,56,75,46,86,107,50,
2021년01월_남_40~49세,"2,502","1,508",68,74,86,129,136,74,121,195,111,
2021년01월_남_50~59세,"4,060","2,063",130,192,212,256,246,171,192,394,204,
2021년01월_남_60~69세,"4,239","1,712",138,219,253,308,344,168,228,552,317,
2021년01월_남_70~79세,"2,212",917,93,108,137,150,166,84,130,248,179,
2021년01월_남_80~89세,998,389,48,52,56,80,64,38,63,145,63,
2021년01월_남_90~99세,99,35,3,5,5,6,8,3,11,14,9,
2021년01월_남_100세 이상,16,6,1,1,0,3,2,0,0,3,0,
2021년01월_여_총인구수,"18,630","10,273",520,702,838,"1,040","1,069",553,806,"1,838",991,
2021년01월_여_연령구간인구수,"18,630","10,273",520,702,838,"1,040","1,069",553,806,"1,838",991,
2021년01월_여_0~9세,779,593,7,15,13,18,25,19,22,46,21,
2021년01월_여_10~19세,"1,307",951,14,30,37,52,42,20,38,82,41,
2021년01월_여_20~29세,"1,381","1,001",17,25,34,53,45,37,44,92,33,
2021년01월_여_30~39세,"1,258",897,23,21,29,47,38,37,35,81,50,
2021년01월_여_40~49세,"2,069","1,437",35,41,70,75,86,54,57,141,73,
2021년01월_여_50~59세,"3,266","1,710",84,147,189,190,182,102,131,343,188,
2021년01월_여_60~69세,"3,896","1,684",134,161,220,259,297,140,204,483,314,
2021년01월_여_70~79세,"2,646","1,188",113,151,129,193,184,76,152,291,169,
2021년01월_여_80~89세,"1,737",694,80,100,97,131,146,60,105,240,84,
2021년01월_여_90~99세,255,104,12,11,17,18,21,7,17,32,16,
2021년01월_여_100세 이상,36,14,1,0,3,4,3,1,1,7,2,
2021년02월_계_총인구수,"38,418","20,930","1,083","1,460","1,726","2,149","2,261","1,231","1,752","3,789","2,037",
2021년02월_계_연령구간인구수,"38,418","20,930","1,083","1,460","1,726","2,149","2,261","1,231","1,752","3,789","2,037",
2021년02월_계_0~9세,"1,653","1,276",19,25,30,36,43,37,53,91,43,
2021년02월_계_10~19세,"2,808","2,065",31,55,75,90,103,40,66,197,86,
2021년02월_계_20~29세,"3,203","2,253",46,66,85,132,117,104,102,219,79,
2021년02월_계_30~39세,"2,742","1,867",48,61,63,105,114,79,117,192,96,
2021년02월_계_40~49세,"4,551","2,941",103,112,154,198,222,122,179,339,181,
2021년02월_계_50~59세,"7,276","3,771",211,328,397,437,423,268,320,727,394,
2021년02월_계_60~69세,"8,173","3,407",271,385,479,567,646,309,431,"1,044",634,
2021년02월_계_70~79세,"4,839","2,094",206,257,263,341,347,162,285,539,345,
2021년02월_계_80~89세,"2,764","1,099",131,154,154,212,212,98,170,383,151,
2021년02월_계_90~99세,358,138,15,16,23,24,29,11,28,48,26,
2021년02월_계_100세 이상,51,19,2,1,3,7,5,1,1,10,2,
2021년02월_남_총인구수,"19,863","10,700",565,766,894,"1,124","1,191",687,948,"1,945","1,043",
2021년02월_남_연령구간인구수,"19,863","10,700",565,766,894,"1,124","1,191",687,948,"1,945","1,043",
2021년02월_남_0~9세,881,683,12,11,17,20,19,19,31,47,22,
2021년02월_남_10~19세,"1,519","1,127",17,26,38,38,59,24,29,116,45,
2021년02월_남_20~29세,"1,848","1,270",30,43,53,83,73,66,59,125,46,
2021년02월_남_30~39세,"1,493",977,25,40,35,59,75,45,82,108,47,
2021년02월_남_40~49세,"2,491","1,506",69,72,84,125,138,70,123,195,109,
2021년02월_남_50~59세,"4,038","2,065",128,186,213,250,246,168,192,386,204,
2021년02월_남_60~69세,"4,262","1,723",138,222,256,308,341,169,227,558,320,
2021년02월_남_70~79세,"2,207",914,94,107,135,151,166,85,130,249,176,
2021년02월_남_80~89세,"1,005",394,48,52,58,81,64,38,64,142,64,
2021년02월_남_90~99세,102,35,3,6,5,6,8,3,10,16,10,
2021년02월_남_100세 이상,17,6,1,1,0,3,2,0,1,3,0,
2021년02월_여_총인구수,"18,555","10,230",518,694,832,"1,025","1,070",544,804,"1,844",994,
2021년02월_여_연령구간인구수,"18,555","10,230",518,694,832,"1,025","1,070",544,804,"1,844",994,
2021년02월_여_0~9세,772,593,7,14,13,16,24,18,22,44,21,
2021년02월_여_10~19세,"1,289",938,14,29,37,52,44,16,37,81,41,
2021년02월_여_20~29세,"1,355",983,16,23,32,49,44,38,43,94,33,
2021년02월_여_30~39세,"1,249",890,23,21,28,46,39,34,35,84,49,
2021년02월_여_40~49세,"2,060","1,435",34,40,70,73,84,52,56,144,72,
2021년02월_여_50~59세,"3,238","1,706",83,142,184,187,177,100,128,341,190,
2021년02월_여_60~69세,"3,911","1,684",133,163,223,259,305,140,204,486,314,
2021년02월_여_70~79세,"2,632","1,180",112,150,128,190,181,77,155,290,169,
2021년02월_여_80~89세,"1,759",705,83,102,96,131,148,60,106,241,87,
2021년02월_여_90~99세,256,103,12,10,18,18,21,8,18,32,16,
2021년02월_여_100세 이상,34,13,1,0,3,4,3,1,0,7,2,
2021년03월_계_총인구수,"38,458","21,028","1,075","1,455","1,720","2,133","2,259","1,233","1,737","3,786","2,032",
2021년03월_계_연령구간인구수,"38,458","21,028","1,075","1,455","1,720","2,133","2,259","1,233","1,737","3,786","2,032",
2021년03월_계_0~9세,"1,641","1,270",18,26,29,35,42,40,53,89,39,
2021년03월_계_10~19세,"2,934","2,186",29,53,74,92,104,39,64,208,85,
2021년03월_계_20~29세,"3,183","2,257",47,66,78,124,115,102,96,216,82,
2021년03월_계_30~39세,"2,725","1,850",48,60,62,107,117,81,120,187,93,
2021년03월_계_40~49세,"4,510","2,927",100,112,152,197,221,121,177,325,178,
2021년03월_계_50~59세,"7,251","3,758",210,327,397,428,424,266,315,730,396,
2021년03월_계_60~69세,"8,222","3,435",272,384,491,566,647,310,430,"1,053",634,
2021년03월_계_70~79세,"4,830","2,095",206,257,260,343,344,163,281,536,345,
2021년03월_계_80~89세,"2,777","1,103",133,154,155,208,211,99,172,388,154,
2021년03월_계_90~99세,358,141,12,16,22,26,29,11,28,48,25,
2021년03월_계_100세 이상,27,6,0,0,0,7,5,1,1,6,1,
2021년03월_남_총인구수,"19,895","10,765",559,760,892,"1,112","1,190",687,940,"1,943","1,047",
2021년03월_남_연령구간인구수,"19,895","10,765",559,760,892,"1,112","1,190",687,940,"1,943","1,047",
2021년03월_남_0~9세,864,672,11,11,15,19,19,21,31,46,19,
2021년03월_남_10~19세,"1,596","1,198",16,24,39,38,58,24,28,125,46,
2021년03월_남_20~29세,"1,855","1,291",31,44,48,78,71,64,57,123,48,
2021년03월_남_30~39세,"1,481",965,25,39,35,60,75,44,84,106,48,
2021년03월_남_40~49세,"2,468","1,497",67,70,84,125,137,71,123,186,108,
2021년03월_남_50~59세,"4,026","2,057",128,184,212,246,250,168,188,387,206,
2021년03월_남_60~69세,"4,286","1,737",139,225,263,306,341,168,226,558,323,
2021년03월_남_70~79세,"2,206",914,93,106,133,153,166,86,126,254,175,
2021년03월_남_80~89세,"1,001",394,48,51,58,77,64,38,65,140,66,
2021년03월_남_90~99세,102,38,1,6,5,7,7,3,11,16,8,
2021년03월_남_100세 이상,10,2,0,0,0,3,2,0,1,2,0,
2021년03월_여_총인구수,"18,563","10,263",516,695,828,"1,021","1,069",546,797,"1,843",985,
2021년03월_여_연령구간인구수,"18,563","10,263",516,695,828,"1,021","1,069",546,797,"1,843",985,
2021년03월_여_0~9세,777,598,7,15,14,16,23,19,22,43,20,
2021년03월_여_10~19세,"1,338",988,13,29,35,54,46,15,36,83,39,
2021년03월_여_20~29세,"1,328",966,16,22,30,46,44,38,39,93,34,
2021년03월_여_30~39세,"1,244",885,23,21,27,47,42,37,36,81,45,
2021년03월_여_40~49세,"2,042","1,430",33,42,68,72,84,50,54,139,70,
2021년03월_여_50~59세,"3,225","1,701",82,143,185,182,174,98,127,343,190,
2021년03월_여_60~69세,"3,936","1,698",133,159,228,260,306,142,204,495,311,
2021년03월_여_70~79세,"2,624","1,181",113,151,127,190,178,77,155,282,170,
2021년03월_여_80~89세,"1,776",709,85,103,97,131,147,61,107,248,88,
2021년03월_여_90~99세,256,103,11,10,17,19,22,8,17,32,17,
2021년03월_여_100세 이상,17,4,0,0,0,4,3,1,0,4,1,
2021년04월_계_총인구수,"38,417","21,041","1,077","1,451","1,723","2,116","2,251","1,235","1,722","3,773","2,028",
2021년04월_계_연령구간인구수,"38,417","21,041","1,077","1,451","1,723","2,116","2,251","1,235","1,722","3,773","2,028",
2021년04월_계_0~9세,"1,632","1,267",19,26,28,32,41,42,47,90,40,
2021년04월_계_10~19세,"2,915","2,173",31,52,73,91,105,39,65,204,82,
2021년04월_계_20~29세,"3,153","2,236",46,68,78,125,111,101,93,213,82,
2021년04월_계_30~39세,"2,724","1,859",48,58,59,103,119,79,118,187,94,
2021년04월_계_40~49세,"4,503","2,933",102,110,151,187,219,121,178,325,177,
2021년04월_계_50~59세,"7,217","3,755",203,324,389,426,423,264,309,726,398,
2021년04월_계_60~69세,"8,270","3,459",278,387,504,568,645,313,431,"1,051",634,
2021년04월_계_70~79세,"4,822","2,094",201,257,263,344,342,166,278,534,343,
2021년04월_계_80~89세,"2,797","1,114",137,154,156,206,212,100,174,391,153,
2021년04월_계_90~99세,359,145,12,15,22,27,29,9,28,47,25,
2021년04월_계_100세 이상,25,6,0,0,0,7,5,1,1,5,0,
2021년04월_남_총인구수,"19,859","10,767",560,757,893,"1,106","1,183",686,931,"1,930","1,046",
2021년04월_남_연령구간인구수,"19,859","10,767",560,757,893,"1,106","1,183",686,931,"1,930","1,046",
2021년04월_남_0~9세,858,671,12,11,14,17,19,21,28,45,20,
2021년04월_남_10~19세,"1,584","1,195",16,23,38,38,58,24,27,121,44,
2021년04월_남_20~29세,"1,837","1,276",32,45,49,80,69,63,54,121,48,
2021년04월_남_30~39세,"1,477",969,25,37,34,57,76,42,82,107,48,
2021년04월_남_40~49세,"2,459","1,495",67,70,83,120,135,71,125,185,108,
2021년04월_남_50~59세,"4,010","2,062",121,181,208,245,250,166,186,385,206,
2021년04월_남_60~69세,"4,316","1,745",146,227,270,309,338,171,227,557,326,
2021년04월_남_70~79세,"2,197",909,92,106,134,154,166,87,124,252,173,
2021년04월_남_80~89세,"1,011",404,48,51,58,76,63,39,66,141,65,
2021년04월_남_90~99세,101,39,1,6,5,7,7,2,11,15,8,
2021년04월_남_100세 이상,9,2,0,0,0,3,2,0,1,1,0,
2021년04월_여_총인구수,"18,558","10,274",517,694,830,"1,010","1,068",549,791,"1,843",982,
2021년04월_여_연령구간인구수,"18,558","10,274",517,694,830,"1,010","1,068",549,791,"1,843",982,
2021년04월_여_0~9세,774,596,7,15,14,15,22,21,19,45,20,
2021년04월_여_10~19세,"1,331",978,15,29,35,53,47,15,38,83,38,
2021년04월_여_20~29세,"1,316",960,14,23,29,45,42,38,39,92,34,
2021년04월_여_30~39세,"1,247",890,23,21,25,46,43,37,36,80,46,
2021년04월_여_40~49세,"2,044","1,438",35,40,68,67,84,50,53,140,69,
2021년04월_여_50~59세,"3,207","1,693",82,143,181,181,173,98,123,341,192,
2021년04월_여_60~69세,"3,954","1,714",132,160,234,259,307,142,204,494,308,
2021년04월_여_70~79세,"2,625","1,185",109,151,129,190,176,79,154,282,170,
2021년04월_여_80~89세,"1,786",710,89,103,98,130,149,61,108,250,88,
2021년04월_여_90~99세,258,106,11,9,17,20,22,7,17,32,17,
2021년04월_여_100세 이상,16,4,0,0,0,4,3,1,0,4,0,
2021년05월_계_총인구수,"38,099","20,879","1,062","1,431","1,710","2,108","2,248","1,229","1,685","3,731","2,016",
2021년05월_계_연령구간인구수,"38,099","20,879","1,062","1,431","1,710","2,108","2,248","1,229","1,685","3,731","2,016",
2021년05월_계_0~9세,"1,620","1,255",20,28,30,33,40,43,45,88,38,
2021년05월_계_10~19세,"2,893","2,153",31,50,76,92,105,39,62,205,80,
2021년05월_계_20~29세,"3,140","2,223",45,69,80,122,112,100,94,210,85,
2021년05월_계_30~39세,"2,703","1,857",47,55,55,101,119,78,118,180,93,
2021년05월_계_40~49세,"4,410","2,893",101,107,149,186,212,119,163,309,171,
2021년05월_계_50~59세,"7,160","3,737",196,320,381,425,430,264,292,721,394,
2021년05월_계_60~69세,"8,240","3,440",275,385,502,569,639,315,434,"1,050",631,
2021년05월_계_70~79세,"4,781","2,071",197,250,260,341,345,164,276,533,344,
2021년05월_계_80~89세,"2,787","1,109",138,152,154,206,212,100,173,387,156,
2021년05월_계_90~99세,343,137,12,15,23,26,29,7,27,43,24,
2021년05월_계_100세 이상,22,4,0,0,0,7,5,0,1,5,0,
2021년05월_남_총인구수,"19,743","10,693",555,750,892,"1,105","1,186",692,915,"1,915","1,040",
2021년05월_남_연령구간인구수,"19,743","10,693",555,750,892,"1,105","1,186",692,915,"1,915","1,040",
2021년05월_남_0~9세,854,668,13,11,14,17,19,22,27,44,19,
2021년05월_남_10~19세,"1,573","1,185",16,22,39,38,58,24,25,122,44,
2021년05월_남_20~29세,"1,830","1,268",30,44,51,80,69,65,57,117,49,
2021년05월_남_30~39세,"1,467",967,23,36,32,58,77,43,82,103,46,
2021년05월_남_40~49세,"2,399","1,466",67,70,83,119,130,69,114,176,105,
2021년05월_남_50~59세,"3,990","2,053",117,179,207,244,256,168,175,388,203,
2021년05월_남_60~69세,"4,336","1,746",151,227,272,312,336,172,236,559,325,
2021년05월_남_70~79세,"2,185",906,89,104,132,151,167,87,122,253,174,
2021년05월_남_80~89세,"1,005",397,48,51,57,76,65,40,65,139,67,
2021년05월_남_90~99세,96,36,1,6,5,7,7,2,11,13,8,
2021년05월_남_100세 이상,8,1,0,0,0,3,2,0,1,1,0,
2021년05월_여_총인구수,"18,356","10,186",507,681,818,"1,003","1,062",537,770,"1,816",976,
2021년05월_여_연령구간인구수,"18,356","10,186",507,681,818,"1,003","1,062",537,770,"1,816",976,
2021년05월_여_0~9세,766,587,7,17,16,16,21,21,18,44,19,
2021년05월_여_10~19세,"1,320",968,15,28,37,54,47,15,37,83,36,
2021년05월_여_20~29세,"1,310",955,15,25,29,42,43,35,37,93,36,
2021년05월_여_30~39세,"1,236",890,24,19,23,43,42,35,36,77,47,
2021년05월_여_40~49세,"2,011","1,427",34,37,66,67,82,50,49,133,66,
