카테고리,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동,경기도 하남시 감일동
2020년03월_남_40~49세,"25,506",614,475,"3,695","1,240","1,363","2,201","2,927",755,"1,884",366,316,"4,323","5,347",
2020년03월_남_50~59세,"20,023",844,636,"3,424","1,420","1,776","1,998","1,804",687,"1,359",485,438,"2,332","2,820",
2020년03월_남_60~69세,"15,723",775,460,"3,084","1,246","1,563","1,542","1,145",547,930,421,398,"1,470","2,142",
2020년03월_남_70~79세,"7,487",306,210,"1,625",599,689,799,480,235,324,192,159,762,"1,107",
2020년03월_남_80~89세,"1,867",91,70,419,166,159,228,130,76,49,86,52,153,188,
2020년03월_남_90~99세,218,11,4,46,15,13,24,23,15,10,5,4,22,26,
2020년03월_남_100세 이상,30,2,2,4,3,3,1,10,3,0,1,0,0,1,
2020년03월_여_총인구수,"138,107","3,505","3,123","23,202","8,113","9,692","12,868","14,585","4,134","9,841","1,781","1,588","21,191","24,484",
2020년03월_여_연령구간인구수,"138,107","3,505","3,123","23,202","8,113","9,692","12,868","14,585","4,134","9,841","1,781","1,588","21,191","24,484",
2020년03월_여_0~9세,"14,630",185,155,"2,000",478,540,"1,059","2,279",515,"1,329",71,82,"2,386","3,551",
2020년03월_여_10~19세,"11,710",206,191,"1,935",548,649,"1,271","1,353",313,898,95,98,"1,744","2,409",
2020년03월_여_20~29세,"16,153",424,453,"2,530","1,041","1,176","1,411","1,553",395,"1,131",212,203,"3,589","2,035",
2020년03월_여_30~39세,"23,633",411,407,"3,378","1,072","1,329","1,695","2,972",812,"1,936",166,167,"4,672","4,616",
2020년03월_여_40~49세,"22,957",414,399,"3,640","1,122","1,281","2,249","2,625",613,"1,760",211,179,"3,661","4,803",
2020년03월_여_50~59세,"20,580",660,610,"3,824","1,611","1,851","2,151","1,856",642,"1,501",326,327,"2,246","2,975",
2020년03월_여_60~69세,"16,601",680,492,"3,395","1,334","1,637","1,714","1,180",450,878,347,294,"1,778","2,422",
2020년03월_여_70~79세,"7,542",316,270,"1,694",597,762,865,411,228,266,204,146,717,"1,066",
2020년03월_여_80~89세,"3,485",168,122,667,253,378,375,253,143,112,116,81,324,493,
2020년03월_여_90~99세,736,35,20,129,47,83,72,87,16,28,27,9,72,111,
2020년03월_여_100세 이상,80,6,4,10,10,6,6,16,7,2,6,2,2,3,
2020년04월_계_총인구수,"279,621","7,722","6,474","45,726","16,402","19,469","25,569","29,134","2,844","19,241","4,054","3,699","43,445","48,282","7,560"
2020년04월_계_연령구간인구수,"279,621","7,722","6,474","45,726","16,402","19,469","25,569","29,134","2,844","19,241","4,054","3,699","43,445","48,282","7,560"
2020년04월_계_0~9세,"30,049",380,310,"3,969",988,"1,125","2,194","4,613",107,"2,605",136,174,"4,945","7,200","1,303"
2020년04월_계_10~19세,"24,179",430,411,"4,030","1,185","1,292","2,619","2,790",160,"1,777",207,203,"3,538","4,907",630
2020년04월_계_20~29세,"33,514",979,966,"5,234","2,240","2,588","3,062","3,161",319,"2,248",476,464,"6,982","4,122",673
2020년04월_계_30~39세,"47,935","1,000",974,"6,842","2,325","2,934","3,441","5,591",386,"3,460",441,440,"9,968","8,449","1,684"
2020년04월_계_40~49세,"48,885","1,035",889,"7,323","2,337","2,636","4,448","5,579",375,"3,646",574,492,"8,045","10,200","1,306"
2020년04월_계_50~59세,"40,785","1,498","1,252","7,217","3,013","3,593","4,148","3,648",585,"2,887",805,778,"4,628","5,806",927
2020년04월_계_60~69세,"32,640","1,465",966,"6,505","2,593","3,205","3,280","2,334",518,"1,823",775,695,"3,261","4,586",634
2020년04월_계_70~79세,"15,165",618,482,"3,315","1,227","1,460","1,664",898,252,590,398,304,"1,494","2,201",262
2020년04월_계_80~89세,"5,396",262,194,"1,103",420,532,607,385,117,164,204,134,489,669,116
2020년04월_계_90~99세,958,47,24,174,61,95,97,109,18,39,30,13,93,137,21
2020년04월_계_100세 이상,115,8,6,14,13,9,9,26,7,2,8,2,2,5,4
2020년04월_남_총인구수,"140,443","4,211","3,337","22,565","8,285","9,812","12,741","14,486","1,570","9,396","2,277","2,102","22,045","23,797","3,819"
2020년04월_남_연령구간인구수,"140,443","4,211","3,337","22,565","8,285","9,812","12,741","14,486","1,570","9,396","2,277","2,102","22,045","23,797","3,819"
2020년04월_남_0~9세,"15,320",189,155,"1,982",510,590,"1,155","2,333",61,"1,285",67,92,"2,568","3,678",655
2020년04월_남_10~19세,"12,366",229,216,"2,097",640,650,"1,355","1,422",82,867,110,102,"1,769","2,488",339
2020년04월_남_20~29세,"17,226",558,520,"2,712","1,194","1,414","1,658","1,601",188,"1,126",265,264,"3,305","2,083",338
2020년04월_남_30~39세,"24,134",589,566,"3,475","1,265","1,600","1,766","2,599",233,"1,538",274,277,"5,267","3,867",818
2020년04월_남_40~49세,"25,700",618,484,"3,681","1,215","1,362","2,204","2,941",219,"1,877",364,310,"4,355","5,368",702
2020년04월_남_50~59세,"20,146",845,645,"3,412","1,413","1,759","1,999","1,795",316,"1,378",483,446,"2,361","2,831",463
2020년04월_남_60~69세,"15,853",775,466,"3,097","1,248","1,565","1,555","1,145",295,939,426,398,"1,474","2,151",319
2020년04월_남_70~79세,"7,564",304,210,"1,629",618,698,797,485,123,325,194,158,768,"1,117",138
2020년04월_남_80~89세,"1,886",90,69,432,164,160,223,132,44,50,88,52,158,187,37
2020년04월_남_90~99세,216,12,4,44,15,11,28,23,7,11,4,3,20,25,9
2020년04월_남_100세 이상,32,2,2,4,3,3,1,10,2,0,2,0,0,2,1
2020년04월_여_총인구수,"139,178","3,511","3,137","23,161","8,117","9,657","12,828","14,648","1,274","9,845","1,777","1,597","21,400","24,485","3,741"
2020년04월_여_연령구간인구수,"139,178","3,511","3,137","23,161","8,117","9,657","12,828","14,648","1,274","9,845","1,777","1,597","21,400","24,485","3,741"
2020년04월_여_0~9세,"14,729",191,155,"1,987",478,535,"1,039","2,280",46,"1,320",69,82,"2,377","3,522",648
2020년04월_여_10~19세,"11,813",201,195,"1,933",545,642,"1,264","1,368",78,910,97,101,"1,769","2,419",291
2020년04월_여_20~29세,"16,288",421,446,"2,522","1,046","1,174","1,404","1,560",131,"1,122",211,200,"3,677","2,039",335
2020년04월_여_30~39세,"23,801",411,408,"3,367","1,060","1,334","1,675","2,992",153,"1,922",167,163,"4,701","4,582",866
2020년04월_여_40~49세,"23,185",417,405,"3,642","1,122","1,274","2,244","2,638",156,"1,769",210,182,"3,690","4,832",604
2020년04월_여_50~59세,"20,639",653,607,"3,805","1,600","1,834","2,149","1,853",269,"1,509",322,332,"2,267","2,975",464
2020년04월_여_60~69세,"16,787",690,500,"3,408","1,345","1,640","1,725","1,189",223,884,349,297,"1,787","2,435",315
2020년04월_여_70~79세,"7,601",314,272,"1,686",609,762,867,413,129,265,204,146,726,"1,084",124
2020년04월_여_80~89세,"3,510",172,125,671,256,372,384,253,73,114,116,82,331,482,79
2020년04월_여_90~99세,742,35,20,130,46,84,69,86,11,28,26,10,73,112,12
2020년04월_여_100세 이상,83,6,4,10,10,6,8,16,5,2,6,2,2,3,3
2020년05월_계_총인구수,"281,340","7,733","6,522","45,697","16,359","19,474","25,549","29,521","2,855","19,169","4,054","3,700","43,726","48,285","8,696"
2020년05월_계_연령구간인구수,"281,340","7,733","6,522","45,697","16,359","19,474","25,549","29,521","2,855","19,169","4,054","3,700","43,726","48,285","8,696"
2020년05월_계_0~9세,"30,103",372,315,"3,946",973,"1,130","2,173","4,648",107,"2,586",133,174,"4,939","7,145","1,462"
2020년05월_계_10~19세,"24,271",431,415,"3,995","1,170","1,274","2,612","2,823",157,"1,785",208,199,"3,560","4,940",702
2020년05월_계_20~29세,"33,753",976,967,"5,230","2,260","2,588","3,067","3,210",322,"2,228",477,472,"7,030","4,119",807
2020년05월_계_30~39세,"48,219","1,006",998,"6,837","2,294","2,939","3,415","5,651",392,"3,430",441,435,"10,049","8,403","1,929"
2020년05월_계_40~49세,"49,189","1,040",902,"7,305","2,341","2,609","4,442","5,673",377,"3,636",571,487,"8,094","10,228","1,484"
2020년05월_계_50~59세,"41,013","1,495","1,244","7,242","3,013","3,591","4,142","3,694",581,"2,888",803,778,"4,657","5,824","1,061"
2020년05월_계_60~69세,"32,939","1,475",962,"6,489","2,591","3,240","3,302","2,396",525,"1,825",777,702,"3,289","4,609",757
2020년05월_계_70~79세,"15,345",619,490,"3,352","1,225","1,466","1,682",908,252,591,404,302,"1,517","2,208",329
2020년05월_계_80~89세,"5,431",265,199,"1,107",417,531,607,387,117,160,203,137,495,668,138
2020년05월_계_90~99세,959,46,24,179,62,97,98,105,18,38,29,12,94,136,21
2020년05월_계_100세 이상,118,8,6,15,13,9,9,26,7,2,8,2,2,5,6
2020년05월_남_총인구수,"141,301","4,234","3,366","22,566","8,264","9,796","12,714","14,675","1,573","9,351","2,274","2,102","22,185","23,816","4,385"
2020년05월_남_연령구간인구수,"141,301","4,234","3,366","22,566","8,264","9,796","12,714","14,675","1,573","9,351","2,274","2,102","22,185","23,816","4,385"
2020년05월_남_0~9세,"15,367",186,158,"1,965",505,595,"1,145","2,349",60,"1,269",67,91,"2,567","3,662",748
2020년05월_남_10~19세,"12,405",231,221,"2,075",629,635,"1,351","1,444",82,870,110,102,"1,781","2,498",376
2020년05월_남_20~29세,"17,327",558,521,"2,716","1,205","1,414","1,649","1,626",188,"1,110",266,273,"3,316","2,082",403
2020년05월_남_30~39세,"24,288",595,582,"3,480","1,242","1,600","1,759","2,611",237,"1,519",277,269,"5,320","3,853",944
2020년05월_남_40~49세,"25,865",621,490,"3,678","1,220","1,344","2,202","2,993",222,"1,878",357,305,"4,383","5,381",791
2020년05월_남_50~59세,"20,257",844,641,"3,427","1,421","1,757","1,987","1,817",314,"1,378",482,449,"2,375","2,844",521
2020년05월_남_60~69세,"15,985",787,464,"3,096","1,241","1,575","1,567","1,176",293,943,424,401,"1,485","2,159",374
2020년05월_남_70~79세,"7,660",306,215,"1,645",619,701,802,492,123,324,198,157,780,"1,121",177
2020년05월_남_80~89세,"1,902",92,69,435,163,161,223,136,45,49,87,53,158,189,42
2020년05월_남_90~99세,212,12,3,44,16,11,28,21,7,11,4,2,20,25,8
2020년05월_남_100세 이상,33,2,2,5,3,3,1,10,2,0,2,0,0,2,1
2020년05월_여_총인구수,"140,039","3,499","3,156","23,131","8,095","9,678","12,835","14,846","1,282","9,818","1,780","1,598","21,541","24,469","4,311"
2020년05월_여_연령구간인구수,"140,039","3,499","3,156","23,131","8,095","9,678","12,835","14,846","1,282","9,818","1,780","1,598","21,541","24,469","4,311"
2020년05월_여_0~9세,"14,736",186,157,"1,981",468,535,"1,028","2,299",47,"1,317",66,83,"2,372","3,483",714
2020년05월_여_10~19세,"11,866",200,194,"1,920",541,639,"1,261","1,379",75,915,98,97,"1,779","2,442",326
2020년05월_여_20~29세,"16,426",418,446,"2,514","1,055","1,174","1,418","1,584",134,"1,118",211,199,"3,714","2,037",404
2020년05월_여_30~39세,"23,931",411,416,"3,357","1,052","1,339","1,656","3,040",155,"1,911",164,166,"4,729","4,550",985
2020년05월_여_40~49세,"23,324",419,412,"3,627","1,121","1,265","2,240","2,680",155,"1,758",214,182,"3,711","4,847",693
2020년05월_여_50~59세,"20,756",651,603,"3,815","1,592","1,834","2,155","1,877",267,"1,510",321,329,"2,282","2,980",540
2020년05월_여_60~69세,"16,954",688,498,"3,393","1,350","1,665","1,735","1,220",232,882,353,301,"1,804","2,450",383
2020년05월_여_70~79세,"7,685",313,275,"1,707",606,765,880,416,129,267,206,145,737,"1,087",152
2020년05월_여_80~89세,"3,529",173,130,672,254,370,384,251,72,111,116,84,337,479,96
2020년05월_여_90~99세,747,34,21,135,46,86,70,84,11,27,25,10,74,111,13
2020년05월_여_100세 이상,85,6,4,10,10,6,8,16,5,2,6,2,2,3,5
2020년06월_계_총인구수,"283,256","7,748","6,606","45,810","16,399","19,549","25,565","29,998","2,873","19,119","4,066","3,726","44,050","48,335","9,412"
2020년06월_계_연령구간인구수,"283,256","7,748","6,606","45,810","16,399","19,549","25,565","29,998","2,873","19,119","4,066","3,726","44,050","48,335","9,412"
2020년06월_계_0~9세,"30,221",367,321,"3,955",993,"1,141","2,196","4,693",104,"2,566",137,176,"4,955","7,108","1,509"
2020년06월_계_10~19세,"24,348",432,419,"3,986","1,154","1,265","2,593","2,844",158,"1,800",206,197,"3,582","4,973",739
2020년06월_계_20~29세,"34,097",983,977,"5,254","2,255","2,599","3,066","3,266",332,"2,214",481,474,"7,088","4,136",972
2020년06월_계_30~39세,"48,582","1,008","1,018","6,854","2,310","2,963","3,412","5,758",397,"3,380",440,450,"10,112","8,326","2,154"
2020년06월_계_40~49세,"49,539","1,046",903,"7,321","2,345","2,604","4,443","5,735",382,"3,652",572,484,"8,190","10,283","1,579"
2020년06월_계_50~59세,"41,098","1,494","1,249","7,217","3,004","3,597","4,133","3,786",577,"2,872",795,782,"4,666","5,823","1,103"
2020년06월_계_60~69세,"33,315","1,478",982,"6,548","2,614","3,269","3,313","2,462",525,"1,845",787,709,"3,319","4,638",826
2020년06월_계_70~79세,"15,499",621,501,"3,377","1,230","1,475","1,688",933,259,592,407,302,"1,530","2,230",354
2020년06월_계_80~89세,"5,471",265,204,"1,107",420,527,612,389,114,160,204,138,509,676,146
2020년06월_계_90~99세,965,46,26,175,61,100,100,106,18,35,29,12,97,136,24
2020년06월_계_100세 이상,121,8,6,16,13,9,9,26,7,3,8,2,2,6,6
2020년06월_남_총인구수,"142,312","4,246","3,403","22,644","8,286","9,844","12,727","14,894","1,588","9,320","2,287","2,127","22,361","23,841","4,744"
2020년06월_남_연령구간인구수,"142,312","4,246","3,403","22,644","8,286","9,844","12,727","14,894","1,588","9,320","2,287","2,127","22,361","23,841","4,744"
2020년06월_남_0~9세,"15,438",182,160,"1,975",512,603,"1,165","2,365",56,"1,265",71,93,"2,572","3,646",773
2020년06월_남_10~19세,"12,435",230,222,"2,072",623,628,"1,343","1,444",83,873,110,99,"1,794","2,523",391
2020년06월_남_20~29세,"17,509",565,527,"2,727","1,209","1,422","1,648","1,655",195,"1,097",267,276,"3,347","2,091",483
2020년06월_남_30~39세,"24,506",600,596,"3,496","1,249","1,606","1,757","2,673",242,"1,496",279,279,"5,360","3,813","1,060"
2020년06월_남_40~49세,"26,047",620,490,"3,687","1,223","1,354","2,201","3,021",226,"1,883",356,306,"4,432","5,399",849
2020년06월_남_50~59세,"20,325",836,643,"3,418","1,425","1,756","1,984","1,857",313,"1,374",482,455,"2,394","2,847",541
2020년06월_남_60~69세,"16,159",800,469,"3,129","1,244","1,593","1,574","1,207",292,949,431,402,"1,489","2,176",404
2020년06월_남_70~79세,"7,729",308,218,"1,653",620,705,803,503,128,324,197,161,792,"1,126",191
2020년06월_남_80~89세,"1,920",91,72,439,163,162,224,138,44,50,88,54,161,192,42
2020년06월_남_90~99세,210,12,4,42,15,12,27,21,7,9,4,2,20,26,9
2020년06월_남_100세 이상,34,2,2,6,3,3,1,10,2,0,2,0,0,2,1
2020년06월_여_총인구수,"140,944","3,502","3,203","23,166","8,113","9,705","12,838","15,104","1,285","9,799","1,779","1,599","21,689","24,494","4,668"
2020년06월_여_연령구간인구수,"140,944","3,502","3,203","23,166","8,113","9,705","12,838","15,104","1,285","9,799","1,779","1,599","21,689","24,494","4,668"
2020년06월_여_0~9세,"14,783",185,161,"1,980",481,538,"1,031","2,328",48,"1,301",66,83,"2,383","3,462",736
2020년06월_여_10~19세,"11,913",202,197,"1,914",531,637,"1,250","1,400",75,927,96,98,"1,788","2,450",348
2020년06월_여_20~29세,"16,588",418,450,"2,527","1,046","1,177","1,418","1,611",137,"1,117",214,198,"3,741","2,045",489
2020년06월_여_30~39세,"24,076",408,422,"3,358","1,061","1,357","1,655","3,085",155,"1,884",161,171,"4,752","4,513","1,094"
2020년06월_여_40~49세,"23,492",426,413,"3,634","1,122","1,250","2,242","2,714",156,"1,769",216,178,"3,758","4,884",730
2020년06월_여_50~59세,"20,773",658,606,"3,799","1,579","1,841","2,149","1,929",264,"1,498",313,327,"2,272","2,976",562
2020년06월_여_60~69세,"17,156",678,513,"3,419","1,370","1,676","1,739","1,255",233,896,356,307,"1,830","2,462",422
2020년06월_여_70~79세,"7,770",313,283,"1,724",610,770,885,430,131,268,210,141,738,"1,104",163
2020년06월_여_80~89세,"3,551",174,132,668,257,365,388,251,70,110,116,84,348,484,104
2020년06월_여_90~99세,755,34,22,133,46,88,73,85,11,26,25,10,77,110,15
2020년06월_여_100세 이상,87,6,4,10,10,6,8,16,5,3,6,2,2,4,5
2020년07월_계_총인구수,"284,507","7,804","6,653","45,873","16,408","19,636","25,664","30,228","2,902","19,127","4,062","3,735","44,339","48,331","9,745"
2020년07월_계_연령구간인구수,"284,507","7,804","6,653","45,873","16,408","19,636","25,664","30,228","2,902","19,127","4,062","3,735","44,339","48,331","9,745"
2020년07월_계_0~9세,"30,227",367,315,"3,943",990,"1,145","2,199","4,711",104,"2,569",138,169,"4,967","7,092","1,518"
2020년07월_계_10~19세,"24,385",444,421,"3,983","1,150","1,255","2,579","2,867",160,"1,814",204,194,"3,598","4,985",731
2020년07월_계_20~29세,"34,336",981,992,"5,263","2,255","2,617","3,088","3,300",335,"2,196",480,476,"7,158","4,114","1,081"
2020년07월_계_30~39세,"48,776","1,022","1,020","6,839","2,326","2,983","3,424","5,798",400,"3,362",437,452,"10,159","8,298","2,256"
2020년07월_계_40~49세,"49,826","1,060",927,"7,352","2,332","2,619","4,476","5,775",387,"3,682",567,496,"8,254","10,286","1,613"
2020년07월_계_50~59세,"41,185","1,505","1,249","7,206","2,994","3,598","4,128","3,824",590,"2,877",795,778,"4,696","5,826","1,119"
2020년07월_계_60~69세,"33,561","1,485",987,"6,590","2,633","3,284","3,339","2,479",528,"1,842",789,723,"3,342","4,670",870
2020년07월_계_70~79세,"15,594",620,501,"3,390","1,233","1,492","1,702",948,261,590,403,299,"1,543","2,237",375
2020년07월_계_80~89세,"5,529",268,208,"1,117",420,534,619,393,112,156,213,135,523,680,151
2020년07월_계_90~99세,964,44,27,174,62,100,101,105,18,36,28,11,96,137,25
2020년07월_계_100세 이상,124,8,6,16,13,9,9,28,7,3,8,2,3,6,6
2020년07월_남_총인구수,"142,973","4,279","3,437","22,662","8,299","9,894","12,786","14,981","1,603","9,336","2,271","2,142","22,539","23,846","4,898"
2020년07월_남_연령구간인구수,"142,973","4,279","3,437","22,662","8,299","9,894","12,786","14,981","1,603","9,336","2,271","2,142","22,539","23,846","4,898"
2020년07월_남_0~9세,"15,424",182,156,"1,970",508,606,"1,168","2,361",57,"1,264",71,89,"2,582","3,633",777
2020년07월_남_10~19세,"12,451",237,223,"2,068",621,624,"1,335","1,456",84,878,110,100,"1,799","2,531",385
2020년07월_남_20~29세,"17,637",561,541,"2,736","1,211","1,425","1,664","1,661",196,"1,100",263,274,"3,394","2,086",525
2020년07월_남_30~39세,"24,633",607,600,"3,476","1,255","1,624","1,758","2,693",246,"1,485",275,285,"5,410","3,800","1,119"
2020년07월_남_40~49세,"26,201",629,503,"3,706","1,221","1,360","2,221","3,042",230,"1,906",352,315,"4,447","5,402",867
2020년07월_남_50~59세,"20,376",847,645,"3,412","1,418","1,765","1,982","1,873",321,"1,369",481,451,"2,418","2,849",545
2020년07월_남_60~69세,"16,291",801,468,"3,148","1,263","1,599","1,589","1,220",289,956,428,413,"1,500","2,190",427
2020년07월_남_70~79세,"7,764",311,221,"1,655",618,711,813,505,128,322,196,159,799,"1,129",197
2020년07월_남_80~89세,"1,950",91,73,443,166,165,229,139,43,48,89,53,170,196,45
2020년07월_남_90~99세,211,11,5,42,15,12,26,21,7,8,4,3,19,28,10
2020년07월_남_100세 이상,35,2,2,6,3,3,1,10,2,0,2,0,1,2,1
2020년07월_여_총인구수,"141,534","3,525","3,216","23,211","8,109","9,742","12,878","15,247","1,299","9,791","1,791","1,593","21,800","24,485","4,847"
2020년07월_여_연령구간인구수,"141,534","3,525","3,216","23,211","8,109","9,742","12,878","15,247","1,299","9,791","1,791","1,593","21,800","24,485","4,847"
2020년07월_여_0~9세,"14,803",185,159,"1,973",482,539,"1,031","2,350",47,"1,305",67,80,"2,385","3,459",741
2020년07월_여_10~19세,"11,934",207,198,"1,915",529,631,"1,244","1,411",76,936,94,94,"1,799","2,454",346
2020년07월_여_20~29세,"16,699",420,451,"2,527","1,044","1,192","1,424","1,639",139,"1,096",217,202,"3,764","2,028",556
2020년07월_여_30~39세,"24,143",415,420,"3,363","1,071","1,359","1,666","3,105",154,"1,877",162,167,"4,749","4,498","1,137"
2020년07월_여_40~49세,"23,625",431,424,"3,646","1,111","1,259","2,255","2,733",157,"1,776",215,181,"3,807","4,884",746
2020년07월_여_50~59세,"20,809",658,604,"3,794","1,576","1,833","2,146","1,951",269,"1,508",314,327,"2,278","2,977",574
2020년07월_여_60~69세,"17,270",684,519,"3,442","1,370","1,685","1,750","1,259",239,886,361,310,"1,842","2,480",443
2020년07월_여_70~79세,"7,830",309,280,"1,735",615,781,889,443,133,268,207,140,744,"1,108",178
2020년07월_여_80~89세,"3,579",177,135,674,254,369,390,254,69,108,124,82,353,484,106
2020년07월_여_90~99세,753,33,22,132,47,88,75,84,11,28,24,8,77,109,15
2020년07월_여_100세 이상,89,6,4,10,10,6,8,18,5,3,6,2,2,4,5
2020년08월_계_총인구수,"285,693","7,815","6,714","45,844","16,372","19,638","25,742","30,267","2,915","19,166","4,054","3,731","45,179","48,352","9,904"
2020년08월_계_연령구간인구수,"285,693","7,815","6,714","45,844","16,372","19,638","25,742","30,267","2,915","19,166","4,054","3,731","45,179","48,352","9,904"
2020년08월_계_0~9세,"30,131",361,322,"3,914",989,"1,145","2,200","4,689",101,"2,575",135,168,"4,958","7,057","1,517"
2020년08월_계_10~19세,"24,418",439,422,"3,956","1,141","1,258","2,564","2,870",164,"1,833",201,191,"3,642","4,994",743
2020년08월_계_20~29세,"34,691",987,994,"5,272","2,239","2,593","3,102","3,314",337,"2,190",483,472,"7,476","4,118","1,114"
2020년08월_계_30~39세,"48,985","1,016","1,034","6,831","2,336","2,975","3,433","5,774",408,"3,334",432,463,"10,399","8,249","2,301"
2020년08월_계_40~49세,"50,045","1,058",944,"7,333","2,323","2,626","4,471","5,802",389,"3,710",568,493,"8,355","10,331","1,642"
2020년08월_계_50~59세,"41,252","1,503","1,254","7,200","2,963","3,585","4,151","3,838",591,"2,868",795,768,"4,785","5,815","1,136"
2020년08월_계_60~69세,"33,836","1,501","1,003","6,639","2,661","3,301","3,367","2,498",524,"1,860",791,725,"3,376","4,706",884
2020년08월_계_70~79세,"15,675",623,505,"3,383","1,227","1,507","1,713",951,263,600,399,301,"1,559","2,260",384
2020년08월_계_80~89세,"5,573",273,204,"1,121",419,540,632,398,113,158,212,137,528,686,152
2020년08월_계_90~99세,964,46,26,179,61,99,99,104,18,35,30,11,99,131,26
2020년08월_계_100세 이상,123,8,6,16,13,9,10,29,7,3,8,2,2,5,5
2020년08월_남_총인구수,"143,555","4,284","3,470","22,651","8,290","9,901","12,834","14,992","1,612","9,349","2,266","2,138","22,961","23,828","4,979"
2020년08월_남_연령구간인구수,"143,555","4,284","3,470","22,651","8,290","9,901","12,834","14,992","1,612","9,349","2,266","2,138","22,961","23,828","4,979"
2020년08월_남_0~9세,"15,360",179,160,"1,959",505,609,"1,171","2,341",55,"1,263",69,88,"2,576","3,609",776
2020년08월_남_10~19세,"12,477",234,224,"2,060",617,628,"1,330","1,459",86,893,109,99,"1,816","2,530",392
2020년08월_남_20~29세,"17,776",567,541,"2,727","1,213","1,414","1,666","1,660",199,"1,091",262,271,"3,543","2,083",539
2020년08월_남_30~39세,"24,753",596,605,"3,480","1,254","1,627","1,764","2,696",252,"1,478",273,293,"5,529","3,775","1,131"
2020년08월_남_40~49세,"26,332",637,514,"3,701","1,216","1,360","2,218","3,052",232,"1,908",352,312,"4,510","5,424",896
2020년08월_남_50~59세,"20,405",845,648,"3,405","1,400","1,755","2,006","1,875",320,"1,367",482,443,"2,465","2,844",550
2020년08월_남_60~69세,"16,427",807,476,"3,172","1,282","1,602","1,598","1,234",284,964,429,417,"1,521","2,204",437
2020년08월_남_70~79세,"7,809",312,223,"1,657",617,721,817,504,132,327,194,161,811,"1,132",201
2020년08월_남_80~89세,"1,971",92,74,441,167,169,237,140,43,50,90,51,171,201,45
2020년08월_남_90~99세,213,13,3,43,16,13,26,21,7,8,4,3,19,26,11
2020년08월_남_100세 이상,32,2,2,6,3,3,1,10,2,0,2,0,0,0,1
2020년08월_여_총인구수,"142,138","3,531","3,244","23,193","8,082","9,737","12,908","15,275","1,303","9,817","1,788","1,593","22,218","24,524","4,925"
