카테고리,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2020년03월_여_20~29세,"13,792",290,"1,716",413,471,846,"1,967",823,"1,012","1,965",906,"1,653","1,730"
2020년03월_여_30~39세,"12,361",279,"1,597",408,502,733,"1,420",694,891,"1,491",733,"1,814","1,799"
2020년03월_여_40~49세,"14,533",316,"1,861",594,622,824,"1,237",816,"1,041","1,674",941,"2,189","2,418"
2020년03월_여_50~59세,"21,453",617,"3,006","1,104",874,"1,496","2,088","1,386","1,667","2,110","1,382","2,908","2,815"
2020년03월_여_60~69세,"17,663",559,"2,495","1,390",761,"1,127","1,637","1,289","1,251","1,592","1,193","2,489","1,880"
2020년03월_여_70~79세,"8,864",366,"1,177","1,041",435,499,751,702,559,836,567,"1,169",762
2020년03월_여_80~89세,"3,770",144,480,533,178,207,263,258,246,363,268,479,351
2020년03월_여_90~99세,539,18,61,63,25,41,47,40,41,50,37,64,52
2020년03월_여_100세 이상,59,5,16,1,3,1,13,6,1,6,0,5,2
2020년04월_계_총인구수,"216,507","6,154","28,657","11,355","9,153","13,501","21,810","14,105","15,919","23,704","13,602","29,817","28,730"
2020년04월_계_연령구간인구수,"216,507","6,154","28,657","11,355","9,153","13,501","21,810","14,105","15,919","23,704","13,602","29,817","28,730"
2020년04월_계_0~9세,"13,331",234,"1,695",337,562,801,"1,137",579,979,"1,618",800,"2,119","2,470"
2020년04월_계_10~19세,"15,817",330,"2,055",545,685,982,"1,105",769,"1,210","1,904","1,090","2,391","2,751"
2020년04월_계_20~29세,"29,629",682,"3,778",948,"1,112","1,808","3,904","1,799","2,266","4,051","1,878","3,616","3,787"
2020년04월_계_30~39세,"26,443",622,"3,453",907,"1,068","1,565","3,163","1,652","1,909","3,156","1,591","3,734","3,623"
2020년04월_계_40~49세,"30,266",770,"3,838","1,389","1,293","1,747","2,726","1,877","2,098","3,489","1,850","4,452","4,737"
2020년04월_계_50~59세,"42,571","1,380","5,770","2,292","1,888","2,896","4,340","2,981","3,286","4,033","2,541","5,613","5,551"
2020년04월_계_60~69세,"35,467","1,208","4,986","2,483","1,448","2,338","3,476","2,652","2,628","3,221","2,312","4,938","3,777"
2020년04월_계_70~79세,"16,624",685,"2,257","1,662",794,999,"1,475","1,327","1,125","1,604","1,074","2,147","1,475"
2020년04월_계_80~89세,"5,647",216,735,718,269,318,420,412,370,559,422,714,494
2020년04월_계_90~99세,645,22,74,72,30,45,50,49,46,63,44,87,63
2020년04월_계_100세 이상,67,5,16,2,4,2,14,8,2,6,0,6,2
2020년04월_남_총인구수,"109,497","3,308","14,421","5,406","4,687","6,860","11,296","7,476","8,162","11,878","6,689","14,907","14,407"
2020년04월_남_연령구간인구수,"109,497","3,308","14,421","5,406","4,687","6,860","11,296","7,476","8,162","11,878","6,689","14,907","14,407"
2020년04월_남_0~9세,"6,775",126,836,164,281,412,573,299,497,807,412,"1,096","1,272"
2020년04월_남_10~19세,"8,273",179,"1,080",300,360,509,587,415,628,968,567,"1,263","1,417"
2020년04월_남_20~29세,"15,918",388,"2,080",542,647,973,"1,943",983,"1,258","2,084",988,"1,969","2,063"
2020년04월_남_30~39세,"14,169",349,"1,864",504,569,833,"1,742",962,"1,021","1,672",865,"1,944","1,844"
2020년04월_남_40~49세,"15,786",453,"1,983",802,683,915,"1,484","1,066","1,064","1,832",915,"2,268","2,321"
2020년04월_남_50~59세,"21,232",777,"2,780","1,194","1,010","1,412","2,260","1,601","1,624","1,930","1,172","2,725","2,747"
2020년04월_남_60~69세,"17,669",646,"2,458","1,091",690,"1,200","1,826","1,371","1,372","1,610","1,110","2,419","1,876"
2020년04월_남_70~79세,"7,724",316,"1,076",617,355,495,718,620,565,778,501,972,711
2020년04월_남_80~89세,"1,842",70,250,182,86,106,158,149,127,187,152,230,145
2020년04월_남_90~99세,101,4,14,9,5,4,4,8,5,10,7,20,11
2020년04월_남_100세 이상,8,0,0,1,1,1,1,2,1,0,0,1,0
2020년04월_여_총인구수,"107,010","2,846","14,236","5,949","4,466","6,641","10,514","6,629","7,757","11,826","6,913","14,910","14,323"
2020년04월_여_연령구간인구수,"107,010","2,846","14,236","5,949","4,466","6,641","10,514","6,629","7,757","11,826","6,913","14,910","14,323"
2020년04월_여_0~9세,"6,556",108,859,173,281,389,564,280,482,811,388,"1,023","1,198"
2020년04월_여_10~19세,"7,544",151,975,245,325,473,518,354,582,936,523,"1,128","1,334"
2020년04월_여_20~29세,"13,711",294,"1,698",406,465,835,"1,961",816,"1,008","1,967",890,"1,647","1,724"
2020년04월_여_30~39세,"12,274",273,"1,589",403,499,732,"1,421",690,888,"1,484",726,"1,790","1,779"
2020년04월_여_40~49세,"14,480",317,"1,855",587,610,832,"1,242",811,"1,034","1,657",935,"2,184","2,416"
2020년04월_여_50~59세,"21,339",603,"2,990","1,098",878,"1,484","2,080","1,380","1,662","2,103","1,369","2,888","2,804"
2020년04월_여_60~69세,"17,798",562,"2,528","1,392",758,"1,138","1,650","1,281","1,256","1,611","1,202","2,519","1,901"
2020년04월_여_70~79세,"8,900",369,"1,181","1,045",439,504,757,707,560,826,573,"1,175",764
2020년04월_여_80~89세,"3,805",146,485,536,183,212,262,263,243,372,270,484,349
2020년04월_여_90~99세,544,18,60,63,25,41,46,41,41,53,37,67,52
2020년04월_여_100세 이상,59,5,16,1,3,1,13,6,1,6,0,5,2
2020년05월_계_총인구수,"216,083","6,147","28,641","11,308","9,119","13,480","21,856","14,051","15,872","23,683","13,578","29,699","28,649"
2020년05월_계_연령구간인구수,"216,083","6,147","28,641","11,308","9,119","13,480","21,856","14,051","15,872","23,683","13,578","29,699","28,649"
2020년05월_계_0~9세,"13,258",234,"1,693",337,548,796,"1,139",571,979,"1,596",800,"2,093","2,472"
2020년05월_계_10~19세,"15,735",330,"2,048",540,681,974,"1,095",767,"1,199","1,909","1,082","2,375","2,735"
2020년05월_계_20~29세,"29,555",681,"3,773",936,"1,104","1,804","3,923","1,771","2,242","4,070","1,873","3,615","3,763"
2020년05월_계_30~39세,"26,270",614,"3,436",890,"1,057","1,562","3,155","1,656","1,893","3,128","1,572","3,686","3,621"
2020년05월_계_40~49세,"30,192",770,"3,848","1,380","1,280","1,742","2,753","1,861","2,088","3,495","1,845","4,421","4,709"
2020년05월_계_50~59세,"42,442","1,367","5,759","2,271","1,890","2,879","4,343","2,964","3,281","4,027","2,533","5,602","5,526"
2020년05월_계_60~69세,"35,558","1,221","4,999","2,489","1,450","2,353","3,479","2,653","2,631","3,223","2,314","4,952","3,794"
2020년05월_계_70~79세,"16,672",685,"2,251","1,670",796,"1,007","1,484","1,330","1,133","1,604","1,088","2,147","1,477"
2020년05월_계_80~89세,"5,687",218,744,719,276,315,422,419,377,562,428,716,491
2020년05월_계_90~99세,647,22,74,74,33,46,49,51,47,63,43,86,59
2020년05월_계_100세 이상,67,5,16,2,4,2,14,8,2,6,0,6,2
2020년05월_남_총인구수,"109,279","3,289","14,418","5,393","4,676","6,839","11,310","7,449","8,130","11,878","6,677","14,852","14,368"
2020년05월_남_연령구간인구수,"109,279","3,289","14,418","5,393","4,676","6,839","11,310","7,449","8,130","11,878","6,677","14,852","14,368"
2020년05월_남_0~9세,"6,729",126,829,167,275,410,572,299,496,794,412,"1,078","1,271"
2020년05월_남_10~19세,"8,237",174,"1,076",296,359,502,589,411,625,979,561,"1,254","1,411"
2020년05월_남_20~29세,"15,886",389,"2,083",540,642,969,"1,943",964,"1,237","2,102",981,"1,979","2,057"
2020년05월_남_30~39세,"14,084",341,"1,859",491,564,830,"1,732",967,"1,023","1,656",864,"1,916","1,841"
2020년05월_남_40~49세,"15,756",452,"1,985",802,679,913,"1,496","1,064","1,054","1,830",911,"2,256","2,314"
2020년05월_남_50~59세,"21,167",763,"2,784","1,186","1,015","1,405","2,267","1,586","1,617","1,927","1,169","2,723","2,725"
2020년05월_남_60~69세,"17,714",652,"2,460","1,098",690,"1,203","1,824","1,376","1,375","1,614","1,108","2,430","1,884"
2020년05월_남_70~79세,"7,738",317,"1,075",623,357,496,725,620,567,775,509,963,711
2020년05월_남_80~89세,"1,857",71,253,180,89,106,156,152,130,190,155,232,143
2020년05월_남_90~99세,103,4,14,9,5,4,5,8,5,11,7,20,11
2020년05월_남_100세 이상,8,0,0,1,1,1,1,2,1,0,0,1,0
2020년05월_여_총인구수,"106,804","2,858","14,223","5,915","4,443","6,641","10,546","6,602","7,742","11,805","6,901","14,847","14,281"
2020년05월_여_연령구간인구수,"106,804","2,858","14,223","5,915","4,443","6,641","10,546","6,602","7,742","11,805","6,901","14,847","14,281"
2020년05월_여_0~9세,"6,529",108,864,170,273,386,567,272,483,802,388,"1,015","1,201"
2020년05월_여_10~19세,"7,498",156,972,244,322,472,506,356,574,930,521,"1,121","1,324"
2020년05월_여_20~29세,"13,669",292,"1,690",396,462,835,"1,980",807,"1,005","1,968",892,"1,636","1,706"
2020년05월_여_30~39세,"12,186",273,"1,577",399,493,732,"1,423",689,870,"1,472",708,"1,770","1,780"
2020년05월_여_40~49세,"14,436",318,"1,863",578,601,829,"1,257",797,"1,034","1,665",934,"2,165","2,395"
2020년05월_여_50~59세,"21,275",604,"2,975","1,085",875,"1,474","2,076","1,378","1,664","2,100","1,364","2,879","2,801"
2020년05월_여_60~69세,"17,844",569,"2,539","1,391",760,"1,150","1,655","1,277","1,256","1,609","1,206","2,522","1,910"
2020년05월_여_70~79세,"8,934",368,"1,176","1,047",439,511,759,710,566,829,579,"1,184",766
2020년05월_여_80~89세,"3,830",147,491,539,187,209,266,267,247,372,273,484,348
2020년05월_여_90~99세,544,18,60,65,28,42,44,43,42,52,36,66,48
2020년05월_여_100세 이상,59,5,16,1,3,1,13,6,1,6,0,5,2
2020년06월_계_총인구수,"215,709","6,145","28,568","11,284","9,131","13,403","21,845","14,026","15,836","23,694","13,594","29,574","28,609"
2020년06월_계_연령구간인구수,"215,709","6,145","28,568","11,284","9,131","13,403","21,845","14,026","15,836","23,694","13,594","29,574","28,609"
2020년06월_계_0~9세,"13,170",231,"1,672",330,551,790,"1,129",567,981,"1,591",799,"2,067","2,462"
2020년06월_계_10~19세,"15,660",331,"2,057",537,682,959,"1,075",764,"1,192","1,885","1,089","2,358","2,731"
2020년06월_계_20~29세,"29,474",677,"3,755",941,"1,093","1,796","3,946","1,764","2,218","4,089","1,867","3,586","3,742"
2020년06월_계_30~39세,"26,182",608,"3,405",880,"1,065","1,542","3,155","1,646","1,892","3,138","1,568","3,663","3,620"
2020년06월_계_40~49세,"30,142",767,"3,850","1,366","1,283","1,731","2,736","1,862","2,078","3,506","1,850","4,415","4,698"
2020년06월_계_50~59세,"42,174","1,364","5,708","2,261","1,874","2,845","4,313","2,956","3,273","4,012","2,532","5,544","5,492"
2020년06월_계_60~69세,"35,759","1,234","5,023","2,490","1,468","2,366","3,520","2,656","2,645","3,233","2,327","4,970","3,827"
2020년06월_계_70~79세,"16,758",686,"2,260","1,679",799,"1,014","1,492","1,340","1,136","1,604","1,096","2,163","1,489"
2020년06월_계_80~89세,"5,677",219,747,724,279,314,418,409,373,569,423,715,487
2020년06월_계_90~99세,645,23,75,74,33,44,47,54,46,60,43,87,59
2020년06월_계_100세 이상,68,5,16,2,4,2,14,8,2,7,0,6,2
2020년06월_남_총인구수,"109,108","3,297","14,383","5,392","4,681","6,799","11,286","7,435","8,105","11,905","6,688","14,786","14,351"
2020년06월_남_연령구간인구수,"109,108","3,297","14,383","5,392","4,681","6,799","11,286","7,435","8,105","11,905","6,688","14,786","14,351"
2020년06월_남_0~9세,"6,693",124,818,163,278,408,567,295,497,794,411,"1,070","1,268"
2020년06월_남_10~19세,"8,203",174,"1,081",293,360,495,575,412,622,973,566,"1,241","1,411"
2020년06월_남_20~29세,"15,813",387,"2,073",547,632,963,"1,942",952,"1,225","2,108",971,"1,972","2,041"
2020년06월_남_30~39세,"14,057",339,"1,843",488,569,815,"1,736",962,"1,022","1,670",864,"1,904","1,845"
2020년06월_남_40~49세,"15,760",452,"1,991",796,685,914,"1,494","1,066","1,046","1,836",922,"2,249","2,309"
2020년06월_남_50~59세,"21,039",766,"2,763","1,181","1,005","1,390","2,240","1,585","1,611","1,926","1,171","2,695","2,706"
2020년06월_남_60~69세,"17,799",658,"2,462","1,106",698,"1,202","1,847","1,382","1,379","1,615","1,113","2,436","1,901"
2020년06월_남_70~79세,"7,775",320,"1,081",625,357,501,724,621,568,778,511,971,718
2020년06월_남_80~89세,"1,861",72,257,183,91,106,156,150,129,194,152,228,143
2020년06월_남_90~99세,99,5,14,9,5,4,4,8,5,10,7,19,9
2020년06월_남_100세 이상,9,0,0,1,1,1,1,2,1,1,0,1,0
2020년06월_여_총인구수,"106,601","2,848","14,185","5,892","4,450","6,604","10,559","6,591","7,731","11,789","6,906","14,788","14,258"
2020년06월_여_연령구간인구수,"106,601","2,848","14,185","5,892","4,450","6,604","10,559","6,591","7,731","11,789","6,906","14,788","14,258"
2020년06월_여_0~9세,"6,477",107,854,167,273,382,562,272,484,797,388,997,"1,194"
2020년06월_여_10~19세,"7,457",157,976,244,322,464,500,352,570,912,523,"1,117","1,320"
2020년06월_여_20~29세,"13,661",290,"1,682",394,461,833,"2,004",812,993,"1,981",896,"1,614","1,701"
2020년06월_여_30~39세,"12,125",269,"1,562",392,496,727,"1,419",684,870,"1,468",704,"1,759","1,775"
2020년06월_여_40~49세,"14,382",315,"1,859",570,598,817,"1,242",796,"1,032","1,670",928,"2,166","2,389"
2020년06월_여_50~59세,"21,135",598,"2,945","1,080",869,"1,455","2,073","1,371","1,662","2,086","1,361","2,849","2,786"
2020년06월_여_60~69세,"17,960",576,"2,561","1,384",770,"1,164","1,673","1,274","1,266","1,618","1,214","2,534","1,926"
2020년06월_여_70~79세,"8,983",366,"1,179","1,054",442,513,768,719,568,826,585,"1,192",771
2020년06월_여_80~89세,"3,816",147,490,541,188,208,262,259,244,375,271,487,344
2020년06월_여_90~99세,546,18,61,65,28,40,43,46,41,50,36,68,50
2020년06월_여_100세 이상,59,5,16,1,3,1,13,6,1,6,0,5,2
2020년07월_계_총인구수,"215,332","6,164","28,495","11,260","9,061","13,351","21,926","13,999","15,813","23,665","13,554","29,508","28,536"
2020년07월_계_연령구간인구수,"215,332","6,164","28,495","11,260","9,061","13,351","21,926","13,999","15,813","23,665","13,554","29,508","28,536"
2020년07월_계_0~9세,"13,080",234,"1,654",328,539,774,"1,138",558,985,"1,577",793,"2,058","2,442"
2020년07월_계_10~19세,"15,588",329,"2,056",534,675,953,"1,080",761,"1,187","1,865","1,082","2,354","2,712"
2020년07월_계_20~29세,"29,372",674,"3,736",930,"1,087","1,785","3,948","1,758","2,206","4,098","1,854","3,559","3,737"
2020년07월_계_30~39세,"26,059",611,"3,367",879,"1,044","1,530","3,179","1,650","1,887","3,138","1,556","3,639","3,579"
2020년07월_계_40~49세,"30,046",775,"3,834","1,359","1,274","1,720","2,747","1,846","2,066","3,494","1,852","4,403","4,676"
2020년07월_계_50~59세,"42,050","1,358","5,681","2,257","1,855","2,836","4,314","2,953","3,264","3,998","2,510","5,537","5,487"
2020년07월_계_60~69세,"35,896","1,249","5,050","2,498","1,476","2,374","3,531","2,657","2,658","3,248","2,338","4,972","3,845"
2020년07월_계_70~79세,"16,825",685,"2,268","1,670",801,"1,020","1,506","1,347","1,138","1,611","1,098","2,179","1,502"
2020년07월_계_80~89세,"5,701",221,757,727,277,313,423,406,375,569,427,714,492
2020년07월_계_90~99세,647,23,76,76,29,44,46,55,45,60,44,87,62
2020년07월_계_100세 이상,68,5,16,2,4,2,14,8,2,7,0,6,2
2020년07월_남_총인구수,"108,906","3,316","14,337","5,378","4,643","6,774","11,323","7,430","8,088","11,879","6,660","14,759","14,319"
2020년07월_남_연령구간인구수,"108,906","3,316","14,337","5,378","4,643","6,774","11,323","7,430","8,088","11,879","6,660","14,759","14,319"
2020년07월_남_0~9세,"6,647",126,805,165,268,403,571,291,502,786,402,"1,065","1,263"
2020년07월_남_10~19세,"8,168",172,"1,081",289,357,491,578,408,620,962,568,"1,244","1,398"
2020년07월_남_20~29세,"15,752",388,"2,070",533,631,954,"1,946",946,"1,219","2,101",966,"1,953","2,045"
2020년07월_남_30~39세,"13,996",339,"1,824",491,564,809,"1,741",972,"1,010","1,675",852,"1,898","1,821"
2020년07월_남_40~49세,"15,726",465,"1,978",795,673,913,"1,497","1,066","1,047","1,826",925,"2,242","2,299"
2020년07월_남_50~59세,"20,967",764,"2,747","1,180","1,000","1,377","2,244","1,578","1,599","1,915","1,158","2,695","2,710"
2020년07월_남_60~69세,"17,863",665,"2,468","1,111",695,"1,212","1,848","1,387","1,388","1,627","1,117","2,440","1,905"
2020년07월_남_70~79세,"7,805",320,"1,088",615,357,503,734,622,568,783,511,978,726
2020년07월_남_80~89세,"1,871",72,262,187,91,106,159,150,129,194,153,224,144
2020년07월_남_90~99세,102,5,14,11,6,5,4,8,5,9,8,19,8
2020년07월_남_100세 이상,9,0,0,1,1,1,1,2,1,1,0,1,0
2020년07월_여_총인구수,"106,426","2,848","14,158","5,882","4,418","6,577","10,603","6,569","7,725","11,786","6,894","14,749","14,217"
2020년07월_여_연령구간인구수,"106,426","2,848","14,158","5,882","4,418","6,577","10,603","6,569","7,725","11,786","6,894","14,749","14,217"
2020년07월_여_0~9세,"6,433",108,849,163,271,371,567,267,483,791,391,993,"1,179"
2020년07월_여_10~19세,"7,420",157,975,245,318,462,502,353,567,903,514,"1,110","1,314"
2020년07월_여_20~29세,"13,620",286,"1,666",397,456,831,"2,002",812,987,"1,997",888,"1,606","1,692"
2020년07월_여_30~39세,"12,063",272,"1,543",388,480,721,"1,438",678,877,"1,463",704,"1,741","1,758"
2020년07월_여_40~49세,"14,320",310,"1,856",564,601,807,"1,250",780,"1,019","1,668",927,"2,161","2,377"
2020년07월_여_50~59세,"21,083",594,"2,934","1,077",855,"1,459","2,070","1,375","1,665","2,083","1,352","2,842","2,777"
2020년07월_여_60~69세,"18,033",584,"2,582","1,387",781,"1,162","1,683","1,270","1,270","1,621","1,221","2,532","1,940"
2020년07월_여_70~79세,"9,020",365,"1,180","1,055",444,517,772,725,570,828,587,"1,201",776
2020년07월_여_80~89세,"3,830",149,495,540,186,207,264,256,246,375,274,490,348
2020년07월_여_90~99세,545,18,62,65,23,39,42,47,40,51,36,68,54
2020년07월_여_100세 이상,59,5,16,1,3,1,13,6,1,6,0,5,2
2020년08월_계_총인구수,"214,826","6,138","28,456","11,238","9,031","13,325","22,014","13,935","15,765","23,603","13,501","29,407","28,413"
2020년08월_계_연령구간인구수,"214,826","6,138","28,456","11,238","9,031","13,325","22,014","13,935","15,765","23,603","13,501","29,407","28,413"
2020년08월_계_0~9세,"12,955",232,"1,657",326,521,766,"1,135",545,982,"1,551",785,"2,028","2,427"
2020년08월_계_10~19세,"15,480",319,"2,050",526,685,951,"1,087",745,"1,171","1,861","1,079","2,337","2,669"
2020년08월_계_20~29세,"29,284",674,"3,720",917,"1,077","1,776","3,973","1,739","2,201","4,096","1,844","3,543","3,724"
2020년08월_계_30~39세,"25,877",605,"3,337",871,"1,028","1,526","3,191","1,646","1,878","3,108","1,543","3,601","3,543"
2020년08월_계_40~49세,"29,924",773,"3,838","1,354","1,260","1,718","2,761","1,835","2,054","3,483","1,827","4,382","4,639"
2020년08월_계_50~59세,"41,925","1,343","5,653","2,244","1,855","2,827","4,312","2,935","3,239","3,992","2,529","5,521","5,475"
2020년08월_계_60~69세,"36,037","1,259","5,069","2,511","1,477","2,381","3,551","2,666","2,681","3,256","2,323","4,996","3,867"
2020년08월_계_70~79세,"16,893",687,"2,285","1,675",815,"1,020","1,517","1,353","1,137","1,609","1,102","2,180","1,513"
2020년08월_계_80~89세,"5,728",218,752,735,279,315,426,409,374,576,424,727,493
2020년08월_계_90~99세,653,23,79,76,30,43,47,54,45,64,45,86,61
2020년08월_계_100세 이상,70,5,16,3,4,2,14,8,3,7,0,6,2
2020년08월_남_총인구수,"108,616","3,301","14,300","5,358","4,623","6,753","11,387","7,392","8,063","11,838","6,627","14,712","14,262"
2020년08월_남_연령구간인구수,"108,616","3,301","14,300","5,358","4,623","6,753","11,387","7,392","8,063","11,838","6,627","14,712","14,262"
2020년08월_남_0~9세,"6,571",127,805,163,260,398,571,284,501,770,397,"1,043","1,252"
2020년08월_남_10~19세,"8,115",165,"1,082",283,357,490,585,400,613,961,563,"1,246","1,370"
2020년08월_남_20~29세,"15,712",392,"2,055",522,625,950,"1,973",935,"1,211","2,098",964,"1,935","2,052"
2020년08월_남_30~39세,"13,880",332,"1,802",483,553,806,"1,744",969,"1,014","1,663",836,"1,879","1,799"
2020년08월_남_40~49세,"15,674",465,"1,984",797,669,907,"1,510","1,060","1,033","1,817",921,"2,235","2,276"
2020년08월_남_50~59세,"20,912",750,"2,729","1,173",995,"1,376","2,246","1,573","1,590","1,913","1,160","2,696","2,711"
2020년08월_남_60~69세,"17,913",671,"2,472","1,120",697,"1,210","1,854","1,388","1,398","1,630","1,110","2,449","1,914"
2020년08월_남_70~79세,"7,841",322,"1,099",617,368,503,735,622,568,779,514,978,736
2020년08월_남_80~89세,"1,884",72,257,188,92,107,164,151,129,195,153,230,146
2020년08월_남_90~99세,105,5,15,11,6,5,4,8,5,11,9,20,6
2020년08월_남_100세 이상,9,0,0,1,1,1,1,2,1,1,0,1,0
2020년08월_여_총인구수,"106,210","2,837","14,156","5,880","4,408","6,572","10,627","6,543","7,702","11,765","6,874","14,695","14,151"
2020년08월_여_연령구간인구수,"106,210","2,837","14,156","5,880","4,408","6,572","10,627","6,543","7,702","11,765","6,874","14,695","14,151"
2020년08월_여_0~9세,"6,384",105,852,163,261,368,564,261,481,781,388,985,"1,175"
2020년08월_여_10~19세,"7,365",154,968,243,328,461,502,345,558,900,516,"1,091","1,299"
2020년08월_여_20~29세,"13,572",282,"1,665",395,452,826,"2,000",804,990,"1,998",880,"1,608","1,672"
2020년08월_여_30~39세,"11,997",273,"1,535",388,475,720,"1,447",677,864,"1,445",707,"1,722","1,744"
2020년08월_여_40~49세,"14,250",308,"1,854",557,591,811,"1,251",775,"1,021","1,666",906,"2,147","2,363"
2020년08월_여_50~59세,"21,013",593,"2,924","1,071",860,"1,451","2,066","1,362","1,649","2,079","1,369","2,825","2,764"
2020년08월_여_60~69세,"18,124",588,"2,597","1,391",780,"1,171","1,697","1,278","1,283","1,626","1,213","2,547","1,953"
2020년08월_여_70~79세,"9,052",365,"1,186","1,058",447,517,782,731,569,830,588,"1,202",777
2020년08월_여_80~89세,"3,844",146,495,547,187,208,262,258,245,381,271,497,347
2020년08월_여_90~99세,548,18,64,65,24,38,43,46,40,53,36,66,55
2020년08월_여_100세 이상,61,5,16,2,3,1,13,6,2,6,0,5,2
2020년09월_계_총인구수,"214,345","6,105","28,421","11,175","8,976","13,328","22,009","13,923","15,730","23,578","13,481","29,293","28,326"
2020년09월_계_연령구간인구수,"214,345","6,105","28,421","11,175","8,976","13,328","22,009","13,923","15,730","23,578","13,481","29,293","28,326"
2020년09월_계_0~9세,"12,802",228,"1,656",321,515,754,"1,121",537,982,"1,526",768,"1,999","2,395"
2020년09월_계_10~19세,"15,407",315,"2,045",519,673,955,"1,094",728,"1,152","1,860","1,082","2,322","2,662"
2020년09월_계_20~29세,"29,189",668,"3,690",902,"1,068","1,770","3,968","1,749","2,206","4,108","1,835","3,512","3,713"
2020년09월_계_30~39세,"25,748",607,"3,324",862,"1,027","1,512","3,206","1,646","1,873","3,086","1,529","3,570","3,506"
2020년09월_계_40~49세,"29,778",756,"3,833","1,328","1,243","1,726","2,748","1,826","2,044","3,467","1,834","4,361","4,612"
