카테고리,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2020년04월_남_90~99세,73,11,7,7,7,10,9,6,16
2020년04월_남_100세 이상,4,0,1,1,0,0,0,1,1
2020년04월_여_총인구수,"15,602","5,095",726,959,"1,196","4,151",933,788,"1,754"
2020년04월_여_연령구간인구수,"15,602","5,095",726,959,"1,196","4,151",933,788,"1,754"
2020년04월_여_0~9세,732,299,16,24,36,265,18,16,58
2020년04월_여_10~19세,988,432,21,20,42,373,19,29,52
2020년04월_여_20~29세,"1,154",449,43,61,94,330,55,29,93
2020년04월_여_30~39세,"1,099",418,27,43,71,385,45,24,86
2020년04월_여_40~49세,"1,747",754,48,59,90,587,50,50,109
2020년04월_여_50~59세,"2,686",837,116,169,232,751,169,119,293
2020년04월_여_60~69세,"2,900",841,151,209,249,685,213,177,375
2020년04월_여_70~79세,"2,296",613,148,198,199,460,183,165,330
2020년04월_여_80~89세,"1,759",399,140,154,157,282,158,162,307
2020년04월_여_90~99세,238,53,15,22,25,33,23,17,50
2020년04월_여_100세 이상,3,0,1,0,1,0,0,0,1
2020년05월_계_총인구수,"31,842","10,212","1,450","1,905","2,623","8,572","1,999","1,610","3,471"
2020년05월_계_연령구간인구수,"31,842","10,212","1,450","1,905","2,623","8,572","1,999","1,610","3,471"
2020년05월_계_0~9세,"1,481",617,37,47,67,522,43,28,120
2020년05월_계_10~19세,"2,117",934,47,48,81,803,45,54,105
2020년05월_계_20~29세,"2,629",993,98,133,228,757,138,74,208
2020년05월_계_30~39세,"2,428",866,74,111,183,810,121,71,192
2020년05월_계_40~49세,"3,993","1,581",103,159,259,"1,292",160,141,298
2020년05월_계_50~59세,"6,045","1,880",261,359,561,"1,631",424,293,636
2020년05월_계_60~69세,"6,100","1,629",349,437,585,"1,451",477,359,813
2020년05월_계_70~79세,"4,114","1,055",245,353,381,835,344,316,585
2020년05월_계_80~89세,"2,625",595,214,228,246,430,216,250,446
2020년05월_계_90~99세,303,62,20,29,31,41,31,23,66
2020년05월_계_100세 이상,7,0,2,1,1,0,0,1,2
2020년05월_남_총인구수,"16,293","5,138",722,945,"1,431","4,433","1,073",825,"1,726"
2020년05월_남_연령구간인구수,"16,293","5,138",722,945,"1,431","4,433","1,073",825,"1,726"
2020년05월_남_0~9세,753,315,21,23,32,263,25,13,61
2020년05월_남_10~19세,"1,132",505,26,29,40,429,25,24,54
2020년05월_남_20~29세,"1,507",562,55,72,133,432,88,48,117
2020년05월_남_30~39세,"1,344",450,48,67,116,431,77,48,107
2020년05월_남_40~49세,"2,250",833,55,98,169,705,110,91,189
2020년05월_남_50~59세,"3,364","1,038",141,194,329,879,260,173,350
2020년05월_남_60~69세,"3,191",788,198,228,334,766,260,182,435
2020년05월_남_70~79세,"1,811",440,97,153,181,371,161,154,254
2020년05월_남_80~89세,866,196,74,73,90,147,59,85,142
2020년05월_남_90~99세,71,11,6,7,7,10,8,6,16
2020년05월_남_100세 이상,4,0,1,1,0,0,0,1,1
2020년05월_여_총인구수,"15,549","5,074",728,960,"1,192","4,139",926,785,"1,745"
2020년05월_여_연령구간인구수,"15,549","5,074",728,960,"1,192","4,139",926,785,"1,745"
2020년05월_여_0~9세,728,302,16,24,35,259,18,15,59
2020년05월_여_10~19세,985,429,21,19,41,374,20,30,51
2020년05월_여_20~29세,"1,122",431,43,61,95,325,50,26,91
2020년05월_여_30~39세,"1,084",416,26,44,67,379,44,23,85
2020년05월_여_40~49세,"1,743",748,48,61,90,587,50,50,109
2020년05월_여_50~59세,"2,681",842,120,165,232,752,164,120,286
2020년05월_여_60~69세,"2,909",841,151,209,251,685,217,177,378
2020년05월_여_70~79세,"2,303",615,148,200,200,464,183,162,331
2020년05월_여_80~89세,"1,759",399,140,155,156,283,157,165,304
2020년05월_여_90~99세,232,51,14,22,24,31,23,17,50
2020년05월_여_100세 이상,3,0,1,0,1,0,0,0,1
2020년06월_계_총인구수,"31,764","10,201","1,457","1,898","2,624","8,553","1,975","1,601","3,455"
2020년06월_계_연령구간인구수,"31,764","10,201","1,457","1,898","2,624","8,553","1,975","1,601","3,455"
2020년06월_계_0~9세,"1,472",609,37,48,67,520,43,28,120
2020년06월_계_10~19세,"2,118",942,47,49,81,797,45,53,104
2020년06월_계_20~29세,"2,609",990,100,125,221,760,138,71,204
2020년06월_계_30~39세,"2,401",853,73,113,182,800,118,70,192
2020년06월_계_40~49세,"3,977","1,585",104,154,258,"1,281",158,140,297
2020년06월_계_50~59세,"6,023","1,871",264,359,565,"1,630",414,294,626
2020년06월_계_60~69세,"6,128","1,636",350,441,594,"1,463",470,356,818
2020년06월_계_70~79세,"4,107","1,058",245,353,378,833,341,318,581
2020년06월_계_80~89세,"2,621",595,215,227,248,427,216,250,443
2020년06월_계_90~99세,301,62,20,28,29,42,32,20,68
2020년06월_계_100세 이상,7,0,2,1,1,0,0,1,2
2020년06월_남_총인구수,"16,267","5,134",728,941,"1,432","4,435","1,062",815,"1,720"
2020년06월_남_연령구간인구수,"16,267","5,134",728,941,"1,432","4,435","1,062",815,"1,720"
2020년06월_남_0~9세,746,310,21,23,32,261,25,14,60
2020년06월_남_10~19세,"1,139",513,26,30,42,425,27,23,53
2020년06월_남_20~29세,"1,499",563,58,66,129,437,86,45,115
2020년06월_남_30~39세,"1,327",440,48,68,114,428,75,46,108
2020년06월_남_40~49세,"2,239",830,56,96,170,699,110,90,188
2020년06월_남_50~59세,"3,374","1,040",143,195,331,890,255,172,348
2020년06월_남_60~69세,"3,194",791,197,229,338,767,254,182,436
2020년06월_남_70~79세,"1,809",441,98,153,178,370,162,154,253
2020년06월_남_80~89세,868,196,74,73,92,148,60,84,141
2020년06월_남_90~99세,68,10,6,7,6,10,8,4,17
2020년06월_남_100세 이상,4,0,1,1,0,0,0,1,1
2020년06월_여_총인구수,"15,497","5,067",729,957,"1,192","4,118",913,786,"1,735"
2020년06월_여_연령구간인구수,"15,497","5,067",729,957,"1,192","4,118",913,786,"1,735"
2020년06월_여_0~9세,726,299,16,25,35,259,18,14,60
2020년06월_여_10~19세,979,429,21,19,39,372,18,30,51
2020년06월_여_20~29세,"1,110",427,42,59,92,323,52,26,89
2020년06월_여_30~39세,"1,074",413,25,45,68,372,43,24,84
2020년06월_여_40~49세,"1,738",755,48,58,88,582,48,50,109
2020년06월_여_50~59세,"2,649",831,121,164,234,740,159,122,278
2020년06월_여_60~69세,"2,934",845,153,212,256,696,216,174,382
2020년06월_여_70~79세,"2,298",617,147,200,200,463,179,164,328
2020년06월_여_80~89세,"1,753",399,141,154,156,279,156,166,302
2020년06월_여_90~99세,233,52,14,21,23,32,24,16,51
2020년06월_여_100세 이상,3,0,1,0,1,0,0,0,1
2020년07월_계_총인구수,"31,602","10,156","1,454","1,888","2,614","8,511","1,969","1,586","3,424"
2020년07월_계_연령구간인구수,"31,602","10,156","1,454","1,888","2,614","8,511","1,969","1,586","3,424"
2020년07월_계_0~9세,"1,456",605,34,48,65,511,44,27,122
2020년07월_계_10~19세,"2,112",936,49,49,83,798,42,51,104
2020년07월_계_20~29세,"2,562",973,98,125,217,750,133,72,194
2020년07월_계_30~39세,"2,367",839,71,112,173,802,118,67,185
2020년07월_계_40~49세,"3,949","1,581",107,151,258,"1,262",156,138,296
2020년07월_계_50~59세,"5,977","1,862",261,353,572,"1,618",415,286,610
2020년07월_계_60~69세,"6,125","1,640",354,441,592,"1,459",468,357,814
2020년07월_계_70~79세,"4,119","1,067",242,353,371,842,345,317,582
2020년07월_계_80~89세,"2,625",589,216,228,253,427,215,250,447
2020년07월_계_90~99세,303,64,20,27,29,42,33,20,68
2020년07월_계_100세 이상,7,0,2,1,1,0,0,1,2
2020년07월_남_총인구수,"16,171","5,102",724,940,"1,424","4,412","1,056",810,"1,703"
2020년07월_남_연령구간인구수,"16,171","5,102",724,940,"1,424","4,412","1,056",810,"1,703"
2020년07월_남_0~9세,736,307,20,24,30,255,25,13,62
2020년07월_남_10~19세,"1,130",508,26,30,43,425,25,21,52
2020년07월_남_20~29세,"1,482",558,57,67,127,433,83,47,110
2020년07월_남_30~39세,"1,302",431,47,67,107,429,75,46,100
2020년07월_남_40~49세,"2,219",823,58,94,170,689,107,90,188
2020년07월_남_50~59세,"3,355","1,033",140,191,337,886,258,169,341
2020년07월_남_60~69세,"3,189",794,198,230,337,760,251,182,437
2020년07월_남_70~79세,"1,819",444,97,156,175,376,165,154,252
2020년07월_남_80~89세,865,193,74,73,92,149,58,83,143
2020년07월_남_90~99세,70,11,6,7,6,10,9,4,17
2020년07월_남_100세 이상,4,0,1,1,0,0,0,1,1
2020년07월_여_총인구수,"15,431","5,054",730,948,"1,190","4,099",913,776,"1,721"
2020년07월_여_연령구간인구수,"15,431","5,054",730,948,"1,190","4,099",913,776,"1,721"
2020년07월_여_0~9세,720,298,14,24,35,256,19,14,60
2020년07월_여_10~19세,982,428,23,19,40,373,17,30,52
2020년07월_여_20~29세,"1,080",415,41,58,90,317,50,25,84
2020년07월_여_30~39세,"1,065",408,24,45,66,373,43,21,85
2020년07월_여_40~49세,"1,730",758,49,57,88,573,49,48,108
2020년07월_여_50~59세,"2,622",829,121,162,235,732,157,117,269
2020년07월_여_60~69세,"2,936",846,156,211,255,699,217,175,377
2020년07월_여_70~79세,"2,300",623,145,197,196,466,180,163,330
2020년07월_여_80~89세,"1,760",396,142,155,161,278,157,167,304
2020년07월_여_90~99세,233,53,14,20,23,32,24,16,51
2020년07월_여_100세 이상,3,0,1,0,1,0,0,0,1
2020년08월_계_총인구수,"31,477","10,127","1,441","1,879","2,605","8,475","1,956","1,577","3,417"
2020년08월_계_연령구간인구수,"31,477","10,127","1,441","1,879","2,605","8,475","1,956","1,577","3,417"
2020년08월_계_0~9세,"1,449",603,34,48,65,508,43,28,120
2020년08월_계_10~19세,"2,097",927,49,50,83,797,41,47,103
2020년08월_계_20~29세,"2,521",969,91,121,214,741,129,71,185
2020년08월_계_30~39세,"2,344",835,68,109,171,792,117,66,186
2020년08월_계_40~49세,"3,924","1,578",105,150,257,"1,254",150,138,292
2020년08월_계_50~59세,"5,939","1,840",261,347,571,"1,608",410,282,620
2020년08월_계_60~69세,"6,143","1,647",353,444,589,"1,470",470,361,809
2020년08월_계_70~79세,"4,111","1,077",241,350,374,832,347,313,577
2020년08월_계_80~89세,"2,628",582,215,231,251,431,216,250,452
2020년08월_계_90~99세,312,68,22,28,29,42,33,20,70
2020년08월_계_100세 이상,9,1,2,1,1,0,0,1,3
2020년08월_남_총인구수,"16,110","5,094",715,938,"1,419","4,392","1,047",808,"1,697"
2020년08월_남_연령구간인구수,"16,110","5,094",715,938,"1,419","4,392","1,047",808,"1,697"
2020년08월_남_0~9세,735,311,19,24,29,253,24,13,62
2020년08월_남_10~19세,"1,121",501,26,29,43,425,25,19,53
2020년08월_남_20~29세,"1,462",561,51,66,124,428,81,48,103
2020년08월_남_30~39세,"1,289",430,45,64,107,424,74,44,101
2020년08월_남_40~49세,"2,205",820,58,95,168,682,104,92,186
2020년08월_남_50~59세,"3,338","1,020",139,189,337,886,254,167,346
2020년08월_남_60~69세,"3,203",800,198,232,335,763,254,185,436
2020년08월_남_70~79세,"1,813",447,97,156,178,370,164,151,250
2020년08월_남_80~89세,868,192,74,75,92,151,58,84,142
2020년08월_남_90~99세,72,12,7,7,6,10,9,4,17
2020년08월_남_100세 이상,4,0,1,1,0,0,0,1,1
2020년08월_여_총인구수,"15,367","5,033",726,941,"1,186","4,083",909,769,"1,720"
2020년08월_여_연령구간인구수,"15,367","5,033",726,941,"1,186","4,083",909,769,"1,720"
2020년08월_여_0~9세,714,292,15,24,36,255,19,15,58
2020년08월_여_10~19세,976,426,23,21,40,372,16,28,50
2020년08월_여_20~29세,"1,059",408,40,55,90,313,48,23,82
2020년08월_여_30~39세,"1,055",405,23,45,64,368,43,22,85
2020년08월_여_40~49세,"1,719",758,47,55,89,572,46,46,106
2020년08월_여_50~59세,"2,601",820,122,158,234,722,156,115,274
2020년08월_여_60~69세,"2,940",847,155,212,254,707,216,176,373
2020년08월_여_70~79세,"2,298",630,144,194,196,462,183,162,327
2020년08월_여_80~89세,"1,760",390,141,156,159,280,158,166,310
2020년08월_여_90~99세,240,56,15,21,23,32,24,16,53
2020년08월_여_100세 이상,5,1,1,0,1,0,0,0,2
2020년09월_계_총인구수,"31,394","10,081","1,435","1,881","2,599","8,452","1,955","1,574","3,417"
2020년09월_계_연령구간인구수,"31,394","10,081","1,435","1,881","2,599","8,452","1,955","1,574","3,417"
2020년09월_계_0~9세,"1,437",597,35,48,67,501,42,27,120
2020년09월_계_10~19세,"2,076",915,50,50,82,789,39,46,105
2020년09월_계_20~29세,"2,503",961,93,120,206,737,131,70,185
2020년09월_계_30~39세,"2,309",822,65,107,172,781,113,68,181
2020년09월_계_40~49세,"3,910","1,567",105,149,254,"1,246",154,140,295
2020년09월_계_50~59세,"5,929","1,841",261,346,563,"1,613",411,280,614
2020년09월_계_60~69세,"6,168","1,649",348,450,599,"1,477",466,360,819
2020년09월_계_70~79세,"4,096","1,076",238,349,374,829,345,313,572
2020년09월_계_80~89세,"2,644",584,216,232,250,438,221,250,453
2020년09월_계_90~99세,313,68,22,29,31,41,33,19,70
2020년09월_계_100세 이상,9,1,2,1,1,0,0,1,3
2020년09월_남_총인구수,"16,050","5,070",708,939,"1,414","4,369","1,043",807,"1,700"
2020년09월_남_연령구간인구수,"16,050","5,070",708,939,"1,414","4,369","1,043",807,"1,700"
2020년09월_남_0~9세,732,313,18,24,30,250,23,12,62
2020년09월_남_10~19세,"1,103",490,26,29,42,418,24,19,55
2020년09월_남_20~29세,"1,448",553,51,64,117,429,82,48,104
2020년09월_남_30~39세,"1,265",426,43,63,108,412,69,45,99
2020년09월_남_40~49세,"2,198",810,59,95,167,679,106,94,188
2020년09월_남_50~59세,"3,327","1,023",137,189,333,884,253,165,343
2020년09월_남_60~69세,"3,224",802,196,237,339,765,257,185,443
2020년09월_남_70~79세,"1,804",447,94,154,180,369,161,151,248
2020년09월_남_80~89세,871,194,76,76,90,153,59,83,140
2020년09월_남_90~99세,74,12,7,7,8,10,9,4,17
2020년09월_남_100세 이상,4,0,1,1,0,0,0,1,1
2020년09월_여_총인구수,"15,344","5,011",727,942,"1,185","4,083",912,767,"1,717"
2020년09월_여_연령구간인구수,"15,344","5,011",727,942,"1,185","4,083",912,767,"1,717"
2020년09월_여_0~9세,705,284,17,24,37,251,19,15,58
2020년09월_여_10~19세,973,425,24,21,40,371,15,27,50
2020년09월_여_20~29세,"1,055",408,42,56,89,308,49,22,81
2020년09월_여_30~39세,"1,044",396,22,44,64,369,44,23,82
2020년09월_여_40~49세,"1,712",757,46,54,87,567,48,46,107
2020년09월_여_50~59세,"2,602",818,124,157,230,729,158,115,271
2020년09월_여_60~69세,"2,944",847,152,213,260,712,209,175,376
2020년09월_여_70~79세,"2,292",629,144,195,194,460,184,162,324
2020년09월_여_80~89세,"1,773",390,140,156,160,285,162,167,313
2020년09월_여_90~99세,239,56,15,22,23,31,24,15,53
2020년09월_여_100세 이상,5,1,1,0,1,0,0,0,2
2020년10월_계_총인구수,"31,398","10,089","1,437","1,891","2,603","8,447","1,943","1,582","3,406"
2020년10월_계_연령구간인구수,"31,398","10,089","1,437","1,891","2,603","8,447","1,943","1,582","3,406"
2020년10월_계_0~9세,"1,426",595,35,48,66,497,41,28,116
2020년10월_계_10~19세,"2,071",912,47,52,82,784,40,46,108
2020년10월_계_20~29세,"2,512",964,94,121,204,744,130,70,185
2020년10월_계_30~39세,"2,297",819,65,108,170,770,114,71,180
2020년10월_계_40~49세,"3,904","1,575",104,156,252,"1,240",152,139,286
2020년10월_계_50~59세,"5,911","1,834",261,346,560,"1,612",408,279,611
2020년10월_계_60~69세,"6,204","1,658",352,450,603,"1,491",463,362,825
2020년10월_계_70~79세,"4,103","1,071",240,349,383,834,342,314,570
2020년10월_계_80~89세,"2,651",593,214,231,251,434,220,253,455
2020년10월_계_90~99세,309,66,23,29,31,41,33,19,67
2020년10월_계_100세 이상,10,2,2,1,1,0,0,1,3
2020년10월_남_총인구수,"16,076","5,076",710,943,"1,425","4,375","1,040",812,"1,695"
2020년10월_남_연령구간인구수,"16,076","5,076",710,943,"1,425","4,375","1,040",812,"1,695"
2020년10월_남_0~9세,727,315,18,23,29,247,23,13,59
2020년10월_남_10~19세,"1,109",492,24,30,42,420,24,19,58
2020년10월_남_20~29세,"1,451",549,54,64,122,430,81,48,103
2020년10월_남_30~39세,"1,264",425,42,64,108,409,70,47,99
2020년10월_남_40~49세,"2,196",816,58,100,166,676,105,93,182
2020년10월_남_50~59세,"3,325","1,015",138,188,330,890,254,165,345
2020년10월_남_60~69세,"3,244",810,199,237,344,769,257,184,444
2020년10월_남_70~79세,"1,811",447,94,155,184,374,157,153,247
2020년10월_남_80~89세,872,195,75,74,92,150,60,85,141
2020년10월_남_90~99세,72,11,7,7,8,10,9,4,16
2020년10월_남_100세 이상,5,1,1,1,0,0,0,1,1
2020년10월_여_총인구수,"15,322","5,013",727,948,"1,178","4,072",903,770,"1,711"
2020년10월_여_연령구간인구수,"15,322","5,013",727,948,"1,178","4,072",903,770,"1,711"
2020년10월_여_0~9세,699,280,17,25,37,250,18,15,57
2020년10월_여_10~19세,962,420,23,22,40,364,16,27,50
2020년10월_여_20~29세,"1,061",415,40,57,82,314,49,22,82
2020년10월_여_30~39세,"1,033",394,23,44,62,361,44,24,81
2020년10월_여_40~49세,"1,708",759,46,56,86,564,47,46,104
2020년10월_여_50~59세,"2,586",819,123,158,230,722,154,114,266
2020년10월_여_60~69세,"2,960",848,153,213,259,722,206,178,381
2020년10월_여_70~79세,"2,292",624,146,194,199,460,185,161,323
2020년10월_여_80~89세,"1,779",398,139,157,159,284,160,168,314
2020년10월_여_90~99세,237,55,16,22,23,31,24,15,51
2020년10월_여_100세 이상,5,1,1,0,1,0,0,0,2
2020년11월_계_총인구수,"31,378","10,106","1,436","1,882","2,594","8,433","1,950","1,583","3,394"
2020년11월_계_연령구간인구수,"31,378","10,106","1,436","1,882","2,594","8,433","1,950","1,583","3,394"
2020년11월_계_0~9세,"1,424",602,34,46,66,494,42,29,111
2020년11월_계_10~19세,"2,058",910,47,52,83,774,39,46,107
2020년11월_계_20~29세,"2,522",966,92,121,204,745,134,70,190
2020년11월_계_30~39세,"2,270",818,66,108,169,756,112,72,169
2020년11월_계_40~49세,"3,883","1,569",106,153,246,"1,238",148,141,282
2020년11월_계_50~59세,"5,901","1,832",260,342,562,"1,608",412,281,604
2020년11월_계_60~69세,"6,236","1,661",350,451,604,"1,510",462,363,835
2020년11월_계_70~79세,"4,107","1,082",240,347,378,835,343,312,570
2020년11월_계_80~89세,"2,660",596,216,233,251,434,224,250,456
2020년11월_계_90~99세,306,67,23,28,30,39,34,18,67
2020년11월_계_100세 이상,11,3,2,1,1,0,0,1,3
2020년11월_남_총인구수,"16,076","5,086",710,938,"1,419","4,380","1,041",813,"1,689"
2020년11월_남_연령구간인구수,"16,076","5,086",710,938,"1,419","4,380","1,041",813,"1,689"
2020년11월_남_0~9세,731,321,18,22,29,247,23,15,56
2020년11월_남_10~19세,"1,101",490,24,30,43,413,24,19,58
2020년11월_남_20~29세,"1,463",558,52,66,122,430,80,48,107
2020년11월_남_30~39세,"1,249",421,42,64,107,404,69,48,94
2020년11월_남_40~49세,"2,188",815,60,97,164,678,102,92,180
2020년11월_남_50~59세,"3,310","1,012",137,185,328,886,257,166,339
2020년11월_남_60~69세,"3,270",811,199,238,344,785,258,185,450
2020년11월_남_70~79세,"1,811",448,95,154,181,376,157,152,248
2020년11월_남_80~89세,876,198,75,74,93,151,62,83,140
2020년11월_남_90~99세,72,11,7,7,8,10,9,4,16
2020년11월_남_100세 이상,5,1,1,1,0,0,0,1,1
2020년11월_여_총인구수,"15,302","5,020",726,944,"1,175","4,053",909,770,"1,705"
2020년11월_여_연령구간인구수,"15,302","5,020",726,944,"1,175","4,053",909,770,"1,705"
2020년11월_여_0~9세,693,281,16,24,37,247,19,14,55
2020년11월_여_10~19세,957,420,23,22,40,361,15,27,49
2020년11월_여_20~29세,"1,059",408,40,55,82,315,54,22,83
2020년11월_여_30~39세,"1,021",397,24,44,62,352,43,24,75
2020년11월_여_40~49세,"1,695",754,46,56,82,560,46,49,102
2020년11월_여_50~59세,"2,591",820,123,157,234,722,155,115,265
2020년11월_여_60~69세,"2,966",850,151,213,260,725,204,178,385
2020년11월_여_70~79세,"2,296",634,145,193,197,459,186,160,322
2020년11월_여_80~89세,"1,784",398,141,159,158,283,162,167,316
2020년11월_여_90~99세,234,56,16,21,22,29,25,14,51
2020년11월_여_100세 이상,6,2,1,0,1,0,0,0,2
2020년12월_계_총인구수,"31,361","10,077","1,433","1,883","2,594","8,445","1,941","1,591","3,397"
2020년12월_계_연령구간인구수,"31,361","10,077","1,433","1,883","2,594","8,445","1,941","1,591","3,397"
2020년12월_계_0~9세,"1,418",598,33,48,63,493,42,32,109
2020년12월_계_10~19세,"2,041",912,45,51,80,768,33,47,105
2020년12월_계_20~29세,"2,541",969,92,123,206,756,134,70,191
2020년12월_계_30~39세,"2,265",812,63,112,171,751,111,74,171
2020년12월_계_40~49세,"3,822","1,536",102,149,247,"1,229",147,141,271
2020년12월_계_50~59세,"5,899","1,838",261,345,563,"1,597",406,281,608
2020년12월_계_60~69세,"6,267","1,665",356,448,602,"1,524",466,366,840
2020년12월_계_70~79세,"4,109","1,078",239,343,380,849,342,310,568
2020년12월_계_80~89세,"2,674",598,216,235,249,438,226,248,464
2020년12월_계_90~99세,314,68,24,28,32,40,34,21,67
2020년12월_계_100세 이상,11,3,2,1,1,0,0,1,3
2020년12월_남_총인구수,"16,074","5,068",708,940,"1,423","4,388","1,034",822,"1,691"
2020년12월_남_연령구간인구수,"16,074","5,068",708,940,"1,423","4,388","1,034",822,"1,691"
2020년12월_남_0~9세,728,319,17,22,26,249,23,17,55
2020년12월_남_10~19세,"1,091",490,23,29,41,411,19,20,58
2020년12월_남_20~29세,"1,478",563,50,69,125,433,82,49,107
2020년12월_남_30~39세,"1,244",415,40,65,110,402,69,49,94
2020년12월_남_40~49세,"2,148",796,58,93,166,668,100,93,174
2020년12월_남_50~59세,"3,320","1,011",139,189,328,890,254,167,342
2020년12월_남_60~69세,"3,285",816,202,235,344,791,257,188,452
2020년12월_남_70~79세,"1,821",448,95,154,183,382,158,151,250
2020년12월_남_80~89세,879,198,76,76,91,151,62,83,142
2020년12월_남_90~99세,75,11,7,7,9,11,10,4,16
2020년12월_남_100세 이상,5,1,1,1,0,0,0,1,1
2020년12월_여_총인구수,"15,287","5,009",725,943,"1,171","4,057",907,769,"1,706"
2020년12월_여_연령구간인구수,"15,287","5,009",725,943,"1,171","4,057",907,769,"1,706"
