카테고리,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 산동읍,경상북도 구미시 공단동,경상북도 구미시 원평동
2020년06월_남_10~19세,"23,890",608,"2,143",32,30,88,84,"1,087",118,691,53,87,"1,843",71,"3,320",948,"1,136",101,126,250,322,99,185,"1,923","1,442","3,170",598,"3,335",,,
2020년06월_남_20~29세,"31,433",929,"2,765",69,68,90,181,"1,285",144,"1,441",303,206,"2,296",141,"3,347","1,181","1,604",374,247,539,496,412,402,"2,477","1,430","3,792","2,057","3,157",,,
2020년06월_남_30~39세,"35,637",721,"2,315",60,50,67,146,"4,396",107,"1,351",290,186,"1,873",106,"3,069",884,942,341,342,809,822,672,439,"2,082","1,659","4,774","2,478","4,656",,,
2020년06월_남_40~49세,"37,069","1,034","2,768",86,102,118,300,"2,231",223,"1,185",431,211,"2,369",165,"4,454","1,162","1,288",272,258,528,579,401,423,"2,892","1,966","4,913","1,492","5,218",,,
2020년06월_남_50~59세,"35,447","1,512","3,891",206,187,241,499,"1,114",358,"1,500",511,361,"2,885",260,"4,205","1,451","1,901",347,342,590,538,345,402,"2,916","1,747","3,491",914,"2,733",,,
2020년06월_남_60~69세,"19,187","1,329","2,073",244,227,246,468,506,321,"1,165",349,379,"1,717",263,"2,179",871,"1,089",225,210,242,219,155,232,999,612,"1,613",396,858,,,
2020년06월_남_70~79세,"6,932",638,678,133,139,181,272,187,211,396,144,183,487,108,670,302,279,99,74,86,55,34,112,320,157,536,131,320,,,
2020년06월_남_80~89세,"2,438",279,291,77,78,85,171,75,105,95,29,49,170,38,185,82,71,33,32,18,7,5,27,91,53,148,37,107,,,
2020년06월_남_90~99세,209,24,27,12,10,9,13,13,6,2,2,5,12,0,8,2,3,1,4,1,1,0,4,12,4,17,6,11,,,
2020년06월_남_100세 이상,7,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
2020년06월_여_총인구수,"203,260","7,644","18,112",951,860,"1,097","2,005","12,557","1,576","8,458","1,741","1,616","15,503","1,100","23,404","7,627","8,727","1,479","1,506","2,921","3,343","2,031","2,121","13,846","9,441","23,766","7,465","22,363",,,
2020년06월_여_연령구간인구수,"203,260","7,644","18,112",951,860,"1,097","2,005","12,557","1,576","8,458","1,741","1,616","15,503","1,100","23,404","7,627","8,727","1,479","1,506","2,921","3,343","2,031","2,121","13,846","9,441","23,766","7,465","22,363",,,
2020년06월_여_0~9세,"20,575",463,"1,637",24,10,22,30,"2,735",30,483,35,39,"1,192",41,"2,437",541,429,74,130,338,471,300,185,"1,311","1,160","2,416",491,"3,551",,,
2020년06월_여_10~19세,"21,776",582,"1,804",32,36,53,83,987,94,663,59,69,"1,822",67,"3,049",819,959,100,105,237,332,103,180,"1,746","1,231","2,896",559,"3,109",,,
2020년06월_여_20~29세,"25,626",627,"2,033",39,34,58,121,"1,476",123,"1,228",241,135,"1,812",99,"2,637",924,"1,244",224,190,460,442,300,295,"1,811","1,114","3,317","2,113","2,529",,,
2020년06월_여_30~39세,"31,325",648,"2,218",37,26,31,81,"3,723",83,"1,051",247,102,"1,833",63,"3,188",875,825,167,220,559,651,489,303,"1,884","1,530","4,294","1,683","4,514",,,
2020년06월_여_40~49세,"36,334",975,"3,084",52,49,83,158,"1,807",163,"1,309",298,155,"2,810",136,"4,687","1,415","1,641",200,195,461,582,283,356,"2,956","2,043","4,611","1,154","4,671",,,
2020년06월_여_50~59세,"33,944","1,529","3,820",162,153,161,338,933,303,"1,758",352,334,"3,241",230,"4,154","1,602","2,066",292,305,545,528,322,403,"2,536","1,456","3,341",779,"2,301",,,
2020년06월_여_60~69세,"18,356","1,236","1,799",223,192,246,429,442,294,"1,285",283,386,"1,729",246,"2,027",897,"1,013",232,181,196,235,175,229,905,527,"1,613",421,915,,,
2020년06월_여_70~79세,"8,911",789,946,174,157,222,405,227,254,464,142,260,655,131,768,348,360,138,107,76,62,43,116,429,224,787,160,467,,,
2020년06월_여_80~89세,"5,458",671,636,174,173,192,309,198,205,187,64,119,356,73,392,177,165,43,62,44,37,10,45,223,130,426,83,264,,,
2020년06월_여_90~99세,913,120,128,33,28,28,48,28,25,27,17,16,53,13,64,29,23,9,8,5,3,5,9,44,26,63,20,41,,,
2020년06월_여_100세 이상,42,4,7,1,2,1,3,1,2,3,3,1,0,1,1,0,2,0,3,0,0,1,0,1,0,2,2,1,,,
2020년07월_계_총인구수,"417,098","15,156","36,759","1,883","1,750","2,236","4,153","26,395","3,196","24,487","3,871","3,312","30,366","2,291","39,745","15,053","17,481","3,327","3,279","6,356","6,866","4,530","4,503","28,825","19,738","49,001","16,058","46,481",,,
2020년07월_계_연령구간인구수,"417,098","15,156","36,759","1,883","1,750","2,236","4,153","26,395","3,196","24,487","3,871","3,312","30,366","2,291","39,745","15,053","17,481","3,327","3,279","6,356","6,866","4,530","4,503","28,825","19,738","49,001","16,058","46,481",,,
2020년07월_계_0~9세,"42,342",926,"3,370",41,18,40,66,"5,592",80,"1,843",70,81,"2,494",80,"4,055","1,127",933,137,292,716,959,656,365,"2,643","2,358","5,199",975,"7,226",,,
2020년07월_계_10~19세,"45,516","1,186","3,915",63,63,136,162,"2,111",206,"2,557",112,154,"3,629",136,"5,158","1,755","2,080",203,228,478,654,200,358,"3,660","2,665","6,049","1,136","6,462",,,
2020년07월_계_20~29세,"56,928","1,542","4,769",107,101,146,305,"2,737",265,"3,471",535,346,"4,091",241,"5,241","2,075","2,823",596,433,"1,000",938,716,679,"4,271","2,552","7,118","4,149","5,681",,,
2020년07월_계_30~39세,"66,706","1,360","4,510",93,77,101,218,"8,126",188,"3,373",544,277,"3,685",170,"5,289","1,746","1,749",504,559,"1,364","1,469","1,157",737,"3,928","3,180","9,018","4,164","9,120",,,
2020년07월_계_40~49세,"73,391","1,995","5,836",138,149,204,454,"4,103",382,"4,010",725,365,"5,168",299,"7,600","2,572","2,913",462,452,978,"1,153",695,775,"5,823","4,029","9,533","2,654","9,924",,,
2020년07월_계_50~59세,"69,448","3,044","7,717",364,334,397,828,"2,046",651,"4,534",846,701,"6,107",494,"7,099","3,060","3,954",640,642,"1,143","1,067",669,808,"5,460","3,212","6,848","1,715","5,068",,,
2020년07월_계_60~69세,"37,766","2,569","3,914",471,420,489,894,955,620,"3,185",633,755,"3,449",509,"3,536","1,772","2,119",460,390,441,460,337,469,"1,916","1,149","3,246",822,"1,786",,,
2020년07월_계_70~79세,"15,918","1,437","1,636",308,297,406,677,410,461,"1,116",287,440,"1,151",240,"1,195",655,643,239,179,167,118,78,228,752,384,"1,334",293,787,,,
2020년07월_계_80~89세,"7,915",949,931,252,250,276,484,274,310,357,96,172,527,109,502,260,240,76,91,63,44,16,73,315,181,573,121,373,,,
2020년07월_계_90~99세,"1,119",143,153,45,39,39,61,40,31,37,20,20,65,12,69,31,25,10,10,6,4,5,11,55,28,81,27,52,,,
2020년07월_계_100세 이상,49,5,8,1,2,2,4,1,2,4,3,1,0,1,1,0,2,0,3,0,0,1,0,2,0,2,2,2,,,
2020년07월_남_총인구수,"214,052","7,514","18,661",937,897,"1,141","2,155","13,796","1,631","12,128","2,137","1,703","14,911","1,191","20,226","7,443","8,790","1,845","1,784","3,440","3,524","2,493","2,400","15,034","10,294","25,265","8,587","24,125",,,
2020년07월_남_연령구간인구수,"214,052","7,514","18,661",937,897,"1,141","2,155","13,796","1,631","12,128","2,137","1,703","14,911","1,191","20,226","7,443","8,790","1,845","1,784","3,440","3,524","2,493","2,400","15,034","10,294","25,265","8,587","24,125",,,
2020년07월_남_0~9세,"21,862",464,"1,737",19,10,19,37,"2,855",51,902,34,46,"1,305",39,"2,096",590,506,67,160,377,483,356,187,"1,348","1,194","2,793",490,"3,697",,,
2020년07월_남_10~19세,"23,791",604,"2,127",32,29,86,81,"1,101",115,"1,312",53,84,"1,818",71,"2,700",937,"1,126",101,124,241,321,97,180,"1,914","1,438","3,169",584,"3,346",,,
2020년07월_남_20~29세,"31,407",916,"2,749",67,68,88,182,"1,279",140,"1,913",300,212,"2,292",142,"2,921","1,163","1,600",370,242,553,503,413,392,"2,465","1,446","3,797","2,037","3,157",,,
2020년07월_남_30~39세,"35,499",715,"2,303",57,52,69,139,"4,394",107,"1,797",296,178,"1,858",106,"2,626",880,929,336,341,803,817,674,435,"2,072","1,652","4,751","2,479","4,633",,,
2020년07월_남_40~49세,"37,087","1,024","2,763",87,101,120,296,"2,267",220,"1,902",430,211,"2,375",165,"3,733","1,155","1,286",267,258,518,579,408,424,"2,881","1,978","4,914","1,498","5,227",,,
2020년07월_남_50~59세,"35,481","1,518","3,885",203,184,239,493,"1,117",353,"2,136",497,363,"2,872",261,"3,575","1,454","1,893",344,341,597,532,347,403,"2,927","1,754","3,507",930,"2,756",,,
2020년07월_남_60~69세,"19,281","1,328","2,091",248,225,242,469,509,325,"1,518",352,372,"1,716",263,"1,854",873,"1,090",226,209,243,226,159,234,"1,003",617,"1,622",395,872,,,
2020년07월_남_70~79세,"6,982",641,689,135,140,183,272,186,209,524,143,182,493,108,550,307,284,102,73,88,55,34,114,320,158,545,131,316,,,
2020년07월_남_80~89세,"2,447",280,290,77,78,84,172,75,105,121,30,50,170,36,163,82,73,31,32,19,7,5,27,91,53,149,37,110,,,
2020년07월_남_90~99세,208,23,26,12,10,10,13,13,6,2,2,5,12,0,8,2,3,1,4,1,1,0,4,12,4,18,6,10,,,
2020년07월_남_100세 이상,7,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
2020년07월_여_총인구수,"203,046","7,642","18,098",946,853,"1,095","1,998","12,599","1,565","12,359","1,734","1,609","15,455","1,100","19,519","7,610","8,691","1,482","1,495","2,916","3,342","2,037","2,103","13,791","9,444","23,736","7,471","22,356",,,
2020년07월_여_연령구간인구수,"203,046","7,642","18,098",946,853,"1,095","1,998","12,599","1,565","12,359","1,734","1,609","15,455","1,100","19,519","7,610","8,691","1,482","1,495","2,916","3,342","2,037","2,103","13,791","9,444","23,736","7,471","22,356",,,
2020년07월_여_0~9세,"20,480",462,"1,633",22,8,21,29,"2,737",29,941,36,35,"1,189",41,"1,959",537,427,70,132,339,476,300,178,"1,295","1,164","2,406",485,"3,529",,,
2020년07월_여_10~19세,"21,725",582,"1,788",31,34,50,81,"1,010",91,"1,245",59,70,"1,811",65,"2,458",818,954,102,104,237,333,103,178,"1,746","1,227","2,880",552,"3,116",,,
2020년07월_여_20~29세,"25,521",626,"2,020",40,33,58,123,"1,458",125,"1,558",235,134,"1,799",99,"2,320",912,"1,223",226,191,447,435,303,287,"1,806","1,106","3,321","2,112","2,524",,,
2020년07월_여_30~39세,"31,207",645,"2,207",36,25,32,79,"3,732",81,"1,576",248,99,"1,827",64,"2,663",866,820,168,218,561,652,483,302,"1,856","1,528","4,267","1,685","4,487",,,
2020년07월_여_40~49세,"36,304",971,"3,073",51,48,84,158,"1,836",162,"2,108",295,154,"2,793",134,"3,867","1,417","1,627",195,194,460,574,287,351,"2,942","2,051","4,619","1,156","4,697",,,
2020년07월_여_50~59세,"33,967","1,526","3,832",161,150,158,335,929,298,"2,398",349,338,"3,235",233,"3,524","1,606","2,061",296,301,546,535,322,405,"2,533","1,458","3,341",785,"2,312",,,
2020년07월_여_60~69세,"18,485","1,241","1,823",223,195,247,425,446,295,"1,667",281,383,"1,733",246,"1,682",899,"1,029",234,181,198,234,178,235,913,532,"1,624",427,914,,,
2020년07월_여_70~79세,"8,936",796,947,173,157,223,405,224,252,592,144,258,658,132,645,348,359,137,106,79,63,44,114,432,226,789,162,471,,,
2020년07월_여_80~89세,"5,468",669,641,175,172,192,312,199,205,236,66,122,357,73,339,178,167,45,59,44,37,11,46,224,128,424,84,263,,,
2020년07월_여_90~99세,911,120,127,33,29,29,48,27,25,35,18,15,53,12,61,29,22,9,6,5,3,5,7,43,24,63,21,42,,,
2020년07월_여_100세 이상,42,4,7,1,2,1,3,1,2,3,3,1,0,1,1,0,2,0,3,0,0,1,0,1,0,2,2,1,,,
2020년08월_계_총인구수,"416,551","15,109","36,649","1,887","1,744","2,223","4,152","26,437","3,174","24,539","3,852","3,287","30,299","2,283","39,743","14,973","17,507","3,324","3,265","6,344","6,909","4,534","4,482","28,765","19,677","48,917","16,034","46,442",,,
2020년08월_계_연령구간인구수,"416,551","15,109","36,649","1,887","1,744","2,223","4,152","26,437","3,174","24,539","3,852","3,287","30,299","2,283","39,743","14,973","17,507","3,324","3,265","6,344","6,909","4,534","4,482","28,765","19,677","48,917","16,034","46,442",,,
2020년08월_계_0~9세,"42,112",917,"3,344",41,18,39,68,"5,618",77,"1,840",66,82,"2,479",82,"4,035","1,114",932,138,288,717,970,658,354,"2,620","2,339","5,158",959,"7,159",,,
2020년08월_계_10~19세,"45,393","1,182","3,895",61,62,132,160,"2,123",206,"2,554",114,152,"3,608",134,"5,140","1,730","2,076",198,231,478,656,206,355,"3,642","2,655","6,033","1,132","6,478",,,
2020년08월_계_20~29세,"56,681","1,522","4,729",110,98,146,302,"2,684",255,"3,479",523,342,"4,070",242,"5,266","2,067","2,824",600,427,987,943,710,668,"4,256","2,544","7,089","4,123","5,675",,,
2020년08월_계_30~39세,"66,411","1,346","4,480",92,78,102,221,"8,132",183,"3,398",539,273,"3,671",166,"5,236","1,730","1,746",493,554,"1,367","1,475","1,149",743,"3,904","3,146","8,956","4,154","9,077",,,
2020년08월_계_40~49세,"73,284","1,997","5,810",140,150,200,455,"4,145",375,"3,982",713,358,"5,139",296,"7,584","2,540","2,898",466,453,978,"1,153",704,775,"5,799","4,024","9,535","2,673","9,942",,,
2020년08월_계_50~59세,"69,490","3,030","7,710",362,327,391,820,"2,043",655,"4,539",853,697,"6,091",494,"7,126","3,054","3,961",643,637,"1,139","1,078",660,798,"5,489","3,205","6,868","1,720","5,100",,,
2020년08월_계_60~69세,"38,131","2,581","3,967",475,422,496,900,966,618,"3,214",634,751,"3,491",509,"3,575","1,786","2,155",461,393,443,468,345,475,"1,933","1,165","3,289",822,"1,797",,,
2020년08월_계_70~79세,"15,939","1,434","1,633",306,296,398,678,412,462,"1,126",290,442,"1,164",236,"1,204",658,647,239,179,163,118,79,229,746,391,"1,326",298,785,,,
2020년08월_계_80~89세,"7,936",952,927,255,253,278,478,274,309,367,95,169,523,111,507,264,239,75,90,65,43,16,73,319,179,577,125,373,,,
2020년08월_계_90~99세,"1,122",143,146,44,38,39,66,38,32,36,22,20,62,12,69,30,26,11,10,7,5,6,12,55,29,84,26,54,,,
2020년08월_계_100세 이상,52,5,8,1,2,2,4,2,2,4,3,1,1,1,1,0,3,0,3,0,0,1,0,2,0,2,2,2,,,
2020년08월_남_총인구수,"213,796","7,484","18,633",937,893,"1,137","2,154","13,815","1,628","12,138","2,128","1,689","14,874","1,187","20,234","7,400","8,806","1,839","1,780","3,441","3,546","2,489","2,390","15,014","10,256","25,233","8,560","24,111",,,
2020년08월_남_연령구간인구수,"213,796","7,484","18,633",937,893,"1,137","2,154","13,815","1,628","12,138","2,128","1,689","14,874","1,187","20,234","7,400","8,806","1,839","1,780","3,441","3,546","2,489","2,390","15,014","10,256","25,233","8,560","24,111",,,
2020년08월_남_0~9세,"21,760",460,"1,730",19,10,19,36,"2,868",49,897,31,45,"1,296",39,"2,081",587,506,66,160,381,491,355,183,"1,339","1,193","2,771",482,"3,666",,,
2020년08월_남_10~19세,"23,694",596,"2,110",31,28,83,80,"1,104",116,"1,309",54,85,"1,799",69,"2,696",920,"1,126",98,127,239,324,99,175,"1,900","1,431","3,164",578,"3,353",,,
2020년08월_남_20~29세,"31,301",909,"2,739",68,66,88,181,"1,259",137,"1,908",289,207,"2,291",144,"2,932","1,153","1,610",370,239,548,506,407,388,"2,460","1,440","3,786","2,023","3,153",,,
2020년08월_남_30~39세,"35,356",708,"2,296",56,53,71,141,"4,381",105,"1,819",294,176,"1,851",103,"2,600",873,932,326,337,809,814,664,439,"2,061","1,631","4,726","2,470","4,620",,,
2020년08월_남_40~49세,"37,028","1,023","2,753",87,100,120,297,"2,304",218,"1,876",426,206,"2,364",163,"3,724","1,139","1,278",271,257,520,583,416,425,"2,870","1,969","4,903","1,505","5,231",,,
2020년08월_남_50~59세,"35,503","1,513","3,874",203,180,238,488,"1,110",355,"2,145",501,363,"2,853",262,"3,599","1,452","1,890",349,340,595,531,343,397,"2,942","1,751","3,528",929,"2,772",,,
2020년08월_남_60~69세,"19,487","1,330","2,124",251,229,244,472,514,326,"1,524",356,366,"1,740",262,"1,879",886,"1,105",226,212,241,234,166,237,"1,016",626,"1,646",395,880,,,
2020년08월_남_70~79세,"6,990",642,692,133,140,176,273,186,211,535,144,186,499,108,548,306,283,101,73,88,55,34,114,319,159,538,134,313,,,
2020년08월_남_80~89세,"2,463",279,289,78,78,87,172,76,104,122,31,50,169,37,167,82,73,30,31,19,7,5,28,94,52,153,38,112,,,
2020년08월_남_90~99세,207,23,25,11,9,10,13,13,7,2,2,5,12,0,8,2,3,2,4,1,1,0,4,12,4,18,6,10,,,
2020년08월_남_100세 이상,7,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
2020년08월_여_총인구수,"202,755","7,625","18,016",950,851,"1,086","1,998","12,622","1,546","12,401","1,724","1,598","15,425","1,096","19,509","7,573","8,701","1,485","1,485","2,903","3,363","2,045","2,092","13,751","9,421","23,684","7,474","22,331",,,
2020년08월_여_연령구간인구수,"202,755","7,625","18,016",950,851,"1,086","1,998","12,622","1,546","12,401","1,724","1,598","15,425","1,096","19,509","7,573","8,701","1,485","1,485","2,903","3,363","2,045","2,092","13,751","9,421","23,684","7,474","22,331",,,
2020년08월_여_0~9세,"20,352",457,"1,614",22,8,20,32,"2,750",28,943,35,37,"1,183",43,"1,954",527,426,72,128,336,479,303,171,"1,281","1,146","2,387",477,"3,493",,,
2020년08월_여_10~19세,"21,699",586,"1,785",30,34,49,80,"1,019",90,"1,245",60,67,"1,809",65,"2,444",810,950,100,104,239,332,107,180,"1,742","1,224","2,869",554,"3,125",,,
2020년08월_여_20~29세,"25,380",613,"1,990",42,32,58,121,"1,425",118,"1,571",234,135,"1,779",98,"2,334",914,"1,214",230,188,439,437,303,280,"1,796","1,104","3,303","2,100","2,522",,,
2020년08월_여_30~39세,"31,055",638,"2,184",36,25,31,80,"3,751",78,"1,579",245,97,"1,820",63,"2,636",857,814,167,217,558,661,485,304,"1,843","1,515","4,230","1,684","4,457",,,
2020년08월_여_40~49세,"36,256",974,"3,057",53,50,80,158,"1,841",157,"2,106",287,152,"2,775",133,"3,860","1,401","1,620",195,196,458,570,288,350,"2,929","2,055","4,632","1,168","4,711",,,
2020년08월_여_50~59세,"33,987","1,517","3,836",159,147,153,332,933,300,"2,394",352,334,"3,238",232,"3,527","1,602","2,071",294,297,544,547,317,401,"2,547","1,454","3,340",791,"2,328",,,
2020년08월_여_60~69세,"18,644","1,251","1,843",224,193,252,428,452,292,"1,690",278,385,"1,751",247,"1,696",900,"1,050",235,181,202,234,179,238,917,539,"1,643",427,917,,,
2020년08월_여_70~79세,"8,949",792,941,173,156,222,405,226,251,591,146,256,665,128,656,352,364,138,106,75,63,45,115,427,232,788,164,472,,,
2020년08월_여_80~89세,"5,473",673,638,177,175,191,306,198,205,245,64,119,354,74,340,182,166,45,59,46,36,11,45,225,127,424,87,261,,,
2020년08월_여_90~99세,915,120,121,33,29,29,53,25,25,34,20,15,50,12,61,28,23,9,6,6,4,6,8,43,25,66,20,44,,,
2020년08월_여_100세 이상,45,4,7,1,2,1,3,2,2,3,3,1,1,1,1,0,3,0,3,0,0,1,0,1,0,2,2,1,,,
2020년09월_계_총인구수,"416,626","15,074","36,570","1,884","1,740","2,202","4,140","26,525","3,171","24,558","3,842","3,286","30,204","2,283","39,692","14,850","17,340","3,326","3,258","6,330","6,928","4,484","4,474","29,763","19,358","48,803","16,074","46,467",,,
2020년09월_계_연령구간인구수,"416,626","15,074","36,570","1,884","1,740","2,202","4,140","26,525","3,171","24,558","3,842","3,286","30,204","2,283","39,692","14,850","17,340","3,326","3,258","6,330","6,928","4,484","4,474","29,763","19,358","48,803","16,074","46,467",,,
2020년09월_계_0~9세,"41,933",904,"3,321",40,17,36,67,"5,633",76,"1,839",67,88,"2,468",84,"3,988","1,098",919,137,289,713,990,645,358,"2,706","2,299","5,079",958,"7,114",,,
2020년09월_계_10~19세,"45,298","1,178","3,891",60,62,121,159,"2,157",208,"2,551",112,151,"3,573",134,"5,111","1,708","2,035",191,232,471,647,208,350,"3,742","2,597","6,034","1,125","6,490",,,
2020년09월_계_20~29세,"56,660","1,507","4,696",111,99,146,297,"2,672",255,"3,464",518,340,"4,059",238,"5,258","2,045","2,799",602,425,980,928,694,661,"4,449","2,490","7,076","4,155","5,696",,,
2020년09월_계_30~39세,"66,207","1,339","4,445",90,80,102,221,"8,122",181,"3,404",539,272,"3,637",164,"5,225","1,709","1,717",496,550,"1,356","1,487","1,135",737,"4,065","3,093","8,896","4,130","9,015",,,
2020년09월_계_40~49세,"73,389","1,996","5,788",139,145,193,451,"4,198",379,"3,991",710,362,"5,116",299,"7,577","2,510","2,841",460,456,983,"1,157",697,781,"6,003","3,952","9,512","2,702","9,991",,,
2020년09월_계_50~59세,"69,582","3,008","7,707",361,331,390,818,"2,045",644,"4,534",853,691,"6,060",493,"7,120","3,039","3,947",648,633,"1,139","1,077",656,797,"5,686","3,160","6,895","1,717","5,133",,,
2020년09월_계_60~69세,"38,459","2,615","4,000",473,422,505,897,973,624,"3,222",639,753,"3,526",509,"3,616","1,787","2,164",461,393,450,476,347,477,"1,989","1,170","3,320",836,"1,815",,,
2020년09월_계_70~79세,"15,977","1,439","1,628",309,294,395,680,407,462,"1,137",287,441,"1,171",236,"1,223",658,655,245,177,166,117,78,231,737,391,"1,330",300,783,,,
2020년09월_계_80~89세,"7,930",938,935,256,250,272,479,277,308,374,93,168,529,111,504,268,232,75,90,63,44,17,70,325,180,576,125,371,,,
2020년09월_계_90~99세,"1,137",145,151,44,38,40,67,39,32,38,20,19,64,14,69,28,28,11,10,9,5,6,12,59,25,83,24,57,,,
2020년09월_계_100세 이상,54,5,8,1,2,2,4,2,2,4,4,1,1,1,1,0,3,0,3,0,0,1,0,2,1,2,2,2,,,
2020년09월_남_총인구수,"213,856","7,462","18,574",932,890,"1,128","2,148","13,853","1,627","12,143","2,125","1,690","14,826","1,182","20,196","7,336","8,740","1,845","1,775","3,430","3,555","2,469","2,393","15,531","10,103","25,167","8,593","24,143",,,
2020년09월_남_연령구간인구수,"213,856","7,462","18,574",932,890,"1,128","2,148","13,853","1,627","12,143","2,125","1,690","14,826","1,182","20,196","7,336","8,740","1,845","1,775","3,430","3,555","2,469","2,393","15,531","10,103","25,167","8,593","24,143",,,
2020년09월_남_0~9세,"21,669",454,"1,725",18,10,17,34,"2,866",49,903,31,49,"1,297",39,"2,045",579,503,67,160,379,502,348,188,"1,378","1,175","2,727",488,"3,638",,,
2020년09월_남_10~19세,"23,632",595,"2,102",30,27,75,81,"1,123",117,"1,301",52,85,"1,775",68,"2,692",906,"1,107",93,128,235,319,102,173,"1,950","1,404","3,151",575,"3,366",,,
2020년09월_남_20~29세,"31,317",893,"2,721",68,66,90,175,"1,260",136,"1,903",290,204,"2,289",143,"2,925","1,147","1,606",370,240,540,492,394,380,"2,563","1,412","3,783","2,049","3,178",,,
2020년09월_남_30~39세,"35,266",708,"2,271",54,54,71,144,"4,360",103,"1,825",295,178,"1,838",101,"2,589",863,908,329,333,806,822,663,439,"2,167","1,596","4,699","2,457","4,593",,,
2020년09월_남_40~49세,"37,106","1,021","2,740",87,95,116,293,"2,337",220,"1,883",422,208,"2,358",163,"3,725","1,127","1,265",271,257,525,593,413,431,"2,946","1,956","4,897","1,511","5,246",,,
2020년09월_남_50~59세,"35,487","1,496","3,859",201,182,240,487,"1,115",353,"2,132",501,359,"2,825",261,"3,579","1,437","1,875",355,336,591,525,343,397,"3,054","1,715","3,538",940,"2,791",,,
2020년09월_남_60~69세,"19,689","1,351","2,148",248,230,247,474,515,327,"1,532",358,369,"1,760",260,"1,905",885,"1,112",226,214,245,238,167,238,"1,050",629,"1,667",398,896,,,
2020년09월_남_70~79세,"7,003",641,691,137,140,174,274,185,213,536,141,184,499,109,563,307,288,103,71,89,55,34,116,316,158,534,133,312,,,
2020년09월_남_80~89세,"2,469",279,290,78,77,87,171,78,103,125,33,50,172,38,164,83,72,30,32,19,8,5,27,94,54,153,37,110,,,
2020년09월_남_90~99세,211,23,26,11,9,10,14,14,6,2,2,4,13,0,9,2,4,1,4,1,1,0,4,12,4,18,5,12,,,
2020년09월_남_100세 이상,7,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
2020년09월_여_총인구수,"202,770","7,612","17,996",952,850,"1,074","1,992","12,672","1,544","12,415","1,717","1,596","15,378","1,101","19,496","7,514","8,600","1,481","1,483","2,900","3,373","2,015","2,081","14,232","9,255","23,636","7,481","22,324",,,
2020년09월_여_연령구간인구수,"202,770","7,612","17,996",952,850,"1,074","1,992","12,672","1,544","12,415","1,717","1,596","15,378","1,101","19,496","7,514","8,600","1,481","1,483","2,900","3,373","2,015","2,081","14,232","9,255","23,636","7,481","22,324",,,
2020년09월_여_0~9세,"20,264",450,"1,596",22,7,19,33,"2,767",27,936,36,39,"1,171",45,"1,943",519,416,70,129,334,488,297,170,"1,328","1,124","2,352",470,"3,476",,,
2020년09월_여_10~19세,"21,666",583,"1,789",30,35,46,78,"1,034",91,"1,250",60,66,"1,798",66,"2,419",802,928,98,104,236,328,106,177,"1,792","1,193","2,883",550,"3,124",,,
2020년09월_여_20~29세,"25,343",614,"1,975",43,33,56,122,"1,412",119,"1,561",228,136,"1,770",95,"2,333",898,"1,193",232,185,440,436,300,281,"1,886","1,078","3,293","2,106","2,518",,,
2020년09월_여_30~39세,"30,941",631,"2,174",36,26,31,77,"3,762",78,"1,579",244,94,"1,799",63,"2,636",846,809,167,217,550,665,472,298,"1,898","1,497","4,197","1,673","4,422",,,
2020년09월_여_40~49세,"36,283",975,"3,048",52,50,77,158,"1,861",159,"2,108",288,154,"2,758",136,"3,852","1,383","1,576",189,199,458,564,284,350,"3,057","1,996","4,615","1,191","4,745",,,
2020년09월_여_50~59세,"34,095","1,512","3,848",160,149,150,331,930,291,"2,402",352,332,"3,235",232,"3,541","1,602","2,072",293,297,548,552,313,400,"2,632","1,445","3,357",777,"2,342",,,
2020년09월_여_60~69세,"18,770","1,264","1,852",225,192,258,423,458,297,"1,690",281,384,"1,766",249,"1,711",902,"1,052",235,179,205,238,180,239,939,541,"1,653",438,919,,,
2020년09월_여_70~79세,"8,974",798,937,172,154,221,406,222,249,601,146,257,672,127,660,351,367,142,106,77,62,44,115,421,233,796,167,471,,,
2020년09월_여_80~89세,"5,461",659,645,178,173,185,308,199,205,249,60,118,357,73,340,185,160,45,58,44,36,12,43,231,126,423,88,261,,,
