카테고리,전라북도 장수군,전라북도 장수군 장수읍,전라북도 장수군 산서면,전라북도 장수군 번암면,전라북도 장수군 장계면,전라북도 장수군 천천면,전라북도 장수군 계남면,전라북도 장수군 계북면
2020년02월_남_연령구간인구수,"11,095","3,680","1,042","1,202","2,248","1,054","1,081",788
2020년02월_남_0~9세,627,295,47,49,126,25,51,34
2020년02월_남_10~19세,843,349,62,64,206,55,64,43
2020년02월_남_20~29세,965,353,97,88,219,77,84,47
2020년02월_남_30~39세,879,361,66,79,179,69,81,44
2020년02월_남_40~49세,"1,529",590,122,137,324,126,133,97
2020년02월_남_50~59세,"2,134",641,196,226,455,220,247,149
2020년02월_남_60~69세,"2,045",551,189,282,371,249,202,201
2020년02월_남_70~79세,"1,333",359,166,184,241,141,135,107
2020년02월_남_80~89세,673,165,86,88,117,81,78,58
2020년02월_남_90~99세,63,15,11,5,9,11,4,8
2020년02월_남_100세 이상,4,1,0,0,1,0,2,0
2020년02월_여_총인구수,"11,190","3,778","1,077","1,171","2,193","1,052","1,115",804
2020년02월_여_연령구간인구수,"11,190","3,778","1,077","1,171","2,193","1,052","1,115",804
2020년02월_여_0~9세,585,289,36,29,121,29,45,36
2020년02월_여_10~19세,841,387,52,61,161,48,86,46
2020년02월_여_20~29세,756,304,58,68,172,51,70,33
2020년02월_여_30~39세,804,382,56,50,151,51,63,51
2020년02월_여_40~49세,"1,127",461,84,87,263,76,99,57
2020년02월_여_50~59세,"1,670",529,150,197,334,159,180,121
2020년02월_여_60~69세,"2,026",601,204,232,379,240,198,172
2020년02월_여_70~79세,"1,778",466,208,237,321,204,203,139
2020년02월_여_80~89세,"1,375",312,199,174,252,159,153,126
2020년02월_여_90~99세,212,45,28,34,32,32,18,23
2020년02월_여_100세 이상,16,2,2,2,7,3,0,0
2020년03월_계_총인구수,"22,277","7,452","2,117","2,370","4,429","2,115","2,197","1,597"
2020년03월_계_연령구간인구수,"22,277","7,452","2,117","2,370","4,429","2,115","2,197","1,597"
2020년03월_계_0~9세,"1,208",581,82,79,244,53,97,72
2020년03월_계_10~19세,"1,681",735,115,123,366,103,150,89
2020년03월_계_20~29세,"1,715",660,151,157,384,128,154,81
2020년03월_계_30~39세,"1,669",735,117,129,331,118,140,99
2020년03월_계_40~49세,"2,653","1,044",209,223,582,206,235,154
2020년03월_계_50~59세,"3,785","1,169",345,414,794,378,417,268
2020년03월_계_60~69세,"4,085","1,156",397,517,746,488,407,374
2020년03월_계_70~79세,"3,117",829,373,426,559,352,339,239
2020년03월_계_80~89세,"2,064",477,288,261,374,243,233,188
2020년03월_계_90~99세,278,63,38,39,41,43,21,33
2020년03월_계_100세 이상,22,3,2,2,8,3,4,0
2020년03월_남_총인구수,"11,096","3,678","1,043","1,201","2,245","1,055","1,083",791
2020년03월_남_연령구간인구수,"11,096","3,678","1,043","1,201","2,245","1,055","1,083",791
2020년03월_남_0~9세,626,294,47,49,125,24,51,36
2020년03월_남_10~19세,847,350,63,64,207,53,65,45
2020년03월_남_20~29세,967,355,94,87,222,78,85,46
2020년03월_남_30~39세,870,356,65,80,175,67,80,47
2020년03월_남_40~49세,"1,526",586,123,138,321,128,133,97
2020년03월_남_50~59세,"2,128",642,196,221,457,221,243,148
2020년03월_남_60~69세,"2,048",554,193,280,368,248,204,201
2020년03월_남_70~79세,"1,337",357,165,190,242,142,138,103
2020년03월_남_80~89세,680,168,87,87,118,83,77,60
2020년03월_남_90~99세,63,15,10,5,9,11,5,8
2020년03월_남_100세 이상,4,1,0,0,1,0,2,0
2020년03월_여_총인구수,"11,181","3,774","1,074","1,169","2,184","1,060","1,114",806
2020년03월_여_연령구간인구수,"11,181","3,774","1,074","1,169","2,184","1,060","1,114",806
2020년03월_여_0~9세,582,287,35,30,119,29,46,36
2020년03월_여_10~19세,834,385,52,59,159,50,85,44
2020년03월_여_20~29세,748,305,57,70,162,50,69,35
2020년03월_여_30~39세,799,379,52,49,156,51,60,52
2020년03월_여_40~49세,"1,127",458,86,85,261,78,102,57
2020년03월_여_50~59세,"1,657",527,149,193,337,157,174,120
2020년03월_여_60~69세,"2,037",602,204,237,378,240,203,173
2020년03월_여_70~79세,"1,780",472,208,236,317,210,201,136
2020년03월_여_80~89세,"1,384",309,201,174,256,160,156,128
2020년03월_여_90~99세,215,48,28,34,32,32,16,25
2020년03월_여_100세 이상,18,2,2,2,7,3,2,0
2020년04월_계_총인구수,"22,277","7,457","2,113","2,381","4,427","2,114","2,195","1,590"
2020년04월_계_연령구간인구수,"22,277","7,457","2,113","2,381","4,427","2,114","2,195","1,590"
2020년04월_계_0~9세,"1,205",583,81,81,244,53,94,69
2020년04월_계_10~19세,"1,677",735,115,124,360,102,150,91
2020년04월_계_20~29세,"1,711",656,150,155,382,129,158,81
2020년04월_계_30~39세,"1,655",726,114,132,338,117,136,92
2020년04월_계_40~49세,"2,645","1,047",207,223,576,202,237,153
2020년04월_계_50~59세,"3,764","1,163",342,411,790,376,414,268
2020년04월_계_60~69세,"4,116","1,170",397,521,755,493,408,372
2020년04월_계_70~79세,"3,114",828,373,430,551,351,339,242
2020년04월_계_80~89세,"2,090",484,293,263,380,247,233,190
2020년04월_계_90~99세,278,62,39,39,43,41,22,32
2020년04월_계_100세 이상,22,3,2,2,8,3,4,0
2020년04월_남_총인구수,"11,103","3,691","1,039","1,208","2,242","1,052","1,080",791
2020년04월_남_연령구간인구수,"11,103","3,691","1,039","1,208","2,242","1,052","1,080",791
2020년04월_남_0~9세,625,296,48,50,124,24,50,33
2020년04월_남_10~19세,845,352,62,64,203,52,66,46
2020년04월_남_20~29세,966,355,93,85,223,78,87,45
2020년04월_남_30~39세,868,354,63,81,180,67,78,45
2020년04월_남_40~49세,"1,519",592,121,137,315,122,133,99
2020년04월_남_50~59세,"2,121",636,198,223,455,221,239,149
2020년04월_남_60~69세,"2,063",565,190,281,373,249,205,200
2020년04월_남_70~79세,"1,339",354,165,195,237,144,138,106
2020년04월_남_80~89세,690,171,89,87,122,84,77,60
2020년04월_남_90~99세,63,15,10,5,9,11,5,8
2020년04월_남_100세 이상,4,1,0,0,1,0,2,0
2020년04월_여_총인구수,"11,174","3,766","1,074","1,173","2,185","1,062","1,115",799
2020년04월_여_연령구간인구수,"11,174","3,766","1,074","1,173","2,185","1,062","1,115",799
2020년04월_여_0~9세,580,287,33,31,120,29,44,36
2020년04월_여_10~19세,832,383,53,60,157,50,84,45
2020년04월_여_20~29세,745,301,57,70,159,51,71,36
2020년04월_여_30~39세,787,372,51,51,158,50,58,47
2020년04월_여_40~49세,"1,126",455,86,86,261,80,104,54
2020년04월_여_50~59세,"1,643",527,144,188,335,155,175,119
2020년04월_여_60~69세,"2,053",605,207,240,382,244,203,172
2020년04월_여_70~79세,"1,775",474,208,235,314,207,201,136
2020년04월_여_80~89세,"1,400",313,204,176,258,163,156,130
2020년04월_여_90~99세,215,47,29,34,34,30,17,24
2020년04월_여_100세 이상,18,2,2,2,7,3,2,0
2020년05월_계_총인구수,"22,230","7,416","2,112","2,383","4,411","2,134","2,189","1,585"
2020년05월_계_연령구간인구수,"22,230","7,416","2,112","2,383","4,411","2,134","2,189","1,585"
2020년05월_계_0~9세,"1,207",585,82,76,246,56,94,68
2020년05월_계_10~19세,"1,663",722,116,128,356,103,147,91
2020년05월_계_20~29세,"1,697",655,147,155,372,129,158,81
2020년05월_계_30~39세,"1,641",712,117,132,333,121,135,91
2020년05월_계_40~49세,"2,630","1,046",200,223,573,202,232,154
2020년05월_계_50~59세,"3,731","1,152",340,409,785,373,411,261
2020년05월_계_60~69세,"4,147","1,170",403,523,767,500,411,373
2020년05월_계_70~79세,"3,113",829,375,431,547,349,339,243
2020년05월_계_80~89세,"2,099",480,292,266,380,255,235,191
2020년05월_계_90~99세,280,62,39,38,43,43,23,32
2020년05월_계_100세 이상,22,3,1,2,9,3,4,0
2020년05월_남_총인구수,"11,078","3,674","1,039","1,208","2,233","1,058","1,076",790
2020년05월_남_연령구간인구수,"11,078","3,674","1,039","1,208","2,233","1,058","1,076",790
2020년05월_남_0~9세,627,297,48,48,123,27,51,33
2020년05월_남_10~19세,836,344,63,66,202,51,64,46
2020년05월_남_20~29세,962,357,92,85,216,79,88,45
2020년05월_남_30~39세,861,348,64,80,179,69,77,44
2020년05월_남_40~49세,"1,505",589,117,137,313,121,129,99
2020년05월_남_50~59세,"2,101",628,197,224,451,215,238,148
2020년05월_남_60~69세,"2,085",572,192,278,381,255,207,200
2020년05월_남_70~79세,"1,339",351,167,196,237,143,138,107
2020년05월_남_80~89세,696,173,89,89,121,87,77,60
2020년05월_남_90~99세,62,14,10,5,9,11,5,8
2020년05월_남_100세 이상,4,1,0,0,1,0,2,0
2020년05월_여_총인구수,"11,152","3,742","1,073","1,175","2,178","1,076","1,113",795
2020년05월_여_연령구간인구수,"11,152","3,742","1,073","1,175","2,178","1,076","1,113",795
2020년05월_여_0~9세,580,288,34,28,123,29,43,35
2020년05월_여_10~19세,827,378,53,62,154,52,83,45
2020년05월_여_20~29세,735,298,55,70,156,50,70,36
2020년05월_여_30~39세,780,364,53,52,154,52,58,47
2020년05월_여_40~49세,"1,125",457,83,86,260,81,103,55
2020년05월_여_50~59세,"1,630",524,143,185,334,158,173,113
2020년05월_여_60~69세,"2,062",598,211,245,386,245,204,173
2020년05월_여_70~79세,"1,774",478,208,235,310,206,201,136
2020년05월_여_80~89세,"1,403",307,203,177,259,168,158,131
2020년05월_여_90~99세,218,48,29,33,34,32,18,24
2020년05월_여_100세 이상,18,2,1,2,8,3,2,0
2020년06월_계_총인구수,"22,240","7,440","2,109","2,382","4,388","2,141","2,196","1,584"
2020년06월_계_연령구간인구수,"22,240","7,440","2,109","2,382","4,388","2,141","2,196","1,584"
2020년06월_계_0~9세,"1,207",580,81,76,246,59,95,70
2020년06월_계_10~19세,"1,663",734,117,125,350,101,148,88
2020년06월_계_20~29세,"1,693",653,143,154,370,133,160,80
2020년06월_계_30~39세,"1,628",708,117,131,324,124,131,93
2020년06월_계_40~49세,"2,638","1,057",202,221,569,199,236,154
2020년06월_계_50~59세,"3,718","1,155",339,402,779,374,412,257
2020년06월_계_60~69세,"4,166","1,176",400,531,769,502,412,376
2020년06월_계_70~79세,"3,135",834,376,438,548,353,342,244
2020년06월_계_80~89세,"2,087",478,291,263,381,250,233,191
2020년06월_계_90~99세,283,62,42,39,43,43,23,31
2020년06월_계_100세 이상,22,3,1,2,9,3,4,0
2020년06월_남_총인구수,"11,073","3,675","1,039","1,210","2,220","1,058","1,078",793
2020년06월_남_연령구간인구수,"11,073","3,675","1,039","1,210","2,220","1,058","1,078",793
2020년06월_남_0~9세,621,293,47,48,120,27,53,33
2020년06월_남_10~19세,837,349,62,66,202,50,63,45
2020년06월_남_20~29세,961,354,91,84,215,82,89,46
2020년06월_남_30~39세,848,344,64,80,171,69,74,46
2020년06월_남_40~49세,"1,503",594,118,137,309,116,130,99
2020년06월_남_50~59세,"2,093",629,197,219,448,217,239,144
2020년06월_남_60~69세,"2,101",572,191,287,384,256,209,202
2020년06월_남_70~79세,"1,353",354,168,196,242,145,139,109
2020년06월_남_80~89세,691,172,90,88,120,85,75,61
2020년06월_남_90~99세,61,13,11,5,8,11,5,8
2020년06월_남_100세 이상,4,1,0,0,1,0,2,0
2020년06월_여_총인구수,"11,167","3,765","1,070","1,172","2,168","1,083","1,118",791
2020년06월_여_연령구간인구수,"11,167","3,765","1,070","1,172","2,168","1,083","1,118",791
2020년06월_여_0~9세,586,287,34,28,126,32,42,37
2020년06월_여_10~19세,826,385,55,59,148,51,85,43
2020년06월_여_20~29세,732,299,52,70,155,51,71,34
2020년06월_여_30~39세,780,364,53,51,153,55,57,47
2020년06월_여_40~49세,"1,135",463,84,84,260,83,106,55
2020년06월_여_50~59세,"1,625",526,142,183,331,157,173,113
2020년06월_여_60~69세,"2,065",604,209,244,385,246,203,174
2020년06월_여_70~79세,"1,782",480,208,242,306,208,203,135
2020년06월_여_80~89세,"1,396",306,201,175,261,165,158,130
2020년06월_여_90~99세,222,49,31,34,35,32,18,23
2020년06월_여_100세 이상,18,2,1,2,8,3,2,0
2020년07월_계_총인구수,"22,205","7,409","2,110","2,375","4,400","2,137","2,188","1,586"
2020년07월_계_연령구간인구수,"22,205","7,409","2,110","2,375","4,400","2,137","2,188","1,586"
2020년07월_계_0~9세,"1,189",568,77,76,245,59,94,70
2020년07월_계_10~19세,"1,662",731,119,124,351,101,147,89
2020년07월_계_20~29세,"1,692",651,142,152,371,133,160,83
2020년07월_계_30~39세,"1,601",696,114,128,325,122,126,90
2020년07월_계_40~49세,"2,632","1,056",202,222,569,193,236,154
2020년07월_계_50~59세,"3,711","1,146",341,400,782,373,413,256
2020년07월_계_60~69세,"4,172","1,183",396,529,774,504,410,376
2020년07월_계_70~79세,"3,144",834,380,440,549,355,341,245
2020년07월_계_80~89세,"2,099",480,295,263,381,252,234,194
2020년07월_계_90~99세,281,61,43,39,44,42,23,29
2020년07월_계_100세 이상,22,3,1,2,9,3,4,0
2020년07월_남_총인구수,"11,051","3,657","1,043","1,205","2,224","1,054","1,075",793
2020년07월_남_연령구간인구수,"11,051","3,657","1,043","1,205","2,224","1,054","1,075",793
2020년07월_남_0~9세,613,288,46,48,120,27,51,33
2020년07월_남_10~19세,836,348,62,65,201,51,63,46
2020년07월_남_20~29세,960,351,91,83,213,83,90,49
2020년07월_남_30~39세,838,340,63,79,174,66,73,43
2020년07월_남_40~49세,"1,496",591,118,137,309,113,129,99
2020년07월_남_50~59세,"2,090",628,200,218,449,214,241,140
2020년07월_남_60~69세,"2,098",572,187,285,386,259,206,203
2020년07월_남_70~79세,"1,362",357,172,196,244,144,139,110
2020년07월_남_80~89세,693,169,92,89,120,86,75,62
2020년07월_남_90~99세,61,12,12,5,7,11,6,8
2020년07월_남_100세 이상,4,1,0,0,1,0,2,0
2020년07월_여_총인구수,"11,154","3,752","1,067","1,170","2,176","1,083","1,113",793
2020년07월_여_연령구간인구수,"11,154","3,752","1,067","1,170","2,176","1,083","1,113",793
2020년07월_여_0~9세,576,280,31,28,125,32,43,37
2020년07월_여_10~19세,826,383,57,59,150,50,84,43
2020년07월_여_20~29세,732,300,51,69,158,50,70,34
2020년07월_여_30~39세,763,356,51,49,151,56,53,47
2020년07월_여_40~49세,"1,136",465,84,85,260,80,107,55
2020년07월_여_50~59세,"1,621",518,141,182,333,159,172,116
2020년07월_여_60~69세,"2,074",611,209,244,388,245,204,173
2020년07월_여_70~79세,"1,782",477,208,244,305,211,202,135
2020년07월_여_80~89세,"1,406",311,203,174,261,166,159,132
2020년07월_여_90~99세,220,49,31,34,37,31,17,21
2020년07월_여_100세 이상,18,2,1,2,8,3,2,0
2020년08월_계_총인구수,"22,159","7,398","2,109","2,352","4,410","2,128","2,177","1,585"
2020년08월_계_연령구간인구수,"22,159","7,398","2,109","2,352","4,410","2,128","2,177","1,585"
2020년08월_계_0~9세,"1,183",565,76,73,250,59,91,69
2020년08월_계_10~19세,"1,663",737,120,121,349,100,145,91
2020년08월_계_20~29세,"1,679",648,142,147,371,127,162,82
2020년08월_계_30~39세,"1,588",686,112,127,327,121,126,89
2020년08월_계_40~49세,"2,621","1,054",200,221,570,191,231,154
2020년08월_계_50~59세,"3,709","1,145",340,396,784,377,410,257
2020년08월_계_60~69세,"4,174","1,187",395,530,776,500,412,374
2020년08월_계_70~79세,"3,132",828,379,436,551,358,336,244
2020년08월_계_80~89세,"2,108",480,301,261,381,253,237,195
2020년08월_계_90~99세,280,65,43,38,42,39,23,30
2020년08월_계_100세 이상,22,3,1,2,9,3,4,0
2020년08월_남_총인구수,"11,023","3,647","1,043","1,191","2,234","1,051","1,068",789
2020년08월_남_연령구간인구수,"11,023","3,647","1,043","1,191","2,234","1,051","1,068",789
2020년08월_남_0~9세,611,287,45,46,124,27,49,33
2020년08월_남_10~19세,833,351,63,63,198,51,61,46
2020년08월_남_20~29세,954,350,91,81,214,78,92,48
2020년08월_남_30~39세,831,334,61,77,177,67,73,42
2020년08월_남_40~49세,"1,487",585,117,136,312,111,127,99
2020년08월_남_50~59세,"2,090",632,199,215,450,219,237,138
2020년08월_남_60~69세,"2,101",574,189,285,386,256,209,202
2020년08월_남_70~79세,"1,357",350,172,194,246,145,138,112
2020년08월_남_80~89세,694,170,94,89,119,87,75,60
2020년08월_남_90~99세,61,13,12,5,7,10,5,9
2020년08월_남_100세 이상,4,1,0,0,1,0,2,0
2020년08월_여_총인구수,"11,136","3,751","1,066","1,161","2,176","1,077","1,109",796
2020년08월_여_연령구간인구수,"11,136","3,751","1,066","1,161","2,176","1,077","1,109",796
2020년08월_여_0~9세,572,278,31,27,126,32,42,36
2020년08월_여_10~19세,830,386,57,58,151,49,84,45
2020년08월_여_20~29세,725,298,51,66,157,49,70,34
2020년08월_여_30~39세,757,352,51,50,150,54,53,47
2020년08월_여_40~49세,"1,134",469,83,85,258,80,104,55
2020년08월_여_50~59세,"1,619",513,141,181,334,158,173,119
2020년08월_여_60~69세,"2,073",613,206,245,390,244,203,172
2020년08월_여_70~79세,"1,775",478,207,242,305,213,198,132
2020년08월_여_80~89세,"1,414",310,207,172,262,166,162,135
2020년08월_여_90~99세,219,52,31,33,35,29,18,21
2020년08월_여_100세 이상,18,2,1,2,8,3,2,0
2020년09월_계_총인구수,"22,149","7,394","2,105","2,342","4,422","2,124","2,177","1,585"
2020년09월_계_연령구간인구수,"22,149","7,394","2,105","2,342","4,422","2,124","2,177","1,585"
2020년09월_계_0~9세,"1,176",564,75,73,248,58,89,69
2020년09월_계_10~19세,"1,670",742,121,121,352,98,146,90
2020년09월_계_20~29세,"1,672",643,141,146,371,125,160,86
2020년09월_계_30~39세,"1,578",686,109,124,325,122,125,87
2020년09월_계_40~49세,"2,612","1,043",197,217,577,188,233,157
2020년09월_계_50~59세,"3,702","1,141",343,393,781,376,413,255
2020년09월_계_60~69세,"4,186","1,196",395,531,779,502,412,371
2020년09월_계_70~79세,"3,131",831,375,435,553,358,333,246
2020년09월_계_80~89세,"2,113",480,302,262,384,254,238,193
2020년09월_계_90~99세,287,65,46,38,43,40,24,31
2020년09월_계_100세 이상,22,3,1,2,9,3,4,0
2020년09월_남_총인구수,"11,027","3,655","1,042","1,188","2,236","1,050","1,070",786
2020년09월_남_연령구간인구수,"11,027","3,655","1,042","1,188","2,236","1,050","1,070",786
2020년09월_남_0~9세,607,288,43,46,124,28,47,31
2020년09월_남_10~19세,841,353,65,64,201,49,63,46
2020년09월_남_20~29세,957,355,91,80,214,78,90,49
2020년09월_남_30~39세,822,331,61,75,174,67,74,40
2020년09월_남_40~49세,"1,477",579,113,134,313,109,128,101
2020년09월_남_50~59세,"2,093",637,200,212,449,219,238,138
2020년09월_남_60~69세,"2,111",575,192,288,387,257,212,200
2020년09월_남_70~79세,"1,355",353,169,194,246,145,135,113
2020년09월_남_80~89세,697,170,94,90,120,88,76,59
2020년09월_남_90~99세,63,13,14,5,7,10,5,9
2020년09월_남_100세 이상,4,1,0,0,1,0,2,0
2020년09월_여_총인구수,"11,122","3,739","1,063","1,154","2,186","1,074","1,107",799
2020년09월_여_연령구간인구수,"11,122","3,739","1,063","1,154","2,186","1,074","1,107",799
2020년09월_여_0~9세,569,276,32,27,124,30,42,38
2020년09월_여_10~19세,829,389,56,57,151,49,83,44
2020년09월_여_20~29세,715,288,50,66,157,47,70,37
2020년09월_여_30~39세,756,355,48,49,151,55,51,47
2020년09월_여_40~49세,"1,135",464,84,83,264,79,105,56
2020년09월_여_50~59세,"1,609",504,143,181,332,157,175,117
2020년09월_여_60~69세,"2,075",621,203,243,392,245,200,171
2020년09월_여_70~79세,"1,776",478,206,241,307,213,198,133
2020년09월_여_80~89세,"1,416",310,208,172,264,166,162,134
2020년09월_여_90~99세,224,52,32,33,36,30,19,22
2020년09월_여_100세 이상,18,2,1,2,8,3,2,0
2020년10월_계_총인구수,"22,140","7,401","2,101","2,330","4,422","2,112","2,183","1,591"
2020년10월_계_연령구간인구수,"22,140","7,401","2,101","2,330","4,422","2,112","2,183","1,591"
2020년10월_계_0~9세,"1,162",555,75,69,250,55,90,68
2020년10월_계_10~19세,"1,671",754,121,121,347,94,145,89
2020년10월_계_20~29세,"1,674",642,140,144,371,129,161,87
2020년10월_계_30~39세,"1,570",686,106,119,325,120,126,88
2020년10월_계_40~49세,"2,603","1,034",197,217,573,188,235,159
2020년10월_계_50~59세,"3,696","1,142",342,386,775,379,417,255
2020년10월_계_60~69세,"4,204","1,200",394,535,790,493,416,376
2020년10월_계_70~79세,"3,140",837,376,439,554,361,326,247
2020년10월_계_80~89세,"2,111",483,301,262,385,251,238,191
2020년10월_계_90~99세,287,65,48,36,43,39,25,31
2020년10월_계_100세 이상,22,3,1,2,9,3,4,0
2020년10월_남_총인구수,"11,018","3,649","1,040","1,181","2,238","1,048","1,072",790
2020년10월_남_연령구간인구수,"11,018","3,649","1,040","1,181","2,238","1,048","1,072",790
2020년10월_남_0~9세,599,282,44,44,125,27,47,30
2020년10월_남_10~19세,846,363,64,64,200,46,63,46
2020년10월_남_20~29세,953,351,90,78,215,81,89,49
2020년10월_남_30~39세,816,333,60,71,172,67,73,40
2020년10월_남_40~49세,"1,476",573,114,134,311,107,132,105
2020년10월_남_50~59세,"2,076",630,199,207,444,222,238,136
2020년10월_남_60~69세,"2,125",581,190,290,395,252,215,202
2020년10월_남_70~79세,"1,358",350,170,199,248,147,130,114
2020년10월_남_80~89세,702,172,94,89,120,90,78,59
2020년10월_남_90~99세,63,13,15,5,7,9,5,9
2020년10월_남_100세 이상,4,1,0,0,1,0,2,0
2020년10월_여_총인구수,"11,122","3,752","1,061","1,149","2,184","1,064","1,111",801
2020년10월_여_연령구간인구수,"11,122","3,752","1,061","1,149","2,184","1,064","1,111",801
2020년10월_여_0~9세,563,273,31,25,125,28,43,38
2020년10월_여_10~19세,825,391,57,57,147,48,82,43
2020년10월_여_20~29세,721,291,50,66,156,48,72,38
2020년10월_여_30~39세,754,353,46,48,153,53,53,48
2020년10월_여_40~49세,"1,127",461,83,83,262,81,103,54
2020년10월_여_50~59세,"1,620",512,143,179,331,157,179,119
2020년10월_여_60~69세,"2,079",619,204,245,395,241,201,174
2020년10월_여_70~79세,"1,782",487,206,240,306,214,196,133
2020년10월_여_80~89세,"1,409",311,207,173,265,161,160,132
2020년10월_여_90~99세,224,52,33,31,36,30,20,22
2020년10월_여_100세 이상,18,2,1,2,8,3,2,0
2020년11월_계_총인구수,"22,099","7,401","2,100","2,322","4,421","2,107","2,168","1,580"
2020년11월_계_연령구간인구수,"22,099","7,401","2,100","2,322","4,421","2,107","2,168","1,580"
2020년11월_계_0~9세,"1,156",555,76,68,251,54,86,66
2020년11월_계_10~19세,"1,658",749,116,118,348,95,144,88
2020년11월_계_20~29세,"1,669",643,138,145,371,126,159,87
2020년11월_계_30~39세,"1,555",683,110,118,316,121,122,85
2020년11월_계_40~49세,"2,591","1,024",196,216,585,184,231,155
2020년11월_계_50~59세,"3,704","1,153",342,387,772,377,413,260
2020년11월_계_60~69세,"4,202","1,201",394,535,788,494,420,370
2020년11월_계_70~79세,"3,132",838,378,435,552,357,324,248
2020년11월_계_80~89세,"2,120",484,302,263,385,257,239,190
2020년11월_계_90~99세,290,68,47,35,44,39,26,31
2020년11월_계_100세 이상,22,3,1,2,9,3,4,0
2020년11월_남_총인구수,"11,006","3,650","1,040","1,174","2,238","1,048","1,068",788
2020년11월_남_연령구간인구수,"11,006","3,650","1,040","1,174","2,238","1,048","1,068",788
2020년11월_남_0~9세,600,284,45,44,124,27,46,30
2020년11월_남_10~19세,848,363,62,63,201,46,65,48
2020년11월_남_20~29세,941,350,88,76,213,78,88,48
2020년11월_남_30~39세,810,334,61,70,168,69,70,38
2020년11월_남_40~49세,"1,467",558,113,135,319,108,131,103
2020년11월_남_50~59세,"2,082",642,200,206,442,218,234,140
2020년11월_남_60~69세,"2,132",581,189,290,396,256,219,201
2020년11월_남_70~79세,"1,359",354,173,196,247,147,129,113
