카테고리,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2020년08월_남_100세 이상,0,0,0,0,0
2020년08월_여_총인구수,"21,502","3,476","9,359","4,318","4,349"
2020년08월_여_연령구간인구수,"21,502","3,476","9,359","4,318","4,349"
2020년08월_여_0~9세,"1,969",306,605,672,386
2020년08월_여_10~19세,"3,046",447,"1,123",953,523
2020년08월_여_20~29세,"2,144",323,"1,072",336,413
2020년08월_여_30~39세,"2,370",349,836,714,471
2020년08월_여_40~49세,"4,331",603,"1,675","1,229",824
2020년08월_여_50~59세,"3,438",632,"1,769",277,760
2020년08월_여_60~69세,"2,214",466,"1,093",71,584
2020년08월_여_70~79세,"1,122",199,643,47,233
2020년08월_여_80~89세,724,111,462,18,133
2020년08월_여_90~99세,134,37,76,1,20
2020년08월_여_100세 이상,10,3,5,0,2
2020년09월_계_총인구수,"42,811","6,761","18,405","8,965","8,680"
2020년09월_계_연령구간인구수,"42,811","6,761","18,405","8,965","8,680"
2020년09월_계_0~9세,"3,973",615,"1,266","1,342",750
2020년09월_계_10~19세,"6,386",895,"2,380","2,012","1,099"
2020년09월_계_20~29세,"4,842",695,"2,359",792,996
2020년09월_계_30~39세,"4,643",657,"1,665","1,391",930
2020년09월_계_40~49세,"8,465","1,135","3,218","2,550","1,562"
2020년09월_계_50~59세,"6,891","1,245","3,457",705,"1,484"
2020년09월_계_60~69세,"4,352",930,"2,157",94,"1,171"
2020년09월_계_70~79세,"2,005",386,"1,115",54,450
2020년09월_계_80~89세,"1,073",156,689,23,205
2020년09월_계_90~99세,170,44,93,2,31
2020년09월_계_100세 이상,11,3,6,0,2
2020년09월_남_총인구수,"21,322","3,294","9,016","4,660","4,352"
2020년09월_남_연령구간인구수,"21,322","3,294","9,016","4,660","4,352"
2020년09월_남_0~9세,"2,016",308,671,668,369
2020년09월_남_10~19세,"3,336",447,"1,250","1,059",580
2020년09월_남_20~29세,"2,715",377,"1,286",464,588
2020년09월_남_30~39세,"2,289",313,828,684,464
2020년09월_남_40~49세,"4,117",530,"1,541","1,314",732
2020년09월_남_50~59세,"3,467",620,"1,683",429,735
2020년09월_남_60~69세,"2,106",458,"1,045",23,580
2020년09월_남_70~79세,889,186,469,12,222
2020년09월_남_80~89세,349,48,224,6,71
2020년09월_남_90~99세,38,7,19,1,11
2020년09월_남_100세 이상,0,0,0,0,0
2020년09월_여_총인구수,"21,489","3,467","9,389","4,305","4,328"
2020년09월_여_연령구간인구수,"21,489","3,467","9,389","4,305","4,328"
2020년09월_여_0~9세,"1,957",307,595,674,381
2020년09월_여_10~19세,"3,050",448,"1,130",953,519
2020년09월_여_20~29세,"2,127",318,"1,073",328,408
2020년09월_여_30~39세,"2,354",344,837,707,466
2020년09월_여_40~49세,"4,348",605,"1,677","1,236",830
2020년09월_여_50~59세,"3,424",625,"1,774",276,749
2020년09월_여_60~69세,"2,246",472,"1,112",71,591
2020년09월_여_70~79세,"1,116",200,646,42,228
2020년09월_여_80~89세,724,108,465,17,134
2020년09월_여_90~99세,132,37,74,1,20
2020년09월_여_100세 이상,11,3,6,0,2
2020년10월_계_총인구수,"42,767","6,903","18,417","8,854","8,593"
2020년10월_계_연령구간인구수,"42,767","6,903","18,417","8,854","8,593"
2020년10월_계_0~9세,"3,932",620,"1,264","1,310",738
2020년10월_계_10~19세,"6,339",898,"2,369","1,990","1,082"
2020년10월_계_20~29세,"4,849",712,"2,363",794,980
2020년10월_계_30~39세,"4,624",665,"1,678","1,361",920
2020년10월_계_40~49세,"8,436","1,166","3,203","2,523","1,544"
2020년10월_계_50~59세,"6,910","1,264","3,468",704,"1,474"
2020년10월_계_60~69세,"4,397",964,"2,171",91,"1,171"
2020년10월_계_70~79세,"2,016",402,"1,107",57,450
2020년10월_계_80~89세,"1,079",165,691,22,201
2020년10월_계_90~99세,174,44,97,2,31
2020년10월_계_100세 이상,11,3,6,0,2
2020년10월_남_총인구수,"21,306","3,377","9,009","4,612","4,308"
2020년10월_남_연령구간인구수,"21,306","3,377","9,009","4,612","4,308"
2020년10월_남_0~9세,"1,996",312,669,653,362
2020년10월_남_10~19세,"3,321",448,"1,247","1,053",573
2020년10월_남_20~29세,"2,697",383,"1,276",459,579
2020년10월_남_30~39세,"2,294",320,842,674,458
2020년10월_남_40~49세,"4,099",546,"1,530","1,299",724
2020년10월_남_50~59세,"3,482",637,"1,687",430,728
2020년10월_남_60~69세,"2,128",474,"1,050",22,582
2020년10월_남_70~79세,898,197,465,14,222
2020년10월_남_80~89세,351,53,222,7,69
2020년10월_남_90~99세,40,7,21,1,11
2020년10월_남_100세 이상,0,0,0,0,0
2020년10월_여_총인구수,"21,461","3,526","9,408","4,242","4,285"
2020년10월_여_연령구간인구수,"21,461","3,526","9,408","4,242","4,285"
2020년10월_여_0~9세,"1,936",308,595,657,376
2020년10월_여_10~19세,"3,018",450,"1,122",937,509
2020년10월_여_20~29세,"2,152",329,"1,087",335,401
2020년10월_여_30~39세,"2,330",345,836,687,462
2020년10월_여_40~49세,"4,337",620,"1,673","1,224",820
2020년10월_여_50~59세,"3,428",627,"1,781",274,746
2020년10월_여_60~69세,"2,269",490,"1,121",69,589
2020년10월_여_70~79세,"1,118",205,642,43,228
2020년10월_여_80~89세,728,112,469,15,132
2020년10월_여_90~99세,134,37,76,1,20
2020년10월_여_100세 이상,11,3,6,0,2
2020년11월_계_총인구수,"42,848","7,048","18,451","8,749","8,600"
2020년11월_계_연령구간인구수,"42,848","7,048","18,451","8,749","8,600"
2020년11월_계_0~9세,"3,892",615,"1,259","1,287",731
2020년11월_계_10~19세,"6,317",906,"2,371","1,963","1,077"
2020년11월_계_20~29세,"4,886",741,"2,353",805,987
2020년11월_계_30~39세,"4,623",687,"1,680","1,337",919
2020년11월_계_40~49세,"8,423","1,178","3,215","2,501","1,529"
2020년11월_계_50~59세,"6,949","1,292","3,477",692,"1,488"
2020년11월_계_60~69세,"4,448",997,"2,185",84,"1,182"
2020년11월_계_70~79세,"2,031",410,"1,113",56,452
2020년11월_계_80~89세,"1,090",173,693,22,202
2020년11월_계_90~99세,179,46,100,2,31
2020년11월_계_100세 이상,10,3,5,0,2
2020년11월_남_총인구수,"21,350","3,444","9,048","4,547","4,311"
2020년11월_남_연령구간인구수,"21,350","3,444","9,048","4,547","4,311"
2020년11월_남_0~9세,"1,975",313,667,638,357
2020년11월_남_10~19세,"3,311",453,"1,254","1,034",570
2020년11월_남_20~29세,"2,722",397,"1,278",464,583
2020년11월_남_30~39세,"2,304",328,857,659,460
2020년11월_남_40~49세,"4,087",551,"1,537","1,288",711
2020년11월_남_50~59세,"3,503",654,"1,689",423,737
2020년11월_남_60~69세,"2,151",485,"1,055",21,590
2020년11월_남_70~79세,904,201,468,12,223
2020년11월_남_80~89세,354,55,222,7,70
2020년11월_남_90~99세,39,7,21,1,10
2020년11월_남_100세 이상,0,0,0,0,0
2020년11월_여_총인구수,"21,498","3,604","9,403","4,202","4,289"
2020년11월_여_연령구간인구수,"21,498","3,604","9,403","4,202","4,289"
2020년11월_여_0~9세,"1,917",302,592,649,374
2020년11월_여_10~19세,"3,006",453,"1,117",929,507
2020년11월_여_20~29세,"2,164",344,"1,075",341,404
2020년11월_여_30~39세,"2,319",359,823,678,459
2020년11월_여_40~49세,"4,336",627,"1,678","1,213",818
2020년11월_여_50~59세,"3,446",638,"1,788",269,751
2020년11월_여_60~69세,"2,297",512,"1,130",63,592
2020년11월_여_70~79세,"1,127",209,645,44,229
2020년11월_여_80~89세,736,118,471,15,132
2020년11월_여_90~99세,140,39,79,1,21
2020년11월_여_100세 이상,10,3,5,0,2
2020년12월_계_총인구수,"42,822","7,076","18,498","8,630","8,618"
2020년12월_계_연령구간인구수,"42,822","7,076","18,498","8,630","8,618"
2020년12월_계_0~9세,"3,863",618,"1,254","1,259",732
2020년12월_계_10~19세,"6,300",901,"2,371","1,945","1,083"
2020년12월_계_20~29세,"4,903",751,"2,361",798,993
2020년12월_계_30~39세,"4,611",680,"1,708","1,311",912
2020년12월_계_40~49세,"8,393","1,171","3,217","2,475","1,530"
2020년12월_계_50~59세,"6,927","1,300","3,467",679,"1,481"
2020년12월_계_60~69세,"4,499","1,011","2,211",84,"1,193"
2020년12월_계_70~79세,"2,046",422,"1,109",55,460
2020년12월_계_80~89세,"1,095",173,699,22,201
2020년12월_계_90~99세,175,46,96,2,31
2020년12월_계_100세 이상,10,3,5,0,2
2020년12월_남_총인구수,"21,343","3,466","9,072","4,497","4,308"
2020년12월_남_연령구간인구수,"21,343","3,466","9,072","4,497","4,308"
2020년12월_남_0~9세,"1,952",318,656,624,354
2020년12월_남_10~19세,"3,317",453,"1,268","1,028",568
2020년12월_남_20~29세,"2,731",406,"1,274",460,591
2020년12월_남_30~39세,"2,300",323,877,651,449
2020년12월_남_40~49세,"4,078",545,"1,540","1,276",717
2020년12월_남_50~59세,"3,483",658,"1,677",416,732
2020년12월_남_60~69세,"2,179",497,"1,070",22,590
2020년12월_남_70~79세,910,204,468,12,226
2020년12월_남_80~89세,354,55,221,7,71
2020년12월_남_90~99세,39,7,21,1,10
2020년12월_남_100세 이상,0,0,0,0,0
2020년12월_여_총인구수,"21,479","3,610","9,426","4,133","4,310"
2020년12월_여_연령구간인구수,"21,479","3,610","9,426","4,133","4,310"
2020년12월_여_0~9세,"1,911",300,598,635,378
2020년12월_여_10~19세,"2,983",448,"1,103",917,515
2020년12월_여_20~29세,"2,172",345,"1,087",338,402
2020년12월_여_30~39세,"2,311",357,831,660,463
2020년12월_여_40~49세,"4,315",626,"1,677","1,199",813
2020년12월_여_50~59세,"3,444",642,"1,790",263,749
2020년12월_여_60~69세,"2,320",514,"1,141",62,603
2020년12월_여_70~79세,"1,136",218,641,43,234
2020년12월_여_80~89세,741,118,478,15,130
2020년12월_여_90~99세,136,39,75,1,21
2020년12월_여_100세 이상,10,3,5,0,2
2021년01월_계_총인구수,"42,809","7,090","18,535","8,573","8,611"
2021년01월_계_연령구간인구수,"42,809","7,090","18,535","8,573","8,611"
2021년01월_계_0~9세,"3,878",613,"1,243","1,285",737
2021년01월_계_10~19세,"6,278",904,"2,368","1,929","1,077"
2021년01월_계_20~29세,"4,902",756,"2,377",781,988
2021년01월_계_30~39세,"4,626",676,"1,713","1,328",909
2021년01월_계_40~49세,"8,333","1,172","3,201","2,423","1,537"
2021년01월_계_50~59세,"6,919","1,298","3,477",662,"1,482"
2021년01월_계_60~69세,"4,525","1,019","2,233",85,"1,188"
2021년01월_계_70~79세,"2,052",427,"1,109",56,460
2021년01월_계_80~89세,"1,108",176,711,21,200
2021년01월_계_90~99세,178,46,97,3,32
2021년01월_계_100세 이상,10,3,6,0,1
2021년01월_남_총인구수,"21,332","3,464","9,081","4,469","4,318"
2021년01월_남_연령구간인구수,"21,332","3,464","9,081","4,469","4,318"
2021년01월_남_0~9세,"1,968",316,647,646,359
2021년01월_남_10~19세,"3,306",454,"1,267","1,014",571
2021년01월_남_20~29세,"2,729",407,"1,276",457,589
2021년01월_남_30~39세,"2,305",319,877,662,447
2021년01월_남_40~49세,"4,051",548,"1,526","1,251",726
2021년01월_남_50~59세,"3,472",649,"1,697",399,727
2021년01월_남_60~69세,"2,190",503,"1,080",22,585
2021년01월_남_70~79세,913,205,466,11,231
2021년01월_남_80~89세,358,56,223,6,73
2021년01월_남_90~99세,40,7,22,1,10
2021년01월_남_100세 이상,0,0,0,0,0
2021년01월_여_총인구수,"21,477","3,626","9,454","4,104","4,293"
2021년01월_여_연령구간인구수,"21,477","3,626","9,454","4,104","4,293"
2021년01월_여_0~9세,"1,910",297,596,639,378
2021년01월_여_10~19세,"2,972",450,"1,101",915,506
2021년01월_여_20~29세,"2,173",349,"1,101",324,399
2021년01월_여_30~39세,"2,321",357,836,666,462
2021년01월_여_40~49세,"4,282",624,"1,675","1,172",811
2021년01월_여_50~59세,"3,447",649,"1,780",263,755
2021년01월_여_60~69세,"2,335",516,"1,153",63,603
2021년01월_여_70~79세,"1,139",222,643,45,229
2021년01월_여_80~89세,750,120,488,15,127
2021년01월_여_90~99세,138,39,75,2,22
2021년01월_여_100세 이상,10,3,6,0,1
2021년02월_계_총인구수,"43,128","7,223","18,600","8,633","8,672"
2021년02월_계_연령구간인구수,"43,128","7,223","18,600","8,633","8,672"
2021년02월_계_0~9세,"3,901",625,"1,241","1,292",743
2021년02월_계_10~19세,"6,309",910,"2,369","1,944","1,086"
2021년02월_계_20~29세,"4,911",763,"2,370",782,996
2021년02월_계_30~39세,"4,671",702,"1,731","1,332",906
2021년02월_계_40~49세,"8,413","1,200","3,200","2,451","1,562"
2021년02월_계_50~59세,"6,958","1,312","3,485",672,"1,489"
2021년02월_계_60~69세,"4,580","1,037","2,268",80,"1,195"
2021년02월_계_70~79세,"2,075",441,"1,115",57,462
2021년02월_계_80~89세,"1,121",184,715,21,201
2021년02월_계_90~99세,180,46,101,2,31
2021년02월_계_100세 이상,9,3,5,0,1
2021년02월_남_총인구수,"21,495","3,530","9,108","4,508","4,349"
2021년02월_남_연령구간인구수,"21,495","3,530","9,108","4,508","4,349"
2021년02월_남_0~9세,"1,977",326,643,642,366
2021년02월_남_10~19세,"3,325",459,"1,266","1,026",574
2021년02월_남_20~29세,"2,732",405,"1,269",466,592
2021년02월_남_30~39세,"2,329",330,883,669,447
2021년02월_남_40~49세,"4,096",567,"1,535","1,259",735
2021년02월_남_50~59세,"3,489",649,"1,698",407,735
2021년02월_남_60~69세,"2,215",518,"1,093",18,586
2021년02월_남_70~79세,930,209,477,14,230
2021년02월_남_80~89세,360,60,220,6,74
2021년02월_남_90~99세,42,7,24,1,10
2021년02월_남_100세 이상,0,0,0,0,0
2021년02월_여_총인구수,"21,633","3,693","9,492","4,125","4,323"
2021년02월_여_연령구간인구수,"21,633","3,693","9,492","4,125","4,323"
2021년02월_여_0~9세,"1,924",299,598,650,377
2021년02월_여_10~19세,"2,984",451,"1,103",918,512
2021년02월_여_20~29세,"2,179",358,"1,101",316,404
2021년02월_여_30~39세,"2,342",372,848,663,459
2021년02월_여_40~49세,"4,317",633,"1,665","1,192",827
2021년02월_여_50~59세,"3,469",663,"1,787",265,754
2021년02월_여_60~69세,"2,365",519,"1,175",62,609
2021년02월_여_70~79세,"1,145",232,638,43,232
2021년02월_여_80~89세,761,124,495,15,127
2021년02월_여_90~99세,138,39,77,1,21
2021년02월_여_100세 이상,9,3,5,0,1
2021년03월_계_총인구수,"43,182","7,240","18,546","8,737","8,659"
2021년03월_계_연령구간인구수,"43,182","7,240","18,546","8,737","8,659"
2021년03월_계_0~9세,"3,917",623,"1,228","1,330",736
2021년03월_계_10~19세,"6,294",911,"2,356","1,951","1,076"
2021년03월_계_20~29세,"4,918",774,"2,359",786,999
2021년03월_계_30~39세,"4,690",709,"1,730","1,354",897
