카테고리,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 남면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면,강원도 양구군 국토정중앙면
2020년07월_남_70~79세,888,404,201,123,70,90,
2020년07월_남_80~89세,374,175,83,48,35,33,
2020년07월_남_90~99세,38,19,8,7,2,2,
2020년07월_남_100세 이상,5,4,1,0,0,0,
2020년07월_여_총인구수,"10,520","6,967","1,527",865,547,614,
2020년07월_여_연령구간인구수,"10,520","6,967","1,527",865,547,614,
2020년07월_여_0~9세,876,748,54,36,25,13,
2020년07월_여_10~19세,"1,045",842,86,50,29,38,
2020년07월_여_20~29세,"1,026",733,104,101,43,45,
2020년07월_여_30~39세,"1,163",938,99,45,40,41,
2020년07월_여_40~49세,"1,169",879,126,73,33,58,
2020년07월_여_50~59세,"1,683","1,009",292,159,90,133,
2020년07월_여_60~69세,"1,541",842,312,151,121,115,
2020년07월_여_70~79세,"1,163",558,261,153,93,98,
2020년07월_여_80~89세,738,367,164,80,66,61,
2020년07월_여_90~99세,108,45,27,17,7,12,
2020년07월_여_100세 이상,8,6,2,0,0,0,
2020년08월_계_총인구수,"22,329","14,277","3,353","2,028","1,345","1,326",
2020년08월_계_연령구간인구수,"22,329","14,277","3,353","2,028","1,345","1,326",
2020년08월_계_0~9세,"1,767","1,491",118,70,49,39,
2020년08월_계_10~19세,"2,100","1,662",188,95,68,87,
2020년08월_계_20~29세,"3,099","1,840",418,443,281,117,
2020년08월_계_30~39세,"2,597","2,016",244,134,111,92,
2020년08월_계_40~49세,"2,567","1,875",304,160,84,144,
2020년08월_계_50~59세,"3,570","2,052",662,352,213,291,
2020년08월_계_60~69세,"3,312","1,766",675,345,265,261,
2020년08월_계_70~79세,"2,037",954,461,271,164,187,
2020년08월_계_80~89세,"1,122",548,246,134,100,94,
2020년08월_계_90~99세,144,62,34,24,10,14,
2020년08월_계_100세 이상,14,11,3,0,0,0,
2020년08월_남_총인구수,"11,816","7,327","1,822","1,160",794,713,
2020년08월_남_연령구간인구수,"11,816","7,327","1,822","1,160",794,713,
2020년08월_남_0~9세,897,751,62,34,25,25,
2020년08월_남_10~19세,"1,063",827,101,45,41,49,
2020년08월_남_20~29세,"2,060","1,099",312,342,235,72,
2020년08월_남_30~39세,"1,444","1,085",146,91,71,51,
2020년08월_남_40~49세,"1,397",994,179,89,49,86,
2020년08월_남_50~59세,"1,893","1,052",370,188,123,160,
2020년08월_남_60~69세,"1,760",918,360,193,144,145,
2020년08월_남_70~79세,881,400,200,121,70,90,
2020년08월_남_80~89세,378,178,83,50,34,33,
2020년08월_남_90~99세,37,18,8,7,2,2,
2020년08월_남_100세 이상,6,5,1,0,0,0,
2020년08월_여_총인구수,"10,513","6,950","1,531",868,551,613,
2020년08월_여_연령구간인구수,"10,513","6,950","1,531",868,551,613,
2020년08월_여_0~9세,870,740,56,36,24,14,
2020년08월_여_10~19세,"1,037",835,87,50,27,38,
2020년08월_여_20~29세,"1,039",741,106,101,46,45,
2020년08월_여_30~39세,"1,153",931,98,43,40,41,
2020년08월_여_40~49세,"1,170",881,125,71,35,58,
2020년08월_여_50~59세,"1,677","1,000",292,164,90,131,
2020년08월_여_60~69세,"1,552",848,315,152,121,116,
2020년08월_여_70~79세,"1,156",554,261,150,94,97,
2020년08월_여_80~89세,744,370,163,84,66,61,
2020년08월_여_90~99세,107,44,26,17,8,12,
2020년08월_여_100세 이상,8,6,2,0,0,0,
2020년09월_계_총인구수,"22,315","14,236","3,373","2,035","1,347","1,324",
2020년09월_계_연령구간인구수,"22,315","14,236","3,373","2,035","1,347","1,324",
2020년09월_계_0~9세,"1,767","1,482",122,74,49,40,
2020년09월_계_10~19세,"2,083","1,655",184,94,65,85,
2020년09월_계_20~29세,"3,111","1,834",428,442,289,118,
2020년09월_계_30~39세,"2,588","2,005",245,137,108,93,
2020년09월_계_40~49세,"2,556","1,864",309,157,85,141,
2020년09월_계_50~59세,"3,568","2,048",664,354,214,288,
2020년09월_계_60~69세,"3,322","1,773",677,346,262,264,
2020년09월_계_70~79세,"2,037",954,461,272,163,187,
2020년09월_계_80~89세,"1,122",547,245,135,101,94,
2020년09월_계_90~99세,147,63,35,24,11,14,
2020년09월_계_100세 이상,14,11,3,0,0,0,
2020년09월_남_총인구수,"11,814","7,309","1,833","1,163",798,711,
2020년09월_남_연령구간인구수,"11,814","7,309","1,833","1,163",798,711,
2020년09월_남_0~9세,901,748,64,37,26,26,
2020년09월_남_10~19세,"1,057",825,100,45,39,48,
2020년09월_남_20~29세,"2,067","1,096",317,340,242,72,
2020년09월_남_30~39세,"1,436","1,077",146,93,69,51,
2020년09월_남_40~49세,"1,392",989,183,87,49,84,
2020년09월_남_50~59세,"1,890","1,050",369,188,124,159,
2020년09월_남_60~69세,"1,766",921,363,194,143,145,
2020년09월_남_70~79세,881,399,201,122,69,90,
2020년09월_남_80~89세,380,181,80,50,35,34,
2020년09월_남_90~99세,38,18,9,7,2,2,
2020년09월_남_100세 이상,6,5,1,0,0,0,
2020년09월_여_총인구수,"10,501","6,927","1,540",872,549,613,
2020년09월_여_연령구간인구수,"10,501","6,927","1,540",872,549,613,
2020년09월_여_0~9세,866,734,58,37,23,14,
2020년09월_여_10~19세,"1,026",830,84,49,26,37,
2020년09월_여_20~29세,"1,044",738,111,102,47,46,
2020년09월_여_30~39세,"1,152",928,99,44,39,42,
2020년09월_여_40~49세,"1,164",875,126,70,36,57,
2020년09월_여_50~59세,"1,678",998,295,166,90,129,
2020년09월_여_60~69세,"1,556",852,314,152,119,119,
2020년09월_여_70~79세,"1,156",555,260,150,94,97,
2020년09월_여_80~89세,742,366,165,85,66,60,
2020년09월_여_90~99세,109,45,26,17,9,12,
2020년09월_여_100세 이상,8,6,2,0,0,0,
2020년10월_계_총인구수,"22,276","14,224","3,377","2,031","1,325","1,319",
2020년10월_계_연령구간인구수,"22,276","14,224","3,377","2,031","1,325","1,319",
2020년10월_계_0~9세,"1,744","1,463",119,73,49,40,
2020년10월_계_10~19세,"2,084","1,661",183,91,65,84,
2020년10월_계_20~29세,"3,097","1,825",439,439,275,119,
2020년10월_계_30~39세,"2,576","2,006",238,134,107,91,
2020년10월_계_40~49세,"2,562","1,872",308,159,83,140,
2020년10월_계_50~59세,"3,548","2,041",664,351,208,284,
2020년10월_계_60~69세,"3,335","1,776",678,350,264,267,
2020년10월_계_70~79세,"2,034",956,462,272,160,184,
2020년10월_계_80~89세,"1,133",548,247,139,102,97,
2020년10월_계_90~99세,149,65,36,23,12,13,
2020년10월_계_100세 이상,14,11,3,0,0,0,
2020년10월_남_총인구수,"11,793","7,309","1,839","1,159",777,709,
2020년10월_남_연령구간인구수,"11,793","7,309","1,839","1,159",777,709,
2020년10월_남_0~9세,890,738,63,37,26,26,
2020년10월_남_10~19세,"1,048",821,99,43,38,47,
2020년10월_남_20~29세,"2,065","1,100",326,337,228,74,
2020년10월_남_30~39세,"1,428","1,076",143,91,68,50,
2020년10월_남_40~49세,"1,394",992,181,90,47,84,
2020년10월_남_50~59세,"1,886","1,053",372,186,119,156,
2020년10월_남_60~69세,"1,772",921,362,196,145,148,
2020년10월_남_70~79세,883,404,202,121,67,89,
2020년10월_남_80~89세,383,180,81,52,37,33,
2020년10월_남_90~99세,38,19,9,6,2,2,
2020년10월_남_100세 이상,6,5,1,0,0,0,
2020년10월_여_총인구수,"10,483","6,915","1,538",872,548,610,
2020년10월_여_연령구간인구수,"10,483","6,915","1,538",872,548,610,
2020년10월_여_0~9세,854,725,56,36,23,14,
2020년10월_여_10~19세,"1,036",840,84,48,27,37,
2020년10월_여_20~29세,"1,032",725,113,102,47,45,
2020년10월_여_30~39세,"1,148",930,95,43,39,41,
2020년10월_여_40~49세,"1,168",880,127,69,36,56,
2020년10월_여_50~59세,"1,662",988,292,165,89,128,
2020년10월_여_60~69세,"1,563",855,316,154,119,119,
2020년10월_여_70~79세,"1,151",552,260,151,93,95,
2020년10월_여_80~89세,750,368,166,87,65,64,
2020년10월_여_90~99세,111,46,27,17,10,11,
2020년10월_여_100세 이상,8,6,2,0,0,0,
2020년11월_계_총인구수,"22,350","14,273","3,377","2,035","1,347","1,318",
2020년11월_계_연령구간인구수,"22,350","14,273","3,377","2,035","1,347","1,318",
2020년11월_계_0~9세,"1,719","1,454",112,70,43,40,
2020년11월_계_10~19세,"2,078","1,657",183,88,66,84,
2020년11월_계_20~29세,"3,167","1,861",438,444,307,117,
2020년11월_계_30~39세,"2,566","1,995",246,134,101,90,
2020년11월_계_40~49세,"2,570","1,887",303,159,81,140,
2020년11월_계_50~59세,"3,557","2,043",670,350,210,284,
2020년11월_계_60~69세,"3,357","1,796",675,353,264,269,
2020년11월_계_70~79세,"2,033",952,462,273,159,187,
2020년11월_계_80~89세,"1,138",553,248,140,103,94,
2020년11월_계_90~99세,151,64,37,24,13,13,
2020년11월_계_100세 이상,14,11,3,0,0,0,
2020년11월_남_총인구수,"11,867","7,337","1,849","1,169",800,712,
2020년11월_남_연령구간인구수,"11,867","7,337","1,849","1,169",800,712,
2020년11월_남_0~9세,871,728,60,36,21,26,
2020년11월_남_10~19세,"1,051",821,99,43,40,48,
2020년11월_남_20~29세,"2,130","1,128",332,341,256,73,
2020년11월_남_30~39세,"1,428","1,072",148,94,65,49,
2020년11월_남_40~49세,"1,400",999,180,90,47,84,
2020년11월_남_50~59세,"1,889","1,049",378,185,119,158,
2020년11월_남_60~69세,"1,787",933,359,200,146,149,
2020년11월_남_70~79세,879,401,201,120,66,91,
2020년11월_남_80~89세,389,183,82,53,38,33,
2020년11월_남_90~99세,37,18,9,7,2,1,
2020년11월_남_100세 이상,6,5,1,0,0,0,
2020년11월_여_총인구수,"10,483","6,936","1,528",866,547,606,
2020년11월_여_연령구간인구수,"10,483","6,936","1,528",866,547,606,
2020년11월_여_0~9세,848,726,52,34,22,14,
2020년11월_여_10~19세,"1,027",836,84,45,26,36,
2020년11월_여_20~29세,"1,037",733,106,103,51,44,
2020년11월_여_30~39세,"1,138",923,98,40,36,41,
2020년11월_여_40~49세,"1,170",888,123,69,34,56,
2020년11월_여_50~59세,"1,668",994,292,165,91,126,
2020년11월_여_60~69세,"1,570",863,316,153,118,120,
2020년11월_여_70~79세,"1,154",551,261,153,93,96,
2020년11월_여_80~89세,749,370,166,87,65,61,
2020년11월_여_90~99세,114,46,28,17,11,12,
2020년11월_여_100세 이상,8,6,2,0,0,0,
2020년12월_계_총인구수,"22,278","14,214","3,381","2,024","1,346","1,313",
2020년12월_계_연령구간인구수,"22,278","14,214","3,381","2,024","1,346","1,313",
2020년12월_계_0~9세,"1,702","1,437",115,65,45,40,
2020년12월_계_10~19세,"2,047","1,625",184,91,64,83,
2020년12월_계_20~29세,"3,171","1,869",436,442,307,117,
2020년12월_계_30~39세,"2,547","1,985",243,130,100,89,
2020년12월_계_40~49세,"2,556","1,873",302,158,83,140,
2020년12월_계_50~59세,"3,547","2,033",670,352,209,283,
2020년12월_계_60~69세,"3,365","1,803",677,351,263,271,
2020년12월_계_70~79세,"2,020",949,460,270,157,184,
2020년12월_계_80~89세,"1,160",564,256,141,105,94,
2020년12월_계_90~99세,148,65,34,24,13,12,
2020년12월_계_100세 이상,15,11,4,0,0,0,
2020년12월_남_총인구수,"11,829","7,295","1,858","1,164",803,709,
2020년12월_남_연령구간인구수,"11,829","7,295","1,858","1,164",803,709,
2020년12월_남_0~9세,861,719,62,32,22,26,
2020년12월_남_10~19세,"1,035",804,100,46,38,47,
2020년12월_남_20~29세,"2,132","1,127",335,339,259,72,
2020년12월_남_30~39세,"1,415","1,063",147,91,66,48,
2020년12월_남_40~49세,"1,396",992,180,93,47,84,
2020년12월_남_50~59세,"1,887","1,045",378,186,119,159,
2020년12월_남_60~69세,"1,788",933,360,199,146,150,
2020년12월_남_70~79세,873,402,200,118,64,89,
2020년12월_남_80~89세,398,186,86,53,40,33,
2020년12월_남_90~99세,38,19,9,7,2,1,
2020년12월_남_100세 이상,6,5,1,0,0,0,
2020년12월_여_총인구수,"10,449","6,919","1,523",860,543,604,
2020년12월_여_연령구간인구수,"10,449","6,919","1,523",860,543,604,
2020년12월_여_0~9세,841,718,53,33,23,14,
2020년12월_여_10~19세,"1,012",821,84,45,26,36,
2020년12월_여_20~29세,"1,039",742,101,103,48,45,
2020년12월_여_30~39세,"1,132",922,96,39,34,41,
2020년12월_여_40~49세,"1,160",881,122,65,36,56,
2020년12월_여_50~59세,"1,660",988,292,166,90,124,
2020년12월_여_60~69세,"1,577",870,317,152,117,121,
2020년12월_여_70~79세,"1,147",547,260,152,93,95,
2020년12월_여_80~89세,762,378,170,88,65,61,
2020년12월_여_90~99세,110,46,25,17,11,11,
2020년12월_여_100세 이상,9,6,3,0,0,0,
2021년01월_계_총인구수,"22,161","14,113",0,"2,015","1,341","1,323","3,369"
2021년01월_계_연령구간인구수,"22,161","14,113",0,"2,015","1,341","1,323","3,369"
2021년01월_계_0~9세,"1,685","1,426",0,65,43,40,111
2021년01월_계_10~19세,"1,988","1,573",0,87,62,85,181
2021년01월_계_20~29세,"3,142","1,850",0,436,305,116,435
2021년01월_계_30~39세,"2,524","1,958",0,132,100,90,244
2021년01월_계_40~49세,"2,544","1,869",0,152,83,143,297
2021년01월_계_50~59세,"3,536","2,030",0,356,209,284,657
2021년01월_계_60~69세,"3,386","1,809",0,350,264,273,690
2021년01월_계_70~79세,"2,027",951,0,269,158,187,462
2021년01월_계_80~89세,"1,161",569,0,144,104,92,252
2021년01월_계_90~99세,153,67,0,24,13,13,36
2021년01월_계_100세 이상,15,11,0,0,0,0,4
2021년01월_남_총인구수,"11,759","7,234",0,"1,156",797,713,"1,859"
2021년01월_남_연령구간인구수,"11,759","7,234",0,"1,156",797,713,"1,859"
2021년01월_남_0~9세,850,711,0,32,20,26,61
2021년01월_남_10~19세,"1,005",778,0,43,36,49,99
2021년01월_남_20~29세,"2,113","1,114",0,334,256,70,339
2021년01월_남_30~39세,"1,402","1,045",0,92,67,49,149
2021년01월_남_40~49세,"1,388",988,0,89,48,87,176
2021년01월_남_50~59세,"1,882","1,048",0,188,117,159,370
2021년01월_남_60~69세,"1,799",934,0,199,147,150,369
2021년01월_남_70~79세,874,401,0,117,65,90,201
2021년01월_남_80~89세,400,189,0,55,39,32,85
2021년01월_남_90~99세,40,21,0,7,2,1,9
2021년01월_남_100세 이상,6,5,0,0,0,0,1
2021년01월_여_총인구수,"10,402","6,879",0,859,544,610,"1,510"
2021년01월_여_연령구간인구수,"10,402","6,879",0,859,544,610,"1,510"
2021년01월_여_0~9세,835,715,0,33,23,14,50
2021년01월_여_10~19세,983,795,0,44,26,36,82
2021년01월_여_20~29세,"1,029",736,0,102,49,46,96
2021년01월_여_30~39세,"1,122",913,0,40,33,41,95
2021년01월_여_40~49세,"1,156",881,0,63,35,56,121
2021년01월_여_50~59세,"1,654",982,0,168,92,125,287
2021년01월_여_60~69세,"1,587",875,0,151,117,123,321
2021년01월_여_70~79세,"1,153",550,0,152,93,97,261
2021년01월_여_80~89세,761,380,0,89,65,60,167
2021년01월_여_90~99세,113,46,0,17,11,12,27
2021년01월_여_100세 이상,9,6,0,0,0,0,3
2021년02월_계_총인구수,"22,123","14,003",,"2,084","1,335","1,319","3,382"
2021년02월_계_연령구간인구수,"22,123","14,003",,"2,084","1,335","1,319","3,382"
2021년02월_계_0~9세,"1,704","1,419",,90,43,39,113
2021년02월_계_10~19세,"1,950","1,538",,90,58,83,181
2021년02월_계_20~29세,"3,133","1,803",,465,301,120,444
2021년02월_계_30~39세,"2,540","1,958",,144,101,89,248
2021년02월_계_40~49세,"2,518","1,848",,155,80,141,294
2021년02월_계_50~59세,"3,510","2,016",,352,213,282,647
2021년02월_계_60~69세,"3,413","1,817",,354,267,275,700
2021년02월_계_70~79세,"2,018",953,,267,154,186,458
2021년02월_계_80~89세,"1,165",569,,142,105,92,257
2021년02월_계_90~99세,157,71,,25,13,12,36
2021년02월_계_100세 이상,15,11,,0,0,0,4
2021년02월_남_총인구수,"11,748","7,178",,"1,189",793,712,"1,876"
2021년02월_남_연령구간인구수,"11,748","7,178",,"1,189",793,712,"1,876"
2021년02월_남_0~9세,870,712,,48,21,25,64
2021년02월_남_10~19세,983,762,,43,33,48,97
2021년02월_남_20~29세,"2,105","1,078",,348,255,75,349
2021년02월_남_30~39세,"1,414","1,051",,96,66,48,153
2021년02월_남_40~49세,"1,364",969,,90,44,84,177
2021년02월_남_50~59세,"1,876","1,047",,185,122,157,365
2021년02월_남_60~69세,"1,811",938,,200,147,153,373
2021년02월_남_70~79세,872,404,,118,63,89,198
2021년02월_남_80~89세,405,190,,53,40,32,90
2021년02월_남_90~99세,42,22,,8,2,1,9
2021년02월_남_100세 이상,6,5,,0,0,0,1
2021년02월_여_총인구수,"10,375","6,825",,895,542,607,"1,506"
2021년02월_여_연령구간인구수,"10,375","6,825",,895,542,607,"1,506"
