카테고리,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2020년02월_계_연령구간인구수,"226,900","36,019","19,755","59,250","31,547","16,255","64,074"
2020년02월_계_0~9세,"24,941","4,206",977,"7,447","4,184","1,520","6,607"
2020년02월_계_10~19세,"24,888","4,309","1,231","6,666","3,242","2,033","7,407"
2020년02월_계_20~29세,"30,559","4,462","3,656","6,782","4,053","2,195","9,411"
2020년02월_계_30~39세,"39,752","5,830","4,849","10,055","6,128","2,529","10,361"
2020년02월_계_40~49세,"42,358","6,730","3,570","11,000","5,892","3,112","12,054"
2020년02월_계_50~59세,"32,471","5,300","2,746","8,231","4,141","2,444","9,609"
2020년02월_계_60~69세,"18,316","2,903","1,610","5,171","2,407","1,339","4,886"
2020년02월_계_70~79세,"9,364","1,534",785,"2,654","1,037",718,"2,636"
2020년02월_계_80~89세,"3,757",654,293,"1,109",393,335,973
2020년02월_계_90~99세,449,84,32,122,64,25,122
2020년02월_계_100세 이상,45,7,6,13,6,5,8
2020년02월_남_총인구수,"117,239","18,041","11,559","29,894","16,246","8,370","33,129"
2020년02월_남_연령구간인구수,"117,239","18,041","11,559","29,894","16,246","8,370","33,129"
2020년02월_남_0~9세,"12,752","2,150",495,"3,801","2,142",795,"3,369"
2020년02월_남_10~19세,"12,785","2,133",642,"3,366","1,681","1,053","3,910"
2020년02월_남_20~29세,"16,455","2,338","2,072","3,589","2,156","1,187","5,113"
2020년02월_남_30~39세,"21,333","2,973","3,093","5,177","3,221","1,368","5,501"
2020년02월_남_40~49세,"22,438","3,414","2,200","5,811","3,103","1,604","6,306"
2020년02월_남_50~59세,"16,857","2,709","1,699","4,083","2,080","1,281","5,005"
2020년02월_남_60~69세,"9,018","1,424",860,"2,484","1,202",644,"2,404"
2020년02월_남_70~79세,"4,138",642,374,"1,177",508,313,"1,124"
2020년02월_남_80~89세,"1,352",239,116,375,140,117,365
2020년02월_남_90~99세,98,16,6,28,12,5,31
2020년02월_남_100세 이상,13,3,2,3,1,3,1
2020년02월_여_총인구수,"109,661","17,978","8,196","29,356","15,301","7,885","30,945"
2020년02월_여_연령구간인구수,"109,661","17,978","8,196","29,356","15,301","7,885","30,945"
2020년02월_여_0~9세,"12,189","2,056",482,"3,646","2,042",725,"3,238"
2020년02월_여_10~19세,"12,103","2,176",589,"3,300","1,561",980,"3,497"
2020년02월_여_20~29세,"14,104","2,124","1,584","3,193","1,897","1,008","4,298"
2020년02월_여_30~39세,"18,419","2,857","1,756","4,878","2,907","1,161","4,860"
2020년02월_여_40~49세,"19,920","3,316","1,370","5,189","2,789","1,508","5,748"
2020년02월_여_50~59세,"15,614","2,591","1,047","4,148","2,061","1,163","4,604"
2020년02월_여_60~69세,"9,298","1,479",750,"2,687","1,205",695,"2,482"
2020년02월_여_70~79세,"5,226",892,411,"1,477",529,405,"1,512"
2020년02월_여_80~89세,"2,405",415,177,734,253,218,608
2020년02월_여_90~99세,351,68,26,94,52,20,91
2020년02월_여_100세 이상,32,4,4,10,5,2,7
2020년03월_계_총인구수,"227,112","36,075","19,795","59,258","31,630","16,226","64,128"
2020년03월_계_연령구간인구수,"227,112","36,075","19,795","59,258","31,630","16,226","64,128"
2020년03월_계_0~9세,"24,772","4,188",965,"7,392","4,146","1,503","6,578"
2020년03월_계_10~19세,"24,875","4,294","1,223","6,673","3,268","2,022","7,395"
2020년03월_계_20~29세,"30,648","4,476","3,655","6,826","4,073","2,187","9,431"
2020년03월_계_30~39세,"39,674","5,825","4,873","10,006","6,113","2,499","10,358"
2020년03월_계_40~49세,"42,365","6,730","3,576","11,011","5,914","3,116","12,018"
2020년03월_계_50~59세,"32,576","5,333","2,763","8,223","4,157","2,453","9,647"
2020년03월_계_60~69세,"18,511","2,933","1,626","5,221","2,437","1,353","4,941"
2020년03월_계_70~79세,"9,398","1,540",780,"2,664","1,052",723,"2,639"
2020년03월_계_80~89세,"3,788",663,295,"1,106",400,338,986
2020년03월_계_90~99세,459,85,33,123,64,27,127
2020년03월_계_100세 이상,46,8,6,13,6,5,8
2020년03월_남_총인구수,"117,359","18,076","11,604","29,873","16,275","8,369","33,162"
2020년03월_남_연령구간인구수,"117,359","18,076","11,604","29,873","16,275","8,369","33,162"
2020년03월_남_0~9세,"12,680","2,148",487,"3,765","2,124",792,"3,364"
2020년03월_남_10~19세,"12,748","2,120",635,"3,369","1,681","1,043","3,900"
2020년03월_남_20~29세,"16,517","2,346","2,081","3,611","2,166","1,193","5,120"
2020년03월_남_30~39세,"21,324","2,983","3,115","5,149","3,219","1,354","5,504"
2020년03월_남_40~49세,"22,434","3,423","2,206","5,806","3,100","1,608","6,291"
2020년03월_남_50~59세,"16,902","2,719","1,715","4,070","2,091","1,289","5,018"
2020년03월_남_60~69세,"9,131","1,436",872,"2,516","1,220",650,"2,437"
2020년03월_남_70~79세,"4,146",636,368,"1,182",517,316,"1,127"
2020년03월_남_80~89세,"1,366",247,117,374,145,116,367
2020년03월_남_90~99세,97,14,6,28,11,5,33
2020년03월_남_100세 이상,14,4,2,3,1,3,1
2020년03월_여_총인구수,"109,753","17,999","8,191","29,385","15,355","7,857","30,966"
2020년03월_여_연령구간인구수,"109,753","17,999","8,191","29,385","15,355","7,857","30,966"
2020년03월_여_0~9세,"12,092","2,040",478,"3,627","2,022",711,"3,214"
2020년03월_여_10~19세,"12,127","2,174",588,"3,304","1,587",979,"3,495"
2020년03월_여_20~29세,"14,131","2,130","1,574","3,215","1,907",994,"4,311"
2020년03월_여_30~39세,"18,350","2,842","1,758","4,857","2,894","1,145","4,854"
2020년03월_여_40~49세,"19,931","3,307","1,370","5,205","2,814","1,508","5,727"
2020년03월_여_50~59세,"15,674","2,614","1,048","4,153","2,066","1,164","4,629"
2020년03월_여_60~69세,"9,380","1,497",754,"2,705","1,217",703,"2,504"
2020년03월_여_70~79세,"5,252",904,412,"1,482",535,407,"1,512"
2020년03월_여_80~89세,"2,422",416,178,732,255,222,619
2020년03월_여_90~99세,362,71,27,95,53,22,94
2020년03월_여_100세 이상,32,4,4,10,5,2,7
2020년04월_계_총인구수,"227,550","36,188","19,823","59,309","31,679","16,226","64,325"
2020년04월_계_연령구간인구수,"227,550","36,188","19,823","59,309","31,679","16,226","64,325"
2020년04월_계_0~9세,"24,690","4,189",967,"7,341","4,133","1,493","6,567"
2020년04월_계_10~19세,"24,903","4,283","1,212","6,703","3,276","2,016","7,413"
2020년04월_계_20~29세,"30,832","4,503","3,684","6,857","4,102","2,200","9,486"
2020년04월_계_30~39세,"39,570","5,818","4,855","9,968","6,106","2,489","10,334"
2020년04월_계_40~49세,"42,475","6,767","3,589","11,032","5,923","3,106","12,058"
2020년04월_계_50~59세,"32,654","5,341","2,777","8,228","4,163","2,461","9,684"
2020년04월_계_60~69세,"18,645","2,972","1,618","5,264","2,447","1,362","4,982"
2020년04월_계_70~79세,"9,439","1,552",777,"2,662","1,053",730,"2,665"
2020년04월_계_80~89세,"3,826",669,305,"1,114",404,336,998
2020년04월_계_90~99세,468,85,32,127,66,28,130
2020년04월_계_100세 이상,48,9,7,13,6,5,8
2020년04월_남_총인구수,"117,610","18,145","11,621","29,897","16,299","8,379","33,269"
2020년04월_남_연령구간인구수,"117,610","18,145","11,621","29,897","16,299","8,379","33,269"
2020년04월_남_0~9세,"12,631","2,153",483,"3,740","2,115",791,"3,349"
2020년04월_남_10~19세,"12,747","2,107",628,"3,381","1,680","1,039","3,912"
2020년04월_남_20~29세,"16,621","2,370","2,094","3,618","2,185","1,204","5,150"
2020년04월_남_30~39세,"21,299","2,983","3,115","5,131","3,220","1,352","5,498"
2020년04월_남_40~49세,"22,486","3,441","2,209","5,827","3,095","1,599","6,315"
2020년04월_남_50~59세,"16,967","2,721","1,727","4,082","2,103","1,298","5,036"
2020년04월_남_60~69세,"9,198","1,465",869,"2,529","1,226",653,"2,456"
2020년04월_남_70~79세,"4,160",637,365,"1,181",514,320,"1,143"
2020년04월_남_80~89세,"1,391",251,123,377,149,114,377
2020년04월_남_90~99세,96,13,6,28,11,6,32
2020년04월_남_100세 이상,14,4,2,3,1,3,1
2020년04월_여_총인구수,"109,940","18,043","8,202","29,412","15,380","7,847","31,056"
2020년04월_여_연령구간인구수,"109,940","18,043","8,202","29,412","15,380","7,847","31,056"
2020년04월_여_0~9세,"12,059","2,036",484,"3,601","2,018",702,"3,218"
2020년04월_여_10~19세,"12,156","2,176",584,"3,322","1,596",977,"3,501"
2020년04월_여_20~29세,"14,211","2,133","1,590","3,239","1,917",996,"4,336"
2020년04월_여_30~39세,"18,271","2,835","1,740","4,837","2,886","1,137","4,836"
2020년04월_여_40~49세,"19,989","3,326","1,380","5,205","2,828","1,507","5,743"
2020년04월_여_50~59세,"15,687","2,620","1,050","4,146","2,060","1,163","4,648"
2020년04월_여_60~69세,"9,447","1,507",749,"2,735","1,221",709,"2,526"
2020년04월_여_70~79세,"5,279",915,412,"1,481",539,410,"1,522"
2020년04월_여_80~89세,"2,435",418,182,737,255,222,621
2020년04월_여_90~99세,372,72,26,99,55,22,98
2020년04월_여_100세 이상,34,5,5,10,5,2,7
2020년05월_계_총인구수,"227,749","36,188","19,923","59,268","31,751","16,221","64,398"
2020년05월_계_연령구간인구수,"227,749","36,188","19,923","59,268","31,751","16,221","64,398"
2020년05월_계_0~9세,"24,541","4,179",957,"7,290","4,112","1,478","6,525"
2020년05월_계_10~19세,"24,851","4,244","1,229","6,689","3,287","2,011","7,391"
2020년05월_계_20~29세,"30,909","4,506","3,715","6,878","4,092","2,206","9,512"
2020년05월_계_30~39세,"39,553","5,810","4,853","9,922","6,131","2,473","10,364"
2020년05월_계_40~49세,"42,500","6,768","3,618","11,029","5,937","3,112","12,036"
2020년05월_계_50~59세,"32,767","5,354","2,796","8,238","4,188","2,467","9,724"
2020년05월_계_60~69세,"18,778","3,002","1,630","5,294","2,460","1,371","5,021"
2020년05월_계_70~79세,"9,479","1,559",778,"2,667","1,064",737,"2,674"
2020년05월_계_80~89세,"3,846",671,308,"1,118",409,332,"1,008"
2020년05월_계_90~99세,477,86,32,130,65,29,135
2020년05월_계_100세 이상,48,9,7,13,6,5,8
2020년05월_남_총인구수,"117,796","18,141","11,691","29,901","16,333","8,378","33,352"
2020년05월_남_연령구간인구수,"117,796","18,141","11,691","29,901","16,333","8,378","33,352"
2020년05월_남_0~9세,"12,542","2,144",480,"3,718","2,107",780,"3,313"
2020년05월_남_10~19세,"12,733","2,089",634,"3,376","1,674","1,045","3,915"
2020년05월_남_20~29세,"16,683","2,368","2,100","3,644","2,186","1,204","5,181"
2020년05월_남_30~39세,"21,329","2,980","3,123","5,106","3,227","1,346","5,547"
2020년05월_남_40~49세,"22,496","3,436","2,229","5,828","3,109","1,595","6,299"
2020년05월_남_50~59세,"17,077","2,741","1,747","4,103","2,117","1,306","5,063"
2020년05월_남_60~69세,"9,263","1,475",878,"2,543","1,234",656,"2,477"
2020년05월_남_70~79세,"4,162",641,367,"1,170",516,324,"1,144"
2020년05월_남_80~89세,"1,399",249,125,381,152,113,379
2020년05월_남_90~99세,98,14,6,29,10,6,33
2020년05월_남_100세 이상,14,4,2,3,1,3,1
2020년05월_여_총인구수,"109,953","18,047","8,232","29,367","15,418","7,843","31,046"
2020년05월_여_연령구간인구수,"109,953","18,047","8,232","29,367","15,418","7,843","31,046"
2020년05월_여_0~9세,"11,999","2,035",477,"3,572","2,005",698,"3,212"
2020년05월_여_10~19세,"12,118","2,155",595,"3,313","1,613",966,"3,476"
2020년05월_여_20~29세,"14,226","2,138","1,615","3,234","1,906","1,002","4,331"
2020년05월_여_30~39세,"18,224","2,830","1,730","4,816","2,904","1,127","4,817"
2020년05월_여_40~49세,"20,004","3,332","1,389","5,201","2,828","1,517","5,737"
2020년05월_여_50~59세,"15,690","2,613","1,049","4,135","2,071","1,161","4,661"
2020년05월_여_60~69세,"9,515","1,527",752,"2,751","1,226",715,"2,544"
2020년05월_여_70~79세,"5,317",918,411,"1,497",548,413,"1,530"
2020년05월_여_80~89세,"2,447",422,183,737,257,219,629
2020년05월_여_90~99세,379,72,26,101,55,23,102
2020년05월_여_100세 이상,34,5,5,10,5,2,7
2020년06월_계_총인구수,"228,111","36,243","19,925","59,393","31,862","16,204","64,484"
2020년06월_계_연령구간인구수,"228,111","36,243","19,925","59,393","31,862","16,204","64,484"
2020년06월_계_0~9세,"24,491","4,186",966,"7,249","4,125","1,473","6,492"
2020년06월_계_10~19세,"24,838","4,242","1,215","6,716","3,276","2,006","7,383"
2020년06월_계_20~29세,"30,949","4,524","3,702","6,880","4,104","2,199","9,540"
2020년06월_계_30~39세,"39,496","5,811","4,849","9,913","6,131","2,456","10,336"
2020년06월_계_40~49세,"42,651","6,770","3,635","11,078","5,977","3,112","12,079"
2020년06월_계_50~59세,"32,796","5,344","2,779","8,259","4,198","2,470","9,746"
2020년06월_계_60~69세,"18,967","3,026","1,648","5,353","2,495","1,376","5,069"
2020년06월_계_70~79세,"9,535","1,570",785,"2,684","1,072",745,"2,679"
2020년06월_계_80~89세,"3,861",675,307,"1,117",413,333,"1,016"
2020년06월_계_90~99세,479,86,32,131,65,29,136
2020년06월_계_100세 이상,48,9,7,13,6,5,8
2020년06월_남_총인구수,"117,949","18,155","11,689","29,958","16,377","8,366","33,404"
2020년06월_남_연령구간인구수,"117,949","18,155","11,689","29,958","16,377","8,366","33,404"
2020년06월_남_0~9세,"12,497","2,158",480,"3,679","2,115",781,"3,284"
2020년06월_남_10~19세,"12,732","2,084",631,"3,396","1,664","1,036","3,921"
2020년06월_남_20~29세,"16,713","2,371","2,092","3,648","2,195","1,208","5,199"
2020년06월_남_30~39세,"21,267","2,983","3,106","5,102","3,211","1,335","5,530"
2020년06월_남_40~49세,"22,592","3,433","2,244","5,871","3,129","1,589","6,326"
2020년06월_남_50~59세,"17,101","2,729","1,739","4,120","2,122","1,314","5,077"
2020년06월_남_60~69세,"9,338","1,485",890,"2,554","1,253",655,"2,501"
2020년06월_남_70~79세,"4,200",643,374,"1,176",527,329,"1,151"
2020년06월_남_80~89세,"1,398",251,125,381,150,110,381
2020년06월_남_90~99세,97,14,6,28,10,6,33
2020년06월_남_100세 이상,14,4,2,3,1,3,1
2020년06월_여_총인구수,"110,162","18,088","8,236","29,435","15,485","7,838","31,080"
2020년06월_여_연령구간인구수,"110,162","18,088","8,236","29,435","15,485","7,838","31,080"
2020년06월_여_0~9세,"11,994","2,028",486,"3,570","2,010",692,"3,208"
2020년06월_여_10~19세,"12,106","2,158",584,"3,320","1,612",970,"3,462"
2020년06월_여_20~29세,"14,236","2,153","1,610","3,232","1,909",991,"4,341"
2020년06월_여_30~39세,"18,229","2,828","1,743","4,811","2,920","1,121","4,806"
2020년06월_여_40~49세,"20,059","3,337","1,391","5,207","2,848","1,523","5,753"
2020년06월_여_50~59세,"15,695","2,615","1,040","4,139","2,076","1,156","4,669"
2020년06월_여_60~69세,"9,629","1,541",758,"2,799","1,242",721,"2,568"
2020년06월_여_70~79세,"5,335",927,411,"1,508",545,416,"1,528"
2020년06월_여_80~89세,"2,463",424,182,736,263,223,635
2020년06월_여_90~99세,382,72,26,103,55,23,103
2020년06월_여_100세 이상,34,5,5,10,5,2,7
2020년07월_계_총인구수,"228,323","36,256","19,976","59,461","31,935","16,190","64,505"
2020년07월_계_연령구간인구수,"228,323","36,256","19,976","59,461","31,935","16,190","64,505"
2020년07월_계_0~9세,"24,399","4,172",973,"7,212","4,119","1,476","6,447"
2020년07월_계_10~19세,"24,886","4,262","1,221","6,733","3,298","2,006","7,366"
2020년07월_계_20~29세,"30,922","4,511","3,680","6,906","4,091","2,177","9,557"
2020년07월_계_30~39세,"39,380","5,796","4,835","9,860","6,108","2,444","10,337"
2020년07월_계_40~49세,"42,815","6,776","3,666","11,147","6,025","3,115","12,086"
2020년07월_계_50~59세,"32,853","5,344","2,803","8,262","4,218","2,478","9,748"
2020년07월_계_60~69세,"19,105","3,052","1,666","5,387","2,509","1,381","5,110"
2020년07월_계_70~79세,"9,563","1,564",788,"2,695","1,079",748,"2,689"
2020년07월_계_80~89세,"3,872",686,305,"1,115",414,331,"1,021"
2020년07월_계_90~99세,480,84,32,131,68,29,136
2020년07월_계_100세 이상,48,9,7,13,6,5,8
2020년07월_남_총인구수,"118,057","18,153","11,729","30,011","16,384","8,340","33,440"
2020년07월_남_연령구간인구수,"118,057","18,153","11,729","30,011","16,384","8,340","33,440"
2020년07월_남_0~9세,"12,449","2,149",486,"3,674","2,108",780,"3,252"
2020년07월_남_10~19세,"12,740","2,096",628,"3,398","1,671","1,037","3,910"
2020년07월_남_20~29세,"16,703","2,358","2,077","3,672","2,172","1,191","5,233"
2020년07월_남_30~39세,"21,239","2,981","3,116","5,087","3,196","1,324","5,535"
2020년07월_남_40~49세,"22,660","3,430","2,261","5,889","3,156","1,581","6,343"
2020년07월_남_50~59세,"17,116","2,721","1,751","4,137","2,130","1,314","5,063"
2020년07월_남_60~69세,"9,413","1,504",904,"2,555","1,256",665,"2,529"
2020년07월_남_70~79세,"4,214",642,371,"1,186",532,330,"1,153"
2020년07월_남_80~89세,"1,409",254,127,381,151,109,387
2020년07월_남_90~99세,100,14,6,29,11,6,34
2020년07월_남_100세 이상,14,4,2,3,1,3,1
2020년07월_여_총인구수,"110,266","18,103","8,247","29,450","15,551","7,850","31,065"
2020년07월_여_연령구간인구수,"110,266","18,103","8,247","29,450","15,551","7,850","31,065"
2020년07월_여_0~9세,"11,950","2,023",487,"3,538","2,011",696,"3,195"
2020년07월_여_10~19세,"12,146","2,166",593,"3,335","1,627",969,"3,456"
2020년07월_여_20~29세,"14,219","2,153","1,603","3,234","1,919",986,"4,324"
2020년07월_여_30~39세,"18,141","2,815","1,719","4,773","2,912","1,120","4,802"
2020년07월_여_40~49세,"20,155","3,346","1,405","5,258","2,869","1,534","5,743"
2020년07월_여_50~59세,"15,737","2,623","1,052","4,125","2,088","1,164","4,685"
2020년07월_여_60~69세,"9,692","1,548",762,"2,832","1,253",716,"2,581"
2020년07월_여_70~79세,"5,349",922,417,"1,509",547,418,"1,536"
2020년07월_여_80~89세,"2,463",432,178,734,263,222,634
2020년07월_여_90~99세,380,70,26,102,57,23,102
2020년07월_여_100세 이상,34,5,5,10,5,2,7
2020년08월_계_총인구수,"228,768","36,119","19,955","60,210","31,920","16,157","64,407"
2020년08월_계_연령구간인구수,"228,768","36,119","19,955","60,210","31,920","16,157","64,407"
2020년08월_계_0~9세,"24,291","4,129",955,"7,275","4,109","1,469","6,354"
2020년08월_계_10~19세,"24,888","4,243","1,198","6,835","3,286","1,983","7,343"
2020년08월_계_20~29세,"30,983","4,475","3,688","6,997","4,085","2,169","9,569"
2020년08월_계_30~39세,"39,348","5,732","4,818","10,001","6,086","2,424","10,287"
2020년08월_계_40~49세,"43,015","6,785","3,671","11,348","6,038","3,114","12,059"
2020년08월_계_50~59세,"32,915","5,336","2,793","8,336","4,201","2,479","9,770"
2020년08월_계_60~69세,"19,293","3,070","1,689","5,435","2,547","1,399","5,153"
2020년08월_계_70~79세,"9,600","1,568",799,"2,709","1,077",755,"2,692"
2020년08월_계_80~89세,"3,899",689,303,"1,129",414,329,"1,035"
2020년08월_계_90~99세,491,84,34,133,71,31,138
2020년08월_계_100세 이상,45,8,7,12,6,5,7
2020년08월_남_총인구수,"118,304","18,110","11,723","30,397","16,379","8,321","33,374"
2020년08월_남_연령구간인구수,"118,304","18,110","11,723","30,397","16,379","8,321","33,374"
2020년08월_남_0~9세,"12,367","2,127",479,"3,693","2,092",777,"3,199"
2020년08월_남_10~19세,"12,728","2,093",604,"3,458","1,669","1,022","3,882"
2020년08월_남_20~29세,"16,762","2,343","2,083","3,719","2,170","1,195","5,252"
2020년08월_남_30~39세,"21,231","2,950","3,110","5,163","3,192","1,317","5,499"
2020년08월_남_40~49세,"22,804","3,442","2,273","5,995","3,173","1,580","6,341"
2020년08월_남_50~59세,"17,131","2,722","1,747","4,185","2,110","1,307","5,060"
2020년08월_남_60~69세,"9,511","1,510",916,"2,575","1,279",676,"2,555"
2020년08월_남_70~79세,"4,236",652,375,"1,189",535,329,"1,156"
2020년08월_남_80~89세,"1,420",254,127,388,147,109,395
2020년08월_남_90~99세,101,14,7,29,11,6,34
2020년08월_남_100세 이상,13,3,2,3,1,3,1
2020년08월_여_총인구수,"110,464","18,009","8,232","29,813","15,541","7,836","31,033"
2020년08월_여_연령구간인구수,"110,464","18,009","8,232","29,813","15,541","7,836","31,033"
2020년08월_여_0~9세,"11,924","2,002",476,"3,582","2,017",692,"3,155"
2020년08월_여_10~19세,"12,160","2,150",594,"3,377","1,617",961,"3,461"
2020년08월_여_20~29세,"14,221","2,132","1,605","3,278","1,915",974,"4,317"
2020년08월_여_30~39세,"18,117","2,782","1,708","4,838","2,894","1,107","4,788"
2020년08월_여_40~49세,"20,211","3,343","1,398","5,353","2,865","1,534","5,718"
2020년08월_여_50~59세,"15,784","2,614","1,046","4,151","2,091","1,172","4,710"
2020년08월_여_60~69세,"9,782","1,560",773,"2,860","1,268",723,"2,598"
2020년08월_여_70~79세,"5,364",916,424,"1,520",542,426,"1,536"
2020년08월_여_80~89세,"2,479",435,176,741,267,220,640
2020년08월_여_90~99세,390,70,27,104,60,25,104
2020년08월_여_100세 이상,32,5,5,9,5,2,6
2020년09월_계_총인구수,"229,249","36,095","20,008","60,564","31,916","16,195","64,471"
2020년09월_계_연령구간인구수,"229,249","36,095","20,008","60,564","31,916","16,195","64,471"
2020년09월_계_0~9세,"24,198","4,100",948,"7,281","4,094","1,456","6,319"
2020년09월_계_10~19세,"24,912","4,249","1,186","6,875","3,289","1,987","7,326"
2020년09월_계_20~29세,"31,100","4,465","3,739","7,014","4,090","2,187","9,605"
2020년09월_계_30~39세,"39,262","5,697","4,792","10,031","6,099","2,415","10,228"
2020년09월_계_40~49세,"43,141","6,792","3,695","11,450","6,007","3,108","12,089"
2020년09월_계_50~59세,"33,044","5,345","2,798","8,399","4,216","2,488","9,798"
2020년09월_계_60~69세,"19,477","3,086","1,703","5,494","2,554","1,424","5,216"
2020년09월_계_70~79세,"9,654","1,579",806,"2,742","1,069",764,"2,694"
2020년09월_계_80~89세,"3,906",687,298,"1,127",419,330,"1,045"
2020년09월_계_90~99세,510,87,37,139,73,31,143
2020년09월_계_100세 이상,45,8,6,12,6,5,8
2020년09월_남_총인구수,"118,568","18,110","11,749","30,591","16,368","8,341","33,409"
2020년09월_남_연령구간인구수,"118,568","18,110","11,749","30,591","16,368","8,341","33,409"
2020년09월_남_0~9세,"12,328","2,124",472,"3,695","2,083",765,"3,189"
2020년09월_남_10~19세,"12,724","2,095",596,"3,478","1,668","1,029","3,858"
2020년09월_남_20~29세,"16,835","2,339","2,121","3,725","2,166","1,203","5,281"
2020년09월_남_30~39세,"21,200","2,933","3,088","5,194","3,196","1,321","5,468"
2020년09월_남_40~49세,"22,868","3,447","2,281","6,057","3,148","1,575","6,360"
2020년09월_남_50~59세,"17,174","2,725","1,749","4,205","2,124","1,304","5,067"
2020년09월_남_60~69세,"9,621","1,517",926,"2,610","1,289",689,"2,590"
2020년09월_남_70~79세,"4,272",658,380,"1,211",530,335,"1,158"
2020년09월_남_80~89세,"1,429",254,126,384,152,111,402
2020년09월_남_90~99세,104,15,8,29,11,6,35
2020년09월_남_100세 이상,13,3,2,3,1,3,1
2020년09월_여_총인구수,"110,681","17,985","8,259","29,973","15,548","7,854","31,062"
2020년09월_여_연령구간인구수,"110,681","17,985","8,259","29,973","15,548","7,854","31,062"
2020년09월_여_0~9세,"11,870","1,976",476,"3,586","2,011",691,"3,130"
2020년09월_여_10~19세,"12,188","2,154",590,"3,397","1,621",958,"3,468"
2020년09월_여_20~29세,"14,265","2,126","1,618","3,289","1,924",984,"4,324"
2020년09월_여_30~39세,"18,062","2,764","1,704","4,837","2,903","1,094","4,760"
2020년09월_여_40~49세,"20,273","3,345","1,414","5,393","2,859","1,533","5,729"
2020년09월_여_50~59세,"15,870","2,620","1,049","4,194","2,092","1,184","4,731"
2020년09월_여_60~69세,"9,856","1,569",777,"2,884","1,265",735,"2,626"
2020년09월_여_70~79세,"5,382",921,426,"1,531",539,429,"1,536"
2020년09월_여_80~89세,"2,477",433,172,743,267,219,643
2020년09월_여_90~99세,406,72,29,110,62,25,108
2020년09월_여_100세 이상,32,5,4,9,5,2,7
