카테고리,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2020년04월_계_80~89세,"5,639",614,195,494,652,408,320,350,748,"1,129",153,576
2020년04월_계_90~99세,738,84,28,80,86,54,31,58,98,125,27,67
2020년04월_계_100세 이상,129,8,9,12,12,29,8,12,14,15,2,8
2020년04월_남_총인구수,"57,014","5,400","2,013","4,399","4,727","3,637","2,702","3,374","9,327","14,327","1,904","5,204"
2020년04월_남_연령구간인구수,"57,014","5,400","2,013","4,399","4,727","3,637","2,702","3,374","9,327","14,327","1,904","5,204"
2020년04월_남_0~9세,"2,811",199,106,220,139,186,74,210,547,825,106,199
2020년04월_남_10~19세,"4,019",278,140,337,282,227,153,234,775,"1,187",105,301
2020년04월_남_20~29세,"6,711",543,242,492,435,397,293,318,"1,094","1,962",384,551
2020년04월_남_30~39세,"6,067",574,216,444,414,431,268,366,"1,055","1,559",199,541
2020년04월_남_40~49세,"8,304",791,268,570,692,555,402,552,"1,414","2,079",263,718
2020년04월_남_50~59세,"10,288","1,103",367,787,968,632,519,566,"1,650","2,505",256,935
2020년04월_남_60~69세,"10,351","1,043",356,808,898,670,477,589,"1,568","2,451",328,"1,163"
2020년04월_남_70~79세,"6,291",637,234,528,643,387,372,406,937,"1,338",196,613
2020년04월_남_80~89세,"2,003",223,75,191,239,133,131,118,263,398,55,177
2020년04월_남_90~99세,136,7,5,19,12,15,9,12,18,23,11,5
2020년04월_남_100세 이상,33,2,4,3,5,4,4,3,6,0,1,1
2020년04월_여_총인구수,"58,631","5,435","2,161","4,631","4,723","3,747","2,707","3,560","9,452","14,986","1,727","5,502"
2020년04월_여_연령구간인구수,"58,631","5,435","2,161","4,631","4,723","3,747","2,707","3,560","9,452","14,986","1,727","5,502"
2020년04월_여_0~9세,"2,776",202,93,211,114,198,84,195,550,825,96,208
2020년04월_여_10~19세,"3,744",273,123,277,244,215,141,232,693,"1,163",104,279
2020년04월_여_20~29세,"5,601",507,219,417,398,338,225,311,925,"1,584",232,445
2020년04월_여_30~39세,"5,188",484,178,397,288,369,173,338,894,"1,463",148,456
2020년04월_여_40~49세,"7,459",619,278,577,507,443,309,488,"1,356","2,098",202,582
2020년04월_여_50~59세,"9,981",889,378,805,776,589,445,549,"1,623","2,729",234,964
2020년04월_여_60~69세,"11,336","1,119",445,881,971,762,581,644,"1,773","2,630",344,"1,186"
2020년04월_여_70~79세,"8,212",868,299,693,931,494,534,516,"1,065","1,646",252,914
2020년04월_여_80~89세,"3,636",391,120,303,413,275,189,232,485,731,98,399
2020년04월_여_90~99세,602,77,23,61,74,39,22,46,80,102,16,62
2020년04월_여_100세 이상,96,6,5,9,7,25,4,9,8,15,1,7
2020년05월_계_총인구수,"115,388","10,819","4,184","9,032","9,411","7,370","5,375","6,902","18,722","29,302","3,622","10,649"
2020년05월_계_연령구간인구수,"115,388","10,819","4,184","9,032","9,411","7,370","5,375","6,902","18,722","29,302","3,622","10,649"
2020년05월_계_0~9세,"5,552",401,194,429,256,380,159,403,"1,093","1,649",195,393
2020년05월_계_10~19세,"7,712",549,262,615,518,440,291,453,"1,454","2,346",204,580
2020년05월_계_20~29세,"12,287","1,043",462,910,829,736,508,633,"2,013","3,541",623,989
2020년05월_계_30~39세,"11,199","1,059",395,837,691,798,432,698,"1,942","3,028",348,971
2020년05월_계_40~49세,"15,663","1,402",545,"1,158","1,184",987,700,"1,021","2,749","4,168",455,"1,294"
2020년05월_계_50~59세,"20,208","1,990",744,"1,584","1,739","1,223",962,"1,118","3,264","5,209",490,"1,885"
2020년05월_계_60~69세,"21,703","2,154",811,"1,691","1,864","1,436","1,054","1,232","3,339","5,092",675,"2,355"
2020년05월_계_70~79세,"14,531","1,513",538,"1,226","1,570",871,908,922,"2,011","2,998",447,"1,527"
2020년05월_계_80~89세,"5,667",618,198,490,662,414,323,351,746,"1,130",154,581
2020년05월_계_90~99세,736,82,26,80,86,56,30,59,97,125,29,66
2020년05월_계_100세 이상,130,8,9,12,12,29,8,12,14,16,2,8
2020년05월_남_총인구수,"56,867","5,388","2,023","4,401","4,713","3,619","2,683","3,356","9,298","14,308","1,900","5,178"
2020년05월_남_연령구간인구수,"56,867","5,388","2,023","4,401","4,713","3,619","2,683","3,356","9,298","14,308","1,900","5,178"
2020년05월_남_0~9세,"2,796",198,103,219,143,183,74,205,548,826,103,194
2020년05월_남_10~19세,"3,987",280,140,336,276,226,151,233,761,"1,185",101,298
2020년05월_남_20~29세,"6,710",542,245,497,432,391,287,324,"1,096","1,960",388,548
2020년05월_남_30~39세,"6,021",574,217,442,408,425,261,361,"1,049","1,559",199,526
2020년05월_남_40~49세,"8,232",782,266,573,684,548,396,535,"1,408","2,075",258,707
2020년05월_남_50~59세,"10,261","1,109",370,783,970,636,517,574,"1,634","2,479",257,932
2020년05월_남_60~69세,"10,371","1,032",361,809,897,672,480,585,"1,579","2,457",332,"1,167"
2020년05월_남_70~79세,"6,305",642,236,528,643,383,371,405,938,"1,343",196,620
2020년05월_남_80~89세,"2,013",220,77,191,243,136,134,119,261,399,54,179
2020년05월_남_90~99세,138,7,4,20,12,15,8,12,18,25,11,6
2020년05월_남_100세 이상,33,2,4,3,5,4,4,3,6,0,1,1
2020년05월_여_총인구수,"58,521","5,431","2,161","4,631","4,698","3,751","2,692","3,546","9,424","14,994","1,722","5,471"
2020년05월_여_연령구간인구수,"58,521","5,431","2,161","4,631","4,698","3,751","2,692","3,546","9,424","14,994","1,722","5,471"
2020년05월_여_0~9세,"2,756",203,91,210,113,197,85,198,545,823,92,199
2020년05월_여_10~19세,"3,725",269,122,279,242,214,140,220,693,"1,161",103,282
2020년05월_여_20~29세,"5,577",501,217,413,397,345,221,309,917,"1,581",235,441
2020년05월_여_30~39세,"5,178",485,178,395,283,373,171,337,893,"1,469",149,445
2020년05월_여_40~49세,"7,431",620,279,585,500,439,304,486,"1,341","2,093",197,587
2020년05월_여_50~59세,"9,947",881,374,801,769,587,445,544,"1,630","2,730",233,953
2020년05월_여_60~69세,"11,332","1,122",450,882,967,764,574,647,"1,760","2,635",343,"1,188"
2020년05월_여_70~79세,"8,226",871,302,698,927,488,537,517,"1,073","1,655",251,907
2020년05월_여_80~89세,"3,654",398,121,299,419,278,189,232,485,731,100,402
2020년05월_여_90~99세,598,75,22,60,74,41,22,47,79,100,18,60
2020년05월_여_100세 이상,97,6,5,9,7,25,4,9,8,16,1,7
2020년06월_계_총인구수,"115,120","10,841","4,177","9,021","9,365","7,370","5,344","6,882","18,676","29,214","3,602","10,628"
2020년06월_계_연령구간인구수,"115,120","10,841","4,177","9,021","9,365","7,370","5,344","6,882","18,676","29,214","3,602","10,628"
2020년06월_계_0~9세,"5,505",409,188,431,248,384,156,395,"1,088","1,631",189,386
2020년06월_계_10~19세,"7,706",555,258,613,524,433,288,461,"1,450","2,342",199,583
2020년06월_계_20~29세,"12,247","1,052",466,901,828,730,507,624,"2,009","3,530",626,974
2020년06월_계_30~39세,"11,132","1,060",400,837,682,804,419,691,"1,933","3,003",343,960
2020년06월_계_40~49세,"15,581","1,401",538,"1,154","1,181",988,695,"1,020","2,724","4,133",450,"1,297"
2020년06월_계_50~59세,"20,083","1,983",738,"1,579","1,716","1,207",953,"1,107","3,258","5,180",487,"1,875"
2020년06월_계_60~69세,"21,778","2,157",816,"1,701","1,864","1,440","1,055","1,240","3,343","5,122",676,"2,364"
2020년06월_계_70~79세,"14,551","1,517",536,"1,227","1,568",882,905,924,"2,005","3,005",447,"1,535"
2020년06월_계_80~89세,"5,679",617,202,488,659,417,327,349,756,"1,128",155,581
2020년06월_계_90~99세,727,82,26,78,83,56,31,59,95,124,28,65
2020년06월_계_100세 이상,131,8,9,12,12,29,8,12,15,16,2,8
2020년06월_남_총인구수,"56,700","5,399","2,020","4,385","4,685","3,614","2,661","3,343","9,273","14,265","1,896","5,159"
2020년06월_남_연령구간인구수,"56,700","5,399","2,020","4,385","4,685","3,614","2,661","3,343","9,273","14,265","1,896","5,159"
2020년06월_남_0~9세,"2,774",205,101,220,140,188,72,198,547,812,100,191
2020년06월_남_10~19세,"3,983",285,141,332,277,221,148,239,759,"1,183",100,298
2020년06월_남_20~29세,"6,677",542,244,490,432,386,285,322,"1,094","1,955",390,537
2020년06월_남_30~39세,"5,975",569,219,438,402,428,251,355,"1,039","1,558",198,518
2020년06월_남_40~49세,"8,186",781,263,573,683,547,396,534,"1,399","2,049",257,704
2020년06월_남_50~59세,"10,197","1,110",368,779,954,626,509,567,"1,631","2,465",254,934
2020년06월_남_60~69세,"10,396","1,029",364,815,895,671,483,589,"1,580","2,469",334,"1,167"
2020년06월_남_70~79세,"6,328",648,232,526,644,392,371,405,936,"1,353",197,624
2020년06월_남_80~89세,"2,015",221,80,190,241,136,134,119,264,396,55,179
2020년06월_남_90~99세,136,7,4,19,12,15,8,12,18,25,10,6
2020년06월_남_100세 이상,33,2,4,3,5,4,4,3,6,0,1,1
2020년06월_여_총인구수,"58,420","5,442","2,157","4,636","4,680","3,756","2,683","3,539","9,403","14,949","1,706","5,469"
2020년06월_여_연령구간인구수,"58,420","5,442","2,157","4,636","4,680","3,756","2,683","3,539","9,403","14,949","1,706","5,469"
2020년06월_여_0~9세,"2,731",204,87,211,108,196,84,197,541,819,89,195
2020년06월_여_10~19세,"3,723",270,117,281,247,212,140,222,691,"1,159",99,285
2020년06월_여_20~29세,"5,570",510,222,411,396,344,222,302,915,"1,575",236,437
2020년06월_여_30~39세,"5,157",491,181,399,280,376,168,336,894,"1,445",145,442
2020년06월_여_40~49세,"7,395",620,275,581,498,441,299,486,"1,325","2,084",193,593
2020년06월_여_50~59세,"9,886",873,370,800,762,581,444,540,"1,627","2,715",233,941
2020년06월_여_60~69세,"11,382","1,128",452,886,969,769,572,651,"1,763","2,653",342,"1,197"
2020년06월_여_70~79세,"8,223",869,304,701,924,490,534,519,"1,069","1,652",250,911
2020년06월_여_80~89세,"3,664",396,122,298,418,281,193,230,492,732,100,402
2020년06월_여_90~99세,591,75,22,59,71,41,23,47,77,99,18,59
2020년06월_여_100세 이상,98,6,5,9,7,25,4,9,9,16,1,7
2020년07월_계_총인구수,"114,873","10,830","4,164","9,007","9,310","7,388","5,341","6,850","18,637","29,151","3,603","10,592"
2020년07월_계_연령구간인구수,"114,873","10,830","4,164","9,007","9,310","7,388","5,341","6,850","18,637","29,151","3,603","10,592"
2020년07월_계_0~9세,"5,455",405,187,433,234,391,156,386,"1,080","1,615",186,382
2020년07월_계_10~19세,"7,658",547,256,609,516,432,286,457,"1,449","2,327",197,582
2020년07월_계_20~29세,"12,172","1,048",452,896,824,732,511,617,"2,002","3,511",619,960
2020년07월_계_30~39세,"11,102","1,061",399,852,679,798,417,680,"1,917","2,990",357,952
2020년07월_계_40~49세,"15,534","1,396",540,"1,140","1,160",987,698,"1,016","2,715","4,151",438,"1,293"
2020년07월_계_50~59세,"19,968","1,973",725,"1,570","1,708","1,206",942,"1,102","3,259","5,136",492,"1,855"
2020년07월_계_60~69세,"21,854","2,168",828,"1,705","1,864","1,446","1,060","1,241","3,352","5,142",677,"2,371"
2020년07월_계_70~79세,"14,552","1,522",540,"1,225","1,569",890,896,929,"1,992","3,002",449,"1,538"
2020년07월_계_80~89세,"5,716",621,202,488,663,421,336,350,757,"1,135",158,585
2020년07월_계_90~99세,731,81,26,77,81,56,31,60,99,126,28,66
2020년07월_계_100세 이상,131,8,9,12,12,29,8,12,15,16,2,8
2020년07월_남_총인구수,"56,583","5,405","2,016","4,379","4,666","3,619","2,660","3,335","9,245","14,223","1,898","5,137"
2020년07월_남_연령구간인구수,"56,583","5,405","2,016","4,379","4,666","3,619","2,660","3,335","9,245","14,223","1,898","5,137"
2020년07월_남_0~9세,"2,754",200,99,222,133,192,75,196,543,805,100,189
2020년07월_남_10~19세,"3,967",282,139,327,275,217,149,240,756,"1,185",100,297
2020년07월_남_20~29세,"6,628",547,243,493,432,383,285,318,"1,086","1,928",384,529
2020년07월_남_30~39세,"5,970",570,215,445,405,428,250,352,"1,032","1,554",204,515
2020년07월_남_40~49세,"8,156",783,267,564,669,544,395,528,"1,392","2,062",251,701
2020년07월_남_50~59세,"10,138","1,097",363,775,953,623,504,568,"1,637","2,434",260,924
2020년07월_남_60~69세,"10,453","1,043",369,815,898,678,487,589,"1,584","2,487",335,"1,168"
2020년07월_남_70~79세,"6,320",649,233,527,644,396,366,410,927,"1,343",197,628
2020년07월_남_80~89세,"2,021",223,79,189,240,139,137,118,263,399,56,178
2020년07월_남_90~99세,143,9,5,19,12,15,8,13,19,26,10,7
2020년07월_남_100세 이상,33,2,4,3,5,4,4,3,6,0,1,1
2020년07월_여_총인구수,"58,290","5,425","2,148","4,628","4,644","3,769","2,681","3,515","9,392","14,928","1,705","5,455"
2020년07월_여_연령구간인구수,"58,290","5,425","2,148","4,628","4,644","3,769","2,681","3,515","9,392","14,928","1,705","5,455"
2020년07월_여_0~9세,"2,701",205,88,211,101,199,81,190,537,810,86,193
2020년07월_여_10~19세,"3,691",265,117,282,241,215,137,217,693,"1,142",97,285
2020년07월_여_20~29세,"5,544",501,209,403,392,349,226,299,916,"1,583",235,431
2020년07월_여_30~39세,"5,132",491,184,407,274,370,167,328,885,"1,436",153,437
2020년07월_여_40~49세,"7,378",613,273,576,491,443,303,488,"1,323","2,089",187,592
2020년07월_여_50~59세,"9,830",876,362,795,755,583,438,534,"1,622","2,702",232,931
2020년07월_여_60~69세,"11,401","1,125",459,890,966,768,573,652,"1,768","2,655",342,"1,203"
2020년07월_여_70~79세,"8,232",873,307,698,925,494,530,519,"1,065","1,659",252,910
2020년07월_여_80~89세,"3,695",398,123,299,423,282,199,232,494,736,102,407
2020년07월_여_90~99세,588,72,21,58,69,41,23,47,80,100,18,59
2020년07월_여_100세 이상,98,6,5,9,7,25,4,9,9,16,1,7
2020년08월_계_총인구수,"114,511","10,841","4,156","8,975","9,274","7,372","5,322","6,822","18,567","29,043","3,580","10,559"
2020년08월_계_연령구간인구수,"114,511","10,841","4,156","8,975","9,274","7,372","5,322","6,822","18,567","29,043","3,580","10,559"
2020년08월_계_0~9세,"5,391",409,184,428,226,385,150,385,"1,068","1,597",185,374
2020년08월_계_10~19세,"7,617",540,260,600,517,433,286,449,"1,454","2,302",195,581
2020년08월_계_20~29세,"12,121","1,058",452,902,825,735,502,616,"1,981","3,494",610,946
2020년08월_계_30~39세,"10,981","1,060",394,851,673,783,414,672,"1,892","2,960",352,930
2020년08월_계_40~49세,"15,457","1,409",539,"1,129","1,154",978,695,"1,004","2,697","4,112",442,"1,298"
2020년08월_계_50~59세,"19,878","1,955",722,"1,567","1,692","1,206",937,"1,107","3,242","5,116",483,"1,851"
2020년08월_계_60~69세,"21,888","2,167",820,"1,708","1,864","1,447","1,059","1,239","3,367","5,170",679,"2,368"
