카테고리,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동,경기도 여주시 세종대왕면
2020년07월_여_40~49세,"7,754","1,042",181,230,126,286,342,278,224,125,"1,760","1,639","1,521",
2020년07월_여_50~59세,"9,528","1,319",396,451,266,541,624,424,375,224,"1,942","1,587","1,379",
2020년07월_여_60~69세,"8,817","1,205",504,549,355,621,742,468,442,295,"1,577","1,152",907,
2020년07월_여_70~79세,"5,403",698,326,363,234,436,544,355,273,189,841,655,489,
2020년07월_여_80~89세,"3,254",447,250,227,130,318,363,245,182,107,429,305,251,
2020년07월_여_90~99세,611,75,38,52,36,64,64,40,48,17,83,52,42,
2020년07월_여_100세 이상,31,6,0,1,1,0,2,4,1,1,6,4,5,
2020년08월_계_총인구수,"111,438","15,617","4,618","5,068","2,994","6,415","7,110","4,926","4,172","2,559","22,003","18,591","17,365",
2020년08월_계_연령구간인구수,"111,438","15,617","4,618","5,068","2,994","6,415","7,110","4,926","4,172","2,559","22,003","18,591","17,365",
2020년08월_계_0~9세,"7,581","1,061",183,179,99,296,227,155,144,111,"1,622","1,433","2,071",
2020년08월_계_10~19세,"9,634","1,323",265,285,142,442,424,382,256,145,"2,026","2,259","1,685",
2020년08월_계_20~29세,"12,116","1,660",459,413,234,551,614,410,352,214,"2,840","2,396","1,973",
2020년08월_계_30~39세,"11,679","1,852",292,363,191,519,461,305,307,176,"2,577","2,023","2,613",
2020년08월_계_40~49세,"16,027","2,248",413,520,283,706,721,610,488,279,"3,523","3,178","3,058",
2020년08월_계_50~59세,"20,091","2,830",866,981,590,"1,176","1,358",992,865,458,"3,897","3,309","2,769",
2020년08월_계_60~69세,"18,069","2,470","1,035","1,170",735,"1,310","1,607",990,859,599,"3,157","2,293","1,844",
2020년08월_계_70~79세,"10,184","1,353",662,706,457,856,"1,000",625,552,367,"1,558","1,150",898,
2020년08월_계_80~89세,"5,214",707,389,382,219,481,601,391,292,183,687,483,399,
2020년08월_계_90~99세,794,103,52,68,43,77,93,61,55,25,106,62,49,
2020년08월_계_100세 이상,49,10,2,1,1,1,4,5,2,2,10,5,6,
2020년08월_남_총인구수,"56,651","8,091","2,390","2,652","1,551","3,299","3,698","2,546","2,149","1,286","11,011","9,304","8,674",
2020년08월_남_연령구간인구수,"56,651","8,091","2,390","2,652","1,551","3,299","3,698","2,546","2,149","1,286","11,011","9,304","8,674",
2020년08월_남_0~9세,"3,911",519,108,97,54,128,123,81,70,52,836,751,"1,092",
2020년08월_남_10~19세,"4,979",685,145,155,65,230,234,222,136,68,"1,042","1,158",839,
2020년08월_남_20~29세,"6,640",932,264,241,148,308,376,222,206,115,"1,508","1,269","1,051",
2020년08월_남_30~39세,"6,127","1,038",162,210,105,282,262,164,164,98,"1,321","1,036","1,285",
2020년08월_남_40~49세,"8,313","1,205",232,293,160,420,380,335,268,153,"1,780","1,543","1,544",
2020년08월_남_50~59세,"10,565","1,515",468,530,322,644,735,570,485,233,"1,953","1,734","1,376",
2020년08월_남_60~69세,"9,184","1,255",525,612,377,687,862,516,419,304,"1,573","1,130",924,
2020년08월_남_70~79세,"4,805",651,338,345,226,420,456,276,281,178,720,500,414,
2020년08월_남_80~89세,"1,940",260,136,155,87,165,240,141,110,77,255,172,142,
2020년08월_남_90~99세,171,27,11,14,7,14,28,18,9,7,19,11,6,
2020년08월_남_100세 이상,16,4,1,0,0,1,2,1,1,1,4,0,1,
2020년08월_여_총인구수,"54,787","7,526","2,228","2,416","1,443","3,116","3,412","2,380","2,023","1,273","10,992","9,287","8,691",
2020년08월_여_연령구간인구수,"54,787","7,526","2,228","2,416","1,443","3,116","3,412","2,380","2,023","1,273","10,992","9,287","8,691",
2020년08월_여_0~9세,"3,670",542,75,82,45,168,104,74,74,59,786,682,979,
2020년08월_여_10~19세,"4,655",638,120,130,77,212,190,160,120,77,984,"1,101",846,
2020년08월_여_20~29세,"5,476",728,195,172,86,243,238,188,146,99,"1,332","1,127",922,
2020년08월_여_30~39세,"5,552",814,130,153,86,237,199,141,143,78,"1,256",987,"1,328",
2020년08월_여_40~49세,"7,714","1,043",181,227,123,286,341,275,220,126,"1,743","1,635","1,514",
2020년08월_여_50~59세,"9,526","1,315",398,451,268,532,623,422,380,225,"1,944","1,575","1,393",
2020년08월_여_60~69세,"8,885","1,215",510,558,358,623,745,474,440,295,"1,584","1,163",920,
2020년08월_여_70~79세,"5,379",702,324,361,231,436,544,349,271,189,838,650,484,
2020년08월_여_80~89세,"3,274",447,253,227,132,316,361,250,182,106,432,311,257,
2020년08월_여_90~99세,623,76,41,54,36,63,65,43,46,18,87,51,43,
2020년08월_여_100세 이상,33,6,1,1,1,0,2,4,1,1,6,5,5,
2020년09월_계_총인구수,"111,512","15,632","4,653","5,064","3,005","6,397","7,114","4,915","4,188","2,556","22,017","18,604","17,367",
2020년09월_계_연령구간인구수,"111,512","15,632","4,653","5,064","3,005","6,397","7,114","4,915","4,188","2,556","22,017","18,604","17,367",
2020년09월_계_0~9세,"7,543","1,056",182,182,97,289,234,158,142,111,"1,611","1,424","2,057",
2020년09월_계_10~19세,"9,646","1,310",273,285,148,443,429,375,256,145,"2,030","2,259","1,693",
2020년09월_계_20~29세,"12,086","1,673",466,408,232,547,617,405,349,207,"2,831","2,386","1,965",
2020년09월_계_30~39세,"11,633","1,847",300,368,194,518,457,306,307,175,"2,577","2,009","2,575",
2020년09월_계_40~49세,"16,006","2,253",412,516,280,691,710,598,488,282,"3,518","3,194","3,064",
2020년09월_계_50~59세,"20,101","2,821",866,966,589,"1,153","1,354",995,869,458,"3,906","3,334","2,790",
2020년09월_계_60~69세,"18,211","2,492","1,045","1,178",745,"1,340","1,615",993,874,600,"3,168","2,300","1,861",
2020년09월_계_70~79세,"10,176","1,358",656,707,456,853,996,621,550,366,"1,561","1,144",908,
2020년09월_계_80~89세,"5,247",707,396,381,221,485,604,398,289,184,696,488,398,
2020년09월_계_90~99세,813,105,55,72,42,77,93,61,62,26,109,61,50,
2020년09월_계_100세 이상,50,10,2,1,1,1,5,5,2,2,10,5,6,
2020년09월_남_총인구수,"56,689","8,085","2,409","2,648","1,559","3,290","3,710","2,549","2,155","1,288","11,012","9,315","8,669",
2020년09월_남_연령구간인구수,"56,689","8,085","2,409","2,648","1,559","3,290","3,710","2,549","2,155","1,288","11,012","9,315","8,669",
2020년09월_남_0~9세,"3,891",514,107,94,53,126,126,82,71,53,833,750,"1,082",
2020년09월_남_10~19세,"4,965",676,148,157,69,225,237,219,134,66,"1,040","1,153",841,
2020년09월_남_20~29세,"6,649",938,273,236,149,308,380,220,204,114,"1,510","1,274","1,043",
2020년09월_남_30~39세,"6,114","1,034",168,214,106,282,262,169,164,99,"1,319","1,029","1,268",
2020년09월_남_40~49세,"8,277","1,198",229,290,157,413,377,328,267,154,"1,772","1,546","1,546",
2020년09월_남_50~59세,"10,572","1,507",468,525,323,636,733,574,486,237,"1,957","1,742","1,384",
2020년09월_남_60~69세,"9,262","1,271",530,616,383,700,865,520,427,302,"1,574","1,139",935,
2020년09월_남_70~79세,"4,816",657,335,348,226,418,459,274,281,178,722,498,420,
2020년09월_남_80~89세,"1,945",257,138,152,86,167,241,143,108,77,260,173,143,
2020년09월_남_90~99세,182,29,12,16,7,14,28,19,12,7,21,11,6,
2020년09월_남_100세 이상,16,4,1,0,0,1,2,1,1,1,4,0,1,
2020년09월_여_총인구수,"54,823","7,547","2,244","2,416","1,446","3,107","3,404","2,366","2,033","1,268","11,005","9,289","8,698",
2020년09월_여_연령구간인구수,"54,823","7,547","2,244","2,416","1,446","3,107","3,404","2,366","2,033","1,268","11,005","9,289","8,698",
2020년09월_여_0~9세,"3,652",542,75,88,44,163,108,76,71,58,778,674,975,
2020년09월_여_10~19세,"4,681",634,125,128,79,218,192,156,122,79,990,"1,106",852,
2020년09월_여_20~29세,"5,437",735,193,172,83,239,237,185,145,93,"1,321","1,112",922,
2020년09월_여_30~39세,"5,519",813,132,154,88,236,195,137,143,76,"1,258",980,"1,307",
2020년09월_여_40~49세,"7,729","1,055",183,226,123,278,333,270,221,128,"1,746","1,648","1,518",
2020년09월_여_50~59세,"9,529","1,314",398,441,266,517,621,421,383,221,"1,949","1,592","1,406",
2020년09월_여_60~69세,"8,949","1,221",515,562,362,640,750,473,447,298,"1,594","1,161",926,
2020년09월_여_70~79세,"5,360",701,321,359,230,435,537,347,269,188,839,646,488,
2020년09월_여_80~89세,"3,302",450,258,229,135,318,363,255,181,107,436,315,255,
2020년09월_여_90~99세,631,76,43,56,35,63,65,42,50,19,88,50,44,
2020년09월_여_100세 이상,34,6,1,1,1,0,3,4,1,1,6,5,5,
2020년10월_계_총인구수,"111,605","15,624","4,658","5,090","3,023","6,401","7,091","4,907","4,183","2,547","22,043","18,632","17,406",
2020년10월_계_연령구간인구수,"111,605","15,624","4,658","5,090","3,023","6,401","7,091","4,907","4,183","2,547","22,043","18,632","17,406",
2020년10월_계_0~9세,"7,488","1,048",185,181,99,287,231,153,139,111,"1,596","1,416","2,042",
2020년10월_계_10~19세,"9,638","1,312",270,282,148,441,421,372,258,142,"2,037","2,256","1,699",
2020년10월_계_20~29세,"12,124","1,669",465,416,234,549,616,407,348,205,"2,839","2,395","1,981",
2020년10월_계_30~39세,"11,563","1,829",295,364,199,515,455,301,304,173,"2,558","2,012","2,558",
2020년10월_계_40~49세,"16,022","2,259",413,527,283,683,700,593,481,282,"3,541","3,194","3,066",
2020년10월_계_50~59세,"20,092","2,811",866,968,585,"1,151","1,346",997,870,457,"3,903","3,331","2,807",
2020년10월_계_60~69세,"18,338","2,512","1,053","1,191",752,"1,358","1,617",994,876,598,"3,181","2,323","1,883",
2020년10월_계_70~79세,"10,193","1,356",654,711,457,850,996,625,546,367,"1,571","1,142",918,
2020년10월_계_80~89세,"5,269",710,401,376,222,487,613,398,296,183,697,496,390,
2020년10월_계_90~99세,826,108,54,72,43,79,91,61,63,27,110,62,56,
2020년10월_계_100세 이상,52,10,2,2,1,1,5,6,2,2,10,5,6,
2020년10월_남_총인구수,"56,710","8,077","2,410","2,660","1,566","3,285","3,707","2,544","2,154","1,286","11,029","9,325","8,667",
2020년10월_남_연령구간인구수,"56,710","8,077","2,410","2,660","1,566","3,285","3,707","2,544","2,154","1,286","11,029","9,325","8,667",
2020년10월_남_0~9세,"3,852",508,106,94,53,123,126,80,71,53,827,744,"1,067",
2020년10월_남_10~19세,"4,963",677,148,156,71,225,234,218,134,65,"1,046","1,151",838,
2020년10월_남_20~29세,"6,662",934,272,236,150,306,382,222,203,115,"1,519","1,275","1,048",
2020년10월_남_30~39세,"6,079","1,028",165,210,107,282,260,168,162,96,"1,308","1,035","1,258",
2020년10월_남_40~49세,"8,299","1,206",233,295,159,406,376,325,264,156,"1,780","1,549","1,550",
2020년10월_남_50~59세,"10,557","1,499",465,530,319,635,732,569,487,237,"1,960","1,737","1,387",
2020년10월_남_60~69세,"9,328","1,278",533,620,389,710,864,522,432,301,"1,580","1,152",947,
2020년10월_남_70~79세,"4,818",654,335,353,225,414,459,276,279,178,726,496,423,
2020년10월_남_80~89세,"1,951",260,140,151,86,168,244,144,109,77,258,174,140,
2020년10월_남_90~99세,185,29,12,15,7,15,28,19,12,7,21,12,8,
2020년10월_남_100세 이상,16,4,1,0,0,1,2,1,1,1,4,0,1,
2020년10월_여_총인구수,"54,895","7,547","2,248","2,430","1,457","3,116","3,384","2,363","2,029","1,261","11,014","9,307","8,739",
2020년10월_여_연령구간인구수,"54,895","7,547","2,248","2,430","1,457","3,116","3,384","2,363","2,029","1,261","11,014","9,307","8,739",
2020년10월_여_0~9세,"3,636",540,79,87,46,164,105,73,68,58,769,672,975,
2020년10월_여_10~19세,"4,675",635,122,126,77,216,187,154,124,77,991,"1,105",861,
2020년10월_여_20~29세,"5,462",735,193,180,84,243,234,185,145,90,"1,320","1,120",933,
2020년10월_여_30~39세,"5,484",801,130,154,92,233,195,133,142,77,"1,250",977,"1,300",
2020년10월_여_40~49세,"7,723","1,053",180,232,124,277,324,268,217,126,"1,761","1,645","1,516",
2020년10월_여_50~59세,"9,535","1,312",401,438,266,516,614,428,383,220,"1,943","1,594","1,420",
2020년10월_여_60~69세,"9,010","1,234",520,571,363,648,753,472,444,297,"1,601","1,171",936,
2020년10월_여_70~79세,"5,375",702,319,358,232,436,537,349,267,189,845,646,495,
2020년10월_여_80~89세,"3,318",450,261,225,136,319,369,254,187,106,439,322,250,
2020년10월_여_90~99세,641,79,42,57,36,64,63,42,51,20,89,50,48,
2020년10월_여_100세 이상,36,6,1,2,1,0,3,5,1,1,6,5,5,
2020년11월_계_총인구수,"111,636","15,634","4,661","5,115","3,018","6,399","7,064","4,909","4,169","2,536","22,007","18,642","17,482",
2020년11월_계_연령구간인구수,"111,636","15,634","4,661","5,115","3,018","6,399","7,064","4,909","4,169","2,536","22,007","18,642","17,482",
2020년11월_계_0~9세,"7,421","1,039",178,181,99,281,228,152,134,110,"1,576","1,407","2,036",
2020년11월_계_10~19세,"9,627","1,311",272,290,147,441,420,369,264,143,"2,014","2,247","1,709",
2020년11월_계_20~29세,"12,157","1,675",465,410,228,549,623,410,349,203,"2,839","2,422","1,984",
2020년11월_계_30~39세,"11,490","1,812",294,363,193,514,452,305,299,171,"2,530","1,999","2,558",
2020년11월_계_40~49세,"16,021","2,258",409,540,284,689,691,593,479,279,"3,548","3,184","3,067",
2020년11월_계_50~59세,"20,102","2,831",871,966,587,"1,139","1,335",999,857,453,"3,891","3,334","2,839",
2020년11월_계_60~69세,"18,450","2,520","1,060","1,191",760,"1,370","1,615","1,001",884,601,"3,201","2,343","1,904",
2020년11월_계_70~79세,"10,208","1,356",658,720,456,851,988,613,549,365,"1,591","1,142",919,
2020년11월_계_80~89세,"5,280",711,398,380,219,485,617,401,288,180,699,499,403,
2020년11월_계_90~99세,829,111,54,72,44,79,90,60,64,29,108,61,57,
2020년11월_계_100세 이상,51,10,2,2,1,1,5,6,2,2,10,4,6,
2020년11월_남_총인구수,"56,728","8,078","2,411","2,671","1,560","3,287","3,695","2,549","2,150","1,283","11,004","9,331","8,709",
2020년11월_남_연령구간인구수,"56,728","8,078","2,411","2,671","1,560","3,287","3,695","2,549","2,150","1,283","11,004","9,331","8,709",
2020년11월_남_0~9세,"3,824",505,103,95,50,121,121,79,71,52,820,739,"1,068",
2020년11월_남_10~19세,"4,964",676,150,164,68,227,236,215,134,68,"1,039","1,147",840,
2020년11월_남_20~29세,"6,664",943,271,230,148,306,385,223,204,115,"1,514","1,277","1,048",
2020년11월_남_30~39세,"6,061","1,017",163,210,104,278,260,173,160,98,"1,295","1,034","1,269",
2020년11월_남_40~49세,"8,288","1,195",233,302,160,413,374,323,261,154,"1,777","1,554","1,542",
2020년11월_남_50~59세,"10,542","1,510",469,528,319,626,724,571,480,233,"1,943","1,732","1,407",
2020년11월_남_60~69세,"9,400","1,284",536,618,395,718,865,529,441,300,"1,591","1,166",957,
2020년11월_남_70~79세,"4,831",653,335,357,225,417,454,269,279,177,744,496,425,
2020년11월_남_80~89세,"1,954",262,138,152,84,165,246,148,108,76,257,174,144,
2020년11월_남_90~99세,184,29,12,15,7,15,28,18,11,9,20,12,8,
2020년11월_남_100세 이상,16,4,1,0,0,1,2,1,1,1,4,0,1,
2020년11월_여_총인구수,"54,908","7,556","2,250","2,444","1,458","3,112","3,369","2,360","2,019","1,253","11,003","9,311","8,773",
2020년11월_여_연령구간인구수,"54,908","7,556","2,250","2,444","1,458","3,112","3,369","2,360","2,019","1,253","11,003","9,311","8,773",
2020년11월_여_0~9세,"3,597",534,75,86,49,160,107,73,63,58,756,668,968,
2020년11월_여_10~19세,"4,663",635,122,126,79,214,184,154,130,75,975,"1,100",869,
2020년11월_여_20~29세,"5,493",732,194,180,80,243,238,187,145,88,"1,325","1,145",936,
2020년11월_여_30~39세,"5,429",795,131,153,89,236,192,132,139,73,"1,235",965,"1,289",
2020년11월_여_40~49세,"7,733","1,063",176,238,124,276,317,270,218,125,"1,771","1,630","1,525",
2020년11월_여_50~59세,"9,560","1,321",402,438,268,513,611,428,377,220,"1,948","1,602","1,432",
2020년11월_여_60~69세,"9,050","1,236",524,573,365,652,750,472,443,301,"1,610","1,177",947,
2020년11월_여_70~79세,"5,377",703,323,363,231,434,534,344,270,188,847,646,494,
2020년11월_여_80~89세,"3,326",449,260,228,135,320,371,253,180,104,442,325,259,
2020년11월_여_90~99세,645,82,42,57,37,64,62,42,53,20,88,49,49,
2020년11월_여_100세 이상,35,6,1,2,1,0,3,5,1,1,6,4,5,
2020년12월_계_총인구수,"111,897","15,607","4,664","5,121","2,995","6,400","7,075","4,896","4,184","2,544","21,881","18,541","17,989",
2020년12월_계_연령구간인구수,"111,897","15,607","4,664","5,121","2,995","6,400","7,075","4,896","4,184","2,544","21,881","18,541","17,989",
2020년12월_계_0~9세,"7,414","1,028",177,181,94,282,228,156,135,113,"1,552","1,395","2,073",
2020년12월_계_10~19세,"9,592","1,306",273,287,144,444,413,349,268,143,"1,998","2,203","1,764",
2020년12월_계_20~29세,"12,177","1,667",453,416,228,549,628,411,348,202,"2,799","2,413","2,063",
2020년12월_계_30~39세,"11,539","1,812",300,360,196,512,449,309,297,175,"2,506","1,986","2,637",
2020년12월_계_40~49세,"16,033","2,260",410,541,275,692,692,581,474,276,"3,529","3,151","3,152",
2020년12월_계_50~59세,"20,117","2,806",875,956,583,"1,139","1,332",996,863,454,"3,874","3,309","2,930",
2020년12월_계_60~69세,"18,622","2,541","1,066","1,207",752,"1,370","1,626","1,014",899,597,"3,206","2,371","1,973",
2020년12월_계_70~79세,"10,214","1,352",660,721,458,843,994,609,548,369,"1,587","1,146",927,
2020년12월_계_80~89세,"5,309",716,393,381,220,490,617,408,286,184,710,498,406,
2020년12월_계_90~99세,828,109,54,69,44,78,91,57,64,29,110,65,58,
2020년12월_계_100세 이상,52,10,3,2,1,1,5,6,2,2,10,4,6,
2020년12월_남_총인구수,"56,838","8,060","2,412","2,674","1,547","3,280","3,696","2,532","2,170","1,287","10,934","9,289","8,957",
2020년12월_남_연령구간인구수,"56,838","8,060","2,412","2,674","1,547","3,280","3,696","2,532","2,170","1,287","10,934","9,289","8,957",
2020년12월_남_0~9세,"3,813",499,101,97,45,123,119,80,72,52,807,735,"1,083",
2020년12월_남_10~19세,"4,932",677,152,160,66,225,230,199,138,66,"1,032","1,119",868,
2020년12월_남_20~29세,"6,682",938,265,235,148,309,388,223,206,116,"1,491","1,271","1,092",
2020년12월_남_30~39세,"6,086","1,013",166,208,108,270,258,174,161,101,"1,280","1,033","1,314",
2020년12월_남_40~49세,"8,267","1,195",231,296,153,412,376,314,258,151,"1,770","1,539","1,572",
2020년12월_남_50~59세,"10,560","1,502",472,524,319,625,721,570,483,238,"1,937","1,722","1,447",
2020년12월_남_60~69세,"9,479","1,290",537,627,390,721,871,536,451,296,"1,594","1,179",987,
2020년12월_남_70~79세,"4,845",652,338,359,226,413,457,267,280,178,736,502,437,
2020년12월_남_80~89세,"1,970",260,137,153,85,166,245,150,109,79,261,177,148,
2020년12월_남_90~99세,188,30,12,15,7,15,29,18,11,9,22,12,8,
2020년12월_남_100세 이상,16,4,1,0,0,1,2,1,1,1,4,0,1,
2020년12월_여_총인구수,"55,059","7,547","2,252","2,447","1,448","3,120","3,379","2,364","2,014","1,257","10,947","9,252","9,032",
2020년12월_여_연령구간인구수,"55,059","7,547","2,252","2,447","1,448","3,120","3,379","2,364","2,014","1,257","10,947","9,252","9,032",
2020년12월_여_0~9세,"3,601",529,76,84,49,159,109,76,63,61,745,660,990,
2020년12월_여_10~19세,"4,660",629,121,127,78,219,183,150,130,77,966,"1,084",896,
2020년12월_여_20~29세,"5,495",729,188,181,80,240,240,188,142,86,"1,308","1,142",971,
2020년12월_여_30~39세,"5,453",799,134,152,88,242,191,135,136,74,"1,226",953,"1,323",
2020년12월_여_40~49세,"7,766","1,065",179,245,122,280,316,267,216,125,"1,759","1,612","1,580",
2020년12월_여_50~59세,"9,557","1,304",403,432,264,514,611,426,380,216,"1,937","1,587","1,483",
2020년12월_여_60~69세,"9,143","1,251",529,580,362,649,755,478,448,301,"1,612","1,192",986,
2020년12월_여_70~79세,"5,369",700,322,362,232,430,537,342,268,191,851,644,490,
2020년12월_여_80~89세,"3,339",456,256,228,135,324,372,258,177,105,449,321,258,
2020년12월_여_90~99세,640,79,42,54,37,63,62,39,53,20,88,53,50,
2020년12월_여_100세 이상,36,6,2,2,1,0,3,5,1,1,6,4,5,
2021년01월_계_총인구수,"112,044","15,588","4,641","5,109","3,000","6,384","7,067","4,898","4,181","2,550","21,884","18,509","18,233",
2021년01월_계_연령구간인구수,"112,044","15,588","4,641","5,109","3,000","6,384","7,067","4,898","4,181","2,550","21,884","18,509","18,233",
2021년01월_계_0~9세,"7,366","1,016",174,174,90,285,224,155,138,116,"1,542","1,379","2,073",
2021년01월_계_10~19세,"9,558","1,294",262,284,146,436,411,352,267,144,"1,979","2,191","1,792",
2021년01월_계_20~29세,"12,225","1,668",450,414,232,554,615,406,350,199,"2,829","2,407","2,101",
2021년01월_계_30~39세,"11,496","1,804",297,363,190,496,446,311,291,177,"2,480","1,979","2,662",
2021년01월_계_40~49세,"16,033","2,253",409,528,272,685,688,580,475,277,"3,540","3,129","3,197",
2021년01월_계_50~59세,"20,132","2,804",870,949,584,"1,139","1,334",998,857,454,"3,862","3,312","2,969",
2021년01월_계_60~69세,"18,754","2,560","1,070","1,217",760,"1,376","1,638","1,016",893,599,"3,235","2,381","2,009",
2021년01월_계_70~79세,"10,252","1,355",663,725,462,836,996,610,557,366,"1,577","1,156",949,
2021년01월_계_80~89세,"5,333",713,390,382,221,494,615,407,287,186,718,502,418,
2021년01월_계_90~99세,840,111,53,70,42,82,95,57,64,30,112,67,57,
2021년01월_계_100세 이상,55,10,3,3,1,1,5,6,2,2,10,6,6,
2021년01월_남_총인구수,"56,897","8,046","2,403","2,667","1,556","3,268","3,688","2,535","2,166","1,286","10,934","9,279","9,069",
2021년01월_남_연령구간인구수,"56,897","8,046","2,403","2,667","1,556","3,268","3,688","2,535","2,166","1,286","10,934","9,279","9,069",
2021년01월_남_0~9세,"3,788",493,100,95,44,125,115,81,73,53,799,727,"1,083",
2021년01월_남_10~19세,"4,913",669,147,159,65,223,231,203,137,67,"1,013","1,112",887,
2021년01월_남_20~29세,"6,707",931,265,234,152,308,381,222,207,113,"1,508","1,277","1,109",
2021년01월_남_30~39세,"6,062","1,013",163,209,104,259,257,173,156,102,"1,272","1,031","1,323",
2021년01월_남_40~49세,"8,268","1,191",230,287,154,412,370,311,258,150,"1,780","1,532","1,593",
2021년01월_남_50~59세,"10,569","1,511",467,522,318,624,725,574,479,239,"1,931","1,714","1,465",
2021년01월_남_60~69세,"9,531","1,289",542,633,396,719,876,536,447,297,"1,610","1,184","1,002",
2021년01월_남_70~79세,"4,874",655,341,361,230,412,459,269,285,176,730,509,447,
2021년01월_남_80~89세,"1,973",257,133,152,86,169,241,148,112,79,264,181,151,
2021년01월_남_90~99세,196,33,14,15,7,16,31,17,11,9,23,12,8,
2021년01월_남_100세 이상,16,4,1,0,0,1,2,1,1,1,4,0,1,
2021년01월_여_총인구수,"55,147","7,542","2,238","2,442","1,444","3,116","3,379","2,363","2,015","1,264","10,950","9,230","9,164",
2021년01월_여_연령구간인구수,"55,147","7,542","2,238","2,442","1,444","3,116","3,379","2,363","2,015","1,264","10,950","9,230","9,164",
2021년01월_여_0~9세,"3,578",523,74,79,46,160,109,74,65,63,743,652,990,
2021년01월_여_10~19세,"4,645",625,115,125,81,213,180,149,130,77,966,"1,079",905,
2021년01월_여_20~29세,"5,518",737,185,180,80,246,234,184,143,86,"1,321","1,130",992,
2021년01월_여_30~39세,"5,434",791,134,154,86,237,189,138,135,75,"1,208",948,"1,339",
2021년01월_여_40~49세,"7,765","1,062",179,241,118,273,318,269,217,127,"1,760","1,597","1,604",
2021년01월_여_50~59세,"9,563","1,293",403,427,266,515,609,424,378,215,"1,931","1,598","1,504",
2021년01월_여_60~69세,"9,223","1,271",528,584,364,657,762,480,446,302,"1,625","1,197","1,007",
2021년01월_여_70~79세,"5,378",700,322,364,232,424,537,341,272,190,847,647,502,
2021년01월_여_80~89세,"3,360",456,257,230,135,325,374,259,175,107,454,321,267,
2021년01월_여_90~99세,644,78,39,55,35,66,64,40,53,21,89,55,49,
2021년01월_여_100세 이상,39,6,2,3,1,0,3,5,1,1,6,6,5,
2021년02월_계_총인구수,"112,129","15,587","4,655","5,108","2,986","6,379","7,030","4,930","4,206","2,546","21,831","18,508","18,363",
2021년02월_계_연령구간인구수,"112,129","15,587","4,655","5,108","2,986","6,379","7,030","4,930","4,206","2,546","21,831","18,508","18,363",
2021년02월_계_0~9세,"7,327","1,009",192,172,87,284,214,158,139,118,"1,522","1,366","2,066",
2021년02월_계_10~19세,"9,511","1,274",257,281,138,439,408,353,271,144,"1,964","2,178","1,804",
2021년02월_계_20~29세,"12,223","1,673",447,407,228,554,614,416,345,197,"2,814","2,412","2,116",
2021년02월_계_30~39세,"11,454","1,798",293,363,187,487,444,311,295,177,"2,456","1,985","2,658",
2021년02월_계_40~49세,"15,999","2,247",405,526,268,690,683,577,471,278,"3,518","3,113","3,223",
2021년02월_계_50~59세,"20,159","2,799",870,946,584,"1,126","1,311","1,010",869,449,"3,878","3,306","3,011",
2021년02월_계_60~69세,"18,897","2,580","1,079","1,227",764,"1,383","1,637","1,025",900,596,"3,246","2,415","2,045",
2021년02월_계_70~79세,"10,268","1,363",664,728,463,837,988,614,561,366,"1,583","1,147",954,
2021년02월_계_80~89세,"5,381",721,390,384,224,494,629,404,286,190,727,508,424,
2021년02월_계_90~99세,854,112,55,71,42,84,97,56,67,29,113,72,56,
2021년02월_계_100세 이상,56,11,3,3,1,1,5,6,2,2,10,6,6,
2021년02월_남_총인구수,"56,938","8,046","2,411","2,666","1,550","3,275","3,655","2,557","2,179","1,281","10,908","9,280","9,130",
2021년02월_남_연령구간인구수,"56,938","8,046","2,411","2,666","1,550","3,275","3,655","2,557","2,179","1,281","10,908","9,280","9,130",
2021년02월_남_0~9세,"3,765",492,107,93,42,127,106,84,73,56,782,717,"1,086",
2021년02월_남_10~19세,"4,901",656,142,161,62,225,232,206,140,67,"1,018","1,102",890,
2021년02월_남_20~29세,"6,701",930,264,229,151,314,377,227,205,112,"1,492","1,283","1,117",
2021년02월_남_30~39세,"6,038","1,014",162,209,101,254,256,170,156,100,"1,265","1,032","1,319",
2021년02월_남_40~49세,"8,260","1,192",227,282,152,411,368,305,257,151,"1,770","1,532","1,613",
2021년02월_남_50~59세,"10,563","1,503",471,525,316,619,707,584,484,235,"1,934","1,714","1,471",
2021년02월_남_60~69세,"9,620","1,302",546,638,401,726,872,542,453,296,"1,621","1,197","1,026",
2021년02월_남_70~79세,"4,877",658,341,360,229,413,456,274,285,173,731,508,449,
2021년02월_남_80~89세,"1,997",262,136,153,89,168,248,146,113,81,268,183,150,
2021년02월_남_90~99세,199,32,14,16,7,17,31,18,12,9,23,12,8,
2021년02월_남_100세 이상,17,5,1,0,0,1,2,1,1,1,4,0,1,
2021년02월_여_총인구수,"55,191","7,541","2,244","2,442","1,436","3,104","3,375","2,373","2,027","1,265","10,923","9,228","9,233",
2021년02월_여_연령구간인구수,"55,191","7,541","2,244","2,442","1,436","3,104","3,375","2,373","2,027","1,265","10,923","9,228","9,233",
2021년02월_여_0~9세,"3,562",517,85,79,45,157,108,74,66,62,740,649,980,
