카테고리,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2020년05월_계_연령구간인구수,"37,302","35,389","1,913"
2020년05월_계_0~9세,"3,471","3,435",36
2020년05월_계_10~19세,"3,461","3,365",96
2020년05월_계_20~29세,"4,560","4,432",128
2020년05월_계_30~39세,"4,850","4,769",81
2020년05월_계_40~49세,"5,728","5,511",217
2020년05월_계_50~59세,"6,134","5,778",356
2020년05월_계_60~69세,"4,785","4,320",465
2020년05월_계_70~79세,"2,676","2,378",298
2020년05월_계_80~89세,"1,459","1,252",207
2020년05월_계_90~99세,167,140,27
2020년05월_계_100세 이상,11,9,2
2020년05월_남_총인구수,"19,353","18,342","1,011"
2020년05월_남_연령구간인구수,"19,353","18,342","1,011"
2020년05월_남_0~9세,"1,774","1,750",24
2020년05월_남_10~19세,"1,801","1,754",47
2020년05월_남_20~29세,"2,639","2,566",73
2020년05월_남_30~39세,"2,676","2,626",50
2020년05월_남_40~49세,"3,101","2,963",138
2020년05월_남_50~59세,"3,224","3,020",204
2020년05월_남_60~69세,"2,418","2,159",259
2020년05월_남_70~79세,"1,184","1,047",137
2020년05월_남_80~89세,490,423,67
2020년05월_남_90~99세,43,31,12
2020년05월_남_100세 이상,3,3,0
2020년05월_여_총인구수,"17,949","17,047",902
2020년05월_여_연령구간인구수,"17,949","17,047",902
2020년05월_여_0~9세,"1,697","1,685",12
2020년05월_여_10~19세,"1,660","1,611",49
2020년05월_여_20~29세,"1,921","1,866",55
2020년05월_여_30~39세,"2,174","2,143",31
2020년05월_여_40~49세,"2,627","2,548",79
2020년05월_여_50~59세,"2,910","2,758",152
2020년05월_여_60~69세,"2,367","2,161",206
2020년05월_여_70~79세,"1,492","1,331",161
2020년05월_여_80~89세,969,829,140
2020년05월_여_90~99세,124,109,15
2020년05월_여_100세 이상,8,6,2
2020년06월_계_총인구수,"37,178","35,280","1,898"
2020년06월_계_연령구간인구수,"37,178","35,280","1,898"
2020년06월_계_0~9세,"3,437","3,401",36
2020년06월_계_10~19세,"3,429","3,335",94
2020년06월_계_20~29세,"4,541","4,418",123
2020년06월_계_30~39세,"4,841","4,760",81
2020년06월_계_40~49세,"5,700","5,489",211
2020년06월_계_50~59세,"6,095","5,742",353
2020년06월_계_60~69세,"4,836","4,370",466
2020년06월_계_70~79세,"2,664","2,365",299
2020년06월_계_80~89세,"1,458","1,252",206
2020년06월_계_90~99세,166,139,27
2020년06월_계_100세 이상,11,9,2
2020년06월_남_총인구수,"19,285","18,281","1,004"
2020년06월_남_연령구간인구수,"19,285","18,281","1,004"
2020년06월_남_0~9세,"1,755","1,731",24
2020년06월_남_10~19세,"1,780","1,735",45
2020년06월_남_20~29세,"2,624","2,552",72
2020년06월_남_30~39세,"2,670","2,620",50
2020년06월_남_40~49세,"3,090","2,955",135
2020년06월_남_50~59세,"3,210","3,009",201
2020년06월_남_60~69세,"2,443","2,182",261
2020년06월_남_70~79세,"1,177","1,039",138
2020년06월_남_80~89세,489,423,66
2020년06월_남_90~99세,44,32,12
2020년06월_남_100세 이상,3,3,0
2020년06월_여_총인구수,"17,893","16,999",894
2020년06월_여_연령구간인구수,"17,893","16,999",894
2020년06월_여_0~9세,"1,682","1,670",12
2020년06월_여_10~19세,"1,649","1,600",49
2020년06월_여_20~29세,"1,917","1,866",51
2020년06월_여_30~39세,"2,171","2,140",31
2020년06월_여_40~49세,"2,610","2,534",76
2020년06월_여_50~59세,"2,885","2,733",152
2020년06월_여_60~69세,"2,393","2,188",205
2020년06월_여_70~79세,"1,487","1,326",161
2020년06월_여_80~89세,969,829,140
2020년06월_여_90~99세,122,107,15
2020년06월_여_100세 이상,8,6,2
2020년07월_계_총인구수,"37,166","35,257","1,909"
2020년07월_계_연령구간인구수,"37,166","35,257","1,909"
2020년07월_계_0~9세,"3,424","3,388",36
2020년07월_계_10~19세,"3,415","3,323",92
2020년07월_계_20~29세,"4,526","4,401",125
2020년07월_계_30~39세,"4,842","4,754",88
2020년07월_계_40~49세,"5,709","5,496",213
2020년07월_계_50~59세,"6,072","5,721",351
2020년07월_계_60~69세,"4,871","4,398",473
2020년07월_계_70~79세,"2,668","2,370",298
2020년07월_계_80~89세,"1,463","1,261",202
2020년07월_계_90~99세,165,136,29
2020년07월_계_100세 이상,11,9,2
2020년07월_남_총인구수,"19,301","18,289","1,012"
2020년07월_남_연령구간인구수,"19,301","18,289","1,012"
2020년07월_남_0~9세,"1,752","1,728",24
2020년07월_남_10~19세,"1,772","1,729",43
2020년07월_남_20~29세,"2,624","2,549",75
2020년07월_남_30~39세,"2,679","2,623",56
2020년07월_남_40~49세,"3,100","2,965",135
2020년07월_남_50~59세,"3,201","3,001",200
2020년07월_남_60~69세,"2,451","2,187",264
2020년07월_남_70~79세,"1,182","1,043",139
2020년07월_남_80~89세,492,428,64
2020년07월_남_90~99세,45,33,12
2020년07월_남_100세 이상,3,3,0
2020년07월_여_총인구수,"17,865","16,968",897
2020년07월_여_연령구간인구수,"17,865","16,968",897
2020년07월_여_0~9세,"1,672","1,660",12
2020년07월_여_10~19세,"1,643","1,594",49
2020년07월_여_20~29세,"1,902","1,852",50
2020년07월_여_30~39세,"2,163","2,131",32
2020년07월_여_40~49세,"2,609","2,531",78
2020년07월_여_50~59세,"2,871","2,720",151
2020년07월_여_60~69세,"2,420","2,211",209
2020년07월_여_70~79세,"1,486","1,327",159
2020년07월_여_80~89세,971,833,138
2020년07월_여_90~99세,120,103,17
2020년07월_여_100세 이상,8,6,2
2020년08월_계_총인구수,"37,136","35,235","1,901"
2020년08월_계_연령구간인구수,"37,136","35,235","1,901"
2020년08월_계_0~9세,"3,407","3,371",36
2020년08월_계_10~19세,"3,406","3,322",84
2020년08월_계_20~29세,"4,522","4,393",129
2020년08월_계_30~39세,"4,819","4,731",88
2020년08월_계_40~49세,"5,688","5,475",213
2020년08월_계_50~59세,"6,073","5,726",347
2020년08월_계_60~69세,"4,898","4,423",475
2020년08월_계_70~79세,"2,680","2,382",298
2020년08월_계_80~89세,"1,464","1,263",201
2020년08월_계_90~99세,168,140,28
2020년08월_계_100세 이상,11,9,2
2020년08월_남_총인구수,"19,298","18,291","1,007"
2020년08월_남_연령구간인구수,"19,298","18,291","1,007"
2020년08월_남_0~9세,"1,754","1,731",23
2020년08월_남_10~19세,"1,770","1,730",40
2020년08월_남_20~29세,"2,628","2,550",78
2020년08월_남_30~39세,"2,673","2,618",55
2020년08월_남_40~49세,"3,083","2,948",135
2020년08월_남_50~59세,"3,196","3,002",194
2020년08월_남_60~69세,"2,461","2,195",266
2020년08월_남_70~79세,"1,192","1,051",141
2020년08월_남_80~89세,493,429,64
2020년08월_남_90~99세,45,34,11
2020년08월_남_100세 이상,3,3,0
2020년08월_여_총인구수,"17,838","16,944",894
2020년08월_여_연령구간인구수,"17,838","16,944",894
2020년08월_여_0~9세,"1,653","1,640",13
2020년08월_여_10~19세,"1,636","1,592",44
2020년08월_여_20~29세,"1,894","1,843",51
2020년08월_여_30~39세,"2,146","2,113",33
2020년08월_여_40~49세,"2,605","2,527",78
2020년08월_여_50~59세,"2,877","2,724",153
2020년08월_여_60~69세,"2,437","2,228",209
2020년08월_여_70~79세,"1,488","1,331",157
2020년08월_여_80~89세,971,834,137
2020년08월_여_90~99세,123,106,17
2020년08월_여_100세 이상,8,6,2
2020년09월_계_총인구수,"37,122","35,212","1,910"
2020년09월_계_연령구간인구수,"37,122","35,212","1,910"
2020년09월_계_0~9세,"3,385","3,347",38
2020년09월_계_10~19세,"3,380","3,299",81
2020년09월_계_20~29세,"4,544","4,410",134
2020년09월_계_30~39세,"4,815","4,727",88
2020년09월_계_40~49세,"5,669","5,459",210
2020년09월_계_50~59세,"6,072","5,729",343
2020년09월_계_60~69세,"4,918","4,436",482
2020년09월_계_70~79세,"2,692","2,395",297
2020년09월_계_80~89세,"1,463","1,259",204
2020년09월_계_90~99세,172,142,30
2020년09월_계_100세 이상,12,9,3
2020년09월_남_총인구수,"19,283","18,274","1,009"
2020년09월_남_연령구간인구수,"19,283","18,274","1,009"
2020년09월_남_0~9세,"1,740","1,717",23
2020년09월_남_10~19세,"1,766","1,727",39
2020년09월_남_20~29세,"2,634","2,555",79
2020년09월_남_30~39세,"2,666","2,611",55
2020년09월_남_40~49세,"3,073","2,940",133
2020년09월_남_50~59세,"3,203","3,009",194
2020년09월_남_60~69세,"2,463","2,195",268
2020년09월_남_70~79세,"1,198","1,057",141
2020년09월_남_80~89세,492,427,65
2020년09월_남_90~99세,44,33,11
2020년09월_남_100세 이상,4,3,1
2020년09월_여_총인구수,"17,839","16,938",901
2020년09월_여_연령구간인구수,"17,839","16,938",901
2020년09월_여_0~9세,"1,645","1,630",15
2020년09월_여_10~19세,"1,614","1,572",42
2020년09월_여_20~29세,"1,910","1,855",55
2020년09월_여_30~39세,"2,149","2,116",33
2020년09월_여_40~49세,"2,596","2,519",77
2020년09월_여_50~59세,"2,869","2,720",149
2020년09월_여_60~69세,"2,455","2,241",214
2020년09월_여_70~79세,"1,494","1,338",156
2020년09월_여_80~89세,971,832,139
2020년09월_여_90~99세,128,109,19
2020년09월_여_100세 이상,8,6,2
2020년10월_계_총인구수,"37,011","35,099","1,912"
2020년10월_계_연령구간인구수,"37,011","35,099","1,912"
2020년10월_계_0~9세,"3,327","3,289",38
2020년10월_계_10~19세,"3,376","3,295",81
2020년10월_계_20~29세,"4,534","4,402",132
2020년10월_계_30~39세,"4,803","4,707",96
2020년10월_계_40~49세,"5,631","5,427",204
2020년10월_계_50~59세,"6,055","5,716",339
2020년10월_계_60~69세,"4,955","4,465",490
2020년10월_계_70~79세,"2,676","2,382",294
2020년10월_계_80~89세,"1,467","1,261",206
2020년10월_계_90~99세,175,146,29
2020년10월_계_100세 이상,12,9,3
2020년10월_남_총인구수,"19,229","18,215","1,014"
2020년10월_남_연령구간인구수,"19,229","18,215","1,014"
2020년10월_남_0~9세,"1,710","1,686",24
2020년10월_남_10~19세,"1,757","1,719",38
2020년10월_남_20~29세,"2,631","2,551",80
2020년10월_남_30~39세,"2,670","2,610",60
2020년10월_남_40~49세,"3,056","2,926",130
2020년10월_남_50~59세,"3,195","3,002",193
2020년10월_남_60~69세,"2,474","2,203",271
2020년10월_남_70~79세,"1,195","1,054",141
2020년10월_남_80~89세,491,426,65
2020년10월_남_90~99세,46,35,11
2020년10월_남_100세 이상,4,3,1
2020년10월_여_총인구수,"17,782","16,884",898
2020년10월_여_연령구간인구수,"17,782","16,884",898
2020년10월_여_0~9세,"1,617","1,603",14
2020년10월_여_10~19세,"1,619","1,576",43
2020년10월_여_20~29세,"1,903","1,851",52
2020년10월_여_30~39세,"2,133","2,097",36
2020년10월_여_40~49세,"2,575","2,501",74
2020년10월_여_50~59세,"2,860","2,714",146
2020년10월_여_60~69세,"2,481","2,262",219
2020년10월_여_70~79세,"1,481","1,328",153
2020년10월_여_80~89세,976,835,141
2020년10월_여_90~99세,129,111,18
2020년10월_여_100세 이상,8,6,2
2020년11월_계_총인구수,"36,960","35,060","1,900"
2020년11월_계_연령구간인구수,"36,960","35,060","1,900"
2020년11월_계_0~9세,"3,295","3,254",41
2020년11월_계_10~19세,"3,371","3,292",79
2020년11월_계_20~29세,"4,533","4,407",126
2020년11월_계_30~39세,"4,776","4,679",97
2020년11월_계_40~49세,"5,622","5,421",201
2020년11월_계_50~59세,"6,057","5,720",337
2020년11월_계_60~69세,"4,974","4,484",490
2020년11월_계_70~79세,"2,675","2,384",291
2020년11월_계_80~89세,"1,471","1,265",206
2020년11월_계_90~99세,175,145,30
2020년11월_계_100세 이상,11,9,2
2020년11월_남_총인구수,"19,215","18,210","1,005"
2020년11월_남_연령구간인구수,"19,215","18,210","1,005"
2020년11월_남_0~9세,"1,702","1,676",26
2020년11월_남_10~19세,"1,753","1,716",37
2020년11월_남_20~29세,"2,643","2,568",75
2020년11월_남_30~39세,"2,654","2,595",59
2020년11월_남_40~49세,"3,047","2,917",130
2020년11월_남_50~59세,"3,185","2,994",191
2020년11월_남_60~69세,"2,488","2,218",270
2020년11월_남_70~79세,"1,200","1,061",139
2020년11월_남_80~89세,494,428,66
2020년11월_남_90~99세,45,34,11
2020년11월_남_100세 이상,4,3,1
2020년11월_여_총인구수,"17,745","16,850",895
2020년11월_여_연령구간인구수,"17,745","16,850",895
2020년11월_여_0~9세,"1,593","1,578",15
2020년11월_여_10~19세,"1,618","1,576",42
2020년11월_여_20~29세,"1,890","1,839",51
2020년11월_여_30~39세,"2,122","2,084",38
2020년11월_여_40~49세,"2,575","2,504",71
2020년11월_여_50~59세,"2,872","2,726",146
2020년11월_여_60~69세,"2,486","2,266",220
2020년11월_여_70~79세,"1,475","1,323",152
2020년11월_여_80~89세,977,837,140
2020년11월_여_90~99세,130,111,19
2020년11월_여_100세 이상,7,6,1
2020년12월_계_총인구수,"36,807","34,917","1,890"
2020년12월_계_연령구간인구수,"36,807","34,917","1,890"
2020년12월_계_0~9세,"3,242","3,203",39
2020년12월_계_10~19세,"3,348","3,272",76
2020년12월_계_20~29세,"4,516","4,391",125
2020년12월_계_30~39세,"4,753","4,652",101
2020년12월_계_40~49세,"5,590","5,393",197
2020년12월_계_50~59세,"6,014","5,680",334
2020년12월_계_60~69세,"4,990","4,502",488
2020년12월_계_70~79세,"2,677","2,386",291
2020년12월_계_80~89세,"1,491","1,283",208
2020년12월_계_90~99세,176,146,30
2020년12월_계_100세 이상,10,9,1
2020년12월_남_총인구수,"19,129","18,132",997
2020년12월_남_연령구간인구수,"19,129","18,132",997
2020년12월_남_0~9세,"1,679","1,655",24
2020년12월_남_10~19세,"1,739","1,705",34
2020년12월_남_20~29세,"2,634","2,558",76
2020년12월_남_30~39세,"2,644","2,585",59
2020년12월_남_40~49세,"3,019","2,892",127
2020년12월_남_50~59세,"3,162","2,974",188
2020년12월_남_60~69세,"2,499","2,229",270
2020년12월_남_70~79세,"1,201","1,061",140
2020년12월_남_80~89세,503,436,67
2020년12월_남_90~99세,45,34,11
2020년12월_남_100세 이상,4,3,1
2020년12월_여_총인구수,"17,678","16,785",893
2020년12월_여_연령구간인구수,"17,678","16,785",893
2020년12월_여_0~9세,"1,563","1,548",15
2020년12월_여_10~19세,"1,609","1,567",42
2020년12월_여_20~29세,"1,882","1,833",49
2020년12월_여_30~39세,"2,109","2,067",42
2020년12월_여_40~49세,"2,571","2,501",70
2020년12월_여_50~59세,"2,852","2,706",146
2020년12월_여_60~69세,"2,491","2,273",218
2020년12월_여_70~79세,"1,476","1,325",151
2020년12월_여_80~89세,988,847,141
2020년12월_여_90~99세,131,112,19
2020년12월_여_100세 이상,6,6,0
2021년01월_계_총인구수,"36,807","34,921","1,886"
2021년01월_계_연령구간인구수,"36,807","34,921","1,886"
2021년01월_계_0~9세,"3,199","3,158",41
2021년01월_계_10~19세,"3,353","3,275",78
2021년01월_계_20~29세,"4,512","4,390",122
2021년01월_계_30~39세,"4,725","4,622",103
2021년01월_계_40~49세,"5,580","5,386",194
2021년01월_계_50~59세,"6,030","5,697",333
2021년01월_계_60~69세,"5,025","4,539",486
2021년01월_계_70~79세,"2,691","2,406",285
2021년01월_계_80~89세,"1,501","1,288",213
2021년01월_계_90~99세,181,151,30
2021년01월_계_100세 이상,10,9,1
2021년01월_남_총인구수,"19,125","18,135",990
2021년01월_남_연령구간인구수,"19,125","18,135",990
2021년01월_남_0~9세,"1,647","1,622",25
2021년01월_남_10~19세,"1,740","1,706",34
2021년01월_남_20~29세,"2,632","2,558",74
2021년01월_남_30~39세,"2,637","2,578",59
2021년01월_남_40~49세,"3,008","2,884",124
2021년01월_남_50~59세,"3,181","2,993",188
2021년01월_남_60~69세,"2,511","2,243",268
2021년01월_남_70~79세,"1,213","1,076",137
2021년01월_남_80~89세,507,437,70
2021년01월_남_90~99세,45,35,10
2021년01월_남_100세 이상,4,3,1
2021년01월_여_총인구수,"17,682","16,786",896
2021년01월_여_연령구간인구수,"17,682","16,786",896
2021년01월_여_0~9세,"1,552","1,536",16
2021년01월_여_10~19세,"1,613","1,569",44
2021년01월_여_20~29세,"1,880","1,832",48
2021년01월_여_30~39세,"2,088","2,044",44
2021년01월_여_40~49세,"2,572","2,502",70
2021년01월_여_50~59세,"2,849","2,704",145
2021년01월_여_60~69세,"2,514","2,296",218
2021년01월_여_70~79세,"1,478","1,330",148
2021년01월_여_80~89세,994,851,143
2021년01월_여_90~99세,136,116,20
2021년01월_여_100세 이상,6,6,0
2021년02월_계_총인구수,"36,685","34,817","1,868"
2021년02월_계_연령구간인구수,"36,685","34,817","1,868"
2021년02월_계_0~9세,"3,146","3,108",38
2021년02월_계_10~19세,"3,349","3,271",78
2021년02월_계_20~29세,"4,483","4,363",120
2021년02월_계_30~39세,"4,660","4,562",98
2021년02월_계_40~49세,"5,572","5,377",195
2021년02월_계_50~59세,"6,042","5,711",331
2021년02월_계_60~69세,"5,060","4,576",484
2021년02월_계_70~79세,"2,685","2,405",280
2021년02월_계_80~89세,"1,498","1,285",213
2021년02월_계_90~99세,180,150,30
2021년02월_계_100세 이상,10,9,1
2021년02월_남_총인구수,"19,080","18,099",981
2021년02월_남_연령구간인구수,"19,080","18,099",981
2021년02월_남_0~9세,"1,622","1,599",23
2021년02월_남_10~19세,"1,744","1,711",33
2021년02월_남_20~29세,"2,616","2,543",73
2021년02월_남_30~39세,"2,601","2,544",57
2021년02월_남_40~49세,"3,015","2,890",125
2021년02월_남_50~59세,"3,186","2,998",188
2021년02월_남_60~69세,"2,530","2,265",265
2021년02월_남_70~79세,"1,208","1,072",136
2021년02월_남_80~89세,509,439,70
2021년02월_남_90~99세,45,35,10
2021년02월_남_100세 이상,4,3,1
2021년02월_여_총인구수,"17,605","16,718",887
2021년02월_여_연령구간인구수,"17,605","16,718",887
2021년02월_여_0~9세,"1,524","1,509",15
2021년02월_여_10~19세,"1,605","1,560",45
2021년02월_여_20~29세,"1,867","1,820",47
2021년02월_여_30~39세,"2,059","2,018",41
2021년02월_여_40~49세,"2,557","2,487",70
2021년02월_여_50~59세,"2,856","2,713",143
2021년02월_여_60~69세,"2,530","2,311",219
2021년02월_여_70~79세,"1,477","1,333",144
2021년02월_여_80~89세,989,846,143
2021년02월_여_90~99세,135,115,20
2021년02월_여_100세 이상,6,6,0
2021년03월_계_총인구수,"36,536","34,678","1,858"
2021년03월_계_연령구간인구수,"36,536","34,678","1,858"
2021년03월_계_0~9세,"3,142","3,100",42
2021년03월_계_10~19세,"3,349","3,273",76
2021년03월_계_20~29세,"4,453","4,337",116
2021년03월_계_30~39세,"4,617","4,522",95
2021년03월_계_40~49세,"5,536","5,344",192
2021년03월_계_50~59세,"5,992","5,664",328
2021년03월_계_60~69세,"5,090","4,607",483
2021년03월_계_70~79세,"2,672","2,393",279
2021년03월_계_80~89세,"1,507","1,291",216
2021년03월_계_90~99세,175,144,31
2021년03월_계_100세 이상,3,3,0
2021년03월_남_총인구수,"19,011","18,040",971
2021년03월_남_연령구간인구수,"19,011","18,040",971
2021년03월_남_0~9세,"1,627","1,601",26
2021년03월_남_10~19세,"1,746","1,712",34
2021년03월_남_20~29세,"2,608","2,537",71
2021년03월_남_30~39세,"2,576","2,521",55
2021년03월_남_40~49세,"2,981","2,859",122
2021년03월_남_50~59세,"3,170","2,985",185
2021년03월_남_60~69세,"2,542","2,281",261
2021년03월_남_70~79세,"1,204","1,067",137
2021년03월_남_80~89세,511,441,70
2021년03월_남_90~99세,44,34,10
2021년03월_남_100세 이상,2,2,0
2021년03월_여_총인구수,"17,525","16,638",887
2021년03월_여_연령구간인구수,"17,525","16,638",887
2021년03월_여_0~9세,"1,515","1,499",16
2021년03월_여_10~19세,"1,603","1,561",42
2021년03월_여_20~29세,"1,845","1,800",45
2021년03월_여_30~39세,"2,041","2,001",40
2021년03월_여_40~49세,"2,555","2,485",70
2021년03월_여_50~59세,"2,822","2,679",143
2021년03월_여_60~69세,"2,548","2,326",222
2021년03월_여_70~79세,"1,468","1,326",142
2021년03월_여_80~89세,996,850,146
2021년03월_여_90~99세,131,110,21
2021년03월_여_100세 이상,1,1,0
2021년04월_계_총인구수,"36,532","34,682","1,850"
2021년04월_계_연령구간인구수,"36,532","34,682","1,850"
2021년04월_계_0~9세,"3,117","3,074",43
2021년04월_계_10~19세,"3,344","3,274",70
2021년04월_계_20~29세,"4,442","4,327",115
2021년04월_계_30~39세,"4,608","4,511",97
2021년04월_계_40~49세,"5,527","5,341",186
2021년04월_계_50~59세,"5,985","5,661",324
2021년04월_계_60~69세,"5,155","4,668",487
2021년04월_계_70~79세,"2,661","2,382",279
2021년04월_계_80~89세,"1,513","1,294",219
2021년04월_계_90~99세,177,147,30
2021년04월_계_100세 이상,3,3,0
2021년04월_남_총인구수,"19,023","18,056",967
2021년04월_남_연령구간인구수,"19,023","18,056",967
2021년04월_남_0~9세,"1,621","1,594",27
2021년04월_남_10~19세,"1,748","1,715",33
2021년04월_남_20~29세,"2,601","2,531",70
2021년04월_남_30~39세,"2,569","2,513",56
2021년04월_남_40~49세,"2,977","2,860",117
2021년04월_남_50~59세,"3,162","2,981",181
2021년04월_남_60~69세,"2,582","2,317",265
2021년04월_남_70~79세,"1,199","1,063",136
2021년04월_남_80~89세,516,443,73
2021년04월_남_90~99세,46,37,9
2021년04월_남_100세 이상,2,2,0
2021년04월_여_총인구수,"17,509","16,626",883
2021년04월_여_연령구간인구수,"17,509","16,626",883
2021년04월_여_0~9세,"1,496","1,480",16
2021년04월_여_10~19세,"1,596","1,559",37
2021년04월_여_20~29세,"1,841","1,796",45
2021년04월_여_30~39세,"2,039","1,998",41
2021년04월_여_40~49세,"2,550","2,481",69
2021년04월_여_50~59세,"2,823","2,680",143
2021년04월_여_60~69세,"2,573","2,351",222
2021년04월_여_70~79세,"1,462","1,319",143
2021년04월_여_80~89세,997,851,146
2021년04월_여_90~99세,131,110,21
2021년04월_여_100세 이상,1,1,0
2021년05월_계_총인구수,"36,536","34,684","1,852"
2021년05월_계_연령구간인구수,"36,536","34,684","1,852"
2021년05월_계_0~9세,"3,088","3,047",41
2021년05월_계_10~19세,"3,343","3,272",71
2021년05월_계_20~29세,"4,435","4,318",117
2021년05월_계_30~39세,"4,580","4,482",98
2021년05월_계_40~49세,"5,537","5,351",186
2021년05월_계_50~59세,"5,982","5,659",323
2021년05월_계_60~69세,"5,214","4,731",483
2021년05월_계_70~79세,"2,664","2,379",285
2021년05월_계_80~89세,"1,513","1,294",219
2021년05월_계_90~99세,177,148,29
2021년05월_계_100세 이상,3,3,0
2021년05월_남_총인구수,"19,025","18,055",970
2021년05월_남_연령구간인구수,"19,025","18,055",970
2021년05월_남_0~9세,"1,605","1,579",26
2021년05월_남_10~19세,"1,749","1,715",34
2021년05월_남_20~29세,"2,597","2,525",72
2021년05월_남_30~39세,"2,546","2,489",57
2021년05월_남_40~49세,"2,991","2,874",117
2021년05월_남_50~59세,"3,161","2,982",179
2021년05월_남_60~69세,"2,612","2,348",264
2021년05월_남_70~79세,"1,205","1,065",140
2021년05월_남_80~89세,511,438,73
2021년05월_남_90~99세,46,38,8
2021년05월_남_100세 이상,2,2,0
2021년05월_여_총인구수,"17,511","16,629",882
2021년05월_여_연령구간인구수,"17,511","16,629",882
2021년05월_여_0~9세,"1,483","1,468",15
2021년05월_여_10~19세,"1,594","1,557",37
2021년05월_여_20~29세,"1,838","1,793",45
2021년05월_여_30~39세,"2,034","1,993",41
2021년05월_여_40~49세,"2,546","2,477",69
2021년05월_여_50~59세,"2,821","2,677",144
2021년05월_여_60~69세,"2,602","2,383",219
2021년05월_여_70~79세,"1,459","1,314",145
2021년05월_여_80~89세,"1,002",856,146
2021년05월_여_90~99세,131,110,21
2021년05월_여_100세 이상,1,1,0
2021년06월_계_총인구수,"36,499","34,641","1,858"
2021년06월_계_연령구간인구수,"36,499","34,641","1,858"
2021년06월_계_0~9세,"3,062","3,017",45
2021년06월_계_10~19세,"3,341","3,271",70
2021년06월_계_20~29세,"4,449","4,330",119
