카테고리,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동,대구광역시 달서구 유천동
2020년02월_계_10~19세,"58,125","2,096",794,631,"2,432","1,106","1,787","3,837","3,175","2,739","1,523","2,644","2,170","8,390","1,254","8,476","5,109","1,611",659,"3,870","1,441","1,355","1,026",
2020년02월_계_20~29세,"80,311","3,109","2,453","1,358","4,294","2,466","2,546","5,136","4,833","4,131","2,563","6,387","2,731","4,168","1,884","9,263","5,479","3,671","1,331","5,253","2,902","2,608","1,745",
2020년02월_계_30~39세,"69,421","2,992","2,057","1,025","3,804","1,840","2,358","3,483","3,480","2,606","2,157","3,650","3,056","4,922","1,415","12,012","4,311","2,904","1,222","4,119","2,358","2,040","1,610",
2020년02월_계_40~49세,"92,672","3,782","2,041","1,233","4,278","2,105","2,899","5,549","4,922","3,941","2,496","4,885","3,998","10,886","2,369","13,702","6,725","2,696","1,327","5,479","2,817","2,501","2,041",
2020년02월_계_50~59세,"105,478","4,345","2,839","1,594","5,272","3,084","3,386","6,697","6,530","5,254","3,602","6,485","3,951","5,722","3,167","11,871","7,427","4,095","2,387","7,589","3,927","3,609","2,645",
2020년02월_계_60~69세,"69,754","3,709","2,514","1,391","3,507","2,154","2,089","3,196","3,085","2,334","2,352","3,476","2,581","2,781","3,080","7,600","4,765","2,911","2,496","5,111","3,179","3,292","2,151",
2020년02월_계_70~79세,"33,286","1,978","1,573",922,"1,553",927,932,"1,462","1,313","1,007",840,"1,809","1,017","1,269","2,037","3,456","2,064","1,262","1,226","2,138","1,703","1,770","1,028",
2020년02월_계_80~89세,"14,111",745,599,410,505,375,337,577,573,474,323,814,383,561,886,"1,429","1,000",540,588,998,683,824,487,
2020년02월_계_90~99세,"1,566",84,60,44,64,29,36,47,63,42,40,90,45,62,86,156,127,62,80,107,80,96,66,
2020년02월_계_100세 이상,86,5,5,5,3,2,3,2,2,1,0,1,3,8,6,18,5,5,0,2,3,7,0,
2020년02월_남_총인구수,"280,670","12,014","7,617","4,384","13,707","7,368","8,783","16,171","15,122","12,083","8,516","16,286","10,975","21,677","8,121","38,123","19,678","10,456","5,681","18,109","9,959","9,119","6,721",
2020년02월_남_연령구간인구수,"280,670","12,014","7,617","4,384","13,707","7,368","8,783","16,171","15,122","12,083","8,516","16,286","10,975","21,677","8,121","38,123","19,678","10,456","5,681","18,109","9,959","9,119","6,721",
2020년02월_남_0~9세,"22,026",893,354,233,"1,098",356,736,"1,144","1,092",750,500,820,"1,068","2,798",389,"4,773","1,602",632,211,"1,291",509,413,364,
2020년02월_남_10~19세,"30,242",995,411,318,"1,254",593,912,"2,050","1,679","1,416",803,"1,343","1,027","4,253",661,"4,504","2,823",851,361,"2,031",747,676,534,
2020년02월_남_20~29세,"43,001","1,552","1,156",702,"2,154","1,299","1,351","2,775","2,629","2,260","1,396","3,514","1,495","2,268","1,024","4,929","2,991","1,965",773,"2,820","1,549","1,409",990,
2020년02월_남_30~39세,"35,961","1,519","1,088",535,"1,976","1,035","1,215","1,797","1,876","1,392","1,192","2,119","1,551","2,158",773,"5,824","2,133","1,649",702,"2,109","1,310","1,118",890,
2020년02월_남_40~49세,"44,807","1,975","1,118",625,"2,088","1,017","1,384","2,550","2,248","1,810","1,221","2,493","2,024","5,070","1,234","6,723","2,978","1,303",681,"2,513","1,432","1,261","1,059",
2020년02월_남_50~59세,"51,049","2,163","1,391",760,"2,522","1,470","1,626","3,358","3,218","2,623","1,674","3,263","1,919","3,081","1,568","5,628","3,507","1,896","1,064","3,512","1,861","1,667","1,278",
2020년02월_남_60~69세,"33,825","1,748","1,187",650,"1,693","1,066","1,031","1,607","1,602","1,223","1,223","1,713","1,261","1,302","1,396","3,646","2,338","1,421","1,162","2,529","1,501","1,524","1,002",
2020년02월_남_70~79세,"14,677",900,687,397,718,396,409,680,561,438,378,771,487,547,786,"1,565",928,561,545,943,786,743,451,
2020년02월_남_80~89세,"4,724",253,213,154,188,126,113,202,201,166,118,232,133,182,264,489,346,167,162,339,249,291,136,
2020년02월_남_90~99세,341,16,11,10,14,9,5,8,16,5,11,18,8,17,25,36,32,11,20,21,15,16,17,
2020년02월_남_100세 이상,17,0,1,0,2,1,1,0,0,0,0,0,2,1,1,6,0,0,0,1,0,1,0,
2020년02월_여_총인구수,"287,046","12,646","8,013","4,667","14,209","7,433","8,991","16,029","14,886","11,894","8,342","15,494","11,147","22,577","8,750","39,196","20,494","10,501","6,057","19,080","10,058","9,788","6,794",
2020년02월_여_연령구간인구수,"287,046","12,646","8,013","4,667","14,209","7,433","8,991","16,029","14,886","11,894","8,342","15,494","11,147","22,577","8,750","39,196","20,494","10,501","6,057","19,080","10,058","9,788","6,794",
2020년02월_여_0~9세,"20,880",922,341,205,"1,106",357,665,"1,070",940,698,462,719,"1,119","2,687",298,"4,563","1,558",568,211,"1,232",415,392,352,
2020년02월_여_10~19세,"27,883","1,101",383,313,"1,178",513,875,"1,787","1,496","1,323",720,"1,301","1,143","4,137",593,"3,972","2,286",760,298,"1,839",694,679,492,
2020년02월_여_20~29세,"37,310","1,557","1,297",656,"2,140","1,167","1,195","2,361","2,204","1,871","1,167","2,873","1,236","1,900",860,"4,334","2,488","1,706",558,"2,433","1,353","1,199",755,
2020년02월_여_30~39세,"33,460","1,473",969,490,"1,828",805,"1,143","1,686","1,604","1,214",965,"1,531","1,505","2,764",642,"6,188","2,178","1,255",520,"2,010","1,048",922,720,
2020년02월_여_40~49세,"47,865","1,807",923,608,"2,190","1,088","1,515","2,999","2,674","2,131","1,275","2,392","1,974","5,816","1,135","6,979","3,747","1,393",646,"2,966","1,385","1,240",982,
2020년02월_여_50~59세,"54,429","2,182","1,448",834,"2,750","1,614","1,760","3,339","3,312","2,631","1,928","3,222","2,032","2,641","1,599","6,243","3,920","2,199","1,323","4,077","2,066","1,942","1,367",
2020년02월_여_60~69세,"35,929","1,961","1,327",741,"1,814","1,088","1,058","1,589","1,483","1,111","1,129","1,763","1,320","1,479","1,684","3,954","2,427","1,490","1,334","2,582","1,678","1,768","1,149",
2020년02월_여_70~79세,"18,609","1,078",886,525,835,531,523,782,752,569,462,"1,038",530,722,"1,251","1,891","1,136",701,681,"1,195",917,"1,027",577,
2020년02월_여_80~89세,"9,387",492,386,256,317,249,224,375,372,308,205,582,250,379,622,940,654,373,426,659,434,533,351,
2020년02월_여_90~99세,"1,225",68,49,34,50,20,31,39,47,37,29,72,37,45,61,120,95,51,60,86,65,80,49,
2020년02월_여_100세 이상,69,5,4,5,1,1,2,2,2,1,0,1,1,7,5,12,5,5,0,1,3,6,0,
2020년03월_계_총인구수,"567,978","24,574","15,564","9,044","28,100","14,798","17,729","32,180","29,989","24,010","16,897","31,836","22,184","44,254","16,893","77,435","40,177","21,039","11,726","37,121","20,022","18,901","13,505",
2020년03월_계_연령구간인구수,"567,978","24,574","15,564","9,044","28,100","14,798","17,729","32,180","29,989","24,010","16,897","31,836","22,184","44,254","16,893","77,435","40,177","21,039","11,726","37,121","20,022","18,901","13,505",
2020년03월_계_0~9세,"42,717","1,798",669,430,"2,217",720,"1,400","2,181","2,005","1,433",958,"1,522","2,184","5,477",677,"9,333","3,153","1,200",423,"2,510",910,804,713,
2020년03월_계_10~19세,"57,766","2,075",790,620,"2,429","1,086","1,779","3,814","3,143","2,722","1,501","2,645","2,166","8,369","1,255","8,465","5,050","1,596",648,"3,824","1,438","1,344","1,007",
2020년03월_계_20~29세,"80,679","3,104","2,455","1,373","4,314","2,461","2,531","5,161","4,856","4,170","2,566","6,464","2,754","4,186","1,884","9,323","5,535","3,681","1,325","5,248","2,916","2,606","1,766",
2020년03월_계_30~39세,"69,310","2,977","2,034","1,016","3,882","1,840","2,327","3,458","3,465","2,581","2,175","3,638","3,065","4,912","1,406","11,999","4,305","2,934","1,212","4,088","2,361","2,033","1,602",
2020년03월_계_40~49세,"92,201","3,729","2,014","1,207","4,274","2,105","2,878","5,519","4,882","3,933","2,479","4,847","3,980","10,820","2,380","13,713","6,662","2,699","1,314","5,428","2,802","2,494","2,042",
2020년03월_계_50~59세,"105,617","4,337","2,823","1,616","5,299","3,067","3,376","6,696","6,550","5,292","3,626","6,497","3,967","5,794","3,158","11,890","7,459","4,075","2,369","7,572","3,911","3,604","2,639",
2020년03월_계_60~69세,"70,321","3,729","2,520","1,402","3,535","2,168","2,123","3,244","3,123","2,338","2,374","3,495","2,610","2,796","3,096","7,646","4,804","2,965","2,519","5,184","3,197","3,308","2,145",
2020년03월_계_70~79세,"33,495","1,989","1,577",914,"1,567",944,940,"1,473","1,325","1,018",854,"1,816","1,022","1,272","2,046","3,468","2,069","1,275","1,248","2,148","1,716","1,773","1,041",
2020년03월_계_80~89세,"14,180",748,615,417,513,373,335,584,575,478,323,815,385,554,895,"1,424","1,008",544,588,"1,010",690,825,481,
2020년03월_계_90~99세,"1,607",81,62,44,67,32,37,48,63,44,41,96,48,66,90,157,127,66,80,108,78,103,69,
2020년03월_계_100세 이상,85,7,5,5,3,2,3,2,2,1,0,1,3,8,6,17,5,4,0,1,3,7,0,
2020년03월_남_총인구수,"280,655","11,962","7,581","4,373","13,804","7,353","8,753","16,151","15,113","12,083","8,531","16,348","10,992","21,664","8,125","38,177","19,683","10,446","5,666","18,065","9,948","9,112","6,725",
2020년03월_남_연령구간인구수,"280,655","11,962","7,581","4,373","13,804","7,353","8,753","16,151","15,113","12,083","8,531","16,348","10,992","21,664","8,125","38,177","19,683","10,446","5,666","18,065","9,948","9,112","6,725",
2020년03월_남_0~9세,"21,906",881,344,229,"1,102",353,733,"1,126","1,074",739,498,802,"1,074","2,796",380,"4,782","1,599",628,214,"1,282",499,412,359,
2020년03월_남_10~19세,"30,027",984,406,312,"1,251",583,908,"2,036","1,661","1,401",789,"1,338","1,019","4,246",659,"4,489","2,788",839,353,"2,008",751,671,535,
2020년03월_남_20~29세,"43,179","1,548","1,156",704,"2,171","1,301","1,350","2,782","2,631","2,288","1,405","3,573","1,506","2,277","1,025","4,950","3,028","1,955",764,"2,817","1,549","1,407",992,
2020년03월_남_30~39세,"35,882","1,511","1,069",527,"2,020","1,024","1,200","1,786","1,875","1,376","1,204","2,111","1,551","2,151",767,"5,828","2,127","1,653",699,"2,092","1,307","1,115",889,
2020년03월_남_40~49세,"44,599","1,950","1,104",613,"2,091","1,020","1,368","2,532","2,245","1,801","1,214","2,481","2,011","5,038","1,238","6,726","2,943","1,310",668,"2,498","1,428","1,257","1,063",
2020년03월_남_50~59세,"51,083","2,159","1,395",773,"2,531","1,463","1,617","3,362","3,216","2,638","1,677","3,275","1,918","3,104","1,565","5,641","3,524","1,871","1,060","3,491","1,855","1,671","1,277",
2020년03월_남_60~69세,"34,075","1,763","1,186",656,"1,701","1,069","1,043","1,626","1,626","1,224","1,236","1,729","1,275","1,301","1,403","3,669","2,361","1,445","1,173","2,559","1,503","1,527","1,000",
2020년03월_남_70~79세,"14,789",894,689,393,728,402,415,691,565,445,378,785,490,555,794,"1,563",930,566,552,954,795,746,459,
2020년03월_남_80~89세,"4,749",257,219,156,193,128,112,203,203,165,119,234,136,178,268,487,352,167,163,343,245,288,133,
2020년03월_남_90~99세,349,14,12,10,14,9,6,7,17,6,11,20,10,17,25,36,31,12,20,21,16,17,18,
2020년03월_남_100세 이상,17,1,1,0,2,1,1,0,0,0,0,0,2,1,1,6,0,0,0,0,0,1,0,
2020년03월_여_총인구수,"287,323","12,612","7,983","4,671","14,296","7,445","8,976","16,029","14,876","11,927","8,366","15,488","11,192","22,590","8,768","39,258","20,494","10,593","6,060","19,056","10,074","9,789","6,780",
2020년03월_여_연령구간인구수,"287,323","12,612","7,983","4,671","14,296","7,445","8,976","16,029","14,876","11,927","8,366","15,488","11,192","22,590","8,768","39,258","20,494","10,593","6,060","19,056","10,074","9,789","6,780",
2020년03월_여_0~9세,"20,811",917,325,201,"1,115",367,667,"1,055",931,694,460,720,"1,110","2,681",297,"4,551","1,554",572,209,"1,228",411,392,354,
2020년03월_여_10~19세,"27,739","1,091",384,308,"1,178",503,871,"1,778","1,482","1,321",712,"1,307","1,147","4,123",596,"3,976","2,262",757,295,"1,816",687,673,472,
2020년03월_여_20~29세,"37,500","1,556","1,299",669,"2,143","1,160","1,181","2,379","2,225","1,882","1,161","2,891","1,248","1,909",859,"4,373","2,507","1,726",561,"2,431","1,367","1,199",774,
2020년03월_여_30~39세,"33,428","1,466",965,489,"1,862",816,"1,127","1,672","1,590","1,205",971,"1,527","1,514","2,761",639,"6,171","2,178","1,281",513,"1,996","1,054",918,713,
2020년03월_여_40~49세,"47,602","1,779",910,594,"2,183","1,085","1,510","2,987","2,637","2,132","1,265","2,366","1,969","5,782","1,142","6,987","3,719","1,389",646,"2,930","1,374","1,237",979,
2020년03월_여_50~59세,"54,534","2,178","1,428",843,"2,768","1,604","1,759","3,334","3,334","2,654","1,949","3,222","2,049","2,690","1,593","6,249","3,935","2,204","1,309","4,081","2,056","1,933","1,362",
2020년03월_여_60~69세,"36,246","1,966","1,334",746,"1,834","1,099","1,080","1,618","1,497","1,114","1,138","1,766","1,335","1,495","1,693","3,977","2,443","1,520","1,346","2,625","1,694","1,781","1,145",
2020년03월_여_70~79세,"18,706","1,095",888,521,839,542,525,782,760,573,476,"1,031",532,717,"1,252","1,905","1,139",709,696,"1,194",921,"1,027",582,
2020년03월_여_80~89세,"9,431",491,396,261,320,245,223,381,372,313,204,581,249,376,627,937,656,377,425,667,445,537,348,
2020년03월_여_90~99세,"1,258",67,50,34,53,23,31,41,46,38,30,76,38,49,65,121,96,54,60,87,62,86,51,
2020년03월_여_100세 이상,68,6,4,5,1,1,2,2,2,1,0,1,1,7,5,11,5,4,0,1,3,6,0,
2020년04월_계_총인구수,"567,375","24,527","15,562","8,949","28,142","14,779","17,798","32,160","29,926","23,964","16,899","31,908","22,094","44,160","16,835","77,472","40,125","21,035","11,695","37,014","19,978","18,869","13,484",
2020년04월_계_연령구간인구수,"567,375","24,527","15,562","8,949","28,142","14,779","17,798","32,160","29,926","23,964","16,899","31,908","22,094","44,160","16,835","77,472","40,125","21,035","11,695","37,014","19,978","18,869","13,484",
2020년04월_계_0~9세,"42,483","1,808",660,419,"2,198",711,"1,413","2,170","1,984","1,423",952,"1,503","2,167","5,431",665,"9,328","3,135","1,204",418,"2,487",902,799,706,
2020년04월_계_10~19세,"57,513","2,072",786,612,"2,428","1,075","1,776","3,796","3,121","2,693","1,488","2,636","2,152","8,365","1,234","8,460","5,035","1,587",634,"3,808","1,414","1,341","1,000",
2020년04월_계_20~29세,"80,613","3,043","2,464","1,341","4,347","2,463","2,536","5,162","4,849","4,169","2,570","6,541","2,739","4,184","1,893","9,337","5,508","3,662","1,317","5,216","2,915","2,599","1,758",
2020년04월_계_30~39세,"69,143","2,962","2,027","1,011","3,900","1,827","2,354","3,459","3,425","2,569","2,175","3,656","3,039","4,867","1,383","11,967","4,306","2,956","1,205","4,060","2,365","2,034","1,596",
2020년04월_계_40~49세,"91,859","3,741","2,003","1,188","4,237","2,101","2,872","5,482","4,848","3,915","2,466","4,814","3,970","10,800","2,368","13,686","6,634","2,712","1,308","5,408","2,797","2,482","2,027",
2020년04월_계_50~59세,"105,488","4,317","2,816","1,601","5,325","3,053","3,400","6,701","6,562","5,281","3,617","6,514","3,954","5,806","3,132","11,906","7,447","4,035","2,352","7,544","3,889","3,589","2,647",
2020년04월_계_60~69세,"70,731","3,738","2,538","1,398","3,550","2,183","2,104","3,273","3,159","2,371","2,402","3,517","2,620","2,815","3,103","7,713","4,841","2,986","2,535","5,219","3,208","3,312","2,146",
2020년04월_계_70~79세,"33,617","1,999","1,576",913,"1,571",958,963,"1,480","1,343","1,020",858,"1,818","1,022","1,264","2,054","3,474","2,075","1,280","1,257","2,154","1,711","1,778","1,049",
2020년04월_계_80~89세,"14,226",759,620,415,517,372,338,588,570,479,330,816,381,553,905,"1,426","1,012",543,588,"1,010",696,823,485,
2020년04월_계_90~99세,"1,617",81,66,46,66,34,39,47,63,44,41,92,47,67,92,158,127,66,81,107,78,105,70,
2020년04월_계_100세 이상,85,7,6,5,3,2,3,2,2,0,0,1,3,8,6,17,5,4,0,1,3,7,0,
2020년04월_남_총인구수,"280,296","11,953","7,566","4,332","13,827","7,354","8,802","16,141","15,075","12,060","8,546","16,369","10,951","21,632","8,103","38,135","19,647","10,437","5,652","18,008","9,908","9,087","6,711",
2020년04월_남_연령구간인구수,"280,296","11,953","7,566","4,332","13,827","7,354","8,802","16,141","15,075","12,060","8,546","16,369","10,951","21,632","8,103","38,135","19,647","10,437","5,652","18,008","9,908","9,087","6,711",
2020년04월_남_0~9세,"21,781",883,340,222,"1,091",351,744,"1,123","1,056",729,495,798,"1,074","2,769",373,"4,770","1,594",631,213,"1,275",489,406,355,
2020년04월_남_10~19세,"29,902",990,406,310,"1,251",577,906,"2,027","1,658","1,391",778,"1,318","1,011","4,248",647,"4,480","2,783",838,350,"1,992",739,671,531,
2020년04월_남_20~29세,"43,110","1,523","1,153",688,"2,186","1,304","1,359","2,789","2,619","2,287","1,405","3,605","1,499","2,276","1,040","4,938","3,002","1,941",758,"2,808","1,541","1,403",986,
2020년04월_남_30~39세,"35,818","1,512","1,065",523,"2,034","1,025","1,218","1,782","1,849","1,373","1,208","2,138","1,536","2,131",758,"5,809","2,124","1,660",692,"2,073","1,304","1,114",890,
2020년04월_남_40~49세,"44,410","1,949","1,092",606,"2,071","1,021","1,364","2,520","2,234","1,792","1,214","2,447","2,001","5,025","1,233","6,695","2,946","1,317",667,"2,486","1,430","1,251","1,049",
2020년04월_남_50~59세,"51,047","2,152","1,398",767,"2,543","1,446","1,636","3,367","3,223","2,629","1,685","3,276","1,917","3,118","1,556","5,650","3,503","1,852","1,053","3,482","1,848","1,663","1,283",
2020년04월_남_60~69세,"34,240","1,768","1,190",652,"1,708","1,082","1,033","1,629","1,645","1,239","1,248","1,752","1,279","1,314","1,404","3,690","2,377","1,449","1,183","2,574","1,500","1,526",998,
2020년04월_남_70~79세,"14,850",902,685,394,732,407,422,695,576,447,382,783,486,553,794,"1,569",932,572,556,956,794,749,464,
2020년04월_남_80~89세,"4,775",260,224,159,196,131,113,202,200,167,120,233,135,179,272,492,355,166,161,341,248,285,136,
2020년04월_남_90~99세,346,13,12,11,13,9,6,7,15,6,11,19,11,18,25,36,31,11,19,21,15,18,19,
2020년04월_남_100세 이상,17,1,1,0,2,1,1,0,0,0,0,0,2,1,1,6,0,0,0,0,0,1,0,
2020년04월_여_총인구수,"287,079","12,574","7,996","4,617","14,315","7,425","8,996","16,019","14,851","11,904","8,353","15,539","11,143","22,528","8,732","39,337","20,478","10,598","6,043","19,006","10,070","9,782","6,773",
