카테고리,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2020년02월_남_0~9세,"2,257",725,"1,034",31,162,30,41,182,11,31,10
2020년02월_남_10~19세,"3,269","1,110","1,404",73,184,53,76,236,43,72,18
2020년02월_남_20~29세,"3,317","1,196",931,87,312,117,148,265,80,148,33
2020년02월_남_30~39세,"3,167","1,030","1,083",87,338,100,92,242,62,101,32
2020년02월_남_40~49세,"5,262","1,526","2,027",131,395,189,202,478,112,156,46
2020년02월_남_50~59세,"6,251","1,755","1,705",235,631,338,369,605,223,295,95
2020년02월_남_60~69세,"5,415","1,296","1,196",292,648,349,398,469,260,372,135
2020년02월_남_70~79세,"2,842",600,557,176,375,198,277,279,155,163,62
2020년02월_남_80~89세,"1,153",232,159,85,187,90,135,97,78,63,27
2020년02월_남_90~99세,107,30,19,5,22,9,11,5,2,3,1
2020년02월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2020년02월_여_총인구수,"32,234","9,349","9,860","1,248","3,069","1,430","1,795","2,707",959,"1,370",447
2020년02월_여_연령구간인구수,"32,234","9,349","9,860","1,248","3,069","1,430","1,795","2,707",959,"1,370",447
2020년02월_여_0~9세,"2,246",679,"1,085",35,168,32,32,160,15,34,6
2020년02월_여_10~19세,"2,864",917,"1,267",66,145,40,71,264,30,55,9
2020년02월_여_20~29세,"2,466",894,752,77,197,74,111,193,50,92,26
2020년02월_여_30~39세,"3,014",982,"1,220",63,247,56,66,231,40,88,21
2020년02월_여_40~49세,"4,436","1,433","1,894",105,217,104,119,378,55,108,23
2020년02월_여_50~59세,"5,196","1,626","1,433",199,466,233,267,453,147,285,87
2020년02월_여_60~69세,"5,080","1,301","1,146",254,581,335,394,409,234,306,120
2020년02월_여_70~79세,"3,758",844,619,228,524,301,398,356,218,192,78
2020년02월_여_80~89세,"2,767",582,378,199,462,225,289,227,153,186,66
2020년02월_여_90~99세,402,88,64,22,62,30,48,36,17,24,11
2020년02월_여_100세 이상,5,3,2,0,0,0,0,0,0,0,0
2020년03월_계_총인구수,"65,089","18,812","19,930","2,430","6,294","2,899","3,535","5,537","1,978","2,769",905
2020년03월_계_연령구간인구수,"65,089","18,812","19,930","2,430","6,294","2,899","3,535","5,537","1,978","2,769",905
2020년03월_계_0~9세,"4,467","1,393","2,102",66,328,65,73,336,25,64,15
2020년03월_계_10~19세,"6,087","2,020","2,669",128,319,91,141,491,71,129,28
2020년03월_계_20~29세,"5,716","2,077","1,662",164,497,188,261,446,130,236,55
2020년03월_계_30~39세,"6,107","2,008","2,255",151,578,152,156,472,99,184,52
2020년03월_계_40~49세,"9,652","2,942","3,927",227,604,292,315,847,167,263,68
2020년03월_계_50~59세,"11,450","3,395","3,140",432,"1,097",573,635,"1,050",371,574,183
2020년03월_계_60~69세,"10,522","2,593","2,356",545,"1,226",688,787,893,491,685,258
2020년03월_계_70~79세,"6,635","1,449","1,188",403,912,493,681,635,375,357,142
2020년03월_계_80~89세,"3,929",818,541,284,647,318,426,324,229,250,92
2020년03월_계_90~99세,514,113,86,30,84,39,60,43,20,27,12
2020년03월_계_100세 이상,10,4,4,0,2,0,0,0,0,0,0
2020년03월_남_총인구수,"32,964","9,484","10,096","1,200","3,236","1,474","1,741","2,846","1,021","1,404",462
2020년03월_남_연령구간인구수,"32,964","9,484","10,096","1,200","3,236","1,474","1,741","2,846","1,021","1,404",462
2020년03월_남_0~9세,"2,236",723,"1,021",31,158,33,41,180,10,29,10
2020년03월_남_10~19세,"3,248","1,106","1,407",70,178,52,71,230,42,74,18
2020년03월_남_20~29세,"3,284","1,189",922,88,304,115,147,259,81,147,32
2020년03월_남_30~39세,"3,134","1,025","1,064",86,333,97,91,245,60,102,31
2020년03월_남_40~49세,"5,239","1,516","2,025",128,393,190,201,472,113,156,45
2020년03월_남_50~59세,"6,255","1,766","1,709",235,632,336,367,601,223,290,96
2020년03월_남_60~69세,"5,429","1,290","1,204",295,647,355,394,475,257,373,139
2020년03월_남_70~79세,"2,868",605,562,174,378,197,282,282,157,167,64
2020년03월_남_80~89세,"1,158",234,160,88,189,90,135,97,76,63,26
2020년03월_남_90~99세,110,30,21,5,22,9,12,5,2,3,1
2020년03월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2020년03월_여_총인구수,"32,125","9,328","9,834","1,230","3,058","1,425","1,794","2,691",957,"1,365",443
2020년03월_여_연령구간인구수,"32,125","9,328","9,834","1,230","3,058","1,425","1,794","2,691",957,"1,365",443
2020년03월_여_0~9세,"2,231",670,"1,081",35,170,32,32,156,15,35,5
2020년03월_여_10~19세,"2,839",914,"1,262",58,141,39,70,261,29,55,10
2020년03월_여_20~29세,"2,432",888,740,76,193,73,114,187,49,89,23
2020년03월_여_30~39세,"2,973",983,"1,191",65,245,55,65,227,39,82,21
2020년03월_여_40~49세,"4,413","1,426","1,902",99,211,102,114,375,54,107,23
2020년03월_여_50~59세,"5,195","1,629","1,431",197,465,237,268,449,148,284,87
2020년03월_여_60~69세,"5,093","1,303","1,152",250,579,333,393,418,234,312,119
2020년03월_여_70~79세,"3,767",844,626,229,534,296,399,353,218,190,78
2020년03월_여_80~89세,"2,771",584,381,196,458,228,291,227,153,187,66
2020년03월_여_90~99세,404,83,65,25,62,30,48,38,18,24,11
2020년03월_여_100세 이상,7,4,3,0,0,0,0,0,0,0,0
2020년04월_계_총인구수,"64,959","18,768","19,904","2,442","6,266","2,896","3,533","5,516","1,973","2,756",905
2020년04월_계_연령구간인구수,"64,959","18,768","19,904","2,442","6,266","2,896","3,533","5,516","1,973","2,756",905
2020년04월_계_0~9세,"4,429","1,379","2,093",67,321,66,72,327,25,64,15
2020년04월_계_10~19세,"6,058","2,007","2,670",126,313,92,139,485,69,129,28
2020년04월_계_20~29세,"5,694","2,066","1,659",166,493,192,257,449,128,230,54
2020년04월_계_30~39세,"6,052","1,991","2,229",154,577,153,156,462,97,182,51
2020년04월_계_40~49세,"9,622","2,928","3,922",228,601,287,320,839,168,262,67
2020년04월_계_50~59세,"11,402","3,393","3,140",430,"1,085",568,622,"1,048",367,567,182
2020년04월_계_60~69세,"10,576","2,619","2,358",549,"1,227",689,796,903,493,685,257
2020년04월_계_70~79세,"6,646","1,443","1,202",407,917,488,679,633,374,357,146
2020년04월_계_80~89세,"3,947",821,542,285,645,322,432,326,233,250,91
2020년04월_계_90~99세,522,116,85,30,85,39,60,44,19,30,14
2020년04월_계_100세 이상,11,5,4,0,2,0,0,0,0,0,0
2020년04월_남_총인구수,"32,912","9,462","10,074","1,206","3,231","1,474","1,744","2,845","1,020","1,396",460
2020년04월_남_연령구간인구수,"32,912","9,462","10,074","1,206","3,231","1,474","1,744","2,845","1,020","1,396",460
2020년04월_남_0~9세,"2,218",715,"1,018",30,156,33,42,174,10,30,10
2020년04월_남_10~19세,"3,237","1,102","1,409",69,174,52,69,229,40,75,18
2020년04월_남_20~29세,"3,273","1,182",917,90,302,118,148,263,80,143,30
2020년04월_남_30~39세,"3,098","1,012","1,045",85,335,99,90,243,59,98,32
2020년04월_남_40~49세,"5,214","1,510","2,014",130,392,187,205,465,114,154,43
2020년04월_남_50~59세,"6,251","1,771","1,715",235,628,332,361,605,221,288,95
2020년04월_남_60~69세,"5,460","1,305","1,207",297,647,356,396,481,259,373,139
2020년04월_남_70~79세,"2,884",600,569,178,382,198,284,281,159,167,66
2020년04월_남_80~89세,"1,165",236,158,87,191,90,137,99,76,65,26
2020년04월_남_90~99세,109,29,21,5,22,9,12,5,2,3,1
2020년04월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2020년04월_여_총인구수,"32,047","9,306","9,830","1,236","3,035","1,422","1,789","2,671",953,"1,360",445
2020년04월_여_연령구간인구수,"32,047","9,306","9,830","1,236","3,035","1,422","1,789","2,671",953,"1,360",445
2020년04월_여_0~9세,"2,211",664,"1,075",37,165,33,30,153,15,34,5
2020년04월_여_10~19세,"2,821",905,"1,261",57,139,40,70,256,29,54,10
2020년04월_여_20~29세,"2,421",884,742,76,191,74,109,186,48,87,24
2020년04월_여_30~39세,"2,954",979,"1,184",69,242,54,66,219,38,84,19
2020년04월_여_40~49세,"4,408","1,418","1,908",98,209,100,115,374,54,108,24
2020년04월_여_50~59세,"5,151","1,622","1,425",195,457,236,261,443,146,279,87
2020년04월_여_60~69세,"5,116","1,314","1,151",252,580,333,400,422,234,312,118
2020년04월_여_70~79세,"3,762",843,633,229,535,290,395,352,215,190,80
2020년04월_여_80~89세,"2,782",585,384,198,454,232,295,227,157,185,65
2020년04월_여_90~99세,413,87,64,25,63,30,48,39,17,27,13
2020년04월_여_100세 이상,8,5,3,0,0,0,0,0,0,0,0
2020년05월_계_총인구수,"64,775","18,772","19,805","2,425","6,239","2,893","3,514","5,510","1,969","2,747",901
2020년05월_계_연령구간인구수,"64,775","18,772","19,805","2,425","6,239","2,893","3,514","5,510","1,969","2,747",901
2020년05월_계_0~9세,"4,381","1,362","2,077",66,314,65,71,324,24,63,15
2020년05월_계_10~19세,"6,008","2,007","2,644",119,305,92,136,478,71,128,28
2020년05월_계_20~29세,"5,650","2,069","1,640",167,494,184,248,453,124,222,49
2020년05월_계_30~39세,"5,995","1,969","2,210",154,567,154,153,464,92,182,50
2020년05월_계_40~49세,"9,546","2,917","3,885",221,595,288,318,830,167,260,65
2020년05월_계_50~59세,"11,391","3,404","3,131",428,"1,077",565,615,"1,054",366,569,182
2020년05월_계_60~69세,"10,624","2,649","2,361",543,"1,240",694,797,899,495,685,261
2020년05월_계_70~79세,"6,660","1,443","1,219",411,911,483,680,638,372,359,144
2020년05월_계_80~89세,"3,979",829,547,285,645,329,435,328,239,249,93
2020년05월_계_90~99세,530,118,87,31,89,39,61,42,19,30,14
2020년05월_계_100세 이상,11,5,4,0,2,0,0,0,0,0,0
2020년05월_남_총인구수,"32,826","9,469","10,024","1,196","3,222","1,468","1,734","2,844","1,014","1,394",461
2020년05월_남_연령구간인구수,"32,826","9,469","10,024","1,196","3,222","1,468","1,734","2,844","1,014","1,394",461
2020년05월_남_0~9세,"2,194",704,"1,011",29,155,32,42,172,9,30,10
2020년05월_남_10~19세,"3,213","1,102","1,396",65,171,52,68,226,41,74,18
2020년05월_남_20~29세,"3,252","1,195",907,90,302,111,141,260,78,139,29
2020년05월_남_30~39세,"3,066",998,"1,029",85,332,100,89,246,57,99,31
2020년05월_남_40~49세,"5,182","1,504","2,003",126,383,188,204,464,113,154,43
2020년05월_남_50~59세,"6,242","1,775","1,707",234,629,328,358,608,217,291,95
2020년05월_남_60~69세,"5,494","1,321","1,212",296,653,359,398,480,262,371,142
2020년05월_남_70~79세,"2,878",596,574,177,381,192,284,284,156,169,65
2020년05월_남_80~89세,"1,191",244,162,89,192,97,137,100,79,64,27
2020년05월_남_90~99세,111,30,22,5,22,9,13,4,2,3,1
2020년05월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2020년05월_여_총인구수,"31,949","9,303","9,781","1,229","3,017","1,425","1,780","2,666",955,"1,353",440
2020년05월_여_연령구간인구수,"31,949","9,303","9,781","1,229","3,017","1,425","1,780","2,666",955,"1,353",440
2020년05월_여_0~9세,"2,187",658,"1,066",37,159,33,29,152,15,33,5
2020년05월_여_10~19세,"2,795",905,"1,248",54,134,40,68,252,30,54,10
2020년05월_여_20~29세,"2,398",874,733,77,192,73,107,193,46,83,20
2020년05월_여_30~39세,"2,929",971,"1,181",69,235,54,64,218,35,83,19
2020년05월_여_40~49세,"4,364","1,413","1,882",95,212,100,114,366,54,106,22
2020년05월_여_50~59세,"5,149","1,629","1,424",194,448,237,257,446,149,278,87
2020년05월_여_60~69세,"5,130","1,328","1,149",247,587,335,399,419,233,314,119
2020년05월_여_70~79세,"3,782",847,645,234,530,291,396,354,216,190,79
2020년05월_여_80~89세,"2,788",585,385,196,453,232,298,228,160,185,66
2020년05월_여_90~99세,419,88,65,26,67,30,48,38,17,27,13
2020년05월_여_100세 이상,8,5,3,0,0,0,0,0,0,0,0
2020년06월_계_총인구수,"64,724","18,769","19,774","2,419","6,251","2,894","3,509","5,486","1,969","2,746",907
2020년06월_계_연령구간인구수,"64,724","18,769","19,774","2,419","6,251","2,894","3,509","5,486","1,969","2,746",907
2020년06월_계_0~9세,"4,345","1,354","2,057",62,313,67,70,319,23,65,15
2020년06월_계_10~19세,"6,025","2,015","2,658",118,309,90,135,472,71,130,27
2020년06월_계_20~29세,"5,608","2,068","1,623",162,482,184,246,449,124,219,51
2020년06월_계_30~39세,"5,935","1,949","2,195",154,561,149,152,452,95,179,49
2020년06월_계_40~49세,"9,544","2,928","3,872",221,606,283,316,830,163,261,64
2020년06월_계_50~59세,"11,374","3,399","3,132",428,"1,079",572,609,"1,048",365,562,180
2020년06월_계_60~69세,"10,682","2,653","2,377",543,"1,254",701,801,905,495,687,266
2020년06월_계_70~79세,"6,688","1,453","1,224",415,905,480,686,637,373,366,149
2020년06월_계_80~89세,"3,986",828,546,286,652,328,433,332,241,248,92
2020년06월_계_90~99세,526,117,86,30,88,40,61,42,19,29,14
2020년06월_계_100세 이상,11,5,4,0,2,0,0,0,0,0,0
2020년06월_남_총인구수,"32,793","9,454","10,004","1,199","3,225","1,464","1,733","2,834","1,017","1,398",465
2020년06월_남_연령구간인구수,"32,793","9,454","10,004","1,199","3,225","1,464","1,733","2,834","1,017","1,398",465
2020년06월_남_0~9세,"2,180",702,"1,009",28,153,32,41,166,9,30,10
2020년06월_남_10~19세,"3,213","1,103","1,397",64,174,51,68,224,40,75,17
2020년06월_남_20~29세,"3,241","1,198",895,90,296,110,142,262,80,138,30
2020년06월_남_30~39세,"3,014",980,"1,015",85,325,94,89,239,58,98,31
2020년06월_남_40~49세,"5,192","1,508","2,000",128,391,187,203,467,110,155,43
2020년06월_남_50~59세,"6,227","1,773","1,711",234,628,329,354,600,218,285,95
2020년06월_남_60~69세,"5,525","1,322","1,214",295,663,365,400,486,260,377,143
2020년06월_남_70~79세,"2,890",595,578,182,376,190,287,284,158,172,68
2020년06월_남_80~89세,"1,198",244,163,88,195,97,136,101,82,65,27
2020년06월_남_90~99세,110,29,21,5,22,9,13,5,2,3,1
2020년06월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2020년06월_여_총인구수,"31,931","9,315","9,770","1,220","3,026","1,430","1,776","2,652",952,"1,348",442
2020년06월_여_연령구간인구수,"31,931","9,315","9,770","1,220","3,026","1,430","1,776","2,652",952,"1,348",442
2020년06월_여_0~9세,"2,165",652,"1,048",34,160,35,29,153,14,35,5
2020년06월_여_10~19세,"2,812",912,"1,261",54,135,39,67,248,31,55,10
2020년06월_여_20~29세,"2,367",870,728,72,186,74,104,187,44,81,21
2020년06월_여_30~39세,"2,921",969,"1,180",69,236,55,63,213,37,81,18
2020년06월_여_40~49세,"4,352","1,420","1,872",93,215,96,113,363,53,106,21
2020년06월_여_50~59세,"5,147","1,626","1,421",194,451,243,255,448,147,277,85
2020년06월_여_60~69세,"5,157","1,331","1,163",248,591,336,401,419,235,310,123
2020년06월_여_70~79세,"3,798",858,646,233,529,290,399,353,215,194,81
2020년06월_여_80~89세,"2,788",584,383,198,457,231,297,231,159,183,65
2020년06월_여_90~99세,416,88,65,25,66,31,48,37,17,26,13
2020년06월_여_100세 이상,8,5,3,0,0,0,0,0,0,0,0
2020년07월_계_총인구수,"64,600","18,744","19,717","2,418","6,219","2,909","3,511","5,465","1,967","2,736",914
2020년07월_계_연령구간인구수,"64,600","18,744","19,717","2,418","6,219","2,909","3,511","5,465","1,967","2,736",914
2020년07월_계_0~9세,"4,312","1,353","2,038",63,306,67,71,310,23,67,14
2020년07월_계_10~19세,"5,991","2,005","2,644",118,303,94,134,468,71,126,28
2020년07월_계_20~29세,"5,556","2,058","1,600",163,474,183,246,444,118,218,52
2020년07월_계_30~39세,"5,898","1,948","2,173",154,553,148,154,446,94,178,50
2020년07월_계_40~49세,"9,508","2,921","3,869",220,601,287,309,821,162,255,63
2020년07월_계_50~59세,"11,376","3,391","3,134",421,"1,080",569,616,"1,051",366,563,185
2020년07월_계_60~69세,"10,718","2,655","2,394",547,"1,252",708,801,912,497,689,263
2020년07월_계_70~79세,"6,706","1,454","1,227",414,905,487,686,638,378,364,153
2020년07월_계_80~89세,"3,990",837,546,285,655,326,432,332,238,247,92
2020년07월_계_90~99세,534,117,88,33,88,40,62,43,20,29,14
2020년07월_계_100세 이상,11,5,4,0,2,0,0,0,0,0,0
2020년07월_남_총인구수,"32,748","9,444","9,988","1,199","3,208","1,473","1,742","2,814","1,018","1,393",469
2020년07월_남_연령구간인구수,"32,748","9,444","9,988","1,199","3,208","1,473","1,742","2,814","1,018","1,393",469
2020년07월_남_0~9세,"2,160",697,"1,001",29,148,32,40,162,9,32,10
2020년07월_남_10~19세,"3,197","1,098","1,394",65,168,53,69,220,40,73,17
2020년07월_남_20~29세,"3,219","1,198",881,92,293,111,145,256,77,136,30
2020년07월_남_30~39세,"3,003",981,"1,010",84,323,91,90,237,57,98,32
2020년07월_남_40~49세,"5,169","1,498","2,000",129,386,190,197,464,110,152,43
2020년07월_남_50~59세,"6,242","1,783","1,712",229,628,328,361,599,219,286,97
2020년07월_남_60~69세,"5,537","1,313","1,221",297,666,367,404,489,260,378,142
2020년07월_남_70~79세,"2,904",597,583,181,375,196,287,283,161,171,70
2020년07월_남_80~89세,"1,202",249,163,88,197,96,136,100,82,64,27
2020년07월_남_90~99세,112,30,22,5,22,9,13,4,3,3,1
2020년07월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2020년07월_여_총인구수,"31,852","9,300","9,729","1,219","3,011","1,436","1,769","2,651",949,"1,343",445
2020년07월_여_연령구간인구수,"31,852","9,300","9,729","1,219","3,011","1,436","1,769","2,651",949,"1,343",445
2020년07월_여_0~9세,"2,152",656,"1,037",34,158,35,31,148,14,35,4
2020년07월_여_10~19세,"2,794",907,"1,250",53,135,41,65,248,31,53,11
2020년07월_여_20~29세,"2,337",860,719,71,181,72,101,188,41,82,22
2020년07월_여_30~39세,"2,895",967,"1,163",70,230,57,64,209,37,80,18
2020년07월_여_40~49세,"4,339","1,423","1,869",91,215,97,112,357,52,103,20
2020년07월_여_50~59세,"5,134","1,608","1,422",192,452,241,255,452,147,277,88
2020년07월_여_60~69세,"5,181","1,342","1,173",250,586,341,397,423,237,311,121
2020년07월_여_70~79세,"3,802",857,644,233,530,291,399,355,217,193,83
2020년07월_여_80~89세,"2,788",588,383,197,458,230,296,232,156,183,65
2020년07월_여_90~99세,422,87,66,28,66,31,49,39,17,26,13
2020년07월_여_100세 이상,8,5,3,0,0,0,0,0,0,0,0
2020년08월_계_총인구수,"64,497","18,743","19,640","2,408","6,206","2,902","3,499","5,451","1,969","2,764",915
2020년08월_계_연령구간인구수,"64,497","18,743","19,640","2,408","6,206","2,902","3,499","5,451","1,969","2,764",915
2020년08월_계_0~9세,"4,269","1,344","2,013",59,309,65,64,310,23,66,16
2020년08월_계_10~19세,"6,011","2,001","2,650",115,298,91,136,469,70,153,28
2020년08월_계_20~29세,"5,507","2,046","1,586",162,469,180,242,436,116,219,51
2020년08월_계_30~39세,"5,841","1,944","2,140",154,554,146,149,437,94,173,50
2020년08월_계_40~49세,"9,471","2,918","3,848",219,591,283,305,820,165,258,64
2020년08월_계_50~59세,"11,352","3,389","3,121",419,"1,073",568,612,"1,053",367,568,182
2020년08월_계_60~69세,"10,788","2,673","2,418",550,"1,254",712,809,916,499,691,266
2020년08월_계_70~79세,"6,707","1,468","1,221",414,906,490,684,637,372,363,152
2020년08월_계_80~89세,"4,008",838,552,282,664,327,435,331,243,244,92
2020년08월_계_90~99세,532,117,87,34,86,40,63,42,20,29,14
2020년08월_계_100세 이상,11,5,4,0,2,0,0,0,0,0,0
2020년08월_남_총인구수,"32,707","9,437","9,958","1,197","3,203","1,472","1,738","2,805","1,017","1,410",470
2020년08월_남_연령구간인구수,"32,707","9,437","9,958","1,197","3,203","1,472","1,738","2,805","1,017","1,410",470
2020년08월_남_0~9세,"2,143",692,992,27,150,31,37,163,9,32,10
2020년08월_남_10~19세,"3,200","1,095","1,395",63,164,50,70,220,39,87,17
2020년08월_남_20~29세,"3,211","1,188",881,94,293,110,147,252,75,140,31
2020년08월_남_30~39세,"2,974",978,"1,000",86,321,89,87,230,57,94,32
2020년08월_남_40~49세,"5,141","1,500","1,978",128,382,187,194,463,111,155,43
2020년08월_남_50~59세,"6,225","1,778","1,707",227,623,330,357,601,220,286,96
2020년08월_남_60~69세,"5,578","1,323","1,236",299,666,373,408,492,260,378,143
2020년08월_남_70~79세,"2,917",604,582,181,380,196,289,282,161,172,70
2020년08월_남_80~89세,"1,204",249,164,88,200,97,136,98,82,63,27
2020년08월_남_90~99세,111,30,22,4,22,9,13,4,3,3,1
2020년08월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2020년08월_여_총인구수,"31,790","9,306","9,682","1,211","3,003","1,430","1,761","2,646",952,"1,354",445
2020년08월_여_연령구간인구수,"31,790","9,306","9,682","1,211","3,003","1,430","1,761","2,646",952,"1,354",445
2020년08월_여_0~9세,"2,126",652,"1,021",32,159,34,27,147,14,34,6
2020년08월_여_10~19세,"2,811",906,"1,255",52,134,41,66,249,31,66,11
2020년08월_여_20~29세,"2,296",858,705,68,176,70,95,184,41,79,20
2020년08월_여_30~39세,"2,867",966,"1,140",68,233,57,62,207,37,79,18
2020년08월_여_40~49세,"4,330","1,418","1,870",91,209,96,111,357,54,103,21
2020년08월_여_50~59세,"5,127","1,611","1,414",192,450,238,255,452,147,282,86
2020년08월_여_60~69세,"5,210","1,350","1,182",251,588,339,401,424,239,313,123
2020년08월_여_70~79세,"3,790",864,639,233,526,294,395,355,211,191,82
2020년08월_여_80~89세,"2,804",589,388,194,464,230,299,233,161,181,65
2020년08월_여_90~99세,421,87,65,30,64,31,50,38,17,26,13
2020년08월_여_100세 이상,8,5,3,0,0,0,0,0,0,0,0
2020년09월_계_총인구수,"64,438","18,767","19,602","2,400","6,195","2,898","3,513","5,424","1,961","2,764",914
2020년09월_계_연령구간인구수,"64,438","18,767","19,602","2,400","6,195","2,898","3,513","5,424","1,961","2,764",914
2020년09월_계_0~9세,"4,232","1,342","1,989",57,308,64,64,303,23,66,16
2020년09월_계_10~19세,"6,006","2,000","2,646",114,306,88,143,466,65,151,27
2020년09월_계_20~29세,"5,497","2,048","1,572",161,465,182,243,437,119,219,51
2020년09월_계_30~39세,"5,771","1,936","2,122",155,542,146,144,419,88,170,49
2020년09월_계_40~49세,"9,447","2,913","3,833",215,594,277,311,811,168,262,63
