카테고리,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2020년01월_여_50~59세,"2,769","1,170",326,175,89,177,143,213,143,127,43,163
2020년01월_여_60~69세,"3,012","1,010",319,228,135,262,209,281,181,157,53,177
2020년01월_여_70~79세,"3,107",827,383,269,142,310,179,306,239,204,70,178
2020년01월_여_80~89세,"2,416",532,341,216,102,256,167,238,190,168,82,124
2020년01월_여_90~99세,356,75,50,32,18,35,18,35,31,31,14,17
2020년01월_여_100세 이상,25,10,1,2,1,5,1,2,1,2,0,0
2020년02월_계_총인구수,"35,163","14,012","4,118","2,406","1,180","2,581","1,863","2,877","1,895","1,692",679,"1,860"
2020년02월_계_연령구간인구수,"35,163","14,012","4,118","2,406","1,180","2,581","1,863","2,877","1,895","1,692",679,"1,860"
2020년02월_계_0~9세,"1,913","1,098",202,82,29,73,91,126,51,52,25,84
2020년02월_계_10~19세,"2,635","1,455",323,133,48,135,97,137,80,92,45,90
2020년02월_계_20~29세,"2,908","1,540",324,166,65,136,85,194,123,97,34,144
2020년02월_계_30~39세,"2,633","1,418",278,120,65,132,94,183,97,84,31,131
2020년02월_계_40~49세,"3,914","1,921",446,213,114,213,182,266,138,164,66,191
2020년02월_계_50~59세,"5,876","2,338",700,401,187,400,318,459,337,273,107,356
2020년02월_계_60~69세,"6,020","1,954",692,467,257,541,393,580,348,321,115,352
2020년02월_계_70~79세,"5,308","1,428",611,466,260,529,328,522,398,320,130,316
2020년02월_계_80~89세,"3,471",751,476,317,133,370,250,361,283,245,107,178
2020년02월_계_90~99세,455,98,64,39,21,46,24,46,38,42,19,18
2020년02월_계_100세 이상,30,11,2,2,1,6,1,3,2,2,0,0
2020년02월_남_총인구수,"16,925","6,704","1,997","1,169",553,"1,238",892,"1,404",919,793,334,922
2020년02월_남_연령구간인구수,"16,925","6,704","1,997","1,169",553,"1,238",892,"1,404",919,793,334,922
2020년02월_남_0~9세,971,574,102,44,9,35,32,68,28,23,14,42
2020년02월_남_10~19세,"1,347",711,180,62,27,68,54,72,42,56,25,50
2020년02월_남_20~29세,"1,614",809,200,98,37,81,47,116,74,52,21,79
2020년02월_남_30~39세,"1,337",700,146,66,34,74,41,91,57,47,12,69
2020년02월_남_40~49세,"2,181",954,245,125,72,130,121,160,95,106,49,124
2020년02월_남_50~59세,"3,116","1,173",376,228,97,228,175,247,194,143,64,191
2020년02월_남_60~69세,"2,993",939,369,239,121,280,184,300,167,161,59,174
2020년02월_남_70~79세,"2,223",607,233,198,119,217,151,217,162,119,61,139
2020년02월_남_80~89세,"1,050",218,131,103,35,112,83,122,92,77,24,53
2020년02월_남_90~99세,89,18,15,6,2,12,4,10,7,9,5,1
2020년02월_남_100세 이상,4,1,0,0,0,1,0,1,1,0,0,0
2020년02월_여_총인구수,"18,238","7,308","2,121","1,237",627,"1,343",971,"1,473",976,899,345,938
2020년02월_여_연령구간인구수,"18,238","7,308","2,121","1,237",627,"1,343",971,"1,473",976,899,345,938
2020년02월_여_0~9세,942,524,100,38,20,38,59,58,23,29,11,42
2020년02월_여_10~19세,"1,288",744,143,71,21,67,43,65,38,36,20,40
2020년02월_여_20~29세,"1,294",731,124,68,28,55,38,78,49,45,13,65
2020년02월_여_30~39세,"1,296",718,132,54,31,58,53,92,40,37,19,62
2020년02월_여_40~49세,"1,733",967,201,88,42,83,61,106,43,58,17,67
2020년02월_여_50~59세,"2,760","1,165",324,173,90,172,143,212,143,130,43,165
2020년02월_여_60~69세,"3,027","1,015",323,228,136,261,209,280,181,160,56,178
2020년02월_여_70~79세,"3,085",821,378,268,141,312,177,305,236,201,69,177
2020년02월_여_80~89세,"2,421",533,345,214,98,258,167,239,191,168,83,125
2020년02월_여_90~99세,366,80,49,33,19,34,20,36,31,33,14,17
2020년02월_여_100세 이상,26,10,2,2,1,5,1,2,1,2,0,0
2020년03월_계_총인구수,"35,161","14,000","4,168","2,393","1,179","2,583","1,852","2,874","1,890","1,691",678,"1,853"
2020년03월_계_연령구간인구수,"35,161","14,000","4,168","2,393","1,179","2,583","1,852","2,874","1,890","1,691",678,"1,853"
2020년03월_계_0~9세,"1,888","1,088",209,81,28,69,90,119,50,50,23,81
2020년03월_계_10~19세,"2,628","1,437",321,131,48,150,97,137,78,90,48,91
2020년03월_계_20~29세,"2,920","1,545",335,164,65,134,84,193,122,102,32,144
2020년03월_계_30~39세,"2,646","1,426",289,120,63,134,98,179,97,80,31,129
2020년03월_계_40~49세,"3,885","1,909",451,208,117,210,177,264,136,162,62,189
2020년03월_계_50~59세,"5,868","2,327",705,400,186,398,314,462,337,275,112,352
2020년03월_계_60~69세,"6,055","1,976",701,467,257,541,391,586,345,323,113,355
2020년03월_계_70~79세,"5,285","1,425",606,466,260,520,324,519,396,320,132,317
2020년03월_계_80~89세,"3,485",756,484,314,133,372,250,363,287,243,106,177
2020년03월_계_90~99세,470,100,65,40,21,49,25,49,40,44,19,18
2020년03월_계_100세 이상,31,11,2,2,1,6,2,3,2,2,0,0
2020년03월_남_총인구수,"16,934","6,703","2,022","1,160",552,"1,244",879,"1,413",913,793,334,921
2020년03월_남_연령구간인구수,"16,934","6,703","2,022","1,160",552,"1,244",879,"1,413",913,793,334,921
2020년03월_남_0~9세,959,572,103,43,8,34,31,64,27,22,13,42
2020년03월_남_10~19세,"1,349",705,179,62,27,80,54,70,40,54,28,50
2020년03월_남_20~29세,"1,612",810,206,93,37,81,44,118,71,55,19,78
2020년03월_남_30~39세,"1,346",699,154,67,33,75,43,93,57,44,11,70
2020년03월_남_40~49세,"2,162",948,246,122,74,129,117,158,94,105,45,124
2020년03월_남_50~59세,"3,134","1,178",379,229,96,226,173,255,195,145,70,188
2020년03월_남_60~69세,"2,998",943,376,238,121,278,181,302,166,163,56,174
2020년03월_남_70~79세,"2,221",605,230,197,119,216,149,218,164,119,63,141
2020년03월_남_80~89세,"1,059",224,134,103,35,111,83,123,92,77,24,53
2020년03월_남_90~99세,89,18,15,6,2,13,3,11,6,9,5,1
2020년03월_남_100세 이상,5,1,0,0,0,1,1,1,1,0,0,0
2020년03월_여_총인구수,"18,227","7,297","2,146","1,233",627,"1,339",973,"1,461",977,898,344,932
2020년03월_여_연령구간인구수,"18,227","7,297","2,146","1,233",627,"1,339",973,"1,461",977,898,344,932
2020년03월_여_0~9세,929,516,106,38,20,35,59,55,23,28,10,39
2020년03월_여_10~19세,"1,279",732,142,69,21,70,43,67,38,36,20,41
2020년03월_여_20~29세,"1,308",735,129,71,28,53,40,75,51,47,13,66
2020년03월_여_30~39세,"1,300",727,135,53,30,59,55,86,40,36,20,59
2020년03월_여_40~49세,"1,723",961,205,86,43,81,60,106,42,57,17,65
2020년03월_여_50~59세,"2,734","1,149",326,171,90,172,141,207,142,130,42,164
2020년03월_여_60~69세,"3,057","1,033",325,229,136,263,210,284,179,160,57,181
2020년03월_여_70~79세,"3,064",820,376,269,141,304,175,301,232,201,69,176
2020년03월_여_80~89세,"2,426",532,350,211,98,261,167,240,195,166,82,124
2020년03월_여_90~99세,381,82,50,34,19,36,22,38,34,35,14,17
2020년03월_여_100세 이상,26,10,2,2,1,5,1,2,1,2,0,0
2020년04월_계_총인구수,"35,054","13,910","4,237","2,383","1,172","2,567","1,845","2,855","1,888","1,684",670,"1,843"
2020년04월_계_연령구간인구수,"35,054","13,910","4,237","2,383","1,172","2,567","1,845","2,855","1,888","1,684",670,"1,843"
2020년04월_계_0~9세,"1,885","1,072",224,79,28,69,90,119,48,52,23,81
2020년04월_계_10~19세,"2,597","1,413",327,133,49,135,98,136,80,90,47,89
2020년04월_계_20~29세,"2,899","1,535",345,158,63,130,84,186,120,100,33,145
2020년04월_계_30~39세,"2,633","1,421",301,117,60,130,95,175,99,79,29,127
2020년04월_계_40~49세,"3,868","1,884",467,208,118,206,177,266,134,160,58,190
2020년04월_계_50~59세,"5,826","2,308",710,401,184,399,306,456,334,270,111,347
2020년04월_계_60~69세,"6,061","1,978",709,466,253,543,394,583,346,325,110,354
2020년04월_계_70~79세,"5,258","1,417",600,466,261,520,323,515,391,319,131,315
2020년04월_계_80~89세,"3,522",769,484,315,133,379,251,366,294,244,109,178
2020년04월_계_90~99세,474,102,68,38,22,50,25,50,40,43,19,17
2020년04월_계_100세 이상,31,11,2,2,1,6,2,3,2,2,0,0
2020년04월_남_총인구수,"16,886","6,677","2,056","1,151",549,"1,233",877,"1,398",913,788,329,915
2020년04월_남_연령구간인구수,"16,886","6,677","2,056","1,151",549,"1,233",877,"1,398",913,788,329,915
2020년04월_남_0~9세,954,563,110,42,7,33,31,63,27,22,13,43
2020년04월_남_10~19세,"1,328",697,180,60,28,70,55,66,42,54,28,48
2020년04월_남_20~29세,"1,608",812,215,90,36,79,45,114,69,52,19,77
2020년04월_남_30~39세,"1,337",695,160,65,33,72,41,90,58,44,10,69
2020년04월_남_40~49세,"2,150",940,251,122,75,126,116,157,93,105,42,123
2020년04월_남_50~59세,"3,119","1,168",381,228,96,228,169,255,194,142,69,189
2020년04월_남_60~69세,"3,008",949,380,237,117,279,184,301,167,166,56,172
2020년04월_남_70~79세,"2,218",607,228,199,120,218,149,217,162,117,62,139
2020년04월_남_80~89세,"1,069",226,136,102,35,114,83,123,94,77,25,54
2020년04월_남_90~99세,90,19,15,6,2,13,3,11,6,9,5,1
2020년04월_남_100세 이상,5,1,0,0,0,1,1,1,1,0,0,0
2020년04월_여_총인구수,"18,168","7,233","2,181","1,232",623,"1,334",968,"1,457",975,896,341,928
2020년04월_여_연령구간인구수,"18,168","7,233","2,181","1,232",623,"1,334",968,"1,457",975,896,341,928
2020년04월_여_0~9세,931,509,114,37,21,36,59,56,21,30,10,38
2020년04월_여_10~19세,"1,269",716,147,73,21,65,43,70,38,36,19,41
2020년04월_여_20~29세,"1,291",723,130,68,27,51,39,72,51,48,14,68
2020년04월_여_30~39세,"1,296",726,141,52,27,58,54,85,41,35,19,58
2020년04월_여_40~49세,"1,718",944,216,86,43,80,61,109,41,55,16,67
2020년04월_여_50~59세,"2,707","1,140",329,173,88,171,137,201,140,128,42,158
2020년04월_여_60~69세,"3,053","1,029",329,229,136,264,210,282,179,159,54,182
2020년04월_여_70~79세,"3,040",810,372,267,141,302,174,298,229,202,69,176
2020년04월_여_80~89세,"2,453",543,348,213,98,265,168,243,200,167,84,124
2020년04월_여_90~99세,384,83,53,32,20,37,22,39,34,34,14,16
2020년04월_여_100세 이상,26,10,2,2,1,5,1,2,1,2,0,0
2020년05월_계_총인구수,"34,977","13,830","4,267","2,375","1,161","2,569","1,836","2,855","1,892","1,686",670,"1,836"
2020년05월_계_연령구간인구수,"34,977","13,830","4,267","2,375","1,161","2,569","1,836","2,855","1,892","1,686",670,"1,836"
2020년05월_계_0~9세,"1,873","1,057",229,78,26,69,89,118,51,53,22,81
2020년05월_계_10~19세,"2,582","1,394",332,131,49,133,100,137,79,91,48,88
2020년05월_계_20~29세,"2,877","1,529",339,156,62,131,79,188,119,97,34,143
2020년05월_계_30~39세,"2,609","1,393",313,115,58,131,93,171,101,81,27,126
2020년05월_계_40~49세,"3,846","1,872",476,207,115,204,173,264,130,159,58,188
2020년05월_계_50~59세,"5,815","2,306",712,401,179,396,304,456,340,269,110,342
2020년05월_계_60~69세,"6,058","1,976",708,465,257,547,390,579,343,327,113,353
2020년05월_계_70~79세,"5,253","1,410",601,462,258,520,323,521,392,317,131,318
2020년05월_계_80~89세,"3,547",777,485,321,134,380,257,366,294,246,107,180
2020년05월_계_90~99세,487,105,70,37,22,52,27,52,41,44,20,17
2020년05월_계_100세 이상,30,11,2,2,1,6,1,3,2,2,0,0
2020년05월_남_총인구수,"16,854","6,645","2,069","1,150",543,"1,233",871,"1,399",915,790,330,909
2020년05월_남_연령구간인구수,"16,854","6,645","2,069","1,150",543,"1,233",871,"1,399",915,790,330,909
2020년05월_남_0~9세,943,550,113,42,7,33,31,60,30,22,13,42
2020년05월_남_10~19세,"1,317",681,184,60,28,69,55,68,41,56,28,47
2020년05월_남_20~29세,"1,604",821,209,87,35,79,43,115,69,51,20,75
2020년05월_남_30~39세,"1,327",681,164,64,32,74,40,90,59,45,9,69
2020년05월_남_40~49세,"2,151",944,258,123,73,124,113,157,91,104,42,122
2020년05월_남_50~59세,"3,110","1,166",377,228,95,226,169,255,197,142,70,185
2020년05월_남_60~69세,"3,006",948,380,239,118,279,183,299,164,166,57,173
2020년05월_남_70~79세,"2,230",608,231,199,119,220,151,219,164,117,62,140
2020년05월_남_80~89세,"1,068",225,138,103,34,114,83,123,92,78,23,55
2020년05월_남_90~99세,94,20,15,5,2,14,3,12,7,9,6,1
2020년05월_남_100세 이상,4,1,0,0,0,1,0,1,1,0,0,0
2020년05월_여_총인구수,"18,123","7,185","2,198","1,225",618,"1,336",965,"1,456",977,896,340,927
2020년05월_여_연령구간인구수,"18,123","7,185","2,198","1,225",618,"1,336",965,"1,456",977,896,340,927
2020년05월_여_0~9세,930,507,116,36,19,36,58,58,21,31,9,39
2020년05월_여_10~19세,"1,265",713,148,71,21,64,45,69,38,35,20,41
2020년05월_여_20~29세,"1,273",708,130,69,27,52,36,73,50,46,14,68
2020년05월_여_30~39세,"1,282",712,149,51,26,57,53,81,42,36,18,57
2020년05월_여_40~49세,"1,695",928,218,84,42,80,60,107,39,55,16,66
2020년05월_여_50~59세,"2,705","1,140",335,173,84,170,135,201,143,127,40,157
2020년05월_여_60~69세,"3,052","1,028",328,226,139,268,207,280,179,161,56,180
2020년05월_여_70~79세,"3,023",802,370,263,139,300,172,302,228,200,69,178
2020년05월_여_80~89세,"2,479",552,347,218,100,266,174,243,202,168,84,125
2020년05월_여_90~99세,393,85,55,32,20,38,24,40,34,35,14,16
2020년05월_여_100세 이상,26,10,2,2,1,5,1,2,1,2,0,0
2020년06월_계_총인구수,"34,913","13,781","4,317","2,361","1,154","2,549","1,833","2,853","1,884","1,684",671,"1,826"
2020년06월_계_연령구간인구수,"34,913","13,781","4,317","2,361","1,154","2,549","1,833","2,853","1,884","1,684",671,"1,826"
2020년06월_계_0~9세,"1,863","1,044",237,77,26,66,90,119,50,54,21,79
2020년06월_계_10~19세,"2,576","1,383",342,129,49,132,98,136,80,89,49,89
2020년06월_계_20~29세,"2,868","1,525",346,153,62,128,79,187,119,99,33,137
2020년06월_계_30~39세,"2,579","1,371",316,114,56,125,95,172,99,78,27,126
2020년06월_계_40~49세,"3,847","1,873",483,205,115,205,173,264,128,158,58,185
2020년06월_계_50~59세,"5,774","2,302",714,397,177,390,297,440,334,272,111,340
2020년06월_계_60~69세,"6,080","1,974",717,464,258,549,392,586,346,327,113,354
2020년06월_계_70~79세,"5,271","1,414",609,466,254,518,324,525,392,318,133,318
2020년06월_계_80~89세,"3,541",781,483,316,133,377,257,367,295,244,106,182
2020년06월_계_90~99세,484,103,68,38,23,53,27,54,39,43,20,16
2020년06월_계_100세 이상,30,11,2,2,1,6,1,3,2,2,0,0
2020년06월_남_총인구수,"16,851","6,635","2,093","1,144",544,"1,225",869,"1,399",914,793,329,906
2020년06월_남_연령구간인구수,"16,851","6,635","2,093","1,144",544,"1,225",869,"1,399",914,793,329,906
2020년06월_남_0~9세,936,543,117,42,7,31,33,60,29,22,12,40
2020년06월_남_10~19세,"1,324",684,189,60,28,70,52,67,42,55,29,48
2020년06월_남_20~29세,"1,601",824,210,84,36,78,44,116,69,52,18,70
2020년06월_남_30~39세,"1,313",675,167,63,30,68,41,90,58,43,9,69
2020년06월_남_40~49세,"2,150",941,260,122,73,127,113,157,90,103,43,121
2020년06월_남_50~59세,"3,096","1,163",377,225,96,223,163,249,194,146,70,190
2020년06월_남_60~69세,"3,023",948,385,240,120,277,186,302,169,167,57,172
2020년06월_남_70~79세,"2,240",609,236,201,118,223,151,220,163,117,63,139
2020년06월_남_80~89세,"1,072",228,138,102,34,113,83,125,92,79,22,56
2020년06월_남_90~99세,92,19,14,5,2,14,3,12,7,9,6,1
2020년06월_남_100세 이상,4,1,0,0,0,1,0,1,1,0,0,0
2020년06월_여_총인구수,"18,062","7,146","2,224","1,217",610,"1,324",964,"1,454",970,891,342,920
2020년06월_여_연령구간인구수,"18,062","7,146","2,224","1,217",610,"1,324",964,"1,454",970,891,342,920
2020년06월_여_0~9세,927,501,120,35,19,35,57,59,21,32,9,39
2020년06월_여_10~19세,"1,252",699,153,69,21,62,46,69,38,34,20,41
2020년06월_여_20~29세,"1,267",701,136,69,26,50,35,71,50,47,15,67
2020년06월_여_30~39세,"1,266",696,149,51,26,57,54,82,41,35,18,57
2020년06월_여_40~49세,"1,697",932,223,83,42,78,60,107,38,55,15,64
2020년06월_여_50~59세,"2,678","1,139",337,172,81,167,134,191,140,126,41,150
2020년06월_여_60~69세,"3,057","1,026",332,224,138,272,206,284,177,160,56,182
2020년06월_여_70~79세,"3,031",805,373,265,136,295,173,305,229,201,70,179
2020년06월_여_80~89세,"2,469",553,345,214,99,264,174,242,203,165,84,126
2020년06월_여_90~99세,392,84,54,33,21,39,24,42,32,34,14,15
2020년06월_여_100세 이상,26,10,2,2,1,5,1,2,1,2,0,0
2020년07월_계_총인구수,"34,858","13,769","4,329","2,348","1,151","2,548","1,820","2,840","1,882","1,680",668,"1,823"
2020년07월_계_연령구간인구수,"34,858","13,769","4,329","2,348","1,151","2,548","1,820","2,840","1,882","1,680",668,"1,823"
2020년07월_계_0~9세,"1,854","1,041",243,74,26,60,88,116,51,53,20,82
2020년07월_계_10~19세,"2,572","1,381",339,124,48,144,96,134,79,91,50,86
2020년07월_계_20~29세,"2,882","1,536",351,151,64,131,80,184,117,99,33,136
2020년07월_계_30~39세,"2,551","1,355",319,112,52,120,93,171,100,77,28,124
2020년07월_계_40~49세,"3,832","1,875",485,199,114,201,168,264,129,155,56,186
2020년07월_계_50~59세,"5,750","2,289",709,401,178,384,298,437,333,273,111,337
2020년07월_계_60~69세,"6,084","1,970",723,467,257,551,392,584,348,326,112,354
2020년07월_계_70~79세,"5,281","1,425",612,459,253,522,324,528,387,318,134,319
2020년07월_계_80~89세,"3,533",778,480,320,132,377,255,364,296,243,105,183
2020년07월_계_90~99세,489,108,66,39,26,52,25,55,40,43,19,16
2020년07월_계_100세 이상,30,11,2,2,1,6,1,3,2,2,0,0
2020년07월_남_총인구수,"16,828","6,623","2,107","1,139",546,"1,224",862,"1,393",911,788,328,907
2020년07월_남_연령구간인구수,"16,828","6,623","2,107","1,139",546,"1,224",862,"1,393",911,788,328,907
2020년07월_남_0~9세,924,538,119,40,7,26,32,57,30,22,12,41
2020년07월_남_10~19세,"1,329",686,189,56,27,80,51,66,42,55,29,48
2020년07월_남_20~29세,"1,607",822,218,85,38,78,45,116,66,52,18,69
2020년07월_남_30~39세,"1,301",664,168,64,29,66,39,91,58,43,9,70
2020년07월_남_40~49세,"2,139",943,261,118,71,124,110,157,91,100,42,122
2020년07월_남_50~59세,"3,094","1,160",378,228,98,221,162,247,194,148,70,188
2020년07월_남_60~69세,"3,022",943,389,242,121,279,187,300,169,165,56,171
2020년07월_남_70~79세,"2,248",621,235,196,118,224,150,222,160,118,64,140
2020년07월_남_80~89세,"1,069",225,136,105,35,112,83,124,93,77,22,57
2020년07월_남_90~99세,91,20,14,5,2,13,3,12,7,8,6,1
2020년07월_남_100세 이상,4,1,0,0,0,1,0,1,1,0,0,0
2020년07월_여_총인구수,"18,030","7,146","2,222","1,209",605,"1,324",958,"1,447",971,892,340,916
2020년07월_여_연령구간인구수,"18,030","7,146","2,222","1,209",605,"1,324",958,"1,447",971,892,340,916
2020년07월_여_0~9세,930,503,124,34,19,34,56,59,21,31,8,41
2020년07월_여_10~19세,"1,243",695,150,68,21,64,45,68,37,36,21,38
2020년07월_여_20~29세,"1,275",714,133,66,26,53,35,68,51,47,15,67
2020년07월_여_30~39세,"1,250",691,151,48,23,54,54,80,42,34,19,54
2020년07월_여_40~49세,"1,693",932,224,81,43,77,58,107,38,55,14,64
2020년07월_여_50~59세,"2,656","1,129",331,173,80,163,136,190,139,125,41,149
2020년07월_여_60~69세,"3,062","1,027",334,225,136,272,205,284,179,161,56,183
2020년07월_여_70~79세,"3,033",804,377,263,135,298,174,306,227,200,70,179
2020년07월_여_80~89세,"2,464",553,344,215,97,265,172,240,203,166,83,126
2020년07월_여_90~99세,398,88,52,34,24,39,22,43,33,35,13,15
2020년07월_여_100세 이상,26,10,2,2,1,5,1,2,1,2,0,0
2020년08월_계_총인구수,"34,809","13,780","4,319","2,340","1,151","2,546","1,810","2,826","1,880","1,676",664,"1,817"
2020년08월_계_연령구간인구수,"34,809","13,780","4,319","2,340","1,151","2,546","1,810","2,826","1,880","1,676",664,"1,817"
2020년08월_계_0~9세,"1,826","1,027",245,72,26,60,83,114,50,52,19,78
2020년08월_계_10~19세,"2,548","1,373",332,122,46,143,98,131,79,90,50,84
2020년08월_계_20~29세,"2,907","1,557",351,150,66,130,82,181,117,98,33,142
2020년08월_계_30~39세,"2,533","1,344",319,113,51,120,90,174,100,75,27,120
2020년08월_계_40~49세,"3,816","1,890",474,199,109,200,164,254,130,153,56,187
2020년08월_계_50~59세,"5,732","2,277",711,399,181,382,298,433,331,275,111,334
2020년08월_계_60~69세,"6,110","1,981",726,468,259,555,390,592,349,325,112,353
2020년08월_계_70~79세,"5,261","1,430",609,455,251,522,321,526,383,313,133,318
2020년08월_계_80~89세,"3,551",782,484,320,134,375,258,363,298,250,104,183
2020년08월_계_90~99세,496,109,66,40,27,53,25,55,41,43,19,18
2020년08월_계_100세 이상,29,10,2,2,1,6,1,3,2,2,0,0
2020년08월_남_총인구수,"16,794","6,631","2,095","1,131",544,"1,228",857,"1,381",911,790,325,901
2020년08월_남_연령구간인구수,"16,794","6,631","2,095","1,131",544,"1,228",857,"1,381",911,790,325,901
2020년08월_남_0~9세,905,526,119,40,7,26,31,56,29,22,11,38
2020년08월_남_10~19세,"1,318",686,186,55,26,79,50,64,42,54,29,47
2020년08월_남_20~29세,"1,617",833,214,83,39,79,47,111,67,55,18,71
2020년08월_남_30~39세,"1,289",662,165,64,28,66,37,90,58,41,9,69
2020년08월_남_40~49세,"2,129",951,256,117,67,124,107,152,92,100,41,122
2020년08월_남_50~59세,"3,081","1,149",378,226,100,220,165,245,193,149,70,186
2020년08월_남_60~69세,"3,034",949,391,242,121,281,185,304,171,164,56,170
2020년08월_남_70~79세,"2,247",627,233,197,117,226,147,223,157,119,63,138
2020년08월_남_80~89세,"1,076",226,139,102,36,113,85,123,94,78,22,58
2020년08월_남_90~99세,94,21,14,5,3,13,3,12,7,8,6,2
2020년08월_남_100세 이상,4,1,0,0,0,1,0,1,1,0,0,0
2020년08월_여_총인구수,"18,015","7,149","2,224","1,209",607,"1,318",953,"1,445",969,886,339,916
2020년08월_여_연령구간인구수,"18,015","7,149","2,224","1,209",607,"1,318",953,"1,445",969,886,339,916
2020년08월_여_0~9세,921,501,126,32,19,34,52,58,21,30,8,40
2020년08월_여_10~19세,"1,230",687,146,67,20,64,48,67,37,36,21,37
2020년08월_여_20~29세,"1,290",724,137,67,27,51,35,70,50,43,15,71
2020년08월_여_30~39세,"1,244",682,154,49,23,54,53,84,42,34,18,51
2020년08월_여_40~49세,"1,687",939,218,82,42,76,57,102,38,53,15,65
2020년08월_여_50~59세,"2,651","1,128",333,173,81,162,133,188,138,126,41,148
2020년08월_여_60~69세,"3,076","1,032",335,226,138,274,205,288,178,161,56,183
2020년08월_여_70~79세,"3,014",803,376,258,134,296,174,303,226,194,70,180
2020년08월_여_80~89세,"2,475",556,345,218,98,262,173,240,204,172,82,125
2020년08월_여_90~99세,402,88,52,35,24,40,22,43,34,35,13,16
2020년08월_여_100세 이상,25,9,2,2,1,5,1,2,1,2,0,0
2020년09월_계_총인구수,"34,749","13,756","4,317","2,337","1,155","2,544","1,805","2,820","1,875","1,674",655,"1,811"
2020년09월_계_연령구간인구수,"34,749","13,756","4,317","2,337","1,155","2,544","1,805","2,820","1,875","1,674",655,"1,811"
2020년09월_계_0~9세,"1,809","1,019",239,70,26,63,78,116,51,51,18,78
2020년09월_계_10~19세,"2,539","1,370",329,124,46,140,99,133,78,89,48,83
2020년09월_계_20~29세,"2,895","1,550",357,145,68,129,85,175,114,99,33,140
2020년09월_계_30~39세,"2,510","1,331",317,111,53,121,86,174,100,74,25,118
2020년09월_계_40~49세,"3,809","1,900",471,197,107,202,163,247,132,149,55,186
2020년09월_계_50~59세,"5,703","2,253",713,400,182,378,302,436,324,274,109,332
