년도,월,나이,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2020,5,90,"1,947",219,109,162,137,47,65,48,127,75,76,62,31,73,16,81,55,51,52,28,63,44,46,49,49,46,41,67,28
2020,5,100,109,13,5,10,4,3,3,4,9,9,5,8,1,8,0,2,1,1,2,1,8,2,3,1,0,2,1,3,0
2020,6,총,"836,662","78,858","17,441","84,670","39,923","7,290","5,837","6,879","10,917","7,113","9,913","10,278","4,020","11,399","19,592","44,282","28,262","24,586","32,603","13,820","23,331","50,766","36,034","42,020","53,713","39,410","30,718","77,728","25,259"
2020,6,0,"105,780","8,329",996,"10,872","4,073",316,246,268,479,190,309,415,112,464,"3,611","4,666","2,779","2,686","4,538","1,439","1,889","6,566","4,590","6,104","9,792","6,244","4,545","14,710","4,552"
2020,6,10,"94,699","9,752","1,474","9,852","3,399",499,332,407,804,313,474,622,169,815,"1,865","4,020","3,155","4,009","3,993","1,867","2,303","6,891","6,510","5,332","8,588","3,975","2,839","8,294","2,146"
2020,6,20,"100,725","9,636","1,803","10,088","5,409",855,596,747,984,569,"1,012",982,395,"1,339","2,299","7,119","4,716","2,910","4,165","1,679","3,126","7,467","3,724","5,992","4,237","4,232","4,453","7,374","2,817"
2020,6,30,"150,859","11,118","1,672","16,026","6,897",673,510,739,890,542,"1,022",895,374,"1,162","4,502","9,349","4,582","3,279","6,034","1,648","3,078","9,788","4,494","8,522","9,971","9,699","7,798","18,621","6,974"
2020,6,40,"159,803","15,407","2,811","16,786","6,510","1,013",689,989,"1,446",830,"1,479","1,340",493,"1,696","3,592","7,800","5,131","5,473","5,990","2,765","4,000","10,373","8,770","8,453","13,057","7,664","5,557","15,338","4,351"
2020,6,50,"111,768","11,970","3,469","10,595","6,324","1,548","1,253","1,429","2,195","1,618","2,353","2,224",940,"2,414","2,388","5,818","3,955","3,175","4,507","2,207","4,150","6,114","4,608","4,031","5,098","3,918","3,168","7,883","2,416"
2020,6,60,"65,757","7,440","2,664","6,006","4,223","1,254","1,099","1,202","1,993","1,601","1,836","1,987",811,"1,863",980,"3,319","2,288","1,647","2,279","1,295","2,867","2,233","1,903","1,998","1,933","2,310","1,525","3,814","1,387"
2020,6,70,"31,268","3,597","1,607","2,897","2,010",728,658,704,"1,262",839,844,"1,103",433,"1,013",231,"1,500","1,175",947,743,650,"1,299",936,"1,035","1,152",727,984,572,"1,200",422
2020,6,80,"13,948","1,378",831,"1,376",938,355,385,342,728,527,505,639,263,550,107,609,426,410,298,238,549,352,352,383,260,335,220,425,167
2020,6,90,"1,950",219,109,163,136,46,66,48,127,75,74,64,29,75,17,80,54,50,54,31,62,44,45,52,50,47,40,66,27
2020,6,100,105,12,5,9,4,3,3,4,9,9,5,7,1,8,0,2,1,0,2,1,8,2,3,1,0,2,1,3,0
2020,7,총,"839,493","78,927","17,483","84,867","40,084","7,263","5,862","6,886","10,905","7,130","9,908","10,313","4,013","11,430","20,420","43,821","28,216","24,568","32,634","13,818","23,341","50,922","36,010","42,108","53,732","39,622","30,906","78,853","25,451"
2020,7,0,"105,792","8,321",988,"10,841","4,075",315,244,267,476,189,312,412,112,464,"3,789","4,608","2,753","2,661","4,521","1,428","1,877","6,569","4,554","6,104","9,742","6,274","4,566","14,748","4,582"
2020,7,10,"95,091","9,755","1,465","9,895","3,408",492,337,412,807,313,471,622,168,821,"1,956","3,994","3,150","4,004","4,001","1,859","2,296","6,890","6,532","5,340","8,628","4,016","2,863","8,419","2,177"
2020,7,20,"101,119","9,657","1,820","10,105","5,418",857,591,740,977,566,"1,000",995,394,"1,333","2,372","7,038","4,707","2,915","4,167","1,688","3,134","7,531","3,722","5,978","4,253","4,232","4,464","7,646","2,819"
2020,7,30,"150,694","11,099","1,662","16,000","6,915",668,517,743,880,537,"1,018",893,376,"1,163","4,666","9,083","4,558","3,247","6,018","1,639","3,039","9,753","4,465","8,509","9,880","9,732","7,813","18,840","6,981"
2020,7,40,"160,531","15,370","2,807","16,883","6,537",999,692,992,"1,443",831,"1,482","1,361",486,"1,692","3,779","7,775","5,111","5,447","5,997","2,756","3,996","10,406","8,759","8,486","13,122","7,714","5,625","15,576","4,407"
2020,7,50,"112,444","12,028","3,490","10,622","6,342","1,532","1,265","1,423","2,199","1,620","2,364","2,223",932,"2,429","2,475","5,821","3,978","3,203","4,520","2,200","4,177","6,169","4,614","4,083","5,139","3,951","3,192","8,006","2,447"
2020,7,60,"66,280","7,461","2,683","6,061","4,272","1,268","1,101","1,208","1,984","1,620","1,835","1,991",816,"1,876","1,020","3,304","2,297","1,672","2,312","1,319","2,889","2,266","1,928","1,990","1,932","2,316","1,548","3,897","1,414"
2020,7,70,"31,469","3,610","1,618","2,907","2,034",727,658,710,"1,270",844,839,"1,110",435,"1,017",236,"1,513","1,176",960,741,662,"1,311",938,"1,036","1,173",729,"1,001",574,"1,213",427
2020,7,80,"14,013","1,394",833,"1,379",938,357,385,339,734,524,508,639,265,552,110,606,430,411,302,236,550,355,353,390,263,334,221,437,168
2020,7,90,"1,955",220,112,165,141,45,69,48,126,77,73,60,28,75,17,77,55,48,54,30,64,43,44,54,44,50,39,68,29
2020,7,100,105,12,5,9,4,3,3,4,9,9,6,7,1,8,0,2,1,0,1,1,8,2,3,1,0,2,1,3,0
2020,8,총,"842,864","78,997","17,489","85,183","40,339","7,262","5,862","6,936","10,887","7,142","9,906","10,271","4,016","11,412","21,005","43,825","28,240","24,519","32,597","13,805","23,311","51,109","36,000","42,180","53,747","39,938","30,916","80,402","25,568"
2020,8,0,"105,676","8,278",982,"10,861","4,084",314,235,270,473,185,312,406,107,453,"3,918","4,585","2,734","2,642","4,507","1,411","1,858","6,566","4,524","6,063","9,672","6,292","4,554","14,804","4,586"
2020,8,10,"95,459","9,727","1,466","9,916","3,410",487,337,423,800,310,473,618,167,815,"2,025","3,985","3,152","4,013","3,990","1,847","2,287","6,907","6,549","5,372","8,694","4,033","2,858","8,590","2,208"
2020,8,20,"101,796","9,734","1,814","10,154","5,462",853,589,736,985,563,994,996,393,"1,327","2,400","7,048","4,725","2,900","4,149","1,696","3,126","7,622","3,703","5,980","4,244","4,361","4,448","7,971","2,823"
2020,8,30,"150,901","11,041","1,644","16,010","6,957",673,519,749,876,538,"1,014",876,381,"1,154","4,791","9,040","4,532","3,211","6,012","1,634","3,042","9,761","4,454","8,511","9,793","9,776","7,783","19,161","6,968"
2020,8,40,"161,212","15,378","2,806","16,958","6,572",988,691,"1,011","1,432",837,"1,472","1,357",473,"1,683","3,899","7,766","5,120","5,434","5,985","2,742","3,973","10,426","8,744","8,501","13,167","7,764","5,657","15,917","4,459"
2020,8,50,"113,082","12,060","3,502","10,681","6,380","1,532","1,268","1,428","2,187","1,617","2,354","2,200",936,"2,435","2,556","5,844","4,005","3,212","4,522","2,210","4,179","6,203","4,641","4,121","5,186","3,962","3,219","8,193","2,449"
2020,8,60,"66,942","7,519","2,691","6,123","4,336","1,279","1,107","1,214","2,002","1,632","1,852","2,000",827,"1,886","1,044","3,347","2,316","1,674","2,325","1,327","2,911","2,286","1,949","2,006","1,949","2,349","1,549","3,999","1,443"
2020,8,70,"31,572","3,619","1,630","2,920","2,044",733,651,717,"1,262",850,842,"1,102",434,"1,019",241,"1,515","1,163",974,748,668,"1,311",934,"1,030","1,168",734,"1,009",582,"1,242",430
2020,8,80,"14,120","1,405",835,"1,384",942,355,390,338,731,525,512,650,266,556,113,616,432,411,301,238,551,359,360,399,267,340,226,447,171
2020,8,90,"1,994",224,114,166,148,45,72,46,130,76,75,58,31,76,17,77,60,48,56,31,65,43,43,58,41,50,39,74,31
2020,8,100,110,12,5,10,4,3,3,4,9,9,6,8,1,8,1,2,1,0,2,1,8,2,3,1,0,2,1,4,0
2020,9,총,"846,850","80,091","17,456","85,236","40,871","7,255","5,833","6,921","10,924","7,119","9,905","10,247","4,007","11,367","21,295","43,763","28,204","24,499","32,607","13,761","23,284","51,242","35,998","42,197","53,705","40,518","31,016","81,808","25,721"
2020,9,0,"105,470","8,380",960,"10,802","4,126",310,227,270,464,180,304,396,106,440,"3,960","4,555","2,712","2,588","4,471","1,387","1,851","6,541","4,485","6,017","9,592","6,280","4,576","14,902","4,588"
2020,9,10,"95,854","9,783","1,458","9,944","3,479",486,338,418,792,304,474,614,163,807,"2,062","3,953","3,134","4,015","4,000","1,825","2,278","6,932","6,573","5,370","8,744","4,059","2,882","8,746","2,221"
2020,9,20,"102,719","9,934","1,806","10,178","5,541",843,591,719,992,551,989,984,395,"1,317","2,409","7,044","4,728","2,917","4,145","1,704","3,122","7,687","3,702","6,056","4,234","4,697","4,430","8,173","2,831"
2020,9,30,"151,219","11,287","1,631","15,880","7,075",673,506,747,880,530,"1,009",883,377,"1,151","4,829","8,975","4,513","3,192","5,987","1,625","3,023","9,750","4,438","8,459","9,682","9,908","7,768","19,454","6,987"
2020,9,40,"162,005","15,530","2,790","17,045","6,662",973,690,"1,010","1,433",832,"1,471","1,346",482,"1,671","3,972","7,779","5,108","5,416","6,013","2,708","3,960","10,438","8,751","8,515","13,194","7,792","5,684","16,221","4,519"
2020,9,50,"113,819","12,228","3,506","10,729","6,429","1,538","1,253","1,432","2,200","1,609","2,346","2,205",924,"2,421","2,612","5,869","4,015","3,249","4,532","2,232","4,189","6,248","4,649","4,127","5,236","3,988","3,250","8,334","2,469"
2020,9,60,"67,729","7,635","2,717","6,164","4,420","1,292","1,113","1,217","2,031","1,650","1,873","2,004",827,"1,900","1,068","3,363","2,332","1,677","2,346","1,341","2,921","2,312","1,962","2,024","1,975","2,375","1,578","4,143","1,469"
2020,9,70,"31,663","3,644","1,624","2,934","2,041",733,646,715,"1,252",846,839,"1,100",431,"1,020",247,"1,528","1,160",980,749,668,"1,312",930,"1,024","1,169",736,"1,019",579,"1,299",438
2020,9,80,"14,220","1,427",842,"1,381",940,356,393,343,732,531,516,649,270,553,119,615,439,416,306,238,554,357,370,404,271,348,229,453,168
2020,9,90,"2,040",230,116,170,154,48,73,46,139,77,78,58,31,79,16,80,62,49,56,32,66,45,40,55,41,50,39,79,31
2020,9,100,112,13,6,9,4,3,3,4,9,9,6,8,1,8,1,2,1,0,2,1,8,2,4,1,0,2,1,4,0
2020,10,총,"850,050","81,114","17,423","85,481","41,246","7,200","5,825","6,902","10,931","7,113","9,899","10,254","4,008","11,347","21,433","43,720","28,213","24,526","32,556","13,743","23,253","51,356","35,994","42,271","53,621","40,677","31,014","82,453","26,477"
2020,10,0,"105,151","8,429",947,"10,746","4,152",307,218,265,462,174,307,392,104,425,"3,974","4,504","2,676","2,580","4,431","1,371","1,843","6,495","4,431","5,963","9,480","6,218","4,568","14,902","4,787"
2020,10,10,"96,248","9,843","1,462","9,985","3,508",480,343,412,792,309,472,613,158,799,"2,066","3,955","3,130","4,018","3,988","1,814","2,255","6,946","6,601","5,382","8,793","4,097","2,892","8,874","2,261"
2020,10,20,"103,300","10,091","1,785","10,224","5,584",826,584,724,999,553,979,989,395,"1,319","2,430","7,045","4,750","2,906","4,145","1,709","3,129","7,735","3,737","6,126","4,226","4,785","4,432","8,254","2,839"
2020,10,30,"151,165","11,433","1,621","15,849","7,138",662,509,733,883,519,999,890,376,"1,142","4,837","8,893","4,491","3,180","5,949","1,608","3,016","9,782","4,367","8,393","9,585","9,943","7,681","19,446","7,240"
2020,10,40,"162,766","15,725","2,789","17,111","6,713",960,685,"1,009","1,428",834,"1,460","1,336",481,"1,652","4,011","7,803","5,104","5,432","6,016","2,697","3,955","10,414","8,758","8,541","13,208","7,810","5,721","16,411","4,702"
2020,10,50,"114,656","12,434","3,513","10,812","6,507","1,531","1,243","1,438","2,191","1,614","2,351","2,213",929,"2,432","2,640","5,899","4,027","3,261","4,540","2,242","4,181","6,300","4,676","4,158","5,303","4,007","3,279","8,450","2,485"
2020,10,60,"68,410","7,755","2,723","6,236","4,479","1,292","1,129","1,214","2,045","1,649","1,890","2,006",838,"1,910","1,085","3,389","2,359","1,690","2,376","1,350","2,921","2,325","1,987","2,050","1,980","2,388","1,597","4,232","1,515"
2020,10,70,"31,875","3,696","1,621","2,940","2,062",730,646,712,"1,254",847,840,"1,098",429,"1,024",252,"1,529","1,164",991,747,679,"1,323",948,"1,025","1,190",737,"1,024",577,"1,346",444
2020,10,80,"14,299","1,460",839,"1,397",942,360,392,345,728,525,515,650,265,557,119,620,449,419,308,238,554,362,369,411,267,353,225,457,173
2020,10,90,"2,065",232,116,172,157,49,73,46,140,80,80,59,32,79,18,81,62,49,53,34,68,48,40,56,42,50,41,77,31
2020,10,100,115,16,7,9,4,3,3,4,9,9,6,8,1,8,1,2,1,0,3,1,8,1,3,1,0,2,1,4,0
2020,11,총,"853,106","81,509","17,412","85,594","41,522","7,204","5,830","6,899","10,926","7,121","9,897","10,282","3,994","11,380","21,523","43,712","28,367","24,495","32,581","13,719","23,242","51,415","36,010","42,218","53,545","40,850","30,986","83,506","27,367"
2020,11,0,"104,868","8,431",927,"10,684","4,140",298,218,266,456,166,306,395,103,424,"3,996","4,482","2,664","2,539","4,407","1,346","1,821","6,487","4,386","5,908","9,402","6,193","4,523","14,899","5,001"
2020,11,10,"96,508","9,844","1,454","10,039","3,544",480,342,412,790,308,474,609,157,788,"2,078","3,939","3,128","4,019","4,004","1,806","2,246","6,941","6,615","5,368","8,825","4,129","2,912","8,934","2,323"
2020,11,20,"103,894","10,174","1,783","10,199","5,637",817,582,726,994,562,967,"1,001",396,"1,338","2,435","7,057","4,820","2,931","4,140","1,716","3,116","7,800","3,771","6,172","4,237","4,824","4,420","8,402","2,877"
2020,11,30,"151,248","11,476","1,608","15,849","7,160",669,504,733,874,523,"1,001",888,372,"1,140","4,834","8,869","4,519","3,147","5,919","1,585","3,013","9,772","4,338","8,350","9,489","9,915","7,607","19,537","7,557"
2020,11,40,"163,499","15,763","2,793","17,148","6,767",955,691,"1,002","1,423",826,"1,463","1,325",477,"1,645","4,057","7,802","5,101","5,423","6,036","2,696","3,954","10,395","8,769","8,544","13,222","7,877","5,768","16,705","4,872"
2020,11,50,"115,172","12,512","3,515","10,854","6,543","1,534","1,235","1,439","2,187","1,611","2,330","2,210",914,"2,433","2,634","5,892","4,047","3,274","4,551","2,249","4,181","6,331","4,695","4,138","5,327","4,059","3,307","8,638","2,532"
2020,11,60,"69,288","7,856","2,740","6,305","4,553","1,301","1,140","1,219","2,068","1,663","1,907","2,022",847,"1,939","1,098","3,430","2,400","1,692","2,414","1,360","2,951","2,334","1,998","2,068","2,004","2,412","1,612","4,412","1,543"
2020,11,70,"32,041","3,726","1,624","2,930","2,072",734,646,707,"1,258",849,849,"1,112",432,"1,029",250,"1,538","1,170","1,002",744,682,"1,328",937,"1,021","1,199",729,"1,031",573,"1,416",453
2020,11,80,"14,401","1,480",845,"1,405",945,364,395,345,728,524,513,652,263,553,123,618,457,418,309,244,559,370,375,414,266,358,221,479,178
2020,11,90,"2,072",230,117,172,157,49,74,46,138,80,81,60,32,83,17,83,60,50,54,34,66,47,39,56,44,50,42,80,31
2020,11,100,115,17,6,9,4,3,3,4,10,9,6,8,1,8,1,2,1,0,3,1,7,1,3,1,0,2,1,4,0
2020,12,총,"855,248","81,760","17,382","85,844","41,654","7,200","5,854","6,890","10,908","7,126","9,960","10,310","3,973","11,420","21,561","43,777","28,504","24,494","32,533","13,673","23,237","51,459","35,949","42,204","53,441","41,088","31,036","84,202","27,809"
2020,12,0,"104,485","8,367",913,"10,668","4,142",291,227,258,442,167,308,391,99,413,"3,995","4,469","2,622","2,517","4,376","1,327","1,813","6,474","4,337","5,863","9,336","6,174","4,529","14,861","5,106"
2020,12,10,"96,749","9,879","1,448","10,047","3,523",482,339,409,787,308,474,613,158,785,"2,086","3,923","3,145","4,006","4,013","1,802","2,234","6,931","6,621","5,350","8,856","4,154","2,955","9,042","2,379"
2020,12,20,"104,538","10,211","1,778","10,233","5,655",812,580,727,992,561,992,"1,018",392,"1,362","2,406","7,053","4,940","2,962","4,136","1,709","3,133","7,851","3,784","6,229","4,219","4,904","4,430","8,580","2,889"
2020,12,30,"151,181","11,525","1,598","15,846","7,197",667,508,736,868,514,"1,014",899,364,"1,144","4,847","8,905","4,540","3,099","5,870","1,582","3,006","9,790","4,271","8,330","9,368","9,942","7,522","19,569","7,660"
2020,12,40,"164,059","15,797","2,775","17,244","6,753",959,698,"1,002","1,422",821,"1,474","1,318",479,"1,648","4,077","7,818","5,102","5,452","6,033","2,657","3,948","10,379","8,811","8,517","13,255","7,922","5,816","16,904","4,978"
2020,12,50,"115,447","12,533","3,518","10,909","6,581","1,535","1,230","1,428","2,183","1,616","2,320","2,198",898,"2,436","2,636","5,903","4,049","3,269","4,532","2,255","4,170","6,333","4,696","4,174","5,342","4,064","3,341","8,739","2,559"
2020,12,60,"69,998","7,961","2,768","6,370","4,605","1,300","1,150","1,225","2,089","1,678","1,924","2,038",862,"1,965","1,124","3,449","2,403","1,708","2,452","1,373","2,972","2,355","1,993","2,074","2,021","2,462","1,612","4,498","1,567"
2020,12,70,"32,115","3,746","1,618","2,940","2,087",737,648,709,"1,246",845,849,"1,108",421,"1,021",249,"1,548","1,182","1,007",748,687,"1,330",926,"1,029","1,195",736,"1,039",561,"1,441",462
2020,12,80,"14,481","1,497",846,"1,409",948,365,396,343,728,528,518,655,269,557,124,625,457,422,316,244,558,372,367,412,263,372,226,485,179
2020,12,90,"2,079",227,114,169,159,49,75,49,140,79,81,64,30,81,16,82,63,52,54,36,66,47,37,59,45,53,43,79,30
2020,12,100,116,17,6,9,4,3,3,4,11,9,6,8,1,8,1,2,1,0,3,1,7,1,3,1,0,2,1,4,0
2021,1,총,"857,550","81,867","17,394","86,246","41,837","7,190","5,863","6,888","10,922","7,127","9,974","10,344","3,977","11,425","21,637","43,889","28,649","24,472","32,493","13,672","23,199","51,495","35,863","42,205","53,344","41,808","31,161","84,496","28,113"
2021,1,0,"103,916","8,309",901,"10,655","4,106",287,228,253,449,165,304,393,97,412,"4,011","4,445","2,602","2,484","4,341","1,308","1,789","6,383","4,296","5,812","9,202","6,222","4,532","14,781","5,149"
2021,1,10,"97,086","9,852","1,449","10,074","3,552",484,338,402,790,311,479,617,159,772,"2,104","3,917","3,135","4,002","4,020","1,804","2,228","6,943","6,599","5,348","8,919","4,220","2,961","9,172","2,435"
2021,1,20,"104,994","10,246","1,769","10,272","5,657",815,584,730,999,549,996,"1,036",395,"1,359","2,385","7,097","5,035","2,961","4,102","1,714","3,122","7,950","3,770","6,278","4,217","5,014","4,438","8,613","2,891"
2021,1,30,"150,827","11,467","1,591","15,878","7,227",664,505,742,868,517,"1,014",899,362,"1,143","4,821","8,917","4,543","3,072","5,819","1,554","2,970","9,734","4,236","8,281","9,223","10,157","7,519","19,431","7,673"
2021,1,40,"164,718","15,811","2,762","17,362","6,797",945,701,"1,000","1,426",817,"1,455","1,317",478,"1,643","4,118","7,814","5,117","5,431","6,043","2,674","3,950","10,352","8,777","8,514","13,282","8,064","5,881","17,089","5,098"
2021,1,50,"116,070","12,582","3,544","10,985","6,618","1,530","1,225","1,421","2,161","1,606","2,317","2,204",885,"2,433","2,658","5,929","4,067","3,294","4,550","2,256","4,168","6,396","4,723","4,214","5,400","4,139","3,359","8,823","2,583"
