년도,월,나이,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2020,4,20,"4,879",728,"2,376",779,996
2020,4,30,"4,712",690,"1,668","1,410",944
2020,4,40,"8,453","1,112","3,239","2,531","1,571"
2020,4,50,"6,838","1,290","3,446",662,"1,440"
2020,4,60,"4,153",901,"2,037",89,"1,126"
2020,4,70,"1,947",366,"1,091",56,434
2020,4,80,"1,066",166,672,26,202
2020,4,90,169,37,98,3,31
2020,4,100,10,3,5,0,2
2020,5,총,"42,696","6,815","18,296","8,929","8,656"
2020,5,0,"4,037",627,"1,274","1,362",774
2020,5,10,"6,456",904,"2,406","2,025","1,121"
2020,5,20,"4,846",713,"2,359",774,"1,000"
2020,5,30,"4,701",686,"1,657","1,411",947
2020,5,40,"8,436","1,129","3,224","2,520","1,563"
2020,5,50,"6,850","1,273","3,458",663,"1,456"
2020,5,60,"4,166",905,"2,045",91,"1,125"
2020,5,70,"1,957",373,"1,096",54,434
2020,5,80,"1,068",164,675,26,203
2020,5,90,169,38,97,3,31
2020,5,100,10,3,5,0,2
2020,6,총,"42,803","6,836","18,406","8,901","8,660"
2020,6,0,"4,033",630,"1,286","1,354",763
2020,6,10,"6,443",907,"2,411","2,016","1,109"
2020,6,20,"4,852",714,"2,374",765,999
2020,6,30,"4,724",686,"1,679","1,410",949
2020,6,40,"8,446","1,130","3,242","2,526","1,548"
2020,6,50,"6,871","1,275","3,452",662,"1,482"
2020,6,60,"4,206",911,"2,077",86,"1,132"
2020,6,70,"1,983",378,"1,108",54,443
2020,6,80,"1,070",161,680,25,204
2020,6,90,165,41,92,3,29
2020,6,100,10,3,5,0,2
2020,7,총,"42,772","6,810","18,373","8,929","8,660"
2020,7,0,"4,004",625,"1,278","1,346",755
2020,7,10,"6,424",893,"2,392","2,027","1,112"
2020,7,20,"4,859",714,"2,368",785,992
2020,7,30,"4,691",677,"1,666","1,412",936
2020,7,40,"8,442","1,128","3,226","2,526","1,562"
2020,7,50,"6,876","1,270","3,466",668,"1,472"
2020,7,60,"4,234",918,"2,086",84,"1,146"
2020,7,70,"1,993",380,"1,109",54,450
2020,7,80,"1,075",161,685,25,204
2020,7,90,164,41,92,2,29
2020,7,100,10,3,5,0,2
2020,8,총,"42,802","6,768","18,362","8,969","8,703"
2020,8,0,"3,999",617,"1,279","1,344",759
2020,8,10,"6,381",893,"2,382","2,005","1,101"
2020,8,20,"4,859",698,"2,364",796,"1,001"
2020,8,30,"4,665",663,"1,662","1,402",938
2020,8,40,"8,441","1,129","3,214","2,539","1,559"
2020,8,50,"6,909","1,260","3,451",704,"1,494"
2020,8,60,"4,291",917,"2,120",93,"1,161"
2020,8,70,"2,009",386,"1,112",59,452
2020,8,80,"1,067",158,678,25,206
2020,8,90,171,44,95,2,30
2020,8,100,10,3,5,0,2
2020,9,총,"42,811","6,761","18,405","8,965","8,680"
2020,9,0,"3,973",615,"1,266","1,342",750
2020,9,10,"6,386",895,"2,380","2,012","1,099"
2020,9,20,"4,842",695,"2,359",792,996
2020,9,30,"4,643",657,"1,665","1,391",930
2020,9,40,"8,465","1,135","3,218","2,550","1,562"
2020,9,50,"6,891","1,245","3,457",705,"1,484"
2020,9,60,"4,352",930,"2,157",94,"1,171"
2020,9,70,"2,005",386,"1,115",54,450
2020,9,80,"1,073",156,689,23,205
2020,9,90,170,44,93,2,31
2020,9,100,11,3,6,0,2
2020,10,총,"42,767","6,903","18,417","8,854","8,593"
2020,10,0,"3,932",620,"1,264","1,310",738
2020,10,10,"6,339",898,"2,369","1,990","1,082"
2020,10,20,"4,849",712,"2,363",794,980
2020,10,30,"4,624",665,"1,678","1,361",920
2020,10,40,"8,436","1,166","3,203","2,523","1,544"
2020,10,50,"6,910","1,264","3,468",704,"1,474"
2020,10,60,"4,397",964,"2,171",91,"1,171"
2020,10,70,"2,016",402,"1,107",57,450
2020,10,80,"1,079",165,691,22,201
2020,10,90,174,44,97,2,31
2020,10,100,11,3,6,0,2
2020,11,총,"42,848","7,048","18,451","8,749","8,600"
2020,11,0,"3,892",615,"1,259","1,287",731
2020,11,10,"6,317",906,"2,371","1,963","1,077"
2020,11,20,"4,886",741,"2,353",805,987
2020,11,30,"4,623",687,"1,680","1,337",919
2020,11,40,"8,423","1,178","3,215","2,501","1,529"
2020,11,50,"6,949","1,292","3,477",692,"1,488"
2020,11,60,"4,448",997,"2,185",84,"1,182"
2020,11,70,"2,031",410,"1,113",56,452
2020,11,80,"1,090",173,693,22,202
2020,11,90,179,46,100,2,31
2020,11,100,10,3,5,0,2
2020,12,총,"42,822","7,076","18,498","8,630","8,618"
2020,12,0,"3,863",618,"1,254","1,259",732
2020,12,10,"6,300",901,"2,371","1,945","1,083"
2020,12,20,"4,903",751,"2,361",798,993
2020,12,30,"4,611",680,"1,708","1,311",912
2020,12,40,"8,393","1,171","3,217","2,475","1,530"
2020,12,50,"6,927","1,300","3,467",679,"1,481"
2020,12,60,"4,499","1,011","2,211",84,"1,193"
2020,12,70,"2,046",422,"1,109",55,460
2020,12,80,"1,095",173,699,22,201
2020,12,90,175,46,96,2,31
2020,12,100,10,3,5,0,2
2021,1,총,"42,809","7,090","18,535","8,573","8,611"
2021,1,0,"3,878",613,"1,243","1,285",737
2021,1,10,"6,278",904,"2,368","1,929","1,077"
2021,1,20,"4,902",756,"2,377",781,988
2021,1,30,"4,626",676,"1,713","1,328",909
2021,1,40,"8,333","1,172","3,201","2,423","1,537"
2021,1,50,"6,919","1,298","3,477",662,"1,482"
2021,1,60,"4,525","1,019","2,233",85,"1,188"
2021,1,70,"2,052",427,"1,109",56,460
2021,1,80,"1,108",176,711,21,200
2021,1,90,178,46,97,3,32
2021,1,100,10,3,6,0,1
2021,2,총,"43,128","7,223","18,600","8,633","8,672"
2021,2,0,"3,901",625,"1,241","1,292",743
2021,2,10,"6,309",910,"2,369","1,944","1,086"
2021,2,20,"4,911",763,"2,370",782,996
2021,2,30,"4,671",702,"1,731","1,332",906
2021,2,40,"8,413","1,200","3,200","2,451","1,562"
2021,2,50,"6,958","1,312","3,485",672,"1,489"
2021,2,60,"4,580","1,037","2,268",80,"1,195"
2021,2,70,"2,075",441,"1,115",57,462
2021,2,80,"1,121",184,715,21,201
2021,2,90,180,46,101,2,31
2021,2,100,9,3,5,0,1
2021,3,총,"43,182","7,240","18,546","8,737","8,659"
2021,3,0,"3,917",623,"1,228","1,330",736
2021,3,10,"6,294",911,"2,356","1,951","1,076"
2021,3,20,"4,918",774,"2,359",786,999
2021,3,30,"4,690",709,"1,730","1,354",897
2021,3,40,"8,385","1,192","3,174","2,480","1,539"
2021,3,50,"6,999","1,319","3,494",680,"1,506"
2021,3,60,"4,591","1,043","2,271",75,"1,202"
2021,3,70,"2,083",436,"1,121",57,469
2021,3,80,"1,121",188,709,22,202
2021,3,90,181,44,102,2,33
2021,3,100,3,1,2,0,0
2021,4,총,"43,235","7,235","18,557","8,782","8,661"
2021,4,0,"3,928",620,"1,235","1,334",739
2021,4,10,"6,277",911,"2,341","1,951","1,074"
2021,4,20,"4,906",760,"2,359",800,987
2021,4,30,"4,691",710,"1,737","1,351",893
2021,4,40,"8,373","1,190","3,160","2,484","1,539"
2021,4,50,"7,029","1,322","3,499",704,"1,504"
2021,4,60,"4,641","1,049","2,293",79,"1,220"
2021,4,70,"2,074",433,"1,115",57,469
2021,4,80,"1,129",193,713,20,203
2021,4,90,184,46,103,2,33
2021,4,100,3,1,2,0,0
2021,5,총,"43,242","7,232","18,555","8,790","8,665"
2021,5,0,"3,901",615,"1,219","1,336",731
2021,5,10,"6,279",915,"2,341","1,948","1,075"
2021,5,20,"4,895",760,"2,342",805,988
2021,5,30,"4,659",697,"1,730","1,345",887
2021,5,40,"8,370","1,198","3,150","2,486","1,536"
2021,5,50,"7,052","1,329","3,509",707,"1,507"
2021,5,60,"4,686","1,048","2,320",85,"1,233"
2021,5,70,"2,080",434,"1,118",56,472
2021,5,80,"1,125",188,714,20,203
2021,5,90,192,47,110,2,33
2021,5,100,3,1,2,0,0
2021,6,총,"43,168","7,207","18,512","8,759","8,690"
2021,6,0,"3,864",609,"1,211","1,313",731
2021,6,10,"6,270",913,"2,328","1,944","1,085"
2021,6,20,"4,889",761,"2,317",819,992
2021,6,30,"4,630",689,"1,731","1,333",877
2021,6,40,"8,326","1,184","3,116","2,480","1,546"
2021,6,50,"7,072","1,326","3,520",710,"1,516"
2021,6,60,"4,705","1,053","2,334",86,"1,232"
2021,6,70,"2,088",434,"1,124",52,478
2021,6,80,"1,126",189,715,20,202
2021,6,90,195,48,114,2,31
2021,6,100,3,1,2,0,0
2021,7,총,"43,209","7,292","18,473","8,768","8,676"
2021,7,0,"3,858",610,"1,197","1,324",727
2021,7,10,"6,262",923,"2,315","1,943","1,081"
2021,7,20,"4,887",775,"2,305",813,994
2021,7,30,"4,634",702,"1,730","1,335",867
2021,7,40,"8,298","1,197","3,073","2,484","1,544"
2021,7,50,"7,093","1,336","3,533",712,"1,512"
2021,7,60,"4,762","1,067","2,370",81,"1,244"
2021,7,70,"2,092",441,"1,120",55,476
2021,7,80,"1,127",191,714,19,203
2021,7,90,193,49,114,2,28
2021,7,100,3,1,2,0,0
2021,8,총,"43,279","7,289","18,491","8,841","8,658"
2021,8,0,"3,847",601,"1,196","1,341",709
2021,8,10,"6,270",927,"2,304","1,963","1,076"
2021,8,20,"4,874",771,"2,305",810,988
2021,8,30,"4,640",695,"1,740","1,338",867
2021,8,40,"8,279","1,196","3,054","2,495","1,534"
2021,8,50,"7,119","1,340","3,532",723,"1,524"
2021,8,60,"4,823","1,077","2,408",93,"1,245"
2021,8,70,"2,098",443,"1,117",56,482
2021,8,80,"1,134",190,719,20,205
2021,8,90,192,48,114,2,28
2021,8,100,3,1,2,0,0
2021,9,총,"43,191","7,279","18,449","8,809","8,654"
2021,9,0,"3,807",592,"1,176","1,329",710
2021,9,10,"6,258",932,"2,302","1,954","1,070"
2021,9,20,"4,844",767,"2,289",815,973
2021,9,30,"4,590",686,"1,713","1,330",861
2021,9,40,"8,264","1,193","3,057","2,484","1,530"
2021,9,50,"7,158","1,342","3,541",730,"1,545"
2021,9,60,"4,833","1,075","2,421",93,"1,244"
2021,9,70,"2,104",452,"1,119",52,481
2021,9,80,"1,137",192,715,20,210
2021,9,90,194,47,115,2,30
2021,9,100,2,1,1,0,0
2021,10,총,"43,093","7,255","18,438","8,758","8,642"
2021,10,0,"3,763",584,"1,167","1,306",706
2021,10,10,"6,254",932,"2,304","1,948","1,070"
2021,10,20,"4,827",769,"2,282",810,966
2021,10,30,"4,535",678,"1,693","1,301",863
2021,10,40,"8,230","1,187","3,050","2,477","1,516"
2021,10,50,"7,188","1,340","3,546",746,"1,556"
2021,10,60,"4,844","1,075","2,436",92,"1,241"
2021,10,70,"2,120",457,"1,124",55,484
2021,10,80,"1,137",188,718,21,210
2021,10,90,193,44,117,2,30
2021,10,100,2,1,1,0,0
2021,11,총,"43,105","7,330","18,421","8,739","8,615"
2021,11,0,"3,762",590,"1,173","1,300",699
2021,11,10,"6,241",937,"2,284","1,954","1,066"
2021,11,20,"4,819",787,"2,268",799,965
2021,11,30,"4,544",689,"1,699","1,306",850
2021,11,40,"8,198","1,188","3,037","2,460","1,513"
2021,11,50,"7,198","1,354","3,543",752,"1,549"
2021,11,60,"4,886","1,097","2,450",91,"1,248"
2021,11,70,"2,118",451,"1,130",51,486
2021,11,80,"1,142",191,715,24,212
2021,11,90,195,45,121,2,27
2021,11,100,2,1,1,0,0
2021,12,총,"43,331","7,879","18,266","8,613","8,573"
2021,12,0,"3,747",634,"1,154","1,261",698
2021,12,10,"6,229",964,"2,266","1,927","1,072"
2021,12,20,"4,871",863,"2,256",793,959
2021,12,30,"4,650",849,"1,671","1,288",842
2021,12,40,"8,215","1,277","3,005","2,435","1,498"
2021,12,50,"7,224","1,429","3,498",750,"1,547"
2021,12,60,"4,915","1,147","2,450",88,"1,230"
2021,12,70,"2,139",470,"1,133",47,489
2021,12,80,"1,145",200,713,22,210
2021,12,90,193,45,119,2,27
2021,12,100,3,1,1,0,1
